	"ACH.000009"	"ACH.000013"	"ACH.000021"	"ACH.000022"	"ACH.000078"	"ACH.000097"	"ACH.000128"	"ACH.000178"	"ACH.000188"	"ACH.000215"	"ACH.000235"	"ACH.000274"	"ACH.000279"	"ACH.000308"	"ACH.000329"	"ACH.000339"	"ACH.000414"	"ACH.000416"	"ACH.000461"	"ACH.000467"	"ACH.000488"	"ACH.000517"	"ACH.000545"	"ACH.000556"	"ACH.000601"	"ACH.000618"	"ACH.000621"	"ACH.000657"	"ACH.000683"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000738"	"ACH.000753"	"ACH.000758"	"ACH.000794"	"ACH.000804"	"ACH.000824"	"ACH.000862"	"ACH.000866"	"ACH.000869"	"ACH.000885"	"ACH.000910"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000932"	"ACH.000936"	"ACH.000937"	"ACH.000941"	"ACH.000946"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.001028"	"ACH.001038"	"ACH.001119"	"ACH.001151"	"ACH.001163"	"ACH.001280"	"ACH.001377"	"ACH.001554"	"ACH.001735"
"144402"	0.220873170401807	0.136504818774392	0.137042999246776	0.169940959594116	0.0785526850746529	0.0247664793950812	-0.0223304906558379	0.163880798257438	0.0628924876631619	-0.0108586439625843	0.0977560116393407	0.141145705832383	0.072087565085836	0.0179698226085812	0.0142609327436275	-0.0324444601107241	0.102368073294325	0.00161116925071476	0.0762157469745391	0.0605234510399688	0.14048366712916	0.157766569176303	0.117550580228982	0.0912095716559333	0.0808227989178489	0.0225542766909095	0.0202471426927252	0.153288671172404	0.157458937758895	0.0660048925372649	0.0839135898318815	0.0975532452427346	0.0489779087048038	0.0302291699889244	-0.108484160323784	0.16341866808024	0.053720069862983	0.155138435865362	-0.0183067905361529	0.0791202527069525	0.0888465145563607	0.0910791650175113	0.109066678507191	-0.115761176967715	0.0806001125696243	0.13991363516951	-0.0226100319542286	0.0276201669353349	0.0690462122723665	0.154992150028341	0.11165499995005	0.0661390584372115	0.10532753627837	-0.0132425228864828	0.0283058731128464	0.0615363706520906	0.21186138950488	4.96868794344438E-4	0.0631192789953538	0.154412285184401	0.0213634919175491	0.0695041990660403	0.153883348473942
"359787"	-0.317823823530099	-0.327592796163153	-0.334486492502743	-0.321460619759639	-0.359387176601081	-0.485772025524217	-0.243522290304627	-0.4236372510115	-0.303945477341238	-0.237983396053716	-0.256295612752583	-0.409163645043802	-0.601052143993026	-0.269282017170203	-0.270477028555547	-0.375928016067123	-0.323538179907417	-0.322701420548635	-0.375944928227835	-0.301796377882323	-0.384786148397186	-0.269186955664797	-0.336645806474642	-0.339424103793584	-0.333703561990966	-0.278386047453471	-0.395492455265818	-0.413065949956788	-0.360626776437209	-0.339654611749346	-0.496961783137146	-0.317483097842333	-0.348938603235404	-0.360824499770376	-0.260719652601532	-0.343992925001798	-0.485414765073977	-0.42189134340285	-0.395346909864448	-0.339819858742647	-0.344003469992522	-0.371049490966838	-0.12291881933144	-0.324726529718894	-0.283362633021591	-0.318824746509548	-0.282328125273142	-0.297936342689705	-0.463638609985099	-0.403344151083965	-0.525903136357325	-0.431095670836405	-0.494301412319514	-0.32174188956081	-0.390176895155425	-0.380774276928789	-0.247387386581488	-0.382286131080293	-0.319358052507809	-0.453033531121127	-0.474501120362889	-0.340068411031769	-0.420425660989551
"55211"	0.00890061756043293	0.154172081958688	0.109368173821005	0.111565619385532	0.0633099944776099	0.102776294774702	0.0507123208805585	0.111307192196079	0.108578167299383	0.123140296441472	0.0572090164730519	0.0415347980114027	0.0606982463587304	0.095069860380331	0.159162841616442	0.0331487293265487	0.144341268639423	0.113387978874747	0.136184745682137	0.00354873357164465	0.144478666133638	0.112703216546041	0.0651390694628883	0.014453652921588	0.10130435263257	0.037461631607477	0.110322290338842	0.0941191266232533	0.117620270066949	0.0116302455116779	0.0543664070182023	0.0292291050277257	0.139997713514387	0.0443321839693296	0.0366015683189699	-0.0173689389778136	0.217061567855338	0.129576383663478	0.0451177523430029	0.0620283720698019	0.217208576096066	0.0144002673909258	0.108143565424808	0.0211267395890001	0.257316155453373	0.160980687437398	0.0652964790331953	0.0804078437623735	0.10390135452749	0.0522152442529079	0.0478354432646761	0.166840482748136	0.0792763041377077	0.111761691366276	0.0469998773006259	0.0250850116163118	0.0441495171222161	0.136964113618255	0.0574641825292721	0.10089415380001	0.0884806897326184	-0.00259171418924233	0.0581782724750442
"2044"	-0.153275638125701	-0.129493142772772	-0.190477633617602	-0.0986527588082493	-0.218580234328203	-0.335725911990311	-0.166567227816911	-0.224128969313868	-0.17292176574868	-0.287623144209957	-0.215532585097004	-0.356873997975969	-0.354131555713633	-0.254210885553943	-0.227745047310303	-0.304575241955944	-0.331734528855292	-0.266297267493367	-0.156462328416484	-0.178477198595772	-0.174130740718234	-0.340432127642291	-0.245042057812245	-0.341110601924244	-0.277803255899076	-0.117757122268235	-0.199582719437352	-0.233358635886415	-0.20348591164216	-0.245453685065576	-0.0890775307733783	-0.356402361648188	-0.188843176173747	-0.202314025313253	-0.121060499849289	-0.100172032908492	-0.336481147760131	-0.31343715827159	-0.26813050430882	-0.231155356436838	-0.328106664695709	-0.227504412652033	-0.345783123854012	-0.290380174088323	-0.257276615094827	-0.175360201236795	-0.121845341501203	-0.0902959637308345	-0.34765870171742	-0.371913616344862	-0.204392213496694	-0.266497574172844	-0.350741087461589	-0.270728862089472	-0.22512507268271	-0.270502046812624	-0.135775576491619	-0.260131486505036	-0.276456647956913	-0.374393024378319	-0.305866301044876	-0.27860869929798	-0.244458238164733
"84961"	0.221932537498333	0.0792116208000791	0.120258364268144	0.188863865170881	-0.00740198307288569	0.100071248732484	0.015805689409119	0.101868210566366	0.138344493488005	0.131869355035025	0.124103421440115	0.0428187525978984	0.172169119441343	0.0545163028865949	0.170124902541154	0.0512836123205449	0.123144531570249	0.0854536587551873	0.0187649979857387	0.278144277727037	0.0958365668107319	0.079008581306738	0.160839003787641	0.0140054781166342	0.159946968072497	0.0155530674226543	0.0860719387754662	0.155373939626868	0.15154712370555	0.137675561380553	0.0668639445479377	0.0731522242566611	0.0877158303462812	0.109493998183688	0.0256807798422627	0.145179451300661	0.215127355392704	0.186930846442449	0.143263385820374	0.126277815267169	0.0980727808246086	0.138823928941991	0.112191233697488	0.151425231356392	0.164496832281797	0.203305697187056	0.0948481809973318	0.129428640709511	0.0252903195414716	0.11492175257109	0.115489480807729	0.10857463184112	0.147190591365131	0.135958872557993	0.143939789863686	0.151571738991495	0.139688497661834	0.0679009020803688	0.0369776067535232	-0.0821943069762119	0.136784271426576	0.131910371942545	-0.067169417273152
"220988"	0.0594069532882454	0.0337481762838722	-0.00493713208793107	0.050850316662685	-0.0519082481283493	0.155690828213145	-0.0572798922306778	0.0883096791615451	-0.0251709138640096	-0.0736455002948223	0.0215821080651867	-0.0202457453112804	-0.135105526216766	0.0560297969831939	0.0642130260509816	-0.111343826468801	0.0228013766978515	-0.0934442612132046	-0.0851230663084913	-0.181415134553813	-0.0270671978305176	0.0534538731487258	-0.0365854701875671	-0.186268162086075	-0.0101142587761256	0.0189236274992008	0.0695406098048226	-0.0835055190194155	-0.0437477357013949	-0.117836002460824	0.0144314618227353	0.0351979133295647	0.14856911660078	0.131408536182157	-0.189346791639144	-0.0234830118681187	0.0201801709034946	0.0589668096384961	-0.0327578178670372	0.0107328761316312	0.0970317505059996	-0.00535268237074503	-0.0905769123519113	-0.0467358829637949	-0.00370938973917302	0.0308234969454316	-0.0497939327134041	-0.0338879445785065	-0.228166291565411	0.0996667159672675	-0.296967074737376	-0.142563330383212	-0.193155471404812	-0.0657320193933952	-0.127637535246284	-0.192534006265938	-0.186510783492481	-0.169214059452143	-0.227804642747502	0.126643612103877	0.00184900389363947	-0.078672009895358	-0.208164541497175
"54768"	-0.251714359721416	-0.158754135767006	-0.211000846955934	-0.151282108614859	-0.372814542662037	-0.306246310531179	-0.17974629959257	-0.221206984952124	-0.136504274241894	-0.247852670785372	-0.216076406540202	-0.0903582377327561	-0.183427379243161	-0.121634359548051	-0.245580229749713	-0.176384338975525	-0.218866565490274	-0.215309037519358	-0.155445630565768	-0.220210345531611	-0.114506015035338	-0.20474814184595	-0.311829800617558	-0.350969148746839	-0.200387455483236	-0.232919252582392	-0.188445960411389	-0.336429155998931	-0.242069374047904	-0.122779031904002	-0.120254215898301	-0.181265073156606	-0.159226589467701	-0.301673745725404	-0.135776254788799	-0.194504133107281	-0.355882661679899	-0.0742541132563892	-0.330966131461336	-0.173718717704401	-0.46649501425783	-0.152092725160251	-0.191750615190733	-0.258102970874913	-0.290131603316268	-0.217910718431646	-0.107371621401965	-0.271818076396539	-0.131022792051847	-0.289669616631706	-0.149403461312599	-0.304448910203898	-0.137650560826354	-0.408971993355447	-0.247262650365479	-0.226633097347458	-0.108398140401022	-0.281385952567326	-0.28716418411244	-0.256813935368505	-0.262770278928061	-0.235570154272129	-0.180400237517642
"3614"	-0.296673800739184	-0.239079325126723	-0.3243650100241	-0.219943153371604	-0.208164811136732	-0.208225293600052	-0.15624193717483	-0.421537399905995	-0.400287590983327	-0.370029407691014	-0.243457688578971	-0.470367131744479	-0.518332089463575	-0.42401215184848	-0.318157645678569	-0.337264174066429	-0.246231349872208	-0.27579039130684	-0.138741852972683	-0.341977744704102	-0.189149878326492	-0.189541005188262	-0.295893732300372	-0.292454144328069	-0.15293316373376	-0.160670612264265	-0.406366911113313	-0.250821615961316	-0.317462618557432	-0.309507588422943	-0.377980020149576	-0.284775117301025	-0.396760304607248	-0.266585243190676	-0.35801529044562	-0.291647598743873	-0.193139682043591	-0.368758311818821	-0.363152007155582	-0.300742868340063	-0.472818186593231	-0.259464028203469	-0.477549208897678	-0.384233312584032	-0.328690845152627	-0.169385954748878	-0.179684801265441	-0.194268383436936	-0.352394280015925	-0.24828898315459	-0.438096459529687	-0.429279433526373	-0.345689771399123	-0.359034574411774	-0.363847828434789	-0.389650943457907	-0.415008699697368	-0.44362842978586	-0.404239653164853	-0.414710589197278	-0.300404839257988	-0.391539556931955	-0.291389528393863
"127074"	-0.004034453616267	-0.143390157204662	-0.222552856153844	-0.0303697359992165	0.045727754123566	-0.0274039763742136	-6.86977620698354E-4	-0.0617066016517721	0.0220242238026573	-0.0599351939620344	-0.108318058986765	-0.0976969878085379	0.0195571542267203	-0.168123176531722	-0.136700463314399	-0.0643003285067278	0.100240226561077	-0.0254244401133928	-0.0754870513163008	-0.0774247056807678	-0.0602259090719092	-0.104401731110564	-0.115934605833752	-0.0557084024347568	-0.0728705831293729	-0.00450796446133282	-0.0412787307817661	-0.0292123394896717	-0.184563558225032	0.0552122520104388	-0.022100983436813	-0.0782765653998203	5.90959970944366E-4	-0.0278896835024419	0.0349485929388437	-0.050990063984172	-0.00274580104929079	0.0401021111072686	7.36897135656127E-4	-0.153839283116367	-0.0258435859056738	-0.00814785980755484	-0.148286491917986	-0.0912466564868973	-0.0380018966449666	-0.0387542299762992	0.0266891868775397	-0.035481651026657	-0.169731567915882	-0.0617766383137327	-0.0212369593512769	-0.252900878526626	-0.125801054255848	-0.0544787778632824	-0.0841337662576369	-0.0394090651107545	0.07874018222843	-0.128947319316417	-0.0759043722092254	-0.0322044930894411	-0.0811318739645531	0.0628195302706235	-0.130332835123807
"390437"	-0.159998321018485	-0.0190557961961995	-0.171542581114116	-0.0441719167908533	-0.123178083181479	-0.0643334547640262	-0.161552639151929	-0.197276628060374	-0.0350564020732337	-0.123356185993324	-0.116895311498625	-0.0861192544377503	-0.0873913008893828	-0.060114868473409	-0.031100438235944	-0.0890582614994415	-0.168404424699035	-0.091903428374933	-0.0825328050885162	-0.120891002401083	-0.0129359153051219	-0.0712424829932393	-0.124119697275227	-0.0400200048990079	-0.0876554832039873	-0.117269199240948	-0.133037683757764	-0.239534669949903	-0.0257587256739356	-0.0412603064021049	-0.138106011990299	-0.110417700450161	-0.110574417902912	-0.178035216831607	0.0205090588508903	-0.00211884271700852	-0.0744729364233078	-0.115531831041732	-0.0262880280559365	-0.225715779517638	-0.186381986931009	0.0174293883742405	-0.0200675788637766	-0.0576150716607646	-0.102237133155612	-0.0231508197580797	-0.0757024838954032	0.0146190727339589	-0.0938904032139866	-0.201576936763574	-0.0902813064369643	-0.220872704483933	-0.144762111558191	-0.0558383767808015	-0.174921439388549	-0.159511780841895	-0.135896005181196	-0.0646339682242583	-0.071105314413422	-0.00887702496018359	-0.113129074024233	-0.195026895160593	-0.0737261487089743
