	"ACH.000118"	"ACH.000127"	"ACH.000152"	"ACH.000190"	"ACH.000251"	"ACH.000260"	"ACH.000278"	"ACH.000339"	"ACH.000397"	"ACH.000448"	"ACH.000450"	"ACH.000495"	"ACH.000502"	"ACH.000527"	"ACH.000631"	"ACH.000676"	"ACH.000711"	"ACH.000764"	"ACH.000768"	"ACH.000881"	"ACH.000896"	"ACH.000929"	"ACH.001020"	"ACH.001196"	"ACH.001346"	"ACH.001523"	"ACH.001554"
"10640"	-0.54972333095821	-0.418947486738289	-0.597192511462348	-0.466380834127774	-0.383136961155233	-0.395476681500948	-0.548509090362921	-0.297630931472224	-0.490911684907822	-0.400280575616839	-0.44392403175015	-0.484661238988772	-0.353952419853083	-0.533358134041839	-0.260714030298572	-0.392876659850362	-0.470075202673274	-0.367188750100703	-0.597067774158345	-0.493082860274349	-0.391816023973	-0.49842648089589	-0.368225548359473	-0.458574045726084	-0.364261369849463	-0.499564719272252	-0.49062363245881
"23265"	-0.587256679818125	-0.461157205572332	-0.410873474538951	-0.60134711512354	-0.524180190598408	-0.449193645813134	-0.427356779618697	-0.467410354604534	-0.442401504461761	-0.4184912924736	-0.590019325364653	-0.519515098158028	-0.351333209136172	-0.439788931268894	-0.367217361831494	-0.454552884246519	-0.469309106408866	-0.354157348063151	-0.458978005366998	-0.240550657500739	-0.405376004472252	-0.321603561467239	-0.673052166882929	-0.513273165494044	-0.357948656732644	-0.531188507087581	-0.410552635620951
"8001"	0.164259085128341	0.0741542020059154	0.0398805407448864	-0.0222430901656384	0.00504731754323978	-0.0170702245009119	-0.036285737193451	0.0564560314519824	0.0871269540902013	0.159787524542318	0.0266584482459892	0.191191105570843	0.091853551190275	0.0788877543219971	0.208794048041513	0.0883446661609943	0.0843942882888565	-0.0110644772905154	0.0944017071775799	0.212740815127946	-0.0224350489688141	-0.0394010247040579	0.0171959235679822	0.0906585548554151	0.0446026503584996	0.042233476368072	0.0619627768560106
"3485"	0.171409844174517	0.149856823598131	0.224673707476378	0.130005278501882	0.0927697365321381	0.156973079691797	0.0902664356914166	0.192206485883559	0.106461070788784	0.171058818964471	0.0456606975069802	0.301516827958007	0.126289688804852	0.185018558021212	0.398704955577132	0.167655516494966	0.122073950830133	0.0651562387353607	0.166209547054403	0.0936349957859112	0.210003614270695	0.111005270871289	0.293442649904948	0.143089269130084	0.187646508874125	0.188856299006057	0.135442938031182
"53342"	-0.151003617317263	-0.147455653122572	-0.179817946981851	-0.0515173180736452	-0.148740384927015	-0.17006010882746	-0.198549195459113	-0.107031556383638	-0.13262030244705	-0.174738838647797	-0.319179982041255	-0.0526934884982589	-0.197298822805708	-0.25855065689188	0.0627171553912208	-0.0794938425670025	-0.102277963753401	-0.372486711144492	-0.170610364517418	-0.230858869271478	-0.00250371944581166	-0.186355880004323	-0.137815856511617	0.0411446528916027	-0.126699580774192	-0.22565235652137	-0.189172286474008
"146909"	-0.242667147903692	-0.311191824605286	-0.593513156630344	-0.315570625371959	-0.0708685620352556	-0.078730455012316	-0.347394018534458	-0.506778580280956	-0.241581931812413	-0.2493795778605	-0.534200000557635	-0.291867009603197	-0.324484084670029	-0.545600458779874	-0.419613675201619	-0.476116657643795	-0.249062161749657	-0.228989468920932	-0.346539253636493	-0.567679988647576	-0.363773525146198	-0.169745365010417	-0.292514095393212	-0.127522940697426	-0.46318500293501	-0.195871425176947	-0.377791907249705
"11004"	-0.282333129098718	-0.32587283376104	-0.277162092973598	-0.398957292607144	-0.472737590661892	0.0433700754834766	-0.312038373459269	-0.277177471031642	-0.228596900586211	-0.348689208651918	-0.307949207490004	-0.782513719011916	-0.282848548875148	-0.484879236299155	-0.476407451650899	-0.410890483370085	-0.362304285471637	-0.145657475201132	-0.16711307864572	-0.461262634556922	-0.175277265644298	-0.521941687597581	-0.313481192104404	-0.140266098069552	-0.408464483767764	-0.391183660175042	-0.430183588189333
"253558"	-0.0439771868648667	0.0656623067502544	0.041523889512463	-0.0794283973990921	0.0895780084745615	0.117424551451731	0.142428686149281	0.0883536932323146	0.14297247794347	0.0497336421281502	0.166193867849463	-0.0120056560763503	0.161614467243963	0.105548966299682	0.221057009783148	0.0936296711495506	0.106733962339594	-0.107683269750957	0.0962046843407172	0.0701376712589014	0.0677529447974472	-0.189286473499922	-0.108094890146749	0.190816705126127	0.147155471940244	0.146350735132777	0.128560281673814
"51451"	-0.545413312115812	-0.788069016778723	-0.501636840521889	-0.507059006156582	-0.521728205448132	-0.533489045814807	-0.534973940854581	-0.709951978529963	-0.451804111689397	-0.298451066354055	-0.472602657076981	-0.52047098427191	-0.653257052132517	-0.647716838858698	-0.175266877999626	-0.659843271873278	-0.710730285966878	-0.471946484785231	-0.810774296646994	-0.369129720185564	-0.0786952725498033	-0.831970147320961	-0.632146278366991	-0.416703384909385	-0.426608515895592	-0.448566444177511	-0.785125124642585
"644890"	0.267531671608095	0.193200946118547	0.280937777228846	0.266721343595496	0.160495199453318	0.253320060631612	0.302774190158349	0.231393010719564	0.303811812693043	0.199764575912783	0.3482500345263	0.322583728055085	0.246678484918037	0.19881088011814	0.318224594331395	0.196049067714322	0.206461780751738	0.37234049817091	0.320066662809044	0.293715273311793	0.263909390400648	0.285483315960111	0.26731820530127	0.219755521824665	0.220847061699178	0.253024870180752	0.260212874145667
