	"ACH.000013"	"ACH.000021"	"ACH.000030"	"ACH.000118"	"ACH.000128"	"ACH.000148"	"ACH.000227"	"ACH.000232"	"ACH.000235"	"ACH.000259"	"ACH.000266"	"ACH.000281"	"ACH.000302"	"ACH.000307"	"ACH.000308"	"ACH.000332"	"ACH.000339"	"ACH.000352"	"ACH.000416"	"ACH.000448"	"ACH.000480"	"ACH.000488"	"ACH.000499"	"ACH.000556"	"ACH.000601"	"ACH.000616"	"ACH.000618"	"ACH.000620"	"ACH.000621"	"ACH.000633"	"ACH.000638"	"ACH.000657"	"ACH.000661"	"ACH.000671"	"ACH.000683"	"ACH.000693"	"ACH.000694"	"ACH.000711"	"ACH.000734"	"ACH.000758"	"ACH.000802"	"ACH.000823"	"ACH.000834"	"ACH.000849"	"ACH.000856"	"ACH.000862"	"ACH.000866"	"ACH.000869"	"ACH.000910"	"ACH.000921"	"ACH.000936"	"ACH.000941"	"ACH.000946"	"ACH.000947"	"ACH.000948"	"ACH.000974"	"ACH.001028"	"ACH.001038"	"ACH.001151"	"ACH.001163"	"ACH.001183"	"ACH.001275"	"ACH.001318"	"ACH.001368"	"ACH.001523"	"ACH.001554"
"8500"	-0.118443335681664	-0.116252024195986	-0.221214584334477	-0.152809821922188	-0.0931826436340336	-0.0943477852981078	0.0677988559791985	-0.286177548144777	-0.0887408718317048	-0.176501446044143	-0.26118536897243	-0.253305982047925	-0.188789535873254	-0.154709284033255	-0.0785481511790494	-0.217751678480157	-0.200361009002217	-0.179924767838421	-0.181494431975847	-0.207790235152473	-0.125845362725125	-0.0978895189275681	-0.169746395935658	-0.122468146368468	-0.118995707050587	-0.128677941677117	0.0404427835743953	-0.0184984826748176	-0.0720512154349331	-0.173449094011487	-0.288947095738885	-0.24394974061838	-0.352434301624045	-0.232154115990845	-0.0709271197997909	-0.0141797468820114	-0.181917540976983	-0.108487224323333	-0.136647745068418	-0.103086942510128	-0.247574465056087	-0.109729498790388	-0.12169126313219	-0.0425473015995703	-0.162388336287107	-0.129913401690905	-0.115881763779782	-0.364180954314133	-0.238754937038527	-0.219030257903886	-0.137069072877216	-0.196246578262403	-0.16555952980848	-0.110273291668442	-0.230245873973545	-0.207201511497692	-0.172306874115544	-0.132970116722594	-0.175622226476407	-0.11535585155258	-0.266823147676201	0.0159920814254755	0.0550686473190116	-0.150228369083571	-0.0812679579211559	-0.225545764540517
"5901"	-1.98503673901868	-1.85216688610693	-1.99895006067249	-1.72936567503962	-1.67292947859035	-2.00568924323627	-1.91369581079568	-1.94412838461473	-1.74713148840677	-2.13219519296299	-1.7571759584237	-1.60878107807053	-2.14901088960802	-1.85970420457527	-1.8270453657414	-1.84283516044735	-1.80266614524697	-1.85688160048388	-1.65871201532209	-1.88527688775248	-1.76103222400566	-1.78392529135875	-1.77387099042676	-1.86370731706963	-1.75018235005397	-1.4275244411609	-1.87060692424987	-1.81031125700637	-1.74376566116276	-1.76895755471091	-2.09473249986869	-1.94898439210813	-2.12016139343606	-1.63314431901	-1.68090576108895	-1.72322689188201	-1.76164361594173	-1.75494931407939	-1.66170456346541	-1.63151504024211	-1.78456856809465	-1.79529852398284	-2.01694340612984	-1.83929832811704	-1.94421019844585	-2.01580679218666	-1.82703515714394	-1.92352689623758	-1.83467980251939	-1.79724505762726	-1.69544270835713	-1.93125152004265	-1.87305253782603	-2.02633306565942	-1.95389479241607	-1.56899632352571	-1.74147433048526	-1.90329134922658	-1.85552759720072	-1.63388543633712	-1.81386150221564	-1.62860340261477	-1.93785515453896	-1.88016703719255	-1.94764615323789	-2.0028063164658
"729873"	1.88541882879127	2.01078915252059	2.01176149888605	2.15135707995914	2.01887757032826	2.00434691949025	1.38795942846892	2.01254836300437	2.08761469391238	1.70142734314578	1.90344701679304	2.40419270445073	1.88222000499821	2.0831646011987	2.0885275585211	2.03800619409497	2.02455816638371	1.92040818046772	1.9730493770553	1.97906779206645	2.21308640439977	1.90364150719294	2.3474167792884	1.96907784996577	1.99834210200548	1.99337578006481	1.74117998197552	1.84206407201736	2.13686235591459	2.12910777033611	2.08512425410116	1.8980667607905	2.2000062871166	2.25432363368471	1.85255258646486	1.9749543146288	1.86667544714303	1.93009170860575	2.13038559762433	1.91730439649985	2.05991840682824	1.82115518787607	2.01199917363445	2.10014051594514	2.52022450309449	2.0828216376843	1.91371558819445	1.93232449039235	2.02423217561552	2.05502271488513	2.21207657504473	1.86740689522107	1.84883405048596	2.01305696505475	1.99538226950942	1.78358358317678	1.96871332699557	1.92942043158684	2.00367742109274	1.87548382344008	2.10859505052044	1.93419615984165	1.96541835114498	1.99254194767172	2.13196274192351	1.96454065421144
"414060"	-1.58340216177402	-1.64917912003685	-1.62697068578901	-1.65845862264887	-1.55305252043255	-1.81872929364502	-1.69319359353341	-1.63092355182031	-1.62177695612892	-1.59685660128689	-1.55466288221163	-1.70803470841456	-1.65400338835724	-1.57357023516557	-1.57409658190448	-1.56148800958497	-1.53682008168279	-1.59646294963779	-1.47681235879405	-1.70241481327558	-1.67288566942425	-1.50044256894438	-1.65242901923013	-1.44989512393349	-1.58906620679955	-1.64387648131353	-1.67682213173724	-1.7128996856171	-1.59050623757088	-1.66668840079811	-1.44876068808916	-1.57570325479831	-1.73172608565588	-1.70031341280911	-1.58706902050526	-1.56281154499094	-1.61010440923616	-1.53454023558227	-1.67410393084053	-1.59403263530798	-1.75620923268821	-1.50188548524786	-1.40645348939465	-1.76945314828728	-1.77985618672989	-1.65497981897153	-1.55862151290575	-1.59466366722084	-1.57289535234086	-1.45052391322803	-1.61546235145172	-1.59412449828228	-1.55372959729743	-1.61553998473375	-1.55831846815676	-1.51212245841264	-1.50815555633865	-1.68924312077082	-1.62861745841788	-1.58103072489807	-1.40516924014358	-1.32836021509937	-1.60909741169932	-1.62385162224843	-1.79428406558232	-1.70518124197248
"6923"	-1.19857120139912	-1.10705195475115	-1.27652562087904	-1.05876382804685	-1.17966276861347	-1.29020165895235	-1.1112636103858	-1.26778308829946	-1.21348494212383	-1.38228788332649	-1.21835880867892	-1.19448257552415	-0.948855789681412	-1.25938152026758	-1.24729892016783	-1.08882324870917	-1.15255600313581	-1.2430509162258	-0.961770432483641	-1.01906956764597	-1.00457386377114	-0.999936228888419	-1.23860746063293	-1.23760657843143	-1.11587168639681	-1.13128434791791	-1.23745245653169	-1.10694974334925	-1.0877392718054	-1.00176091507963	-1.10584274298137	-0.986497653527957	-1.56215152061182	-1.29988117881184	-1.30291180780266	-1.22702713327046	-1.09296312774911	-1.0781264071736	-1.3393645031347	-0.94671714104957	-1.01939146152194	-1.08142312687536	-1.36002242264917	-1.37657838560144	-1.24999389817767	-0.973117962978051	-1.37206149399014	-1.35123465941159	-1.05346590757715	-1.29803051527217	-1.1790675243111	-1.18424424320346	-1.24207095710698	-1.18212034564696	-1.20985305080523	-1.1064950392442	-0.971096581502644	-1.21861656369883	-1.31446410133001	-1.03246638177242	-1.1279658394691	-1.08558196348927	-1.34750770764596	-1.31819910100408	-1.56218371561723	-1.10742031861251
"83741"	-0.0839740986823242	-0.138757219642407	-0.206227032754512	-0.169956753635114	-0.177212670353198	-0.163273577038012	-0.295629795236828	-0.256539129569445	-0.219312515213471	-0.193284641039649	-0.184835119346948	-0.249285730380438	-0.129198483804312	-0.231200807742308	-0.157706090704265	-0.258863661443549	-0.239163277147636	-0.289632897326833	-0.207178078682712	-0.133736636845214	-0.175805827574195	-0.142457514718723	-0.339792452950775	-0.173142417310512	-0.103837738028836	-0.262479332100486	-0.183137120137714	-0.0944306607752186	-0.192406085602389	-0.164100787145146	-0.334087546078343	-0.222107867848872	-0.171872740326175	-0.128466600689847	-0.286041647731884	-0.254631592021099	-0.227260387025797	-0.198667382357181	-0.282892190432958	-0.0297153357025828	-0.229754858751192	-0.207309611550767	-0.261934541913718	-0.0707453664174944	-0.186936475623053	-0.0294335394567661	-0.100301552155834	-0.441786845070181	-0.303463762046478	-0.21459086164658	-0.346661149051814	-0.301208739672324	-0.243549716358404	-0.29070754934618	-0.185074000594691	-0.299391745440258	-0.18522056658932	-0.269348649725833	-0.320800836890308	-0.246542578820413	-0.144248720115694	-0.150520358649094	-0.196744616583198	-0.15442942786329	-0.138753392931815	-0.243385417217911
"7226"	-0.176027311885101	-0.113112642137803	-0.173623172444934	-0.0874651732786013	-0.0416095234412757	-0.204493804279477	-0.179487217564137	-0.210897269332431	-0.180969087694514	-0.15723299986003	-0.16909568764797	-0.247994232186771	-0.192983578598603	-0.154528296153215	-0.18592497951068	-0.263433291981574	-0.243636103489784	-0.144765879962721	-0.189197812884268	-0.16008604278073	-0.229664093520312	-0.306843392822481	-0.176074122162738	-0.255094813758317	-0.207714269796643	-0.268881688131465	-0.221240135257567	-0.29804733709668	-0.19245731236617	-0.16858173524226	-0.0782534071804697	-0.121322784590651	-0.182207166846056	-0.163848465310416	-0.0855094019026779	-0.261528077598859	-0.278643697504483	-0.0816505488027941	-0.213642039628538	-0.0793919334778079	-0.211801232251936	-0.256485449914322	-0.183207293851663	-0.214549066131938	-0.237030971422999	-0.160899937122878	-0.127154547823795	-0.25898171660621	-0.0716975248685908	-0.145675720867547	-0.0466598144363576	-0.13313595521731	-0.240736909159348	-0.246690946454926	-0.0852728158198549	-0.118573101437558	-0.247912347256958	-0.0987346599461148	-0.180408081905504	-0.13171177919877	-0.367255279409177	-0.172357036205974	-0.111132978126739	-0.0877748344504869	-0.178162390294599	-0.147205048666781
"7337"	0.0322743605500808	0.0749399010599779	-0.0249280718942585	0.0168058847649589	-0.121619226112128	-0.0398885883043569	-0.0990840379093139	0.0446046471479019	-0.0902168384399972	0.0856194668858722	0.00289500294736241	4.41082207194386E-4	-0.0264329201283114	0.0391841016793138	0.0301246561244771	0.0396743862154992	-0.111429796780213	-0.0362449602120567	-0.0355672502580108	-0.101979292359861	-0.098643979806904	0.0621672848578984	-0.0798290607183301	-0.58771194599764	-0.0160720150669897	0.136379426622512	0.0157577967369776	-0.0997320994325347	-0.00579605148896289	-0.0372974328675102	-0.062610030568002	-0.0915335959599972	0.0188259527390201	0.0527984020750757	0.0199039897662771	-0.066172037006655	-0.10765526512377	-0.0578709882034155	0.00718215623222332	-0.194676037175094	-0.127885372881547	0.139387836000658	0.114893850951629	-0.0472033802513479	-0.109753405428755	-0.00349829138054828	9.55313762899556E-4	-0.188386764047873	-0.106253759954227	-0.0727453465845323	0.00913382622652445	-0.0889094900027851	-0.265298141189215	-0.0678791966505944	-0.257807715892005	-0.0726366986851348	-0.0413603361134906	-0.0728395033034619	0.00944701950303344	-0.158498450249741	0.157413735557592	0.148125253437015	-0.00377236590511163	-0.134253921522436	0.0266274334291932	-0.204731422887869
"51096"	-0.608300223076189	-0.461372079168713	-0.647293944592143	-0.629988160146224	-0.594998323925406	-0.794551628466083	-0.449623751336049	-0.648706809173344	-0.652351858202359	-0.525058212316941	-0.633604255722283	-0.57871710148992	-0.592676121726265	-0.637129143935476	-0.68575792958478	-0.585779290323167	-0.605291991677898	-0.583849505404254	-0.653788397289963	-0.595161465313705	-0.784625321839383	-0.62247773524892	-0.612479518829606	-0.70462211677204	-0.778166980162934	-0.647598124339845	-0.715246934557994	-0.535402430968369	-0.411530983214788	-0.463993945222348	-0.582820356244033	-0.67316329313764	-0.548556624924426	-0.680046578110147	-0.510979997529511	-0.700371496551847	-0.66323252946954	-0.408446431074459	-0.631620422633562	-0.654322542920241	-0.618688225180504	-0.702175297649381	-0.556207286399	-0.409792110996117	-0.631096030800731	-0.761570457835339	-0.548368433762713	-0.68556042306006	-0.539655196993086	-0.857285529965804	-0.51279801492179	-0.555910154294206	-0.82438807358643	-0.704268836062402	-0.655237001954699	-0.765377465379087	-0.77337243827691	-0.663648897987329	-0.701150071369549	-0.805074283004888	-0.634840309892507	-0.631309167773949	-0.592319516662795	-0.754090778150296	-0.696926415887845	-0.566404706999795
"7428"	-1.16804699843908	-0.81325032056026	-0.933381395911305	-0.928626116717078	-0.897759799498723	-0.787371118783461	-1.01122362031853	-1.00164598616472	-1.1488567822512	-1.26176281641507	-1.17021083033774	-1.08170854359817	-1.03691407988721	-1.08691050711208	-0.860436066244178	-1.01743264665851	-1.03871114507584	-1.06837291278566	-0.991616409229645	-0.937327813650673	-1.09110891164155	-0.928998821645653	-1.00013375373533	-1.09234594556243	-0.989081677567248	-1.00039826490566	-1.12624156684389	-1.21789434042701	-0.801689854654915	-0.959961476292559	-1.13639432017311	-0.896340877164085	-1.38293221436297	-1.06184618909055	-0.960127074626472	-0.905368312268982	-1.10748799780503	-0.890406134047099	-1.07454949220615	-0.827223180601779	-1.06056352266042	-0.910707740185853	-1.11597794886173	-0.388264017348501	-0.855786191017176	-0.98828512066424	-1.07979309688404	-1.10839637201703	-1.08411252798835	-1.13238828513483	-0.897420724257877	-1.03451567186833	-0.833642918206264	-0.636855189980093	-1.14064831687202	-0.870072507381053	-0.881541954039491	-0.815975179834956	-1.05559186130955	-0.900042040319051	-0.997310405311756	-0.992694658322905	-1.02166863609207	-1.00205489084023	-1.23489344150185	-1.13057922891345
