	"ACH.000007"	"ACH.000011"	"ACH.000234"	"ACH.000246"	"ACH.000250"	"ACH.000255"	"ACH.000272"	"ACH.000324"	"ACH.000348"	"ACH.000389"	"ACH.000495"	"ACH.000505"	"ACH.000517"	"ACH.000521"	"ACH.000552"	"ACH.000601"	"ACH.000649"	"ACH.000663"	"ACH.001067"	"ACH.001380"
"5571"	-0.0389895107614311	-0.160108922582552	-0.0731102304009049	-0.206116427326979	-0.0788688477640786	-0.099098154138251	-0.0250801952115084	-0.108931262081255	-0.187118833149675	-0.124355989864665	0.108870308135145	-0.17335923505666	-0.122959122657337	-0.0491579245737874	-0.1480672484969	-0.224494016344524	-0.195465272783437	-0.189457675441231	-0.268642094105047	-0.16175290429002
"5747"	-0.627044054156374	-1.07526826674457	-0.747444368486546	-0.829580389124091	-0.68958839018498	-0.703681426241435	-0.728744886838101	-0.909327111351238	-0.746643416302037	-0.96351346267199	-0.819096562258254	-0.743925717016156	-0.737196288346853	-0.88247256933193	-0.684232056230489	-0.896575152255425	-0.727785162886466	-0.972427528720498	-0.885238753511513	-0.916418466769056
"5901"	-1.59134932918362	-2.12479276708866	-2.03427625437724	-1.77745018388462	-1.600712375175	-1.59985741257745	-1.59800310546817	-1.74381863835888	-1.94159997111245	-1.69155932427978	-1.70391065822583	-1.68734224150197	-1.77811448702539	-1.64760080445148	-1.80662504782881	-1.75018235005397	-1.73566644453909	-1.81684043332473	-1.67304297957975	-1.71236007040665
"5983"	-1.2554219080416	-1.37507964420174	-1.0628921462102	-1.29451696904854	-1.35539889625399	-1.24872327459984	-1.14073388626377	-1.39949550407472	-1.37577136680064	-1.71248259857054	-1.44559416687228	-1.21393945863551	-1.4548631535436	-1.61548995973182	-1.12778970119485	-1.15763002260694	-1.56902251448912	-1.46579859743469	-1.27107949318545	-1.32597325763038
"6274"	-0.0411679494775927	0.135048278273255	-0.1029268598421	0.0822604477232823	0.104659872113676	0.165977691001996	0.0353701955971447	0.0284661364993488	0.0571199965126905	0.108594702966938	0.153607775823157	-0.0121469347496131	0.0305030302140528	-0.0145285311949035	0.181156530987095	0.129614147144686	0.0882328490710521	0.149822744070516	-0.0011122435167093	0.0550087005370602
"55206"	-1.08015221699418	-0.966760881352431	-0.87480745681682	-0.90225949710663	-0.866800767244339	-0.978840277993595	-0.92468212047655	-1.06844144296076	-1.08314260699378	-0.89638998018783	-0.988305962801017	-1.02697095446471	-1.11733834040096	-0.871483095782949	-0.906046072337905	-1.10296141334753	-1.01684631660304	-0.999271608518569	-0.973701573790756	-1.03267757405558
"6614"	-0.224848847320872	-0.225272333011744	-0.259697997540752	-0.166958201716514	-0.0680861072307571	0.0644952255787733	-0.251597985487034	-0.185759049217123	-0.115097400546486	-0.291181973234742	-0.0847464994946245	-0.110351690682652	-0.230995014309565	-0.276285726647286	-0.142969976287556	-0.0646315058525525	-0.139479928673102	-0.267368495142822	-0.125853396697874	-0.275230595902035
"10650"	0.0562047179550178	0.18508975506582	0.207968123232087	0.0369479760723596	0.136185985050622	0.218129171219297	0.270725426854662	0.110392992573092	0.150591461301137	0.266498953012607	0.155329480902102	0.0764726965131309	0.105380926441811	0.0600481074228612	0.113936204941179	0.133474108083112	0.179455816043399	0.175171529141379	0.061414904278287	0.201670140850884
"57731"	-0.158901638674282	-0.218480474803215	-0.223145702886125	-0.154900135317679	-0.204347160988466	-0.258631540257309	-0.0303564975797935	-0.234174676950814	-0.0767899268028334	-0.214722014338474	0.0945208029306611	-0.10672981842604	-0.265506134034245	-0.201563566935088	-0.107046000415859	-0.0847458679006465	-0.104858608897413	-0.215235344953783	-0.159230800698499	-0.0304133306067063
"80725"	0.0896188922441115	-0.11430092933254	-0.0368929913377403	-0.0200749730563183	-0.102063319843448	-0.226872756161991	-0.0717551080743832	-0.107430686785511	-0.140341993161036	-0.152724068512212	-0.176568608474529	-0.111089965330505	-0.103200443028919	-0.249850065224272	-0.173032505484405	-0.0175035275651404	-0.126600467869296	-0.251204452310806	-0.0226439836261034	-0.0333489997536429
"729873"	2.69660141366817	1.96967217161637	1.56202695315356	2.1098105681284	1.95877269162881	1.94168391562208	1.97499132438972	2.01220266736443	2.0662975733329	2.19116355061237	2.14889930343161	1.97985888733272	2.12685980135062	2.29882676180257	1.95601993010269	1.99834210200548	2.024223145192	2.07160716967961	2.40852311976106	2.02812885259023
"6950"	-1.14226108109753	-1.28897186110823	-1.14535265048133	-1.11795735821902	-1.16162811270368	-1.23850316349673	-1.04124513267319	-1.16178903764494	-1.10773626283888	-1.2892305469656	-1.18680208666595	-1.28043457508889	-1.18657525791889	-1.24838708137917	-1.13118772802657	-1.1758800674643	-1.25987920063467	-1.26678494557197	-1.22978691426138	-1.27266492188813
"7052"	0.156202364603389	0.127444620951876	0.168020760289189	0.200043207333125	0.159072890076436	-0.151002856989534	0.125580524136494	0.152962947242525	0.106329969716693	0.217669070710969	0.122849402233496	0.146663320391578	0.146111820596522	0.0883254356762641	0.302646747294764	0.148851411081349	0.18011296134663	0.243462620915427	0.100381238679793	0.116088169196103
"79847"	-0.264900655520322	-0.374003082247993	-0.0969687742380078	-0.263346083082519	-0.331017018266387	-0.153028330416947	-0.184373265843516	-0.272293824031877	-0.214089952473042	-0.233789845347689	-0.22411977558405	-0.23146617041104	-0.285889307123548	-0.219253343272833	-0.247646383571778	-0.220776483883907	-0.12510720764266	-0.194192723203015	-0.238648972005303	-0.265085522877938
"54495"	0.0469062214020437	0.0515598142625702	-0.0199654254614963	-0.0925023675483008	0.0581439768793366	0.176526872384593	-0.0415379326203762	-0.0335281899398208	0.0961794659066357	0.0371299000364894	0.159120208075237	-0.0295001318716502	0.0119555559154687	0.0766396565475561	0.125998609845639	-0.0167104087255827	0.108069734168419	-0.186796996789343	-0.0921822285647186	0.0427046031657547
"57617"	-0.811900556093513	-0.931465186791418	-0.893341957203771	-0.782005734887409	-0.812883360018619	-0.889683822552951	-1.17550899484479	-0.773281054313763	-0.946705636262416	-0.891111309479324	-0.973570392708381	-0.805575258352737	-0.867014029087645	-0.962453296321456	-0.846686537226254	-1.0252804735534	-1.00115331260855	-0.799766836267006	-0.900939150134438	-1.137265372962
"23090"	-0.0130021159119645	0.184792929847057	0.142863347949078	0.261957417858483	0.190331759599355	0.182199834777318	0.115486285090795	0.264612768468862	0.207326647969858	0.16285919433847	0.151464282202704	0.0509491969343702	0.11974676777022	0.197210987512822	0.227950824358686	0.145466191462472	0.196989896483847	0.216882948130613	0.142002807206996	0.156265653881818
