	"ACH.000127"	"ACH.000143"	"ACH.000146"	"ACH.000150"	"ACH.000169"	"ACH.000178"	"ACH.000222"	"ACH.000226"	"ACH.000228"	"ACH.000231"	"ACH.000235"	"ACH.000243"	"ACH.000277"	"ACH.000288"	"ACH.000312"	"ACH.000322"	"ACH.000331"	"ACH.000335"	"ACH.000348"	"ACH.000361"	"ACH.000408"	"ACH.000415"	"ACH.000452"	"ACH.000473"	"ACH.000511"	"ACH.000549"	"ACH.000589"	"ACH.000591"	"ACH.000620"	"ACH.000638"	"ACH.000649"	"ACH.000653"	"ACH.000663"	"ACH.000693"	"ACH.000694"	"ACH.000714"	"ACH.000718"	"ACH.000736"	"ACH.000760"	"ACH.000783"	"ACH.000784"	"ACH.000800"	"ACH.000867"	"ACH.000887"	"ACH.000896"	"ACH.000906"	"ACH.000924"	"ACH.000928"	"ACH.000988"	"ACH.001228"	"ACH.001239"	"ACH.001277"	"ACH.001654"
"2071"	-0.437631339452101	-0.565490124105965	-0.628206661009367	-0.622977826604713	-0.468275198162729	-0.61009877204797	-0.481133522052079	-0.52020103100328	-0.54251608945093	-0.632940090946379	-0.435032189345505	-0.393252318740681	-0.43905936445637	-0.554072799518604	-0.528337761857052	-0.545134943347158	-0.764543754209397	-0.428810825857383	-0.372822001296974	-0.654376664742441	-0.503912105646884	-0.547918974646738	-0.554462810309188	-0.593383349269856	-0.669933839641797	-0.455708376260016	-0.400130781767172	-0.477431039950594	-0.313882837345905	-0.487048150655972	-0.407603298327026	-0.466651239402478	-0.597184123198577	-0.600766997396488	-0.557996834253069	-0.421955567703881	-0.334288643477915	-0.481393502739622	-0.518621143945684	-0.390240159697004	-0.592418973354059	-0.341299412579894	-0.790845738615756	-0.566421606727526	-0.441076109185548	-0.354444837871834	-0.364572385603068	-0.531948840654412	-0.429339313325973	-0.467628894772053	-0.469300442438179	-0.391473836438788	-0.620653175198259
"2318"	0.0331664990472949	0.0521731829989901	-0.0198253436804921	0.172192315970636	0.0241258602203213	0.0557999071628717	0.0887441112447624	0.00873656730316302	0.0807120518437547	-0.0316626654065416	0.0109645331194017	0.0610493363163308	0.0996099029507738	0.0295059077755017	0.0492213675364893	-0.0693045788740451	0.101108512838384	0.0140061846282307	0.112759953593206	-0.0130680062208843	-0.0966407558436699	-0.0362084889239386	-0.0427398906185249	0.0856858644105926	0.0419962504198617	-0.0515117586799861	0.0975221306520972	0.022892983375439	0.0793727965656492	0.0606593403098138	0.0180458707592469	-0.070478759498332	-0.105840068358727	0.0219513736811489	0.117687334884435	-0.109464107106252	-0.00313044271312553	0.0456746780793494	0.0922329067825744	0.0940410699144544	-0.100941364174881	-0.0390848709070902	-0.017627984876364	-0.00950158472119143	0.00237227998564022	-0.074601637471064	6.77626421561336E-4	-0.0798514337444686	0.0873363164525131	-0.0313476750820843	-0.0632909390365691	-0.20783119981579	0.0321597264843542
"2487"	-0.115494632334554	0.126653893545025	-0.0618937364673908	-0.0770608267165294	-0.011413129557063	-0.0123375337436877	-0.0241040687026062	-0.0586733318655078	-0.0370121109064833	-0.139729703183309	0.00921534730644629	-0.0560723251913793	-0.161778285342063	-0.0618812689898529	0.0525022358686091	0.0725226343226136	-0.171477283855442	-0.0431540123237244	-0.0842013715402358	0.00265732795792869	-0.120275981241139	-0.139019501830016	-0.0731296973656402	-0.0134791247756344	-0.0221130091184137	-0.0467623526006298	-0.0705665034824801	0.0220492753486599	-0.0532291390804105	0.0485962877861062	-0.033304682893228	-0.0742260338649304	-0.080390006559364	-0.0444682944099612	-0.0964295500389903	0.0405423117721745	0.134372121362384	-0.085514831017452	-0.100001329022059	0.00940240016734522	-0.088888357846753	-0.0400760990137698	-0.117759043532848	-0.0635881358131452	-0.12789552739459	-0.0686550165156029	-0.0842390090409013	-0.217306974027096	-0.117121764432834	-0.124480378064545	-0.162080518818943	0.166418880565665	-0.0715228634797019
"2959"	-1.00494952441484	-1.27808359421181	-1.21166749748794	-1.33987905648395	-1.11720875712224	-1.03483462715437	-0.992783819148797	-0.975051161021689	-1.4203729519537	-1.13182763840588	-1.18448843542283	-1.13062688429224	-1.02415551179704	-1.00047674136304	-1.23607129914599	-1.04052813823119	-1.16687627303935	-1.0413199389188	-1.08062913951273	-1.31173463253623	-1.0979920910022	-1.06976590987784	-1.18926758439286	-1.18089518526109	-1.06809193280211	-0.992185293023895	-0.850009919466981	-0.981813622241967	-1.17104704369824	-1.05249879191488	-1.02320899872714	-1.05747026072142	-0.804264903371962	-1.09592900172417	-1.11541127816772	-1.30332057470467	-0.93503056282196	-1.11022988972828	-1.04216511448406	-1.3284908857701	-1.10577276094817	-1.13578269594587	-1.06996651792766	-1.05890540252998	-1.12096868113062	-1.01528782073747	-1.15681346692162	-1.22852369388079	-1.08426070099824	-1.02169093706272	-1.1429434659722	-1.08541100255775	-1.1236598044413
"10524"	-0.660223313870265	-0.734385460919835	-0.645935834239012	-0.65601350864113	-0.630850202630079	-0.557502656484457	-0.650833969058311	-0.679887762811699	-0.781254468849041	-0.762055748395945	-0.562157613868324	-0.410083293702851	-0.610786966542633	-0.674385612519494	-0.677890222554722	-0.63629079401722	-0.747724904455779	-0.575992305531863	-0.571701105770421	-0.590663004802994	-0.323361442514477	-0.614951455271712	-0.721580233280596	-0.700508004690139	-0.646363915273203	-0.795509087958582	-0.713564617569455	-0.648797303347866	-0.514229238227199	-0.722236304710478	-0.574481881494631	-0.962588816940431	-0.647981490126646	-0.556135537534477	-0.657403785389361	-0.830952248371138	-0.812160794498286	-0.700594439623995	-0.753502135909956	-0.674082913581974	-0.66763102231752	-0.759629760916697	-0.716099420842542	-0.633329760355789	-0.757680603031452	-0.642679284448128	-0.538643490856273	-0.70789176924084	-0.642216504734434	-0.739129192369585	-0.585308178359257	-0.710523808941526	-0.696648005692126
"84148"	-0.650428464995892	-0.920634534870766	-0.764675350868124	-0.712507364889189	-0.874458922351798	-0.689581902780639	-0.686543769133334	-0.937177209929296	-0.815011713757476	-0.883694371200708	-0.652493979886317	-0.749184874039247	-0.547348702861826	-0.774058348405486	-0.807098965499196	-0.772865944764326	-0.85592524157714	-0.815922725026227	-0.724574732475067	-0.814887487975418	-0.610679522167415	-0.711998321915984	-0.787932515945641	-0.645494077407877	-0.608174857499899	-0.743395171888238	-0.775493193473006	-0.749409130381076	-0.822052757341279	-0.814232138737153	-0.738939392466871	-0.905632791174303	-0.803923240515222	-0.68903278277784	-0.71838521928546	-0.865995775370548	-0.951417063404115	-0.728221863950129	-0.846197898507531	-1.04086419145773	-0.873359785397626	-0.703694784984948	-0.969531788519241	-0.800333072315384	-0.850903577707238	-0.721536156387087	-0.664167479584859	-1.03947785426594	-0.901785442794409	-0.791520312534437	-0.620698336833044	-0.578158157275989	-0.794862253445271
"3824"	-0.00788184487823928	0.120928648367607	-0.0220522345250017	0.0295870913446686	0.048304239857749	-0.0125779809263282	-0.190169732033445	0.0984841135207781	0.0944347308436324	0.147143366463093	0.0436196193510941	0.129496144010609	0.0826765443678592	-0.108249322308564	0.0687744759122673	-0.022914858691816	-0.0384529055286446	-0.0512333351408922	0.0559950917741414	0.0620262807049333	0.116954288431872	0.192266573444154	0.0286261879321202	0.0142408430883458	-0.0639939363366113	0.0463118918448847	0.0900986693386445	-0.0150907477390437	0.0386746927343642	-0.00431866128102812	0.00615600081283673	0.0896664844582485	-0.053322156408708	-0.0217469113955609	0.047991066834106	-0.0127953023057436	0.0700783221530438	0.0249767247801428	0.00365849566355771	0.00638618181722997	0.104967923880364	-0.0850393922689419	0.0546264357854354	0.0996353555470452	0.0129656118525182	0.0449294043686084	-0.069550796020429	0.129453785253973	0.118998838348143	0.0252971292998075	0.0085636067859608	0.0898448125726399	-0.00647118078739286
"6837"	-0.913292014037694	-0.687624903773249	-0.82203745031227	-0.636591504615021	-0.771419385421751	-0.806863633720166	-0.703038696594961	-0.691796859286129	-0.738198066795647	-0.746931476508415	-0.67089092083598	-0.800001047137859	-0.746927534818641	-0.633354868716117	-0.818837253356255	-0.638482015039932	-0.717987938130743	-0.538381410917989	-0.800594112630899	-0.732754450277824	-0.611465578769816	-0.708322221317672	-0.713300507904776	-0.739904730457112	-0.608336100356751	-0.700524155489189	-0.8160698030649	-0.681496037816094	-0.822298829468847	-0.748790952557894	-0.675346068261607	-0.856388871345532	-0.951104782329503	-0.739464377015714	-0.793641422984208	-0.668461804357466	-0.647173927743443	-0.773204030501483	-0.789050101730611	-0.773696727043903	-0.634140868412925	-0.538108086977121	-0.817464369011726	-0.584249705733763	-0.723933537389754	-0.571040664553245	-0.775399874294114	-0.854220059377222	-0.614712996780728	-0.466147683902212	-0.799483030772641	-0.786427078567805	-0.807181391674047
"196541"	-0.0103139202883941	-0.172421871044922	-0.0543279038447035	-0.111802683088532	0.00622502647910939	0.00110425326018552	-0.0883847546297426	-0.0876758748689666	-0.0880559048395467	-0.02633513152596	-0.0465482543975836	-0.0141320319202268	-0.05174329837747	-0.168685148662657	-0.116553953565177	-0.201213825949704	-0.154411060554527	0.0483400485753287	-0.196086251514855	0.0208945690967462	0.0396803969563168	-0.11503384648627	-0.00311824564368513	0.0182917525739193	-0.086784264337969	-0.0524467410289089	0.0834502377943183	0.15209618416099	-0.0344086186400007	0.03298344603711	-0.0392514422524643	0.0451559843800334	-0.0350445641626586	-0.0451187146573212	-0.0357394663313841	-0.0697063325117009	-0.0439275986819811	-0.105075999768848	-0.108230712918193	-0.0621389217266141	0.0237048823621879	-0.244811808767829	-0.048026617928926	-0.144517486035301	0.0717079049296758	-0.134056779382061	-0.00533727111578351	-0.0363362454977183	-0.0412471198055187	0.00218187222866959	0.00129659693649347	0.0787677830232173	-0.129533806214289
"23397"	-0.483862360020141	-0.681157402809568	-0.475480696976682	-0.445393591374919	-0.699703561062183	-0.563135204219186	-0.566315221641446	-0.692415372311576	-0.640983092890386	-0.848666423933626	-0.538864595587352	-0.527217295768239	-0.577327688186684	-0.603563033867883	-0.5975686265349	-0.602548332697924	-0.800420729433888	-0.655458635404077	-0.570076632383119	-0.782098346303202	-0.725587213981764	-0.785757603979252	-0.626457163493908	-0.599580066393239	-0.656472646839143	-0.682759620721803	-0.498371853420622	-0.680487129696321	-0.529723671357545	-0.744996744022057	-0.504322092965443	-0.667236741920651	-0.502105630740325	-0.681377691395877	-0.626143876123507	-0.53431440892714	-0.47636568203274	-0.624155691339762	-0.680101217471326	-0.934105499833341	-0.538432404688888	-0.624308270874805	-0.715235392945094	-0.597800328010765	-0.727903248270311	-0.62745334287204	-0.445630133230116	-0.466383087562258	-0.6035701987629	-0.608312977203473	-0.541970578802185	-0.460417298974586	-0.474825405980316
"5436"	-1.07053747353077	-0.966517846045904	-0.983709274104592	-0.718537621164997	-0.943559758845012	-0.691897875052967	-0.779687013380295	-0.853126211260985	-1.01880090250978	-0.973198154601978	-0.991831932363937	-0.936436537475478	-0.979124615301484	-0.847901766991631	-0.902454074109034	-0.81670199540859	-1.01844363793003	-0.677758883198919	-0.88710515347801	-0.975762593840853	-0.873029158259565	-0.817338915921448	-1.00606175004278	-0.929041598968881	-0.950841414897459	-1.06699479496533	-1.02870745728804	-0.944278362082519	-0.842403634897017	-0.982447331186528	-0.955082345463984	-1.03388016520322	-0.871261504395854	-0.873887792659373	-0.788879181430197	-1.17625645839414	-1.05253571014291	-1.09507627025356	-1.02535265861378	-1.22782235048313	-0.865578299641769	-0.764023335118142	-1.08136990696201	-0.92724598839575	-1.04372953592911	-0.907751280243176	-0.808035198000785	-1.01001120283203	-0.814754977878768	-0.998094086864051	-0.809099980190827	-0.866546301956532	-0.764319759592395
