	"ACH.000013"	"ACH.000021"	"ACH.000022"	"ACH.000047"	"ACH.000128"	"ACH.000143"	"ACH.000148"	"ACH.000288"	"ACH.000302"	"ACH.000329"	"ACH.000339"	"ACH.000381"	"ACH.000467"	"ACH.000480"	"ACH.000488"	"ACH.000507"	"ACH.000556"	"ACH.000593"	"ACH.000601"	"ACH.000620"	"ACH.000657"	"ACH.000671"	"ACH.000693"	"ACH.000694"	"ACH.000696"	"ACH.000711"	"ACH.000721"	"ACH.000747"	"ACH.000758"	"ACH.000823"	"ACH.000848"	"ACH.000849"	"ACH.000851"	"ACH.000856"	"ACH.000862"	"ACH.000866"	"ACH.000882"	"ACH.000885"	"ACH.000905"	"ACH.000910"	"ACH.000921"	"ACH.000924"	"ACH.000926"	"ACH.000932"	"ACH.000936"	"ACH.000947"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.000986"	"ACH.001028"	"ACH.001038"	"ACH.001163"	"ACH.001275"	"ACH.001336"	"ACH.001368"	"ACH.001523"	"ACH.001554"	"ACH.001765"
"340168"	-0.457173423834001	-0.574727273442165	-0.530602368952867	-0.466181170122284	-0.347594446077649	-0.438561350813489	-0.382504301266836	-0.404113460705859	-0.433144345606039	-0.504093644947926	-0.430050981936561	-0.477358933496284	-0.280170782602933	-0.420332325402882	-0.315480474795057	-0.23093525370504	-0.517453361700557	-0.420279628323101	-0.363496935750842	-0.478106371374316	-0.439505801766429	-0.331770077358352	-0.287581588496704	-0.49193847487632	-0.331598854929846	-0.357618636763709	-0.405075019699962	-0.322603277087433	-0.33445027656709	-0.511403165356721	-0.510040976982893	-0.33173619052611	-0.517899077833078	-0.511048620969481	-0.406521056005141	-0.382911671486576	-0.563606094552113	-0.547333676079886	-0.34611673308998	-0.38137517155275	-0.334671010113612	-0.358846775789495	-0.394521566359317	-0.304836478454191	-0.336348109340695	-0.499129756479782	-0.338652997017112	-0.413769761563052	-0.300705276278237	-0.385821573878987	-0.362913093267179	-0.361233090587241	-0.433221425285169	-0.385985955324379	-0.475279842065407	-0.346692671571172	-0.408386271977588	-0.437861922209905	-0.367024295221853
"10328"	-0.110058330158693	-0.0607825230449483	0.0245551001308674	-0.158694346246344	-0.0221768770246412	-0.0395268838640529	-0.0416416324001771	-0.0962544551336606	0.0196127214932703	-0.135548507290174	-0.0669928881990194	-0.0529181033227381	-0.0478141336122362	-0.10729557732685	0.00156574092452975	0.0474015370756068	0.0202188341979204	-0.0859632287712586	-0.189195504708243	-0.0602257400183772	-0.0742248715888823	0.0198572301876441	0.0697757104881202	0.0377294817695251	0.0181964847212118	0.0187816294522752	0.00558815124438693	0.0227686262078335	-0.0908759122941552	-0.0176832173419971	0.0169050208579411	0.038681830720544	-0.188064518580377	-0.106242955785119	0.00702433802897715	0.0152130963580768	-0.184388787852078	-0.0133203854684548	-0.0240215126343443	0.0165365379422111	0.00505045310440477	-0.0894033401516182	0.112299890931267	-0.0204146399282371	0.0683890561732766	-0.0403927202858668	-0.0570733471211753	-0.0312708600833696	-0.118000940833914	-0.0152272653370239	-0.0303327919240991	-0.0627592032114761	-0.152032140109612	0.082834514453522	-0.183995540657458	-0.0429684277478147	0.0102117473983561	-0.0920810879998983	-0.106170786164735
"2346"	-0.0679352523085157	-0.174010874952678	-0.11457234018968	-0.16577570938907	-0.162137866223822	-0.232447347609093	-0.258493909149647	-0.235814254802698	-0.0917109727224532	-0.150827670971699	-0.222199681365771	0.126562403461646	-0.0289430033149103	-0.346522304437042	-0.0435548735530264	-0.168745124435598	-0.0828262553220774	-0.114766966665459	-0.14037584348058	-0.0769315043595887	-0.170563474975181	-0.228671330920516	-0.202309080664622	-0.0501118381544898	-0.200434767136184	-0.142424403936041	-0.0317024597839573	-0.072397095409448	-0.0305234809809091	-0.243880139002221	-0.143189679795103	-0.192223182419497	-0.170020845347392	-0.149049813898163	-0.122203516367827	-0.116362526952375	-0.199835550218416	-0.289120683970395	-0.0962049133798258	-0.316290188638833	-0.119068314916452	-0.102677862987979	-0.107413365809187	-0.256125779722477	-0.107965243709098	-0.165173772603198	-0.296579809559567	-0.0535052784136013	-0.106517882499151	-0.0569438268157471	-0.0143453280599493	-0.181573093941685	-0.0426334276795801	0.0727425700380972	-0.156313885967287	-0.00613221210489619	-0.119060722435943	-0.225666645787476	-0.093953988744568
"120071"	-0.128797965716858	-0.120124462226941	-0.0994815393818093	-0.172914988709638	-0.203855270199976	-0.113422152313652	-0.263936525396364	-0.160662997213155	-0.0810549627443517	-0.0987529259091047	-0.14991290625199	-0.0994773330224864	0.0541242670005006	-0.10017407064193	0.00194089083305714	-0.116862880031478	-0.0664614850676258	-0.0614485418354393	-0.145444106983752	-0.133868443888822	-0.0888996381003312	-0.136854557613716	-0.190213088132941	-0.0660800083166719	-0.106973175398026	-0.256006073908399	-0.064074743168964	-0.0954088677777596	-0.222781132359386	-0.141594864149819	-0.0235072010924706	-0.00637791216280314	-0.11645953401268	-0.143411769305634	-0.107336940213187	-0.0772427078118741	-0.140517762486228	-0.199828267588874	-0.0354948027177303	-0.184386014262146	-0.00266168384321677	-0.0577566082647323	0.0205233101565593	-0.025724824493068	-0.0566248289238056	-0.142942236938202	-0.221408552205902	-5.5826405802642E-4	-0.0264393547766964	-0.318313214705016	-0.0569848600950475	-0.174142373707526	0.00150551286818427	-0.131251270767171	-0.172301519553049	-0.0446509211329661	0.0385447198378529	-0.117765210703571	-0.122233948532403
"84264"	-0.0130724200223371	-0.0764143980741546	-0.0249490032202064	-0.124010794017151	-0.0221672190038306	-0.0846384369378582	-0.11999313269765	-0.109128140460352	-0.00797329404219406	-0.15309796586714	0.00529689909528932	0.0665536265320441	-0.0242984099033989	-0.0548643825451247	-0.0683945548090992	-0.0856901991187487	0.01829667449214	0.0163038775684733	-0.0549735108788736	-0.0378896843545694	0.0135450228113956	0.126466814271766	0.0776478073279302	-0.00115098381013529	-0.037511941661323	-0.0190756812624702	0.014162643318852	0.0421399841911983	-0.116985152713557	0.0162987610606417	-0.0562976008740643	0.0385807537258159	-0.0977398948444477	0.126893072702199	-0.0231539317984307	0.0337045418887095	0.0485396164464053	0.0337585851773386	-0.0536476088508273	-0.139426220365463	0.00983844480358321	0.0537172378304595	-0.0983728328859095	-0.0815723843679091	-0.0725318023947304	-0.058659020979853	0.089477973583904	0.0186056588817283	0.0607938074490097	0.0847028576355363	0.0356474007797239	0.0268068686477958	-0.0391311956868607	0.0421925775754754	-0.0279898238547489	-0.0663625231933299	-0.127007130556024	0.0425185121889851	0.00373328246110937
"3190"	-1.35489663362351	-1.37274997023639	-1.44029724032778	-1.53834922637073	-1.13024925073551	-1.19272748597544	-1.35037264657451	-1.23418350644027	-1.63654907483746	-1.41543675120719	-1.37329520305185	-1.49500449387911	-1.48678436017809	-1.20158266026038	-1.41122970521681	-1.37041823043359	-0.924387440066024	-1.32965242355677	-1.42900109436657	-1.29751564588735	-1.52531382615696	-1.47196577857613	-1.33192192788444	-1.27160049179252	-1.33044841415007	-1.38685465632523	-1.3595208549335	-1.36732052788396	-1.31935605258696	-1.24258432051618	-1.09011171464009	-1.3663253460837	-1.4935964306851	-1.35319855185793	-1.26254880934325	-1.39407159631247	-1.47940206297593	-1.5129080673874	-1.1662663080144	-1.43194696682697	-1.40758205628923	-1.29152181992334	-1.2324074479834	-1.39635378528386	-1.22894658265449	-1.45038017704167	-1.23946731600478	-1.35914580338556	-1.14857605165257	-1.37338401352367	-1.4416349484578	-1.5863043746551	-1.41617986452147	-1.26131242284889	-1.39856544401224	-1.40537834723188	-1.10523459415503	-1.47980355070573	-1.32485320988192
"3192"	-0.789488720899584	-0.797789267666935	-0.65912874770256	-1.00142910825525	-0.706195076282114	-0.904435413712525	-0.923473981540163	-0.556021507017921	-1.08548484190404	-1.0027408032792	-0.820334144610561	-0.912366388687536	-0.671463988349859	-0.883940923696872	-0.821583313427222	-0.772588924979002	-0.72335271590303	-0.830924792961498	-1.00120521687902	-0.868897803174884	-0.924406394695781	-0.782072693681392	-0.583950069652844	-0.767650266224031	-0.701364980047348	-0.949558853446887	-0.383917815030708	-0.677685319092734	-0.937515067317264	-0.495004517640854	-0.803498506060333	-0.705429688790502	-0.821725265708285	-0.936866213043191	-0.875436138342842	-0.600237010861127	-1.20482040774038	-0.975684612435683	-0.995103552590068	-0.610491121286827	-0.868916929289793	-0.896042555978495	-0.816930266152533	-0.679425961784305	-0.953853161963075	-0.743878602327083	-0.947460287444543	-0.773707726587667	-0.82325681976584	-0.950305054489326	-0.537306092219438	-0.611782912406441	-0.839801547887144	-1.07925901861962	-0.946524818562436	-0.943623357527903	-1.16059687207937	-0.732480873788469	-1.01983777803737
"63905"	-0.0101749617656685	-0.0941096094376393	-0.0645654351379883	-0.0652407181655445	-0.0850065206181533	-0.0771015780148452	-0.0916034288180273	0.0261094735802629	-0.0797366043990403	-0.124095518736112	-0.0827067911887903	0.0916906820047572	-0.0489057009182628	-0.174753603469228	-0.126760126442815	-0.164841388092931	-0.115981058882973	0.005876098773315	-0.15566752826426	-0.170254934645285	-0.0283860634144117	-0.0404519891450549	-0.144681214334868	-0.121163947260487	-0.0960347988852976	-0.00512091254663542	0.0379683788285372	-0.0275292337653913	-0.162017593140626	-0.0478758014989316	0.227863430896411	-0.0672179522474726	-0.291027588499575	-0.0378996531181917	-0.0580575209698564	-0.142423050055038	-0.161311412292457	-0.15402549941627	0.0408543295741631	-0.0730574308854883	0.0172550528754525	-0.0520119911481856	-0.0243521171127191	-0.048822412393393	-0.0278774737931249	-0.118512257973373	-0.123196173965153	-0.0156780711949465	-0.0218820994564201	-0.0238178924875205	-0.018257426239948	-0.0303003615143877	-0.227786445273999	-0.00678430313735874	-0.0987876229242754	-0.122897406653412	-0.0113300469675547	-0.16225504255383	-1.84328673844407E-4
"124995"	-0.867864141578954	-0.662058883258736	-1.0452200704836	-0.962568108295927	-0.911115307436396	-0.985900304160571	-0.899372896946511	-1.06386769547311	-0.722950578447626	-0.891523203390473	-0.785874674347724	-1.0030242507002	-1.01593332469405	-0.861329664253417	-0.913418952703121	-1.0127929970367	-0.942438864469097	-0.917473471478919	-0.798009873160525	-0.833338864175435	-0.80600305307258	-1.22382428722504	-0.994085805909486	-1.15058460453743	-0.900458843802423	-0.75408719425634	-0.878960696816283	-1.21416341802905	-1.09898436729268	-0.955803041499004	-0.985580655475111	-1.01805094399786	-0.910766590776381	-0.841558746480587	-0.963478252953818	-0.838095256444177	-0.975642798688166	-0.909426900673037	-0.868167277301587	-0.942012055977295	-0.939474053712957	-1.10124878208896	-0.666988032135517	-0.85338154151517	-1.15989294486611	-1.05189939695799	-0.737680155236142	-0.676974803078338	-0.731158045078342	-0.873445110598097	-0.916831967484235	-1.03381944048664	-1.11471824966164	-0.946808445671467	-0.894783373908939	-1.09376917656942	-1.24058780196095	-0.96095512254167	-0.812010155435382
"63875"	-0.469320387313058	-0.492467183818596	-0.576732058406835	-0.505994311838865	-0.487743684504212	-0.831900469803756	-0.450910602262807	-0.5900774026679	-0.500442430216519	-0.50737313837907	-0.474534074563371	-0.55359439568278	-0.661305632292519	-0.465058565603604	-0.556241801244511	-0.791624418112144	-0.421481677001706	-0.59701261681952	-0.510222638424383	-0.591353582987381	-0.398724168856028	-0.955027966406227	-0.844570489940199	-0.803909462290448	-0.491538530426539	-0.653754021826381	-0.543672292205846	-0.72696442877466	-0.809302240537863	-0.768855406872419	-0.490157559981696	-0.51696767139809	-0.813082480862523	-0.503280550347079	-0.858657533450999	-0.572374756473004	-0.654446538594119	-0.62857172466796	-0.462048413001112	-0.883747051635799	-0.590432643655031	-0.729370917689346	-0.232229822569082	-0.691421909526232	-0.834852947527844	-0.57230577308022	-0.578379637123954	-0.323074673353672	-0.631488830167758	-0.783587461596765	-0.590973060159384	-0.584981134662382	-0.585586559319763	-0.655178514973757	-0.57986847592542	-0.570438920027969	-0.776220702796531	-0.534538051785556	-0.594328934940965
