	"ACH.000082"	"ACH.000095"	"ACH.000123"	"ACH.000274"	"ACH.000296"	"ACH.000383"	"ACH.000485"	"ACH.000516"	"ACH.000622"	"ACH.000718"	"ACH.000898"	"ACH.000958"	"ACH.001239"	"ACH.001391"	"ACH.001532"
"57819"	-1.49501530392538	-1.46283568122216	-1.46734896621883	-1.46247486035838	-1.50614620091189	-1.41090603623997	-1.30309138478496	-1.59173923838023	-1.41690533673885	-1.49805077882785	-1.43361551001684	-1.1987111203795	-1.33933749585859	-1.49487603775362	-1.58582605812138
"55201"	0.0124673824498184	-0.00755647514215931	0.082943219595586	0.107420082703714	-0.0453845839413374	-0.0197321338148156	0.10639663684365	-0.00616890155738978	0.126024898267794	0.101611739151715	0.0812154092910076	0.0882333464362794	0.073136842769265	-0.114556393130401	-0.0541188791601643
"8930"	-0.160571629090309	-0.192570765919004	-0.12793501387272	-0.256622996989776	-0.196766794948181	-0.288166575621228	-0.199304864680245	-0.155528028591992	-0.34195630155622	-0.136274940813217	-0.296678804872465	-0.314403913695643	-0.229103745850605	-0.318955445585254	-0.188453576248467
"399818"	-0.220504267768994	-0.319744404953675	-0.373413742957795	-0.304235154287857	-0.404305607782572	-0.278584300085685	-0.309650827018146	-0.221677014999486	-0.452748188059151	-0.318589495121476	-0.381773248812215	-0.456181106154128	-0.260871873746912	-0.33439255890001	-0.266292871004943
"79157"	-0.206051095059583	-0.145140816622375	-0.158881927935785	-0.222396133491108	-0.15604957454995	-0.201698011613912	-0.250016629053497	-0.235397264292577	-0.200836098751552	-0.0451901447501101	-0.249452675680843	-0.219501556071972	-0.105569786654308	-0.241800594713535	-0.143034313573401
"122945"	0.0405603407210814	0.133259881955004	0.0703251694099128	0.13865726290365	-0.0577032808717875	0.119922959365658	0.0957331325107156	0.130668368859858	0.0967862990939233	0.0184862211406322	0.0970453201792598	0.0724527371405538	0.150934549595514	0.125633927361159	0.0612315248599569
"84284"	-0.0883093576252595	-0.18132854160179	0.0338068856632364	-0.125578142113675	-0.138183165010485	-0.0133611080654074	-0.165098167573176	-0.0609895142288735	-0.255834434772983	-0.0487508534824277	-0.161150594266272	-0.130681873537197	-0.176068835486403	-0.209610166808535	-0.0817520709863769
"5691"	-1.63447570018425	-1.36129801564466	-1.66754717027406	-1.55169763564325	-1.56697609404453	-1.43110898609512	-1.5793581138093	-1.66743234349899	-1.63771678666101	-1.71447495162253	-1.69401370876392	-1.63549929292199	-1.58417098136194	-1.82454415808869	-1.71394057111681
"442213"	0.0911826148305541	0.172148070792509	0.198376211579668	0.246521864831494	0.19359164973011	0.123806429675384	0.243228551881966	0.215996064383146	0.2173476825899	0.147275133350686	0.249136974422462	0.314472363637006	0.240769240454103	0.241033284249673	0.256890150985985
"5901"	-1.92353934419961	-1.98226377298096	-1.64826817703935	-1.71602567818509	-1.58360604252356	-1.67609358153386	-1.83669470242335	-1.63942656513928	-1.94972489320134	-1.95255770958828	-1.88145498716161	-1.70328540172108	-1.7592734340923	-1.63556053003772	-2.01686629499921
"23504"	0.0412314114089155	0.138379004931862	-0.0419242378462343	0.0931032790774633	-0.117199777061663	0.0531441895369066	0.104435221825873	0.0359846008780943	0.22776755385118	0.0299234954087695	0.138083671019614	0.054601210840058	0.0750074989695291	-0.210333469091336	0.0821842233775996
