	"ACH.000004"	"ACH.000022"	"ACH.000204"	"ACH.000206"	"ACH.000235"	"ACH.000258"	"ACH.000376"	"ACH.000426"	"ACH.000464"	"ACH.000511"	"ACH.000548"	"ACH.000576"	"ACH.000601"	"ACH.000620"	"ACH.000653"	"ACH.000706"	"ACH.000714"	"ACH.000784"	"ACH.000827"	"ACH.000839"	"ACH.001450"
"374354"	-1.10783733734473	-1.0015081159649	-0.822153694827914	-0.582557813263294	-0.864729665985251	-0.680973495067502	-1.02241881759692	-0.503241941735184	-1.13197232698581	-1.06912430406832	-0.904437957134734	-1.23606259598049	-1.00705460478258	-0.889701914095572	-0.784695520364393	-1.15474160222121	-0.937417558293777	-1.05583325426298	-1.08102427939464	-1.01465419342833	-0.81197808846107
"51068"	-0.95289799720985	-0.905790331501878	-0.815048939585253	-1.00225312839346	-1.01346879948078	-0.747975588163728	-1.08012753192772	-0.658469383177814	-0.975108222105609	-1.16332454124073	-0.907647236084938	-0.857416490944026	-0.891203833642858	-0.971713563431801	-0.846020666209056	-1.10543419305802	-0.725331414570852	-1.02366004871216	-1.12888450983719	-1.11645729012555	-1.07945834469291
"50863"	0.145090124884352	-0.00268343972038212	0.0732379233254428	0.174948995075192	0.0653269989818561	0.0133544562570898	-0.00513164086493323	0.09390427384043	-0.0145606338817966	-0.0362008878086778	0.0513575098939032	-0.211254808129827	-0.0175418143561419	0.0474137894751067	0.145882240385024	0.0394593546079593	0.146114569470761	0.0779042376925591	0.103675906813792	-0.0092525143878921	0.213112158188947
"10439"	0.0781629706767297	-0.0382925492608211	0.0371145282493316	0.011390272539072	-0.0920840192415288	-0.0397678530340206	-0.0658954280535543	0.00311301714087491	-0.0411495507754628	-0.00946388671420907	-0.0415651966900228	0.0319047101885652	0.00696672795844939	-0.019256964588379	0.209859213158347	-0.06132840184086	0.111535870898626	-0.0101055099742848	-0.0290876930935541	-0.0460819377894054	-0.12960561229074
"51090"	-0.106789099755947	-0.0237635958499043	-0.0734217411775388	-0.238567865598174	-0.0738192733094075	0.0964486342366352	-0.0774775718880898	-0.102508436931916	0.102079550131804	0.0142886763223051	-0.13200232132631	-0.126199783727159	0.0143250090837967	0.0059042718472992	-0.0858098980212243	0.0690791688414382	0.207655765700114	-0.0165916490418286	-0.0375212192387293	0.091493149115492	0.107161497115994
"5687"	-1.79171919898407	-1.44225413380064	-1.72513496085987	-1.23048352157337	-1.43513563937297	-1.6430335677319	-1.5350318918162	-1.26267105371793	-1.57238200130346	-1.35136918368184	-1.48457016612783	-1.47145400425125	-1.51868129626066	-1.55037944466677	-1.63041817389763	-1.65237208109701	-1.73885604042646	-1.60484222726132	-1.47546588649708	-1.42910852085055	-1.35477482242148
"5691"	-1.82563839359104	-1.74834255215707	-1.62984200093985	-1.69266629666961	-1.62722225451157	-1.32498111858976	-1.5117729372698	-1.75094131972192	-1.69073903283802	-1.47680995295851	-1.60777316603549	-1.7217011982669	-1.52774977058172	-1.65679443767397	-1.69985678680766	-1.64575212106099	-1.58542728253504	-1.34791482466379	-1.44895148895286	-1.48471123629906	-1.53704284729204
"153830"	-0.277824687010824	-0.0875775692742834	-0.0249559246076792	-0.243580792824624	-0.0923378343220485	-0.195419863936272	-0.240771764861987	-0.127219721090338	-0.184196642146324	-0.211591132191496	-0.158003118165772	0.155701735979497	-0.0740589356435361	-0.309553821223637	-0.103313470153459	-0.120957337807275	0.0505657389853675	-0.15213450844255	-0.15554303390544	-0.146304073024149	-0.183970704546824
"55234"	-1.80326671034419	-1.44815593966497	-1.37366066326302	-1.4050605007067	-1.45747413008156	-1.64241189567606	-1.19428846351707	-1.09288862130496	-1.36262228728257	-1.30809834099393	-1.23205451791236	-1.18066647366101	-1.48997529509783	-1.31862157847874	-1.57974695003737	-1.32403444811502	-1.33351195538653	-1.38941333405142	-1.38161282884499	-1.15425474231337	-1.51798281018364
"729873"	2.37452173159269	2.03216844487261	2.3788402965713	2.11146128465198	2.08761469391238	2.34494235505635	2.18810943502762	1.98318315604995	2.24841868339244	2.20659678129989	2.0778054580107	1.92024315294631	1.99834210200548	1.84206407201736	2.31628358121456	2.08079563949803	1.8536837046161	1.97018768042244	2.00505180405655	2.23465378466032	2.28527286732007
