	"ACH.000014"	"ACH.000017"	"ACH.000085"	"ACH.000116"	"ACH.000123"	"ACH.000198"	"ACH.000207"	"ACH.000226"	"ACH.000233"	"ACH.000248"	"ACH.000251"	"ACH.000259"	"ACH.000277"	"ACH.000330"	"ACH.000356"	"ACH.000362"	"ACH.000427"	"ACH.000460"	"ACH.000477"	"ACH.000485"	"ACH.000527"	"ACH.000545"	"ACH.000548"	"ACH.000579"	"ACH.000580"	"ACH.000584"	"ACH.000589"	"ACH.000606"	"ACH.000637"	"ACH.000661"	"ACH.000725"	"ACH.000771"	"ACH.000783"	"ACH.000805"	"ACH.000822"	"ACH.000840"	"ACH.000876"	"ACH.000900"	"ACH.000929"	"ACH.000957"	"ACH.001654"	"ACH.001740"	"ACH.001745"
"83886"	0.0728421608719773	0.111441959044208	0.0819807434552402	-0.0155568459495787	-0.0565476725442172	-0.0246958597155853	0.131152234046632	-0.0554678844895331	0.00517276814616277	0.0888819831999925	-0.112153059671653	-0.0484038435254372	-0.0789229882691366	-0.11452153610408	0.0739744744464246	0.00524794833021694	0.0473482859867558	-0.2132198674501	0.147627494576744	-0.0531432373535622	0.0106498208975832	0.0134077242513622	-0.0486526322403875	0.0798048203795871	-0.0518265450248701	-0.0726128489834993	0.00598690194523355	0.0745571169243228	0.0411870588687941	-0.114060014953526	-0.132165211305918	-0.0572570310757211	-0.178984000692065	0.142375750047295	0.0855143902044166	-0.109583938892889	0.0234989099222861	-0.195190672971747	-0.0511914400657407	-0.0719667049552743	-0.0293929891428874	-0.0365159344241308	-0.0885198485896641
"5683"	-1.25733554238119	-0.979949919579548	-0.976304356205659	-1.16263905876964	-1.31688875368651	-1.27886330347214	-1.22718715215346	-1.19185391454663	-1.36756614496985	-1.0861360155812	-1.27716105803299	-1.15626605491041	-1.4854083540102	-1.25412528080449	-1.16943163039893	-1.33640640007049	-1.35804849884668	-1.17044976160219	-1.00523374184583	-1.12394198229983	-1.15132823817758	-1.08159967626627	-1.2224263993853	-1.27144767027535	-1.29350666283388	-1.42630061134333	-1.26291327761105	-1.09263495948962	-1.01301227843919	-1.15974439837694	-1.44174198784152	-1.03995965273441	-1.38182067096031	-1.20435910551771	-1.55103528128695	-1.23972686748928	-1.45651797882647	-1.2265516677616	-1.18977925995779	-1.25399251286439	-1.19282235666794	-1.32554235513593	-1.21885596329931
"5688"	-1.13741438608213	-1.06610891748832	-1.44244531668525	-1.18098953215779	-1.04450296990354	-1.30761014245313	-1.33174571001234	-1.22620880246026	-1.27717948234913	-0.917596600382424	-1.24812822248234	-1.31923630628627	-1.55729220301283	-0.922327855488074	-0.91281656067171	-1.17281501474731	-1.37712986839865	-1.15269807519341	-1.08829320163534	-1.15035690851326	-1.17257856231491	-1.13185658829877	-1.09149533749102	-1.48372691127413	-1.45431786673979	-1.19405833133884	-1.31348946599453	-1.29968917071301	-1.1416918724484	-1.12269120158938	-1.32576652149592	-1.18731190574317	-1.47638797085228	-1.13137427687389	-1.17469577867839	-1.20695177477349	-1.46795645946671	-1.15315995594936	-1.2351371922304	-1.10538293143597	-1.28245412645042	-1.23128740716185	-1.1679379318673
"5691"	-1.7290313659653	-1.71266886563648	-1.60685033241506	-1.55844308262484	-1.66754717027406	-1.67522689080486	-2.11967392016712	-1.60372329323856	-1.68773406050274	-1.69483490865244	-1.74724145485819	-1.68329255094537	-1.85689106696838	-1.53180551806346	-1.76559987502376	-1.64321680444937	-2.03847256602655	-1.68094713668891	-1.93855969376937	-1.5793581138093	-1.57563973227834	-1.59620783602218	-1.60777316603549	-1.49242043876849	-1.88237221084752	-1.71513555385842	-1.65419690797517	-1.56737464772515	-1.88531560695108	-1.91587158114195	-1.58830571522114	-1.60036983156516	-1.79671891105228	-1.66208843141293	-1.91614074184424	-1.57368536223542	-1.81356128062899	-1.46743087562631	-1.66099804088376	-1.54419832812355	-1.60075124501585	-1.60917653619422	-1.63052072561662
"5901"	-1.87148088277177	-1.90648179053055	-1.71890908089565	-1.94199150954346	-1.64826817703935	-2.04127338251535	-2.16857535730644	-1.91890021856368	-2.03090349689694	-1.68869662161299	-2.74967659887852	-2.13219519296299	-2.02566042132832	-1.591478595279	-1.70515331743264	-2.04134800681455	-1.69365152758293	-1.81652786299705	-2.32505766053718	-1.83669470242335	-1.78595185770404	-1.72227726461961	-1.88192667823205	-2.19328567566639	-1.9763750191855	-1.79776780670226	-1.85320621684548	-1.51398721117424	-2.1280728641947	-2.12016139343606	-1.9843351770357	-1.77118999759739	-2.03828286283383	-1.62743376406742	-1.84569723764229	-1.92889140196962	-2.18661753982554	-1.91985609359659	-2.06943552503271	-1.65323451580543	-2.04735359152308	-1.92459099180732	-1.85472055955267
"10156"	-0.206464185315839	-0.0504835477734727	-0.37295922144914	-0.181772866212255	-0.238525120500748	-0.174954877717352	-0.0729098685324766	-0.212034138872156	-0.219268660843799	0.0779103102747679	-0.0605809098808763	-0.268465576822273	-0.03652447534903	-0.115865022820902	-0.340610871412737	-0.178176512834004	-0.107728889470627	-0.194822475732108	-0.200415847423372	-0.144048590241413	-0.164002777847066	-0.124157643788604	-0.237631737587842	-0.451409057610202	-0.14102433016927	-0.290382002874271	-0.0411430581843802	-0.246660819944202	-0.0812797392910126	-0.124051754993482	-0.127278680323676	-0.317005013757352	-0.393256979233463	-0.615498314336694	-0.213528533287548	-0.114236325924486	-0.282514431347505	-0.309409062004421	0.03000518949994	0.114351267560592	-0.222868418809811	-0.044136976645163	-0.0788258018256063
"55206"	-0.982692561714594	-0.762754002292903	-1.0965921722503	-1.03313530179738	-1.10704868340734	-1.07659920624352	-1.07466611068695	-0.965551258155633	-1.10986538362009	-0.936073967784027	-1.19535158048748	-1.11819050780017	-1.22530904710786	-0.794853545590395	-1.01566606875727	-1.00703859430118	-1.25057205369247	-1.12257584998134	-1.17970862542571	-0.868884969881541	-1.06462848286978	-1.18314434749377	-1.05735418009948	-1.08091463740723	-1.39600880716403	-1.24725992874561	-1.15178300341871	-0.977017583178041	-1.01025136248516	-1.33624960502393	-0.960945382973798	-1.05298383153879	-1.29311157609857	-1.06219157474136	-1.1654611752117	-1.15144192976653	-1.26077588219309	-1.02652169807539	-0.99163012747393	-0.836111467958832	-1.15013357258914	-1.16932594613373	-1.20157926270487
"619189"	-0.34638669671766	-0.142657563893521	-0.0700309764465197	-0.205082757358014	-0.227978942626878	-0.244164579090298	-0.357709717761638	-0.226833229776773	-0.0755977248280865	-0.235347909389959	-0.276494616765559	-0.143813010164406	-0.117184472751684	-0.195865323809677	-0.132479736458779	-0.201521266982293	-0.282220875634012	-0.315725055970669	-0.426449652939206	-0.162913924551052	-0.175189124128969	-0.2518589351324	-0.317876369063775	-0.23648341753516	-0.43230806896786	-0.281383435389484	-0.190112243766746	-0.243531860051534	-0.217263797962337	-0.121336295604782	-0.274261750331663	-0.317561315944584	-0.458331975190131	-0.331451585110835	-0.275115964182201	-0.459364066716817	-0.270248505005148	-0.412704246715844	-0.261687614722877	-0.228589493729799	-0.348565149943508	-0.171722358389547	-0.300985832904509
"100170229"	-0.0158324407685404	-0.00743340477700401	-0.0523817361268926	0.0173292060475047	-0.0572740078707504	-0.0368689083139376	0.0604872543729445	-0.0251092893351412	0.0566130973873117	-0.0213000700309396	-0.0340722439928237	-0.00946490702494544	0.105819749652096	-0.0210495816665666	0.0378045400923763	-0.0113331205095132	-0.0148164667649184	-0.0632751685244225	-0.0112120672493947	0.0230338629712484	0.0338649323452614	0.0542653824102418	-0.0643691376219737	0.146876312161045	0.154558395920456	0.027158876244782	-0.0624612164826571	-0.0284261040797044	-0.0664812705763652	0.0328232819856304	0.0617209793422574	0.0459828147905525	0.180405239376886	0.164171533120984	-0.0613906312094175	-0.0372048105961178	0.0529715759470805	0.0535630822481922	-0.00382443746170744	0.029878356009055	0.0199401636641223	-0.108759185630454	-0.0508604085320279
"729873"	2.37784887445286	2.08688904183563	1.93440716199873	1.86119846318612	2.05451976038957	2.15217072202921	2.12863378385798	2.37162716417698	2.12036853678447	2.29602153838148	2.19527557154228	1.70142734314578	1.92770759640874	2.23331239612527	1.69872604741942	1.91694688088116	1.46529868774554	2.05864969846108	2.47436608488277	2.24844961719152	1.95564639099017	2.07308360233925	2.0778054580107	2.34595960184621	2.60418131778262	2.30404426191336	2.20860783461278	1.93593090462859	1.85370409618519	2.2000062871166	2.27916994998139	2.05909488522066	2.05961365647368	1.96970818706731	2.08411033395608	2.1544650757322	2.07697685334149	2.1386532637294	2.14303019988044	2.1604465828346	1.93627151937332	2.16132964926935	2.0030423618566
