	"ACH.000013"	"ACH.000052"	"ACH.000086"	"ACH.000092"	"ACH.000097"	"ACH.000138"	"ACH.000163"	"ACH.000189"	"ACH.000215"	"ACH.000364"	"ACH.000365"	"ACH.000397"	"ACH.000414"	"ACH.000484"	"ACH.000502"	"ACH.000621"	"ACH.000623"	"ACH.000661"	"ACH.000696"	"ACH.000718"	"ACH.000736"	"ACH.000757"	"ACH.000769"	"ACH.000781"	"ACH.000787"	"ACH.000799"	"ACH.000839"	"ACH.000858"	"ACH.000866"	"ACH.000872"	"ACH.000912"	"ACH.000957"	"ACH.000960"	"ACH.001001"	"ACH.001183"	"ACH.001196"	"ACH.001283"	"ACH.001328"	"ACH.001353"	"ACH.001368"	"ACH.001408"
"26273"	-0.331913487820288	-0.615718767764575	-0.267629827734663	-0.144126199438279	-0.244983942182439	-0.179738171493159	-0.170048412488699	-0.276339235612959	-0.17687523019745	-0.302381599569271	-0.179409989172281	-0.284153260534985	-0.218502477418294	-0.268845102160911	-0.205290616597875	-0.162785337531066	-0.248220281712167	-0.240707351524916	-0.303731483146983	-0.168482627433091	-0.26586326704234	-0.2721591081134	-0.439494842136422	-0.292509615399295	-0.225780078798813	-0.159140650244589	-0.162876834018852	-0.312462326769294	-0.199942127094122	-0.438643740500047	-0.0958992966309628	-0.340951871391313	-0.20523988735893	-0.209732349699613	-0.267761131533448	-0.281014407628744	-0.127833966401365	-0.116173225055852	-0.150129492545883	-0.0732980097660425	-0.221758371005961
"2733"	-0.766779352984991	-0.467016492246666	-0.550374655027732	-0.511718604969358	-0.571560287058905	-0.71297713667017	-0.59159733148869	-0.468808850245735	-0.678350972067191	-0.673107181670249	-0.621290100433004	-0.946478904325131	-0.674617248374165	-0.746239172404758	-0.532614833184023	-0.723259448290503	-0.504801440445113	-0.857787462354918	-0.648051869037764	-0.510455521232564	-0.631719359650769	-0.746267932039058	-0.540080777097189	-0.625530562337703	-0.623083852416481	-0.756626568007162	-0.494436407118069	-0.838597074243104	-0.559437307940391	-1.03758899121246	-0.634235050270422	-0.676559630196245	-0.690420492677485	-0.668930966140982	-0.636920249267506	-0.502042847138647	-0.68036722026376	-0.656226399593237	-0.753743946424793	-0.587643543725264	-0.513005833566715
"3336"	-2.06874222289587	-1.50805704463679	-1.40770402660127	-1.51899289483896	-1.65805813602037	-1.66109271922078	-1.65072325753774	-1.64444194248964	-1.73812273629291	-1.29770721990718	-1.795050451364	-1.53073203509675	-1.77513562392389	-1.30975275451965	-1.47504707863518	-1.66621264014172	-1.66098123433393	-1.89991721629135	-1.5631732541246	-1.60883313113818	-1.45422130057268	-1.60684028763	-1.63734813641465	-1.98809497979215	-1.67387551103201	-1.49175873586881	-1.22861954577093	-1.47082703383153	-1.83029549596902	-1.64815401850778	-1.52288922316918	-1.76629704969867	-1.84704552301805	-1.45516618508245	-1.62550303690116	-1.76721834367787	-1.56517387000415	-1.41828874720762	-1.65310369344722	-1.60231530157995	-1.86044074790693
"3376"	-1.16012860555018	-0.905019284256738	-0.971730337727745	-1.05835666058481	-1.03138277552917	-0.940170601790525	-0.974889111553859	-0.767665760102664	-1.05410569327097	-0.879032882138915	-0.945832748860952	-0.994245354171785	-0.994138163630552	-0.982064891631065	-0.809844100910589	-0.85457891285428	-0.897464429659498	-0.930254457215503	-1.04739576465362	-0.971885126511224	-0.893847043239676	-1.03235176902975	-0.801072416452874	-0.942685544378174	-1.04398053688731	-0.967596263261666	-0.917638730112128	-1.10157972829256	-0.938496838099916	-0.940948620423444	-1.05644394959547	-0.893631577463332	-0.778680894334219	-0.923116583564086	-0.837263582074913	-0.788074567436468	-1.10179342033904	-0.853175113340991	-1.02343367110211	-0.955050984535897	-0.827647213109214
"55035"	-0.821598598593763	-0.744100438194152	-0.553963542358466	-0.672723863580815	-0.621080929219536	-0.587528806057947	-0.687895215081636	-0.72732457869346	-0.577068456142229	-0.74328799916335	-0.579707479187399	-0.706978594482238	-0.632109502733955	-0.772195973158668	-0.446323862063669	-0.581174861322185	-0.428887572785308	-0.642534545503425	-0.604385200749926	-0.643845862498592	-0.611120835109529	-0.782773201074456	-0.613977680121727	-0.552214371064467	-0.543639495599662	-0.723513901701996	-0.67560162453468	-0.779444178679614	-0.506350215180615	-0.795848597409025	-0.739513537051374	-0.566037981623225	-0.460465640550363	-0.55824864933943	-0.73488769714045	-0.553188580482451	-0.783882520256619	-0.58934073932857	-0.647247371316972	-0.51537647678912	-0.732941208408112
"10412"	-0.681468646324632	-0.871030990308477	-1.02860752302978	-1.00559901798756	-0.761866813109503	-0.811544120487558	-0.865186045833957	-0.976209312239165	-0.910730605940302	-0.724568754072951	-0.667365135419424	-0.888818767006816	-0.775324525963408	-0.826688186429888	-0.738603834910671	-0.937315450096348	-0.721285354430988	-0.712406791437927	-0.87384423248909	-0.818569365560557	-0.833007456404748	-0.766605313377332	-0.960687471071529	-0.764547357099532	-0.807987971804515	-0.836176821027857	-0.791596626684674	-0.949391791312168	-0.863037704523993	-0.840407709490625	-0.750962939302099	-0.968915623059939	-0.975551620721501	-0.926958336347017	-0.573658469003516	-0.743247969596576	-0.655864728354156	-0.979836784931679	-0.948625984787251	-0.818276529976109	-0.827264417724075
"8021"	-0.702078022670725	-0.806715877178108	-0.866561407482983	-0.924468846782517	-0.743489502011785	-0.782368678900835	-0.668752811993396	-0.901670879757167	-0.817994843872418	-0.648991986519865	-0.81971424806265	-0.908471922215786	-0.669623884818789	-0.755127406756294	-0.727257856272011	-0.737200174353278	-0.773175238476406	-0.800178139862433	-0.810298937339102	-0.724006769653385	-0.80708814666895	-0.869604154748323	-0.822834113434672	-0.81542085516921	-0.781243256808002	-0.841776160904704	-0.900604272843196	-0.656684036963441	-0.957382543638265	-0.882624584862712	-0.827066918321411	-0.86760124667518	-0.925708186997317	-0.876902331743785	-0.690884718246614	-0.737813947165599	-0.863210206573605	-0.92035630607971	-0.845690983902154	-0.701439244767576	-0.771311850028545
"56136"	-0.230535378511284	-0.0685340802860448	-0.228213727035281	-0.154193611122952	-0.227305116366951	-0.150460582882985	-0.100835844567089	-0.110342036429523	-0.175220585194216	-0.134281057299121	-0.210808513905055	-0.305996682143677	-0.169275156179548	-0.279984999685664	-0.188001177073512	-0.128186782660546	-0.167513445824457	-0.132579163183162	-0.0704413455536195	-0.146447648073711	-0.073725598018758	-0.101657910661077	-0.229447757534735	-0.266004067409122	-0.23207167338094	-0.260004137264889	-0.232812990357937	-0.195987195185155	-0.161948067773024	-0.151807484413239	-0.219734020362588	-0.0838210850492623	-0.104634028820582	-0.203558743704653	-0.209444489145191	-0.328587897186155	-0.167612345338226	-0.151913217818824	-0.209313311889646	-0.0884309011402712	-0.0690718636917142
"134187"	-0.116453750275117	-0.218465829454484	-0.258482396202487	-0.221416905390549	-0.177138266163506	-0.177106412156455	-0.230191031275018	-0.199368424607364	-0.195027790689289	-0.172606940391268	-0.149820112114995	-0.189395626585684	-0.108406969022915	-0.199811243631758	-0.117351589357148	-0.17375096407955	-0.173018026556247	-0.112139678746466	-0.186192633781527	-0.194327603187369	-0.202273598422952	-0.213131376149738	-0.160489256510491	-0.176115283875296	-0.0931785937912774	-0.0748835467256125	-0.200184060520469	-0.211208442518155	-0.137472859647784	-0.173357563931704	-0.396447348013166	-0.265879195163315	-0.188650445215243	-0.198619054899281	-0.202676151810905	-0.216444090534374	-0.214938553529821	-0.139034950029465	-0.163062424995485	-0.253649495048971	-0.119573103482878
"2834"	-0.0988317452753947	-0.162660494331492	-0.229561085707389	-0.0207938712084524	-0.151892019906322	-0.134922723460853	-0.0558149685086655	-0.161812153515336	-0.149117260384635	0.0739277111124037	-0.232879064298994	-0.0941821507031573	-0.066900508509761	-0.053502152194485	-0.136917089887666	-0.409562398622112	-0.100211268634199	-0.138901182204894	-0.131352067071323	-0.0731114473289639	-0.124838141878333	-0.0678163649423535	0.0	-0.161495930708622	-0.136274555410086	-0.00291650330026805	-0.177918851017516	-0.0778193021179667	-0.25038736745102	-0.199268435587354	-0.0690530607684943	-0.0426164728012857	-0.140652312826076	-0.223750801021073	-0.254122739961724	-0.00986768396455379	-0.284673246972748	-0.153893319159697	-0.153708269316624	-0.207628950436564	-0.174541652426881
