	"ACH.000082"	"ACH.000138"	"ACH.000221"	"ACH.000235"	"ACH.000253"	"ACH.000364"	"ACH.000433"	"ACH.000505"	"ACH.000527"	"ACH.000549"	"ACH.000618"	"ACH.000621"	"ACH.000651"	"ACH.000693"	"ACH.000771"	"ACH.000776"	"ACH.000805"	"ACH.000859"	"ACH.000861"	"ACH.000881"	"ACH.000900"	"ACH.000913"	"ACH.000939"	"ACH.000984"	"ACH.001239"	"ACH.001368"	"ACH.001431"	"ACH.001765"
"90416"	-0.133560290551624	-0.0111161529200716	-0.173928571106986	-0.144880878103186	-0.12883767720243	0.109706230013481	-0.0428530480103353	-0.0889840390497764	-0.0656466680631532	0.011180949142284	-0.196135552923734	-0.0187410652706114	-0.0101390154076555	-0.175919725369336	0.0790402619621721	-0.188158257701374	-0.224745796896957	-0.136670835505352	-0.102127573663329	-0.157304891406363	-0.253266822028496	0.00335468013300553	-0.0246098599207787	-0.0537882458630874	-0.0447981890625383	-0.0742270227623262	-0.0503859413100557	-0.143067645459636
"79886"	-0.0144261758233029	0.0216712989477405	0.115547018239426	0.122368526640461	0.124607953165601	-0.0649971004642196	0.0507701727864519	0.10082388540839	0.0504969635002807	0.114338212202601	0.182344446828389	0.120665835879193	0.0675638364824003	0.0305980664883422	0.0733358954223068	0.277587312583709	-0.0666661567631836	0.171767904200893	0.157981094806117	0.106096321609921	0.0820340917461965	0.0369106506630524	0.0876119137695226	0.0584588811507551	0.128803686630438	-0.0388063505194292	0.237303806210583	0.0624594038824707
"219771"	0.122499748797604	0.150343946674169	0.0242486687925168	0.0596128422067717	0.182305434599121	0.34324898275097	0.221371534548004	0.164423247167738	0.121900750513564	0.198531592856134	0.168683871461296	0.174535191145438	0.120016104225636	0.127414515156027	0.0112526849477554	0.0922160896028177	-0.0380439856225894	0.202005447874146	0.15434246254752	0.141378446009386	0.250265797704275	0.240045166456639	0.142057099080894	0.0833498047383454	0.200197521040347	0.157279947187495	0.173045588811663	0.202097646778756
"971"	0.0210259644946161	0.111391572592594	0.0649386761819775	0.0539023282023339	0.209616487738831	0.024799086741758	-0.033421542162969	0.142145868371479	0.139741201799479	0.212341428619749	0.070266351873387	0.20672548028697	0.0981641755030653	0.133567976940723	0.121378749446042	0.172916600345026	0.111239307185843	-0.0317634817382145	0.243555220133643	0.0667468945259917	-0.0282060189866	0.0436061101376542	0.100317919668411	0.14569552449758	0.0385239025461861	-0.0400867573658425	0.116490399636331	0.0798194840118135
"5128"	0.108194262409468	0.0423070472675471	0.0493458351461223	0.0160435970025039	0.0835783061529687	0.114039286452551	0.0726258205438971	0.104188926567652	0.0428486567724506	0.0108191487646399	0.0195890647322465	0.0956323734256797	-0.0162008310233085	0.0954943591984904	0.0242950342729944	0.0597798854779285	-0.159875479295492	0.0622665110675332	0.0625365715085649	-0.0195007844062826	-0.0452325143481371	0.123990304890151	-0.0615205789030351	0.0321856741987123	-0.013961274875369	0.0217841856245921	-0.00896473787624069	-0.0487475097569052
"1938"	-1.57629367338822	-1.57451264358084	-1.80616663737887	-1.65868703167718	-1.69217790126186	-1.6863349987951	-1.48774619810576	-1.60718955874033	-1.73023650132836	-1.38279815405859	-1.24081086139148	-1.4245535965046	-1.5773167545895	-1.57963951963012	-1.5851799331472	-1.5443143922713	-1.49746583845225	-1.40872017868431	-1.76771373951876	-1.76329290607497	-1.42670163701831	-1.67572501936889	-1.88616195087034	-1.58155900837554	-1.55056392468583	-1.79146457425908	-1.41032042665468	-1.24320868698102
"26267"	0.176254235049071	0.169589840074598	0.0143372224839248	0.0829886178991547	0.133433754435796	0.0968898903969539	0.154771175262895	0.183414424831259	0.164354550459255	0.101204152103921	0.22727942278046	0.15307560962508	0.0156199049713977	0.116707811798551	0.21784662791073	0.150579960791648	0.0764580942799526	0.148165042649202	0.14621643882085	0.0107640207978352	-0.0616764015941288	0.0382065881607778	-0.00324539084776244	0.12093572346159	0.10059936025915	-0.00452101594833241	0.143463634486882	0.0326875388369212
"2665"	-0.0954172993208798	-0.172321394147106	-0.152727099868033	-0.138092752894081	-0.147741525500819	0.131318554463873	-0.201905615917377	-0.0580000711949713	-0.0632480444968812	-0.205261050106179	-0.134510232406185	-0.0846370599871486	-0.151993213707141	-0.182662225116365	-0.0828508991066964	-0.168210865664546	-0.172439186531846	-0.151142196205921	-0.0389083057973541	-0.0945441599244203	0.0227754516607139	-0.0898801010959111	-0.112931122443479	-0.098576175976967	-0.0408317056221691	0.0288352562272607	0.0979066761041267	0.134944439772016
"3446"	0.170360359408487	0.197611359820439	0.119048682118923	0.222277924654875	0.253147147347289	0.182739187630027	0.0920761718504027	0.217179753252129	0.177379751055085	0.11881324842619	0.164260361142495	0.224638326457638	0.217770924336394	0.190951188613364	0.195641207547421	0.225212625623679	0.264566785194912	0.121453752846709	0.192938687784939	0.106629685625224	0.19221970735962	0.211988855460709	0.114518365860624	0.219953179084165	0.188222493568642	0.154456932119981	0.196889446272246	0.185371240618499
"3449"	0.154674067234248	0.12518651205157	0.0861406748612878	0.150040719095301	0.186427852544341	0.0414881871876123	0.16258551915965	0.165866738768997	0.152230109471395	0.142341285868666	0.267801521690687	0.162512725425232	0.228808750590441	0.140487653507349	0.164402365665515	0.0875936901365943	0.141117973878487	0.142269911521556	0.212970435203202	0.199329772390053	0.0974961773763448	0.100626486706277	0.18279112198024	0.162425647117482	0.13969694647611	0.113976584731628	0.0916935812264033	0.194077198459454
"56832"	0.0320275961220694	0.0829569477962199	0.0915306315616692	0.208284791460582	0.16816226012968	0.0331894734579194	0.131019301446981	0.166206430676552	0.178243403564677	0.0609786317910408	0.182877100737526	0.206269925086842	0.219174382316404	0.161134917480545	0.164501178069658	0.280337141653146	0.213446313903034	0.131884944200726	0.18124435987807	0.163668447033953	0.186948578716183	0.160223750910528	0.145256115858325	0.135137092886934	0.134713221050312	0.0709756016603336	0.186106136351166	0.208895013416684
"9493"	-0.960378428911514	-1.01328979138857	-1.03023456353077	-0.935008550868105	-1.10503447990168	-0.963843577232256	-0.896891167677373	-1.0013885962893	-1.07732611936436	-0.844315502818869	-0.868842397681005	-1.00310386078423	-1.07316643979579	-0.902268995064416	-1.10389672443784	-0.970828867632132	-1.02990776715079	-0.933586858220813	-1.1689561002092	-1.02503047089301	-0.807146038711134	-0.886711558349539	-1.07869448256749	-0.896433457309748	-0.934185857326231	-1.05109944150048	-0.833552295722471	-0.977664711591694
"26013"	-0.180142828114537	-0.159173634884546	-0.233694227629913	-0.0882405734445062	-0.0945842231664004	-0.0764654580297274	0.00780078209398442	-0.0377778589472682	-0.113640342082784	-0.229603385252983	-0.193957713761886	-0.103173129755113	-0.164366774967156	-0.19600336430906	-0.16302736075451	-0.271093904781444	-0.0102588317789658	-0.225617976173022	-0.228121871876639	-0.178928200882136	-0.132726520000667	-0.201739087196433	0.101758995205857	-0.161670106100262	-0.208325960554458	-0.225590838810848	-0.175446595075358	-0.130574421520185
