	"ACH.000030"	"ACH.000042"	"ACH.000086"	"ACH.000099"	"ACH.000113"	"ACH.000127"	"ACH.000221"	"ACH.000235"	"ACH.000238"	"ACH.000259"	"ACH.000265"	"ACH.000266"	"ACH.000302"	"ACH.000320"	"ACH.000332"	"ACH.000350"	"ACH.000366"	"ACH.000383"	"ACH.000387"	"ACH.000415"	"ACH.000421"	"ACH.000458"	"ACH.000505"	"ACH.000510"	"ACH.000573"	"ACH.000585"	"ACH.000589"	"ACH.000616"	"ACH.000624"	"ACH.000651"	"ACH.000652"	"ACH.000657"	"ACH.000711"	"ACH.000735"	"ACH.000738"	"ACH.000753"	"ACH.000767"	"ACH.000787"	"ACH.000791"	"ACH.000794"	"ACH.000802"	"ACH.000823"	"ACH.000834"	"ACH.000837"	"ACH.000847"	"ACH.000849"	"ACH.000865"	"ACH.000885"	"ACH.000889"	"ACH.000910"	"ACH.000911"	"ACH.000913"	"ACH.000915"	"ACH.000917"	"ACH.000937"	"ACH.000974"	"ACH.001001"	"ACH.001054"	"ACH.001096"	"ACH.001346"	"ACH.001430"	"ACH.001500"	"ACH.001554"	"ACH.001654"
"2042"	-0.210732153355093	-0.13612177839565	-0.0882986339160722	-0.117934532985608	-0.0491902369182518	-0.206047024335931	-0.129152672745976	-0.118118751839394	-0.149322305115958	-0.138743575728031	-0.0993152407135242	-0.115581710677629	-0.162554653110561	0.018594457758681	-0.17757356633538	-0.0711798475539647	-0.0856022697158652	-0.159413292474393	-0.180467992531257	-0.20690600721378	-0.127583383391789	-0.269669429684068	-0.204586922479048	-0.180947175349598	-0.184898898157021	-0.0851172193152049	-0.15081906648925	-0.163284981229436	-0.131028468682636	-0.0471228303223668	-0.007458472767655	-0.131680728612731	-0.0902276637756866	-0.145645760686422	-0.0729609465761104	-0.0921877400682374	-0.13611470746228	-0.058927561658637	-0.139821908710017	-0.276783735677887	-0.148800600188258	-0.0901190294695623	-0.107326314133679	-0.130222607600239	-0.081832176644138	-0.183321105363376	-0.0950716975029211	-0.0878639031109392	-0.0455532623555523	-0.0713496644874517	-0.127960978307312	-0.0542644802524547	-0.0306647654839258	-0.142443586320689	-0.157744982386202	-0.0466535781272843	-0.0207803885524364	-0.0774723778689092	-0.152434378222735	-0.0479453079622598	-0.0950612191258196	-0.128759991932562	-0.177834581840465	-0.0741412849815995
"51010"	-0.772193385527081	-0.850668403351905	-0.518838623753465	-0.509139446079412	-0.478702062320341	-0.612845769501729	-0.793130562258649	-0.768218414913317	-0.697668964687035	-0.777464443619762	-0.802633023862863	-0.772228961879786	-0.64198610244543	-0.609021694418549	-0.92712325350406	-0.745940317450034	-0.59817190784586	-0.568246868836653	-0.777988364444741	-0.570903693649141	-0.961031659198253	-0.49516390927828	-0.640805914665392	-0.523573297225708	-0.690733213606137	-0.749399462085981	-0.755365157922503	-0.714928278417742	-0.788558222442645	-0.709788284655782	-0.427302508884783	-0.62365052378968	-0.790689108286699	-0.680632280279075	-0.748715322339478	-0.7081711474049	-0.66460070921765	-0.577979066254112	-0.692758832061648	-0.578622746426625	-1.02998924441762	-0.802692718875642	-0.734410726643459	-0.76666677934412	-0.651058977088651	-0.694337834359422	-0.680155014530635	-0.81630020787593	-0.579589602274409	-0.507900275998414	-0.783531411126092	-0.638186036020711	-0.872567811712898	-0.971031106584118	-0.600562398799834	-0.63010940215981	-0.509026478153711	-0.579562389942514	-0.752502226405002	-0.806208141418113	-0.730095607606188	-0.502505635585056	-0.696198635827114	-0.944020894741536
"11250"	-0.185275694091471	-0.170481001832918	-0.195998162326197	-0.110294287913166	-0.0478855329596595	-0.154295584914348	-0.308442225732902	-0.174734756998706	-0.128234223484731	-0.21078027470008	-0.205873914344755	-0.184382521038024	-0.195383331876691	-0.225925449272422	-0.111107105237562	-0.0992676987479138	-0.0723629527461554	-0.150291439393749	-0.198661244570679	-0.507997877463213	-0.107172260205496	-0.355280014444697	-0.193130832262582	-0.271714202799863	-0.158984825897209	-0.132321854676956	-0.226066607472097	-0.308095122868744	-0.249655712641745	-0.198147944674795	-0.15102178048308	-0.184451749884459	-0.305159027600737	-0.22613939112665	-0.413691367224924	-0.118796706374893	-0.138704139711253	-0.0619472997245536	-0.275787046262878	-0.17794304639095	-0.236163862974562	-0.201311490906057	-0.105357323522972	-0.376502034476119	-0.100288393637168	-0.328681978586983	-0.217646292840506	-0.249833434289024	-0.204151496507389	-0.149162834893329	-0.341516180746129	-0.162415555443742	-0.147673984582981	-0.375659481106439	-0.144061675383845	-0.179766928035029	-0.158905893625066	-0.228929588333484	-0.136907740886421	-0.274365798445146	-0.158695565575812	-0.0962175879382285	-0.241510791660524	-0.190383620408201
"3655"	-0.101539780791631	-0.184605754930254	-0.0429455837253673	-0.101094495853718	-0.0566266729851184	-0.150528981712957	-0.200232933383263	-0.0964288058829435	-0.0262277819758612	-0.151685015613812	-0.12849085932745	-0.223763695601794	-0.171883022252802	-0.161863320557249	-0.0931651247032651	-0.0436446853500696	-0.0912700872466898	-0.245037555695215	-0.143218195126865	-0.14063198906378	-0.0787839304955589	-0.133657040754139	-0.102292502757138	-0.0820618800014605	-0.113646627790046	-0.132043318382325	-0.230780405509845	-0.074363716465892	-0.142889912350583	-0.272231497395127	0.0587379697467502	-0.0245473799322433	-0.128615496863787	-0.111434526899068	-0.143687121423303	-0.0693502546798353	-0.162652386806548	-0.0752582566000016	-0.0526267687072927	0.0559166039910113	-0.0368263113268163	-0.204848963040094	-0.0512982615234593	-0.0371929226880327	-0.116531721394198	-0.227500827027151	-0.040037114638595	0.045989388364913	0.0390668082048221	-0.224363657919358	-0.104364721055432	-0.231582153950611	-0.147642606152431	-0.177161150318853	-0.188577564517465	-0.183914164642607	-0.0716094128409932	-0.213638939707448	-0.0488367889030004	-0.0654203223264785	-0.0855399012060039	-0.180817818938456	-0.232658233078316	-0.181074964141333
"51691"	-1.00476154016822	-1.06694807335505	-0.96093824128689	-1.00301558367255	-1.11181016131307	-1.17262026700581	-1.14649456410992	-1.0954613863957	-1.3704140310755	-0.981973825015526	-1.004029309547	-1.18010104043963	-1.18908041032011	-1.05914967800457	-0.942349425137205	-0.954743840602858	-1.11120948658759	-0.653100516416294	-0.99752915197788	-1.00302545502511	-1.19096630700121	-1.13040298606857	-1.16160140769154	-1.11854770860676	-1.16255313928677	-1.18278175349512	-1.15777929608778	-1.13532232552884	-1.07802009215716	-1.10097278456802	-0.993352077167662	-1.03270315326039	-1.04672970861226	-1.10762307884882	-1.14488156963453	-1.33440157126798	-1.31916393235404	-1.04057053966931	-1.20232093910605	-1.26892933793872	-1.12671403581905	-0.891315317257523	-0.983557834753903	-1.28755104709645	-1.03666732570453	-0.897584987071355	-1.14077076346603	-0.999483695257153	-1.00435733918061	-1.13996857783416	-1.03593164923067	-0.878035580631933	-0.978278626205945	-1.00354101516157	-1.0093851711558	-1.12609826903714	-1.00932793910408	-1.12795420045499	-1.06142416821721	-0.80899618116172	-1.1493222039359	-1.05633865971012	-1.16477914867593	-0.986773408981939
"9258"	0.153221826296079	0.162691594361377	0.204611863824643	0.11707923420678	0.183316256449648	0.131135338747513	0.0264449437966518	0.0807215459687853	0.0645426646154261	0.186187555863236	0.170368107881631	0.11051857211395	0.232439660629728	0.222010591982668	0.124378231897594	0.11139007359331	0.327609281531866	0.166666718120597	0.161433047472602	0.14093516501303	0.226347769359676	-0.0287569425654972	0.195776933729831	0.147970317298407	0.108221404046896	0.141614715086506	0.199837687094739	-0.0671857564130499	0.184576362022587	0.137357246438564	0.033537807130296	0.111677918179729	0.175448637139186	0.0557913068487159	0.146546919756394	0.131215528011845	0.0756754273004044	0.0599426413333515	0.108926561493398	0.0945414281112098	0.127621892107222	0.189192704474643	0.0989229186868562	0.204346565886847	0.220296429256016	0.0162850167311727	0.166636925684178	0.0482209898943796	0.139710137005453	0.148362706002926	0.172014880775993	0.0942213603711198	0.187064814050926	0.0337826217653048	0.115274325286714	0.109696749262173	0.0401798925320905	0.166607131572547	0.0892145976147663	0.0227608561068427	0.0361448816966534	0.00693555093396758	0.136554827698297	0.140610713046286
"440145"	-0.542002047341387	-0.818184470468032	-0.583535707725438	-0.439510780601268	-0.441984237175783	-0.528894785152438	-0.504172902398021	-0.352470443319787	-0.258116129335316	-0.603234392806767	-0.37079937982615	-0.47554680772716	-0.613413123537852	-0.407509722150456	-0.413636728440289	-0.258912045179443	-0.542191804293487	-0.60591919600544	-0.452850757432415	-0.707744128910895	-0.835154880073169	-0.628132406351005	-0.544144879022061	-0.505292703705814	-0.475420511520933	-0.534451440486949	-0.541746027658885	-0.564788333732339	-0.651492257304963	-0.442267145341179	-0.401608715430817	-0.516958575994943	-0.662957633298841	-0.490122097349454	-0.678504798038665	-0.471895828619887	-0.116531150000382	-0.41618521064286	-0.518389196477687	-0.369723489997404	-0.444134628928787	-0.404107694103492	-0.467006968251439	-0.459961807881813	-0.39049828369335	-0.495238938044125	-0.554555509691209	-0.536423817244223	-0.510607601178893	-0.685280801668886	-0.434049994028626	-0.335243999166634	-0.388317595922427	-0.514529355701378	-0.312941813628096	-0.434546981872997	-0.494702743282107	-0.402830270915219	-0.45187215423025	-0.461292800974566	-0.36312720861184	-0.399770936015354	-0.50050699471643	-0.428726284436515
"9147"	-0.227930852139566	-0.301182448164903	-0.382368731498623	-0.355834426372606	-0.248120373727326	-0.401297334437888	-0.254263066762195	-0.344522554751177	-0.494575877815578	-0.274125413672628	-0.325438422618724	-0.375379230516594	-0.222989417156968	-0.267130571844318	-0.393609748846249	-0.268604976974339	-0.298661403075831	-0.378482488580965	-0.378301184908559	-0.291971945404252	-0.370349718190234	-0.46213538225897	-0.343244121020585	-0.222663981464289	-0.201093154789979	-0.320557086109794	-0.29918027923403	-0.1249154111217	-0.29888543488894	-0.280749259095681	-0.424999263116761	-0.362976412333718	-0.347017995099119	-0.557347428743998	-0.57726115666471	-0.162072226950737	-0.319822089830258	-0.263292376925171	-0.442637272815424	-0.378833438024978	-0.435820263646639	-0.461309917878223	-0.268612407795255	-0.548223906734362	-0.223652030624409	-0.370647953282487	-0.594730680382898	-0.482972078342971	-0.453147545771056	-0.221319417521694	-0.450052598716463	-0.415613740061202	-0.214104370549448	-0.27672364041232	-0.531417249877484	-0.357302514865469	-0.377238647720855	-0.446017111296863	-0.178613164527115	-0.484180297756724	-0.177510356382653	-0.303097212654947	-0.347793757934764	-0.514502627243063
"11243"	-0.877607166579948	-1.01083599435054	-0.951123875744594	-0.883353482973522	-0.896522406057502	-0.893304005986232	-1.07305779241955	-0.844924406093112	-1.05350112173821	-0.980737156970459	-0.852245096808102	-1.00775028060327	-0.788164650516427	-0.827701439363585	-0.918442028106207	-0.835693171627111	-0.838190379877224	-0.71779359981848	-1.03431500339449	-0.995734703559101	-1.10306564213992	-1.00058708475496	-0.949715129890582	-1.04084114511401	-0.897950182948702	-1.02951989764938	-0.884073698676755	-0.965366766267048	-0.938291252917835	-1.03466146157059	-0.826048836148801	-0.823016389137864	-1.00083411869554	-1.03113127322437	-1.01312050227883	-0.969997476379719	-0.87769158531015	-0.909018917048408	-0.938487566512402	-0.715095548836218	-1.07214333820707	-0.980913660207104	-0.964979083391789	-0.905717455529291	-0.826088734236779	-0.811150326462989	-0.848262156978544	-1.00624832356416	-0.944619725488369	-0.770702682239462	-0.770457401304576	-0.914856066019636	-1.03856924272741	-0.927741101760662	-0.865490471095669	-0.991055992123098	-0.890507260702987	-0.93013855875547	-1.00755248343185	-0.902613419412019	-0.947443756632952	-0.826301339983619	-0.875608238822968	-0.988764935613654
"56902"	-0.232409752938193	-0.417338916627441	-0.469268965907061	-0.229631835452567	-0.507664347834717	-0.543902715857753	-0.121652148685621	-0.357994315891126	-0.371003102216927	-0.345200178571439	-0.303390096640446	-0.314007147375553	-0.18126696982123	-0.302172181381359	-0.42172307194054	-0.325037573418105	-0.322929074376351	-0.115887732197699	-0.395727557846512	-0.392344304361179	-0.541245552262174	-0.33624314595615	-0.196350025628335	-0.269418498459414	-0.378320616284743	-0.313892297940848	-0.368652855986594	-0.313802292021626	-0.485872003075463	-0.398181333247087	-0.225838532077942	-0.455897641140124	-0.418065503936365	-0.204494539007175	-0.254467457214529	-0.236298077027699	-0.255690978677942	-0.473372766988777	-0.332724241782867	-0.299540860579394	-0.411787230227191	-0.34514271434543	-0.408582653644947	-0.278807904810032	-0.422373560979547	-0.315841073105498	-0.274342987801476	-0.381737462857461	-0.313162745794293	-0.51630511314818	-0.292946999292761	-0.344781848043607	-0.273441076813869	-0.243507679102973	-0.276455552895262	-0.251428929098984	-0.217895602538195	-0.360761047670836	-0.345803678089164	-0.321964874721215	-0.175874441235237	-0.0644858098317105	-0.30027594141905	-0.213489446500736
