	"ACH.000040"	"ACH.000052"	"ACH.000067"	"ACH.000092"	"ACH.000148"	"ACH.000178"	"ACH.000237"	"ACH.000243"	"ACH.000260"	"ACH.000279"	"ACH.000322"	"ACH.000331"	"ACH.000348"	"ACH.000407"	"ACH.000411"	"ACH.000464"	"ACH.000473"	"ACH.000496"	"ACH.000502"	"ACH.000520"	"ACH.000550"	"ACH.000573"	"ACH.000591"	"ACH.000616"	"ACH.000661"	"ACH.000665"	"ACH.000688"	"ACH.000766"	"ACH.000787"	"ACH.000792"	"ACH.000811"	"ACH.000827"	"ACH.000865"	"ACH.000928"	"ACH.000943"	"ACH.000946"	"ACH.000947"	"ACH.000993"	"ACH.000996"	"ACH.001048"	"ACH.001061"	"ACH.001075"	"ACH.001119"	"ACH.001134"	"ACH.001183"	"ACH.001322"	"ACH.001654"
"5691"	-1.56058608145363	-1.60689451393439	-1.41945857516644	-1.52889744247104	-1.87925027251447	-1.59431705767498	-1.68444743939362	-1.61795698477193	-1.65422056203839	-1.33833197513469	-1.76114610065237	-1.55929630858716	-1.93494648432732	-1.72226816799125	-1.55857799540901	-1.69073903283802	-1.64576184841264	-1.57129131048381	-1.56713515345288	-1.67297188271157	-1.59847946547717	-1.69314912101277	-1.69952710304429	-1.68261883789407	-1.91587158114195	-1.42493037237253	-2.07470492511736	-1.68499411073739	-1.61836712387886	-1.66711054126353	-1.61734613966495	-1.44895148895286	-1.53367474552879	-1.66369610031645	-1.76579887913383	-1.78563403417144	-1.77386855162581	-1.69760157925699	-1.6065049442283	-1.57608199743005	-1.66378457305666	-1.61473951597705	-1.75640106847888	-1.7267138784213	-1.61452779009716	-1.55724374357632	-1.60075124501585
"10535"	-0.611420719608233	-0.769735599326907	-0.718540758780416	-0.419057938383499	-0.476425848661984	-0.388935352705048	-0.446346984834076	-0.487867483805781	-0.618626322459254	-0.491482642392297	-0.365400486411585	-0.460670020792708	-0.36250921097333	-0.637640073615131	-0.400885625673465	-0.397124531842765	-0.442257719634737	-0.653305518969562	-0.498747702871676	-0.519442330387536	-0.354120745348855	-0.449321784912286	-0.610552736788404	-0.698725604466058	-0.458955937072444	-0.548577813719227	-0.518658328607137	-0.614424512044685	-0.36909273311102	-0.474384143849038	-0.369995306792048	-0.680488155356185	-0.464362607218935	-0.419536676481463	-0.572901025302536	-0.547466581044701	-0.364658095054171	-0.510885400899227	-0.418778473841282	-0.425357886180508	-0.439098153170789	-0.548784791764658	-0.439918737400614	-0.463901786397742	-0.49232248594311	-0.687663111608722	-0.655828130412332
"79621"	-0.374539361704282	-0.0329292531181169	-0.610397835778265	-0.179694753253409	-0.399097099861467	-0.173126313248082	-0.247000809483192	-0.225118599682801	-0.336115736079891	-0.201019896887669	-0.321313724415854	-0.270416599830082	-0.269845203999509	-0.434967440632788	-0.214103342400966	-0.186264175818019	-0.0207771767254596	-0.494997313240567	-0.237122477229923	-0.20004608174514	-0.176582052299156	-0.360643469924786	-0.470046917204776	-0.570615305312795	-0.293230263383332	-0.197806835738543	-0.129785499220434	-0.462094021338822	-0.327207954639055	-0.0934055776096773	-0.155119057218404	-0.410295566663245	-0.270962414529189	-0.0688065483196079	-0.217837745820775	-0.0657164096737525	-0.168875049569482	-0.206440857695923	-0.267861858693329	-0.10601299904879	-0.171145331638886	-0.217546166678578	-0.293729415911233	-0.282476090985831	-0.318884524389606	-0.543719665251697	-0.437747073480133
"84153"	-0.651720858894288	-0.512049035511585	-0.754127189815239	-0.484754540958052	-0.550986836490297	-0.339152230393076	-0.505003111245418	-0.550847599257715	-0.661861412000064	-0.638687733110161	-0.688810508166769	-0.424997327396144	-0.382030344324865	-0.676524223545196	-0.517299393065936	-0.402600909929833	-0.451202775539081	-0.743139137242309	-0.535271566295846	-0.529977429879855	-0.294432070595526	-0.425947368767356	-0.453705739644979	-0.642729864488806	-0.58258623791086	-0.560588814705749	-0.358453935678385	-0.592205184436968	-0.495432781812017	-0.40223270671598	-0.387465309827024	-0.828784545648921	-0.421261472106402	-0.284547964206366	-0.641022576370571	-0.554848622839447	-0.374024791123944	-0.240078257138631	-0.529274784956085	-0.42771068260357	-0.515200182868098	-0.79640880149649	-0.568270670355938	-0.606677070475922	-0.650951518877289	-0.812138031433395	-0.576911424278276
"10557"	-0.53083413792299	-0.510652941315022	-0.868664760585565	-0.547770872026131	-0.473699883015613	-0.561605532702289	-0.447635931325434	-0.586004242026615	-0.527355572164191	-0.549167431610032	-0.462391640028791	-0.629730527728613	-0.373244737109496	-0.189528090637619	-0.453196359214325	-0.425313172683879	-0.642948203234733	-0.482722560824616	-0.473046677721308	-0.213227659679869	-0.47152810138232	-0.428188846162144	-0.605860179799141	-0.656730202822386	-0.583607402763648	-0.571323775915557	-0.423261780618644	-0.411904575485674	-0.419377784519026	-0.387018334736975	-0.388565028523424	-0.550511804457464	-0.471638789470097	-0.379026188495813	-0.517701163379059	-0.657004423121225	-0.285460701229807	-0.682380165628008	-0.499020708173728	-0.530808984624868	-0.528995085175301	-0.578346364351401	-0.486062612956798	-0.376170718564448	-0.532601172040005	-0.415315114602836	-0.684774916386104
"51319"	-0.210529081181042	-0.181854320043628	-0.336229008700611	-0.155620359895908	-0.145861560521139	-0.110288658582008	-0.118914189805791	0.0011817733016092	-0.178955229002753	-0.0363082028292397	0.035645385084912	-0.175679938691308	-0.0694133135081296	-0.0899396396301432	-0.164511203572941	0.054043091735543	-0.0127640962195373	-0.203001828918127	-0.160618977061619	-0.0101102425332747	-0.146071496910033	-0.0879329688003586	-0.191850626224449	-0.18119929890861	0.0854411644597886	-0.0285182958218377	0.0885230200143089	-0.0636509473451824	-0.127617153915696	-0.110278756098748	-0.137983578365494	-0.21159218366399	-0.103587590095356	0.0403655809409392	-0.116975126798527	-0.131984593402073	-0.104847151753314	0.00453242921581575	0.0220169300351908	-0.00805976640237141	-0.0520168861418219	-0.110790439774138	-0.00832501416698318	-0.243429069554461	-0.207819769382766	-0.0062423319146635	-0.198216889590835
"64426"	-0.449104647385352	-0.285337070847847	-0.325233514241715	-0.592540441495722	-0.428151990104971	-0.589688508504072	-0.219917562821541	-0.52692247702272	-0.251441908333633	-0.290266955568732	-0.38865533092144	-0.613112964589224	-0.297134001069347	-0.564935820773361	-0.437434368866512	-0.423184627050054	-0.319352539755546	-0.456348134026993	-0.408820672302995	-0.317765192048213	-0.492196290628623	-0.306558797029478	-0.478650325157537	-0.377422198253111	-0.365033840299183	-0.377930499022483	-0.427877133036698	-0.487277564275969	-0.379024852615673	-0.418891697466652	-0.306046454179121	-0.440943968129097	-0.363696977718279	-0.405266647091759	-0.324671415803444	-0.310988662547923	-0.332752513288723	-0.200459141526036	-0.218623186740931	-0.20879358354632	-0.398793948493629	-0.296297523183741	-0.431453517106516	-0.419580469908111	-0.385585601792818	-0.39725966304031	-0.543593739637816
"729873"	2.15973485019319	2.05188072563237	2.31615426945619	2.12689738213821	2.00434691949025	2.08500504265254	2.13407259836803	1.85933084521458	1.93691789776563	2.10010150134977	2.54212683636054	2.07120930293648	2.0662975733329	2.02523285414349	2.13330321587481	2.24841868339244	2.18497988467869	2.4413864009606	1.96584178961247	2.3244763754108	2.2188438299134	2.25797555166389	2.22893010125811	1.99337578006481	2.2000062871166	1.85702086630198	2.0409577168555	2.32274161253357	2.12006132485201	2.02794031798696	2.04002724956575	2.00505180405655	1.95248479773545	2.0965951225878	1.95265826731124	1.84883405048596	2.01305696505475	2.13073199390487	2.20917883298115	2.25972487363852	2.05401284875104	2.08103268345867	2.33521254847528	2.37703208540108	2.10859505052044	1.89293747115355	1.93627151937332
"55258"	-0.225842700232735	-0.0571790493729944	-0.178252231381186	-0.186961098728051	0.0616133882133215	-0.0321948355838772	0.00776017006305986	-0.110413306724965	0.00345110819605681	-0.0757702512866771	-0.169640974032175	-0.00964251624245139	-0.0772109768420106	-0.063210797538737	-0.00200136195852771	-0.094103079148975	-0.034185830103921	-0.284109954016087	-0.0398273563781594	0.0421155695689666	-0.049051583128138	-0.086405592901072	-0.186964061581745	-0.125737882563583	-0.142913716491563	-0.166273445823038	0.123816771453121	-0.126185794245536	-0.199783433828343	-0.159857117014698	-0.0580396545287507	-0.11184310764783	-0.046350616949666	0.0754423380738306	-0.158198503349512	-0.173507161062246	0.0295387789826009	-0.0489824648883312	-0.00432747270172445	-0.114831420666767	-0.0447497719381129	0.0235799207497197	-0.0283389505524069	-0.124481674949896	-0.0770825756884044	-0.0817141501136668	-0.0274049741407927
"51524"	0.0950394157015213	0.172125938047239	0.115274018963877	0.109524951715499	0.122498596634632	0.123659966629134	0.0891207062536448	0.146366417195953	0.07773948322272	0.119928186937436	0.147729990759973	0.0251844901741857	0.135608758310278	0.0758783625180573	-0.0215347057458792	0.0956894630419601	0.0167158087238412	0.0211242122697881	0.0713711080531302	0.0449903767909588	0.203747097119275	0.125945375910111	0.146139663864119	0.12989467693362	0.0742324972829145	-0.0598134927905504	0.0253963072425676	0.0935460338194954	0.060309502840642	-0.0406837711289974	0.00423843297749515	0.110686213359124	0.121570050093733	-0.0481111048778272	0.0370349889484026	0.0359152821257051	0.129602428464789	0.0120805388652557	-0.0634923220400647	0.0641112726765984	0.0398861073748379	0.0601890065671406	-0.0125095222596117	0.0737112361444324	0.161880836801278	0.136800996210755	0.0913603380780099
