	"ACH.000052"	"ACH.000123"	"ACH.000243"	"ACH.000266"	"ACH.000291"	"ACH.000332"	"ACH.000407"	"ACH.000488"	"ACH.000516"	"ACH.000622"	"ACH.000657"	"ACH.000898"	"ACH.000906"	"ACH.000958"	"ACH.000974"	"ACH.001532"	"ACH.001554"	"ACH.001654"
"25898"	0.0603038625880316	0.128089927321751	-0.0484206344846732	-0.0769796611110158	0.012419002904882	-0.0269389514163384	0.0619116986643724	0.00113110834784774	0.0245827385913543	0.163375592933897	-0.0411573782088803	-0.0452497484380874	-0.0681366451304915	0.0788970649738966	-0.152954011568578	-0.0891981159839239	-0.0620795326407258	-0.0959439896955394
"6117"	-1.12116834918916	-1.0562858726251	-1.24688856152902	-1.18977315484298	-1.15310877657458	-1.15955841513356	-1.25016999650723	-1.204074520801	-1.27927260765179	-1.16863620443439	-1.17117818372877	-1.31003721584584	-1.32142143245197	-1.32952288917398	-1.22058673896238	-1.33001993352376	-1.17573447671756	-1.23103983381429
"6141"	-1.2573474101795	-1.32740814171439	-1.28001066829191	-1.39609083377585	-1.29361537827468	-1.36505640068293	-1.33033770324032	-1.30506704609904	-1.288678678057	-1.30522678488906	-1.40731033531092	-1.16289641638064	-1.32110870537229	-1.31294051342255	-1.28029110377526	-1.2615757294027	-1.37557631567981	-1.31215527999556
"9349"	-1.42180655222423	-1.65218508017785	-1.51682070169242	-1.46868193348128	-1.49555271947103	-1.56204242096902	-1.59435012660958	-1.55500119838162	-1.43280084072114	-1.45385616401536	-1.60088795300092	-1.61814006035353	-1.47565004469686	-1.70889325237764	-1.46511391635829	-1.73594970025079	-1.6441304782914	-1.58711998298635
"10237"	-0.647174512663609	-0.817952960648788	-0.702614339789293	-0.624588349790778	-0.651223969076255	-0.610811979178417	-0.621662400951886	-0.625142458969978	-0.58574616020482	-0.749652945180917	-0.685796721608707	-0.539914649155964	-0.636809965181331	-0.583127324102975	-0.647901641310308	-0.583421800613491	-0.777591351122853	-0.5753121181092
"57835"	-0.262314449836032	-0.294542377603899	-0.507419295711318	-0.439723525617544	-0.407367982696527	-0.434044269363512	-0.424918950430703	-0.355844513988001	-0.252594561542721	-0.305045737375365	-0.564198409442126	-0.533183153101717	-0.320989628252152	-0.362776592764764	-0.494508119430765	-0.384375787813485	-0.50516741212305	-0.356253873683868
"55234"	-1.37238682415691	-1.44966702207207	-1.27865653717845	-1.24511082256586	-1.37665513263547	-1.43199513524218	-1.24902915981846	-1.38757885351091	-1.35658801870603	-1.31731841270141	-1.46877041017709	-1.44394461658831	-1.37156067670911	-1.35448728366445	-1.38698747072982	-1.46770461444291	-1.43013426497362	-1.52660144513988
"6637"	-1.1035088512354	-1.1082894229443	-1.15929601342163	-1.19577201346783	-1.43868193336614	-1.21530106702642	-1.14239087035857	-1.24897682773783	-1.22545246326366	-1.14224183820293	-1.15796680680729	-1.19673554935671	-1.16015793072186	-1.05327251518657	-1.14849188761302	-0.988747622646376	-1.20693724920299	-1.12476340774487
"126074"	-0.261744922608628	-0.236703810772919	-0.215197241320358	-0.123044672349869	-0.152328142872622	-0.151995678563374	-0.253024613901188	-0.152469020312697	-0.120461318877647	-0.272249611258326	-0.0938732612969152	-0.174013632152651	-0.172709050259415	-0.121929375171754	-0.179444920241291	-0.143248109766025	-0.143960872258653	-0.113248605437767
"6869"	-0.233548748237009	-0.321254920209281	-0.138497698466861	-0.191532647910776	-0.249757489080942	-0.209425878841093	-0.295132960223259	-0.153820288071022	-0.181237031718775	-0.225581825461003	-0.244466671959097	-0.234702735229489	-0.310447723965404	-0.106901709168998	-0.158094594315782	-0.249820937186904	-0.325141095699482	-0.136819688568055
