	"ACH.000021"	"ACH.000053"	"ACH.000060"	"ACH.000097"	"ACH.000223"	"ACH.000228"	"ACH.000235"	"ACH.000256"	"ACH.000264"	"ACH.000277"	"ACH.000280"	"ACH.000291"	"ACH.000293"	"ACH.000318"	"ACH.000352"	"ACH.000383"	"ACH.000403"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000466"	"ACH.000481"	"ACH.000517"	"ACH.000522"	"ACH.000524"	"ACH.000571"	"ACH.000608"	"ACH.000623"	"ACH.000624"	"ACH.000647"	"ACH.000699"	"ACH.000711"	"ACH.000735"	"ACH.000783"	"ACH.000785"	"ACH.000791"	"ACH.000796"	"ACH.000867"	"ACH.000988"	"ACH.001228"	"ACH.001353"	"ACH.001377"
"55052"	-0.383968854874033	-0.472216074404836	-0.477326306670387	-0.327713428139995	-0.508055662776439	-0.456714136720866	-0.39365451727738	-0.447422261227445	-0.451777694560262	-0.573914818447613	-0.484573878952573	-0.406069334956884	-0.419311069335186	-0.502909381873654	-0.544829645171067	-0.492423113501245	-0.344638107834072	-0.206512351127589	-0.39616814269608	-0.182573219556041	-0.371750038852878	-0.360664456419005	-0.364460803227942	-0.5730383586168	-0.369017754259143	-0.477671190577901	-0.290761201242398	-0.385143838344319	-0.105171861457224	-0.60757846660255	-0.387049430401228	-0.602055895838664	-0.397207069996063	-0.218383497708219	-0.342491481658354	-0.287931684519688	-0.345807798971286	-0.214284983207752	-0.208636604238003	-0.334999197452622	-0.0999391877694796	-0.637857797338335
"219927"	-0.869301856953193	-0.786305687359055	-0.852222888907926	-0.769844641177695	-0.959079098788876	-0.899523634436845	-0.838825115883412	-1.07580404595001	-0.852902912357385	-1.16333698829704	-0.910957009266063	-0.841535111834811	-0.995087817102031	-0.997710119972724	-0.944800680008561	-0.844438295153055	-0.782415059756818	-0.802274144315766	-0.893880611385084	-0.765769172527797	-0.808035510231312	-0.886230735617885	-0.742518325398189	-0.952391155617498	-0.758979087460205	-0.859373251947922	-0.808233440970147	-0.807886660267268	-0.762051642402641	-1.15504846680159	-0.775265940782638	-1.01901469394859	-0.950341624344157	-0.781892152951251	-0.957720861149949	-0.790374206468915	-0.849995397876062	-0.782492860717374	-0.767281068591052	-0.815655299558233	-0.66614799748006	-0.959562358704562
"54148"	-0.466200249125578	-0.514987952669176	-0.652818636307375	-0.491214385696002	-0.645534248390001	-0.533280715005846	-0.562772415945584	-0.55868391141518	-0.487135867423608	-0.874602281312094	-0.596015838958077	-0.494187360063872	-0.668713084266315	-0.642421930994292	-0.615037561190142	-0.760314005130574	-0.472041082626536	-0.568323663834609	-0.697664986360053	-0.456244710133837	-0.603906830964171	-0.593146119879369	-0.418820380301692	-0.752369352379024	-0.534093640745395	-0.489019399631409	-0.496010226082542	-0.511577570931065	-0.411243069780298	-0.758121805873788	-0.734272656262711	-0.736374108693381	-0.790104596238358	-0.492333896553523	-0.815380045358835	-0.606831303358804	-0.600489781066651	-0.533069600411517	-0.427610327389245	-0.663086059704968	-0.376561641449909	-0.690928379019089
"84545"	-0.524515034492566	-0.612262277456823	-0.618923835953527	-0.54055993316019	-0.819401312339153	-0.546303986978105	-0.53672811815346	-0.598910252545052	-0.577528758586935	-0.827789110461271	-0.698568316193782	-0.635014564875747	-0.786663823758117	-0.708335330339892	-0.668200530537049	-0.665905006341401	-0.634810490993782	-0.46880969946426	-0.604840342227489	-0.56545186485835	-0.5962697053693	-0.65605936561763	-0.531601722887273	-0.747768104099987	-0.597860671054781	-0.643880591220347	-0.504706160903838	-0.668548860688947	-0.460174126019637	-0.886725957166426	-0.694552915829432	-0.802832525478502	-0.703928603547436	-0.532317046807559	-0.620732692959532	-0.613024946050164	-0.594519099977117	-0.48754453081643	-0.429289189247085	-0.564208508148504	-0.459858738160452	-0.768873347754367
"57129"	-0.31959494343938	-0.233325047708274	-0.274376369445693	-0.246465205691924	-0.282255761953519	-0.158183915518321	-0.22239215670041	-0.0992735431236486	-0.263941920222848	-0.515498158206712	-0.21528303507136	-0.284568745960624	-0.364373347092973	-0.29671002232495	-0.212414406070607	-0.295127379470776	-0.149194085134253	-0.106170753726455	-0.294118644342481	-0.126097299393736	-0.163403207556206	-0.229831707183479	-0.147144476000606	-0.350210729881398	-0.333241160101541	-0.24936381347139	-0.105686092427851	-0.294110852595866	-0.0580585507651268	-0.471792745146115	-0.288978450673449	-0.279670708016968	-0.297101159682931	-0.150490741381066	-0.401595684103882	-0.258411762340756	-0.292087534864532	-0.181435676002594	-0.249013230806745	-0.131097710446629	-0.118106117000328	-0.361799560082167
"26164"	-0.384136107037067	-0.378339970140289	-0.317156184072073	-0.393929385005482	-0.376468088137605	-0.286145352738129	-0.327073206844584	-0.480384814496871	-0.430301482451818	-0.485914038934133	-0.475855983170495	-0.357088820580932	-0.480710286733888	-0.385384226207248	-0.390962341097872	-0.493648250764282	-0.360945830381676	-0.257643805146331	-0.469071502384685	-0.283243465087847	-0.551187555067776	-0.364107014853281	-0.372693200156185	-0.538004339354571	-0.431951394634491	-0.443357857392867	-0.401193145197108	-0.392051359013886	-0.156757509337672	-0.620322166210335	-0.530811004567237	-0.389897847277412	-0.360882258386119	-0.367992533955883	-0.375447816178672	-0.442713351161119	-0.462201604138079	-0.288892464922527	-0.345109922418038	-0.41807877308365	-0.153320729187653	-0.442003765358188
"121441"	-1.29930398582686	-1.31359145911178	-1.29764588008317	-1.50482580957065	-1.47995162301987	-1.51751585570215	-1.23303175173591	-1.32542384459067	-1.57707475304988	-1.35904871166962	-1.2979057299645	-1.20381011762163	-1.39322190038603	-1.52014220365831	-1.20395760631733	-1.12298086606233	-1.35898225082706	-1.21554854466711	-1.1694163411369	-1.1362362635597	-1.60417427275829	-1.67347015656732	-1.38244816821933	-1.28608633799423	-1.33281316682939	-1.68384194658672	-1.23153848253191	-1.51270232846317	-1.33967338086867	-1.25041618433826	-1.83864679459487	-1.36374385850534	-1.2101713169294	-1.41393282554875	-1.30395044234923	-1.11500329505132	-1.3701999354475	-1.40507477669585	-1.70181038339122	-1.29012596885321	-1.31513413046901	-1.45490514417497
"256148"	-0.275116039746494	-0.0953426981867313	-0.407905447230868	-0.187721801097518	-0.267460079827419	0.0821479417176873	-0.272640573809013	-0.177649308807102	-0.0485313700932643	-0.288050486306818	0.00773475490889511	-0.0549657424061918	-0.204755488406145	-0.23958547757161	-0.2020188023173	-0.0973508798770246	-0.225251159788397	-0.178912589543503	-0.211924535163311	-0.218144768354198	-0.217871564238969	-0.247813077318714	-0.320877848774015	-0.20515741519855	-0.137554991911791	-0.218085522951909	-0.368571896716267	-0.132690239859907	-0.177419887632171	-0.304956828704732	-0.229469056896032	-0.151058499133993	-0.194830263714864	-0.215286961858034	-0.14256805629134	-0.265448976994819	-0.0503430396057185	-0.223408264389399	-0.18989734069461	-0.144913049464855	-0.0683268356160895	-0.247450417682918
"440503"	-0.0444134790693451	-0.101852608388978	0.0476781559455996	-0.051073418114865	0.0319865818576933	0.0319404717034913	-0.120013206761583	0.044038067476364	0.0129040993975329	-0.112286218144648	-0.017867259850818	0.00785266815102425	-0.0747564845920177	0.0546549646926348	-0.112560708116602	-0.150008327342375	-0.121940851204504	-0.10586814455919	-0.139114520516637	-0.068434512874235	-0.0172581741840497	0.00193364279137103	-0.0456248034731384	-0.0319899802509294	-0.072735418797463	-0.0990776876704784	-0.0978820594996058	-0.0143645686061353	-0.0307690855391317	-0.0143992957702733	-0.0670766880532788	-0.0596346306639189	-0.012616635572279	0.0280672960430238	-0.043571334825108	0.0728203507350128	-0.0534695364164303	-0.0941468779254983	-0.0560568144821845	-0.0805371005394337	-0.0704879547902218	-0.027602157267889
"5424"	-1.00981191600845	-1.13686662276992	-0.989389509925073	-0.919525855829833	-0.93329674612661	-1.00611238276732	-0.989772659900354	-0.820242181787271	-0.841489015561511	-0.900343192581467	-0.746705215024553	-0.733508885458307	-0.882783156565447	-1.01747138061093	-0.889591007557987	-0.998566811948413	-1.06948395298083	-0.780473955297947	-1.02945032940209	-1.06792850041409	-0.878099236413757	-0.997046544944303	-1.11015114842396	-1.01313850152557	-0.992362544723236	-0.917274956256542	-0.846133910120612	-0.97859024656231	-0.929865941073346	-0.956566914848655	-1.08047137341704	-0.895158099438311	-0.934125773423329	-1.07334224912077	-0.96255528283476	-0.955586516806764	-1.13584081935881	-0.956155321158483	-1.04956163222834	-0.891357801760905	-0.953175530201371	-0.83533648154298
