	"ACH.000009"	"ACH.000013"	"ACH.000067"	"ACH.000095"	"ACH.000097"	"ACH.000223"	"ACH.000235"	"ACH.000237"	"ACH.000248"	"ACH.000256"	"ACH.000264"	"ACH.000280"	"ACH.000318"	"ACH.000383"	"ACH.000403"	"ACH.000414"	"ACH.000415"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000476"	"ACH.000481"	"ACH.000496"	"ACH.000524"	"ACH.000527"	"ACH.000548"	"ACH.000571"	"ACH.000584"	"ACH.000608"	"ACH.000620"	"ACH.000624"	"ACH.000638"	"ACH.000681"	"ACH.000699"	"ACH.000711"	"ACH.000734"	"ACH.000735"	"ACH.000738"	"ACH.000785"	"ACH.000796"	"ACH.000802"	"ACH.000824"	"ACH.000848"	"ACH.000867"	"ACH.000917"	"ACH.000936"	"ACH.001048"	"ACH.001353"	"ACH.001377"	"ACH.001654"
"129080"	-0.153982435925605	-0.201114686293036	-0.0436029817750725	-0.111266066942714	-0.148257342265504	-0.295052387795061	-0.0232511604505377	-0.138001278533301	-0.0295909001481811	-0.184957168422565	-0.214367670070486	0.042915714836703	0.0709905063030589	-0.0782150519766466	-0.140976861289846	-0.042786147290778	-0.0150688124489234	-0.124023174410053	-0.130475521571341	-0.12306682828905	-0.0924225754724104	-0.160666353397521	0.0152865050668517	-0.165219687029454	-0.155671440205623	-0.101766074620233	-0.101520044020608	-0.0947306676715344	-0.226340761132129	-0.0751418076726121	-0.206781996320047	-0.168456495887457	-0.135728347644851	-0.144458525354586	-0.159505000159046	-0.196167600970844	-0.107559728915234	-0.167639844763215	-0.0284946401789158	-0.00995113589376136	-0.154541117480171	-0.102059411444305	-0.090096628713158	-0.134436800594818	-0.119214707993626	-0.209480814495267	-0.0942935543514498	-0.0337471873107987	-0.0572094175652769	-0.0326725502776908
"91227"	-0.5047783775694	-0.615885164845888	-0.807099409318909	-0.763515483757684	-0.809882111699649	-0.687914471003756	-0.519838366450909	-0.785015725020749	-0.499221814751199	-0.72487847027447	-0.727739949601803	-0.949335079725188	-0.740677023256038	-0.690194023151604	-0.955517296147611	-0.823015807960842	-0.741389173860487	-0.783077482426576	-0.666946116564151	-0.766733108032112	-0.556109486656368	-0.618654938104154	-0.602508094268847	-0.833669711265946	-0.550112029319965	-0.703105823272207	-0.747158162089157	-0.75173400244334	-0.780731986884889	-0.655841142860361	-0.698504296544768	-0.528836956556769	-0.719411432916905	-0.664774846322706	-0.717551685648205	-0.659792724027422	-0.807271768209631	-0.704085192129327	-0.876835567466225	-0.65401259845716	-0.538622549161363	-0.628873837896954	-0.504598122512036	-0.844532434153201	-0.890526348423586	-0.670471427899993	-0.702332555939774	-0.748942913914099	-0.632894609902829	-0.778832272174829
"83606"	-0.0481659146237344	-0.107091424222009	0.00971582326221516	-0.138952339594352	-0.106721645140151	-0.21962574747541	-0.115127237306067	-0.184462722820398	4.12011761303722E-4	-0.226603014852907	-0.207616354423831	-0.10737446741891	0.0287460268860033	-0.125808020224275	-0.224402913902106	-0.137798429553765	-0.114668047749094	-0.162536744806549	-0.110971526692335	-0.121223650645479	-0.0402874205265847	-0.136848856252599	-0.0883185297637939	-0.142976318487421	-0.168820792037157	-1.91325558974718E-4	-0.245794926647994	-0.0934392780978217	-0.142587742683771	-0.0360043495526737	-0.179600486846527	-0.225670784775478	-0.092649629909529	-0.304746456924494	-0.15401518432051	-0.146385367931561	-0.121423034700548	-0.101058248526634	-0.105107334478484	-0.0552621286855719	0.0164575378541525	-0.0347477371374453	0.051809851498768	-0.124082506831495	0.00880698331257558	-0.0693957436336729	-0.161948347082244	-0.163815650676767	0.0792879361696303	-0.187751237266266
"55142"	-0.249930570307962	-0.208586434257072	-0.312883750761883	-0.0607644344643938	-0.173611297981694	-0.198024186585532	-0.056943184165074	-0.178386088377977	-0.317164061542359	-0.161325583656589	-0.335666586235509	-0.101487427788143	-0.205914366881219	-0.238926063257124	-0.262887481578169	-0.194783887900219	-0.159332962931602	-0.363021541162969	-0.201894342195827	-0.157479489628386	-0.398861760818029	-0.281994408584757	-0.163603667390985	-0.24908740808095	-0.214099505642325	-0.390500220157962	-0.340155313328897	-0.0394961591501511	-0.125839832952844	-0.114656984907967	-0.359671974823829	-0.180103589894966	-0.160998449337218	-0.391038884419554	-0.494021818356801	-0.148767270768795	-0.197402728695892	-0.0565179259418242	-0.23172827166439	-0.289560135407048	-0.180699242445784	-0.0223344822299471	-0.174001175839187	-0.313410747957674	-0.134092684015866	-0.121483662735233	-0.0416234955047718	-0.232915701454155	-0.0603851461814181	-0.229918998328446
"79441"	-0.780416258536456	-0.715410757092152	-0.828253177469334	-0.595124095790952	-0.753021374032031	-0.859823052881429	-0.487628970079983	-0.960506395925915	-0.436625069870638	-0.605260417077931	-1.01492115129289	-0.789654342218221	-0.828616580846887	-0.53164514015829	-0.587571280240687	-0.68527273116425	-0.713931476674456	-0.494204382336829	-0.909375922072708	-0.528603461702707	-0.648740564585601	-0.778155711531553	-0.771494093560224	-0.772879987583902	-0.712830430483685	-0.638241590323497	-1.0287566007886	-0.883791110103461	-0.691418315079543	-0.684015000501896	-1.03452100424102	-0.617752272789714	-0.704335660998663	-1.26051357728881	-0.864197296739198	-0.823502835156513	-0.765092668671228	-0.702356160791005	-0.616800785131345	-0.688764577584951	-0.674647881744477	-0.688297608802113	-0.655236879478849	-0.747348354337315	-0.759108811069681	-0.797485705944784	-0.735304014764736	-0.703384994992647	-0.504878478206305	-0.663437415495408
"54930"	-0.987845850797246	-1.23759882392388	-1.03961766449434	-0.577545978235742	-0.733755565087243	-0.926328075460532	-0.44145876355641	-0.917864099465692	-1.1164438217589	-0.882888516383327	-1.31439216897905	-0.771603837017006	-0.863623709566682	-0.627803836870559	-0.804422190582481	-0.761937298056196	-0.859172983828782	-0.641061161107242	-1.07557832199372	-0.609827469996774	-0.749548339574839	-1.01858109901613	-0.774416639266245	-0.756229143745191	-1.03450495211444	-0.960594710617645	-1.06818094430465	-0.604038279148627	-0.847337644202678	-0.995198428860082	-0.960719425203879	-0.919912980645367	-0.684519660676758	-0.844490269583392	-1.12614976237379	-0.874524141683345	-0.999486873679949	-0.928121850891316	-0.787467021391661	-0.743980100105973	-0.851788957914222	-0.594599240496905	-1.03201229790047	-0.81508478623447	-0.994521699994424	-0.692041980636283	-0.947897341935171	-0.580119087918945	-0.734389275234663	-0.862667036599277
"54801"	-0.961249929792581	-0.908336803466912	-0.96322785969721	-0.799318604766652	-0.938283633265246	-0.903264921970905	-0.738580359137307	-0.953666057995062	-0.760150751832873	-0.841531221841896	-0.991048607017502	-0.87260478713216	-1.04620521733492	-0.714915006458424	-0.816261327802915	-0.860880294231068	-0.836324872664821	-0.853660318801748	-0.858817031354753	-0.623243405816207	-0.856833918265934	-0.864099655404839	-0.925250202021633	-0.851605230121896	-0.650074289811729	-0.796326417323317	-1.2260099971462	-0.86692765866152	-0.88561682198226	-0.893946718705017	-1.13260202331858	-0.844339569192887	-0.709231325426683	-1.20054446043849	-1.04914146256315	-0.957594001188554	-1.00190215177209	-0.941451594625443	-1.03825130052189	-0.899377548689726	-1.08709322204268	-0.690368889320416	-0.887345223532239	-1.13576599550799	-0.948888358071484	-0.83626400215944	-0.853784776068826	-0.758161369453177	-0.988795574564409	-0.873728557814826
"3336"	-1.64701872334544	-2.06874222289587	-1.65699138185736	-1.59465691698806	-1.65805813602037	-1.69949484256731	-1.60176191807888	-1.57833847579742	-1.55570864980084	-1.85202223242903	-1.74251813674062	-1.71876080322159	-1.90090706194041	-1.57502304886663	-1.44213182533359	-1.77513562392389	-1.67186603513467	-1.62344301091241	-1.63447666515706	-1.41703416074594	-1.53007724447244	-1.78546848422202	-1.70597939795458	-1.77530706132381	-1.68021769118841	-1.69164137082486	-2.2519746270212	-1.95750281405904	-1.25349562005041	-1.72974914898209	-1.5568859279946	-1.63220193974297	-1.63754193511689	-1.68420112242878	-1.66769244893736	-1.73550826456825	-1.50042945831216	-1.61920353928149	-1.88013104303366	-1.57448437787985	-1.55212228450861	-1.754525905602	-1.48955938579649	-1.70614272394591	-1.486129205716	-1.65034702932357	-1.59263824842835	-1.65310369344722	-1.63622261297812	-1.71917323296318
"3832"	-1.54403220504749	-1.64566535429567	-1.45950226658859	-1.60574133279992	-1.48697729803685	-1.52326468082755	-1.31012358996827	-1.42811843536827	-1.64251740424641	-1.38281576581296	-1.48549476470952	-1.16797583940947	-1.53181907386919	-1.22981380041441	-1.41810529612575	-1.64255022855268	-1.38029073928842	-1.48526582087485	-1.48084394292837	-1.16201424064567	-1.43572221641878	-1.71746648970872	-1.55433963386334	-1.18489641513341	-1.44372241381631	-1.65768983854124	-1.46545911435234	-1.34570266678064	-1.27247037061873	-1.53945497931295	-1.45012703048763	-1.34971926314405	-1.44494321249902	-1.81050444277554	-1.28748831024901	-1.44046306901361	-1.46552011483672	-1.3637093237069	-1.73840899684537	-1.30501011691345	-1.39996005861692	-1.69069447103088	-1.34033654254065	-1.34084746016633	-1.42171882925453	-1.44102342790421	-1.40733049494179	-1.31877844099588	-1.54083114366685	-1.4736828159003
"84861"	-0.00573793223274155	-0.0301379174360346	-0.0736696985720986	-0.0595684882924033	-0.307190810675447	-0.0662633682483638	-0.0399311950469079	-0.148883505801942	0.00142238017245259	-0.156043234161213	-0.0945958518147845	-0.0715973592017588	0.00260559793544744	-0.0171989420895501	-0.0774435306994457	0.0402063134590091	-0.0115590139332339	0.0256837148789874	-0.184426793470666	-0.046371153720294	-0.00955256847028649	-0.0977937027423003	-0.0122060656504565	-0.0331729674411396	-0.106985415112364	-0.00141906686022763	-0.0574615281292112	-0.0849986012112088	-0.0872882558084264	-0.0532480790384837	-0.0346631714477213	0.00268502363242344	-0.0383142272617614	-0.0664856703494484	0.00303882276197743	-0.0564085823501392	-0.170595632766029	-0.0390727668676233	-0.0465255025779276	0.0117520610312536	-0.0220810138140944	0.0757918677761385	-7.27533327897637E-4	-0.170244510266683	0.0511248390461804	-0.0913302040164952	-0.00654611572273227	0.00602219918133301	-0.0447972330605042	-0.113048966520791
