	"ACH.000078"	"ACH.000160"	"ACH.000223"	"ACH.000231"	"ACH.000246"	"ACH.000256"	"ACH.000260"	"ACH.000364"	"ACH.000389"	"ACH.000420"	"ACH.000606"	"ACH.000632"	"ACH.000694"	"ACH.000699"	"ACH.000721"	"ACH.000839"	"ACH.001053"	"ACH.001300"	"ACH.001550"
"345611"	0.0628555924515437	0.0636587366900652	-0.00862330409819996	0.106021747781895	0.0330768146438878	0.0354961025733794	0.122421294678944	0.244499017528141	0.111937658168059	-0.0102349654905783	-0.0418313648295075	0.118917298685172	0.117839902508315	0.0336232758815877	0.0843770631800165	0.149471618858404	0.111950349245098	0.201102595112004	0.139547937738224
"3832"	-1.54061685339515	-1.60359828692798	-1.52326468082755	-1.25451979364011	-1.49235701888676	-1.38281576581296	-1.5446341688208	-1.41063218683873	-1.39469104733853	-1.15508320117007	-1.28810201963852	-1.59794435578314	-1.51836633409449	-1.81050444277554	-1.44840591716709	-1.281501985441	-1.49925607339419	-1.56788987777589	-1.67654933206325
"79036"	-0.17951585806474	-0.368263903149477	-0.338969853715873	-0.195448031659829	-0.168255169001839	-0.285478172114193	-0.328362513065837	-0.345200692495152	-0.28153687263043	-0.47133992717682	-0.218224002075097	-0.223631248271162	-0.468908501608783	-0.179205243846012	-0.368051913228819	-0.204119145824005	-0.397650024695778	-0.22259838725408	-0.407961953885725
"729991"	-0.239949374183443	-0.213105972112697	-0.215272845207793	-0.25089797307807	-0.23979165049023	-0.16121383780057	-0.359344556016881	-0.36943544445647	-0.338770502528292	-0.402075077153902	-0.284267718447581	-0.256550027435909	-0.140555858497855	-0.27584712431257	-0.277780606676443	-0.146148130447922	-0.208840895133799	-0.266494730524159	-0.19718652684383
"64598"	0.0640658441203209	0.13337562272518	0.136561815673212	0.161311047781989	0.0954766812391324	0.0713923094975744	0.0612864482400582	0.0860552939187613	-0.0372293359595674	0.202731610703231	0.140996401049975	0.147401636209687	0.0673587636609925	0.0889895790078688	0.120882457321204	0.0564844955059387	0.0837403176382302	-0.138581199367177	0.0558424012776117
"9019"	-0.314508426297799	-0.112964954780718	-0.393397924324635	-0.313288679619789	-0.225321355815912	-0.176232586038304	-0.229440503287398	-0.18334595416199	-0.248769614910333	-0.248106553144076	-0.288490273335181	-0.278660392362161	-0.216311182465597	-0.236354000199295	-0.204525240761526	-0.174594721203655	-0.325546142281474	-0.114547849770166	-0.105685781393349
"9397"	0.187815695410656	0.102182680278969	0.196678651618729	0.133441566596327	0.123256335282661	0.224233406530855	0.235491224279586	0.108476807116592	0.183489142332818	0.145980120192675	0.0596371861168468	0.214178214329616	0.119579962285469	0.208087673431734	0.164140149698071	0.135774550254824	0.154453695303413	0.189183190729193	0.118245116141249
"56113"	0.137470670494428	0.121732867446254	0.117891892263781	0.128305310167521	0.0975506487100149	0.15268953282323	0.189489660759894	0.385193305666051	0.00983463571142746	0.0932615914555875	-0.0121600632245726	0.104824530404574	0.0369902079801187	0.0438125317200874	0.0969063106102828	0.223691576902949	0.00594803390632507	-0.039705984172323	0.0288702458138542
"51585"	-1.02299213531366	-0.962698831376118	-1.10511510267135	-1.02228211067856	-0.945389805614325	-0.838785081631718	-1.28927601843772	-0.957675851433601	-0.8870919780908	-1.11502023491105	-1.18902021723692	-1.18205560522856	-1.03594734089157	-1.07153334299106	-0.839856054649063	-0.882197246275775	-0.892507057740535	-1.12340747693171	-1.00455155343016
"65121"	0.168630290907575	0.0683905673184351	0.0847268087332192	0.128164233461273	0.0766255381893895	0.235567864968851	0.218420329151962	0.098584635436596	-0.0781180074873598	0.206893754499994	0.206512990396827	0.068298120608391	0.188148712514439	0.0978061365282597	0.115781443308758	0.0615050133403256	0.081171040768325	0.0579451444065755	0.20968317676513
