	"ACH.000054"	"ACH.000060"	"ACH.000078"	"ACH.000098"	"ACH.000099"	"ACH.000120"	"ACH.000132"	"ACH.000163"	"ACH.000222"	"ACH.000243"	"ACH.000246"	"ACH.000261"	"ACH.000266"	"ACH.000316"	"ACH.000323"	"ACH.000332"	"ACH.000348"	"ACH.000366"	"ACH.000393"	"ACH.000420"	"ACH.000471"	"ACH.000476"	"ACH.000507"	"ACH.000521"	"ACH.000528"	"ACH.000537"	"ACH.000600"	"ACH.000630"	"ACH.000738"	"ACH.000748"	"ACH.000777"	"ACH.000784"	"ACH.000827"	"ACH.000851"	"ACH.000861"	"ACH.000862"	"ACH.000872"	"ACH.000898"	"ACH.000907"	"ACH.000936"	"ACH.001053"	"ACH.001054"	"ACH.001067"	"ACH.001183"	"ACH.001196"	"ACH.001277"	"ACH.001300"	"ACH.001765"
"4074"	-0.143442987979096	-0.142054253143877	0.0384550961669082	0.0496132961689883	0.0027249354418593	-0.0528175899336516	0.0167416543197317	0.0617799966815044	-0.146102363776424	-0.00423598211719288	0.103869590915821	-0.0202005280796196	-0.0574145298372006	-0.0193598669926552	-0.03867893671773	-0.0782567688354047	-0.0413753484070222	-0.0872556985271002	-0.0396223246562656	-0.150771066442554	-0.0295287551174449	-0.130460758449865	-0.0531554531225665	0.00617090566038452	-0.0593546641569221	-0.0427933784042894	0.00258710990085136	-0.0571787052403664	-0.0931383652639701	0.0492880939185698	-0.0311476940491462	0.125655857054826	0.0998249221617605	-0.00571836212606417	-0.173172135061203	8.51261572097454E-4	0.040286554531507	0.0544439482729835	0.0869350716872014	-0.0608542191611587	-0.0421374598310324	-0.11577687364296	-0.0789364467803544	0.00831090908355621	-0.00203576536628653	0.0512331694213746	0.039048405061108	-0.101403999118063
"4294"	-0.0170916749601742	-0.0348628472369963	-0.04786418736496	-0.0567069074414258	-0.08073041334426	0.0082565322170829	0.00227165469484042	-0.0393739833665259	0.0354624724764633	0.0038171706591596	-0.0408657808124653	-0.0304227985380288	0.0111420675466518	0.0136673441818505	0.00682514025185072	-0.0187562680185902	0.00663205815075123	-0.0318685993025476	-0.0207163380351209	-0.0606446562896899	0.0102514775186952	0.0778406393942529	0.135673667902198	-0.0154872464086288	0.0224109649970853	0.0814193073167302	0.00664788851231787	0.0293311842961184	-0.0598570138338163	0.025206423198474	-0.0652021452963896	0.0203885861571391	0.0324495615483773	0.0643398765352796	-0.173545890960656	-0.0562714622726137	-0.145515399173325	0.00254293524423694	0.157494472384448	0.0589972767656934	0.00654802331126788	0.0707445708055435	-0.106372741646467	-0.0805619223880161	0.0942841626626017	0.136217407059753	-0.0197372712676127	0.017278207615169
"23383"	-0.317889996021636	-0.220963335597307	-0.299517726024837	-0.816536457846046	-0.729859470536145	-0.618467606493124	-0.194020405657402	-0.960002849279808	-0.788372699415953	-0.804810485455788	-0.351864760087787	-0.738722347016801	-0.73159598046133	-0.306594487796389	-0.790873598780361	-0.577281917272213	-0.478057494722055	-0.955205420331535	-0.739672969468233	-0.196990131825798	-0.859071184465739	-0.213278667462409	-0.683976659689527	-0.220821253841422	-0.67202870560615	-0.294332202490999	-0.200234961036007	0.648387558593145	-0.679596052393628	-0.606605453764628	-0.594187055694099	-0.579857098396344	-0.800997013419686	-0.630098431559036	-0.690174225139675	-0.64398822027961	-0.808945431961952	-0.65450664738314	-0.207433803026145	-0.775027978866512	-0.89168859481921	-0.344685941515436	-0.762196770341327	-0.644593383714276	-0.523797452074983	-0.606982435744327	-0.331437122827695	-0.748658737328889
"4331"	-0.761638000011767	-1.06736107511511	-1.03152631711797	-1.00450017055574	-0.744641964385764	-0.865457491231819	-0.881294975033555	-0.953523691569504	-0.855563680573539	-0.979784105369492	-1.01858428188928	-0.875412992805997	-0.928227700074602	-1.12894314588111	-1.02443995016443	-0.752955819586425	-0.87525592840515	-1.00404820441822	-1.04934059868624	-0.632059106594351	-1.14084709566314	-0.6843382345246	-0.929370413673408	-0.851027028573379	-0.843844859597503	-0.794941496899908	-0.898218839872048	-0.765190854192573	-0.870244076165542	-1.0443306043635	-1.0052240771042	-0.868272059546728	-1.01960166980457	-0.910077709352748	-0.828376660224912	-0.823721972568748	-0.915984879882111	-0.97116003199359	-0.875730034628414	-0.870516179472931	-1.19289382762201	-0.919560717219011	-0.746243849736183	-0.966868827711856	-0.947078468053208	-0.952671798094522	-1.07306380289057	-1.12741690896605
"25836"	-0.257861851032391	-3.9701692926087E-4	-0.377739234722008	-0.372541176143005	-0.648137854636725	-0.435181852377352	0.048784818109564	-0.80189105386077	-0.272274958140941	-0.501020532731926	-0.0686068188484952	-0.32829881859306	-0.292269545759073	-0.20192835473378	-0.496962764597543	-0.374681783505956	-0.354223556821236	-0.33268512619811	-0.225416184195778	-0.229988299011067	-0.223637582711093	-0.0496377714754667	-0.339918487457476	0.205971963587273	-0.370437659439205	-0.0649224746146773	-0.0818157971486015	0.503557438413092	-0.321162591735253	-0.478430095001281	-0.375717148153587	-0.227847310247712	-0.474773808286558	-0.28165346280167	-0.493892921020136	-0.357469514217616	-0.567644514973331	-0.454425297154201	-0.248149509362443	-0.349510967721617	-0.573756642160823	0.00206076449896974	-0.451843427331327	-0.446392500314545	-0.325306379445839	-0.128481864904947	-0.27520411115775	-0.302090166201373
"23620"	-0.0403901973557405	-0.0292941259452346	-0.283097979276066	0.018032157996207	-0.0736638680725658	-0.124551441555893	0.0531685435801596	-0.148988528586552	-0.250568759797019	-0.0297917790747385	-0.0137917386371985	-0.173788438133264	-0.117650595662349	-0.0822845509513803	-0.155187640013408	-0.186442757783904	-0.167160880213066	-0.182298299166212	-0.168185746582191	-0.158862293601288	-0.122940793266754	-0.148160785786723	-0.100959499617255	-0.0797546422664853	-0.192126133773669	-0.118291372298998	-0.0433923525273154	-0.126672204768166	-0.168760378622712	-0.210932756094706	-0.134867578922476	-0.102353856022409	-0.175081784607972	-0.104261305383546	0.0180819946873576	-0.240904412074409	-0.180394726010626	-0.155517552130009	-0.207170437532516	0.0345313904407486	0.132455036530866	-0.141889770544536	-0.258791186869989	-0.210545256794161	-0.0434884734236662	-0.375770081610577	-0.201593705103142	-0.0497745843140199
"219959"	0.178537136808687	0.186038398029678	0.0404911629137685	0.186164973545581	0.168000904123327	0.100998371898211	-0.0612265656499171	0.182908849429182	0.0327203476860476	0.0909396084445246	0.0312101544134484	0.0613258985927622	0.0362646171510778	0.0331112297215878	0.0549810923645397	0.0655250742457102	0.182951872234215	0.0906838586101336	0.111207069123269	0.135974316369621	0.107030905255134	-0.0504823019289355	-0.0147017456760228	0.0477657542006761	0.193756408041696	0.0458910959993294	-0.0662510524532718	0.0533808342817129	0.0655713220374921	0.0819793204895263	-0.0258985638652964	0.128915575580141	0.0811467357325975	0.2015415774126	-0.0488682288232001	0.0778814901166008	-4.45197782987266E-4	-0.0670260382050003	0.18006089265881	0.166031517629888	0.134294674585952	0.142940837461629	-0.0577623480049439	0.171564789694276	-0.0573189294005486	0.257136679360605	0.161049290879553	0.0506503716784276
"338675"	0.176853781204216	0.217999945547532	0.317028099615399	0.230886239773226	0.224998893174706	0.188191190167496	0.0728391209675976	0.266298364665217	0.138951728003451	0.184003516978475	0.181206495138872	0.131978919496214	0.214237726927009	0.165107380356615	0.183467048340222	0.25152962360357	0.247393641371228	0.296968532686854	0.21620442110107	0.239510088803767	0.326294983295111	0.2050968276166	0.250927658493552	0.227086106798428	0.15244480082374	0.18641352432312	0.143438858646079	0.215436735403645	0.205466383051833	0.194138013283391	0.161394809890319	0.28625999761005	0.188197681396318	0.248015897309519	0.1293569358113	0.222621583153154	0.0640149726437329	0.182443324922626	0.235490664404258	0.0946181035745902	0.0931355349543433	0.28780127569568	0.199518985853522	0.352068801178161	0.142155394133907	0.398908895568512	0.304047177219174	0.213593503973172
"254786"	0.0375087428715803	-0.0135884399963363	-0.128856594638877	-0.0638905720528737	-0.0711772125927165	-0.172758523389704	-0.0547276456906867	-0.171451575963071	0.048019356903852	-0.123084855907185	-0.20402019331661	-0.189614154846759	-0.140575288003203	-0.0999194001653844	-0.0732858111151784	-0.12031643592541	-0.133756147844168	-0.183485253623715	-0.0965735567262853	-0.102216660764935	-0.034232760651113	-0.0173965989720021	-0.184148529582198	0.0728234966526914	-0.106987595549422	-0.138928453203016	0.0154936567251286	-0.105100391913283	-0.0254634795730447	-0.169012612296145	-0.0764968096685779	-0.0774764778178151	-0.0304520901027667	-0.0959287354557118	-0.208003232353969	-0.149611146590623	0.0533517433869599	-0.00388770521656377	-0.0129626657698891	-0.0684459468720927	-0.234429013636056	-0.150367768215965	0.0525949108295336	0.116807423059661	-0.0741645500450719	-0.120723628102765	-0.125942573146769	-0.121529130251959
"84876"	-0.14062911032697	-0.170251657536436	-0.181728171945743	-0.084836426101542	-0.165519067016868	-0.00450834740291494	-0.0810011093822137	-0.158513440517481	-0.214510806100819	-0.0580831095906139	-0.129119655774988	-0.187420578454699	-0.214086687096862	0.0135519440952399	-0.0876727971132294	-0.190246801615296	-0.104693566524604	-0.147911652669607	0.0301349233177594	-0.248988951107302	-0.117878324003433	-0.0995755085792074	-0.0712679969382947	-0.0548014354749354	-0.0336040910361016	0.094475286257487	-0.0446839840099625	-0.0575701126073116	-0.173052406372995	-0.0848795828413622	0.00720285943138329	-0.1314780577391	-0.125059263033073	-0.267967904732031	-0.150567331617315	-0.183816816508275	-0.114428367835274	-0.151007988120835	-0.00200283898270698	-0.0319566625917471	-0.16210103038079	-0.176173995456424	-0.0421175039073625	-0.0554987236682863	-0.0525791797323986	-0.0100896217392366	-0.180008130803017	-0.318209069448389
