	"ACH.000041"	"ACH.000055"	"ACH.000060"	"ACH.000078"	"ACH.000098"	"ACH.000099"	"ACH.000120"	"ACH.000132"	"ACH.000137"	"ACH.000163"	"ACH.000178"	"ACH.000232"	"ACH.000259"	"ACH.000279"	"ACH.000312"	"ACH.000316"	"ACH.000332"	"ACH.000366"	"ACH.000393"	"ACH.000420"	"ACH.000471"	"ACH.000488"	"ACH.000521"	"ACH.000537"	"ACH.000600"	"ACH.000649"	"ACH.000657"	"ACH.000676"	"ACH.000683"	"ACH.000711"	"ACH.000748"	"ACH.000781"	"ACH.000788"	"ACH.000872"	"ACH.000905"	"ACH.000906"	"ACH.000907"	"ACH.000928"	"ACH.001028"	"ACH.001053"	"ACH.001054"	"ACH.001096"	"ACH.001192"	"ACH.001196"	"ACH.001277"	"ACH.001300"	"ACH.001301"	"ACH.001353"	"ACH.001377"	"ACH.001431"	"ACH.001552"	"ACH.001740"	"ACH.001745"	"ACH.001765"
"112869"	-1.11404583129955	-0.942672395333282	-0.306000884387769	-0.63011884386288	-0.947033147784676	-0.632117695781224	-0.623131512655562	-0.769101183669652	-0.508579238444674	-0.815047931652826	-0.79255868144571	-0.753583453104273	-0.872253861982667	-0.843736220564812	-0.691568778291018	-0.722585288360669	-0.552681535005645	-0.809683543864446	-0.475321672694483	-0.481048526939973	-0.289150108194846	-0.681822436271542	-0.714407618745347	-0.697690954877307	-0.564354946939433	-0.649403277193007	-0.682062450514031	-0.70189662553971	-0.894668387492957	-0.721963772104791	-0.729673605583522	-0.872799420065913	-0.816661202376947	-0.838699815455228	-0.744887320949571	-0.603204869360368	-0.728351439208863	-0.631966029174177	-0.695218112557363	-0.57309628132888	-0.767224537285229	-0.695022556347435	-0.797138953814575	-0.849462834098354	-0.627207626467968	-0.830795856407549	-0.610124476306303	-0.735592064412484	-0.819117292223253	-0.72399242790469	-1.03113121934537	-0.97964929875674	-0.917251840416693	-0.593321077135226
"80323"	0.280166049458707	0.0270265919541503	0.1837943626106	0.259333680194772	0.15004942205096	0.191683612354745	0.181859994466281	0.209779667790157	0.14389715677216	0.183052892599611	0.164776045852476	0.126706910393108	0.196910055587516	0.209667775079581	0.223378045439124	0.22047626753064	0.125620854936601	0.16237541881041	0.0543034354255418	0.0904435735801148	0.128086883138393	0.212882503168109	0.278438188217846	0.191292830916741	0.161601179684781	0.104587699508086	0.230816598127818	0.167616745588142	0.163027804877305	0.190579537262051	0.218600121071083	0.150204650255654	0.146994408322854	0.347351840547389	0.0816538240049581	0.105149202899682	0.14523294904864	0.282981732968465	0.173270215225914	0.314243298408938	0.238714625989392	0.17086067654788	0.268633633059008	0.191173729252312	0.120313721038498	0.184733511867575	0.223690687857051	0.136308736032196	0.14699837537641	0.147939259532619	0.195282256375122	0.269311083102274	0.149500179392494	0.200052216441425
"6352"	-0.309248755854759	-0.351372385509376	0.0304451819353457	-0.172572294253028	-0.132340110713499	-0.0238415589288988	-0.104519632136946	-0.142611847044147	-0.155790956250614	0.0400641821181528	-0.21237570205451	-0.173789270358589	-0.153788329199016	-0.123719112044657	-0.22511985201088	-0.24950198595018	-0.135682736614578	-0.0886835534527208	-0.271915866362235	-0.204971651696153	-0.134649562680514	-0.106681057634466	-0.234527272337193	-0.185590468860938	-0.282979183489367	-0.158765958147052	-0.255547671019657	-0.249587559639174	-0.0549133346585407	-0.170444825681274	-0.0812260467434439	-0.146207327123538	-0.0792189137843299	-0.201723418956541	-0.192336348888061	-0.213647514792783	-0.142096835990809	-0.289766714711311	-0.191214301865507	-0.0098664091996799	-0.112134220288503	-0.024758005486929	-0.299903381623	-0.08892762692292	-0.212453261050279	-0.232527667567539	-0.0882708436004171	-0.254345243038833	-0.166881894241239	-0.285426332295391	-0.00994342604166414	0.0871470539612619	-0.103403114661143	-0.14217433148977
"63922"	-0.261709583417983	-0.373818238666867	-0.369253812302598	-0.324904592658791	-0.503247915771908	-0.345664475174083	-0.306705503968468	-0.323939552203443	-0.305104192778832	-0.271829031177741	-0.42672140008452	-0.555857175760923	-0.400581352395862	-0.486352597002079	-0.277589139538035	-0.467024322277635	-0.51887567299928	-0.170926807538989	-0.237581154721633	-0.245029470896157	-0.316765962804491	-0.451482367587179	-0.393202927622826	-0.0769383500723435	-0.491760052663308	-0.638603599249396	-0.554343613857225	-0.619717581355309	-0.392767851999591	-0.386982508113803	-0.287300226932305	-0.536721982517922	-0.481391437774074	-0.546281749759625	-0.4770327977971	-0.39491713414527	-0.700314122928975	-0.521183166055143	-0.557764362557803	-0.0336765178862923	-0.497282242585419	-0.265793541044783	-0.371720587248373	-0.508596362681853	-0.260340087170285	-0.580836626903973	-0.119524641285528	-0.506228899274089	-0.328443304297157	-0.427774807627103	-0.287855748152781	-0.255969604602855	-0.377474890940285	-0.440925475546965
"84916"	-1.53253990312028	-1.38858466034168	-1.35691111237265	-1.42782923131026	-1.74768625051788	-1.31129262462264	-1.31767448144302	-1.30156837506051	-1.54807232823713	-1.34502439578614	-1.3214651355324	-1.44870441371505	-1.56476422700164	-1.63332615802116	-1.34541515382614	-1.48915783084327	-1.43283354302821	-1.48930355029478	-1.20850294786135	-1.13240910097428	-1.51929790844242	-1.32856142383135	-1.42274588731639	-1.79988414595391	-1.29977696256733	-1.53220687314294	-1.34720593126432	-1.43111489103087	-1.39621636959272	-1.39968542274383	-1.45199305693058	-1.52961072959232	-1.43954971437798	-1.54820272817136	-1.56471624206047	-1.41932904859726	-1.37733204050202	-1.47209455363037	-1.54922070417861	-1.5244724608691	-1.40440782276166	-1.38447965013326	-1.61765066796062	-1.4609542053872	-1.59463438819353	-1.49571301699299	-1.17742032344371	-1.47991127657369	-1.42526836931249	-1.44536506458328	-1.57279738913593	-1.55526770971532	-1.39717606251807	-1.34043246134021
"1159"	0.260285999239185	0.177814462540631	0.145310567776355	0.112969206809133	0.135258997788452	0.106685172246839	0.0447765816552414	0.0389650302890525	0.0940568361216465	0.11762393230923	0.0962147391491174	0.135491280064738	0.127609182909427	0.152359979232384	0.273155708389694	0.100301930167596	0.0816440901102852	0.135484812344711	0.0383650310491305	0.151480341742552	0.208398467099877	0.0768587848803819	0.215784722559099	0.0226780232977231	0.0172906147550166	0.0696861570138863	0.160769117448757	0.207147688891666	0.132323496505199	0.0481963009582979	0.105743372904868	0.124498859038905	0.0424987212863356	0.236869984752548	0.0835621510229421	0.0201919381697026	0.0352870472671593	0.138468445037456	0.148053525114579	0.0664971785774023	0.184868104779346	0.0810729770964239	0.135301676973495	0.134026339803494	5.5783308645975E-4	0.0934210065227043	0.219508150734694	0.0816764049493579	0.0895784858399603	0.190530351215743	0.0747071879151134	-0.0897763897974445	-0.0835576233794722	-0.0229468199233407
"644168"	-0.147933830849936	-0.236966588144723	-0.0541445388217597	-0.0927082523172038	-0.0261661339515378	-0.189813848825397	-0.130893266238148	-0.1129644855319	0.0551898656450756	-0.200801504475145	-0.0350184146911879	-0.0596556042912859	-0.159105760658888	-0.00484568535995376	-0.157572909057482	-0.110989536956204	0.00172875178373472	-0.169932156457777	-0.0188683405639185	-0.0559122508498443	-0.0334229897182833	-0.104749242118564	-0.228818225477519	-0.0144480828448707	-0.129468368879637	-0.0406913368458279	-0.0570969459057849	-0.0443267598128566	-0.0570155238156663	-0.139682714686813	-0.0993904852900571	-0.0714401140957754	-0.0382072736381168	-0.213566474820002	-0.0887684424461807	0.0270418778507508	0.0232766957687829	0.0669053716575252	-0.129448867226024	-0.0293210551352513	-0.0484839720998529	0.0036330119999128	-0.057481508133508	-0.223612521751614	-0.152012780097955	-0.111863561556641	-0.0348492485435877	0.0994641385600741	0.0259335292074442	-0.333936623909895	0.149927060933411	-0.0835822850933766	0.0224028337663017	-0.073168719585206
"1854"	-1.50492744210316	-1.11103451365434	-1.2379568942164	-1.03219296006692	-1.0445572807563	-1.04284099528271	-1.12942057377158	-1.2210397278719	-1.19279271469957	-1.15039902409071	-1.18924858734711	-1.21824477494142	-1.23408580642001	-1.19284872493869	-1.16711083950356	-1.27882313281745	-1.19720928260772	-1.14995804458342	-0.850302354979322	-1.11921466974092	-1.21166312454831	-1.16377867476556	-1.20402037123717	-1.37880000236822	-1.37132756843366	-1.27777515221465	-1.16217172381122	-1.10038378843386	-1.30005033941785	-1.1626299619144	-1.02179281599056	-1.29504806324385	-1.21801033311897	-1.14549771665615	-1.25015778656909	-1.20671152323223	-1.1135736599589	-1.15860305390925	-1.07087586656859	-1.15740988273742	-1.08151664691807	-1.20177119950269	-1.03885158753572	-1.13825976107404	-1.17109447150483	-1.23824050198361	-1.19489973537732	-1.28077355839704	-1.17757503861452	-1.07496440855879	-1.42252805496336	-1.34303863484968	-1.2109672882659	-1.21486857192131
"2150"	0.124286642214994	-0.11528815311696	-0.0755589264884857	-0.0517475787985369	-0.208824936509497	0.0664604311103675	-0.0150893469727643	0.0253651403286108	0.0473637899535347	0.0186268118323952	0.0322853933187162	0.0266100737415503	0.00595986382984804	-0.109622662254133	0.149990453516918	-0.0494682712630267	0.0373431890951647	0.0499231906883968	-0.0486606906678898	-0.00250865787051834	0.0188871151984611	-0.00602549376328577	0.166239496501411	-0.0141187852519728	0.127227054580289	0.0789513491888411	0.00850357739730421	0.0287642598638895	0.0678462509476343	0.0652156405451004	0.0131944744735533	-0.0748605754000998	-0.0602753305605296	-0.152435885585838	0.168183572339598	0.0318450887139339	0.186794224436905	0.0112264488847843	-0.096389062293002	0.0191743079675992	0.119844218940991	0.141074912243167	0.14395618594887	0.0744557752143112	0.0825796814375609	0.0179994536065788	0.0995418653698098	0.0536776361706462	0.0246381978894315	0.201189511466883	-0.0237343925933947	-0.0362314912891399	0.0325845264761769	-0.0501736811750801
"221303"	-0.280001314489162	-0.321514798165872	-0.272571124401966	-0.0667500629331188	-0.0242991236028014	-0.183459097616911	-0.189633179301429	-0.0512435969963504	-0.105150237189436	-0.134830679042368	-0.160679401880521	-0.118295839436103	-0.15968493373721	-0.241043573937031	-0.212424454119352	-0.193046410593522	-0.133134760808179	-0.281254098350212	-0.311403903928239	-0.263287403944343	-0.286908922201099	-0.0988899332894412	-0.135493825500808	-0.186266252384522	-0.265593078167665	-0.151310938284044	-0.193679942910361	-0.0344768972118492	-0.316713753867856	-0.243643979300626	-0.197068437524893	-0.151477933459704	-0.106420288323363	-0.396690091274464	-0.201396246329859	-0.191291545306282	0.118678146617827	-0.212894202319517	-0.0253213415585733	-0.200084694226294	-0.195556241388395	-0.106589873514766	-0.0704501004379318	-0.0665281904360074	-0.166321630480326	-0.300129124527003	-0.303420630293348	-0.122557233653816	-0.0788744245632174	-0.180410442594113	-0.223328753119494	-0.143045775608231	-0.0886951451885707	-0.145800949119373
