	"ACH.000123"	"ACH.000260"	"ACH.000415"	"ACH.000452"	"ACH.000470"	"ACH.000517"	"ACH.000584"	"ACH.000622"	"ACH.000657"	"ACH.000683"	"ACH.000718"	"ACH.000736"	"ACH.000788"	"ACH.000880"	"ACH.000898"	"ACH.000943"	"ACH.001532"
"126298"	-0.155031937055418	0.065193103572091	-3.37051130103918E-4	-0.0402222342320798	-0.0905626174976124	0.0369991331123121	0.0533342615995974	0.174001193461425	-0.0864655135639414	-0.0988293421119704	-0.123560272630851	0.166182194783241	-0.0445451129237081	0.16876975443517	-0.0959375829627378	-0.17118849184264	-0.113230372607718
"79923"	-0.255475903553995	-0.181902319567471	-0.0803405214838329	-0.164177662386463	-0.456518336616555	-0.209276707702211	-0.197888587004964	-0.225183545345741	-0.274084643356136	-0.159463894960724	-0.232703858855472	-0.191614156298385	-0.217090109874704	-0.289345276141152	-0.174709031780475	-0.198677739228282	-0.354831880199458
"441457"	-0.200539639404672	-0.170095730858705	-0.103780975715059	-0.155519801410555	-0.209690372108226	-0.155758080997682	-0.202191360301575	-0.278040032511357	-0.19229509675435	-0.268774534980602	-0.225297744994419	-0.216385937119024	-0.124940440039751	-0.193352577714363	-0.155283143702016	-0.271815771013887	-0.119215476991297
"4991"	-0.452364335127431	-0.468777260561516	-0.616123238327469	-0.480230086351213	-0.635941529958406	-0.569982714450868	-0.494492455457966	-0.509680905594015	-0.495032346490022	-0.587885218773351	-0.597687005007452	-0.456701594421809	-0.517241016261658	-0.332207127559422	-0.67501799363172	-0.46749734791343	-0.491298442775197
"390067"	0.151925570382008	0.164344903213948	0.101351210037319	0.0754105589899644	0.239078723464276	0.0788474923669833	0.0314691283571733	0.2533373250913	0.102265468896549	0.0779506679021746	0.180692802123526	0.10022852261942	0.0892574551465387	0.226185372575073	0.0826210917687198	0.0437088878064969	0.159289292660607
"5441"	-1.60321566112591	-1.62037042117033	-1.84683536576733	-1.63340209406444	-1.66654950555627	-1.68238392182258	-1.7791782585886	-1.784951342845	-1.6177860779791	-1.72372194224297	-1.67735953898242	-1.70105066072999	-1.62416737636608	-1.72772911822869	-1.6748513416344	-1.75456776502108	-1.69257319683752
"171568"	-1.31242031194293	-1.31968939523285	-1.52277892660911	-1.44533661574386	-1.57240677811491	-1.11837924860124	-1.52420592971502	-1.46869691696347	-1.29351444997516	-1.40840217005951	-1.22866450105874	-1.35182176672517	-1.26680490102172	-1.39483240308649	-1.15340564236861	-1.40841844316509	-1.57857495349989
"10419"	-1.04615222468749	-1.0123058590435	-1.14580657766056	-1.15292096089265	-1.09180340896699	-1.03460568611038	-0.991990235071412	-1.02663092904365	-1.02171099860902	-1.04527145977453	-0.833986723846457	-0.907540943456491	-1.01897572752542	-0.831225287427464	-0.837941878343701	-1.04460530061162	-0.925519766696726
"5682"	-1.52268707967799	-1.5159649577405	-1.47167633073817	-1.49099036348936	-1.84369738777301	-1.5895206151765	-1.62673089178226	-1.60931864099871	-1.48000278059165	-1.59597063423374	-1.71346729237418	-1.60617047175228	-1.5618057719763	-1.35940296469943	-1.57002663852504	-1.44790538036155	-1.55401883522187
"5691"	-1.66754717027406	-1.65422056203839	-1.87726673854627	-1.8073246606325	-1.92513170281001	-1.67254257143323	-1.71513555385842	-1.63771678666101	-1.76422051757707	-1.47813932044845	-1.71447495162253	-1.67219320864682	-1.64350642072484	-1.62977775122601	-1.69401370876392	-1.76579887913383	-1.71394057111681
