	"ACH.000009"	"ACH.000013"	"ACH.000014"	"ACH.000021"	"ACH.000022"	"ACH.000040"	"ACH.000098"	"ACH.000123"	"ACH.000128"	"ACH.000138"	"ACH.000143"	"ACH.000148"	"ACH.000159"	"ACH.000183"	"ACH.000235"	"ACH.000259"	"ACH.000272"	"ACH.000274"	"ACH.000302"	"ACH.000308"	"ACH.000329"	"ACH.000331"	"ACH.000339"	"ACH.000416"	"ACH.000472"	"ACH.000475"	"ACH.000486"	"ACH.000511"	"ACH.000556"	"ACH.000570"	"ACH.000593"	"ACH.000601"	"ACH.000620"	"ACH.000621"	"ACH.000632"	"ACH.000657"	"ACH.000696"	"ACH.000721"	"ACH.000788"	"ACH.000792"	"ACH.000823"	"ACH.000851"	"ACH.000856"	"ACH.000866"	"ACH.000869"	"ACH.000921"	"ACH.000926"	"ACH.000932"	"ACH.000941"	"ACH.000946"	"ACH.000948"	"ACH.000974"	"ACH.000984"	"ACH.001038"	"ACH.001119"	"ACH.001151"	"ACH.001368"	"ACH.001554"
"3811"	0.0833284158834993	-0.0258195636975062	0.201096675740997	0.0594529002269602	-0.2553343340083	0.162637637647697	0.0279750358057761	0.166337222185484	0.243507672140979	-0.0468354205222185	0.114318559606524	0.0906763834210614	-0.0323555855069422	0.0647735513564626	0.0751547615842252	0.0591208644761784	0.0861041060155321	0.0818903588655313	-0.21029707799542	0.0426955243448564	0.0669805064249613	0.0985805161617086	-0.241280117093037	0.0712181466688046	-0.00960072790552842	0.159535226825454	0.0803870752342556	0.0592516296784728	0.0600421015001549	0.0458314757849051	0.0521872844318992	0.0524332159093578	0.0910254512378323	0.066772991694049	0.036046903519344	0.0618448811179359	0.021722722495015	0.0940353150387169	-0.00897838523182849	0.135702562377758	0.118254739985852	0.189415749919366	0.026736926130688	0.128395290985642	-0.0374289222669669	-0.0539780941479823	0.0498130351797114	0.00143032059400152	0.180085362264632	0.0754733351856313	0.180030292203198	0.164623986247206	0.0338056455917937	0.0514983962281918	0.013318100056976	0.0436252162037178	0.152201044737167	0.0506822646619092
"23395"	-0.427842486419751	-0.529393684564183	-0.40167162929187	-0.454100969214544	-0.688481758892288	-0.373250077105324	-0.466742196734331	-0.554695174182975	-0.461793724176647	-0.477394608437984	-0.666259427989182	-0.564885898877	-0.469960995479451	-0.669192944497081	-0.348773302751006	-0.599509679125628	-0.394833454045715	-0.278150271014366	-0.416099995660784	-0.40208347944462	-0.576250111973576	-0.521544167515854	-0.60338390588368	-0.338532559626372	-0.512529738364462	-0.628044630037198	-0.623531238737626	-0.692970315543464	-0.357535328544016	-0.412736169007075	-0.679093322221907	-0.753900990609583	-0.75928425037752	-0.329347137924175	-0.409043626099293	-0.46393368219013	-0.50865980754515	-0.8528893817385	-0.184688784191167	-0.273489034208415	-0.675021799094737	-0.745004203710472	-0.575397474197583	-0.650511043773712	-0.419217311832797	-0.701687003810447	-0.362894525260941	-0.748201042504917	-0.529170572023996	-0.508218984017699	-0.554044723466065	-0.38799222084414	-0.397739419662082	-0.580113145869616	-0.496914892897888	-0.347715386411905	-0.604388929072036	-0.563824773570056
"92935"	-0.672203880238923	-0.916416697653873	-0.87025750443728	-0.715541042101838	-1.14452612531594	-0.665305924598588	-0.962200769202453	-0.826489569372795	-1.1295870293027	-0.949708920037102	-1.25833629840443	-1.06174132749011	-0.957266736854028	-1.11630143875162	-0.803553498080806	-1.05795990090156	-0.741020210314439	-0.790055583881919	-1.02545669245549	-0.902615730211482	-1.15534297863193	-0.850391777535618	-1.09867405777179	-0.502220955446507	-0.9310502279156	-0.995524271923385	-0.819821672465809	-0.912475852921184	-1.00713211726606	-0.856120829566168	-1.14422916257957	-1.01044359580039	-1.03348913841632	-0.841811100627106	-0.867997853445286	-0.938600412382139	-1.05695079519009	-1.18596712241921	-0.574997945904992	-0.693909577571624	-1.07611406393965	-1.29174835553107	-1.05173686977644	-1.01550064223706	-1.00273797414795	-1.07643816332817	-0.799702974144041	-0.924636350865455	-0.86579367171869	-0.824897340425845	-1.0973018206213	-0.968319726887555	-0.677590467513422	-1.14643448262144	-0.91176485424213	-0.708614382911904	-0.93454968446407	-1.0440233866823
"4159"	0.0825366320356316	0.191784628575144	0.193643687524744	0.139978835079304	0.301411458387683	0.0806373356269969	0.050635333465729	0.0198991420714586	0.105775100315641	0.143677357401499	0.033382448822413	0.105707796898178	0.248607340921885	0.0754214250836363	0.152516821186852	0.130084227846838	0.0767981162690643	0.108568027340756	0.106592649196893	0.0377528147448335	0.155656449402783	0.0613800562738127	0.213625687488404	0.217653325638151	0.163933800834836	0.107890599429553	0.262238170857008	0.299114821053563	0.186841257268078	0.181978782654673	0.150514589698921	0.182900674267281	0.128681155973281	0.169785591335929	0.161060842786355	0.257008103762257	0.104639005587276	0.0993765910212032	0.101316820816324	0.0682464133815088	0.0342969616892141	0.148137578769612	-0.117677764948163	0.147991047909731	0.137632332639715	0.013983239443145	-0.0773251052568111	0.108554705332539	0.138630954079357	0.121261492636115	0.217996172119571	0.0926621454780301	0.196089282012584	0.0875316476809243	0.207018535979872	0.188751186000807	0.00863082353362564	0.151286538685106
"10367"	0.0718550397876681	0.221022836254471	0.048012928896645	0.0306013811246436	0.174013831294192	-0.0598369706063073	0.0425388529148379	-0.0525550462290982	-0.083048527586545	0.0495300468906795	-0.0219417213865615	0.0747142445147147	0.0861286421991535	0.14972908444006	0.0321021336869362	0.129192923254797	0.0746738719769775	0.0842555231158321	0.0959790622819878	0.0389311411785738	-0.0285347176714548	0.0749637379343537	-0.00931145339995788	0.079638313998632	-0.122342500692443	0.150037535614664	0.212741763914608	0.139348215829789	-0.109693062806745	0.185866344775924	-0.0602054691057726	0.409566793001305	0.185740566582887	0.0654270523423597	0.0966388353002093	0.543116007599998	0.100140712716376	0.100326752025207	0.093138771658547	0.0211062002274856	0.18124778157183	0.0993391826084451	0.277615382836113	-0.00676080594094509	-0.107267910837124	0.0355007986676764	0.0815131494226207	0.26353567975868	0.0182933427435199	0.0678227738094923	0.205659718571175	0.0692817703913282	0.0856912090580933	-0.02872165708753	-0.173546306149762	0.0705094451280655	0.103709655091278	0.0840925524548214
"124995"	-0.691917346174805	-0.867864141578954	-0.815074456369781	-0.662058883258736	-1.0452200704836	-0.501404534292084	-0.684920627474093	-0.793611412016354	-0.911115307436396	-0.847580906342707	-0.985900304160571	-0.899372896946511	-0.654769390489564	-0.809925612517248	-0.636904898650359	-0.921363932246554	-0.640175755294455	-0.687144839195955	-0.722950578447626	-0.650620826337163	-0.891523203390473	-0.661782670154557	-0.785874674347724	-0.68068456845683	-0.550271471768867	-0.780149096675023	-0.719229035026005	-0.511197465096359	-0.942438864469097	-0.762107724915874	-0.917473471478919	-0.798009873160525	-0.833338864175435	-0.463872976801669	-0.789968659124272	-0.80600305307258	-0.900458843802423	-0.878960696816283	-0.697828771136059	-0.608296456419605	-0.955803041499004	-0.910766590776381	-0.841558746480587	-0.838095256444177	-0.651072629673446	-0.939474053712957	-0.666988032135517	-0.85338154151517	-0.627981937805268	-0.767935104329102	-0.737680155236142	-0.676974803078338	-0.731158045078342	-1.03381944048664	-0.759242782319761	-0.4657678662821	-1.09376917656942	-0.96095512254167
"29088"	-0.498053471666976	-0.613512656271623	-0.652472285703347	-0.51714016390381	-0.702602342333835	-0.423492597208719	-0.502543129246428	-0.757191994404897	-0.838462253601287	-0.592705680364714	-0.721510492354858	-0.633563638037112	-0.577716843332743	-0.613995848337292	-0.573793815796783	-1.0129670771149	-0.392842464603124	-0.490251988946233	-0.584458290415794	-0.602841386025185	-0.639522780934304	-0.631888004662612	-0.678076519996708	-0.533683513977445	-0.445658399596409	-0.631833009569009	-0.629798155722113	-0.554063976740514	-0.528266653648473	-0.778929567795827	-0.621118595510805	-0.628058699816093	-0.615795623494294	-0.510045824614826	-0.589713382202556	-0.484449804131165	-0.666021389694965	-0.512246873885969	-0.323821075403093	-0.430827809050977	-0.849097143536257	-0.860254835629243	-0.705451773835735	-0.682577165688439	-0.550055162992355	-0.591770980999657	-0.503826652856955	-0.777032915079067	-0.530450628972197	-0.686389565449911	-0.621754690180075	-0.549766829774962	-0.720377743958537	-0.70222243167555	-0.623744508989193	-0.430500278075177	-0.662476384670531	-0.636897467018683
"63875"	-0.23136991162713	-0.469320387313058	-0.529333452537503	-0.492467183818596	-0.576732058406835	-0.166210221179242	-0.307249449882205	-0.526861845743677	-0.487743684504212	-0.543704178066073	-0.831900469803756	-0.450910602262807	-0.311365370209975	-0.577024949316639	-0.336459058285241	-0.968095572776769	-0.206919050858353	-0.387507048167068	-0.500442430216519	-0.498635496821967	-0.50737313837907	-0.484267201477879	-0.474534074563371	-0.414889430304014	-0.3020651293246	-0.469284012301954	-0.454142764415286	-0.260621250644304	-0.421481677001706	-0.538587279539484	-0.59701261681952	-0.510222638424383	-0.591353582987381	-0.273589092857886	-0.434317372104652	-0.398724168856028	-0.491538530426539	-0.543672292205846	-0.190630320979364	-0.255597247546155	-0.768855406872419	-0.813082480862523	-0.503280550347079	-0.572374756473004	-0.306815453547403	-0.590432643655031	-0.232229822569082	-0.691421909526232	-0.526262928854418	-0.501206119234449	-0.578379637123954	-0.323074673353672	-0.631488830167758	-0.584981134662382	-0.567593711436884	-0.172766849573438	-0.570438920027969	-0.534538051785556
"6150"	-0.230623788561632	-0.350739808081775	-0.27952334357568	-0.440483243916659	-0.47454531759202	-0.273752923892758	-0.202327609856119	-0.323447482183624	-0.650127358540163	-0.47401592729376	-0.395001084592476	-0.460412584654855	-0.198756484259284	-0.38406783450234	-0.290838726188448	-0.622711210117843	-0.176312786948397	-0.311167169489456	-0.30868764006587	-0.272976535238894	-0.378750640350237	-0.327880637531707	-0.382867071175765	-0.121739325126857	-0.227213711766408	-0.390505947463215	-0.484012791763494	-0.254907050361653	-0.30100814415771	-0.556715124427923	-0.397382731999965	-0.464313459843017	-0.430311561744235	-0.205700547836083	-0.454326692237315	-0.476497375366179	-0.463581957425741	-0.551328262058732	-0.150546854434558	-0.295744014001151	-0.534833305182449	-0.741935396626053	-0.427946944370269	-0.469254266641051	-0.285901952889361	-0.418971327287752	-0.330573023937611	-0.545668025713575	-0.355744076955327	-0.424906244927437	-0.412995995371063	-0.223909653944968	-0.350103407809217	-0.477394963962081	-0.317864442886497	-0.156749336720788	-0.515910878365035	-0.640475242527383
"64978"	-0.544174527708575	-0.726612072451647	-0.598617990923112	-0.644247770328742	-0.704771749478527	-0.439931143839453	-0.597572469320666	-0.738821029587105	-0.827936820284301	-0.675075128409834	-0.648314294651957	-0.649625780199259	-0.584389190217398	-0.695018931304134	-0.603493394673685	-0.77059954752137	-0.409559458845616	-0.531136777685777	-0.648812782395975	-0.582560776375316	-0.611172283110694	-0.690469632977701	-0.734172688744636	-0.651103260055025	-0.524513130219521	-0.687854449327103	-0.589060624500193	-0.410649064741525	-0.697164585111952	-0.864995878017564	-0.727305516759403	-0.636982812300448	-0.598259097864749	-0.601612150336933	-0.674599051944397	-0.726411884629273	-0.612914773575049	-0.535430879578793	-0.556895174374275	-0.43350925865796	-0.782669847100438	-0.803126365055974	-0.72451998185913	-0.69429365738595	-0.638384307536756	-0.738681429775883	-0.537383317695665	-0.486226604907114	-0.587016848083625	-0.67628839728731	-0.876088459409141	-0.598099755631174	-0.664930006632277	-0.809709097951945	-0.516978297709721	-0.484086694152222	-0.748412743730733	-0.764701081547335
