	"ACH.000004"	"ACH.000168"	"ACH.000204"	"ACH.000206"	"ACH.000258"	"ACH.000261"	"ACH.000294"	"ACH.000295"	"ACH.000315"	"ACH.000334"	"ACH.000336"	"ACH.000363"	"ACH.000436"	"ACH.000528"	"ACH.000557"	"ACH.000616"	"ACH.000653"	"ACH.000738"	"ACH.000804"	"ACH.000817"	"ACH.000821"	"ACH.000838"	"ACH.000858"	"ACH.000861"	"ACH.000881"	"ACH.000953"	"ACH.001111"	"ACH.001274"	"ACH.001450"
"644591"	-0.329710133888254	-0.390179323191883	-0.227407238721163	-0.13258734550422	-0.442292270296586	-0.178935453655657	-0.519512314408384	-0.274498199478041	-0.180671884928596	-0.480088871083997	-0.399255252065711	-0.168764557706317	-0.31120376359096	-0.243361244270301	-0.503969166849376	-0.180912113546349	-0.0580582476072056	-0.153878894358292	-0.115057891576546	-0.194129377373307	-0.342301404215711	-0.55259317933885	-0.194918268364911	-0.0784664213244261	-0.358323152889845	-0.264350258781483	-0.168035182542408	-0.18829648113222	-0.204697659265829
"5583"	0.0605139700598084	-0.0147791392602287	-0.0809026122308742	0.075574758698406	0.112332819552454	0.0563632572841727	0.0525452197468399	0.198157278914948	-0.00297829609039421	0.193013040954764	0.207159717261049	-0.0820877997778513	0.129791142856664	0.0414968869603425	0.082747503439474	0.0199895625990329	0.196441505265613	-0.0148193094988675	0.0770592846261194	0.0523606338780156	0.214725342110669	0.148379714660259	0.108581269966926	-0.0407064505510339	0.121588808584819	0.154265169630155	0.0545900220432544	0.117712462746571	0.0579109176310548
"5691"	-1.82563839359104	-1.54592049830357	-1.62984200093985	-1.69266629666961	-1.32498111858976	-1.45234975424107	-1.88415449363697	-1.6317140080672	-1.71854159254666	-1.8359908351291	-1.67839849443613	-1.60370340345142	-1.61608332969698	-1.5315074770146	-1.40550584448189	-1.68261883789407	-1.69985678680766	-1.63566945596799	-1.7583342006469	-1.5733476928157	-1.94415036890267	-1.73177229025074	-1.53096891669151	-1.64573856092019	-1.89602956750618	-1.525623250608	-1.70358050476028	-1.53689666442517	-1.53704284729204
"27288"	0.0853457799716622	0.205498105934999	0.00982474520526906	0.00597026892216437	0.263706569331572	-0.016809004403128	0.141052706993654	0.124761736115908	-0.0746374946115065	0.264256630974246	0.0247345451424981	0.140616127026516	-0.0883830457439193	0.0639595428233351	0.106845873137972	0.0368271106628328	0.236289507580612	0.0214809082141949	-0.00268986998041859	0.264144156120049	0.190004031779702	0.297130339425668	0.066332700020065	0.0279665502586508	0.105957809403559	0.0444307286457297	-0.0663504170139604	0.0723107587487617	0.0048501742204553
"6206"	-0.98673627210517	-0.88799124883441	-0.89030045220013	-0.855230722032892	-0.960591052231514	-0.76104933464282	-0.813212175638184	-0.964874947743072	-1.08981893834274	-0.909145790626082	-0.841300652671974	-0.928942259202244	-0.880438862799514	-1.00592151723105	-0.743025851673586	-0.8778847842657	-0.932484757388007	-1.01814313886899	-0.977124426413482	-1.04722814525265	-1.02487502586932	-1.04842997153854	-0.835553162451913	-0.867843659133167	-1.03512740237305	-0.815805721128649	-0.832255758081276	-0.720928247572021	-0.880264735901307
"6217"	-1.01642076227902	-1.17060634503116	-1.23635950170054	-1.32496752768916	-1.55916187790555	-1.30468315084866	-1.48521320373711	-1.20647823613472	-1.25774289708199	-1.44015445149525	-1.38552866846187	-1.2886762275719	-1.22155949318752	-1.16839835223685	-1.38767980877199	-1.20978822970061	-1.19342191994065	-1.23621956771062	-1.37547734114627	-1.45665386176664	-1.42419885049398	-1.47379123826252	-1.33191439225567	-1.16487609478232	-1.25633228644196	-1.35297673527009	-1.02495451722289	-1.04251299000174	-1.15418358519757
"90196"	-0.828332285818746	-1.24367849967218	-0.97812735626296	-1.05756328698763	-1.42728260835892	-1.60032541002853	-1.04528343809851	-1.47267934500627	-1.24227947961758	-1.34203533449326	-0.925721207959964	-0.898008794654912	-1.31707822867071	-1.33112264048388	-1.45029188399545	-1.20154328777471	-0.930029090990453	-1.27642084332011	-1.15501612363747	-1.34172519087265	-1.12433550650727	-1.65446897711257	-1.15200197255419	-1.4192895378693	-1.43393279115662	-1.15474148848396	-1.49759981246665	-1.22458125601407	-1.16521038386784
"10474"	-0.453692875429903	-0.577359236627826	-0.625451623230897	-0.673055398950618	-0.736404492617595	-0.256595670135574	-0.548226969056463	-0.569388931713307	-0.932446288947495	-0.78044337359582	-0.484916547532756	-0.662551264364181	-0.415856072530484	-0.270760484767951	-0.682357832934513	-0.41835090409185	-0.514054046955129	-0.294246331684825	-0.318754328173065	-0.909722972457256	-0.832483256102103	-0.673287187393566	-0.556298795912705	-0.345222014657566	-0.465706013579096	-0.277750460313184	-0.353099598125666	-0.24407817488924	-0.738221812765085
"6882"	-0.159530589800838	-0.124808491159229	-0.097047867881996	-0.0948195338136037	-0.245886775850582	-0.168746905929919	0.0860389319350442	-0.0513298978753802	-0.391431161766963	-0.146504184640119	-0.279465268526766	-0.350377951752597	-0.19404003329783	-0.19707832924008	-0.105927219725792	-0.147133978114504	0.00137180722402556	-0.154236376503608	-0.159506239644538	-0.246500149380166	-0.119518516050728	-0.426399271598235	-0.0846831303762541	-0.0523179365906631	-0.177372989455153	-0.075412778660122	-0.213864577161791	0.139209773749473	-0.109587071115548
"6877"	-0.88758796425915	-0.734893085161463	-0.616921076946274	-0.805577953603851	-1.1880467041613	-1.0206964333348	-0.826712403119404	-0.943256827093419	-0.904969635237032	-0.828588414859773	-0.78394037171574	-0.981634870449821	-0.819534113598594	-0.79373662894586	-0.759456797889345	-0.765691238162081	-0.765166543297375	-0.900042475073417	-0.841044602162035	-1.02059956619188	-0.999896128855183	-0.76888445151726	-0.939172724726368	-1.01717014860131	-0.828316765588146	-0.617412351379528	-0.70091285660174	-0.845598103595126	-0.908290513522959
