	"ACH.000095"	"ACH.000097"	"ACH.000099"	"ACH.000223"	"ACH.000264"	"ACH.000274"	"ACH.000291"	"ACH.000318"	"ACH.000329"	"ACH.000383"	"ACH.000397"	"ACH.000403"	"ACH.000414"	"ACH.000448"	"ACH.000460"	"ACH.000463"	"ACH.000481"	"ACH.000483"	"ACH.000517"	"ACH.000524"	"ACH.000571"	"ACH.000608"	"ACH.000624"	"ACH.000657"	"ACH.000699"	"ACH.000701"	"ACH.000711"	"ACH.000770"	"ACH.000783"	"ACH.000785"	"ACH.000796"	"ACH.000867"	"ACH.001134"	"ACH.001228"	"ACH.001353"	"ACH.001377"
"3294"	0.163688893144237	0.190570855542212	0.205559692750963	0.297535618404786	0.138343941945212	0.202206555636341	0.115851621342855	0.0572510807770796	0.148243292437574	0.150243593910063	0.160304729867531	0.237708196030562	0.142759473510811	0.0805676121987883	0.0915856418850933	0.188890027158749	0.0983022340563228	0.130687452581721	0.142370608159462	0.206569987833626	0.0833915906600154	0.181182355267442	0.230308526485298	0.1787803694585	0.20529320982697	0.0639119813008336	0.186747051776642	0.228852021860307	0.222615238291838	0.041468607189819	0.247281448396739	0.158882118594851	0.0865908575358453	0.106494093127732	0.16391946786105	0.154409809819949
"386678"	-0.487011946698076	-0.108213835558862	-0.134815600865448	-0.175436368654746	-0.162642210231396	-0.306580979377478	-0.133779688088415	-0.113754340087242	-0.232836263661621	-0.248609616461751	-0.236909538000467	-0.28247860435282	-0.200490520009066	-0.113085598845359	-0.14373292025255	-0.293880737656017	-0.147388569994895	-0.156110855412468	-0.223931051450153	-0.211381473077376	-0.218857791043276	-0.252807898476524	-0.149182933437883	-0.297151254172298	-0.330725720901352	-0.486425961578219	-0.0799488187983961	-0.385907633928362	-0.338751845065369	-0.198627282420472	-0.497422988600147	-0.149343381376328	-0.43032277656814	-0.208474205609516	-0.333580552948799	-0.242303475409289
"90550"	-0.0232818695958657	-0.0263762411660158	-0.118721901875912	-0.180697487435225	-0.0982082924528627	-0.057840338901493	-0.0394529833035196	-0.0242775294668528	-0.0796951660741894	-0.117960106446533	-0.06594388489843	-0.102287724159435	-0.0733790122703274	0.0527283607729895	-0.15556660003855	-0.0868559565010631	-0.0607022975392873	-0.031538933693648	-0.012472375906026	0.0109484149916101	0.0452139656839194	0.016809142137296	-0.0909307362139491	0.0101780975435958	-0.0821824719685874	-0.0176717579863421	-0.175166703020893	0.0196909726429349	-0.0833718883365506	-0.0226606032278441	-0.149246818849598	-0.0802399138469961	-0.0117588354168567	-0.0434825192057904	-0.136021316597698	-0.0968758353948147
"4319"	-0.240261740897629	-0.0446154440699149	-0.0902115978497471	-0.0204698073796539	-0.059706894562243	-0.197259714335262	-0.0281130220790622	-0.074775911486622	-0.141294017675262	-0.158286370896728	-0.312296878074511	-0.23515436420345	-0.198355955790706	-0.124746674614227	-0.0690951380283177	-0.211096823463671	-0.136930355000514	0.0724543261615925	-0.188420219145227	-0.159872550549394	-0.117236284101824	-0.0863795718064225	-0.239813619971007	-0.12539328875165	-0.0473177704628786	-0.194363912419724	-0.182164106763517	-0.127858789456506	-0.162939829021459	-0.0669269252912725	-0.226196838933978	-0.193333859973611	-0.0876468717054071	-0.124733167837046	-0.109508932176614	-0.145579391852513
"932"	0.0799767007084464	-0.0154438511634007	-0.0533099996354703	-0.0241899712151782	-0.0917303852060464	0.0394602343334789	0.0381959509398586	-0.0501461572909833	0.0099549114490704	-0.0801905179546931	0.06751109621103	0.0509473977622804	0.0168668712125314	0.068543497067839	-0.00253572084512576	-0.0264260812692077	0.0169934673693358	-0.0176555293464431	-0.0303377945749067	-0.00104144601555628	0.00138138732671717	-0.0432096471011157	0.0521363608069792	0.0249208262513464	0.0761476133372322	-0.102492729939262	0.0127118366491825	-0.0503999131320721	-0.111151690323096	0.0292951887160407	-0.0745487374123016	-0.0848418127517948	-0.0358764798361014	0.068376545080813	-0.0372807138762041	-0.0266128243044332
"4690"	0.213516709371011	0.102007471639454	0.110644348984162	0.092462687028398	0.0129001154929309	0.0228141151491545	0.103614048011216	0.225459836939508	0.0317142937124141	0.106419485267623	0.165124191695702	0.137308396677022	0.0404612282371013	0.0809271773801264	0.137000111008498	0.0602411023280209	0.0717795130330625	0.136488133183571	0.121128390820497	0.167328107697824	0.0237057766428829	0.0564041554280894	0.216080381486022	0.16911668123937	0.166480857251766	0.153416422681539	0.172174000968481	0.0257971177218659	0.0547808587040893	0.0310205588362317	0.132944671373707	0.0498063127102929	0.0316897351803867	-0.0738089112915585	0.120281378952442	0.172084859287598
"121441"	-1.48654722892357	-1.50482580957065	-1.29901257227576	-1.47995162301987	-1.57707475304988	-1.08992791817676	-1.20381011762163	-1.52014220365831	-1.35679650797067	-1.12298086606233	-1.45835173744556	-1.35898225082706	-1.3813643310182	-1.21554854466711	-1.1694163411369	-1.1362362635597	-1.67347015656732	-1.36733428615701	-1.38244816821933	-1.33281316682939	-1.68384194658672	-1.23153848253191	-1.33967338086867	-1.38749250576704	-1.83864679459487	-1.42202274817421	-1.36374385850534	-1.39187850135654	-1.41393282554875	-1.30395044234923	-1.3701999354475	-1.40507477669585	-1.19965703028305	-1.29012596885321	-1.31513413046901	-1.45490514417497
"83594"	-0.220197986388309	-0.189468482144817	-0.119533151171164	-0.0898530045967882	-0.137659020165238	-0.119661376699461	-0.0634027425469351	0.0640105691273145	-0.16413609730476	-0.119796938807977	-0.156459495336576	-0.205284013773737	-0.0808365261144093	-0.0165084470685927	-0.104663663097568	-0.267564448266423	-0.309643168736877	-0.0634693560441371	-0.141780172417052	-0.153130336443371	-0.0347257018392752	-0.090492666101363	-0.214738064184075	-0.161195753775851	-0.0630679031641921	-0.149503365491609	-0.193547257450148	-0.0926698902895782	-0.0800576399241956	-0.00974704815019724	-0.158534157910523	-0.176645299564235	-0.0427312104643496	-0.0351569891975038	-0.145888153123979	-0.184611145603043
"10562"	-0.245956931744097	-0.124130135247587	-0.041433606954906	-0.293334464278116	-0.352190977338033	-0.463040146294576	-0.141528309011043	-0.203954133000441	-0.130287947568361	-0.295628915060134	-0.200054707492709	-0.340227570085809	-0.243692784312121	-0.180666970389795	-0.1898549453076	-0.269972972520547	-0.204675053784443	0.022871547798945	-0.186186257482862	-0.39297278468879	-0.134548954658047	-0.178687945437198	-0.261734627119673	-0.103623202827322	-0.220167707091779	-0.0507501576474325	-0.379844586054919	-0.146306929891389	-0.242992709193754	-0.0370343353787511	-0.374441370189298	-0.160236318130386	-0.109129425967873	-0.261457413754482	-0.151973852904221	-0.137139813259871
"4998"	-0.725539659565269	-0.668125985713754	-0.683895213269025	-0.954848940334722	-0.781872749981536	-0.626224657551449	-0.752766466182925	-0.699266897377625	-0.550037345660768	-0.593086702565367	-0.777406847533161	-0.834899548105338	-0.728855832877765	-0.589658035083104	-0.769204875896116	-0.553996897754197	-0.911721140752047	-0.669944511266419	-0.740834430148125	-0.616339850848776	-0.441852976584527	-0.561450082068039	-0.740261979685865	-0.645364175114152	-0.708737233362502	-0.59888896966125	-0.673129395137171	-0.710090724666	-0.85536498920482	-0.601919508296402	-0.726520436374281	-0.818871582865325	-0.678951854647741	-0.685523003450057	-0.611636061219583	-0.785646196431154
"56129"	-0.242206953235677	-0.0656969315334793	-0.144022976532164	-0.16580634713518	-0.139324507923553	-0.199556409578962	-0.168876391771061	0.00305985023698794	-0.112094502998993	-0.15631662965877	-0.100825874091084	-0.162949400012127	-0.0743539650880533	-0.0479646123098313	-0.0885249084555253	0.00224056894500249	-0.00919606637230987	-0.0382328439584608	-0.0937299035952883	-0.0642103793869754	-0.0663362721715648	-0.0701173325984109	-0.0928155042689896	-0.142192341151579	-0.0770485710103424	-0.216543775682788	-0.0659647967392306	-0.150583385532106	-0.242270285318094	-0.0184085273529505	-0.151975604123354	-0.0542685028061282	-0.0755344845594622	-0.0519861108050364	-0.0551699879760028	-0.0597148467138782
"5444"	-0.317274624114185	-0.368122586581894	-0.321363376945566	-0.196473022757633	-0.227117086428204	-0.245667831963748	-0.162451564341373	-0.252668261765079	-0.219015096161453	-0.350900251738488	-0.191394394554339	-0.281069910312883	-0.163315245396727	-0.243923911683039	-0.264091388140694	-0.256431028064279	-0.162373215230528	-0.138703352848102	-0.164254346037984	-0.183326726326192	-0.154263740092084	-0.299520942164816	-0.315941511223117	-0.327167145538571	-0.290606982333212	-0.237038185401626	-0.26023591032778	-0.221811160964004	-0.293225774394809	-0.105688523594391	-0.388231809280407	-0.274821245614119	-0.297388911491359	-0.181128969392522	-0.217895497411981	-0.313107493924375
"9727"	-0.257473667466921	-0.0936526168398022	-0.169582767820107	-0.234198124058228	-0.22431378433932	-0.182631414539319	-0.0646128082548666	-0.179933684426099	-0.177586447471921	-0.103961053557056	-0.21701464239661	-0.229130144749745	-0.0253832546729417	-0.282472269357235	-0.162557167565779	-0.134470241988825	-0.146695979728937	-0.122141021186861	-0.149517456232745	-0.170764552192587	-0.087392163927105	-0.214827556318137	-0.171264562335381	-0.170857964426112	-0.209106565458051	-0.0941431378580728	-0.191408430483948	-0.128626102042286	-0.134357044404275	-0.162536907484409	-0.217058328825997	-0.169857845049439	-0.0996687275574049	-0.0402412198809101	-0.110885462956354	-0.0150158942803653
"55159"	-0.478687688834194	-0.379392896444178	-0.342633236786653	-0.204519002658998	-0.272408856985843	-0.341460707321619	-0.00314091596827945	-0.170325407735027	-0.411416110153498	-0.351074829473029	-0.158360622472467	-0.475298826054318	-0.336368004269125	-0.178280613818547	0.0273607118820685	-0.191006129730259	-0.163980703128299	-0.287692107073073	-0.307189739569304	-0.281898271980258	-0.236640633099265	-0.42706787947461	-0.184515324576724	-0.232315143536924	-0.346961670296561	-0.515916072754618	-0.156219046639782	-0.319946141616393	-0.404967277483229	-0.576833699539042	-0.603475009701265	-0.211955353718765	-0.253044538819676	-0.295445846151016	-0.45259249010132	-0.350229959776131
"6119"	-0.9037316555929	-0.887477129097427	-1.08900638522048	-0.991257596095657	-1.24086079059711	-1.00564316848016	-0.991515729210872	-0.882232019250549	-1.10852230602567	-1.13880179711032	-0.999377012119366	-1.05591407818614	-0.956897246094742	-1.07272207698664	-0.950123025579533	-0.941920331594325	-1.03839989205797	-0.76502870360115	-0.916635094064123	-0.958002777786623	-1.06206181348558	-0.914665494953135	-0.958570341540711	-0.966464264355335	-1.00573887933291	-0.937630739130712	-0.920425894438144	-1.09570726831455	-1.09009638679763	-1.16937031261684	-1.24966438484613	-0.962057707951608	-0.877203012311911	-0.979914723928886	-1.05293903327757	-0.907123775890507
"6301"	-1.67259990551667	-1.63505100601986	-1.56530125242072	-1.57068339863315	-1.65454436509891	-1.54706869444759	-1.45694019497567	-1.52253674740731	-1.56307795783877	-1.44338383675252	-1.89629049139312	-1.71245481471931	-1.84673259004788	-1.43851398793509	-1.64032063278904	-1.48202942509868	-1.55712976762256	-1.85248378119	-1.60069827497877	-1.8765729933673	-1.85787381172302	-1.43364478807341	-1.55944423618651	-1.69349687944243	-1.74694967460027	-1.58456285714458	-1.59440568000831	-1.71340458433294	-1.62158340557679	-1.68994753082508	-1.59916055495475	-1.50814461134713	-1.47022128405405	-1.63244162853633	-1.42344473817343	-1.78054512357283
"51012"	-0.957244571851207	-0.730359229114436	-0.927448139992013	-0.979852460989347	-1.17100794205265	-0.957518348654952	-1.09402367135639	-0.80051933816094	-0.84472151749982	-1.11472162386419	-0.819728622409449	-1.19640628316003	-0.701671927816864	-1.02078461119396	-0.951546249344505	-0.97721688884653	-1.06014605997918	-0.577471152109482	-0.767188468954799	-1.03719943060914	-0.86735359307282	-1.08188044258314	-0.980124771740526	-0.889828287619493	-0.687408889218962	-1.01532006722733	-1.00876614667631	-0.870925159725893	-0.950680411327593	-1.16745815872066	-1.07880745648443	-0.76929021211547	-0.970183344166211	-0.749804806778976	-1.1791712996107	-0.597500140468159
"23020"	-1.60087320048105	-1.55753197052612	-1.49540777105493	-1.70988847401033	-1.61270435136917	-1.47216662385853	-1.42512226022256	-1.67930551171687	-1.46950228833737	-1.4611298361977	-1.68097880371527	-1.51298397463212	-1.53610131444224	-1.3714702312542	-1.4417940039818	-1.52227408197782	-1.63208666513147	-1.7013887090273	-1.68082194899037	-1.56900537757249	-1.68018585963134	-1.48713357180081	-1.48650848380315	-1.5776022868289	-1.88685526585589	-1.53935129471954	-1.44539745309049	-1.6682812367061	-1.58140117310707	-1.43441253560584	-1.47653589553042	-1.43368414824001	-1.53103347790029	-1.62555713424888	-1.59189687846449	-1.53647583228697
