	"ACH.000014"	"ACH.000017"	"ACH.000042"	"ACH.000053"	"ACH.000085"	"ACH.000222"	"ACH.000233"	"ACH.000235"	"ACH.000246"	"ACH.000251"	"ACH.000260"	"ACH.000406"	"ACH.000450"	"ACH.000452"	"ACH.000458"	"ACH.000477"	"ACH.000556"	"ACH.000580"	"ACH.000614"	"ACH.000632"	"ACH.000637"	"ACH.000646"	"ACH.000661"	"ACH.000720"	"ACH.000724"	"ACH.000725"	"ACH.000778"	"ACH.000781"	"ACH.000791"	"ACH.000855"	"ACH.000912"	"ACH.000929"	"ACH.000957"	"ACH.001164"
"2642"	0.0500254487574724	-0.0154577994334848	0.0561227195622883	0.107333649901605	0.0864944619105295	0.014238246138608	0.0686659663737568	0.0891705479743963	0.0886724511892479	-0.0447727376373975	0.0465689741664584	0.106877479041623	0.205416183112401	0.0865482304993539	0.0493842955104152	0.184637756822134	0.0999180973604556	0.040545981860728	0.152393914117256	0.190214713698402	0.158802180391794	-0.00801645454393769	0.298580142731959	0.00970868543246393	0.253108777430944	-0.0136368407203695	0.0478663541296929	0.119795240297368	0.147149467725567	0.147879063873385	0.0258616702406471	0.162945374181121	0.132242650293784	0.0108615078830126
"647042"	-0.207048309228122	-0.105410689240283	-0.567088949428941	-0.408941047937301	-0.080188004012128	-0.365700471237129	-0.594767493213611	-0.400644083562382	-0.415313517567747	-0.748277400067182	-0.328714763939544	-0.306194429413997	-0.399336463287904	-0.236005012583523	-0.462042697927859	-0.606729080752248	-0.359343290259346	-0.366905677138381	-0.248683599550949	-0.261846151096871	-0.255360171361525	-0.273260802488671	-0.313004626497097	-0.41463735917918	-0.374923656153625	-0.235063678240012	-0.430833653816515	-0.450804850438088	-0.433813380700802	-0.379589666912723	-0.301516393920148	-0.277393925795499	-0.406292479164707	-0.432001547826549
"2969"	-0.140373569052309	-0.165246565654438	-0.26515678680898	-0.290155371323727	-0.454719498711299	-0.296779002927417	-0.146362745309378	-0.271952411113859	-0.167520988695851	-0.21744395865314	-0.301032339363939	-0.250856413067911	-0.427141232215372	-0.228374716014765	-0.248927602956911	-0.458318007104105	-0.36426717341819	-0.305269258936746	-0.0508893053705717	-0.343868928929984	-0.277226786595475	-0.231776275454151	-0.346516234194616	-0.304260003343092	-0.383353345321026	-0.541004682804374	-0.38679520594619	-0.304466236763452	-0.336922334976863	-0.337989038276583	-0.388013868602367	-0.269926883375365	-0.359784842706758	-0.364557982947205
"3336"	-1.84561425880142	-1.84893240684612	-1.72926447780414	-1.5099782918697	-1.73156754769425	-1.77068502760004	-1.53970486468929	-1.60176191807888	-1.52079020074402	-2.13116772618829	-1.67825901793774	-2.02332845789456	-2.19200015773729	-1.87387579330054	-1.67812118027515	-1.68579805730156	-1.54720024800994	-1.60660219748872	-1.81564851688512	-1.89430202214649	-1.67162424937026	-1.32629771136053	-1.89991721629135	-1.73948795122067	-2.42006785904426	-1.60488392423032	-2.11684787887464	-1.98809497979215	-1.57282824358431	-1.77034058191791	-1.52288922316918	-1.62028384896905	-1.76629704969867	-1.74856172001856
"282617"	-0.186428192716873	-0.0373626070989842	-0.0163100193384079	-0.105465627065051	0.0130023521064357	-0.206938082855452	-0.0552717958080602	-0.00945070374157068	0.0175077851687884	-0.214731617299543	-0.0101311602681255	0.0466228311874614	-0.111186563299058	-0.00417477766654258	-0.0264073587646244	0.315896867395239	-0.0896338568331261	-0.05683322986343	0.0504835044419997	0.0636876869134871	-0.193019885470978	0.037765304821268	-0.0405662902197756	0.0593435391873781	-0.0933139521818936	-0.155614148128097	0.00510587652675185	-0.0186631578643392	0.00931089334525032	-0.012788030641304	-0.216759190888338	-0.106309716459997	0.109202832265044	-0.0988127218133171
"3553"	0.0455482765602186	0.15176950366134	0.0735728635637362	0.0272365148954332	-0.00205957363126662	0.187868923797941	0.0495635054545539	0.128538261409314	0.10992566633476	-0.210053847558811	-0.056442575038438	0.035454301394034	-0.0135670626802323	-0.0499509921906295	0.0849263362774096	0.151215706140305	0.0142761863965892	0.0365178789127169	0.00441540977232555	0.0539535150801455	0.0392889073093871	-0.0608889660483091	0.0958933374751532	0.039410589117957	0.151694301547071	-0.020578520593088	-0.0903973182350264	0.0492371521770159	-0.0292046563292927	-0.0510490816267288	0.178772277421305	0.0424691706875551	0.156056477074058	0.134551349298622
"92105"	-0.788079568793228	-0.690079783318042	-1.04218843444008	-1.04479279982652	-0.817279347343625	-0.951702664888343	-0.846177180154818	-0.98533302586376	-1.0123581706015	-0.893705527527348	-1.08396094875173	-0.991414713769452	-0.829436841885397	-1.13897136461089	-1.0135803835018	-0.977694386004786	-1.04773141441852	-0.859621732777761	-0.751981435304956	-0.867657628040325	-1.1706865212488	-0.808919962559607	-1.01058031683935	-1.03917871834837	-1.07876661711134	-0.842284839893812	-1.39671041253128	-0.991972016238275	-1.03474019025124	-0.712966296220643	-1.06546037129332	-0.837218092307967	-1.03461988265609	-0.788786906022203
"64799"	-0.115562731747651	-0.11676366944359	-0.069848115061083	-0.128643857642611	-0.0357228662752724	0.0765106109938554	-0.189029471749737	-0.145261435731344	-0.133907881792373	-0.17041520685449	-0.273366754548688	-0.110183393221348	-0.0229068238155527	-0.149860354002828	-0.126471782493369	-0.269563561124422	-0.134460355168739	-0.107671231857879	-0.028494058866775	-0.121621108037679	-0.113187431538333	-0.133291581908621	0.0371118941880449	-0.205246549965291	-0.336571946170858	-0.260453209636492	-0.0245582075482208	-0.136925937074989	-0.136520012609514	-0.127284087912154	-0.249434609779285	0.0701631273897165	-0.251027153852482	0.0217761405942729
"3752"	-0.142242518066514	-0.048689141964443	-0.120281511290932	-0.152334820174761	-0.260266067537185	-0.0483106431775281	-0.114140941705527	-0.233960444458844	-0.180895899842621	-0.236847049411891	-0.216697351922634	-0.22503134875477	-0.272379425388114	-0.170142914775184	-0.0739869337799428	-0.189694306183568	-0.210517692651984	-0.109577027510578	-0.0337371812977559	-0.238834884752474	-0.216526297910307	-0.254173390895201	-0.248101607275116	-0.139207565222635	-0.275389257319941	-0.297350572471108	-0.184358615034245	-0.212525924158297	-0.194332398875414	-0.321573769657888	-0.129866516764315	-0.120971522124218	-0.334690481015104	-0.0791063280857853
"386683"	0.122079826357835	0.00371252654065004	-0.0559865081178683	0.0932906525454865	0.070459557860388	0.101098142496142	0.107833768008283	0.0782229632321142	0.056843553511234	0.0982277969489349	0.0855286276117787	0.0122764829582404	0.035543278197484	0.0485100874404601	-0.00119058644626215	0.147239461377934	-0.0136351766253487	0.0750632629468172	0.111125039369159	0.076877351385441	-0.250161576499783	0.0469427056358213	0.0803796434174785	-0.0287257676334067	-0.0596219255754998	0.0807345765008809	-0.037632016429373	0.0459574067337502	0.0276023606257342	0.159803410333242	0.0614387528193816	-0.0666247477591297	-0.0832830965909402	0.188278685453686
