	"ACH.000087"	"ACH.000116"	"ACH.000138"	"ACH.000232"	"ACH.000293"	"ACH.000304"	"ACH.000361"	"ACH.000374"	"ACH.000450"	"ACH.000460"	"ACH.000638"	"ACH.000649"	"ACH.000651"	"ACH.000693"	"ACH.000762"	"ACH.000769"	"ACH.000784"	"ACH.000822"	"ACH.000858"	"ACH.000876"	"ACH.000878"	"ACH.000948"	"ACH.001048"	"ACH.001211"	"ACH.001336"
"27030"	0.0133067781700918	0.0210765588540631	0.00776299939240009	-0.0111892226226693	0.0107849598283816	0.100718738851786	-0.0512062620932216	0.00454650458026805	-0.172542994192935	0.0201703030134774	0.00506014258788758	-0.0976218476318778	-0.041845091971036	0.0519700531926526	0.0910691996583995	0.0278617088293461	0.0601107775572323	-0.0395303420509325	0.0781169649028056	0.00961723811634777	0.138575765655102	-0.0862368183848002	-0.0636334625019882	0.0574245741376443	-0.0170983980354368
"151242"	-0.0281852512192347	-0.0175480788824205	0.053097203199721	0.00790264170982386	0.0545614575119932	-0.0763211708447257	0.0612480275956872	-0.0396585373614901	0.0923460111549301	0.0460630817443312	-0.0292502543492086	0.0129280115452813	0.0387540568930455	0.0362520428679019	0.0190226268363183	-0.0456614428386064	0.0613676577275199	0.0337854741822716	0.0423030576195217	-0.0724140822850274	0.0794304547513175	-0.0496127450272687	0.00982561566617122	-0.0903363130898944	-0.0802396045856875
"5691"	-1.7860399631691	-1.55844308262484	-1.49013996608472	-1.65508805944092	-1.83492528412601	-1.92107329091912	-1.52420802510825	-1.8749624808706	-1.70489572603507	-1.68094713668891	-1.46670012909821	-1.61031671111003	-1.71369789135181	-1.47079840659261	-1.72162030649847	-1.67716910874006	-1.34791482466379	-1.91614074184424	-1.53096891669151	-1.81356128062899	-1.66048421005294	-1.58488852487941	-1.57608199743005	-1.57205194825876	-1.45761020192403
"1104"	-0.877358361942038	-0.881590562560325	-1.10506650293851	-1.10801112458874	-0.753104782180157	-0.844975403161232	-0.832442188060114	-0.985221273908769	-0.998087909478605	-1.08430579896037	-1.10387540979997	-1.07342008240902	-1.19898270717963	-1.15725237185349	-1.05957355985873	-1.14466286697406	-1.23184619533031	-0.942070175809671	-0.988912758258085	-0.693779294467	-0.96386138576468	-0.884906323041935	-1.179571067112	-0.908821610893315	-1.07570531508507
"5985"	-0.683721652519944	-0.857090337086507	-0.80899231186451	-0.823681014794834	-0.7616328783466	-1.02104087576279	-0.879943998124093	-0.921902656656978	-0.533091315571571	-0.847982109438099	-0.749160088007102	-0.808590977001529	-0.874258202726107	-0.737861907016635	-0.757520553419009	-0.785699691233219	-0.691314556036188	-0.778725911902809	-0.914985361347038	-0.740349253480933	-1.01296033982172	-0.731278064170048	-0.864637681661142	-0.955352925569844	-0.854743937037419
"23223"	-1.12214835616288	-1.13248023422507	-0.882900322824929	-1.13874382922627	-0.93093049029835	-0.939824780244934	-0.990070514550987	-1.18449037514542	-0.959252484959181	-0.948905975251698	-0.999261115018614	-1.07364835240436	-1.14122895547584	-1.18357118384237	-0.822508432066584	-1.0974546416354	-1.24264611919693	-0.881799409601532	-1.01642431809064	-1.0230600570117	-1.23024823239876	-0.968810934623616	-1.09385853319447	-1.16476234325699	-0.758087096853124
"22908"	-1.24656806407045	-0.682732895141355	-0.905629816792799	-1.04201586780727	-0.90988514647079	-0.805597843538352	-1.04125019317353	-0.949030432782169	-1.01305285368964	-0.908838002002354	-0.794739224993264	-0.771920913258712	-0.824830592745796	-0.929992035831675	-0.996448590478629	-0.860538374903878	-0.894078018038827	-1.11132799537422	-0.677029990494207	-1.09344856349045	-0.764633756756662	-0.734227313178935	-0.968160856043889	-0.978926681333819	-1.05537194369779
"6342"	-0.0481455164579215	0.0863902169902253	-0.046302657922811	0.105451215937169	-0.00103188321251032	0.193379366043644	0.125126921891417	0.0449247956188858	0.179446783134962	0.149270464644008	0.0496082455086689	0.130244461195448	0.0896163767953656	0.00732024714473294	0.165268269696607	0.254732259207342	0.0988370014043101	0.0240786988491922	0.0930957256671209	0.0815987306964962	0.24152406606438	0.132036899687369	0.0680167716867367	0.159964664478171	9.46394549062674E-4
"6396"	-1.16572852278277	-1.07833964645964	-1.08112673424514	-1.20903883350119	-1.066239545631	-1.08172403136282	-1.11661142768335	-1.47629288931685	-1.1426556481078	-1.04194949365773	-1.04036109157271	-1.04111947476479	-1.10594500310419	-1.13124399313758	-1.33826990055049	-1.0832169772752	-1.17222696976542	-0.926113082483234	-1.06406710310932	-0.926214505958712	-1.20511780517526	-0.990242375878101	-1.17792325732182	-1.38227132333603	-1.23361576291162
"6404"	-0.00500712196216119	-0.183385274492781	-0.104864515893726	-0.0972709427112366	-0.0416831740472781	-0.0645402596648776	-0.0325751545163556	-0.0844645540545384	-0.235240537856902	0.00155607585862286	-0.094025533582067	-0.066600149235362	-0.13322469289592	-0.137146962544813	-0.0140538384992343	0.00747474025533946	-0.151513855057535	-0.090221328201784	-0.174944186888928	-0.109366766260297	-0.183558445691379	-0.047627117013077	-0.0672705521547409	-0.135238202066056	-0.0482967751099412
