	"ACH.000127"	"ACH.000168"	"ACH.000204"	"ACH.000206"	"ACH.000235"	"ACH.000258"	"ACH.000266"	"ACH.000294"	"ACH.000295"	"ACH.000312"	"ACH.000315"	"ACH.000334"	"ACH.000336"	"ACH.000339"	"ACH.000363"	"ACH.000366"	"ACH.000436"	"ACH.000471"	"ACH.000512"	"ACH.000557"	"ACH.000576"	"ACH.000653"	"ACH.000658"	"ACH.000676"	"ACH.000711"	"ACH.000714"	"ACH.000753"	"ACH.000763"	"ACH.000766"	"ACH.000781"	"ACH.000791"	"ACH.000817"	"ACH.000821"	"ACH.000838"	"ACH.000953"	"ACH.001111"	"ACH.001151"	"ACH.001450"
"1841"	-1.41203038031013	-1.45778173960645	-0.970257516485355	-1.41767038936586	-1.41791267524536	-1.1770762488121	-1.43051827981985	-1.33859578394217	-1.31198674994224	-1.21059768892712	-1.43008502356936	-1.47935504463586	-1.40521637354176	-1.46295191227722	-1.5495995095168	-1.4394237405573	-1.38113471637557	-1.45702142161463	-1.17597017803293	-1.6293198527556	-1.22718473098886	-1.23495237508869	-1.49543226317238	-1.36876832800841	-1.40094196363711	-1.11517470905155	-1.37403795458801	-1.49167807252271	-1.31332221102402	-1.40419737868683	-1.41774870433227	-1.21945759737265	-1.51472433461003	-1.56111481515369	-1.38135527690462	-1.10252849647282	-1.48066537036456	-1.38002686873649
"79956"	-0.0389491125068269	-0.0337843944146676	-0.20098524497643	-0.156147235656722	-0.122795667417458	-0.0183916434991397	-0.191841769868806	0.0697638941016305	-0.131324848227367	-0.133393014992804	0.0456151593683435	-0.0778953491453223	-0.0866223027267042	-0.0221660703606874	-0.0794846613545638	-0.0027412501200689	-0.132064519495644	0.0233854674517956	-0.101224107517164	-0.116589425585784	-0.159812400324557	-0.0930787106043029	-0.19657735282323	-0.115778056535111	-0.09878092664547	-0.0139740538403042	-0.0097673085081793	-0.111787805425498	-0.228567657679611	-0.0860660342388751	-0.102894258877785	0.0723289268873319	-0.227204392390715	-0.00461861165548839	-0.139525292720017	0.0141426466711082	-0.0397444754845563	0.0838073066470241
"8328"	0.0280050342705664	-0.231047486688203	0.0100478351830773	-0.0259824829295233	-0.0869300256133081	0.0241182192126742	-0.110210096843587	-0.0570388601371109	0.0852451835669297	-0.141554227414053	-0.14732412476321	0.0195843138173203	-0.0683252834724371	-0.0676410100092605	-0.119099862528329	-0.138353652785588	-0.0192714936133866	-0.0558816425774644	0.121426674399817	-0.107164709404606	-0.225003521413384	-0.0780447500914171	-0.239328436418426	-0.150193439157994	-0.102163974122526	-0.0788497110972777	-0.101375273977658	0.0106119395048579	0.0371103397211168	-0.140227833909992	-0.120554634732736	-0.0319331554611018	-0.152902557292111	0.0726667217682549	-0.150701904869012	-0.244214240997797	-0.110007900934016	-0.0870623098355862
"64785"	-0.931932198041514	-0.930083911562396	-0.691257630387559	-1.21317972537734	-0.756741451752913	-1.10288225456706	-1.08678998195684	-0.889326728304281	-0.835152243219396	-0.948257558033184	-1.13902681182677	-0.987561585096039	-1.05683182641606	-0.978952828826606	-1.33172039755647	-0.778984885881308	-1.04317589540553	-0.902302172687213	-0.50594820061041	-1.06680722517343	-0.982433842015264	-0.821388008151813	-0.850050739737083	-0.732343292144385	-0.809601504185727	-0.953802662131265	-0.731784528356648	-1.24065641321619	-1.04962640889169	-0.909553062879526	-0.944679065817115	-0.728169806764105	-1.35363549452606	-0.768638577623237	-0.675615090641553	-0.711402023586653	-0.925875281012042	-0.802463939520754
"2963"	-0.687052378713516	-0.71418367711465	-0.951664688709795	-0.856418270157208	-0.618975751310259	-0.518771152931901	-0.681921232208674	-0.451140895294794	-0.494688226386935	-0.633480884199594	-0.599294351776935	-0.84725226395168	-0.63610835704586	-0.558372323003771	-0.716049959013837	-0.518002053420385	-0.719735905924194	-0.761643906043828	-0.545128609143329	-0.665580863669986	-0.582492474149906	-0.666205549128307	-0.533401148696454	-0.506258757864825	-0.657848417686144	-0.690350629119109	-0.677008770969279	-0.906891055596932	-0.608070092987557	-0.72963193861063	-0.640530322023604	-0.662765266441425	-0.969064307063378	-0.745359668794523	-0.54002217754411	-0.564152113171656	-0.573041642940652	-0.701289657656319
"2971"	-1.03685216501964	-0.758157158157953	-1.21943832507825	-1.08526903236084	-0.871686586930697	-0.813696851102658	-0.950744662288996	-0.820489081396349	-0.735042716688521	-1.01670454401835	-0.987079027040501	-1.56564087527507	-1.0288199303041	-0.834555828761647	-1.12298265529227	-0.977953918635665	-1.10832056824257	-1.03515382637864	-0.772124480203192	-0.925869287272037	-1.20370918087114	-1.03859265993814	-1.00968890089934	-0.812673952219201	-1.11682966551635	-0.955336125819733	-1.07034120791027	-1.44239855142069	-1.06872731906464	-1.17159675271875	-0.981262045055342	-1.10018447956133	-1.49427527124681	-0.889412931971535	-0.595855117912559	-0.822079640814442	-1.10837567048948	-1.07081060997233
"3020"	-0.468123556709918	-0.416807206365999	-0.390734329417343	-0.757938800295583	-0.486128265762349	-0.212235117491331	-0.653131537293821	-0.276588174530224	-0.474755181988168	-0.430073184800905	-0.5547677607841	-0.380464989227273	-0.737959040649901	-0.44595940964272	-0.538266964666377	-0.426337249973246	-0.730511780274061	-0.582759980360535	-0.571164728075958	-0.148106730124719	-0.399170314971439	-0.544632817341868	-0.554821862832929	-0.457529864353281	-0.647307412704843	-0.458178086724653	-0.5259100166995	-0.775116040226526	-0.609403547998912	-0.527677032337212	-0.635932127410592	-0.523622646100908	-0.898712577667446	-0.183597782673522	-0.585576336335593	-0.358485095530777	-0.477249202482652	-0.722112831651997
"3309"	-1.02653667348579	-1.03628016603469	-0.946426254934755	-1.36587622852793	-0.900836143873385	-0.848505749597719	-1.0908890558024	-1.0804222583928	-1.12121573907247	-1.05367880143271	-0.87924209870479	-1.54424669248969	-1.4856516837409	-0.985048680272523	-1.2193264927594	-1.09399788970356	-1.1728741855804	-0.996058284800573	-0.64244747117798	-1.10374204290891	-1.34890772764217	-1.41704039651821	-1.40405848377171	-0.950441674179048	-0.99240780749245	-0.979466833502317	-0.932361950140101	-1.53762406286993	-0.999807802520879	-1.10298161877941	-1.13766520469811	-0.793804764395877	-1.32098669397381	-1.30671250261193	-1.1539274016438	-0.934838304484057	-1.13057658594547	-1.35618484821248
"3717"	0.202110133276409	0.0614024916389292	0.17693982588448	0.197003253737782	0.149486723786153	0.189266474368127	0.196781875082349	0.167137929503193	0.0527276236248171	0.121002264629066	0.187799561891752	0.146674508657092	0.158290666891207	0.170792798525949	0.210245594788512	0.236810352838338	0.140167368642739	0.183061486111786	0.0630425883221176	-0.119162289012778	-0.020967998061739	0.198932690192919	0.0495298688136801	0.158085186819601	0.154372395918303	0.104651584445431	0.212914328849654	0.0603258297828186	0.0895795984060122	0.141832336553175	0.263851547351562	0.118671529738393	0.12650126650426	0.116823549968739	0.224061522757459	0.176114359895073	0.153711902235476	0.0224121481887388
"9933"	-0.00525003048783715	-0.026990746068623	0.118892260526003	0.00793444972876634	0.0279400564432122	0.0381027942415948	-0.0662441588393861	-0.0152840714440533	0.0837831178089911	0.0880209783631735	0.0929043801244225	0.00233394141125193	-0.00586937705085887	-0.0726902231893514	0.0283097284295857	-0.00296067448223684	-0.0351622548232408	-0.0822817581606387	0.139227927484905	0.00654283134957656	-0.0514059705073312	0.110984593112173	0.0243121189422038	0.03930049169562	0.045543680106817	0.129179802815157	0.0850647362900026	0.118735793450475	0.132035047145671	0.0127073651807389	0.0619777865882881	0.0556822690186849	0.0729175085317381	0.0612500721576958	0.156722132113068	0.0631516435113598	-0.104180471581778	0.0487570613570609
