	"92.cdc15 160 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"516.2.5mM DTT 060 min"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1664.cdc15 170 min"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"5239.DES460 (wt) - mock irradiation - 30 min"	"5240.DES460 (wt) - mock irradiation - 60 min"	"5242.DES460 (wt) - mock irradiation - 90 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"13133.Ca/Ca+FK 30min (2)"	"14946.Hydrostatic pressure (C2 vs P2)"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YDR449C"	-0.61	-3.288	-3.311	-1.17	-2.141	-2.891	-3.0	-0.914	-2.519	-1.966	-6.037	-3.454	-2.969	-2.991	-2.23	-2.543	-2.974	-1.171	-1.154	-0.112	-0.584	-0.257	0.317	-0.311	-0.788	-1.054	-1.766	-3.019	0.459	0.086	0.418	-2.347	-4.582	-2.179	-2.307	-2.548	-3.477	-2.387	0.493
"YER079W"	0.871	2.635	2.488	0.855	2.434	2.913	2.437	0.956	0.771	2.015	4.036	3.925	3.354	3.195	1.519	3.069	2.862	2.649	2.407	-0.155	1.737	0.882	0.408	-0.174	-0.73	-0.468	1.388	2.762	-0.12	-0.764	1.32	1.874	1.829	1.848	3.57	4.179	4.583	1.524	-0.609
"YGL078C"	-0.565	-4.33	-3.709	-1.926	-3.238	-4.399	-3.428	-1.355	-2.77	-2.908	-4.866	-2.556	-1.916	-1.553	-2.562	-2.914	-2.134	-2.156	-1.979	0.198	-0.317	-0.109	-0.231	-0.153	-0.499	-0.776	-1.775	-4.147	0.511	0.312	-1.467	-3.453	-3.538	-2.819	-2.52	-3.53	-3.576	-2.496	-0.245
"YGL111W"	-0.553	-2.705	-2.506	-1.203	-2.165	-2.854	-2.867	-0.745	-2.19	-1.882	-3.668	-1.845	-1.719	-1.627	-1.167	-2.085	-1.026	-0.515	-1.589	0.18	-0.652	-0.311	0.021	0.062	-0.26	-0.458	-1.04	-2.724	0.095	0.5	0.0175	-2.854	-3.188	-2.001	-2.456	-2.663	-3.063	-1.06	0.403
"YGL120C"	-0.706	-3.316	-3.231	-1.43	-3.301	-3.954	-3.877	-0.424	-1.855	-2.25	-4.557	-3.087	-2.692	-1.947	-3.085	-3.171	-3.229	-1.739	-2.813	-0.116	-0.698	-0.166	-0.416	0.695	0.222	0.055	-1.354	-3.8	0.129	0.572	0.131	-2.799	-3.466	-2.416	-2.286	-2.891	-3.546	-0.604	-0.14
"YGR019W"	0.914	3.016	2.8	2.034	2.58	3.009	2.976	0.0	0.672	2.254	4.045	3.096	3.778	3.356	1.999	2.14	2.056	1.394	0.637	-0.031	0.898	0.214	0.119	0.023	0.455	0.227	1.357	2.898	-0.237	-0.033	-0.476	1.242	1.815	1.689	2.326	2.108	3.364	1.286	-0.234
"YGR123C"	-1.066	-3.5875	-3.2965	-1.1295	-3.0495	-4.1895	-3.748	-0.652	-2.491	-1.835	-4.447	-2.7	-2.234	-2.041	-2.958	-2.878	-2.97	-2.137	-0.249	0.124	-0.649	-0.197	-0.064	0.446	0.005	0.127	-1.589	-4.594	0.1835	0.848	-0.0625	-2.047	-2.795	-1.547	-2.966	-2.403	-3.836	-1.288	-0.015
"YGR127W"	-1.247	2.0945	2.0255	1.0975	1.6685	2.161	2.077	0.573	0.939	1.326	2.335	1.652	1.856	1.474	0.892	1.786	1.861	1.418	-0.552	0.014	0.842	-0.898	0.395	0.088	-0.746	-0.077	1.094	2.175	-0.191	-0.137	0.3225	1.948	3.264	1.572	2.493	2.508	2.788	1.775	-0.239
"YGR173W"	-0.832	-2.503	-1.71	-0.7595	-1.958	-2.8095	-2.487	-0.901	-1.968	-1.136	-3.271	-1.888	-1.436	-1.194	-1.899	-2.709	-2.065	-1.747	-1.752	-0.074	-0.177	-0.218	-0.549	0.553	0.007	0.006	-0.871	-2.734	0.4195	0.473	-0.1105	-1.48	-1.911	-1.015	-0.995	-2.164	-2.139	-0.71	0.432
"YHR170W"	-0.326	-5.3995	-4.622	-2.085	-4.14	-4.723	-3.947	-1.518	-3.256	-2.518	-4.51	-1.901	-2.071	-1.573	-2.326	-2.759	-2.694	-1.887	-1.429	-0.027	-0.957	-0.043	-0.257	0.048	0.032	-0.488	-1.391	-5.252	0.427	0.31	-1.024	-2.606	-3.576	-2.405	-2.772	-3.186	-3.601	-1.485	0.344
"YIL127C"	0.533	-2.724	-3.181	-1.271	-1.7815	-2.8895	-2.6295	-0.799	-2.05	-2.219	-3.825	-3.066	-2.308	-2.16	-2.293	-3.072	-1.756	-1.412	1.139	-0.027	-0.585	-0.191	0.398	-0.314	-0.958	-0.99	-1.608	-2.6085	0.607	-0.043	-1.012	-3.424	-2.784	-1.905	-1.765	-2.676	-3.693	-2.169	0.746
"YIL136W"	-0.627	2.297	4.5115	2.249	3.5705	4.093	3.794	0.202	1.621	3.611	5.349	6.184	4.276	6.125	3.374	3.895	4.339	3.863	-1.402	-0.23	1.32	0.345	-0.371	0.143	0.105	-0.032	0.836	3.8555	0.836	1.543	-0.392	3.01	3.125	1.974	2.176	5.402	5.469	1.064	-1.545
"YJL141C"	0.203	2.1465	2.071	0.8815	1.832	2.485	2.58	0.153	1.091	0.57	3.509	2.039	1.989	2.212	2.045	2.008	1.927	1.804	1.28	0.099	1.285	0.472	-0.568	0.55	0.272	0.294	1.174	2.56	-0.294	-0.875	0.024	2.015	1.778	1.12	1.539	1.731	3.165	0.619	-1.266
"YJL144W"	-1.0	2.9145	2.5985	1.969	2.475	3.4435	2.1655	0.068	1.577	1.935	4.935	3.766	2.14	4.151	2.84	4.735	3.735	3.856	3.709	-0.146	2.452	0.443	0.155	0.292	-0.184	-0.085	1.681	3.173	-0.654	-0.932	0.001	2.963	1.677	1.207	0.452	1.312	3.485	0.315	-1.294
"YJR096W"	0.233	3.153	3.311	2.992	3.07	3.2195	3.4165	0.444	1.119	2.648	5.037	3.379	3.713	3.638	2.856	2.524	1.951	1.994	1.889	-0.184	2.48	0.418	-0.055	-0.688	-0.762	-0.444	1.503	3.707	1.136	-0.877	-0.736	1.008	2.099	1.271	2.093	4.119	3.463	0.198	-1.303
"YKL181W"	-0.103	-2.313	NaN	-0.766	-2.149	-2.822	-2.81	-0.692	-1.73	-1.655	-3.28	-1.879	-1.488	-1.945	-2.097	-2.604	-2.243	-1.935	-2.1	0.2	-0.28	-0.154	-0.049	0.691	0.198	0.287	-1.0	-2.802	0.162	1.083	-1.048	-1.865	-2.543	-1.721	-3.042	-2.367	-2.308	-1.415	-0.144
"YLL008W"	0.173	-4.973	-4.981	-2.133	-3.751	-4.808	-4.019	-1.58	-3.12	-3.718	-5.659	-3.509	-3.627	-2.64	-3.126	-2.364	-2.55	-1.847	-2.162	0.116	-0.59	-0.171	0.379	0.473	-0.051	-0.513	-1.714	-4.642	0.4	0.422	0.557	-2.884	-4.08	-2.614	-2.378	-1.915	-3.042	-1.992	0.803
"YLR002C"	-0.031	-4.273	-3.029	-1.145	-2.585	-3.425	-2.737	-1.374	-2.86	-2.267	-3.541	-1.701	-1.693	-1.352	-1.928	-2.611	-1.589	-1.157	-1.015	-0.35	-0.935	-0.185	0.051	0.737	0.606	0.536	-1.162	-4.018	0.087	0.515	1.459	-1.465	-2.317	-2.108	-1.524	-1.828	-2.422	-1.085	0.395
"YLR003C"	-0.09	-3.442	-2.957	-1.386	-2.644	-3.201	-3.212	-0.678	-2.485	-2.267	-3.378	-2.664	-2.083	-1.89	-1.976	-2.206	-1.397	-1.028	-0.953	-0.23	-0.534	-0.251	0.063	-0.38	-0.695	-1.032	-1.447	-3.305	0.179	0.344	0.175	-2.062	-2.573	-1.447	-2.402	-2.516	-3.839	-0.879	0.205
"YLR129W"	0.076	-4.096	-3.022	-1.034	-2.347	-3.676	-3.658	-1.513	-3.455	-2.548	-4.83	-2.28	-3.089	-2.498	-3.214	-3.12	-2.647	-2.185	-2.333	-0.04	-0.754	0.696	0.09	0.372	0.119	-0.15	-1.327	-4.108	-0.066	0.604	0.901	-4.157	-4.374	-2.07	-3.858	-3.422	-4.119	-1.941	0.432
"YLR175W"	-1.063	-4.176	-3.679	-1.829	-3.07	-4.552	-4.902	-0.452	-4.195	-2.338	-5.607	-3.276	-2.921	-2.657	-3.43	-3.996	-3.068	-3.13	-3.152	0.018	-0.559	-0.485	0.026	-0.028	-0.41	-0.422	-1.58	-4.431	0.53	1.06	-1.444	-3.342	-4.177	-1.884	-3.986	-3.995	-4.338	-1.658	0.72
"YLR196W"	-0.469	-5.425	-5.04	-2.108	-3.221	-4.896	-4.532	-1.357	-3.946	-2.562	-5.083	-3.01	-3.156	-2.049	-2.118	-2.858	-2.859	-1.799	-1.477	-0.053	-0.824	-0.646	0.219	0.226	-0.178	-0.696	-1.12	-5.097	0.298	0.687	-1.167	-2.941	-3.697	-2.702	-2.671	-2.901	-3.658	-1.845	0.423
"YLR197W"	-0.881	-4.98	-4.044	-1.636	-3.638	-4.76	-5.179	-0.167	-3.466	-2.263	-5.817	-3.612	-3.173	-2.795	-3.387	-3.899	-3.238	-3.258	-3.282	0.069	-0.517	-0.38	-0.283	-0.166	-0.287	-0.533	-1.869	-5.072	0.201	1.062	-0.492	-2.322	-4.496	-2.603	-4.151	-4.983	-4.545	-1.95	0.248
"YLR198C"	-0.623	-4.57	-4.694	-1.876	-3.371	-4.643	-4.805	-0.133	-3.07	-1.942	-5.143	-2.989	-3.1	-2.376	-3.057	-3.471	-3.106	-2.998	-2.5	0.025	-0.483	-0.414	0.111	0.055	-0.166	-0.544	-1.66	-4.143	0.618	1.038	-0.28	-2.376	-3.4	-2.256	-1.816	-2.271	-3.761	-2.18	0.189
"YLR449W"	0.141	-3.266	-2.903	-1.394	-3.009	-3.738	-3.97	-0.551	-1.984	-2.105	-6.206	-3.515	-3.262	-2.978	-3.248	-2.597	-2.104	-2.166	-2.049	0.054	0.003	0.618	-0.144	0.694	0.374	-0.348	-2.041	-4.241	0.535	1.186	-2.078	-3.053	-5.408	-2.249	-2.699	-3.658	-4.694	-2.077	0.454
"YNL002C"	-0.6565	-4.666	-4.07	-2.094	-3.305	-4.559	-4.222	-0.589	-3.653	-2.627	-5.196	-2.914	-2.785	-2.336	-2.839	-3.072	-2.59	-2.178	-2.177	-0.152	-0.368	0.021	0.211	-0.23	-0.552	-0.924	-1.453	-4.603	0.43	0.318	1.249	-3.249	-3.481	-2.594	-3.245	-2.92	-4.466	-2.033	0.303
"YNL062C"	-0.394	-3.459	-2.934	-0.927	-2.143	-3.093	-2.844	-0.489	-1.873	-1.917	-4.157	-2.785	-2.295	-2.256	-2.538	-2.304	-2.254	-1.829	-2.065	0.077	-0.615	-0.217	0.468	0.314	-0.08	0.007	-1.0	-2.71	0.152	0.33	1.136	-3.32	-4.112	-2.584	-2.778	-2.698	-2.838	-1.674	0.355
"YNL075W"	-0.68	-3.86	-3.164	-1.324	-2.558	-3.304	-2.768	-0.455	-2.359	-2.078	-4.782	-2.75	-2.189	-1.683	-2.433	-3.095	-2.494	-1.5	0.665	-0.096	-0.569	0.179	0.346	0.024	-0.407	-0.545	-1.121	-3.301	0.491	0.694	-0.73	-3.326	-2.935	-2.361	-2.748	-2.459	-3.779	-1.9	0.127
"YNL175C"	0.133	-5.334	-4.901	-1.351	-4.11	-4.362	-3.931	-1.28	-2.77	-2.567	-4.877	-2.65	-2.975	-2.4	-3.06	-2.575	-2.601	-2.327	-1.735	0.134	-0.59	1.475	-0.001	0.472	0.269	-0.432	-2.163	-5.147	0.722	0.791	0.832	-2.1525	-2.388	-1.8585	-1.746	-0.8535	-2.5475	-1.451	0.702
"YNL248C"	-0.57	-4.791	-4.315	-2.601	-3.398	-4.455	-4.373	-0.828	-3.395	-2.425	-5.716	-3.559	-4.488	-3.442	-3.618	-3.866	-3.014	-1.941	-3.947	0.19	-0.513	-0.186	0.388	0.028	-0.427	-0.729	-1.978	-4.868	0.481	0.683	-0.284	-3.442	NaN	-2.886	-5.118	-4.652	-6.193	-2.122	0.133
"YNL313C"	-0.023	-3.472	-3.026	-1.175	-2.399	-2.935	-3.02	-1.31	-1.887	-2.31	-4.999	-2.695	-2.073	-2.007	-2.852	-3.129	-2.948	-1.668	-1.914	0.191	-0.855	-0.065	-0.331	0.295	0.531	0.137	-0.962	-3.009	-0.177	0.414	-0.329	-3.183	-2.824	-2.352	-1.81	-1.867	-3.85	-1.289	0.111
"YOR091W"	-1.026	-3.01	-2.688	-0.957	-1.642	-2.72	-2.309	-0.532	-1.12	-2.094	-3.211	-2.424	-2.536	-1.957	-1.963	-1.597	0.6055	0.102	0.792	-0.207	-0.337	-0.222	0.098	0.465	-0.29	-0.405	-0.4405	-2.366	-0.023	0.302	-0.11	-3.107	-3.395	-1.759	-1.529	-2.587	-3.639	-1.168	0.595
"YOR145C"	-0.555	-3.98	-3.795	-1.583	-2.871	-3.492	-3.402	-0.795	-2.2695	-2.441	-4.1305	-2.03	-1.7885	-1.4615	-1.3615	-2.7235	-1.903	-1.5745	-1.9355	-0.002	-0.597	0.309	0.178	0.617	-0.27	-0.474	-1.1325	-3.948	0.806	0.608	-0.368	-3.355	-3.644	-2.806	-3.265	-2.939	-4.493	-2.585	-0.039
"YOR206W"	-1.009	-5.087	-3.702	-1.66	-3.585	-5.083	-4.513	-0.903	-3.849	-2.894	-5.827	-2.568	-2.0395	-1.991	-2.919	-3.1625	-1.9445	-2.2495	-1.9925	-0.064	-0.54	-0.337	-0.359	-0.064	-0.374	-0.703	-1.716	-5.066	0.317	0.54	-0.791	-3.782	-3.839	-2.816	-4.003	-3.193	-4.817	-2.892	0.465
"YOR294W"	0.022	-4.574	-3.828	-1.804	-3.73	-4.407	-3.632	-1.627	-3.3475	-2.434	-5.6475	-2.427	-1.914	-1.2675	-2.791	-3.318	-1.8445	-1.1745	-0.5045	-0.101	-0.686	0.264	0.072	0.111	-0.87	-1.124	-1.381	-4.852	0.191	0.089	-1.239	-3.894	-4.841	-3.679	-3.042	-2.722	-5.145	-2.638	0.523
"YPL043W"	0.059	-4.246	-4.0	-2.102	-3.773	-4.198	-4.087	-1.53	-3.299	-2.529	-4.668	-2.8315	-2.8295	-2.0985	-3.242	-3.157	-2.2695	-1.9305	-2.047	-0.013	-0.907	-0.644	0.526	0.249	-0.245	-0.15	-1.6305	-4.555	0.509	0.428	-0.23	-4.18	-3.988	-2.531	-2.639	-3.093	-4.308	-1.25	0.522
"YPL196W"	-0.401	1.642	1.807	1.344	1.394	1.845	2.209	-0.4835	0.9915	1.186	3.0515	1.806	2.0705	1.65	0.7435	1.9775	1.8525	1.408	1.024	-0.172	1.33	-0.319	-0.528	-0.529	-0.6	-0.341	0.408	2.38	-0.339	-0.338	-0.72	1.281	1.167	0.3	1.12	2.951	2.732	0.635	-0.365
"YPL266W"	-0.934	-3.981	-3.222	-1.233	-2.968	-3.585	-3.063	-1.1495	-2.4965	-1.9705	-4.1135	-2.3835	-2.305	-2.135	-2.162	-3.267	-2.3995	-1.8745	-1.4055	0.045	-0.409	-0.152	-0.389	0.17	-0.266	-0.33	-1.52	-3.636	1.196	0.297	-0.776	-3.195	-4.813	-2.51	-2.945	-3.274	-4.271	-1.891	0.173
"YPR110C"	-0.537	-3.178	-3.084	-1.163	-2.507	-3.52	-3.728	-1.0625	-2.207	-1.572	-5.7185	-3.423	-3.2115	-2.9215	-2.6255	-3.01	-3.296	-2.285	-2.0215	-0.038	-0.137	-0.166	-0.227	0.044	-0.037	-0.459	-1.359	-3.168	0.5	0.106	-1.356	-2.665	-3.436	-2.354	-3.503	-2.851	-3.882	-1.483	0.129
"YPR144C"	-0.281	-4.441	-4.211	-3.145	-2.783	-3.783	-3.366	-0.5535	-2.613	-2.554	-3.855	-1.9705	-2.235	-1.9295	-2.4285	-2.0425	-1.8885	-1.2035	-2.06	0.04	-0.8	-0.113	0.316	0.517	0.342	-0.078	-1.284	-4.107	0.131	0.146	-0.426	-3.581	-3.213	-2.381	-2.677	-2.991	-3.937	-1.459	-0.199
