	"58.Elutriation2:Sample2:Time5.0hrs"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"514.2.5mM DTT 030 min"	"516.2.5mM DTT 060 min"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"815.1M sorbitol - 15 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YBR222C"	0.024	-0.002	0.004	0.887	0.533	0.45	0.854	0.937	0.843	-0.1015	-0.336	0.389	-0.25	-0.251	-0.039	0.34	0.697	1.041	1.888	1.977	2.003	1.575	1.333	-0.135	-0.053	-0.376	0.241	-0.043	0.036	0.906	0.585	0.7505	2.056	1.7615	1.5515	1.6705	0.9125	0.8115	1.062	1.898	0.509	-0.131	0.702	1.088	0.831	0.192	0.701	0.814	1.409	-0.3895	-0.263	0.019	0.1335	0.0875	0.94	-0.111	-0.976	-0.416	-0.058	-0.011	-0.193	0.183	0.309	0.147	0.293	-0.526	0.623	1.043	0.877	1.429	1.6725	1.138	2.1905	-0.737	1.106	1.197	1.031	1.079	1.17	1.45	1.251	1.143	0.29	0.923	0.56	1.576	0.653	2.233	1.762	1.796	2.821	2.217	1.302	3.834	3.218	0.684	0.45	0.196	0.346
"YBR255W"	0.0965	0.329	0.411	0.895	0.762	0.417	0.229	0.409	0.574	-0.429	-0.485	0.149	0.103	-0.046	0.542	0.1775	-0.0515	1.895	1.55	1.761	1.754	1.98	1.88	1.564	0.452	-0.424	-0.106	0.759	1.267	0.346	1.104	0.385	1.0695	1.1855	0.868	1.353	1.383	0.83	0.738	0.475	0.991	0.337	1.185	1.271	1.03	1.079	0.863	0.722	0.807	1.168	1.062	0.9685	1.092	1.254	-0.023	-0.044	0.016	-0.488	-0.298	0.032	0.015	0.44	0.596	0.234	0.798	0.443	0.316	0.346	0.181	0.857	0.41	1.132	0.763	-0.266	-0.009	0.271	0.042	0.099	0.293	0.071	0.193	0.075	0.055	0.792	0.438	0.0	0.636	0.732	0.506	0.35	0.33	1.076	0.626	0.821	0.938	0.435	0.417	0.607	0.545
"YCR021C"	-1.262	3.857	4.006	2.689	1.582	1.479	1.28	2.312	5.0	-2.795	-0.551	-0.274	-3.431	-2.314	-0.122	-0.3865	-0.5595	5.925	4.944	3.296	5.128	4.676	3.95	2.391	5.008	0.422	-0.014	5.041	5.591	5.509	4.887	4.4875	2.0805	3.801	3.977	3.468	2.274	1.503	3.906	3.685	1.402	0.689	0.899	0.595	0.553	1.414	0.819	0.434	4.523	-1.099	0.8165	2.5335	2.42	2.647	3.387	0.844	0.715	0.268	-0.287	-0.066	-0.065	-0.913	-0.982	-0.917	-0.998	-0.462	1.02	-0.877	-0.919	-0.6155	-0.7745	0.294	-0.19	-1.312	4.043	2.358	2.837	2.58	3.099	3.602	3.74	3.481	3.672	2.9	2.644	8.394	8.28	7.519	6.801	7.391	6.274	7.101	5.695	6.387	5.332	4.069	4.329	4.832	4.457
"YCR023C"	-0.029	0.146	0.226	0.191	-0.183	-0.222	0.0	0.045	0.0	0.0405	-0.313	0.108	-0.035	0.007	0.164	0.261	-0.0455	1.578	0.864	0.901	0.8	0.398	0.681	1.022	0.331	0.319	-0.224	-0.18	0.016	-0.329	-0.739	2.0905	0.719	1.4	1.375	0.652	0.423	-0.2525	1.232	1.336	0.076	-0.283	0.197	0.345	-0.037	0.363	0.304	0.309	0.703	-0.6725	-0.8525	-0.396	-0.852	-0.5155	0.126	0.054	-0.234	0.079	0.016	-0.153	-0.196	0.476	0.351	0.072	0.499	-0.329	0.618	0.35	-0.57	0.4035	0.1095	-0.1595	0.471	-0.468	-0.844	0.003	-0.555	-0.697	-0.27	-0.847	-0.5	0.311	0.214	-0.233	0.783	1.515	0.867	0.987	1.454	0.945	0.926	0.3	0.5	0.274	0.667	-0.564	-0.775	-0.49	0.297
"YCR069W"	0.293	0.364	1.123	1.163	0.713	0.566	0.957	1.083	0.887	-0.283	-0.552	0.0	-0.21	0.058	0.146	0.1205	0.064	0.507	1.047	1.282	1.275	1.437	0.885	0.61	-0.266	-1.278	-0.716	0.32	0.286	0.532	-0.128	0.735	1.159	1.0275	1.316	1.0625	0.5655	0.0195	0.634	0.896	0.675	0.093	1.144	1.501	1.387	0.279	0.458	0.788	1.052	0.318	0.53	0.428	0.0875	0.521	0.837	-0.342	-0.418	-0.184	-0.402	-0.972	-0.75	0.308	0.861	0.211	0.538	-0.747	0.092	-1.235	-0.229	0.0335	-0.0885	0.041	0.743	-0.204	-0.202	-0.106	-0.124	0.296	0.529	-0.309	-0.044	0.732	-0.664	1.108	0.83	0.4775	0.183	1.056	1.1125	0.408	0.7935	1.495	0.746	1.0355	0.7255	0.7165	0.662	0.0565	0.504
"YCR083W"	0.236	-0.116	0.515	0.647	0.609	0.763	0.634	0.87	0.712	-0.154	-0.214	-0.415	-0.237	-0.313	0.35	0.1915	0.3495	1.182	1.487	1.496	1.805	1.843	2.882	2.777	0.271	-0.427	0.122	0.663	1.079	1.308	1.296	0.466	0.7765	1.045	1.7755	1.9375	2.136	1.2365	0.738	0.226	0.242	0.229	-0.148	0.554	0.95	0.028	0.35	0.377	1.041	0.7025	1.057	0.9505	0.612	1.018	0.622	0.0	0.223	0.251	0.445	0.207	0.3	0.252	0.842	0.203	1.038	0.15	-0.042	1.19	0.973	0.702	0.677	1.2245	1.058	0.035	1.12	0.672	1.191	0.793	1.049	1.368	1.113	1.023	1.344	0.209	1.273	0.827	1.604	1.503	1.084	0.549	1.104	2.463	1.159	1.524	1.27	1.56	1.465	1.602	1.502
"YDL108W"	0.121	0.65	-0.282	0.057	0.946	-0.234	0.0	0.208	-0.158	-0.193	-0.43	-0.17	-0.075	0.031	0.224	0.498	0.159	0.215	-0.093	0.084	0.531	0.725	0.736	0.083	-0.364	-0.647	-0.234	0.586	-0.254	0.436	0.024	-0.13	-0.01	-0.01	0.522	-0.106	0.421	1.467	0.118	-0.025	0.318	0.405	0.347	0.225	0.095	0.126	0.144	0.044	0.129	0.266	0.218	0.292	0.156	0.965	0.014	-0.1865	-0.163	-0.4855	-0.471	-0.65	-0.2045	0.479	0.9615	0.799	0.9185	0.4625	0.5175	0.269	0.133	0.599	0.5335	0.59	0.7175	0.548	0.0385	-0.247	-0.423	0.52	-0.0275	0.1555	0.206	0.07	0.8185	0.0085	-0.249	-0.078	-0.102	0.43	0.002	-0.072	0.347	0.587	-0.514	-1.21	-0.493	0.144	0.363	0.142	-0.261
"YDL194W"	0.181	1.172	0.757	1.678	0.597	1.11	0.821	1.371	0.949	-0.498	-0.907	-0.415	-0.615	-0.862	0.964	0.542	0.053	2.756	3.079	2.902	2.773	2.758	3.229	2.675	2.403	-0.588	-0.365	2.191	1.976	1.473	1.695	1.971	1.674	2.005	1.921	1.923	2.037	1.752	0.638	1.373	0.242	0.272	0.41	0.519	0.496	0.171	0.464	0.81	1.647	0.556	0.567	-0.053	0.215	0.693	1.343	-0.271	0.04	-0.188	0.019	0.779	-0.068	-0.174	-0.12	-0.163	-0.009	-0.716	0.09	-0.212	0.095	0.856	0.284	0.138	-0.263	-0.021	0.236	0.718	0.367	0.262	0.376	0.622	0.593	0.555	0.667	0.091	-0.67	-0.036	0.397	-0.552	0.057	0.41	-0.616	-0.015	0.023	0.467	-0.2	-0.142	0.987	0.449	0.312
"YDL199C"	-0.542	1.793	2.116	2.7	0.643	2.026	1.648	2.053	1.82	-1.067	-1.047	-0.621	-1.445	-1.598	1.033	2.139	1.298	3.613	3.263	2.856	2.72	3.28	4.082	3.316	2.531	-0.419	0.067	1.984	1.955	1.594	1.354	3.993	2.022	2.729	3.114	3.13	3.12	2.061	2.07	2.842	1.315	0.174	1.004	1.62	1.333	0.433	0.952	1.332	1.971	1.243	1.289	1.783	1.791	2.13	2.653	-0.087	-0.27	-0.196	0.139	-0.232	-0.097	0.747	1.088	0.878	1.125	-0.039	0.826	0.55	-0.293	1.294	0.177	0.89	0.938	-0.692	0.239	0.215	-0.018	0.299	0.216	0.301	-0.16	-0.464	-0.582	-0.273	-0.996	2.605	3.345	3.082	3.576	2.669	3.156	3.153	1.15	1.567	2.393	0.764	0.254	0.918	0.858
"YDL204W"	-1.004	1.42	3.317	5.01	0.311	5.128	3.877	4.936	4.887	-2.803	-1.678	-0.644	-2.746	-2.85	1.601	2.654	3.088	5.851	4.733	4.685	5.32	5.69	5.571	5.749	4.975	1.16	1.533	4.604	4.28	4.346	3.903	4.66	4.854	5.274	5.34	5.75	7.317	5.93	4.234	3.477	4.511	2.616	3.455	4.067	4.561	3.189	3.761	4.115	4.52	3.839	4.418	4.402	3.661	4.467	5.38	-0.727	-1.052	1.285	1.427	1.448	1.084	2.083	3.647	2.333	3.582	1.588	3.467	5.29	3.183	4.309	3.5	3.58	4.036	-0.587	1.116	1.106	0.796	1.055	1.521	1.132	1.329	1.237	-0.036	2.109	1.142	5.526	4.943	4.367	5.864	4.642	3.788	4.76	3.492	3.424	2.645	2.209	2.646	2.214	1.812
"YDR059C"	0.224	-0.032	1.196	1.262	6.375	0.687	1.051	1.009	0.561	-0.716	-0.188	0.395	-0.832	-0.51	0.561	-0.276	1.276	2.272	2.385	2.493	2.07	2.509	3.136	3.497	1.436	0.691	0.405	1.177	0.624	1.202	1.309	1.818	1.443	1.963	2.24	3.116	2.735	2.39	1.34	1.855	0.913	0.397	0.609	1.405	1.614	0.032	0.312	0.696	2.1185	1.021	1.118	1.488	1.644	2.166	1.24	-0.444	-0.083	0.3845	0.164	-0.1635	0.002	0.9705	1.486	1.0905	1.8065	0.887	0.4585	1.0405	1.141	1.2355	0.6365	2.056	1.407	0.2325	0.943	-0.06	0.941	1.334	0.8635	1.315	0.733	0.8285	1.3815	0.495	0.689	1.646	2.488	2.593	2.081	2.345	1.247	2.69	1.159	0.88	1.179	1.983	1.718	2.096	1.95
