	"814.DBYmsn2-4- 37degree heat - 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"8227.dtt 000 min"	"8228.dtt 015 min"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13133.Ca/Ca+FK 30min (2)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34360.batch 02X25 4"
"YDR413C"	-0.592	-0.27	-2.622	-2.121	-1.42	-2.057	-1.696	0.167	-1.399	-1.215	-1.12	-1.347	-2.337	0.303	0.077	0.149	-0.274	0.524	0.481	0.837	0.319	-1.835	-1.046	-0.642	-2.336	-1.502	-1.256	-0.022	-0.036	-1.157
"YDR417C"	-1.833	0.287	-3.705	-2.778	-4.279	-5.062	-1.775	0.097	-3.58	-3.209	-2.864	-2.95	-4.223	-0.474	0.349	0.341	1.195	0.62	0.803	0.838	0.683	-3.553	-2.61	-1.768	-3.585	-3.332	-2.261	0.762	0.624	-1.903
"YDR418W"	-1.861	0.382	-3.707	-3.13	-3.074	-5.866	-1.601	0.246	-3.315	-3.181	-2.797	-2.605	-4.449	-0.312	0.275	0.243	1.111	0.829	0.927	0.874	0.861	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027	1.042	0.796	-1.732
"YDR447C"	-1.392	0.269	-4.882	-3.934	-3.659	-5.332	-2.128	0.369	-3.574	-3.565	-2.813	-3.129	-4.249	-0.539	0.103	-0.116	0.941	0.654	0.765	0.881	1.0175	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	0.877	0.47	-1.622
"YEL054C"	-1.88	0.529	-3.654	-2.711	-2.98	-7.056	-1.881	0.287	-3.039	-3.52	-3.003	-2.232	-3.347	-0.849	0.26	0.22	1.382	1.149	0.894	0.9705	0.757	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194	0.637	0.514	-1.911
"YGL076C"	-1.867	0.602	-3.969	-3.136	-3.976	-5.667	-1.913	0.541	-3.32	-2.996	-2.857	-1.957	-4.142	-0.948	0.147	-0.384	1.119	0.934	0.903	0.761	0.7725	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	0.692	0.371	-2.332
"YGL135W"	-2.254	0.269	-3.221	-2.573	-3.418	-5.687	-1.34	0.356	-3.217	-3.23	-3.119	-2.071	-3.581	-0.412	0.278	0.457	1.065	1.146	0.718	0.72	0.689	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	0.43	0.138	-1.68
"YGL147C"	-1.954	0.506	-3.892	-3.111	-3.921	-7.507	-1.716	0.315	-3.0	-3.753	-3.466	-3.166	-4.384	-0.845	0.465	0.393	1.176	0.692	0.91	1.022	0.999	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	0.756	0.7065	-1.6575
"YGR034W"	-1.25	0.301	-3.922	-3.172	-3.052	-6.281	-2.052	0.171	-3.268	-2.935	-2.282	-2.579	-3.635	-0.898	0.043	-0.197	0.89	0.827	0.347	0.656	0.619	-2.986	-3.003	-2.725	-4.347	-3.643	-2.741	0.488	0.22	-0.146
"YGR085C"	-1.247	0.568	-3.713	-3.301	-3.406	-6.059	-1.594	0.421	-3.071	-3.255	-3.013	-2.215	-4.359	0.669	0.313	0.275	1.232	0.766	0.656	0.855	0.791	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	0.876	0.705	-1.736
"YGR272C"	-0.37	0.082	-3.298	-1.867	-1.578	-3.376	-1.094	0.231	-1.797	-1.974	-0.993	-1.338	-2.698	0.707	0.12	0.092	-0.426	0.328	0.367	0.841	0.788	-0.698	-1.303	-0.237	-1.888	-1.468	-1.135	0.15	0.285	-1.423
"YHL021C"	1.435	0.35	5.13	4.387	2.651	1.842	5.062	0.047	4.726	4.548	3.755	-0.71	3.904	0.536	-0.348	0.139	-1.959	-1.592	-0.844	-1.108	-0.929	6.428	4.596	3.722	6.624	4.847	4.725	-0.008	0.273	3.506
"YHR010W"	-1.401	0.498	-3.693	-3.281	-3.508	-4.514	-1.864	0.235	-3.343	-3.288	-3.007	-2.769	-4.159	-0.645	0.617	0.417	1.103	0.843	0.632	0.888	0.615	-3.363	-2.267	-2.283	-3.56	-2.961	-1.715	0.627	0.586	-1.73
"YHR081W"	-0.359	-0.088	-0.336	-0.244	0.688	-0.191	-0.802	0.508	-1.558	-1.065	-0.529	-0.916	-1.062	0.498	-0.163	-0.176	0.559	0.607	-0.156	0.162	-0.101	-0.634	-0.36	0.541	-1.005	-0.897	-0.008	0.085	-0.173	-0.54
"YHR107C"	0.279	0.015	-1.053	-0.584	-3.369	-2.898	-0.413	-0.154	-0.556	-0.632	-0.939	-1.036	-1.254	0.136	0.011	-0.126	-0.214	0.119	-0.326	-0.541	-0.294	-0.666	-0.853	-0.343	-0.53	-1.369	-0.176	0.187	0.275	-0.804
"YHR203C"	-2.357	0.32	-3.926	-2.827	-3.782	-5.944	-1.998	0.428	-3.917	-3.774	-3.412	-3.049	-4.669	-0.73	0.39	0.45	0.703	0.756	0.651	0.706	0.677	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	0.635	0.559	-2.05
"YIL052C"	-1.371	0.279	-3.856	-3.261	-2.895	-6.278	-1.912	0.384	-2.82	-2.793	-2.559	-2.622	-4.174	-0.616	0.491	0.076	0.959	0.79	0.798	0.99	0.881	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94	0.502	0.619	-1.331
"YJL177W"	-1.951	0.545	-4.132	-3.846	-3.255	-5.49	-1.729	0.255	-3.409	-3.772	-3.428	-3.164	-5.074	-0.779	0.391	0.33	1.053	0.641	0.728	0.694	0.689	-4.72	-4.004	-3.278	-4.54	-4.115	-3.056	0.899	0.691	-1.853
"YJL190C"	-1.982	0.515	-3.794	-3.553	-3.585	-6.079	-2.845	0.526	-3.969	-3.744	-3.536	-3.062	-4.469	-1.095	0.177	-0.081	1.306	0.948	0.839	0.961	0.783	-4.772	-3.912	-3.608	-4.874	-4.273	-3.311	0.696	0.495	-2.045
"YJR049C"	0.331	0.045	1.021	1.322	0.944	-1.016	0.403	-0.343	0.761	1.374	0.708	0.878	0.684	-0.078	-0.037	0.124	-0.209	-0.312	0.33	-0.194	-0.018	0.54	1.46	1.052	0.599	1.314	0.858	0.091	-0.131	0.389
"YJR123W"	-2.227	0.321	-3.844	-3.276	-4.381	-9.147	-1.536	0.169	-3.809	-3.529	-3.442	-3.646	-4.282	-0.79	0.165	0.373	1.02	0.695	0.789	0.801	0.616	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	1.017	0.993	-1.533
"YJR145C"	-2.239	0.392	-4.507	-3.488	-3.54	-6.528	-1.781	0.4	-3.551	-3.547	-3.597	-3.707	-4.857	-0.781	0.134	0.344	1.013	0.57	0.805	0.866	0.639	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	0.957	0.938	-1.724
"YKL005C"	-0.082	-0.348	1.133	0.308	2.794	0.446	0.428	-0.055	0.487	1.092	1.032	1.432	0.58	0.384	0.046	0.166	0.165	0.327	0.023	0.094	-0.11	1.403	1.504	1.252	1.28	1.064	0.604	0.278	0.14	0.933
"YKL056C"	-1.59	0.264	-3.205	-2.603	-3.426	-5.119	-1.392	0.031	-1.914	-2.359	-2.371	-2.389	-2.468	0.285	0.163	0.363	0.722	0.648	0.632	0.876	0.867	-1.781	-1.747	-1.084	-2.472	-2.233	-1.941	0.572	0.267	-0.479
"YKL099C"	-1.062	0.039	-4.145	-2.015	-1.671	-3.312	-2.094	0.061	-2.585	-1.842	-1.608	-2.099	-3.26	0.545	0.217	0.187	0.697	0.971	0.804	0.921	0.734	-1.88	-1.394	-0.125	-3.486	-1.59	-1.288	-0.154	-0.347	-1.472
"YKL172W"	-0.862	0.442	-4.354	-2.219	-2.813	-5.305	-2.106	0.27	-2.545	-1.257	-1.964	-1.426	-3.248	0.739	0.193	0.169	0.786	0.645	0.126	0.633	0.653	-2.694	-2.344	-1.554	-3.42	-2.734	-1.952	0.159	0.447	-1.029
"YLL008W"	-1.147	0.179	-5.659	-3.509	-2.899	-6.113	-1.333	-0.103	-2.364	-2.55	-1.847	-2.162	-3.473	0.022	0.212	0.142	0.585	0.404	0.686	0.865	0.4	-1.915	-1.563	-0.713	-3.042	-2.072	-1.554	-0.124	-0.068	-1.757
"YLL044W"	-2.041	0.51	-4.871	-3.525	-3.79	-6.48	-1.665	0.211	-3.313	-3.031	-3.269	-2.156	-3.872	-0.698	0.327	0.229	1.065	0.984	0.842	0.762	0.44	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	0.919	0.739	-2.417
"YLL045C"	-1.94	0.354	-3.851	-3.176	-3.857	-6.618	-1.489	0.755	-3.169	-3.335	-3.185	-2.744	-3.66	-1.14	0.243	-0.047	1.356	0.864	0.676	0.696	0.57	-3.449	-2.833	-2.875	-3.788	-3.87	-2.635	0.439	0.645	-2.053
"YLR002C"	-0.984	0.02	-3.541	-1.701	-3.154	-4.959	-1.829	0.483	-2.611	-1.589	-1.157	-1.015	-2.747	0.03	0.026	-0.26	0.835	0.405	-0.085	0.364	0.087	-1.828	-1.445	-1.159	-2.422	-2.55	-1.453	0.485	0.09	-1.166
"YLR061W"	-1.376	0.297	-4.925	-4.297	-4.939	-6.591	-1.703	0.373	-3.239	-3.818	-3.021	-3.058	-4.326	-0.54	0.518	0.144	1.066	0.447	0.736	0.712	0.608	-2.468	-2.246	-1.804	-4.004	-2.793	-2.94	0.736	0.578	-1.487
"YLR062C"	-1.641	0.667	-4.53	-4.418	-5.705	-6.896	-1.847	0.354	-3.6	-3.985	-3.965	-3.18	-4.96	-0.548	0.245	0.031	1.124	0.823	0.77	0.798	0.956	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	0.622	0.65	-1.905
"YLR075W"	-1.704	0.625	-4.356	-3.127	-1.991	-6.109	-1.197	0.139	-2.552	-2.46	-2.807	-2.616	-4.079	-0.302	0.172	0.338	1.143	0.681	0.951	0.9	0.59	-4.584	-2.951	-2.268	-4.051	-3.6	-2.245	0.699	0.759	-1.555
"YLR185W"	-1.36	0.368	-4.508	-3.498	-2.578	-5.928	-1.464	0.319	-2.94	-2.559	-2.616	-2.445	-4.019	-0.836	0.406	0.163	1.242	0.819	0.726	1.053	0.742	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	0.191	0.042	-1.832
"YLR196W"	-1.289	0.106	-5.083	-3.01	-4.437	-5.836	-2.001	0.249	-2.858	-2.859	-1.799	-1.477	-4.378	-0.407	0.333	0.252	0.766	0.517	0.513	0.434	0.298	-2.901	-2.83	-2.024	-3.658	-2.412	-1.969	-0.044	0.02	-2.247
"YLR222C"	-1.186	0.158	-4.423	-1.933	-3.721	-4.745	-1.818	0.459	-2.384	-2.21	-1.343	-1.64	-3.785	-0.329	0.277	0.292	0.485	0.823	-0.018	0.034	-0.182	0.423	-1.501	-1.111	-1.727	-1.391	-1.453	0.061	-0.263	-2.111
"YLR273C"	0.642	-0.122	1.003	0.513	0.483	-1.436	0.742	0.038	1.056	1.384	0.78	1.878	0.603	-0.05	-0.076	-0.025	0.059	-0.12	-0.139	0.204	0.087	0.169	0.459	0.718	0.485	-0.201	0.526	-0.084	0.065	0.719
"YLR325C"	-1.38	0.269	-4.528	-3.555	-2.337	-5.498	-1.454	0.623	-3.178	-3.753	-2.76	-3.039	-4.948	-0.621	0.102	0.215	1.006	0.654	0.652	0.978	0.742	-2.769	-2.034	-1.466	-2.866	-2.701	-2.834	0.87	0.58	-1.486
"YLR344W"	-1.354	0.488	-3.262	-2.447	-3.139	-4.414	-1.973	0.488	-3.245	-2.655	-2.639	-2.318	-3.619	-0.654	-0.001	-0.16	1.048	0.925	0.549	0.715	0.801	-3.46	-2.977	-2.583	-4.22	-3.608	-2.781	0.61	0.549	-1.789
"YLR372W"	-1.474	0.242	-4.565	-3.104	-2.731	-4.512	-2.755	-0.104	-3.069	-2.683	-2.643	2.656	-4.078	-0.236	0.168	0.321	0.979	1.028	0.487	0.333	0.815	-3.386	-2.674	-2.156	-3.936	-3.603	-2.623	0.3	0.154	-2.133
"YLR409C"	-1.006	0.054	-4.402	-2.709	-3.204	-4.211	-1.551	0.481	-2.308	-2.578	-1.928	-2.361	-2.708	-0.295	0.274	0.391	0.549	0.441	0.191	0.221	-0.171	-2.143	-1.648	-1.097	-3.231	-1.992	-1.204	0.341	0.085	-1.947
"YML009C"	0.656	-0.2035	1.5775	1.0965	0.017	-1.9665	-0.072	0.238	-0.187	0.103	-0.416	-0.545	0.7515	0.089	NaN	NaN	0.205	0.645	-0.012	0.0515	0.478	0.227	0.876	-0.1235	0.5425	0.6495	0.4445	-0.0235	0.1995	1.217
"YML036W"	-0.021	-0.011	-0.257	-0.747	-1.346	-1.252	-0.441	-0.205	-0.836	-0.939	-0.622	-1.332	0.007	0.169	NaN	NaN	0.152	0.049	-0.022	0.372	0.386	-0.679	-0.675	-0.86	-0.683	-0.738	-0.575	-0.341	-0.167	0.839
"YML093W"	-1.529	0.352	-4.947	-2.836	-2.962	-5.889	-1.661	0.28	-2.797	-2.437	-1.818	-1.659	-3.309	0.148	0.162	0.04	0.643	0.419	0.391	0.427	0.405	-2.999	-2.533	-2.258	-4.548	-2.489	-2.192	0.064	0.031	-1.661
"YMR064W"	-0.304	-0.326	NaN	0.747	0.368	-1.925	0.125	0.178	-0.187	-0.819	-0.117	-0.358	0.88	0.372	0.072	-0.184	0.34	-0.108	0.1	0.253	-0.029	0.031	0.277	0.331	1.063	0.766	0.126	0.021	0.162	-0.343
"YMR131C"	-1.4	0.271	-5.631	-3.641	-5.052	-6.665	-2.016	0.273	-3.547	-2.98	1.316	-3.081	-4.277	0.609	0.297	0.176	0.791	0.774	0.408	0.274	0.159	-1.412	-2.944	-2.054	-4.181	-2.68	-1.908	0.561	0.442	-2.03
"YMR242C"	-1.779	0.401	-4.702	-3.631	-3.971	-6.226	-2.004	0.574	-3.832	-4.338	-3.636	-3.62	-4.84	-0.486	0.362	0.212	0.993	0.76	0.63	0.919	0.874	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	0.801	0.706	-1.905
"YMR290C"	-1.864	0.218	-5.132	-3.842	-3.509	-5.217	-3.017	0.297	-3.243	-3.378	-2.625	-2.846	-4.614	0.284	0.191	-0.086	0.92	1.215	0.635	0.529	0.533	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	1.038	0.76	-2.21
"YMR304W"	0.692	0.239	0.918	0.875	-0.195	-2.4	0.248	0.063	0.327	0.523	0.491	-0.899	1.146	0.794	-0.087	-0.065	-0.346	-0.648	-0.45	-0.278	-0.489	0.687	0.176	0.45	1.106	0.716	0.481	0.17	0.076	1.317
"YNL001W"	0.13	0.203	-0.834	-1.185	-1.318	-3.241	-0.37	0.272	-0.89	-0.606	-0.717	-1.239	-0.996	0.447	-0.124	0.126	0.255	0.375	0.457	0.525	0.004	-0.858	-0.96	-0.981	-1.187	-0.754	-1.034	0.092	-0.103	-0.241
"YNL069C"	-2.057	0.723	-3.663	-3.006	-4.006	-4.824	-1.785	0.628	-3.44	-3.85	-3.199	0.46	-4.269	-0.851	-0.048	-0.005	1.188	0.803	0.608	0.703	0.638	-3.601	-3.131	-2.286	-3.741	-3.469	-3.02	0.418	0.203	-1.852
"YNL132W"	-2.429	0.23	-5.826	-3.389	-4.956	-6.392	-2.3	0.22	-3.285	-3.141	-2.521	-2.512	-4.353	-0.416	0.159	0.218	0.708	0.612	0.351	0.307	0.017	-2.994	-2.948	-2.325	-3.989	-2.673	-2.3	0.506	0.501	-2.269
"YNL162W"	-1.235	0.442	-3.953	-3.395	-2.858	-6.425	-1.564	0.239	-2.86	-2.872	-2.421	-2.763	-3.999	-0.604	-0.276	-0.348	1.117	1.0	0.404	0.931	0.462	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	0.692	0.503	-0.901
"YNL247W"	-0.894	0.225	-2.799	-1.535	-3.191	-4.64	-1.645	0.341	-2.34	-2.065	-2.13	-2.019	-2.936	-0.701	0.054	-0.026	0.603	0.771	0.182	-0.403	-0.034	-3.771	-2.246	-1.56	-2.994	-2.147	-1.583	0.085	0.141	-1.366
"YNL301C"	-1.87	0.548	-2.992	-2.551	-5.123	-6.272	-1.275	0.142	-2.943	-3.585	-3.098	-2.59	-3.466	-0.758	0.276	-0.054	0.977	0.876	0.776	0.774	0.875	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	0.292	0.216	-1.771
"YNL321W"	-0.035	-0.133	1.874	1.29	1.069	-1.602	0.262	-0.181	0.714	0.54	0.009	-0.091	1.009	0.496	0.096	0.084	0.211	0.207	-0.471	-1.446	-0.678	0.398	-0.488	-0.289	1.662	0.317	0.152	0.217	-0.624	-0.27
"YOR169C"	-0.9	0.021	-1.8345	-1.974	-1.656	-3.934	-0.8985	0.228	-2.193	-2.091	-2.0175	-2.0645	-2.535	0.232	0.35	0.321	0.3435	0.528	0.506	0.537	0.489	-0.9	-1.554	-1.323	-1.177	-1.065	-1.278	0.284	0.09	-0.541
"YOR234C"	-0.911	0.555	-4.006	-3.3605	-2.8745	-4.019	-1.9865	0.459	-2.7115	-2.657	-2.407	-2.3945	-3.657	-0.687	0.132	0.137	1.178	1.0035	0.764	0.8	0.686	-3.604	-2.922	-2.425	-4.032	-3.302	-2.445	0.741	0.395	-1.635
"YOR243C"	-1.273	0.204	-3.8055	-2.475	-3.3625	-4.3935	-2.119	0.447	-2.588	-2.1815	-1.6325	-2.414	-3.635	-0.253	0.211	0.308	0.6185	0.7605	0.396	0.229	0.028	-1.759	-1.808	-1.803	-2.825	-2.065	-1.562	-0.096	0.663	-1.862
"YOR309C"	-1.687	0.31	-6.798	-4.4185	-4.234	-6.859	-2.054	0.155	-3.709	-3.9105	-3.8235	-2.194	-5.839	0.093	0.27	0.297	0.367	0.3645	0.823	0.998	0.641	-2.543	-3.28	-1.503	-4.097	-3.518	-2.477	0.005	-0.053	-2.63
"YOR310C"	-1.494	0.492	-6.006	-3.92	-4.7765	-7.1385	-2.5655	0.234	-3.766	-3.585	-3.5415	-2.603	-5.777	-0.108	0.222	0.038	1.276	1.051	1.033	0.505	0.573	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	0.184	0.263	-3.033
"YOR361C"	-1.0055	0.0225	-1.94833333333333	-1.73166666666667	-2.869	-2.21	-0.806	0.296	-1.595	-0.816666666666667	-0.941666666666667	-2.198	-2.3735	-0.3375	0.435	0.037	0.461666666666667	0.207	0.204	-0.322	0.079	-3.164	-2.531	-2.216	-2.444	-2.215	-2.035	0.654	0.307	-1.63
"YPL044C"	-1.246	0.258	-4.1695	-2.458	-2.688	-4.2355	-2.6385	0.239	-3.256	-2.8325	-2.0175	-1.7795	-3.164	-0.46	0.081	-0.1	0.653	0.7395	0.054	0.313	0.194	-1.798	-2.545	-1.887	-2.954	-2.261	-0.951	0.348	-0.111	-0.232
"YPL079W"	-1.792	0.105	-4.616	-4.1965	-3.892	-6.4765	-1.7255	0.038	-3.085	-3.172	-3.0255	-3.112	-4.735	-0.698	0.055	-0.018	0.9955	0.555	0.853	0.858	0.582	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	0.848	0.809	-1.449
"YPL081W"	-1.27	0.188	-4.5065	-3.3595	-3.4025	-6.801	-1.7785	-0.007	-2.5355	-2.916	-2.428	-2.3315	-4.022	-1.025	-0.137	-0.302	1.001	0.3545	0.658	0.638	0.445	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	0.374	0.121	-1.902
"YPL143W"	-1.035	0.1765	-4.4445	-3.3605	-3.35	-5.0395	-2.2805	0.3435	-3.0685	-3.1305	-2.7815	-2.7985	-4.372	-0.629	0.23	0.045	0.984	1.105	0.67	0.936	0.831	-2.893	-2.234	-1.996	-3.13	-2.792	-2.506	0.787	0.706	-1.325
"YPL198W"	-1.605	0.2735	-4.269	-3.194	-4.3605	-6.879	-1.632	0.3955	-3.4825	-3.3185	-3.022	-2.766	-3.875	-0.849	0.136	-0.19	1.0615	1.086	0.739	0.573	0.617	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	0.7115	0.646	-2.0715
"YPL211W"	-1.554	0.1495	-5.5605	-3.5535	-4.4555	-5.029	-3.234	0.2755	-3.216	-3.3805	-3.046	-3.121	-4.129	0.38	0.24	0.211	1.187	1.007	0.682	0.724	0.94	-2.333	-2.347	-2.063	-3.981	-2.743	-1.72	0.586	0.264	-2.157
"YPL220W"	-2.045	0.4555	-3.389	-2.4215	-3.187	-6.1465	-1.554	0.513	-3.0375	-3.442	-3.3935	-2.852	-3.51	-0.424	0.082	0.039	1.324	1.163	0.674	0.632	0.434	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	0.518	0.273	-1.471
"YPL226W"	-1.6105	0.222333333333333	-4.86566666666667	-3.38066666666667	-3.95033333333333	-5.67966666666667	-2.84333333333333	0.252333333333333	-3.37333333333333	-2.503	-2.786	-2.922	-4.0095	0.0545	0.105	0.122	0.789333333333333	0.748	0.141	-0.328	0.139	-2.657	-3.519	-1.48	-3.811	-3.004	-2.748	0.433	0.121	-1.952
"YPL253C"	0.195	-0.2875	-0.9355	-0.9165	-0.769	NaN	-0.532	-0.266	-0.509	-0.2865	-0.478	-1.074	-0.424	0.506	0.069	0.052	-0.0015	0.2525	0.359	0.564	0.599	-1.54	-1.833	-1.361	-1.5775	-1.561	-1.1365	-0.082	0.6085	0.3125
"YPL273W"	-0.8795	0.093	-3.42133333333333	-2.60833333333333	-3.722	-5.69966666666667	-2.034	0.051	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	-2.8035	-0.192	0.151	0.326	0.744333333333333	0.771333333333333	0.544	0.332	0.101	-1.883	-1.961	-1.127	-3.012	-2.524	-2.277	0.266	0.149	-1.719
"YPR044C"	-1.31	0.169333333333333	-3.163	-2.92933333333333	-2.87	-4.76433333333333	-1.62633333333333	0.241333333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	-2.81333333333333	-3.0915	-0.7275	-0.319	-0.325	1.04333333333333	0.912	0.659	0.881	0.778	-2.586	-2.282	-1.954	-2.862	-2.352	-2.43	0.26	0.447	-0.749
"YPR102C"	-1.671	0.223	-3.521	-3.2315	-4.045	-6.451	-1.4375	0.0895	-3.5055	-4.118	-3.673	-3.277	-4.644	-0.524	0.326	0.372	0.7845	0.56	0.802	1.18	0.767	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	0.697	0.858	-1.558
"YPR110C"	-1.316	0.123	-5.7185	-3.423	-3.662	-6.318	-1.862	0.4215	-3.01	-3.296	-2.285	-2.0215	-3.88	0.141	0.352	0.334	0.767	0.475	0.634	0.278	0.5	-2.851	-1.853	-0.937	-3.882	-3.113	-2.597	0.539	0.389	-2.538
