	"514.2.5mM DTT 030 min"	"584.17 deg growth"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6344.DES460 + 0.02% MMS - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"8210.steady state 33 dec C"	"8235.dtt 480 min"	"11466.yO1 test hyb"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"30773.Pomona/Brown Sir3x red"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"
"YBR283C"	-0.251	-0.214	-0.531	-0.816	-1.137	-1.689	-3.351	-1.494	-1.617	-1.52	-1.4515	-1.437	-1.68	-1.8725	-2.0585	-0.0665	0.104	0.096	-0.554	0.118	0.213	-0.909	-0.856	0.129	0.446
"YBR288C"	-0.572	-0.341	-1.173	-0.889	-1.298	-2.229	-3.524	-0.833	-0.751	-1.088	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.2105	-0.129	-0.02	0.054	-0.194	-0.219	-0.958	-0.456	0.1	0.019
"YCL045C"	-0.4795	-0.9165	-0.949	-1.0965	-0.733	-3.044	-3.911	-1.4795	-1.516	-1.986	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.0683333333333333	0.008	0.0425	-0.217	0.346	0.1115	-0.7035	-0.3285	0.171	-0.221
"YCL055W"	-0.496	0.163	-0.446	-0.836	-0.072	-2.339	-3.011	-0.453	-0.287	-0.92	-0.518	-1.052	-1.1365	-1.924	-1.148	-0.1625	-0.188	0.076	0.295	-0.111	-0.251	-0.702	0.119	0.018	-0.245
"YCR090C"	0.192	-0.466	-1.291	-1.099	-1.417	-2.154	-3.547	-0.449	-0.587	-1.152	-0.809	-0.8085	-1.35	-1.5355	-1.325	-0.158	0.069	0.219	0.442	-0.147	-0.229	-0.871	-0.663	-0.05	-0.171
"YDL015C"	0.21	-0.868	-0.753	-0.774	-0.767	-2.047	-4.309	-1.316	-1.331	-1.697	-0.5175	-0.6435	-1.2485	-1.9455	-2.2355	-0.054	-0.073	0.594	0.367	0.125	0.353	-0.701	0.055	0.094	0.382
"YDL143W"	-0.464	-0.408	-0.807	-0.989	-1.472	-1.678	-3.716	-1.161	-1.388	-1.582	-1.56	-1.794	-2.612	-3.143	-2.716	-0.277	0.057	0.283	0.482	-0.064	-0.515	-1.646	-0.517	0.178	-0.141
"YDL236W"	-0.302	0.072	-1.298	-1.658	-1.4	-2.833	-3.958	-1.466	-1.861	-1.42	-1.037	-0.512	-1.408	-1.935	-0.875	-0.072	0.171	0.058	0.209	-0.325	0.036	-0.96	-0.241	0.183	0.231
"YDR023W"	-0.074	-0.785	-1.347	-2.164	-2.077	-2.907	-5.745	-1.116	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	-0.019	-0.076	0.024	-0.459	-0.069	-0.194	-2.091	-0.5	0.282	-0.523
"YDR098C"	0.586	-0.408	-0.455	-1.205	-0.434	-1.722	-3.797	-0.535	-0.94	-1.178	-1.53	-1.498	-1.355	-2.09	-2.226	0.063	0.238	-0.23	0.046	0.119	-0.366	-1.138	-0.431	0.129	-0.63
"YDR189W"	-0.699	-0.77	-0.822	-0.735	-0.956	-1.871	-2.842	-0.61	-0.824	-1.156	-0.693	-0.704	-1.597	-1.904	-2.063	-0.041	-0.195	0.053	0.203	0.443	-0.519	-0.9815	-0.3625	0.1835	-0.3175
"YDR212W"	-0.331	-0.438	-0.356	-0.521	-0.883	-1.862	-4.59	-1.157	-1.291	-1.382	-1.069	-1.229	-1.535	-1.828	-1.707	-0.03	0.04	0.284	0.379	0.305	-0.308	-0.7395	-0.5655	-0.008	0.298
"YDR341C"	-0.721	-0.857	-1.763	-1.574	-1.681	-3.212	-5.262	-2.171	-2.134	-2.218	-1.942	-2.263	-3.262	-3.294	-3.559	0.1	-0.167	0.023	0.61	0.197	0.002	-1.562	-1.397	0.213	0.576
"YDR365C"	-0.077	0.054	-1.21	-1.232	-1.094	-2.477	-4.269	-1.027	-1.205	-1.53	-1.457	-2.29	-2.877	-3.039	-3.298	0.047	-1.095	-0.192	0.619	-0.57	-0.679	-1.094	-0.589	-0.412	-0.686
"YDR399W"	-0.877	-0.911	-2.107	-1.323	-2.773	-3.073	-4.784	-1.311	-0.712	-1.653	-0.506	-1.041	-2.115	-2.216	-2.373	-0.101	-0.506	-0.062	0.435	-0.073	0.59	-1.693	-0.785	-0.051	0.158
"YDR410C"	-0.06	-0.419	-0.415	-0.817	-0.823	-1.222	-1.822	-0.614	-0.471	-1.1	-0.625	-0.577	-0.643	-1.073	-1.467	-0.202	0.047	-0.265	0.088	-0.216	0.108	-0.613	0.358	0.016	0.303
"YDR447C"	0.297	-0.446	-3.26	-2.507	-2.465	-3.659	-5.332	-3.565	-2.813	-3.129	-2.432	-2.817	-2.53	-2.625	-3.552	0.176	0.028	0.458	0.588	0.164	0.014	-2.1165	-0.9675	-0.285	0.237
"YDR454C"	0.096	-0.71	-0.938	-1.715	-1.528	-2.876	-4.275	-2.035	-2.414	-2.283	-1.608	-1.534	-1.835	-2.466	-2.28	0.129	0.287	-0.106	0.442	0.291	0.52	-1.702	-0.606	0.113	0.208
"YER009W"	0.219	-0.716	-0.827	-1.398	-0.688	-2.671	-4.765	-1.222	-2.143	-1.906	-1.407	-1.465	-2.034	-2.393	-2.025	-0.029	0.554	0.325	0.348	-0.309	0.25	-0.484	-0.0185	-0.173	0.254
"YER086W"	0.46	-0.514	-1.076	-1.236	-1.424	-3.61	-5.173	-2.152	-2.311	-2.028	-1.847	-1.837	-2.624	-2.882	-3.77	0.09	-0.054	0.098	-0.095	0.27	0.374	-0.886	-0.494	-0.133	0.824
"YER107C"	0.265	-0.624	-0.528	-0.901	-0.803	-1.533	-2.516	-0.555	-0.792	-1.097	-1.033	-0.424	-1.136	-1.224	-1.828	-0.046	-0.004	0.196	0.159	-0.222	-0.158	-0.656	-0.027	0.079	-0.303
"YFL037W"	-0.004	-0.893	-0.941	-2.235	-2.915	-3.125	-5.562	-1.354	-1.971	-1.476	-1.132	-1.914	-1.322	-2.034	-1.369	0.249	-0.002	0.013	-0.213	0.43	0.41	-0.947	-0.8045	-0.097	0.171
"YFL039C"	-0.173	-0.22	-0.727	-1.186	-1.097	-2.57	-3.733	-0.394	-1.117	-1.321	-0.479	-0.492	-1.583	-2.201	-2.764	0.14	0.401	0.174	0.015	-0.119	0.49	-0.53	0.511333333333333	0.0236666666666667	0.811
"YFR002W"	-0.2	-0.581	-0.074	-0.461	-0.567	-1.995	-7.825	-0.08	-0.818	-0.976	-0.587	-0.567	-1.556	-2.295	-2.746	-0.042	-0.326	-0.1	0.629	0.316	0.168	-0.007	-0.3185	-0.147	-0.4895
"YFR009W"	-0.431	-0.779	-1.513	-2.017	-1.914	-3.004	-4.932	-1.105	-1.586	-1.585	-2.089	-2.511	-3.291	-3.978	-4.281	-0.126	-0.285	0.072	0.556	0.436	-0.45	-0.923	0.0995	-0.083	-1.251
"YGL001C"	-0.319	-0.42	-0.912	-1.369	-1.474	-2.878	-4.137	-0.576	0.039	-0.673	-0.843	-1.195	-1.719	-2.358	-2.176	0.317	0.087	0.137	-0.043	-0.185	0.113	-1.066	-0.7495	0.002	0.041
"YGL016W"	-0.438	-1.262	-0.604	-1.474	-1.127	-3.034	-4.265	-1.245	-1.104	-1.391	-1.815	-1.608	-2.599	-3.554	-2.639	0.106	-0.233	0.126	-0.17	1.168	-0.113	-1.374	0.147	0.185	-0.501
"YGL105W"	-0.334	-0.88	-1.427	-1.362	-1.984	-3.587	-6.011	-1.069	-1.68	-1.068	-1.41	-1.635	-1.622	-1.876	-2.025	-0.409	0.131	0.307	0.285	0.117	-0.371	-1.57	-1.273	0.028	0.147
"YGL157W"	0.193	-0.573	-4.456	-3.853	-3.767	-3.578	-6.107	-1.996	-1.999	-2.143	-2.738	-2.628	-2.488	-2.817	-3.666	0.279	0.435	0.099	0.466	-0.202	-0.694	-2.632	0.505	-0.128	0.457
"YGL245W"	-0.675	-1.032	-1.579	-1.475	-2.145	-4.799	-6.655	-1.33	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	-0.194	0.046	0.202	0.14	0.657	-0.398	-1.658	-1.3635	0.257	-0.034
"YGR001C"	-0.15	-1.215	-0.631	-0.842	-0.607	-2.12	-3.271	-0.842	-0.824	-1.121	-0.879	-0.942	-1.426	-1.682	-2.24	-0.039	0.275	0.244	0.281	0.209	0.18	-0.542	-0.1325	-0.315	0.481
"YGR095C"	-0.176	-0.605	-0.841	-0.679	-0.359	-0.816	-3.157	-1.028	-0.924	-0.493	-0.514	-0.152	-0.322	-0.362	-1.176	0.108	-0.1	-0.1	0.425	-0.218	0.112	-0.227	0.163	0.033	-0.176
"YGR185C"	-1.484	-0.772	-1.31	-2.13	-2.168	-5.306	-6.361	-1.736	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	0.181	0.111	0.0675	0.14	0.193	0.116	-2.438	-0.813	0.247	0.482
"YGR229C"	-0.25	-0.181	-0.754	-1.164	-0.943	-2.847	-4.256	-1.1	-1.987	-1.316	-1.569	-1.658	-2.401	-2.58	-3.391	0.076	-0.47	-0.2585	0.4835	-0.157	-0.389	-1.347	-0.512	0.164	-0.347
"YGR285C"	0.649	-0.88	-1.794	-1.645	-1.67	-4.078	-6.1	-1.332	-1.877	-1.393	-2.557	-2.811	-3.452	-4.07	-4.065	0.15	-0.051	-0.0025	0.286	-0.043	0.269	-2.068	-0.213	0.188	-0.437
"YHR013C"	0.087	-0.858	-1.166	-1.491	-2.469	-1.576	-3.226	-1.476	-1.55	-1.753	-1.73	-1.411	-2.229	-2.475	-3.122	-0.305	0.255	0.0185	0.324	0.035	-0.233	-1.208	-0.766	0.101	-0.183
"YHR042W"	-0.818	-0.668	-0.737	-1.128	-1.322	-2.228	-4.647	-1.459	-1.35	-1.381	-1.325	-1.914	-1.986	-1.732	-1.698	-0.009	0.007	-0.105	-0.112	0.313	0.592	-1.098	-0.263	0.096	0.238
"YHR056C"	0.358	-0.598	1.129	1.627	1.112	0.802	-2.044	0.597	0.105	0.62	0.925	1.354	0.0	0.444	0.827	0.247	-0.02	-0.154	-0.092	0.493	0.443	0.004	-0.119	0.113	-0.244
"YHR108W"	-0.528	-0.745	-1.238	-1.418	-1.911	-2.982	-5.02	-1.382	-1.712	-1.923	-0.773	-1.359	-1.661	-2.122	-1.381	-0.129	0.049	0.0915	-0.038	0.295	-0.258	-1.538	-0.165	0.261	0.421
"YHR121W"	-0.535	-0.534	-0.45	-0.695	-0.217	-1.976	-4.718	-0.528	-0.94	-0.899	-0.644	-0.886	-1.573	-1.881	-1.852	0.063	0.172	0.0965	0.392	0.045	-0.142	-0.878	-0.231	0.028	-0.043
"YHR133C"	-0.374	-0.661	-1.163	-1.453	-1.561	-1.885	-3.501	-1.708	-1.622	-0.998	-1.703	-1.806	-1.64	-1.82	-2.45	-0.043	-0.039	0.1275	0.0695	-0.234	0.3	-0.395	-0.144	-0.207	0.394
"YHR216W"	-1.224	-0.076	-1.201	-1.128	-2.045	-3.15	-4.943	-2.914	-3.038	-2.589	-2.088	-2.767	-2.237	-2.621	-2.913	0.163	0.019	0.1095	0.014	-0.095	-0.413	-1.783	-0.649	0.132	0.497
"YIL078W"	0.083	-0.692	-2.219	-2.498	-1.911	-5.192	-6.059	-2.288	-2.5	-2.462	-2.436	-3.226	-4.41	-4.902	-4.944	0.141	0.061	0.1345	0.529	0.108	-0.356	-2.348	-0.572	0.351	0.195
"YIL118W"	-0.964	-0.323	-1.014	-1.58	-0.886	-2.382	-3.881	-1.102	-1.285	-1.695	-1.132	-1.172	-1.281	-1.819	-1.622	-0.116	0.141	-0.2705	0.5325	-0.083	0.475	-1.77	-0.298	0.101	-0.204
"YIR008C"	-0.371	-1.015	-0.767	-0.527	-1.322	-1.783	-4.516	-0.814	0.212	-0.541	-0.406	-0.757	-1.266	-1.362	-1.205	-0.049	0.124	0.312	0.343	0.411	-0.199	-0.433	-0.531	-0.23	-0.102
"YJL002C"	-0.31	-0.583	-1.454	-1.243	-1.658	-2.469	-4.487	-1.141	-1.766	-0.803	-0.942	-1.17	-1.748	-2.556	-2.618	-0.075	0.006	0.138	-0.044	-0.012	0.104	-1.272	-0.276	0.285	0.375
"YJL014W"	-0.529	-0.339	-1.283	-1.494	-1.383	-2.624	-3.962	-1.866	-1.425	-1.317	-1.558	-1.58	-2.252	-3.068	-2.866	0.045	0.2	0.1285	0.4305	-0.014	-0.479	-1.31	-0.849	0.223	0.256
"YJL138C"	-0.212	-0.133	-1.167	-1.195	-1.358	-3.125	-5.625	-2.285	-1.674	-1.959	-1.763	-2.049	-2.542	-2.785	-3.522	0.058	0.176	0.136	0.084	0.327	0.195	-1.828	-0.738	0.344	0.6
"YJL157C"	-1.652	-0.752	-1.634	-1.708	-0.962	-3.548	-7.731	-1.403	-2.54	-2.599	-1.008	-2.535	-3.198	-3.396	-3.219	0.018	-0.926	-0.0515	0.0705	0.268	0.31	-1.339	-0.549	-0.261	-0.243
"YJL183W"	-0.528	-0.661	-2.032	-2.434	-1.944	-2.097	-4.986	-1.218	-1.21	-1.424	-1.436	-1.333	-1.66	-2.208	-2.121	0.247	-0.195	0.0265	0.106	0.0	0.137	-1.239	-0.77	-0.071	0.065
"YJL188C"	0.164	0.012	-1.864	-1.323	-1.808	-2.786	-4.633	-2.745	-2.519	-1.879	-1.885	-1.929	-2.169	-2.54	-2.776	0.017	0.615	0.2065	0.5105	-0.031	0.057	-1.525	-0.927	0.024	0.119
"YJL189W"	-0.051	-0.146	-2.282	-1.647	-1.644	-2.901	-4.28	-2.278	-1.716	-1.833	-1.78	-2.141	-1.577	-2.282	-2.837	-0.058	0.28	0.1395	0.127	-0.326	-0.013	-1.034	-0.892	-0.775	-0.024
"YJR007W"	0.055	-0.201	-2.107	-1.68	-2.662	-3.21	-8.057	-1.339	-1.824	-1.91	-1.848	-2.051	-2.909	-3.009	-3.616	-0.054	0.074	0.099	0.5135	-0.113	0.088	-1.685	-0.524	-0.02	0.403
"YJR075W"	0.02	-0.728	-0.797	-0.396	-0.201	-0.692	-3.095	-0.937	-1.202	0.569	-0.32	-0.224	-0.596	-1.074	-1.01	-0.156	0.128	-0.008	0.28	0.145	0.083	-0.534	0.157	0.123	0.055
"YJR118C"	0.86	-0.555	-0.361	-0.394	-0.61	-1.327	-2.497	1.02	-0.854	-1.223	-0.598	-0.53	-0.882	-1.108	-1.366	-0.172	0.169	0.0045	0.0855	-0.171	-0.166	-0.594	-0.536	-0.605	0.039
"YJR139C"	0.26	-0.668	-1.072	-1.226	-0.736	-2.333	-4.462	-0.816	-1.32	-1.529	-0.762	-1.269	-1.914	-2.388	-2.051	0.025	0.077	0.25	0.3345	-0.281	0.276	-1.02	-0.365	0.189	-0.341
"YKL056C"	0.13	-0.109	-2.355	-1.541	-1.771	-3.426	-5.119	-2.359	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	0.072	0.235	0.2585	0.4675	-0.435	0.385	-1.777	-0.741	0.125	0.734
"YKL127W"	-0.527	-0.812	-1.191	-2.564	-1.474	-3.89	-5.619	-1.132	-1.708	-1.963	-0.069	-1.171	-1.956	-2.206	-1.858	-0.364	0.001	0.098	0.083	0.194	-0.117	-1.461	-0.168	0.159	-0.731
"YKL152C"	1.225	-0.583	0.234	0.058	-0.785	-3.152	-4.943	-1.083	-2.237	-1.871	0.348	-0.245	-1.713	-1.83	-2.83	-0.235	0.532	0.208	0.397	0.073	-0.335	-0.203	0.947	0.135	-0.031
"YKL153W"	0.823	-0.734	-0.929	-0.669	-0.956	-3.54	-5.051	-1.751	-2.882	-2.267	0.359	-0.755	-1.986	-2.039	-2.818	0.273	0.488	0.295	0.422	-0.345	-0.387	-0.232	0.518	0.244	0.007
"YKL212W"	-0.216	-0.775	-0.845	-1.247	-1.079	-3.014	-4.806	-1.065	-1.651	-1.64	-1.656	-1.598	-2.516	-2.929	-3.374	-0.068	0.113	-0.31	0.447	0.269	-0.501	-1.089	-0.526	0.215	0.528
"YKR016W"	-0.142	-0.912	0.781	0.657	0.23	-1.418	-3.229	1.295	0.893	0.919	0.482	0.043	-1.089	-1.107	-1.686	-0.013	0.114	0.321	0.476	0.007	-0.285	0.44	-0.046	0.295	0.253
"YKR059W"	0.324	-0.106	-1.181	-1.543	-1.54	-2.817	-4.998	-2.103	-2.531	-2.238	-1.844	-2.106	-2.623	-2.96	-3.568	0.062	0.223	-0.226	0.039	0.418	0.287	-1.996	-0.903	0.219	0.555
"YLR043C"	0.256	-0.769	-0.966	-0.905	-0.666	-2.278	-4.337	-1.218	-1.648	-1.81	-0.434	-0.671	-1.762	-1.786	-1.552	0.073	0.279	0.193	0.378	-0.231	0.059	-0.831	-1.349	-0.342	-0.043
"YLR045C"	-0.355	-1.236	-0.605	-1.363	-0.299	-1.804	-2.728	-0.988	-1.052	-0.794	-1.092	-1.01	-1.829	-1.751	-2.74	-0.077	-0.878	0.04	0.455	0.363	-0.263	-0.728	0.386	-0.044	-0.128
"YLR060W"	-0.274	-0.895	-2.296	-2.499	-2.849	-4.941	-5.967	-1.988	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	-0.212	0.233	0.076	0.462	0.194	0.013	-2.464	-1.071	0.239	-0.003
"YLR101C"	0.034	-0.606	-0.823	-1.233	-1.344	-2.239	-3.161	-0.075	-0.811	-1.629	-1.073	-1.203	-1.911	-2.069	-2.518	0.068	0.042	-0.041	0.147	-0.294	0.211	-1.499	0.019	0.0	0.145
"YLR192C"	0.756	-0.357	-1.243	-1.651	-1.665	-2.456	-4.349	-1.581	-1.867	-1.0	-2.008	-1.414	-1.566	-2.165	-2.147	-0.082	0.241	0.347	0.325	0.166	-0.191	-1.922	-0.495	0.183	0.081
"YLR249W"	NaN	-0.47	-3.482	-3.403	-3.637	-4.146	-6.742	-4.141	-3.557	-3.199	-3.131	-3.778	-3.883	-4.549	-4.992	0.257	-0.328	-1.1	0.034	0.419	0.4	-3.421	-0.336	0.414	0.968
"YLR293C"	-0.22	-0.42	-2.565	-2.207	-2.675	-3.488	-6.281	-1.751	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	0.516	0.168	0.094	0.277	0.271	-2.235	-0.642	0.092	0.477
"YLR301W"	0.204	-1.465	-1.91	-1.953	-1.84	-3.676	-5.415	-1.429	-1.605	-2.439	-0.925	-1.325	-2.581	-2.218	-2.268	0.196	0.124	-0.102	0.544	0.264	-0.355	-1.83	-0.044	0.093	-0.161
"YLR314C"	0.027	-0.822	-0.859	-1.783	-1.658	-2.218	-5.585	-0.846	-1.368	-1.023	-2.505	-2.761	-2.906	-3.447	-3.937	-0.075	-0.136	0.203	0.261	0.353	-0.518	-1.17	-0.384	0.008	-0.339
"YLR432W"	-0.412	-0.141	-1.536	-1.818	-2.129	-3.532	-5.65	-2.49	-3.15	-3.001	-1.997	-2.641	-1.934	-2.482	-3.034	0.228	-0.05	0.104	0.037	-0.049	-0.129	-1.904	-0.517	0.244	0.464
"YLR448W"	-0.493	-0.601	-3.083	-2.052	-2.688	-3.552	-5.971	-3.454	-3.179	-2.573	-2.521	-2.621	-2.668	-3.192	-4.132	0.011	0.262	0.184	0.344	0.007	0.363	-2.337	-0.072	-0.053	0.15
"YML073C"	0.188	-0.173	-2.182	-1.884	-2.135	-3.862	-6.033	-3.371	-3.087	-2.501	-2.561	-2.549	-2.401	-2.624	-3.718	0.02	0.457	-0.28	0.351	-0.044	0.448	-1.975	-1.072	0.121	0.078
"YMR033W"	-0.349	-0.043	-1.084	-1.434	-1.22	-3.063	-4.454	-1.054	-1.514	-1.984	-1.244	-1.469	-1.745	-1.826	-1.988	-0.266	-0.134	0.071	0.392	-0.171	-0.198	-1.013	-0.563	0.141	0.154
"YMR079W"	0.104	-0.304	-0.978	-1.001	-0.492	-2.074	-3.648	-1.512	-1.837	-1.777	-1.258	-1.294	-1.666	-1.971	-2.855	0.177	-0.013	-0.031	-0.081	-0.186	0.005	-0.719	0.258	0.11	-0.145
"YMR135C"	-0.207	-1.014	1.938	1.278	1.394	2.425	4.053	1.437	2.04	1.747	0.733	1.325	2.843	3.141	3.078	-0.116	0.383	-0.203	-0.222	0.225	0.0	0.918	0.565	0.232	-0.032
"YMR220W"	-0.976	-1.374	-1.413	-0.681	-0.969	-1.869	-3.12	-0.506	-0.905	-1.473	-0.492	-0.881	-1.468	-2.008	-1.728	0.131	-0.119	-0.08	0.17	0.299	0.008	-0.883	-0.305	0.1755	-0.032
"YMR229C"	-0.6855	-0.64	-2.743	-2.443	-2.304	-4.4055	-5.288	-2.1435	-2.161	-2.184	-2.897	-2.0525	-3.7195	-3.685	-3.93	0.0125	-0.906	-0.017	0.6265	1.5415	-0.216	-1.93833333333333	-0.629	0.186666666666667	0.7355
"YMR235C"	-0.578	-0.508	-1.493	-1.783	-1.785	-3.534	-5.187	-1.883	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.196	0.031	-0.11	0.823	0.22	-0.087	-1.782	-0.57	0.1645	0.224
"YNL096C"	-0.369	-0.58	-3.235	-2.81	-3.616	-4.038	-6.106	-3.045	-2.761	-3.165	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	0.135	0.169	0.252	-0.197	-0.115	-2.8625	-0.285	0.112	-0.169
"YNL108C"	-0.216	-0.539	-1.605	-1.725	-0.913	-1.109	-2.286	-1.007	-0.687	-0.659	-0.932	-0.483	-1.0	-1.607	-2.272	0.121	0.111	0.172	0.07	-0.315	-0.452	-1.5825	-0.516	0.13	0.013
"YNL247W"	0.286	-0.686	-1.064	-1.822	-1.928	-3.191	-4.64	-2.065	-2.13	-2.019	-1.899	-2.277	-2.658	-3.388	-2.515	-0.061	-0.179	-0.394	0.569	0.787	-0.109	-1.655	-0.626	0.108	0.345
"YNL261W"	0.09	-0.5	-0.95	-0.733	-0.714	-1.862	-4.047	-0.927	-0.654	-0.489	-0.411	-0.227	-1.285	-1.715	-1.269	-0.077	0.133	NaN	-0.193	0.051	0.601	-0.583	0.351	-0.108	0.384
"YNL320W"	-0.177	-0.553	-0.807	-1.349	-0.885	-2.678	-4.0	-1.329	-0.93	-1.477	-0.735	-0.44	-1.665	-1.971	-1.215	-0.249	0.008	0.127	0.139	-0.182	0.027	-0.666	0.049	-0.176	-0.033
"YOR157C"	-0.297	-0.435	-1.1705	-0.915	-1.0225	-1.899	-4.5095	-0.8625	-1.5025	-1.958	-0.204	-0.073	-1.14	-2.012	-1.966	-0.167	0.431	0.389	0.224	-0.365	0.103	-0.647	0.185	0.055	-0.306
"YOR164C"	0.019	-0.496	-0.568	-0.779	-0.894	-2.555	-4.0095	-0.972	-1.1575	0.5865	-0.909	-1.072	-1.603	-1.956	-2.107	0.197	0.282	0.001	0.286	0.174	-0.204	-0.949	-0.324	0.228	0.241
"YOR198C"	0.234	-0.466	-1.3675	-1.6725	-1.933	-4.452	-5.562	-1.185	-1.262	-0.9675	-2.3	-2.828	-4.384	-4.657	-4.415	0.253	-0.259	0.182	0.634	0.2445	-0.8345	-2.297	-0.442	0.23	0.158
