	"812.1M sorbitol - 45 min (* centrifugation problem)"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"
"YER070W"	-0.301	-3.252	-3.737	-2.108	-3.09	-2.84	-2.667	-2.624	-1.289	-2.288	-2.637	-3.229	-3.359	0.731	0.229	0.912	0.789	0.808	0.909	-2.798	-1.897	-1.946	-2.811	-1.26	-0.226
"YER086W"	0.06	-3.61	-5.173	-1.019	-2.869	-2.152	-2.311	-2.028	-1.847	-1.837	-2.624	-2.882	-3.77	0.09	0.098	-0.112	-0.176	-0.063	-0.313	-1.525	-1.165	-1.551	-1.269	-0.297	-0.283
"YER0871C"	0.061	-1.766	-2.794	-0.68	-1.328	-1.315	-0.865	-1.296	-0.831	-0.909	-0.894	-1.329	-1.317	0.087	0.241	-0.132	-0.157	-0.278	-0.174	-1.327	-1.01	-0.922	-0.535	-0.375	-0.523
"YER090W"	0.178	-3.804	-5.004	-0.481	-2.439	-2.138	-1.889	-1.861	-1.078	-1.311	-2.327	-2.585	-3.495	-0.122	0.039	0.648	0.825	0.441	0.51	-1.379	-1.614	-1.388	-1.713	0.246	0.401
"YFL039C"	0.259	-2.57	-3.733	0.279	-0.271	-0.394	-1.117	-1.321	-0.479	-0.492	-1.583	-2.201	-2.764	0.14	0.174	0.28	0.192	0.195	0.405	-1.275	-0.796	-0.828	-0.783	-0.202	-0.172
"YFR009W"	-0.042	-3.004	-4.932	-0.087	-0.398	-1.105	-1.586	-1.585	-2.089	-2.511	-3.291	-3.978	-4.281	-0.126	0.072	0.475	0.471	0.379	0.323	-1.896	-2.023	-2.107	-1.742	0.078	0.228
"YGL008C"	-0.139	-4.675	-3.936	-1.036	-2.24	-1.603	-2.171	-1.681	-1.748	-2.348	-4.203	-4.969	-4.679	0.025	0.121	-0.311	-0.567	-0.289	-0.153	-1.503	-2.154	-3.01	-3.331	-0.815	-0.966
"YGL022W"	-0.254	-3.396	-4.268	-0.464	-1.163	-0.993	-1.595	-1.742	-0.687	-0.699	-1.211	-1.242	-2.176	0.414	-0.219	-0.119	-0.145	-0.059	-0.036	-1.423	-1.204	-1.563	-0.698	-0.58	-0.354
"YGL067W"	0.003	-3.029	-2.893	-0.457	-1.309	-1.366	-1.274	-1.53	-1.044	-1.214	-1.327	-1.617	-2.053	0.119	0.037	0.07	0.293	0.055	0.227	-1.328	-1.144	-1.455	-1.112	-0.234	-0.172
"YGL070C"	-0.125	-2.467	-2.68	-0.198	-0.7	-0.353	-0.634	-1.046	-1.464	-1.279	-1.49	-1.492	-1.918	0.052	0.065	0.149	0.096	0.089	0.01	-1.036	-0.693	-1.028	-0.741	0.079	-0.106
"YGL077C"	0.151	-3.716	-3.533	0.055	-0.962	-0.99	-1.313	-1.711	-1.683	-1.693	-2.529	-2.903	-2.463	0.431	-0.01	-0.708	-0.634	-0.648	-0.256	-0.59	-0.705	-1.044	-1.348	-0.336	-0.422
"YGL083W"	-0.189	-1.192	-1.642	-0.111	-0.437	-0.032	0.466	-0.798	-0.507	-0.523	-1.241	-1.325	-1.27	0.03	-0.02	-0.024	-0.132	-0.34	-0.173	-0.111	-0.608	-0.463	-0.987	0.085	0.145
"YGL200C"	-0.178	-2.687	-3.963	-0.297	-0.993	-1.213	-1.374	-0.999	-0.813	-0.668	-1.049	-1.435	-1.681	0.318	-0.265	0.149	0.025	0.118	0.321	-1.518	-1.177	-1.474	-0.965	-0.336	-0.379
"YGL213C"	-0.188	-3.409	-3.301	-0.191	-1.013	-0.983	-0.589	-1.865	-1.003	-1.224	-1.708	-2.07	-2.079	-0.073	0.161	0.26	0.189	0.025	0.216	-1.292	-1.2	-1.11	-1.074	0.097	0.132
"YGL245W"	-0.519	-4.799	-6.655	-0.334	-1.774	-1.33	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	-0.194	0.202	-0.078	-0.206	-0.278	-0.321	-1.18	-1.236	-1.439	-1.16	0.06	0.168
"YGR185C"	-0.308	-5.306	-6.361	-0.6	-1.442	-1.736	-2.6	-2.266	-2.531	-2.944	-4.576	-4.871	-5.006	0.181	0.0675	0.296	0.282	0.055	-0.017	-2.21	-2.316	-2.459	-2.363	-0.288	-0.192
"YGR189C"	0.593	-2.638	-4.894	-1.236	-1.24	-1.054	-2.342	-2.168	-0.377	-0.919	-2.106	-2.635	-2.874	0.48	0.215	-0.228	-0.253	-0.072	-0.036	-1.716	-1.665	-1.411	-1.919	-1.049	-0.506
"YGR195W"	0.095	-2.179	-3.999	-0.699	-1.242	-0.598	-0.971	-1.268	-0.914	-0.934	-1.872	-1.878	-1.911	-0.012	0.0195	0.465	0.492	0.482	0.276	-0.897	-0.341	-0.896	-0.507	-0.212	-0.099
"YGR199W"	0.023	-1.35	-2.439	0.234	-0.319	-0.097	-0.835	-0.822	-0.153	0.08	-1.2	-1.04	-1.731	0.197	0.0805	-0.117	0.021	0.029	0.078	-1.069	-0.396	-0.628	-0.266	-0.004	-0.028
"YGR229C"	-0.369	-2.847	-4.256	-0.338	-1.104	-1.1	-1.987	-1.316	-1.569	-1.658	-2.401	-2.58	-3.391	0.076	-0.2585	0.27	0.291	0.209	0.133	-1.255	-1.085	-1.061	-1.016	0.104	0.377
"YHL003C"	0.126	-2.186	-3.084	-0.518	-0.746	-0.691	-1.135	-1.164	-0.886	-0.883	-1.585	-1.707	-1.741	-0.067	-0.1445	0.251	0.128	0.424	0.334	-0.996	-0.937	-1.427	-1.005	-0.485	-0.297
"YHR019C"	-0.381	-4.051	-5.077	-1.413	-3.299	-2.825	-2.664	-2.76	-2.109	-2.06	-3.117	-3.721	-4.387	0.071	0.0315	-0.279	-0.374	-0.334	-0.497	-2.505	-2.098	-2.32	-2.222	-0.868	-0.782
"YHR098C"	0.3305	-2.065	-3.065	-0.0335	-0.7985	-1.1425	-1.159	-1.2865	-1.2075	-1.218	-1.917	-1.925	-2.553	-0.289	0.118666666666667	-0.09	-0.0495	-0.102	-0.095	-1.5435	-1.1335	-1.146	-1.652	-0.2715	-0.3105
"YHR123W"	0.006	-3.763	-4.132	-0.078	-1.118	-1.492	-1.439	-2.046	-1.965	-2.024	-2.917	-2.775	-2.647	0.254	0.0655	0.242	0.07	0.1	0.258	-1.226	-1.226	-1.605	-1.119	-0.303	-0.642
"YHR208W"	-0.457	-3.12	-4.064	0.163	-2.446	-2.137	-1.934	-1.898	-1.232	-1.339	-2.263	-2.683	-2.939	-0.359	0.044	-0.304	-0.125	-0.427	-0.446	-1.888	-1.355	-1.943	-1.719	1.837	0.113
"YIL078W"	-0.192	-5.192	-6.059	-1.516	-2.282	-2.288	-2.5	-2.462	-2.436	-3.226	-4.41	-4.902	-4.944	0.141	0.1345	0.095	0.133	-0.002	-0.013	-2.573	-2.57	-2.6	-2.341	-0.463	-0.622
"YJL102W"	0.101	1.633	1.726	0.409	1.293	1.691	1.226	-0.324	1.06	1.082	1.106	1.627	1.54	-0.524	-0.0615	0.58	0.762	0.511	0.274	0.672	0.952	1.162	1.236	0.786	0.588
"YJL157C"	-0.312	-3.548	-7.731	0.36	-2.404	-1.403	-2.54	-2.599	-1.008	-2.535	-3.198	-3.396	-3.219	0.018	-0.0515	-0.328	-0.621	-0.91	-0.692	-1.482	-2.1	-2.112	-2.546	0.574	0.511
"YJL166W"	0.613	3.849	3.041	1.054	2.57	2.339	2.197	2.526	2.507	2.963	3.264	3.664	3.32	0.021	0.3455	-0.569	-0.759	-0.617	-0.422	1.203	0.888	0.837	1.48	0.559	0.108
