	"404.W303a vs GZY29-3b"	"407.heat shock 33 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"976.wt_plus_gamma_5_min"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1253.mec1_plus_gamma_45_min"	"1313.diauxic shift timecourse: 20.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6685.trr - 0.3 mM H2O2 - 10 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YER049W"	-0.325	-0.945	-1.263	-1.607	-2.916	-2.05	-1.562	-2.16	-1.746	-3.769	-4.541	-2.359	-2.226	-0.962	-1.396	-1.652	-0.706	-3.216	-1.832	-2.135	-2.046	-2.64	-3.518	-2.735	0.269	-1.326	-0.898	-1.051	-1.249	-0.954	-1.47	-1.0	-1.172	-1.33	-1.731	-1.734	-0.008	-0.708	0.769	0.064	-0.134	0.203	-0.11
"YER086W"	0.706	-0.865	-1.018	-1.348	-3.714	-1.791	-1.076	-1.236	-1.424	-3.61	-5.173	-2.869	-2.152	-2.311	-2.028	-1.055	0.995	-2.719	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	-0.119	-1.308	-0.524	-0.673	-1.645	-1.359	-0.886	-1.351	-1.525	-1.165	-1.551	-1.269	-0.17	-0.16	-0.702	-0.807	-0.018	-0.463	-0.489
"YER102W"	-0.348	-0.572	-0.484	-1.067	-3.932	-3.965	-2.924	-2.3	-2.578	-3.64	-6.434	-3.101	-3.625	-3.37	-3.204	-0.315	-0.022	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	-0.115	0.327	-0.393	-0.424	-2.051	-1.777	-2.388	-3.067	-2.133	-1.446	-1.328	-1.097	-2.304	-2.019	-1.219	-0.529	-3.324	-0.449	-1.068
"YER117W"	0.101	-0.166	-0.677	-0.947	-2.982	-2.613	-1.817	-2.008	-1.95	-2.832	-5.642	-3.05	-3.141	-2.843	-2.483	-0.388	0.159	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.41	-1.783	-0.14	-0.328	-1.753	-0.888	-1.876	-2.734	-1.852	-1.51	-1.633	-0.96	-1.8655	-1.552	-0.5055	-1.0325	-3.319	-1.079	-1.662
"YFR009W"	-0.082	-0.183	-0.052	-0.53	-0.973	-1.89	-1.513	-2.017	-1.914	-3.004	-4.932	-0.398	-1.105	-1.586	-1.585	-0.285	-0.409	-1.488	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	0.417	-0.386	-0.037	-0.015	-0.571	-0.908	-0.923	-1.049	-1.896	-2.023	-2.107	-1.742	-0.314	-0.414	-0.186	-0.338	-0.212	-0.885	-0.204
"YGL016W"	0.446	-0.332	-1.22	-1.641	-1.929	-0.664	-0.604	-1.474	-1.127	-3.034	-4.265	-1.563	-1.245	-1.104	-1.391	-0.37	0.419	-1.719	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.156	-0.697	-0.258	-0.298	-1.235	-0.258	-1.374	-1.153	-1.867	-1.969	-2.353	-2.219	-0.551	-0.401	-0.376	0.352	-0.024	-0.427	-0.093
"YGR083C"	-0.198	-0.855	-1.112	-1.266	-2.133	-1.321	-0.914	-0.971	-0.569	-1.845	-4.599	-1.304	-1.21	-1.183	-0.979	-0.714	-0.597	-2.175	-1.198	-1.409	-1.27	-2.544	-2.794	-3.226	0.37	-0.952	-0.474	-0.098	-0.484	-0.961	-2.013	-0.852	-1.236	-0.928	-0.87	-1.235	-0.6895	-0.663	0.4315	0.2405	-0.4565	0.036	-0.4075
"YGR085C"	0.362	-0.792	-0.735	-0.951	-3.713	-3.301	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	-0.44	-0.298	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.32	-1.8	-0.3	-0.212	-1.815	-1.825	-2.156	-2.722	-2.078	-1.442	-1.73	-1.234	-1.935	-1.57	-0.464	-1.495	-4.004	-0.425	-1.15
"YGR185C"	-0.1785	-0.835	-0.8365	-0.5585	-3.192	-1.697	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-0.376	0.431	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.085	-1.223	-0.175	-0.072	-0.9955	-0.516	-2.438	-1.116	-2.21	-2.316	-2.459	-2.363	-1.209	-1.367	0.177	-0.437	-3.17	-1.479	-1.71
"YGR229C"	-0.196	0.195	-0.5795	-0.6295	-0.832	-0.57	-0.754	-1.164	-0.943	-2.847	-4.256	-1.104	-1.1	-1.987	-1.316	-0.251	0.233	-1.823	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	0.183	-0.597	0.025	0.286	-0.5415	-0.616	-1.347	-0.694	-1.255	-1.085	-1.061	-1.016	0.241	0.014	0.917	-0.319	-0.391	-0.978	-1.283
"YGR264C"	-0.6635	-1.142	-1.0905	-1.745	-3.787	-2.696	-3.156	-2.945	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-3.49	-1.121	-0.605	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-0.304	-1.778	-0.863	-0.77	-1.1595	-1.49	-2.468	-2.274	-2.246	-2.287	-2.376	-2.353	-1.865	-1.891	-1.809	-0.852	-3.556	-1.585	-2.462
"YGR285C"	-0.4395	-1.1715	-1.4185	-1.3815	-3.959	-2.444	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-1.393	-0.503	-0.734	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-0.17	-1.56	-0.283	-0.178	-1.4295	-1.274	-2.068	-1.682	-2.035	-2.466	-2.483	-3.514	-1.031	-1.344	-0.683	0.231	-2.948	-0.88	-1.688
"YHR019C"	0.2915	-0.599	-0.907	-1.1855	-2.949	-1.631	-1.467	-1.831	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-2.76	-0.447	0.409	-2.07	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	-0.085	-1.183	-0.24	-0.543	-1.678	-1.51	-1.834	-2.529	-2.505	-2.098	-2.32	-2.222	-1.56	-1.825	-1.056	-0.227	-0.939	-1.308	-1.103
"YHR068W"	-0.435	-0.4015	-0.659	-0.868	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-0.673	0.527	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-0.146	-0.65	-0.359	-0.382	-1.4595	-0.766	-2.29	-2.544	-2.522	-2.438	-2.761	-2.475	-0.973	-1.013	0.164	-0.503	-2.437	-1.514	-1.08
"YHR141C"	0.1005	-0.6305	-0.5735	-0.653	-2.32	-2.364	-1.635	-1.491	-1.631	-2.472	-3.64	-2.31	-2.677	-2.575	-1.44	-0.2	-0.017	-2.888	-1.591	-1.753	-1.569	-1.819	-1.838	-2.014	0.535	-1.618	-0.058	-0.13	-1.2435	-1.322	-1.582	-2.268	-1.384	-0.83	-0.734	-0.128	-1.089	-0.816	-0.564	-0.066	-3.763	-0.697	-0.582
"YIL078W"	-0.31	-0.8605	-0.67	-0.997	-2.907	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-0.628	-0.167	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.114	-0.856	-0.45	-0.212	-1.422	-1.247	-2.348	-1.855	-2.573	-2.57	-2.6	-2.341	-1.316	-1.389	-0.578	-0.458	-3.116	-1.449	-2.866
"YJR007W"	-0.36	-0.5975	-0.521	-0.739	-2.169	-1.704	-2.107	-1.68	-2.662	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	-0.577	-0.303	-1.755	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	-0.034	-1.17	-0.343	-0.464	-0.8075	-0.393	-1.685	-1.34	-1.412	-1.481	-1.506	-1.159	-0.699	-0.395	-0.705	-0.845	-2.064	-1.128	-1.579
"YKL081W"	-0.812	-1.304	-1.0715	-1.429	-3.858	-3.184	-2.096	-2.542	-3.137	-4.49	-5.155	-3.28	-3.157	-3.837	-3.37	-0.078	-0.125	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	-0.386	-2.013	-0.451	-0.636	-2.1165	-1.815	-2.502	-3.204	-3.391	-3.581	-3.709	-3.833	-1.001	-1.24	-1.16	-0.308	-3.076	-2.135	-2.305
"YLL045C"	0.129	-0.677	-0.864	-1.434	-3.851	-3.176	-2.189	-1.64	-2.221	-3.857	-6.618	-3.169	-3.335	-3.185	-2.744	-0.87	-0.04	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.144	-2.692	-0.311	-0.25	-1.965	-1.821	-2.165	-2.953	-1.749	-0.995	-1.237	-1.078	-1.751	-1.829	-1.594	0.077	-3.449	-1.005	-1.077
"YLR060W"	-0.539	-0.405	-0.513	-0.446	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-0.073	-0.196	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.159	-1.817	-0.11	0.123	-0.708	-1.034	-2.464	-1.534	-1.72	-1.77	-1.452	-2.018	-1.192	-2.101	-1.122	-0.7	-2.734	-2.049	-1.459
"YLR062C"	-0.15	-0.995	-1.113	-1.517	-4.53	-4.418	-3.067	-3.127	-4.077	-5.705	-6.896	-3.6	-3.985	-3.965	-3.18	-0.022	-0.235	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.198	-2.368	-0.293	-0.097	-1.928	-2.692	-2.675	-3.446	-2.666	-1.934	-2.16	-1.658	-2.767	-1.832	-0.45	-0.761	-3.806	-1.112	-1.011
"YLR197W"	-0.71	-1.636	-1.654	-2.503	-5.817	-3.612	-2.795	-2.789	-3.255	-4.736	-5.242	-3.899	-3.238	-3.258	-3.282	-1.145	-0.823	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	-0.035	-1.633	-1.497	-1.383	-1.878	-2.103	-2.488	-3.686	-3.052	-3.145	-3.099	-2.81	-1.481	-1.449	-0.492	-1.148	-4.983	-2.292	-2.237
"YLR291C"	-0.413	-0.237	-0.945	-0.885	-1.858	-1.136	-1.83	-1.482	-1.792	-3.037	-4.762	-1.324	-1.096	-1.104	-2.027	-0.826	-0.027	-1.003	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	-0.183	-0.916	-0.513	-0.386	-0.463	-0.573	-1.532	-1.5	-1.466	-1.248	-1.501	-1.028	-0.255	-0.584	-0.712	-0.316	-1.832	-0.484	-1.352
"YMR235C"	0.009	-0.199	-0.5	-0.623	-1.54	-1.45	-1.493	-1.783	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	-0.621	0.164	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.274	-0.992	-0.132	-0.159	-1.014	-0.683	-1.782	-1.233	-1.955	-1.504	-1.586	-1.878	-0.676	-0.677	0.055	-0.793	-1.798	-1.126	-1.297
"YMR307W"	-0.299	-0.515	-0.538	-1.486	-2.669	-1.341	-1.909	-3.74	-1.803	-5.132	-5.877	-2.484	-2.482	-3.284	-3.878	-0.627	0.82	-3.55	-1.413	-2.493	-3.39	-4.432	-5.016	-4.56	-0.436	-0.911	-0.534	-0.997	-1.484	-1.624	-3.1665	-1.879	-3.414	-3.754	-3.788	-4.475	-1.697	-1.862	-1.763	-1.98	-4.574	-4.513	-3.634
"YNL096C"	-0.894	-0.975	-1.257	-2.023	-4.113	-3.765	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-3.165	-0.948	-0.744	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.328	-2.19	-0.456	-0.342	-1.523	-2.501	-2.8625	-3.171	-2.296	-1.647	-1.704	-1.302	-2.211	-1.683	-1.019	-1.672	-3.52	-0.905	-1.193
"YNL132W"	-0.636	-2.972	-1.943	-2.891	-5.826	-3.389	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-2.512	-1.97	-1.138	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	0.121	-1.988	-1.657	-1.579	-1.837	-1.739	-1.281	-3.487	-2.527	-2.718	-2.565	-2.668	0.016	0.242	-0.398	-0.826	-2.994	-1.355	-0.678
"YNL189W"	-0.108	0.021	-0.556	-0.419	-0.717	-0.61	-0.902	-1.084	-1.349	-2.367	-4.06	-0.86	-0.875	-1.183	-1.19	-0.684	0.113	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.009	-0.788	0.076	-0.038	-0.413	-0.296	-1.6445	-0.42	-0.967	-1.047	-1.062	-1.102	-0.367	-0.704	-0.656	-0.168	-0.591	-1.042	-0.493
"YNR043W"	-0.62	-0.659	-0.487	-0.751	-3.5005	-1.8155	-1.574	-1.86	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	-0.59	-0.08	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.186	-1.184	-0.195	-0.393	-1.007	-1.408	-1.878	-0.688	-1.559	-1.841	-1.612	-1.996	-0.847	-1.621	-0.741	0.152	-1.759	-1.142	-0.99
"YOR198C"	0.216	-0.084	-0.393	-0.671	-1.0295	-1.107	-1.3675	-1.6725	-1.933	-4.452	-5.562	-0.8245	-1.185	-1.262	-0.9675	0.032	0.222	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.088	-0.599	0.033	0.147	-0.817	0.29	-2.297	-1.284	-2.749	-2.555	-2.772	-2.855	-0.516	-0.488	0.26	-0.492	-2.009	-0.928	-0.772
"YOR239W"	-0.06	-0.651	-1.01	-1.166	-1.208	-0.777	-1.1765	-1.31	-2.145	-3.232	-5.0985	-0.9345	-1.0745	-1.633	-1.8425	0.042	0.398	-1.631	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.298	-0.467	-0.188	0.187	-0.933	-1.002	-1.366	-1.752	-1.963	-1.992	-1.951	-1.867	-0.421	-0.157	-0.088	-0.8545	-0.652	-0.529	-0.489
"YOR309C"	-0.622	-2.537	-1.808	-2.373	-6.798	-4.4185	-4.227	-3.75	-3.942	-4.234	-6.859	-3.709	-3.9105	-3.8235	-2.194	-1.08	-1.051	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.135	-2.569	-1.217	-1.094	-1.4	-2.746	-3.451	-3.577	-2.601	-2.983	-2.775	-3.093	-1.297	-0.853	-2.65	-1.35	-2.543	-1.85	-2.138
"YOR310C"	-0.381	-2.299	-1.747	-2.161	-6.006	-3.92	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.766	-3.585	-3.5415	-2.603	-0.878	-0.594	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.326	-2.782	-0.998	-1.065	-1.628	-2.082	-2.849	-3.238	-2.67	-2.757	-2.944	-3.125	-1.874	-1.526	-1.718	0.03	-4.564	-3.138	-2.722
"YPL090C"	0.096	-0.801	-0.751	-1.348	-3.9615	-3.256	-2.4215	-2.57	-2.203	-4.364	-6.197	-3.398	-3.223	-3.3795	-3.2385	-0.159	-0.522	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	0.121	-1.174	-0.186	-0.088	-1.907	-1.712	-2.061	-3.271	-2.127	-1.378	-1.342	-1.256	-1.981	-1.625	-0.648	-0.923	-4.244	-0.914	-1.369
"YPL160W"	0.236	-0.541	-1.0995	-1.0205	-3.26033333333333	-2.28466666666667	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-0.3105	0.0035	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.3825	-1.702	-0.0095	0.4135	-1.148	-0.1985	-1.8045	-2.501	-2.4615	-2.584	-2.827	-2.7275	-0.7855	-0.8225	-0.8645	-0.6885	-3.477	-1.376	-1.5195
"YPR033C"	0.172	-0.967	-0.616	-0.818	-2.7945	-1.8465	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	-0.238	0.476	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	0.37	-1.379	-0.185	-0.05	-1.174	-0.853	-2.107	-1.213	-2.213	-2.318	-2.374	-2.285	-1.375	-1.746	-1.786	-0.378	-2.1325	-1.59	-1.855
"YPR074C"	-0.255	-0.573	-0.697	-0.767	-3.2435	-2.5595	-2.134	-3.2975	-2.2945	-5.337	-5.42	-3.374	-2.2005	-3.7185	-4.2955	-0.379	0.112	-3.649	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	-0.959	-1.261	-0.02	-0.415	-0.795	-1.958	-3.132	-2.906	-3.257	-3.973	-3.946	-4.176	-1.319	-2.325	-1.09	-0.928	-4.473	-2.835	-2.642
"YPR163C"	-0.979	-1.119	-1.438	-1.566	-3.6815	-2.265	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.5635	-2.469	-2.6395	-2.0525	-0.622	-0.952	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.217	-1.271	-0.969	-0.378	-1.528	-1.288	-2.145	-1.693	-1.345	-1.666	-1.832	-2.618	-1.344	-0.887	-0.606	-1.242	-3.506	-1.493	-1.336
