	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"797.Heat Shock 000 minutes (series 3)"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"964.1 mM Menadione (160 min) redo"	"978.wt_plus_gamma_20_min"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"7536.25C -- 30 min"	"8197.steady state 25 dec C"	"8204.steady state 29 dec C"	"8520.DES460 + 0.02% MMS - 120 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"18416.2mM MD 120min"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YDR064W"	-1.589	-1.917	-1.678	-0.997	-1.077	-2.822	-3.039	1.04	-1.486	-3.874	-3.241	-2.585	-2.577	-3.761	-5.03	-3.208	-3.138	-0.186	-0.329	-3.65	0.351	-0.36	0.157	0.137	-0.075	0.886	0.526	0.151	-0.585	0.039	-2.16	0.173	-0.165	-1.98966666666667	-0.4825	-1.708	-2.292	-2.803	-2.891	-2.804
"YDR087C"	-3.126	-4.143	-1.477	-0.456	-2.758	-3.643	-3.468	0.989	-2.122	-4.139	-2.976	-2.337	-1.909	-3.817	-4.944	-2.528	-2.208	0.258	-0.73	-1.886	0.061	0.311	0.146	-0.299	-0.026	0.613	0.23	0.436	-0.809	0.383	-4.13	0.337	-0.146	-0.8605	-0.476	-3.928	-2.338	-2.16	-3.396	-3.436
"YDR116C"	0.563	0.844	0.27	0.265	0.628	0.599	0.382	-0.148	-0.029	2.056	1.534	0.598	0.409	-1.637	-3.351	1.004	0.501	-0.008	-0.08	1.239	0.023	-0.281	-0.034	0.012	-0.009	0.036	0.191	0.077	-0.049	0.038	0.194	0.033	0.074	0.23	0.042	1.182	1.139	0.606	2.177	1.079
"YDR120C"	-3.186	-2.84	-1.943	-0.626	-2.699	-2.817	-2.359	1.033	-2.163	-2.742	-1.641	-1.333	-1.011	-1.298	-3.115	-2.891	-1.781	-0.649	-0.828	-2.023	0.134	0.056	0.332	-0.397	-0.314	1.178	0.364	0.285	-1.373	-0.179	-2.159	0.637	-0.01	-2.653	-0.02	-3.752	-1.254	-0.98	-2.616	-1.963
"YDR165W"	-3.154	-2.85	-1.603	-0.594	-2.419	-2.874	-2.762	0.852	-1.702	-4.096	-2.538	-2.179	-2.247	-3.111	-5.309	-3.015	-2.243	0.113	-0.791	-3.057	0.27	-0.044	-0.044	-0.084	-0.162	0.902	0.353	0.277	-0.806	0.145	-2.787	0.776	-0.257	-1.48	-0.157	-3.068	-2.479	-2.722	-3.205	-2.632
"YDR184C"	-3.745	-3.004	-1.647	-0.28	-2.64	-3.408	-2.671	0.854	-1.501	-3.504	-1.845	-2.067	-1.607	-1.802	-1.842	-1.444	-1.709	-0.118	-0.741	-3.243	0.107	0.004	0.06	-0.249	-0.165	0.962	0.389	0.184	-0.286	0.05	-3.644	0.787	-0.124	-1.2505	-0.2535	-3.588	-1.676	-1.481	-3.208	-1.663
"YDR399W"	-3.808	-4.226	-1.273	-1.251	-3.084	-3.396	-2.921	1.022	-2.151	-4.676	-3.277	-1.962	-2.107	-3.073	-4.784	-1.68	-1.311	0.402	-0.727	-2.658	0.13	-0.101	-0.402	-0.062	-0.53	1.213	0.153	0.242	-1.141	-0.158	-2.993	0.211	0.197	-2.184	-0.051	-2.911	-0.619	-1.143	-2.321	-2.044
"YDR417C"	-1.534	-2.075	-1.309	-0.693	-1.608	-2.715	-3.361	0.691	-2.536	-3.705	-2.778	-2.992	-2.407	-4.279	-5.062	-3.58	-3.209	-0.445	-1.06	-4.223	0.367	0.078	0.41	0.515	-0.151	1.113	0.156	0.338	-0.28	-0.093	-2.642	0.816	-0.196	-2.605	-0.093	-1.745	-3.553	-2.61	-3.585	-3.332
"YDR447C"	-1.927	-2.299	-1.47	-0.894	-2.149	-3.242	-3.562	0.931	-2.917	-4.882	-3.934	-3.531	-3.26	-3.659	-5.332	-3.574	-3.565	NaN	-0.86	-4.249	-0.061	0.176	-0.004	0.458	-0.007	0.816	0.339	0.585	-0.571	0.155	-2.593	0.75	0.165	-1.308	-0.285	-3.102	-3.67	-2.356	-4.358	-3.418
"YDR471W"	-2.267	-2.818	-1.28	-0.844	-1.805	-3.206	-3.84	1.016	-2.42	-3.952	-3.834	-3.394	-2.619	-3.599	-4.747	-3.144	-2.929	0.34	-0.944	-4.253	0.178	0.415	0.306	0.09	-0.006	1.233	0.417	0.481	-0.71	0.356	-3.29	0.103	0.2135	-1.00233333333333	-0.12	-2.211	-3.645	-2.464	-3.608	-3.311
"YDR496C"	-5.251	-3.9025	-2.571	-1.0555	-3.671	-4.953	-4.7405	1.146	-2.742	-3.1645	-1.29	-2.3365	-2.027	-3.591	-4.393	-4.5275	-2.8145	-0.314	-0.4945	-3.995	-0.008	0.0765	-0.09	-0.191	-0.21	1.5455	0.3905	0.108	-1.2795	0.392	-5.1875	0.6185	-0.192	-1.271	0.163	-3.216	-1.074	-1.347	-1.917	-1.733
"YEL054C"	-2.122	-2.095	-1.518	-0.959	-2.314	-1.907	-3.528	1.075	-2.603	-3.654	-2.711	-2.761	-1.871	-2.98	-7.056	-3.039	-3.52	-0.805	-0.675	-3.347	0.369	0.091	0.065	0.346	-0.07	1.242	0.362	0.344	-0.291	0.269	-3.251	-0.036	-0.3975	-0.921	0.1225	-2.101	-4.422	-2.487	-3.815	-2.936
"YER102W"	-1.613	-2.227	-1.599	-0.978	-1.876	-2.922	-3.415	1.107	-2.845	-3.932	-3.965	-3.177	-2.924	-3.64	-6.434	-3.101	-3.625	0.096	-0.814	-4.286	0.501	0.299	0.289	0.334	0.025	1.003	0.546	0.375	-0.194	0.222	-2.712	0.594	0.463	-1.1825	0.011	-2.448	-3.324	-2.758	-2.385	-2.329
"YER131W"	-1.816	-1.733	-1.954	-0.175	-2.354	-3.171	-3.29	1.25	-2.511	-2.813	-3.262	-2.7	-2.3	-3.664	-6.55	-2.621	-2.795	0.801	-0.52	-4.139	0.356	0.487	0.335	0.281	0.195	0.975	0.715	0.575	-0.547	0.685	-3.097	0.784	0.368	-1.626	0.0585	-2.338	-3.884	-3.237	-3.578	-4.068
"YGL030W"	-1.664	-2.291	-1.909	-0.986	-1.943	-2.592	-0.272	1.037	-2.277	-3.613	-2.888	-2.582	-1.861	-3.668	-5.484	-2.388	-2.751	-0.412	-0.763	-3.284	0.199	-0.101	0.016	-0.008	-0.214	0.775	0.566	0.391	-0.99	-0.117	-2.603	0.256	0.284	-2.57575	-0.534	-2.86	-3.939	-2.871	-3.575	-2.76
"YGL031C"	-1.911	-2.424	-1.829	-0.89	-1.886	-3.443	-3.97	1.003	-3.232	-3.366	-4.285	-3.732	-2.9	-3.683	-5.763	-3.041	-2.881	-0.03	-0.757	-5.191	0.308	0.114	-0.021	0.194	0.082	0.717	0.354	0.532	-0.531	0.35	-3.282	0.588	0.431	-1.7085	0.142	-2.401	-3.814	-2.458	-2.773	-2.852
"YGL076C"	-1.995	-2.09	-1.909	-0.949	-1.99	-2.744	-3.119	1.006	-2.349	-3.969	-3.136	-2.73	-2.564	-3.976	-5.667	-3.32	-2.996	-0.392	-1.184	-4.142	0.275	-0.016	0.171	0.104	-0.636	1.071	0.425	0.27	-0.423	-0.316	-2.656	0.321	-0.5915	-1.65966666666667	-0.0315	-2.625	-4.003	-3.509	-3.347	-3.315
"YGL120C"	-3.316	-3.231	-1.542	-0.47	-3.301	-3.954	-3.877	0.987	-1.614	-4.557	-3.087	-2.692	-1.947	-4.088	-5.111	-3.171	-3.229	-0.809	-0.719	-3.459	-0.116	0.0	0.081	-0.218	-0.174	1.31	0.482	0.226	-0.894	-0.078	-3.8	0.572	-0.434	-2.046	0.27	-3.466	-2.891	-3.416	-3.546	-0.554
"YGL171W"	-4.302	-4.243	-1.503	-0.799	-2.091	-3.818	-3.208	0.854	-2.42	-5.822	-2.949	-2.078	-1.942	-2.903	-4.649	-2.759	-2.384	-0.253	-0.583	-3.704	0.044	0.01	-0.194	-0.251	-0.054	0.186	0.24	0.302	-0.752	0.276	-3.658	0.435	-0.182	-1.331	-0.154	-3.355	-2.646	-2.402	-3.848	-2.304
"YGR034W"	-2.251	-2.191	-1.353	-1.148	-2.26	-3.059	-2.884	1.165	-2.272	-3.922	-3.172	-3.096	-2.637	-3.052	-6.281	-3.268	-2.935	0.13	-0.803	-3.635	0.29	0.049	0.09	0.21	-0.162	0.814	0.369	0.38	-0.769	0.033	-2.708	0.453	0.037	-2.1635	-0.694	-2.451	-2.986	-3.003	-4.347	-3.643
"YGR085C"	-2.061	-1.952	-1.491	-0.362	-2.023	-2.966	-3.664	1.122	-2.388	-3.713	-3.301	-2.511	-2.202	-3.406	-6.059	-3.071	-3.255	NaN	-0.672	-4.359	0.272	0.278	0.084	0.311	0.129	0.88	0.605	0.563	-0.743	0.258	-2.908	0.511	0.29	-1.646	0.177	-2.338	-4.004	-2.792	-3.45	-3.003
"YHR094C"	-1.5965	-1.6415	-0.448	-0.4055	-1.342	-2.1085	-1.284	-0.013	-0.9	-0.469	-0.919	-1.412	-1.759	-1.391	-2.55	-0.636	-0.864	NaN	-0.339	-0.597	0.337	0.221	1.212	0.3665	0.193	-1.009	0.187	0.381	0.324	0.395	-1.473	0.532	0.082	0.376	-0.38	-1.35	-1.953	-2.147	-2.363	-1.53
"YHR131C"	0.766	0.416	-0.0965	-0.1305	0.585	0.784	0.5785	NaN	0.456	NaN	4.392	NaN	NaN	NaN	NaN	NaN	NaN	-0.222	0.074	0.902	0.232	0.037	0.104	0.1085	0.127	-0.27	0.0	NaN	0.109	-0.152	0.628	0.129	-0.072	-0.131	0.144	0.46	1.347	0.324	0.797	0.295
"YHR148W"	-3.0225	-2.0375	-1.108	-0.3755	-2.8705	-3.2345	-2.692	0.758	-1.706	-3.086	-1.904	-1.665	-1.259	-2.321	-3.377	-1.557	-1.816	-0.095	-0.436	-1.58	-0.032	-0.024	0.176	0.0325	0.136	1.032	0.488	0.409	-0.559	0.369	-3.95	0.48	0.109	-1.4755	0.093	-2.565	-1.681	-1.749	-2.893	-1.982
"YHR170W"	-5.3995	-4.622	-2.4275	-1.2935	-4.14	-4.723	-3.947	0.893	-2.797	-4.51	-1.901	-2.071	-1.573	-2.573	-4.858	-2.759	-2.694	-0.9595	-0.497	-2.314	-0.027	0.037	-0.156	-0.1305	-0.056	1.886	0.458	0.29	-1.224	0.268	-5.252	0.31	-0.28	-2.9015	0.187	-3.576	-3.186	-2.544	-3.601	-2.58
"YIL133C"	-2.0235	-2.6465	-1.3105	-0.8635	-2.027	-3.384	-3.811	0.899	-2.661	-3.333	-3.196	-3.135	-2.331	-2.693	-5.79	-2.93	-2.571	0.378	-1.137	-4.433	0.204	0.235	0.221	0.179	-0.097	1.204	0.612	0.525	-0.697	0.282	-3.3115	0.29	-0.17	-1.4965	-0.02	-2.292	-4.387	-3.183	-4.098	-3.154
"YJL159W"	1.958	1.978	1.641	0.5695	1.8265	2.2695	2.3795	-0.642	0.938	1.068	0.869	0.807	0.851	-1.57	-4.456	0.157	0.685	-0.296	-0.282	-0.193	0.622	-0.373	-0.234	0.2715	0.315	0.079	-0.138	0.057	0.219	-0.291	2.192	-0.063	0.031	0.023	-0.076	1.922	0.24	0.142	1.327	0.905
"YJR020W"	0.6915	0.5475	1.0785	0.264	0.4965	0.8765	0.7215	-0.287	-0.591	1.813	2.799	0.64	2.038	3.226	-1.843	0.68	0.494	-0.121	0.376	0.383	-0.464	0.127	-0.027	-0.094	0.204	-0.158	-0.415	-0.043	0.114	-0.188	1.463	-0.664	0.034	0.721	-0.21	-0.463	0.506	0.812	0.914	0.824
"YJR070C"	-4.6905	-4.824	-1.8185	-0.525	-3.895	-4.828	-4.332	1.129	-2.253	-5.317	-3.975	-3.514	-3.056	-3.511	-7.226	-3.471	-2.777	-0.606	-1.43	-2.102	0.112	-0.067	-0.189	0.1045	-0.659	1.238	0.093	0.475	-0.858	-0.208	-4.7655	0.854	0.338	-2.3495	0.168	-3.81	-3.069	-2.355	-3.754	-3.104
"YKL143W"	-4.877	-4.765	-2.227	-0.76	-3.755	-3.979	-3.248	1.044	-2.74	-4.748	-1.715	-2.281	-1.954	-2.312	-3.827	-2.756	-2.421	-0.641	-0.213	-2.734	0.1	0.06	-0.156	-0.244	-0.304	1.022	0.418	0.217	-0.908	0.468	-4.275	0.707	0.041	-2.44	-0.317	-4.409	-2.618	-1.955	-3.914	-2.07
"YKL180W"	-1.731	-1.947	-1.228	-0.509	-2.16	-2.81	-3.531	0.983	-2.553	-2.661	-2.738	-2.549	-1.831	-2.561	-5.237	-2.625	-3.204	0.517	-0.705	-4.629	0.365	0.469	0.535	0.5	0.219	1.038	0.611	0.818	-0.342	0.19	-3.37	0.664	0.072	-1.396	0.073	-1.891	-3.827	-3.339	-3.071	-2.962
"YLL045C"	-1.746	-2.105	-1.781	-0.338	-2.319	-3.116	-3.722	1.206	-2.573	-3.851	-3.176	-2.506	-2.189	-3.857	-6.618	-3.169	-3.335	-0.641	-1.0	-3.66	0.209	0.223	0.18	-0.056	0.051	1.273	0.549	0.908	-0.381	-0.061	-3.545	0.901	-0.052	-2.104	0.142	-2.751	-3.449	-2.833	-3.788	-3.87
"YLR185W"	-1.94	-1.728	-1.583	-0.732	-1.439	-2.305	-2.948	0.922	-2.435	-4.508	-3.498	-3.001	-2.551	-2.578	-5.928	-2.94	-2.559	0.668	-0.892	-4.019	0.197	-0.006	0.114	0.187	-0.123	0.928	0.258	0.444	-0.51	0.342	-2.487	0.075	0.107	-1.991	-0.133	-2.373	-3.712	-3.007	-3.488	-3.242
"YLR186W"	-2.522	-2.221	-1.684	-0.718	-2.011	-2.976	-2.122	0.805	-1.655	-4.787	-2.844	-2.506	-2.174	-4.298	-5.516	-3.036	-2.821	-0.11	-0.874	-2.372	-0.29	0.05	0.36	0.161	-0.009	1.718	0.253	0.064	-0.212	-0.048	-3.083	0.723	-0.008	-0.942	0.124	-2.466	-3.381	-2.552	-4.173	-2.896
"YLR383W"	-0.786	-0.698	0.05	0.62	-0.637	-0.513	-0.585	-0.15	-1.36	-0.977	-0.585	0.589	-0.594	-0.58	-0.841	-0.84	-0.616	-0.311	0.203	-1.37	0.207	0.272	-0.202	-0.242	-0.168	-0.391	-0.023	-0.126	0.081	-0.038	-0.825	-0.172	-0.369	0.763	-0.272	-1.35	-1.98	-0.949	-1.482	-0.759
"YLR388W"	-1.974	-2.382	-1.424	-1.0	-1.861	-2.879	-3.074	0.956	-2.289	-3.12	-2.544	-2.264	-1.926	-3.596	-5.506	-3.204	-3.058	0.009	-0.554	-4.025	0.289	0.202	-0.018	0.371	-0.048	0.876	0.529	0.395	-0.66	0.252	-2.761	0.324	0.23	-1.655	0.076	-2.178	-3.674	-2.798	-3.762	-3.521
"YLR448W"	-1.853	-2.009	-1.44	-0.716	-1.814	-2.821	-3.482	0.739	-2.804	-4.815	-3.882	-3.116	-3.083	-3.552	-5.971	-3.425	-3.454	-0.788	-0.98	-4.891	-0.047	0.011	0.099	0.184	-0.21	0.931	0.232	0.341	-0.387	-0.167	-2.983	0.38	0.264	-1.359	-0.053	-2.6	-4.85	-3.788	-4.791	-4.505
"YML006C"	-0.221	-0.336	0.517	0.991	-0.585	-0.662	-0.7	0.536	-0.246	-0.662	-0.477	0.222	-0.122	-0.304	-4.428	-0.396	0.157	0.132	0.144	-0.84	-0.073	0.091	-0.24	0.085	-0.265	0.313	0.315	0.115	-0.536	-0.053	-1.036	-0.07	0.011	0.726	-0.173	-2.193	-1.135	-1.13	-1.548	-0.927
"YMR142C"	-2.549	-1.964	-1.472	-0.667	-2.064	-3.395	-3.688	1.125	-2.447	-3.579	-3.719	-3.19	-2.326	-0.651	-6.693	-3.048	-3.849	-0.647	-0.909	-4.4	NaN	0.009	0.053	0.076	-0.289	1.051	0.718	0.414	-0.702	0.027	-3.22	0.392	-0.228	-1.487	-0.201	-2.173	-4.355	-3.347	-4.039	-3.538
"YMR182C"	0.535	0.239	-0.165	-0.111	0.29	0.35	0.381	0.462	-0.725	1.462	1.281	1.237	0.943	1.163	-0.739	0.622	1.124	-0.351	-0.067	0.95	0.003	-0.173	-0.003	-0.013	-0.095	-0.343	-0.346	-0.198	0.051	0.018	-0.755	-0.191	0.001	-0.583	0.21	0.42	1.487	1.756	1.572	1.808
"YNL062C"	-3.459	-2.934	-1.18	-0.484	-2.143	-3.093	-2.844	0.774	-1.093	-4.157	-2.785	-2.295	-2.256	-3.07	-6.263	-2.304	-2.254	0.048	-0.588	-2.028	0.077	-0.003	-0.198	-0.016	-0.328	0.991	0.094	-0.094	-0.44	-0.064	-2.71	0.33	-0.04	-2.132	0.091	-4.112	-2.698	-2.338	-2.838	-2.509
"YNL096C"	-1.989	-2.093	-1.409	-1.02	-1.957	-2.881	-3.202	0.741	-2.329	-4.113	-3.765	-3.642	-3.235	-4.038	-6.106	-3.331	-3.045	-0.149	-1.289	-4.716	0.182	-0.057	-0.048	0.169	-0.563	1.315	0.333	0.375	0.341	-0.312	-2.812	0.303	0.035	-2.585	0.112	-2.02	-3.52	-2.764	-3.087	-3.372
"YNL113W"	-3.404	-2.697	-0.959	-0.151	-2.322	-2.536	-2.502	0.983	-1.165	-5.347	-3.34	-2.736	-2.957	-2.537	-7.034	-3.971	-2.612	0.253	-0.553	-3.24	-0.096	-0.176	0.146	0.046	0.148	1.074	0.529	0.272	-0.564	-0.285	-3.986	0.346	0.342	-2.885	-0.0015	-2.788	-2.809	-2.407	-4.226	-2.606
"YNL114C"	-2.893	-2.686	-1.404	-0.439	-2.468	-3.33	-3.663	0.999	-1.548	-5.245	-2.663	-2.941	-2.849	-3.791	-6.572	-2.827	-2.978	0.279	-0.55	-3.032	-0.056	0.383	0.019	0.029	-0.211	1.12	0.311	0.403	-0.57	0.146	-2.799	0.217	0.397	-0.743	-0.226	-2.336	-2.905	-1.754	-4.14	-2.842
"YNL162W"	-2.024	-2.384	-1.359	-0.758	-1.97	-3.17	-3.58	1.055	-2.232	-3.953	-3.395	-3.14	-2.838	-2.858	-6.425	-2.86	-2.872	0.436	-0.684	-3.999	0.065	-0.03	-0.153	0.3	-0.185	0.677	0.283	0.596	-0.734	0.199	-2.998	0.148	0.007	-1.578	-0.5945	-2.02	-2.704	-2.701	-3.916	-3.323
"YNL174W"	-5.157	-4.699	-1.913	-1.107	-4.233	-5.579	-4.714	0.772	-3.257	-5.141	-3.51	-3.428	0.252	-4.079	-4.409	-2.319	-2.439	-0.117	-0.779	-4.372	0.014	0.29	-0.031	-0.103	-0.282	1.585	0.38	0.02	-0.711	0.069	-5.426	0.476	0.103	-3.201	0.192	-3.76	-1.035	-2.624	-3.816	-2.839
"YNL313C"	-3.472	-3.026	-1.419	-0.755	-2.399	-2.935	-3.02	0.694	-1.152	-4.999	-2.695	-2.073	-2.007	-3.628	-5.714	-3.129	-2.948	-0.376	-0.567	-2.839	0.191	0.106	0.371	-0.1	0.035	0.614	0.39	0.151	-0.547	-0.09	-3.009	0.414	0.304	-0.391	-0.095	-2.824	-1.867	-1.835	-3.85	-2.129
"YOL125W"	-2.564	-2.585	-0.646	-0.481	-1.524	-2.591	-2.213	0.968	-1.479	-2.059	-0.633	-0.9905	-1.686	-0.7695	-2.1485	-1.052	-1.0065	0.0	-0.536	-0.67	-0.036	0.147	0.251	-0.095	-0.28	0.641	-0.0325	-0.9135	-0.28	-0.136	-2.614	0.319	0.097	0.868	-0.067	-1.735	-1.442	-0.987	-1.961	-0.984
"YOR048C"	-0.9155	-0.918	-0.506	-0.1345	-0.8685	-0.916	-0.963	0.0436666666666667	-0.693	-0.803666666666667	-0.0803333333333334	0.413666666666667	-0.147	-0.0803333333333333	-2.10433333333333	-1.103	-0.996	-0.0725	0.675	-1.005	0.044	-0.0485	0.064	-0.2235	0.0145	1.188	-0.0716666666666667	-0.110666666666667	-0.281	0.1445	-1.144	-0.0485	-0.214	-0.23	0.226	-1.629	-1.828	-1.769	-2.899	-1.207
"YOR242C"	-1.352	-0.515	-0.322	0.273	-1.379	-1.247	-0.933	-5.0E-4	-0.646	-0.744	-0.76	-0.441	-0.4445	-0.789	-2.172	-0.7555	-1.6705	-0.402	-0.155	-1.795	-0.181	-0.175	0.077	0.102	0.056	0.347	0.3195	0.1265	-0.228	0.215	-0.418	NaN	0.254	-0.97	-0.14	-1.106	-0.258	-1.108	-1.55	-1.119
"YOR294W"	-4.574	-3.828	-2.336	-1.101	-3.73	-4.407	-3.632	1.28	-2.027	-5.6475	-2.427	-1.914	-1.2675	-1.2415	-5.2465	-3.318	-1.8445	-1.214	-0.398	-1.284	-0.101	-0.128	-0.268	-0.458	-0.191	0.666	0.528	0.3245	-1.042	0.001	-4.852	0.089	0.295	-2.136	0.066	-4.841	-2.722	-2.74	-5.145	-2.254
"YPL079W"	-2.261	-2.597	-1.346	-0.812	-2.277	-3.115	-3.828	0.917	-2.516	-4.616	-4.1965	-3.787	-3.3525	-3.892	-6.4765	-3.085	-3.172	-0.058	-1.163	-4.735	0.085	0.031	-0.058	0.143	-0.391	1.127	0.3395	0.6185	-0.605	0.039	-3.135	-0.044	-0.224	-0.977	-0.574	-1.936	-2.865	-2.753	-3.573	-3.431
