	"813.MHY1 (dun1) + heat 20 min"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"1661.1 mM Menadione (50 min)redo"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"7537.25C -- 45 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"
"YDR087C"	-1.097	-1.909	-2.277	-3.312	-3.817	-4.944	-2.528	-2.208	-1.204	-1.594	-0.086	-0.337	0.312	0.147	-1.819	-1.373	-2.022	-1.73	-3.407	-2.893	0.061	0.085	0.086	-0.279	0.196	0.158	-0.109	-0.299	0.193	-1.782	-0.55	-0.56	-0.361
"YDR341C"	-1.863	-1.763	-1.574	-1.681	-3.212	-5.262	-2.587	-2.171	-2.134	-2.218	-0.421	-0.388	-0.141	-0.141	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.152	-1.233	-0.257	0.168	0.322	0.394	0.29	0.023	1.125	-1.562	-1.663	-1.444	-1.45
"YDR454C"	-1.124	-0.938	-1.715	-1.528	-2.876	-4.275	-2.043	-2.035	-2.414	-2.283	0.572	0.305	0.738	0.61	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	0.117	-0.929	0.324	0.099	0.215	0.416	0.214	-0.106	0.185	-1.702	-1.232	-1.295	-1.888
"YEL002C"	-0.422	-0.277	-0.498	-0.859	-2.448	-4.407	-0.871	-0.56	-1.136	-1.694	0.358	0.432	0.44	0.471	-0.169	-0.404	-0.526	-0.691	-1.498	-0.781	0.165	0.239	0.342	-0.004	0.061	0.309	0.428	0.01	0.315	-0.4945	-0.966	-1.219	-1.51
"YEL042W"	-0.782	-0.736	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.924	-0.181	-0.364	0.005	-0.121	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	0.134	-0.967	0.064	0.435	0.575	0.778	0.67	-0.001	0.414	-1.2195	-1.754	-1.366	-1.753
"YER043C"	-1.394	-2.553	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.18	-0.943	-1.085	-1.023	-1.096	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.405	-1.204	-0.964	0.474	0.713	0.708	0.469	0.078	1.167	-1.415	-2.015	-2.503	-2.487
"YER086W"	-1.06	-1.076	-1.236	-1.424	-3.61	-5.173	-2.869	-2.152	-2.311	-2.028	0.45	0.464	0.487	0.11	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	0.265	-1.308	0.471	0.187	0.487	0.417	0.394	0.098	0.719	-0.886	-1.525	-1.165	-1.551
"YER131W"	-1.797	-2.3	-1.895	-2.47	-3.664	-6.55	-2.621	-2.795	-2.905	0.589	0.799	0.674	0.629	0.444	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	0.356	-2.083	0.54	0.309	0.465	0.521	0.469	0.281	0.501	-2.4735	-1.296	-0.74	-0.623
"YFL039C"	-0.308	-0.727	-1.186	-1.097	-2.57	-3.733	-0.271	-0.394	-1.117	-1.321	-0.027	0.014	-0.272	-0.207	-0.136	-0.479	-0.492	-1.583	-2.201	-2.764	0.054	0.349	0.037	0.204	0.05	0.055	0.097	0.174	-0.171	-0.53	-1.275	-0.796	-0.828
"YFR009W"	-0.473	-1.513	-2.017	-1.914	-3.004	-4.932	-0.398	-1.105	-1.586	-1.585	0.23	0.295	0.442	0.244	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	0.177	-0.386	0.057	0.089	0.09	0.417	0.287	0.072	0.817	-0.923	-1.896	-2.023	-2.107
"YGL120C"	-0.802	-1.947	-2.077	-2.282	-4.088	-5.111	-3.171	-3.229	-1.739	-2.813	-0.202	-0.561	-0.155	-0.449	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-0.116	-0.905	-0.159	-0.002	0.712	0.295	0.099	-0.218	0.824	-2.122	-1.654	-1.288	-1.486
"YGL238W"	-0.232	-1.08	-0.967	-1.048	-1.585	-4.337	-1.52	-1.275	-1.39	-1.824	0.108	-0.113	-0.325	-0.256	-1.294	-1.238	-1.24	-1.654	-1.937	-2.674	0.071	-1.202	-0.375	-0.17	-0.073	-0.041	0.261	0.118	0.367	-0.873	-1.66	-1.426	-1.65
"YGL245W"	-1.348	-1.579	-1.475	-2.145	-4.799	-6.655	-1.774	-1.33	-1.699	-2.088	-0.042	-0.372	-0.292	-0.2	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.065	-0.704	-0.24	0.206	-0.087	0.255	0.296	0.202	0.573	-1.658	-1.18	-1.236	-1.439
"YGR085C"	-1.715	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	-0.365	-0.169	-0.165	-0.357	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.272	-1.8	-0.319	0.235	0.28	0.407	0.491	0.311	0.455	-2.156	-2.078	-1.442	-1.73
"YGR185C"	-1.289	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-0.149	0.017	0.206	0.033	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.005	-1.223	0.128	0.22	0.271	0.46	0.36	0.0675	0.816	-2.438	-2.21	-2.316	-2.459
"YGR229C"	-0.945	-0.754	-1.164	-0.943	-2.847	-4.256	-1.104	-1.1	-1.987	-1.316	-0.188	-0.414	-0.229	-0.232	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	0.106	-0.597	-0.141	0.085	-0.011	0.233	0.184	-0.2585	0.693	-1.347	-1.255	-1.085	-1.061
"YGR234W"	-2.768	0.337	-2.175	-2.037	-3.567	-3.847	-1.833	-0.67	-1.031	-1.788	0.817	1.07	0.766	0.507	-0.405	-2.118	-3.518	-3.826	-4.345	-4.526	-0.131	-0.13	0.975	-0.006	-0.118	0.363	0.523	0.328	0.693	-1.864	-2.498	-2.416	-2.789
"YGR240C"	-0.555	-0.616	-0.794	-0.065	-0.505	-3.806	-1.362	-1.056	-1.546	-2.107	0.4	0.243	0.002	0.34	-0.361	-0.504	-0.425	-1.755	-2.545	-3.191	0.093	-0.408	0.063	0.308	0.063	0.299	0.299	0.1285	-0.029	-1.417	-1.082	-1.16	-1.42
"YGR285C"	-1.664	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-1.393	-0.774	-0.864	-0.418	-0.357	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.256	-1.56	-0.803	0.311	0.334	0.704	0.621	-0.0025	1.567	-2.068	-2.035	-2.466	-2.483
"YHL003C"	-0.491	0.178	-0.508	-0.868	-2.186	-3.084	-0.746	-0.691	-1.135	-1.164	0.243	-0.06	0.174	0.321	-0.273	-0.886	-0.883	-1.585	-1.707	-1.741	0.084	-0.394	-0.023	-0.014	-0.045	0.303	0.317	-0.1445	0.333	-0.878	-0.996	-0.937	-1.427
"YHR019C"	-1.072	-1.467	-1.831	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-2.76	-0.526	-0.959	-0.718	-0.953	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.046	-1.183	-0.298	0.092	0.338	0.417	0.408	0.0315	0.729	-1.834	-2.505	-2.098	-2.32
"YHR068W"	-0.95	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	0.524	0.4	0.557	0.391	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.09	-0.65	0.477	-0.128	0.072	0.132	0.041	-0.0565	0.633	-2.29	-2.522	-2.438	-2.761
"YHR084W"	-0.498	-1.59	-1.307	-1.057	-2.317	-2.543	-0.885	-1.501	-0.678	-1.565	0.363	0.111	0.051	0.164	-1.405	-1.212	-1.569	-1.966	-2.19	-2.461	0.078	-0.36	0.35	-0.044	-0.151	-0.369	-0.22	-0.0875	0.19	-0.283	-1.591	-1.546	-1.256
"YHR098C"	0.196	-0.8885	-0.96	-0.638	-2.065	-3.065	-0.7985	-1.1425	-1.159	-1.2865	-0.1105	-0.2165	-0.245	-0.143	-1.1365	-1.2075	-1.218	-1.917	-1.925	-2.553	0.0275	-0.515	-0.4565	0.3135	0.074	0.2335	0.348	0.118666666666667	-0.127	-2.4395	-1.5435	-1.1335	-1.146
"YHR133C"	-0.579	-1.163	-1.453	-1.561	-1.885	-3.501	-1.51	-1.708	-1.622	-0.998	-0.166	0.078	-0.031	-0.068	-1.072	-1.703	-1.806	-1.64	-1.82	-2.45	0.071	-0.606	-0.156	-0.016	-0.107	0.095	0.029	0.1275	0.241	-0.395	-1.643	-1.371	0.126
"YIL078W"	-1.59	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	0.315	0.2845	0.197	0.409	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.017	-0.856	0.009	0.202	0.291	0.528	0.423	0.1345	0.986	-2.348	-2.573	-2.57	-2.6
"YJL124C"	-0.503	-0.985	-1.274	-0.659	-1.574	-5.188	0.473	-0.483	-0.901	-1.057	0.041	0.162	0.094	0.063	-0.87	-1.173	-0.919	-1.15	-1.134	-1.758	-0.194	-0.294	0.005	0.002	0.055	0.131	0.121	-0.03	0.024	-0.894	-0.322	-0.334	-0.382
"YJL138C"	-1.457	-1.167	-1.195	-1.358	-3.125	-5.625	-1.273	-2.285	-1.674	-1.959	-0.077	0.121	0.303	-0.018	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.091	-1.528	0.14	0.448	0.442	0.654	0.758	0.136	0.721	-1.828	-1.973	-1.925	-2.479
"YJR007W"	-1.041	-2.107	-1.68	-2.662	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	0.172	0.239	0.25	-0.025	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	0.148	-1.17	0.351	0.105	0.453	0.14	0.09	0.099	1.144	-1.685	-1.412	-1.481	-1.506
"YJR143C"	-1.047	-1.648	-1.487	-1.713	-4.675	-5.523	-2.151	-2.716	-2.573	-3.031	0.126	0.138	0.377	0.24	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	0.242	-0.838	0.01	0.028	-0.208	0.303	0.224	0.2165	0.051	-1.896	-2.672	-2.162	-2.24
"YKL057C"	-0.428	-0.509	-0.361	-0.944	-2.185	-3.042	0.11	-1.104	-0.658	-1.514	-0.335	-0.39	-0.232	-0.234	-0.758	-0.87	-1.246	-2.406	-2.666	-2.892	-0.425	-0.73	-0.225	-0.088	-0.017	0.046	0.118	-0.0605	0.472	-0.117	-1.466	-1.533	-1.901
"YKL073W"	0.913	-0.85	-0.732	-0.623	-2.672	-3.282	-1.348	-1.282	-1.264	-1.963	-0.457	0.031	-0.067	0.219	-0.99	-0.985	-1.089	-2.148	-2.623	-3.195	-0.071	-0.915	-0.358	0.284	0.208	0.365	0.339	0.183	0.15	-0.838	-1.623	-1.319	-1.269
"YKL080W"	-0.877	-1.941	-1.25	-1.469	-4.229	-5.94	-0.874	-0.756	-1.461	-1.699	0.034	0.192	-0.069	0.052	-0.824	-1.299	-1.962	-2.874	-2.944	-2.866	0.135	-0.781	0.339	0.236	-0.19	0.246	0.058	0.3535	0.721	-1.244	-1.168	-1.409	-1.635
"YKL212W"	-0.537	-0.845	-1.247	-1.079	-3.014	-4.806	-1.409	-1.065	-1.651	-1.64	0.152	-0.009	0.151	0.082	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	0.042	-0.7	-0.018	0.228	0.291	0.429	0.461	-0.31	0.22	-1.089	-1.816	-1.943	-2.101
"YKR059W"	-1.501	-1.181	-1.543	-1.54	-2.817	-4.998	-2.593	-2.103	-2.531	-2.238	0.468	0.443	0.919	0.474	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.175	-1.914	0.704	0.388	0.544	0.673	0.499	-0.226	0.549	-1.996	-1.627	-1.854	-2.344
"YKR093W"	-0.6615	-0.873	-1.01	-0.6915	-1.7715	-2.854	-0.4255	-0.533	-0.8025	-1.363	-0.3325	-0.6675	-0.5015	-0.3815	-1.4335	-1.7135	-1.3735	-1.284	-1.437	-2.1255	-0.491	0.412	-0.247	-0.016	-0.384	-0.1605	-0.0725	0.144	-0.0125	-0.829	-1.325	-1.2435	-1.2
"YLR060W"	-0.609	-2.296	-2.499	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-0.799	-0.947	-0.832	-0.453	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	-1.817	-0.656	0.13	0.276	0.199	0.224	0.076	0.049	-2.464	-1.72	-1.77	-1.452
"YLR066W"	-0.39	-0.609	-0.728	-0.857	-1.805	-4.153	-0.154	-0.273	-0.588	-0.522	0.245	0.051	-0.024	0.069	-0.462	-0.663	-0.708	-1.092	-1.743	-2.746	0.156	-0.474	0.046	0.137	-0.001	0.021	0.09	0.028	0.044	-0.683	-0.355	-0.203	-0.317
"YLR196W"	-1.576	-2.049	-1.898	-2.276	-4.437	-5.836	-2.858	-2.859	-1.799	-1.477	-0.464	-0.673	-0.328	-0.77	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	-0.053	-2.767	-0.395	0.039	0.696	0.583	0.373	-0.191	1.461	-1.216	-1.727	-2.058	-2.19
"YLR291C"	-0.802	-1.83	-1.482	-1.792	-3.037	-4.762	-1.324	-1.096	-1.104	-2.027	0.111	0.085	-0.128	-0.108	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	0.033	-0.916	0.203	-0.201	0.095	0.062	0.048	-0.027	0.386	-1.532	-1.466	-1.248	-1.501
"YLR293C"	-1.218	-2.565	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	0.17	0.228	-0.037	0.001	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	-1.392	0.269	0.127	0.176	0.315	0.32	0.168	1.019	-2.235	-1.553	-1.559	-1.887
"YLR314C"	-0.739	-0.859	-1.783	-1.658	-2.218	-5.585	-0.307	-0.846	-1.368	-1.023	-0.502	-0.454	-0.327	-0.346	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	-0.128	-0.851	-0.469	0.019	-0.254	-0.076	0.056	0.203	-0.159	-1.17	-2.48	-2.682	-2.101
"YLR412W"	-0.481	-0.826	-0.63	-0.444	-1.827	-4.156	-0.448	-0.571	-0.501	-0.828	-0.257	-0.016	-0.17	-0.188	-0.928	-0.892	-0.742	-0.959	-1.335	-2.231	-0.113	-0.149	-0.001	-0.012	-0.037	-0.096	-0.002	-0.079	0.483	-0.856	0.006	0.299	-0.109
"YML019W"	-0.221	-0.247	-0.419	-0.184	-1.914	-3.311	-0.609	-0.972	-0.93	-0.412	0.114	0.185	0.453	0.397	-0.206	-0.992	-0.775	-1.333	-1.842	-1.638	0.119	-0.175	0.076	0.023	0.008	0.262	0.214	0.216	0.267	-0.428	-0.91	-0.704	-0.972
"YMR079W"	-0.71	-0.978	-1.001	-0.492	-2.074	-3.648	-2.164	-1.512	-1.837	-1.777	0.11	0.144	0.458	0.345	-1.053	-1.258	-1.294	-1.666	-1.971	-2.855	NaN	NaN	0.019	-0.121	0.116	0.061	0.01	-0.031	0.667	-0.719	-1.732	-1.54	-1.041
"YMR114C"	0.265	3.029	2.847	2.327	4.1	4.572	2.095	2.582	2.58	2.319	-0.195	-0.338	-0.145	-0.165	1.024	2.032	2.343	3.614	3.555	3.502	0.0	1.676	-0.3	-0.228	-0.505	-0.413	-0.057	-0.008	-0.315	1.879	1.207	1.404	1.851
"YMR235C"	-0.555	-1.493	-1.783	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	0.101	0.059	0.132	0.084	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.037	-0.992	0.1	0.055	0.213	0.165	0.111	-0.11	0.527	-1.782	-1.955	-1.504	-1.586
"YNL009W"	1.087	3.36	3.931	2.976	3.672	5.794	2.636	1.965	2.771	2.567	-0.123	0.13	0.056	0.16	3.455	2.625	2.456	4.699	4.803	3.897	-0.595	2.612	0.144	0.331	-0.024	-0.195	0.209	-0.017	-0.441	2.142	2.776	2.656	2.059
"YNL085W"	-0.309	-0.37	-0.67	-0.991	-2.342	-5.369	-1.302	-1.277	-1.365	-1.115	0.252	0.219	0.048	0.151	-0.652	-1.668	-1.484	-2.001	-2.706	-3.291	-0.027	-0.63	-0.119	0.292	0.121	0.304	0.282	-0.366	0.468	-0.946	-2.633	-2.361	-2.58
"YNL189W"	-0.53	-0.902	-1.084	-1.349	-2.367	-4.06	-0.86	-0.875	-1.183	-1.19	-0.055	-0.114	-0.113	0.108	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.042	-0.788	-0.06	0.07	0.221	0.097	0.057	-0.06	0.254	-1.6445	-0.967	-1.047	-1.062
"YNL287W"	-0.159	-0.849	-0.596	0.067	-2.621	-3.454	-1.013	-0.783	-1.098	-1.915	0.395	0.219	0.075	0.131	-0.796	-0.779	-1.013	-2.186	-2.841	-3.164	-0.016	-0.202	-0.032	0.058	-0.242	0.016	-0.09	-0.004	0.414	-0.624	-1.547	-1.437	-1.864
"YNR043W"	-0.812	-1.574	-1.86	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	-0.647	-0.554	-0.752	-0.476	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.223	-1.184	-0.575	0.413	0.51	0.55	0.51	0.057	-0.155	-1.878	-1.559	-1.841	-1.612
"YOR198C"	0.191	-1.3675	-1.6725	-1.933	-4.452	-5.562	-0.8245	-1.185	-1.262	-0.9675	-0.146	0.125	0.18	0.206	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.067	-0.599	0.277	0.434	0.194	0.329	0.312	0.182	0.518	-2.297	-2.749	-2.555	-2.772
"YOR239W"	-0.421	-1.1765	-1.31	-2.145	-3.232	-5.0985	-0.9345	-1.0745	-1.633	-1.8425	0.059	-0.058	0.057	0.293	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.155	-0.467	0.014	-0.041	0.243	0.23	0.309	0.021	0.647	-1.366	-1.963	-1.992	-1.951
"YOR247W"	-1.874	-1.659	-3.6325	-2.4025	-2.8065	-3.7675	-1.468	-1.3375	-2.7045	-3.31	-1.065	-1.45	-0.78	-0.592	-1.533	-2.65	-4.168	-2.915	-3.371	-3.616	0.122	-0.861	-1.192	-0.197	-0.489	-0.193	-0.146	0.209	-0.621	-2.712	-2.913	-3.76	-3.587
"YOR248W"	-1.646	-1.017	-3.1655	-1.9565	-2.455	-3.649	-1.0325	-1.328	-2.5005	-2.522	-0.967	-1.432	-0.671	-0.76	-1.441	-2.529	-3.268	-2.03	-3.131	-2.868	0.215	-1.271	-1.231	0.179	-0.386	0.112	0.204	0.121	-0.271	-2.535	-2.556	-3.396	-3.082
"YOR270C"	-0.446	-0.293	-0.549	-0.6225	-1.649	-4.932	-0.968	-1.027	-1.5115	-1.114	0.092	0.068	-0.016	0.031	-0.361	-0.855	-0.859	-1.912	-2.307	-2.635	0.016	-0.462	-0.072	0.09	0.183	0.346	0.34	-0.409	0.262	-0.721	-1.313	-1.465	-1.872
"YOR309C"	-2.067	-4.227	-3.75	-3.942	-4.234	-6.859	-3.709	-3.9105	-3.8235	-2.194	-0.467	-0.315	0.007	-0.042	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	0.103	-2.569	-0.224	0.15	0.563	0.634	0.468	0.089	1.524	-3.451	-2.601	-2.983	-2.775
"YOR323C"	-0.816	-1.757	-1.941	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-2.053	0.087	0.338	0.354	0.425	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.024	0.123	0.414	0.271	0.099	0.269	-0.003	0.227	0.112	-1.603	-1.289	-1.133	-0.748
"YOR326W"	-1.069	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.9335	-0.717	-0.843	-0.625	-1.176	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.544	-1.1	-0.945	0.491	0.129	0.422	0.556	0.205	0.245	-1.467	-1.606	-1.497	-1.522
"YPL037C"	-0.961	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	-1.006	-1.307	-1.133	-0.769	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.064	-1.057	-0.967	0.166	0.354	0.319	0.234	0.237	0.176	-1.648	-0.934	-0.936	-0.989
"YPR033C"	-1.113	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	0.508	0.332	0.64	-0.303	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.095	-1.379	0.377	0.306	0.519	0.458	0.431	0.242	0.736	-2.107	-2.213	-2.318	-2.374
"YPR118W"	-0.791	-2.4945	-2.706	-3.095	-3.9965	-5.524	-2.525	-2.5375	-2.305	-2.577	0.178	0.578	0.554	0.422	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.092	-0.955	0.458	0.078	0.35	0.439	0.25	-0.027	0.585	-1.794	-1.462	-0.745	-1.217
"YPR181C"	0.402	-0.5595	-1.004	-0.7715	-2.057	-3.9085	-1.173	-1.193	-0.574	-1.7355	-0.175	-0.161	-0.064	-0.172	-0.89	-0.898	-0.641	-0.902	-1.196	-1.542	-0.087	-0.399	-0.204	-0.046	0.074	-0.052	-0.037	0.173	-0.243	-1.163	-0.858	-0.564	-0.75
