	"107.heat shock 10 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"
"YJL002C"	-0.3405	-2.469	-4.487	-0.256	-1.766	-0.803	-0.942	-1.17	-1.748	-2.556	-2.618	-0.541
"YJL097W"	0.5095	-2.596	-4.683	0.133	-0.944	-1.483	-1.025	-1.409	-1.461	-2.558	-2.276	-0.362
"YJL138C"	0.8045	-3.125	-5.625	-0.913	-1.674	-1.959	-1.763	-2.049	-2.542	-2.785	-3.522	-1.659
"YJL188C"	-0.403	-2.786	-4.633	-1.02	-2.519	-1.879	-1.885	-1.929	-2.169	-2.54	-2.776	-1.308
"YJL189W"	-0.2	-2.901	-4.28	-0.329	-1.716	-1.833	-1.78	-2.141	-1.577	-2.282	-2.837	-0.9005
"YJL190C"	-0.9235	-3.585	-6.079	-1.801	-3.536	-3.062	-3.105	-3.227	-2.941	-3.365	-3.524	-2.0875
"YJR014W"	0.0865	-2.399	-3.649	-0.108	-0.739	-0.484	-0.911	-1.062	-0.993	-1.578	-1.95	-0.411
"YJR076C"	0.209	-2.55	-4.614	-0.075	-1.375	0.846	-0.839	-0.776	-1.815	-2.814	-3.117	-0.4745
"YJR139C"	0.4215	-2.333	-4.462	0.932	-1.32	-1.529	-0.762	-1.269	-1.914	-2.388	-2.051	-0.255
"YKL056C"	0.0285	-3.426	-5.119	-1.388	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	-1.1915
"YKL154W"	-1.219	-2.701	-3.89	-0.11	-1.136	-0.702	-1.477	-1.447	-1.765	-2.132	-2.222	-0.165
"YKL180W"	-0.855	-2.561	-5.237	-1.079	-2.593	-2.296	-2.351	-2.354	-2.059	-2.04	-2.857	-2.01
"YKR008W"	0.09	-1.363	-2.347	-0.038	-0.376	-0.631	-0.712	-0.649	-0.756	-0.908	-1.411	-0.167
"YKR026C"	-0.681	-2.863	-3.755	-0.538	-1.657	-1.681	-1.369	-1.003	-1.858	-2.363	-2.231	-0.479
"YLL044W"	-0.576	-3.79	-6.48	-1.254	-3.269	-2.156	-2.654	-2.736	-2.724	-3.494	-3.967	-1.906
"YLL045C"	-0.787	-3.857	-6.618	-0.863	-3.185	-2.744	-2.604	-2.495	-2.943	-3.021	-3.731	-1.965
"YLR060W"	-0.412	-4.941	-5.967	-0.371	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	-0.708
"YLR062C"	-0.997	-5.705	-6.896	-1.355	-3.965	-3.18	-3.209	-3.706	-4.299	-4.293	-5.234	-1.928
"YLR075W"	-0.028	-1.991	-6.109	-0.625	-2.807	-2.616	-1.706	-1.888	-1.003	-2.135	-2.586	-1.837
"YLR153C"	-0.147	-4.481	-5.598	0.456	-0.269	-0.671	-1.29	-2.312	-3.578	-3.672	-3.394	-0.493
"YLR185W"	-1.2	-2.578	-5.928	-1.23	-2.616	-2.445	-2.136	-2.209	-2.015	-2.479	-3.065	-1.486
"YLR286C"	0.1	-2.217	-3.974	0.048	-1.444	-1.541	-0.608	-2.081	-1.182	-1.216	-2.338	-0.262
"YLR292C"	-0.088	-1.605	-3.717	-0.283	-0.893	-0.887	-1.241	-0.63	-1.388	-1.751	-1.71	-0.284
"YLR293C"	0.025	-3.488	-6.281	-0.632	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	-0.733
"YLR339C"	0.124	-4.988	-6.865	-1.597	-3.201	-2.938	-2.647	-2.474	-2.461	-3.161	-3.973	-1.958
"YLR340W"	0.419	-4.11	-6.819	-1.473	-3.015	-2.689	-2.703	-2.701	-2.702	-3.206	-4.105	-1.943
"YLR388W"	-0.326	-3.596	-5.506	-1.483	-2.742	-2.362	-2.671	-2.555	-2.232	-2.581	-3.193	-1.597
"YML022W"	-0.979	-3.146	-3.98	-1.443	-2.096	-2.796	-2.266	-2.26	-2.846	-3.092	-3.144	-1.207
"YML063W"	-0.855	-4.048	-13.273	-1.224	-3.415	-2.83	-2.658	-2.875	-3.123	-3.364	-4.059	-1.98
"YML073C"	-1.272	-3.862	-6.033	-1.28	-3.087	-2.501	-2.561	-2.549	-2.401	-2.624	-3.718	-1.867
"YML094W"	-0.334	-3.509	-3.049	-0.586	-1.339	-1.555	-1.306	-1.521	-1.93	-2.071	-2.286	-0.826
"YML126C"	-0.323	-5.631	NaN	-0.282	-1.757	-2.326	-1.093	-1.459	-2.003	-2.732	-2.63	-1.168
"YMR015C"	0.084	-3.115	-4.638	0.219	-0.809	-0.785	1.451	0.103	-2.837	-3.222	-4.784	-0.038
"YMR091C"	0.443	-1.458	-4.005	-0.364	-1.052	-1.247	-0.855	-1.288	-1.396	-2.09	-2.24	-0.278
"YMR116C"	-0.626	-4.551	-6.865	-1.577	-3.535	-3.312	-2.851	-2.888	-2.906	-3.561	-4.003	-1.945
"YMR121C"	-0.365	NaN	-4.199	-0.681	-2.44	-1.709	-2.019	-2.144	-2.277	-2.155	-2.582	-1.441
"YMR130W"	-0.396	-1.972	-3.845	-0.333	-0.671	-1.168	-1.36	-1.47	-2.339	-2.247	-2.295	-0.231
"YMR142C"	-0.959	-0.651	-6.693	-1.636	-3.197	-3.226	-2.974	-2.468	-2.774	-3.415	-4.248	-1.695
"YMR202W"	-0.154	-4.391	-5.431	-0.444	-1.907	-1.33	-1.63	-1.208	-2.263	-2.876	-2.931	-1.371
"YMR208W"	0.51	-2.542	-3.618	0.375	-0.674	-1.088	-0.931	-1.136	-1.98	-2.454	-2.354	-0.276
"YMR220W"	-0.254	-1.869	-3.12	-0.109	-0.905	-1.473	-0.492	-0.881	-1.468	-2.008	-1.728	-0.013
"YMR235C"	-0.829	-3.534	-5.187	-0.339	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	-1.014
"YMR242C"	-1.02	-3.971	-6.226	-1.253	-3.636	-3.62	-2.59	-3.004	-2.601	-3.133	-3.475	-1.855
"YMR260C"	0.15	-2.549	-5.138	-0.88	-2.366	-2.167	-1.968	-2.005	-1.338	-1.729	-2.229	-1.686
"YMR307W"	-1.001	-5.132	-5.877	-0.576	-3.284	-3.878	-2.493	-3.39	-4.432	-5.016	-4.56	-1.484
"YNL066W"	-1.028	-4.175	-5.451	-0.265	-2.475	-3.648	-2.162	-2.812	-2.02	-3.425	-3.757	-0.825
"YNL078W"	-0.235	-1.897	-1.244	-0.348	-0.557	-1.149	-0.899	-1.232	-0.556	-0.906	-0.888	-0.049
"YNL079C"	0.195	-2.802	-4.703	0.624	-1.01	-0.652	-0.764	-0.464	-1.383	-2.486	-3.23	-0.281
"YNL090W"	0.397	-2.438	-2.292	-0.129	-1.032	-1.162	-1.304	-1.549	-1.844	-1.862	-2.234	-0.597
"YNL154C"	0.172	-1.871	-3.909	-0.087	-1.037	-0.547	-0.946	-1.374	-1.346	-2.5	-2.113	-0.129
"YNL178W"	-0.342	-4.338	-6.62	-1.624	-3.272	-3.183	-2.899	-2.981	-2.958	-3.483	-3.871	-2.137
"YNL301C"	-0.856	-5.123	-6.272	-1.521	-3.098	-2.59	-2.799	-2.781	-2.652	-2.985	-3.448	-1.9
"YNL307C"	-0.382	-1.27	-2.049	0.177	-0.998	-0.959	-0.67	-0.638	-0.439	-1.089	-2.02	-0.324
"YNL327W"	-1.045	-3.812	-3.662	0.084	-1.776	-3.032	-2.091	-3.678	-2.99	-2.904	-3.489	0.466
"YNR043W"	-0.258	-2.934	-5.1565	-0.4085	-1.949	-1.8335	-2.078	-2.382	-2.655	-3.803	-3.856	-1.007
"YOR103C"	0.345	-1.431	-2.033	1.316	-0.868	-0.958	-0.653	-0.79	-0.954	-1.114	-1.311	-0.283
"YOR209C"	-0.331	-2.998	-6.004	-0.3685	-1.647	-1.516	-0.906	-1.227	-1.897	-2.681	-2.954	-0.358
"YOR224C"	-1.572	-3.348	-4.849	-0.8915	-2.4505	-2.027	-2.173	-2.296	-2.099	-2.615	-2.202	-1.34
"YOR263C"	0.155	-2.027	-1.641	0.612	-0.1085	-0.7365	-0.477	-0.965	-0.245	-0.427	-0.945	0.198
"YOR276W"	-0.507	-3.943	-4.3595	-0.5975	-1.99	-1.6405	-1.789	-1.815	-1.759	-1.888	-2.356	-1.212
"YOR323C"	0.287	-4.2845	-6.434	-0.408	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	-0.792
"YOR326W"	-0.698	-3.4635	-4.9875	0.5605	-2.6115	-1.9335	-1.82	-2.099	-3.585	-3.591	-2.795	0.366
"YPL010W"	0.274	-3.3685	-3.598	-0.3755	-1.946	-1.8565	-1.349	-1.499	-2.935	-2.898	1.643	-0.333
"YPL037C"	0.205	-3.9955	-5.417	-0.872	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	-1.009
"YPL079W"	-0.518	-3.892	-6.4765	-1.563	-3.0255	-3.112	-2.741	-3.087	-3.015	-3.498	-4.547	-1.713
"YPL081W"	-0.955	-3.4025	-6.801	-0.895	-2.428	-2.3315	-2.849	-2.929	-2.789	-2.909	-3.725	-0.736
"YPL094C"	-0.998	-3.0415	-5.3055	-0.7195	-1.6665	-1.6385	-1.142	-1.061	-2.024	-2.284	-2.741	-0.603
"YPL158C"	0.161	-1.597	-3.676	0.506	-1.1435	-1.052	-1.264	-1.789	-1.362	-2.019	-1.818	0.048
"YPL178W"	-0.206	-2.0395	-3.2495	-0.1995	-0.3965	-0.2915	-1.104	-1.052	-1.535	-1.511	-1.922	-0.281
"YPL195W"	0.015	-1.607	-4.488	0.1695	-0.544	-0.989	-0.626	-0.938	-1.595	-1.621	-1.904	0.14
"YPL198W"	-0.989	-4.3605	-6.879	-1.2855	-3.022	-2.766	-2.227	-2.449	-2.487	NaN	-3.133	-1.506
"YPL217C"	-0.852	-1.5225	-1.625	-0.486	-1.368	-1.786	-1.528	-1.485	-0.956	-1.058	-1.144	-0.877
"YPL243W"	-0.847	-4.1455	-5.276	-0.4125	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	-0.471
"YPR033C"	-1.271	-4.8805	-7.94	-0.032	-2.759	-2.6225	-2.096	-2.55	-3.951	-4.382	-4.54	-1.174
"YPR044C"	-0.3415	-2.87	-4.76433333333333	-1.36566666666667	-2.80733333333333	-2.81333333333333	-2.14	-2.1115	-1.2955	-1.702	-1.9615	-1.492
"YPR102C"	-0.605	-4.045	-6.451	-1.274	-3.673	-3.277	-2.723	-3.232	-3.352	-3.749	-4.692	-1.815
