	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"
"YML078W"	0.522	-3.857
"YMR010W"	0.788	-4.183
"YMR047C"	0.6675	-3.61
"YMR058W"	2.761	-2.852
"YMR072W"	-0.586	-3.964
"YMR126C"	0.482	-0.482
"YMR142C"	1.859	-6.693
"YMR208W"	0.715	-3.618
"YMR212C"	1.01	-6.75
"YMR222C"	0.91	-2.535
"YMR242C"	2.345	-6.226
"YNL004W"	0.431	NaN
"YNL066W"	1.266	-5.451
"YNL069C"	1.983	-4.824
"YNL082W"	0.372	-2.817
"YNL095C"	-0.212	-2.152
"YNL096C"	2.487	-6.106
"YNL177C"	0.617	-2.1
"YNL178W"	1.969	-6.62
"YNL189W"	0.697	-4.06
"YNL218W"	-0.272	-3.318
"YNL268W"	0.657	-3.13
"YNL286W"	-0.627	-1.238
"YNL301C"	2.223	-6.272
"YNL304W"	1.177	-1.104
"YNL316C"	0.885	-3.472
"YNL321W"	0.572	-1.602
"YOL019W"	-1.177	-2.434
"YOL039W"	2.518	-7.971
"YOL040C"	2.7	-6.413
"YOL062C"	0.669	-4.46
"YOL121C"	1.834	-1.754
"YOL127W"	1.307	-2.676
"YOR001W"	0.614	-4.782
"YOR101W"	1.056	-0.3155
"YOR157C"	0.958	-4.5095
"YOR184W"	1.017	-4.7005
"YOR201C"	0.427	-2.872
"YOR209C"	1.139	-6.004
"YOR241W"	0.607	-6.523
"YOR283W"	-0.57	-2.0285
"YOR320C"	0.84	-3.6785
"YOR369C"	2.138	-6.5475
"YPL025C"	-0.495	-2.062
"YPL079W"	2.125	-6.4765
"YPL086C"	0.886	-5.552
"YPL124W"	0.353	-2.861
"YPL145C"	0.913	-4.3865
"YPL198W"	2.2845	-6.879
"YPL220W"	1.9695	-6.1465
"YPL263C"	0.738666666666667	-4.9735
"YPR036W"	0.9445	-5.024
"YPR102C"	2.3265	-6.451
"YPR114W"	1.087	-3.903
"YPR132W"	2.133	-5.805
"YPR137W"	0.846	-3.783
