	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"
"YGL120C"	-3.316	-3.34	-3.231	-1.542	-3.954	-3.877	1.075	1.116	0.987	0.105	-1.353	-1.614	-4.557	-3.087	-2.282	-4.088	-5.111	-3.171	-3.229	0.082	0.013	-0.631	-3.459	-1.783	-2.866	-3.888	-4.137	-0.116	-0.416	-0.358	0.0	-0.135	-0.218	-1.401	-0.234	-0.446	0.14	-3.8	-1.699	-2.094	-1.42	0.572	-1.611	-2.406	-2.085	-1.088	-2.064	0.27	-2.891	-3.546
"YGL171W"	-4.302	3.479	-4.243	-1.503	-3.818	-3.208	1.073	1.03	0.854	0.45	-1.398	-2.42	-5.822	-2.949	-1.839	-2.903	-4.649	-2.759	-2.384	0.119	-0.567	-1.546	-3.704	-1.978	-2.292	-3.082	-2.503	0.044	0.38	-1.418	0.01	0.047	-0.251	-1.31	-0.467	-0.401	0.133	-3.658	-2.045	-3.155	-1.931	0.435	-2.692	-2.678	-2.445	-2.812	-2.994	-0.154	-2.646	-3.848
"YGR123C"	-3.5875	-2.638	-3.2965	-1.9375	-4.1895	-3.748	1.116	0.996	0.986	0.036	-1.124	-2.061	-4.447	-2.7	-2.224	-3.794	-4.328	-2.878	-2.97	0.271	0.278	-0.839	-2.118	-1.536	-1.42	-2.413	-2.243	0.124	-0.064	-0.345	-0.141	0.051	-0.2795	-1.365	0.085	-0.015	-0.263	-4.594	-1.332	-1.682	-1.392	0.848	-1.448	-1.8045	-1.537	-1.606	-2.099	0.2875	-2.403	-3.836
"YGR128C"	-2.985	-2.926	-3.042	-1.3415	-3.197	-2.749	0.453	0.922	0.782	0.066	-0.901	-1.641	-3.032	-2.601	-2.665	-2.66	-4.271	-2.816	-2.202	0.357	-0.399	-1.049	-3.207	-2.236	-2.017	-3.037	-2.679	0.001	0.391	-1.149	0.096	-0.761	-0.059	-0.961	-0.006	-0.226	-0.1135	-2.534	-2.1895	-2.5515	-1.2875	0.395	-2.1995	-2.767	-1.4715	-2.175	-3.083	0.033	-1.071	-0.921
"YGR158C"	-1.5985	-1.0395	-1.3315	-1.0915	-1.451	-1.544	0.972	0.674	0.497	0.098	-0.3785	-1.002	-2.111	-0.958	-1.405	-2.12	-2.421	-1.661	-1.147	-0.131	-0.165	-0.444	-1.205	-1.121	-1.365	-1.801	-2.176	0.059	-0.209	-0.632	-0.275	-0.176	-0.1195	-0.424	-0.488	-0.536	-0.071	-1.6075	-0.9725	-0.658	-0.5595	-0.31	-1.171	-1.1015	-1.0445	-0.924	-1.4055	0.128	-1.386	-2.299
"YHR042W"	-1.0785	-2.181	-1.513	-1.1385	-1.177	-1.5845	0.921	0.597	0.551	0.647	-0.942	-1.309	-1.462	-0.886	-1.322	-2.228	-4.647	-1.619	-1.459	-0.082	-0.099	-0.435	-1.434	-1.914	-1.986	-1.732	-1.698	0.133	-1.026	-0.16	-0.009	-0.12	-0.105	-1.055	-0.217	0.142	-0.404	-1.642	-0.817	-1.533	-1.261	-0.144	-1.4	-1.724	-1.417	-1.482	NaN	0.096	-1.231	-1.113
"YHR066W"	-3.7505	-3.058	-3.0515	-1.2655	-3.762	-3.552	1.163	1.097	0.948	0.279	-0.87	-1.966	-4.885	-2.062	-1.792	-3.164	-5.203	-2.974	-2.008	0.289	-0.773	-1.685	-2.742	-1.569	-1.879	-2.539	-1.923	0.045	0.214	-1.419	0.466	-1.053	-0.228	-0.9025	-0.449	-0.381	0.0555	-4.347	-2.269	-2.765	-1.648	1.127	-2.571	-2.504	-1.998	-2.15	-3.667	-0.185	-1.623	-2.382
"YJR071W"	-1.613	-2.736	-2.866	-1.795	-3.68	-3.2685	0.966	0.867	0.927	0.382	-0.6285	-1.376	-4.366	-2.638	-2.81	-2.688	-4.787	-3.257	-2.877	-0.041	-0.03	-0.899	-1.625	-1.453	-1.382	-1.931	-0.391	-0.187	-0.038	-0.547	-0.435	-0.153	-0.0865	-1.094	-0.046	-0.241	-0.0715	-3.9695	-0.935	-1.961	-1.904	1.046	-0.998	-1.976	-2.363	-1.796	-1.356	-0.273	-0.988	-1.797
"YJR143C"	-0.9645	NaN	-1.8585	-0.626	-1.6305	-1.8185	0.597	0.657	0.447	0.551	-1.328	-1.262	-1.748	-1.012	-1.713	-4.675	-5.523	-2.151	-2.716	-0.388	0.269	0.542	-1.799	-2.118	-3.335	-3.698	-3.382	0.242	-0.252	-0.442	0.239	-0.023	0.2165	-1.3065	-0.031	-0.023	0.06	-1.367	-1.182	-1.535	-1.063	0.644	-0.498	-1.562	-1.266	-0.316	-1.529	0.162	-1.722	-1.32
"YKL009W"	-1.833	-3.1635	-3.58	-2.2705	-4.1895	-4.13	1.489	1.639	1.192	-0.16	-1.0445	-2.29	-5.997	-3.719	-2.449	-3.082	-6.168	-3.144	-2.368	0.618	-0.348	-1.817	-4.341	-2.856	-2.349	-3.318	-2.938	0.31	0.415	-1.109	0.251	-1.4	-0.1195	-1.2765	-0.491	-0.452	5.0E-4	-4.4285	-2.068	-3.064	-1.961	0.683	-2.401	-2.756	-2.988	-2.346	-3.411	-0.274	-2.602	-4.823
"YKL026C"	2.2195	2.506	1.669	1.2625	2.0745	1.793	-1.322	-1.167	-0.206	-0.256	1.444	2.37	4.553	3.42	3.618	5.561	6.641	3.848	3.239	-0.59	-0.651	0.093	3.106	3.607	4.354	3.97	3.468	-0.084	0.556	0.538	0.101	0.104	-0.1325	1.606	0.157	0.065	0.2265	2.634	1.03	1.649	1.545	-0.836	0.95	1.847	2.974	1.061	2.999	-0.287	3.937	3.949
"YKR081C"	-4.459	-3.157	-3.308	-1.663	-3.81	-3.431	1.33	1.422	0.912	-0.065	-1.263	-1.773	-4.081	-2.662	-1.821	-2.08	-4.632	-3.278	-2.505	0.361	-0.28	-1.025	-3.734	-2.118	-2.282	-2.696	-2.515	-0.04	0.271	-0.988	0.336	-0.793	-0.503	-1.565	-0.108	-0.541	0.043	-3.505	-2.195	-2.534	-1.586	0.689	-1.95	-2.641	-3.084	-2.582	-4.501	-0.337	-3.386	-3.261
"YLR009W"	-4.735	-4.567	-4.564	-1.981	-4.204	-3.864	1.074	1.035	0.872	0.458	-0.859	-2.235	-4.675	-2.624	-2.126	-2.518	-5.388	-2.737	-2.637	0.44	-0.423	-1.938	-3.455	-2.757	-2.555	-3.216	-2.799	0.188	0.433	-1.592	-0.064	-1.002	-0.164	-1.069	0.278	-0.225	-0.035	-4.344	-2.528	-2.856	-1.157	0.374	-2.352	-2.849	-2.61	-3.247	-2.788	-0.094	-2.229	-3.361
"YLR175W"	-4.176	NaN	-3.679	-2.134	-4.552	-4.902	1.215	1.304	1.12	0.137	-1.318	-2.615	-5.607	-3.276	-3.068	-3.401	-5.468	-3.996	-3.068	0.234	0.092	-0.863	-4.678	-3.408	-3.701	-4.364	-4.96	0.018	0.026	-0.59	0.21	-0.783	-0.038	-1.587	-0.335	-0.381	0.079	-4.431	-1.689	-2.55	-1.317	1.06	-1.803	-2.519	-2.435	-2.326	-2.547	0.268	-3.995	-4.338
"YLR186W"	-2.522	NaN	-2.221	-1.684	-2.976	-2.122	1.199	1.306	0.805	0.475	-0.594	-1.655	-4.787	-2.844	-2.346	-4.298	-5.516	-3.036	-2.821	0.321	0.144	-0.374	-2.372	-1.671	-1.74	-2.678	-2.467	-0.29	0.252	-0.75	0.05	-0.2	0.161	-0.824	-0.262	-0.163	0.153	-3.083	-1.947	-2.164	-1.226	0.723	-2.139	-1.941	-1.566	-1.927	-1.987	0.124	-3.381	-4.173
"YLR196W"	-5.425	-5.709	-5.04	-1.973	-4.896	-4.532	1.483	1.407	1.059	-0.022	-1.52	-2.273	-5.083	-3.01	-2.276	-4.437	-5.836	-2.858	-2.859	0.242	-0.038	-1.314	-4.378	-2.604	-3.933	-4.664	-4.392	-0.053	0.219	-1.266	0.24	-0.701	-0.191	-1.454	-0.356	-0.428	-0.223	-5.097	-2.335	-1.034	-1.483	0.687	-2.266	-2.435	-2.536	-1.995	-2.15	-0.121	-2.901	-3.658
"YLR197W"	-4.98	-4.31	-4.044	-2.606	-4.76	-5.179	1.23	1.252	1.224	-0.227	-1.737	-2.844	-5.817	-3.612	-3.255	-4.736	-5.242	-3.899	-3.238	0.168	-0.036	-0.823	-5.671	-3.716	-4.423	-4.976	-5.033	0.069	-0.283	-0.419	0.131	0.166	-0.125	-1.878	-0.084	-0.174	-0.021	-5.072	-1.367	-2.537	-1.484	1.062	-1.38	-2.659	-2.715	-1.851	-3.105	0.08	-4.983	-4.545
"YLR409C"	NaN	-3.474	-3.176	-1.59	-3.696	-3.852	0.947	0.965	0.864	0.456	-0.942	-1.524	-4.402	-2.709	-2.222	-3.204	-4.211	-2.308	-2.578	0.028	-0.32	-1.114	-2.708	-2.286	-2.713	-3.315	-3.47	0.054	-0.066	-1.229	0.013	-0.394	-0.282	-1.148	-0.253	-0.145	-0.005	-4.473	-1.442	-1.735	-1.373	0.17	-1.71	-1.598	-1.543	-1.706	-1.269	0.44	-2.143	-3.231
"YML093W"	-4.507	2.565	-2.615	-1.452	-3.357	-3.472	1.211	1.05	0.767	0.143	-1.019	-1.785	-4.947	-2.836	-2.007	-2.962	-5.889	-2.797	-2.437	0.298	-0.47	-1.304	-3.309	-2.236	-2.547	-2.745	-3.262	-0.227	0.096	-0.629	0.305	-0.693	-0.226	-1.18	-0.477	-0.548	-0.19	-3.703	-2.27	-2.15	-1.333	0.444	-2.133	-2.251	-1.888	-1.188	-2.063	-0.133	-2.999	-4.548
"YMR131C"	-4.819	-4.67	-4.183	-2.431	-4.525	-4.347	1.141	0.906	0.972	0.181	-1.248	-1.871	-5.631	-3.641	-2.914	-5.052	-6.665	-3.547	-2.98	0.305	-0.183	-1.294	-4.277	-3.214	-4.236	-5.241	-4.266	-0.125	-0.435	-0.245	-0.015	-0.392	-0.17	-1.363	-0.261	-0.558	0.087	-4.674	-1.597	-2.526	-1.638	0.435	-2.226	-2.228	-2.286	-1.937	-4.32	0.183	-1.412	-4.181
"YNL062C"	-3.459	-1.549	-2.934	-1.18	-3.093	-2.844	1.074	0.899	0.774	0.356	-0.885	-1.093	-4.157	-2.785	-2.835	-3.07	-6.263	-2.304	-2.254	0.032	-0.502	-1.085	-2.028	-1.803	-1.717	-2.639	-2.206	0.077	0.468	-0.88	-0.003	-0.327	-0.016	-0.813	-0.293	-0.295	0.232	-2.71	-1.524	-1.877	-1.389	0.33	-1.859	-1.999	-1.761	-2.052	-1.603	0.091	-2.698	-2.838
"YNL096C"	-1.989	-1.724	-2.093	-1.409	-2.881	-3.202	1.017	0.749	0.741	-0.37	-1.149	-2.329	-4.113	-3.765	-3.616	-4.038	-6.106	-3.331	-3.045	0.439	-0.197	-0.744	-4.716	-3.041	-3.644	-4.096	-4.68	0.182	-0.063	-0.004	-0.057	0.063	0.169	-1.523	0.049	0.001	-0.249	-2.812	-0.81	-1.327	-0.486	0.303	-1.002	-1.365	-1.367	-2.207	-3.164	0.112	-3.52	-3.087
"YNL113W"	-3.404	-2.327	-2.697	-0.959	-2.536	-2.502	1.188	0.831	0.983	0.231	-0.644	-1.165	-5.347	-3.34	-2.291	-2.537	-7.034	-3.971	-2.612	0.639	-0.411	-1.278	-3.24	-1.782	-1.889	-2.222	-2.123	-0.096	-0.037	-0.435	-0.176	-0.652	0.046	-1.012	-0.421	-0.3	0.08	-3.986	-2.25	-2.077	-1.521	0.346	-2.355	-1.743	-1.373	-2.023	-2.454	-0.0015	-2.809	-4.226
"YNL114C"	-2.893	-1.943	-2.686	-1.404	-3.33	-3.663	1.0	0.814	0.999	0.011	-0.691	-1.548	-5.245	-2.663	-2.571	-3.791	-6.572	-2.827	-2.978	0.555	-0.702	-1.446	-3.032	-2.221	-1.96	-2.004	-2.111	-0.056	0.26	-0.862	0.383	-0.421	0.029	-1.086	-0.396	-0.377	0.074	-2.799	-1.94	-1.765	-1.017	0.217	-1.905	-1.988	-1.617	-1.875	-2.874	-0.226	-2.905	-4.14
"YNL132W"	-4.679	NaN	-5.146	-2.394	-3.329	-4.954	1.008	0.683	0.542	0.113	-1.718	-2.634	-5.826	-3.389	-3.653	-4.956	-6.392	-3.285	-3.141	-0.045	-0.354	-1.138	-4.353	-2.936	-3.396	-4.377	-4.049	-0.072	-0.131	-1.138	-0.079	0.034	-0.156	-1.837	-0.062	-0.148	-0.019	-3.45	-1.977	-2.48	-1.999	0.971	-1.811	-2.637	-2.541	-2.688	-1.816	0.3195	-2.994	-3.989
"YNL247W"	-1.853	-1.668	-1.793	-1.337	-1.358	-2.268	0.772	0.698	0.677	0.661	-1.11	-1.463	-2.799	-1.535	-1.928	-3.191	-4.64	-2.34	-2.065	0.102	0.266	-0.227	-2.936	-2.277	-2.658	-3.388	-2.515	0.033	-0.07	0.023	-0.061	-0.388	-0.394	-1.462	0.171	0.33	0.007	-2.788	-1.29	-1.385	-1.079	0.848	-1.22	-1.802	-1.664	-1.633	-2.224	0.108	-3.771	-2.994
"YNL313C"	-3.472	-3.287	-3.026	-1.419	-2.935	-3.02	0.923	0.673	0.694	0.548	-0.75	-1.152	-4.999	-2.695	-2.126	-3.628	-5.714	-3.129	-2.948	0.193	0.004	-0.987	-2.839	-1.551	-2.01	-2.343	-2.518	0.191	-0.331	-1.47	0.106	-0.24	-0.1	-0.934	-0.207	-0.249	0.469	-3.009	-1.324	-2.161	-1.226	0.414	-1.718	-2.263	-1.754	-2.292	-1.116	-0.095	-1.867	-3.85
"YOR101W"	-1.895	-1.791	-2.147	-1.619	-2.469	-2.494	1.282	1.01	1.031	0.478	-0.921	-1.215	-2.223	-2.598	-1.323	-1.946	-0.3155	-3.003	-0.169	0.139	-0.158	-0.656	-1.616	-2.201	-2.301	-2.47	-2.748	-0.084	0.148	-0.533	-0.101	-0.151	-0.045	-1.103	-0.372	-0.168	0.083	-2.311	-1.583	-1.794	-0.991	0.148	-1.867	-1.648	-1.615	-1.559	-2.087	0.085	-2.087	-2.121
"YOR206W"	-5.087	-4.715	-3.702	-2.15	-5.083	-4.513	1.184	1.088	0.951	-0.0775	-1.554	-2.605	-5.827	-2.568	-2.174	-3.681	-6.4785	-3.1625	-1.9445	0.218	-0.397	-1.354	-3.888	-2.637	-3.151	-3.692	-3.694	-0.064	-0.359	-1.407	-0.2	-0.797	-0.152	-1.499	-0.421	-0.344	0.088	-5.066	-2.692	-2.957	-1.76	0.54	-2.678	-3.013	-2.89	-2.693	-3.011	0.147	-3.193	-4.817
"YOR243C"	-3.594	-2.991	-3.234	-2.239	-3.633	-3.982	1.203	1.139	1.2455	0.268	-1.168	-1.407	-3.8055	-2.475	-2.2855	-3.3625	-4.3935	-2.588	-2.1815	0.146	-0.28	-0.858	-3.635	-2.726	-2.865	-4.484	-3.863	0.092	-0.078	-0.774	-0.005	-0.571	-0.109	-1.245	-0.361	-0.299	-0.026	-4.099	-1.522	-1.65	-1.367	0.837	-1.719	-1.815	-1.514	-1.028	-1.855	0.194	-1.759	-2.825
"YOR271C"	-1.189	-1.301	-1.388	-0.217	-1.934	-2.644	0.717	0.714	0.677	0.3795	-0.769	-1.957	-3.7765	-2.0775	-2.9425	-2.276	-2.9995	-2.9595	-2.246	-0.713	0.153	-0.91	-1.553	-1.175	-1.395	-0.914	-1.184	0.162	-0.344	-0.336	0.0	-0.29	0.031	-1.112	-0.261	-0.377	0.268	-2.005	-1.023	-1.515	-1.198	0.806	-1.194	-1.462	-1.33	-1.054	-0.878	0.161	-3.724	-3.946
"YOR309C"	-4.991	-4.198	-4.328	-1.906	-5.523	-5.514	0.423	0.3	0.8	-0.079	-1.205	-2.572	-6.798	-4.4185	-3.942	-4.234	-6.859	-3.709	-3.9105	0.108	-0.099	-1.051	-5.839	-4.353	-4.746	-5.449	-5.009	0.103	0.2	-0.64	0.043	-0.153	0.089	-1.4	0.066	0.069	0.026	-4.939	-1.992	-3.13	-1.903	0.52	-2.119	-3.264	-3.161	-3.189	-3.165	0.051	-2.543	-4.097
"YPL160W"	-1.6415	-1.1585	-1.5095	-0.93	-1.989	-2.429	0.5835	0.598	0.415	0.238333333333333	-1.107	-1.501	-3.26033333333333	-2.28466666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-0.13	0.2095	0.0035	-4.0365	-2.824	-3.1695	-3.499	-2.977	-0.0355	-5.0E-4	0.204	0.0515	-0.189	0.0565	-1.148	0.387	0.6005	-0.227	-2.203	-0.81	-1.417	-1.1215	0.489	-0.809	-1.1225	-1.504	-1.3465	-1.4455	0.309	-3.477	-3.512
"YPR110C"	-3.178	-1.98	-3.084	-1.217	-3.52	-3.728	0.96	1.068	0.986	0.0235	-0.986	-1.742	-5.7185	-3.423	-3.133	-3.662	-6.318	-3.01	-3.296	0.349	-0.087	-0.693	-3.88	-2.703	-2.993	-3.212	-3.358	-0.038	-0.227	-0.409	-0.091	-0.623	0.102	-1.216	0.05	-0.27	0.216	-3.168	-1.321	-1.628	-0.902	0.106	-1.537	-1.899	-2.04	-1.598	-2.787	-0.194	-2.851	-3.882
"YPR119W"	-1.244	NaN	-1.045	-1.517	-0.971	-1.802	0.554	0.123	0.39	-0.0735	-1.09	-1.303	-2.692	-2.3105	-1.976	-4.6155	-4.3695	-1.235	-0.8395	0.226	0.122	0.124	-2.424	-4.062	-3.433	-3.885	-3.308	-0.482	-0.802	-0.237	0.153	-0.241	-0.096	-1.379	-0.325	-0.057	-0.476	-1.578	-1.93	-2.307	-1.934	0.309	-2.315	-3.274	-1.448	-1.183	-0.684	0.084	-2.849	-1.776
