	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"13496.G0 mRNP vs. Poly"
"YHL003C"	-3.084	-1.585	-1.707	-1.741	0.821	0.382
"YHR005C"	-4.17	-2.115	-2.592	-2.519	0.31	0.667
"YHR047C"	-4.423	-1.978	-3.102	-3.056	1.041	0.655
"YHR064C"	-5.238	-2.957	-3.678	-3.675	0.674	1.652
"YHR068W"	-6.532	-2.724	-3.669	-3.425	0.518	1.443
"YHR073W"	-2.844	-0.99	-1.786	-1.676	0.604	0.47
"YHR098C"	-3.065	-1.917	-1.925	-2.553	0.751	0.95
"YHR129C"	-2.678	-1.528	-1.313	-1.867	-0.056	0.353
"YHR133C"	-3.501	-1.64	-1.82	-2.45	0.407	0.343
"YHR208W"	-4.064	-2.263	-2.683	-2.939	-0.246	1.47
"YHR215W"	-4.916	-3.024	-3.535	-3.992	4.57	-0.435
"YIL018W"	-5.749	-2.661	-3.27	-3.914	0.848	0.701
"YIL044C"	-2.248	-1.033	-1.385	-1.612	0.495	0.388
"YIL053W"	-5.808	-1.936	-0.349	-1.556	1.419	0.433
"YIL118W"	-3.881	-1.281	-1.819	-1.622	0.414	-0.806
"YJL002C"	-4.487	-1.748	-2.556	-2.618	0.707	1.198
"YJL097W"	-4.683	-1.461	-2.558	-2.276	1.162	0.845
"YJL117W"	-2.592	0.011	-0.354	-0.889	1.7	0.586
"YJL174W"	-2.868	-0.525	-0.81	-1.523	0.508	1.008
"YJL192C"	-4.214	-1.68	-2.446	-1.599	0.756	-0.283
"YJR014W"	-3.649	-0.993	-1.578	-1.95	1.223	0.249
"YJR040W"	-3.366	-0.619	-1.178	-1.121	1.194	0.925
"YJR064W"	-4.297	-1.961	-2.702	-2.57	0.811	0.923
"YJR076C"	-4.614	-1.815	-2.814	-3.117	0.246	1.129
"YJR088C"	-3.175	-0.879	-1.194	-1.086	0.744	0.174
"YJR139C"	-4.462	-1.914	-2.388	-2.051	0.69	2.074
"YKL056C"	-5.119	-2.754	-3.265	-3.483	0.379	0.738
"YKL060C"	-4.684	-0.564	-1.392	-2.196	1.605	1.946
"YKL080W"	-5.94	-2.874	-2.944	-2.866	0.623	1.116
"YKL129C"	-2.121	-1.232	-1.396	-1.463	0.275	0.31
"YKL152C"	-4.943	-1.713	-1.83	-2.83	0.752	2.162
"YKL153W"	-5.051	-1.986	-2.039	-2.818	0.571	1.874
"YKL154W"	-3.89	-1.765	-2.132	-2.222	0.443	-0.223
"YKL212W"	-4.806	-2.516	-2.929	-3.374	0.728	1.161
"YKR027W"	-3.822	-1.771	-2.364	-1.524	0.782	0.383
"YKR059W"	-4.998	-2.623	-2.96	-3.568	0.569	1.091
"YLL024C"	-5.009	-2.804	-3.024	-3.122	0.462	2.517
"YLR002C"	-4.959	-2.578	-3.265	-3.45	0.636	0.028
"YLR021W"	-4.075	-1.132	-0.892	-1.424	0.941	-0.465
"YLR026C"	-2.357	-0.92	-1.632	-1.673	0.222	-0.367
"YLR056W"	-3.977	-2.642	-2.935	-3.507	1.751	1.438
"YLR101C"	-3.161	-1.911	-2.069	-2.518	0.75	0.164
"YLR199C"	-2.056	-0.74	-1.023	-0.878	0.668	0.657
"YLR249W"	-6.742	-3.883	-4.549	-4.992	0.716	1.559
"YLR418C"	-2.673	-1.243	-1.238	-1.829	0.225	0.457
"YLR448W"	-5.971	-2.668	-3.192	-4.132	0.645	0.486
"YML013W"	-2.831	0.036	-0.297	0.05	0.768	0.728
"YML074C"	-5.319	-2.826	-3.214	-3.466	0.512	0.94
"YMR091C"	-4.005	-1.396	-2.09	-2.24	0.448	0.65
"YMR130W"	-3.845	-2.339	-2.247	-2.295	0.189	-0.054
"YMR146C"	-4.642	-1.793	-1.962	-3.093	0.274	0.582
"YMR202W"	-5.431	-2.263	-2.876	-2.931	1.573	-0.242
"YMR208W"	-3.618	-1.98	-2.454	-2.354	0.757	0.875
"YMR220W"	-3.12	-1.468	-2.008	-1.728	0.239	0.751
"YMR231W"	-3.029	-1.443	-1.795	-2.243	0.566	0.003
"YMR235C"	-5.187	-2.838	-3.21	-3.756	0.401	0.236
"YMR237W"	-4.233	-1.452	-1.947	-2.335	0.741	0.81
"YMR239C"	-3.323	-2.236	-2.42	-2.415	-0.315	-0.133
"YMR305C"	-4.237	-1.996	-3.198	-3.355	0.512	1.227
"YNL001W"	-3.241	-1.116	-1.395	-1.761	0.25	-0.384
"YNL059C"	-3.096	-1.895	-2.027	-2.028	0.267	0.436
"YNL096C"	-6.106	-3.644	-4.096	-4.68	0.51	0.106
"YNL118C"	-5.007	-2.012	-2.449	-2.675	0.466	0.03
"YNL130C"	-2.872	-0.934	-1.411	-1.614	0.768	0.649
"YNL189W"	-4.06	-2.058	-2.641	-3.084	0.634	0.463
"YNL220W"	-6.09	-1.724	-2.555	-3.197	0.538	0.401
"YNR030W"	-2.3165	0.028	-1.753	-1.455	0.859	0.839
"YOL077C"	-6.552	-3.299	-3.894	-4.326	0.205	-0.192
"YOL145C"	-3.49	-2.115	-2.162	-2.146	0.434	0.044
"YOR164C"	-4.0095	-1.603	-1.956	-2.107	0.32	1.05
"YOR175C"	-3.7925	-1.33	-1.323	-1.64	0.604	0.657
"YOR197W"	-3.178	-1.165	-1.398	-1.64	0.388	0.842
"YOR260W"	-4.639	-2.257	-2.577	-3.081	0.123	0.929
"YOR270C"	-4.932	-1.912	-2.307	-2.635	0.644	1.46
"YOR305W"	-2.672	-1.227	-1.264	-1.883	-0.572	-1.394
"YOR320C"	-3.6785	-1.291	-1.454	-1.828	0.529	0.404
"YOR323C"	-6.434	-2.742	-3.497	-3.428	-0.396	1.459
"YPL019C"	-3.7275	-2.715	-1.719	-2.318	3.546	0.016
"YPL028W"	-5.5385	-1.692	-2.17	-2.948	1.073	1.207
"YPL043W"	-3.79	-1.995	-2.623	-2.739	0.053	0.61
"YPL079W"	-6.4765	-3.015	-3.498	-4.547	-0.088	-0.056
"YPL091W"	-3.471	-1.614	-1.738	-2.295	0.583	0.962
"YPL094C"	-5.3055	-2.024	-2.284	-2.741	0.532	-0.579
"YPL118W"	-3.472	-1.32	-1.696	-1.807	0.339	1.201
"YPL145C"	-4.3865	-2.014	-2.71	-3.192	0.734	1.116
"YPL178W"	-3.2495	-1.535	-1.511	-1.922	-0.006	-0.4185
"YPL207W"	-3.832	-2.101	-2.319	-2.628	0.215	0.6015
"YPR033C"	-7.94	-3.951	-4.382	-4.54	0.401	1.1995
"YPR063C"	-2.9805	-0.701	-1.042	-1.306	0.648	0.2865
"YPR102C"	-6.451	-3.352	-3.749	-4.692	0.019	0.019
"YPR128C"	-3.863	-1.326	-1.847	-1.979	0.096	-0.3495
"YPR131C"	-4.176	-0.572	-1.386	-1.712	-0.078	-0.2265
