	"56.Elutriation2:Sample2:Time3.5hrs"	"116.heat shock 40 min"	"117.heat shock 60 min"	"118.heat shock 80 min"	"598.29 deg growth"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"975.1 mM Menadione (105 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1173.PHO4c vs. wild type"	"1312.diauxic shift timecourse: 13.5 hr"	"1673.alpha factor release sample021"	"6824.Sporulation t0"	"7764.Na+FK 45min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12733.Nitrogen Depletion 8 h"	"18429.2mM MD 210min"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33782.delYPL230w_stationary_phase_1day"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"
"YER102W"	0.852	-1.599	-0.978	-0.689	0.447	-3.932	-3.965	-3.177	-2.3	-3.64	-6.434	-3.101	-3.625	-3.37	0.019	-1.248	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	-0.08	0.118	0.606	0.068	-1.931	-0.165	-2.128	0.685	-3.067	-1.13	-1.932	-1.801	-3.324	-2.758	-2.202	-2.385	-2.527	0.678	0.521	-0.383	1.803
"YER117W"	0.797	-1.677	-0.524	-0.227	0.3	-2.982	-2.613	-2.377	-2.008	-2.832	-5.642	-3.05	-3.141	-2.843	0.22	-0.579	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	-0.687	0.337	0.24	0.308	-1.931	0.291	-1.573	0.479	-2.734	-0.74175	-2.2055	-1.645	-3.319	-2.632	-2.403	-3.238	-2.128	-0.232	0.214	-0.196	0.898
"YFR048W"	-0.089	-0.068	0.247	0.007	-0.305	0.38	0.026	0.738	0.852	0.301	2.489	0.776	0.788	0.52	-0.06	-0.064	0.978	0.877	0.67	0.918	1.183	0.613	1.292	0.106	-0.223	-0.071	-0.238	0.53	0.054	-0.168	0.109	0.415	-0.166333333333333	0.7345	0.4905	-0.371	-0.46	0.315	0.106	0.693	-0.095	0.088	-0.195	-0.579
"YGL030W"	0.194	-1.909	-0.986	-0.843	0.358	-3.613	-2.888	-2.582	-2.363	-3.668	-5.484	-2.388	-2.751	-2.6	-0.56	-0.932	-3.284	-2.059	-2.592	-2.534	-1.668	-2.044	-3.011	-0.485	-0.235	-0.093	0.155	-1.841	-0.574	-1.925	0.447	-2.573	-0.8995	-1.595	-2.059	-3.939	-2.871	-2.529	-3.575	-3.156	0.235	0.885	-0.583	1.166
"YGL076C"	0.289	-1.909	-0.949	-0.635	0.222	-3.969	-3.136	-2.73	-2.446	-3.976	-5.667	-3.32	-2.996	-2.857	-0.172	-1.352	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	-0.297	-0.597	0.076	-0.125	-1.888	-0.432	-2.239	0.259	-2.969	-1.555	-1.64166666666667	-1.68166666666667	-4.003	-3.509	-2.778	-3.347	-2.894	0.406	0.629	-1.117	1.139
"YGL123W"	1.042	-1.674	-1.085	-0.969	0.321	-3.781	-3.757	-3.726	-2.802	-4.004	-5.982	-4.112	-3.654	-3.701	-1.019	-1.146	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	0.078	0.094	0.658	-0.079	-2.138	-0.03	-1.983	0.058	-2.897	-0.354333333333333	-2.2415	-2.027	-4.217	-3.27	-2.813	-4.123	-2.743	0.214	0.634	-0.727	1.831
"YGR027C"	0.611	-1.563	-0.385	-0.386	0.387	-3.433	-2.572	-1.843	-1.57	-2.797	-5.39	-3.005	-2.616	-2.612	0.239	-0.645	-4.002	-1.612	-1.779	-1.889	-1.187	-1.867	-2.368	-1.104	0.428	0.135	0.197	-1.482	-0.167	-1.673	0.512	-2.186	-1.764	-1.459	-1.16	-2.956	-3.132	-1.687	-3.188	-2.186	0.58	1.078	-0.32	1.611
"YGR085C"	0.685	-1.491	-0.362	0.035	0.424	-3.713	-3.301	-2.511	-2.29	-3.406	-6.059	-3.071	-3.255	-3.013	-0.357	-1.3	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.027	0.164	0.486	0.29	-1.917	-0.153	-1.876	0.759	-2.722	-0.578	-1.815	-1.92	-4.004	-2.792	-2.272	-3.45	-1.785	0.492	0.226	-0.386	0.932
"YGR122W"	-0.485	-0.473	-0.132	-0.1765	-0.207	1.63	0.815	0.528	1.324	0.156	-2.288	1.068	0.786	0.461	0.582	0.835	0.805	0.677	0.886	1.104	-0.399	-0.911	-1.032	0.146	0.063	0.261	-0.268	0.425	0.05	0.695	0.227	0.711	-0.42	-0.1125	0.3845	0.655	0.876	0.576	1.541	0.612	-0.146	-0.236	-0.047	-0.551
"YGR214W"	0.573	-1.2835	-0.643	-0.7005	0.176	-4.3	-2.826	-2.795	-1.862	-3.03	-5.16	-3.581	-2.953	-2.7	-0.281	-1.004	-4.842	-1.984	-2.119	-1.46	-0.955	-1.925	-3.246	-0.225	-0.154	0.079	-0.244	-2.061	0.24	-2.052	0.364	-3.699	-0.5415	-1.88	-1.192	-3.673	-2.906	-2.083	-3.805	-2.419	0.429	0.704	-0.175	1.824
"YHR068W"	0.272	-1.2565	-0.247	-0.433	0.214	-3.316	-2.566	-2.252	-3.015	-4.28	-6.532	-2.873	-2.52	-2.526	0.391	-0.06	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.215	-0.043	0.159	0.011	-1.096	-0.282	-1.25	-0.253	-2.544	-0.789	-0.904	-0.071	-2.437	-2.467	-0.487	-2.406	-1.861	0.026	0.752	-0.378	1.339
"YHR203C"	0.946	-1.586	-0.829	-0.7655	0.133	-3.926	-2.827	-3.148	-2.372	-3.782	-5.944	-3.917	-3.774	-3.412	0.0635	-1.0105	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	-0.034	-0.087	0.112	0.058	-2.243	-0.082	-1.982	-0.052	-3.65	-1.038	-2.181	-1.83	-4.467	-3.308	-2.46	-3.717	-3.424	0.248	0.427	-0.81	1.422
"YIL018W"	0.849	-1.4745	-0.9795	-0.728	0.234	-4.365	-3.03	-2.782	-2.488	-3.492	-5.749	-3.362	-3.505	-3.056	-0.5755	-1.058	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.114	-0.012	0.094	-0.089	-2.403	-0.227	-2.148	0.349	-3.591	-1.42	-2.339	-2.449	-4.277	-3.397	-2.864	-4.06	-2.821	-0.201	0.1	-0.439	1.83
"YIL052C"	0.596	-1.9465	-0.8465	-0.3145	0.428	-3.856	-3.261	-2.954	-2.22	-2.895	-6.278	-2.82	-2.793	-2.559	-0.1475	-1.014	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-0.73	0.106	0.491	-0.239	-1.141	-0.411	-2.17	0.188	-2.937	-1.349	-2.144	-2.074	-3.32	-2.562	-2.217	-2.821	-3.315	0.233	-0.19	-0.407	0.954
"YIL133C"	0.081	-1.3105	-0.8635	-1.054	0.26	-3.333	-3.196	-3.135	-2.167	-2.693	-5.79	-2.93	-2.571	-2.194	0.0165	-0.974	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	-0.184	-0.135	0.352	-0.165	-2.453	-0.125	-2.404	0.241	-3.329	-0.9865	-1.92	-2.066	-4.387	-3.183	-2.607	-4.098	-3.633	0.305	0.62	-0.955	1.127
"YJL136C"	0.4805	-1.43066666666667	-0.591333333333333	-0.445333333333333	0.4875	-2.5965	-2.5195	-2.1625	-1.762	-2.0505	-2.106	-1.93	-2.1825	-1.308	-0.4635	-1.7155	-3.159	-1.774	-2.063	-2.01	-1.2865	-0.379	-2.1235	-0.588	0.163	0.039	0.071	-1.4575	-0.0795	-1.862	0.127	-2.5375	-0.984666666666667	-1.6415	-0.824	-3.426	-2.42	-2.267	-3.751	-2.859	-0.272	0.069	-0.511	1.203
"YJL177W"	0.489	-1.5595	-0.9285	-0.7205	0.311	-4.132	-3.846	-3.2	-0.605	-3.255	-5.49	-3.409	-3.772	-3.428	0.003	-1.528	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	-0.537	-0.216	0.165	0.17	-2.455	-0.269	-2.196	0.462	-3.809	-1.894	-1.721	-1.782	-4.72	-4.004	-3.278	-4.54	-3.266	0.232	0.477	-1.062	1.102
"YJR145C"	0.717	-1.5005	-0.9105	-0.81	0.282	-4.507	-3.488	-3.177	-2.328	-3.54	-6.528	-3.551	-3.547	-3.597	0.179	-1.203	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.052	-0.365	0.181	0.112	-2.369	-0.211	-1.921	-0.168	-3.331	-1.493	-2.324	-2.065	-4.335	-3.373	-2.551	-4.108	-2.94	0.137	0.388	-0.502	1.624
"YKL005C"	-0.301	0.041	-0.094	0.208	0.087	1.133	0.308	0.727	1.123	2.794	0.446	0.487	1.092	1.032	0.137	0.122	0.58	0.797	1.25	1.451	1.721	1.702	1.428	0.164	0.2	-0.161	-0.108	0.347	-0.369	-0.447	-0.13	1.336	-0.41	-0.054	-0.304	1.403	1.504	1.252	1.28	0.758	0.284	-0.046	-0.26	-2.298
"YKL006W"	0.785	-1.283	-0.92	-0.778	0.546	-4.299	-3.901	-3.389	-2.383	-2.835	-5.113	-3.049	-3.027	-2.997	-0.068	-0.837	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-0.306	0.141	0.239	-0.106	-2.103	-0.233	-2.167	-0.161	-3.013	-1.039	-1.694	-2.505	-4.432	-3.39	-2.92	-4.756	-3.593	0.065	0.255	-0.718	1.375
"YKL180W"	0.732	-1.228	-0.509	-0.357	0.475	-2.661	-2.738	-2.549	-1.633	-2.561	-5.237	-2.625	-3.204	-2.593	0.36	-0.646	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	-0.694	0.086	0.332	0.441	-1.883	-0.012	-1.665	-0.05	-3.208	-1.4	-2.062	-2.095	-3.827	-3.339	-2.213	-3.071	-2.482	0.105	0.417	-0.843	1.026
"YLL036C"	-0.075	-0.218	-0.491	-0.766	-0.065	-1.969	-1.038	-1.624	-1.351	-3.663	NaN	-0.886	-1.709	-1.201	-0.731	0.022	-0.743	-0.764	-0.968	-0.901	-1.42	-2.012	-1.793	-0.357	-0.03	-0.048	-0.202	-0.653	-0.382	-1.927	-0.068	-0.247	-0.515	-0.266	-0.044	-0.206	-0.011	-0.232	-0.209	-1.033	-0.217	0.113	-0.41	-0.663
"YLL045C"	1.063	-1.781	-0.338	-0.361	0.374	-3.851	-3.176	-2.506	-1.64	-3.857	-6.618	-3.169	-3.335	-3.185	-0.501	-1.026	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.157	0.099	0.309	0.258	-1.924	0.294	-1.957	0.182	-2.953	-0.962	-1.625	-1.72	-3.449	-2.833	-2.875	-3.788	-2.362	0.217	0.521	-0.882	1.383
"YLR062C"	0.624	-2.188	-0.883	-0.767	-0.017	-4.53	-4.418	-3.352	-3.127	-5.705	-6.896	-3.6	-3.985	-3.965	-0.268	-1.214	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.574	-0.138	0.143	-0.324	-2.069	-0.191	-2.245	0.189	-3.446	-1.826	-2.249	-1.742	-3.806	-3.723	-3.681	-4.54	-3.419	-0.03	0.584	-1.171	0.894
"YLR333C"	0.395	3.322	1.415	0.0	0.231	-3.93	-3.067	-2.402	-1.851	-3.011	-5.863	-3.538	-3.334	-2.939	-0.143	-0.95	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	-0.63	0.317	0.457	-0.163	-1.76	0.072	-1.566	0.246	-2.565	-0.636	-1.369	-1.692	-4.086	-2.673	-1.894	-3.582	-1.826	-0.016	0.267	-0.495	1.402
"YLR335W"	0.212	-0.561	0.663	0.328	-0.463	-1.25	-1.569	-1.044	-1.484	-1.306	-3.177	-1.332	-1.29	-1.213	-0.056	-0.346	-1.839	-1.228	-1.429	-1.323	-1.448	-1.681	-2.238	0.13	-0.145	0.528	0.041	-0.599	-0.025	-0.65	0.3	-0.925	-0.855	-0.179	0.441	-1.562	-1.415	-0.907	-1.209	-1.129	0.026	-0.126	-0.124	-0.315
"YLR339C"	0.558	-1.597	-0.563	-0.83	0.259	-3.243	-2.951	-2.69	-3.285	-4.988	-6.865	-2.453	-3.194	-3.201	-0.72	-0.793	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	0.199	0.006	0.498	-0.057	-1.766	-0.052	-1.739	0.058	-3.05	-0.831	-3.042	-2.637	-4.034	-3.474	-3.052	-3.409	-3.508	0.418	0.784	-0.93	0.95
"YLR340W"	0.482	-0.839	-0.869	-0.96	0.495	-2.59	-2.224	-2.566	-2.963	-4.11	-6.819	-2.128	-2.646	-3.015	-1.001	-1.216	-3.499	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	-0.145	0.112	0.152	-0.455	-1.445	-0.329	-1.639	-0.273	-2.965	-0.882	-2.974	-2.473	-4.14	-3.346	-3.304	-3.405	-3.543	0.457	0.799	-1.121	0.89
"YLR388W"	0.74	-1.424	-1.0	-0.734	0.456	-3.12	-2.544	-2.264	-1.98	-3.596	-5.506	-3.204	-3.058	-2.742	-0.192	-0.763	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.002	0.299	0.353	0.204	-1.874	-0.253	-1.953	0.091	-2.994	-1.764	-2.1	-1.34	-3.674	-2.798	-2.25	-3.762	-2.864	0.035	0.404	-1.089	0.851
"YMR242C"	0.515	-1.544	-1.079	-0.796	0.463	-4.702	-3.631	-3.819	-2.522	-3.971	-6.226	-3.832	-4.338	-3.636	-0.012	-1.16	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-0.297	0.061	0.2	0.115	-2.755	-0.401	-2.26	0.317	-3.185	-0.865	-2.431	-1.61	-4.158	-3.141	-2.446	-4.607	-3.856	-0.086	0.193	-0.604	1.358
"YNL069C"	0.447	-1.761	-0.713	-0.691	0.217	-3.663	-3.006	-2.506	-1.978	-4.006	-4.824	-3.44	-3.85	-3.199	0.023	-0.933	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	-0.624	0.005	0.016	0.012	-1.779	0.083	-1.844	0.167	-3.789	-1.316	-2.077	-2.063	-3.601	-3.131	-2.286	-3.741	-3.775	-0.12	0.261	-0.988	1.526
"YNL213C"	0.158	-0.227	0.0	-0.016	-0.191	-0.074	-0.796	0.049	-1.186	-1.916	-2.166	-1.149	-0.957	-0.428	0.206	0.048	-0.309	-0.652	-0.5	-0.223	-0.719	-0.767	1.0	-0.446	-0.127	0.137	-0.127	0.108	-0.104	-0.39	0.101	0.095	0.4	0.013	-0.475	0.734	0.629	0.397	-0.044	-0.292	-0.369	-0.037	-0.463	-0.638
"YNL247W"	0.513	-1.337	0.122	-0.089	-0.123	-2.799	-1.535	-1.024	-1.822	-3.191	-4.64	-2.34	-2.065	-2.13	0.075	-0.357	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	-0.048	-0.181	-0.007	0.118	-0.802	0.245	-0.959	0.164	-1.584	-0.441	-0.63	0.257	-3.771	-2.246	-1.56	-2.994	-1.551	0.209	0.088	-0.297	0.746
"YNL301C"	0.875	-1.116	-0.609	-0.59	0.371	-2.992	-2.551	-2.514	-1.241	-5.123	-6.272	-2.943	-3.585	-3.098	-0.387	-0.967	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	-0.201	-0.09	-0.029	-0.001	-1.944	0.255	-1.909	0.227	-3.479	-1.561	-1.996	-1.063	-4.167	-3.163	-3.507	-4.02	-3.161	-0.066	0.265	-0.772	1.65
"YNL302C"	0.514	-0.6045	-0.7935	-0.243	0.379	-2.266	-2.265	-1.899	-1.762	-2.1925	-4.746	-2.3395	-2.4085	-1.6685	0.4465	-0.8515	-2.3425	-1.4435	-1.1785	-1.181	-1.1605	-1.0695	-1.549	-0.17	0.247	0.258	0.126	-1.1145	-0.56	-1.279	0.432	-1.4785	-1.803	-2.294	-1.829	-4.107	-3.25	-2.449	-3.631	-2.943	0.047	0.342	-0.711	1.534
"YNR076W"	0.238	-0.096	0.276	-0.726	0.354	0.042	0.497	0.4425	0.748	1.092	-1.291	0.3445	0.315	0.0275	-0.316	0.04	1.166	0.969	1.418	1.998	1.486	1.177	1.458	-0.017	0.248	-0.351	-0.315	0.81	-0.097	0.878	0.313	0.542	0.365	0.461	0.905	-0.178	-0.671	-0.673	-0.12	0.353	-0.006	0.087	-0.019	-1.255
"YOR193W"	-0.339	0.011	0.453	0.626	0.159	1.4005	0.3995	0.903	1.2085	0.109	-3.185	0.955	0.906	0.622	-0.179	0.703	0.932	0.308	0.926	1.384	0.541	0.402	-0.204	0.155	0.028	0.149	-0.037	0.556	0.2055	0.44	0.159	0.92	0.493	0.509	1.217	0.644	0.207	-0.677	0.319	0.381	-0.283	-0.019	0.53	-0.906
"YOR234C"	0.418	-1.558	-0.686	-0.378	0.186	-4.006	-3.3605	-2.805	-2.058	-2.8745	-4.019	-2.7115	-2.657	-2.407	-0.18	-0.908	-3.657	-1.912	-1.717	-1.324	-0.593	-0.648	-2.139	-0.614	-0.177	-0.098	-0.038	-1.811	-0.3705	-1.7745	0.251	-2.267	-0.243	-1.101	-1.672	-3.604	-2.922	-2.425	-4.032	-3.127	-0.376	-0.223	-0.105	1.357
"YOR293W"	0.276	-1.765	-0.854	-0.6	0.332	-4.155	-3.7615	-3.19	-2.4345	-2.7875	-4.496	-3.442	-3.1085	-3.0195	-0.312	-1.137	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	-0.797	-0.114	0.428	0.064	-2.238	-0.1305	-2.6075	0.076	-3.078	-0.054	-1.815	-2.131	-3.53	-3.262	-3.205	-3.853	-3.271	-0.265	-0.135	-0.241	1.827
"YOR312C"	0.666	-1.832	-0.593	-0.503	0.363	-3.8645	-3.381	-2.919	-2.227	-3.3005	-4.8175	-2.99	-3.177	-3.0	-0.249	-1.219	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	-0.549	-0.184	-0.041	-0.199	-2.5	-0.1335	-2.1775	-0.196	-2.684	-1.327	-1.942	-2.4	-4.379	-3.433	-3.512	-4.531	-2.886	-0.355	-0.045	-0.476	1.283
"YPL090C"	0.983	-1.812	-0.769	-0.358	0.567	-3.9615	-3.256	-2.7785	-2.57	-4.364	-6.197	-3.398	-3.223	-3.3795	-0.207	-1.515	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.396	0.4	0.091	-0.096	-1.985	-0.0245	-2.16	0.62	-3.271	-1.195	-1.724	-1.447	-4.244	-3.265	-3.165	-4.101	-2.658	-0.193	0.196	-0.35	1.763
"YPL198W"	0.534	-1.674	-0.712	-0.631	0.2895	-4.269	-3.194	-2.836	-2.218	-4.3605	-6.879	-3.4825	-3.3185	-3.022	-0.236	-1.42	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	0.081	-0.466	0.137	0.128	-1.951	-0.1965	-2.012	0.342	-2.847	-0.71	-1.049	-0.886	-4.2325	-3.528	-3.0615	-3.4955	-3.5	0.165	0.468	-1.1025	1.2575
"YPR044C"	0.189	-1.751	-1.124	-0.804	0.293333333333333	-3.163	-2.92933333333333	-2.74733333333333	-2.15066666666667	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	-0.342	-0.687	-3.0915	-1.926	-2.14	-2.1115	-1.2955	-1.702	-1.9615	-0.396	-0.294	0.043	0.187	-1.5965	-0.072	-1.79966666666667	0.078	-2.6155	-0.901	-2.133	-1.413	-2.586	-2.282	-1.954	-2.862	-2.877	0.141	0.328	-1.039	1.034
"YPR102C"	0.4	-1.669	-0.768	-0.443	0.317	-3.521	-3.2315	-3.2945	-2.7315	-4.045	-6.451	-3.5055	-4.118	-3.673	-0.165	-1.349	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	-0.47	0.231	0.506	-0.151	-2.23	-0.33	-2.162	0.527	-3.121	-1.75	-2.079	-2.195	-3.927	-2.614	-2.344	-4.015	-3.247	-0.015	0.262	-0.381	1.255
"YPR163C"	1.131	-1.926	-0.729	-0.613	0.2055	-3.6815	-2.265	-2.266	-1.8375	-2.9485	-5.4905	-2.5635	-2.469	-2.6395	-1.026	-1.25	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.422	0.107	0.119	0.157	-1.688	-0.4305	-1.1135	0.333	-1.693	-1.532	-0.931	0.242	-3.506	-3.14	-1.955	-3.575	-2.32	-0.065	-0.139	-0.007	0.477
