	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1018.YPD 13 d (25C)"	"1103.alpha factor release sample028"	"1172.pho80 mutant vs wild type"	"1674.Elutriation2:Sample2:Time5.5hrs"	"2560.29C to 33C - 15 min"	"4784.29C to 33C - 90 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7549.33C no sorbitol 5 min"	"7760.Na 45min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"18428.2mM MD 030min"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34349.wt_hypo_osmotic_shock_16min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YMR290C"	-3.64	-3.689	-2.957	-3.89	-3.624	-2.197	-1.568	-2.714	-2.071	-1.513	-5.132	-5.217	-3.458	-3.243	-3.378	-4.614	-3.037	-3.295	-3.716	-2.938	0.361	0.392	-0.767	-1.38	0.29	-1.059	-1.35	-0.472	-2.885	0.743	-2.409	-2.481	-4.129	0.38	-4.343	-4.028	-3.856	-4.544	-3.558	-3.243	-0.41	-0.525	-2.59
"YNL002C"	-4.666	-4.07	-3.305	-4.559	-4.222	-2.167	-1.105	-2.677	-1.824	-2.816	-5.196	-3.468	-2.839	-3.072	-2.59	-3.426	-2.209	-1.856	-2.186	-2.588	-0.412	0.08	-1.087	-1.411	-0.259	-0.899	-1.349	-0.524	-2.774	0.944	-1.859	-1.348	-4.603	-0.329	-3.481	-2.92	-2.649	-4.466	-2.41	-2.181	-0.281	-0.832	-1.986
"YNL308C"	-3.929	-1.689	-2.757	-3.366	-3.336	-1.947	-0.7	-2.095	-1.938	-2.284	-4.351	-2.686	-2.473	-2.614	-2.202	-3.207	-1.872	-1.62	-2.065	-2.852	-0.07	0.035	-0.742	-1.321	-0.343	-0.989	-1.181	-0.699	-1.605	0.507	-1.382	-0.941	-3.272	-0.007	-4.586	-1.512	-2.337	-3.307	-2.409	-1.94	0.072	-0.326	-1.56
"YOL127W"	-1.953	-2.203	-1.985	-3.195	-3.601	-0.986	-1.568	-2.683	-1.866	-0.895	-4.1025	-2.676	-1.9865	-1.0185	-2.851	-4.436	-2.11	-1.935	-2.11	-3.172	0.061	0.036	-0.056	-0.095	0.193	-0.205	-1.699	0.072	-1.856	-0.152	-1.202	-1.678	-2.867	0.249	-2.233	-3.393	-2.333	-3.103	-2.261	-2.342	0.272	0.15	-1.771
"YOR287C"	-3.97	-2.174	-2.322	-3.247	-2.585	-1.154	-0.642	-1.875	-1.213	-1.188	-3.973	-2.752	-1.7665	-2.833	-1.879	-2.146	-1.162	-1.159	-1.269	-2.266	0.078	0.112	-0.817	-1.084	-0.313	-0.674	-0.67	-0.676	-1.823	0.28	-0.597	-0.982	-2.646	-1.392	-3.942	-2.365	-2.712	-3.411	-1.923	-1.759	-0.297	-1.109	-2.133
"YOR293W"	-2.282	-2.435	-2.205	-3.618	-3.854	-1.3	-1.054	-2.307	-1.6	-0.981	-4.155	-4.496	-2.907	-3.442	-3.1085	-4.233	-2.537	-2.533	-2.507	-3.118	0.427	0.102	-0.332	-0.114	0.387	-0.074	-1.418	0.003	-2.613	0.076	-1.601	-2.091	-3.151	-0.747	-3.047	-3.53	-3.262	-3.853	-3.23	-2.89	-0.132	-0.548	-2.69
"YOR312C"	-2.426	-2.612	-1.995	-2.723	-3.7	0.351	-1.432	-2.417	-1.633	-1.31	-3.8645	-4.8175	-2.4995	-2.99	-3.177	-4.638	-2.15	-2.511	-2.402	-3.224	-0.184	-0.093	0.06	-0.107	0.238	-0.146	-1.871	-0.062	-2.549	-0.196	-1.289	-1.994	-2.873	0.047	-3.057	-4.379	-3.433	-4.531	-3.454	-2.689	-0.045	-0.246	-2.438
"YPL043W"	-4.246	-4.0	-3.773	-4.198	-4.087	-1.78	-1.131	-2.45	-1.639	-1.636	-4.668	-3.79	-3.242	-3.157	-2.2695	-3.89	-2.277	-2.069	-2.134	-2.739	0.269	0.265	-0.7	-1.227	-0.291	-0.492	-1.161	-0.297	-2.772	0.5	-2.276	-1.668	-4.555	-0.01	-3.988	-3.093	-2.958	-4.308	-2.784	-2.516	0.245	-0.397	-1.28
"YPL079W"	-2.261	-2.597	-2.277	-3.115	-3.828	-1.101	-1.437	-2.516	-2.168	-1.356	-4.616	-6.4765	-2.527	-3.085	-3.172	-4.735	-2.781	-2.741	-3.087	-4.547	0.059	-0.072	-0.292	-0.182	0.157	-0.144	-1.713	0.019	-2.574	0.254	-1.506	-2.132	-3.135	0.357	-1.936	-2.865	-2.753	-3.573	-3.431	-2.725	0.041	-0.372	-1.659
"YPL226W"	-3.457	-3.002	-2.4945	-3.229	-4.183	-1.164	-0.5685	-0.922	-1.031	-1.4335	-4.86566666666667	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-4.0095	-2.363	-2.3985	-2.8955	-3.983	0.4565	0.132	-0.4855	-0.8535	-0.407	-0.5515	-0.7595	-0.433	-1.907	0.322	-2.3605	-2.272	-3.215	0.308	-3.076	-2.657	-3.519	-3.811	-3.004	-2.748	-0.093	-0.092	-1.244
"YPR102C"	-2.11	-2.298	-2.206	-3.37	-4.232	-1.2305	-1.491	-2.43	-1.866	-0.995	-3.521	-6.451	-1.9585	-3.5055	-4.118	-4.644	-2.495	-2.723	-3.232	-4.692	0.279	0.201	0.124	-0.304	0.097	-0.244	-1.815	-0.116	-2.388	0.527	-0.972	-1.523	-3.007	-0.637	-2.5	-3.927	-2.614	-4.015	-3.517	-2.547	-0.1	-0.279	-2.418
"YPR110C"	-3.178	-3.084	-2.507	-3.52	-3.728	-1.421	-0.986	-1.742	-1.61	-1.914	-5.7185	-6.318	-2.6255	-3.01	-3.296	-3.88	-2.186	-2.175	-2.703	-3.358	-0.188	0.022	-0.679	-0.882	0.147	-0.777	-1.216	-0.438	-2.308	0.621	-1.911	-1.505	-3.168	0.296	-3.436	-2.851	-1.853	-3.882	-3.113	-2.597	-0.31	-0.607	-1.644
"YPR163C"	-2.552	-2.832	-2.415	-3.276	-3.939	-1.3005	-1.155	-2.061	-1.817	-1.532	-3.6815	-5.4905	-2.1035	-2.5635	-2.469	-3.136	-2.003	-2.05	-2.325	-2.82	0.233	0.163	0.206	-0.969	-0.172	-0.378	-1.528	-0.099	-2.045	0.333	-1.548	-1.285	-3.572	-0.604	-3.015	-3.506	-3.14	-3.575	-2.873	-2.034	-0.111	-0.238	-1.761
