	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1016.YPD 5 d (25C)"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YKL212W"	-3.014	-4.806	-0.165	-2.516	-3.374	0.61
"YLL035W"	-2.821	-3.138	-0.188	-1.67	-1.979	1.875
"YLR088W"	-2.639	-4.686	0.164	-1.292	-1.482	1.46
"YLR104W"	-1.751	-3.172	0.04	-0.625	-0.763	0.437
"YLR222C"	-3.721	-4.745	0.461	-3.081	-3.119	NaN
"YLR230W"	-1.446	-3.637	0.185	-0.733	-1.014	0.984
"YLR264W"	-2.597	-5.152	-0.043	-1.649	-2.391	2.035
"YLR359W"	-2.567	-5.36	0.852	-1.039	-1.828	1.218
"YML018C"	-2.284	-3.383	-0.129	-1.452	-2.274	2.239
"YML109W"	-1.525	-2.856	0.485	-0.99	-1.69	1.712
"YML115C"	-2.167	-3.577	0.267	-1.155	-1.246	1.671
"YMR143W"	-2.287	-4.466	0.306	-2.88	-3.545	1.513
"YMR183C"	-2.084	-4.412	0.039	-0.924	-1.014	1.3305
"YMR203W"	-1.421	-4.985	0.03	-0.486	-1.861	1.3015
"YMR212C"	-2.04	-6.75	0.101	-2.693	-2.761	1.4335
"YMR220W"	-1.869	-3.12	0.138	-1.468	-1.728	-1.4325
"YMR242C"	-3.971	-6.226	0.022	-2.601	-3.475	2.334
"YNL061W"	-2.147	-4.27	-0.114	-1.276	-1.899	1.348
"YNL079C"	-2.802	-4.703	-0.01	-1.383	-3.23	-1.0045
"YNL084C"	-1.945	-3.396	0.092	-1.386	-1.919	1.399
"YNL129W"	-2.312	-3.084	0.049	-1.993	-1.829	2.181
"YNL145W"	-2.121	-3.38	-0.053	-1.576	-2.183	1.397
"YNL189W"	-2.367	-4.06	-0.05	-2.058	-3.084	0.814
"YNL233W"	-2.221	-3.551	0.057	-2.264	-2.716	0.994
"YNL261W"	-1.862	-4.047	0.302	-1.285	-1.269	1.076
"YNL287W"	-2.621	-3.454	0.239	-2.186	-3.164	0.705
"YNL313C"	-3.628	-5.714	0.271	-2.01	-2.518	2.198
"YNL316C"	-1.309	-3.472	0.184	-1.127	-1.41	0.779
"YNR043W"	-2.934	-5.1565	0.01	-2.655	-3.856	2.284
"YOL062C"	-1.974	-4.46	0.059	-1.017	-1.957	1.288
"YOL093W"	-2.371	-4.67	-0.163	-0.686	-1.847	0.485
"YOL145C"	-1.941	-3.49	0.145	-2.115	-2.146	1.47
"YOR160W"	-2.6045	-4.2525	0.4	-0.963	-1.38	1.388
"YOR164C"	-2.555	-4.0095	0.268	-1.603	-2.107	3.248
"YOR175C"	-2.083	-3.7925	0.134	-1.33	-1.64	2.739
"YOR197W"	-1.971	-3.178	0.218	-1.165	-1.64	1.293
"YOR224C"	-3.348	-4.849	0.229	-2.099	-2.202	1.963
"YOR239W"	-3.232	-5.0985	0.221	-3.149	-3.704	1.305
"YOR240W"	-2.8765	-3.6975	0.093	-2.693	-2.674	NaN
"YOR277C"	-3.25	-4.571	-0.178	-1.978	-2.211	1.519
"YOR282W"	-2.761	-2.073	0.068	-1.203	-1.127	0.657
"YOR321W"	-2.096	-3.7905	-0.15	-1.374	-2.487	1.386
"YOR323C"	-4.2845	-6.434	-0.085	-2.742	-3.428	1.176
"YOR369C"	-3.724	-6.5475	-0.095	-2.456	-3.502	2.109
"YPL048W"	-3.2175	-4.579	0.548	-1.535	-2.183	-0.8
"YPL079W"	-3.892	-6.4765	-0.273	-3.015	-4.547	1.717
"YPL090C"	-4.364	-6.197	0.379	-3.292	-4.719	1.466
"YPL128C"	-2.1475	-3.3175	0.053	-0.935	-1.721	2.132
"YPL211W"	-4.4555	-5.029	-0.177	-3.267	-2.337	3.725
"YPL243W"	-4.1455	-5.276	0.162	-2.602	-3.544	NaN
"YPR029C"	-1.735	-4.2395	-0.04	-1.909	-2.242	0.714
"YPR110C"	-3.662	-6.318	0.055	-2.993	-3.358	2.592
"YPR142C"	-1.555	-3.138	-0.126	-0.85	-1.456	1.075
