	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YNL162W"	-2.858	-6.425	-1.742	-0.98
"YNL163C"	-3.636	-4.2975	-2.331	1.05833333333333
"YNL261W"	-1.862	-4.047	-1.285	1.076
"YNL287W"	-2.621	-3.454	-2.186	0.705
"YOR001W"	-1.861	-4.782	-1.551	1.585
"YOR176W"	-1.862	-3.661	-0.963	-0.466
"YOR209C"	-2.998	-6.004	-1.897	-0.824
"YOR239W"	-3.232	-5.0985	-3.149	1.305
"YOR259C"	0.089	-2.73	-0.354	2.233
"YOR280C"	-1.883	-4.249	-1.197	-0.017
"YOR306C"	-1.3125	-3.4875	-0.786	0.243
"YOR323C"	-4.2845	-6.434	-2.742	1.176
"YOR362C"	-0.5985	-3.362	-0.571	2.057
"YPL019C"	-2.6805	-3.7275	-2.715	0.755
"YPL037C"	-3.9955	-5.417	-2.115	1.862
"YPL079W"	-3.892	-6.4765	-3.015	1.717
"YPL081W"	-3.4025	-6.801	-2.789	0.959
"YPL090C"	-4.364	-6.197	-3.292	1.466
"YPL220W"	-3.187	-6.1465	-2.247	-0.727
"YPL226W"	-3.95033333333333	-5.67966666666667	-3.407	1.942
"YPR033C"	-4.8805	-7.94	-3.951	-1.078
"YPR036W"	-2.899	-5.024	-1.322	-0.988
"YPR080W"	-2.848	-5.6305	-1.689	0.691
"YPR108W"	-2.0125	-4.645	-2.383	0.94
"YPR137W"	-1.7995	-3.783	-0.968	-0.371
