	"681.YP galactose vs reference pool"	"801.Heat Shock 030inutes"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2560.29C to 33C - 15 min"	"4872.1M sorbitol - 60 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13067.Na/Na+FK 45min (1)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"
"YCR044C"	0.2135	0.585	-1.079	-0.32	-1.836	-2.699	-0.595	-1.147	-0.3045	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.386	-0.199	-0.159	0.155	-0.177	-0.373	-0.088	-0.741	-1.2905	-0.911	-1.623	-1.1005	0.17	0.6595	0.2935	0.29
"YCR053W"	0.047	-0.173	-1.707	-1.033	-3.556	-4.283	-1.41	-1.635	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.43	0.651	0.623	0.19	-0.025	0.819	0.399	-1.451	-1.6735	-1.907	-1.727	-1.764	0.001	-1.413	-0.7405	0.523
"YDL051W"	-0.771	-1.316	-1.668	-2.07	-2.856	-3.563	-2.131	-2.317	-2.013	-1.892	-1.804	-1.557	-2.325	-2.819	0.828	0.605	0.419	-0.968	0.163	1.186	0.975	-1.28	-1.098	-0.825	-0.975	-0.671	-0.034	-0.955	-0.413	0.132
"YDL055C"	-0.495	-0.138	-2.613	-1.051	-3.734	-4.252	-3.202	-4.273	-0.543	-1.082	-2.236	-2.058	-2.079	-2.985	-0.151	0.196	0.125	-0.372	0.211	0.282	-0.235	-2.123	-2.605	-2.311	-2.413	-2.184	0.017	-0.897	0.748	0.137
"YDL084W"	0.044	-0.016	-0.522	-1.213	-2.134	-4.827	-1.38	-1.906	-0.822	-1.559	-1.782	-1.626	-2.01	-2.373	0.105	0.274	0.448	0.15	-0.046	0.672	0.505	-2.008	-2.495	-1.845	-2.412	-2.437	0.611	0.4	0.342	-0.138
"YDL185W"	-0.26	-0.152	-0.915	-1.477	-2.522	-4.417	-1.308	-2.012	-0.21	-0.395	-0.701	-1.557	-2.084	-3.0	-0.014	0.172	-0.001	0.229	0.074	0.304	-0.3	-0.976	-1.032	-1.111	-1.225	-1.572	-0.387	-0.447	0.145	-0.236
"YDL192W"	-0.055	-0.059	-0.927	-1.408	-1.026	-2.919	-2.056	-2.008	-1.152	-1.284	-1.38	-1.203	-1.441	-2.326	0.138	0.02	0.212	0.094	-0.089	0.661	0.729	-1.095	-1.292	-0.768	-1.038	-0.506	0.093	0.127	0.372	0.227
"YDR023W"	0.187	-1.068	-2.164	-2.077	-2.907	-5.745	-1.813	-1.696	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.386	0.428	0.481	-0.114	-0.019	0.724	0.868	-2.091	-1.396	-1.983	-2.106	-1.812	0.141	0.804	0.602	-0.033
"YDR037W"	-0.296	-1.025	-3.858	-3.458	-4.551	-5.224	-2.756	-2.42	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.405	0.512	0.46	-0.423	-0.13	1.382	0.893	-2.523	-1.695	-1.749	-1.681	-1.888	-0.282	-0.402	0.039	0.163
"YDR064W"	-0.515	-0.792	-2.639	-2.597	-3.761	-5.03	-2.511	-2.495	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	0.194	0.329	0.396	0.057	-0.36	0.886	0.928	-1.996	-2.002	-1.235	-1.554	-0.987	0.2795	-1.2675	-0.729	0.269
"YDR091C"	-0.397	-0.763	-1.547	-1.362	-3.384	-4.4	-2.03	-2.498	-1.631	-1.728	-2.044	-2.636	-3.222	-3.423	0.078	-0.12	-0.128	-0.879	0.11	1.021	1.141	-1.376	-1.977	-1.695	-1.907	-1.535	0.4	-0.882	0.163	-0.021
"YDR098C"	-0.037	0.046	-1.205	-0.434	-1.722	-3.797	-0.94	-1.178	-1.054	-1.53	-1.498	-1.355	-2.09	-2.226	0.101	0.116	0.053	0.019	0.063	-0.242	-0.372	-1.138	-1.33	-1.038	-1.452	-1.213	-0.134	0.009	-0.009	-0.091
"YDR233C"	-0.242	0.15	-0.513	-1.091	-2.587	-3.48	-1.566	-1.509	-0.294	-0.467	-0.606	-2.047	-2.27	-2.451	0.133	0.093	0.038	-0.006	0.064	0.366	0.59	-0.709	-1.38	-1.061	-1.24	-0.746	0.1905	-0.3585	0.0975	-0.194
"YDR266C"	0.1065	0.2115	-0.421	-0.534	-0.7515	-2.3595	-0.3815	-0.5745	-0.889	-0.9565	-1.015	-0.8825	-1.129	-1.082	-0.063	-0.054	0.028	0.1115	-0.071	0.245	0.1985	-0.7665	-0.565	-0.4745	-0.4525	-0.871	-0.1825	0.372	0.324	-0.1515
"YDR292C"	0.132	0.288	-0.201	-0.105	-0.791	-1.979	0.43	0.52	-1.195	-1.637	-1.789	-2.165	-2.866	-2.859	0.432	0.386	0.349	-0.216	-0.127	0.528	0.35	-0.914	-1.171	-1.064	-1.369	-0.912	-0.274	0.282	0.208	0.174
"YDR341C"	-0.359	-1.079	-1.574	-1.681	-3.212	-5.262	-2.134	-2.218	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.322	0.394	0.29	-0.701	0.1	1.047	1.125	-1.562	-1.663	-1.444	-1.45	-1.573	-0.352	-0.27	0.073	0.753
"YDR385W"	-0.142	-1.005	-1.783	-1.985	-3.158	-5.463	-1.065	-2.811	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.168	0.361	0.284	-0.342	-0.147	1.09	0.633	-1.86	-2.077	-1.398	-1.463	-1.493	0.2	-0.812	-0.402	0.116
"YDR410C"	0.085	0.511	-0.817	-0.823	-1.222	-1.822	-0.471	-1.1	-0.676	-0.625	-0.577	-0.643	-1.073	-1.467	-0.227	-0.217	-0.069	-0.145	-0.202	-0.262	0.193	-0.613	-0.755	-0.399	-0.782	-0.525	0.329	0.476	0.436	0.42
"YDR417C"	0.044	-0.787	-2.511	-3.327	-4.279	-5.062	-2.864	-2.95	-2.458	-2.573	-2.986	-2.861	-3.022	-3.606	0.223	0.383	0.373	-0.354	0.078	1.113	0.785	-2.149	-2.343	-2.345	-2.045	-1.865	0.572	-0.243	0.382	-0.062
"YDR447C"	-0.138	-1.401	-2.507	-2.465	-3.659	-5.332	-2.813	-3.129	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	0.01	0.276	0.286	-0.465	0.176	0.816	0.834	-2.1165	-1.802	-1.267	-1.194	-0.897	0.298	-1.3545	-0.936	0.542
"YDR454C"	0.168	-0.654	-1.715	-1.528	-2.876	-4.275	-2.414	-2.283	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	0.215	0.416	0.214	-0.237	0.129	0.383	0.185	-1.702	-1.232	-1.295	-1.888	-1.473	0.299	-0.359	-0.805	0.027
"YDR504C"	0.621	0.426	1.397	1.38	2.329	2.09	0.978	0.472	0.624	0.936	1.201	2.356	2.489	2.005	-0.023	-0.224	0.1	0.647	-0.155	-0.665	-0.454	0.169	0.316	1.0	0.55	0.299	0.552	-0.523	-1.104	-0.523
"YER025W"	0.067	-0.927	-1.256	-1.55	-2.274	-4.542	-1.79	-1.489	-1.42	-1.739	-2.023	-1.728	-2.125	-2.385	0.61	0.52	0.254	-0.643	0.0	1.215	0.79	-1.106	-1.368	-1.901	-1.549	-1.557	0.251	0.116	-0.497	0.021
"YER043C"	0.049	-0.68	-2.767	-3.397	-4.78	-6.476	-3.096	-3.18	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.713	0.708	0.469	-0.419	-0.103	1.192	1.167	-1.415	-2.015	-2.503	-2.487	-2.96	0.179	-0.933	-0.702	0.148
"YER074W"	0.143	-0.48	-2.096	-2.671	-3.067	-3.854	-0.968	-2.26	-2.436	-2.823	-2.735	-2.339	-2.829	-3.947	0.38	0.592	0.625	-0.286	0.089	1.097	1.147	-2.253	-2.093	-1.377	-1.381	-1.519	-0.264	-0.979	-0.52	0.264
"YER086W"	-0.585	-0.272	-1.236	-1.424	-3.61	-5.173	-2.311	-2.028	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	0.487	0.417	0.394	-0.524	0.09	1.101	0.719	-0.886	-1.525	-1.165	-1.551	-1.269	0.477	-0.193	0.328	0.092
"YER090W"	-0.14	-0.439	-1.569	-1.173	-3.804	-5.004	-1.889	-1.861	-0.616	-1.078	-1.311	-2.327	-2.585	-3.495	0.211	0.278	0.113	-0.319	-0.122	1.024	0.292	-0.819	-1.379	-1.614	-1.388	-1.713	-0.237	-0.012	0.29	0.069
"YER117W"	0.368	-0.6	-2.008	-1.95	-2.832	-5.642	-2.843	-2.483	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.334	0.459	0.441	-0.14	0.308	0.981	0.372	-1.876	-1.852	-1.51	-1.633	-0.96	0.342	-0.9125	-0.8595	0.307
"YFL039C"	-0.168	0.168	-1.186	-1.097	-2.57	-3.733	-1.117	-1.321	-0.136	-0.479	-0.492	-1.583	-2.201	-2.764	0.05	0.055	0.097	0.309	0.14	0.094	-0.171	-0.53	-1.275	-0.796	-0.828	-0.783	0.354333333333333	0.0853333333333333	0.192333333333333	0.538
"YFR028C"	-0.031	0.208	-1.456	-0.875	-2.027	-4.271	-1.037	-1.293	-0.829	-1.142	-1.447	-1.092	-1.864	-1.575	-0.189	-0.076	-0.038	0.001	0.191	0.03	-0.211	-1.1065	-0.851	-0.917	-0.84	-2.211	0.0935	-0.559	-0.57	0.016
"YGL016W"	-0.094	0.051	-1.474	-1.127	-3.034	-4.265	-1.104	-1.391	-0.997	-1.815	-1.608	-2.599	-3.554	-2.639	0.253	0.476	0.353	-0.258	0.106	0.249	0.765	-1.374	-1.867	-1.969	-2.353	-2.219	-0.539	-0.442	-0.661	-0.245
"YGL031C"	-0.751	-1.69	-1.846	-3.104	-3.683	-5.763	-3.063	-2.704	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	0.16	0.343	0.476	-0.447	0.114	0.717	0.678	-2.655	-1.99	-1.105	-1.116	-0.673	0.468	-0.601	-0.666	0.346
"YGL039W"	-0.453	-0.259	-2.458	-2.992	-1.744	-2.72	-0.76	-1.484	-1.781	-1.822	-1.751	-2.433	-2.686	-3.211	0.332	0.058	-0.055	-0.261	-0.007	0.936	0.908	-2.594	-0.575	-0.721	-1.036	-0.921	0.04	0.691	-0.088	0.336
"YGL067W"	-0.165	0.421	-1.172	-1.39	-3.029	-2.893	-1.274	-1.53	-0.488	-1.044	-1.214	-1.327	-1.617	-2.053	-0.206	-0.142	-0.235	-0.085	0.119	0.395	0.259	-0.958	-1.328	-1.144	-1.455	-1.112	0.311	0.476	0.226	-0.12
"YGL076C"	-0.506	-1.311	-2.446	-2.401	-3.976	-5.667	-2.857	-1.957	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	0.375	0.661	0.609	-0.122	-0.016	1.071	0.8	-1.8735	-2.237	-1.523	-1.742	-1.207	0.33	-1.469	-0.5705	0.097
"YGL077C"	0.659	0.231	-1.539	-1.395	-3.716	-3.533	-1.313	-1.711	-0.842	-1.683	-1.693	-2.529	-2.903	-2.463	-0.367	-0.35	-0.311	-0.012	0.431	0.344	-0.627	-1.243	-0.59	-0.705	-1.044	-1.348	0.274	0.056	0.141	-0.23
"YGL238W"	-0.135	0.011	-0.967	-1.048	-1.585	-4.337	-1.39	-1.824	-1.294	-1.238	-1.24	-1.654	-1.937	-2.674	-0.073	-0.041	0.261	0.296	0.04	0.013	0.367	-0.873	-1.66	-1.426	-1.65	-1.591	-0.356	0.585	-0.483	-0.235
"YGL239C"	0.0	-0.412	-0.975	-1.108	-1.13	-3.568	-0.369	-0.667	-1.312	-1.239	-1.341	-1.441	-1.76	-1.518	-0.292	-0.257	-0.174	0.027	-0.044	-0.918	0.683	-0.25	-1.419	-1.501	-1.47	-1.655	0.008	-0.599	-0.857	-0.164
"YGL245W"	0.159	-0.553	-1.475	-2.145	-4.799	-6.655	-1.699	-2.088	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	-0.087	0.255	0.296	0.059	-0.194	0.595	0.573	-1.658	-1.18	-1.236	-1.439	-1.16	-0.04	0.301	0.338	0.181
"YGL246C"	-0.373	-0.134	-0.979	-0.951	-2.83	-2.44	-0.571	-1.214	-1.368	-1.452	-1.433	-1.976	-2.222	-2.971	0.183	0.059	-0.005	-0.405	-0.109	0.552	0.542	-1.815	-0.476	-0.646	-0.817	-0.346	-0.208	-0.161	-0.075	0.149
"YGL253W"	-0.217	-0.831	-1.924	-0.458	-2.17	-4.666	-0.793	-0.699	-0.067	-0.348	-0.677	-1.66	-1.811	-2.803	-0.513	0.073	0.029	0.405	0.038	-0.224	0.055	-1.286	-1.085	-1.066	-1.143	-1.086	-0.191	0.972	0.137	-0.12
"YGR054W"	-0.157	-0.137	-1.147	-1.521	-1.724	-4.535	0.112	-0.704	-2.138	-1.287	-2.153	-2.051	-2.362	-2.163	-0.353	-0.399	-0.072	0.006	-0.025	0.221	-0.159	-1.294	-1.051	-1.408	-1.034	-1.268	-0.456	-0.976	-0.621	-0.155
"YGR061C"	-0.14	-0.332	-1.003	-1.6865	-2.8345	-3.447	-1.048	-1.7135	-1.1355	-1.7575	-1.891	-1.7885	-1.6345	-2.528	0.644	0.3445	0.3115	-0.3885	-0.0275	0.245	0.563	0.329	-1.328	-1.454	-1.7425	-1.861	-0.1115	-0.2005	-0.432	0.622
"YGR085C"	-0.002	0.379	-2.29	-2.146	-3.406	-6.059	-3.013	-2.215	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.28	0.407	0.491	-0.3	0.278	0.88	0.455	-2.156	-2.078	-1.442	-1.73	-1.234	-0.19	-0.89	-0.76	0.61
"YGR148C"	-0.439	-1.347	-2.31	-2.615	-3.884	-5.757	-2.956	-2.722	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.203	0.399	0.476	-0.425	0.022	0.661	0.798	-2.7095	-1.848	-1.084	-1.162	-0.796	0.127	-0.531	-0.405	0.444
"YGR151C"	-0.469	-0.492	-2.677	-1.671	-3.87	-3.928	-0.483	-2.381	-2.213	-2.815	-2.712	-1.696	-2.582	-2.109	0.267	0.2	0.133	-0.304	-0.12	-0.162	0.339	-1.997	-1.234	-1.302	-1.089	-1.012	-0.233	-0.4955	-0.6305	-0.198
"YGR155W"	0.295	-0.131	-0.517	-0.062	-1.39	-4.396	0.119	-0.863	-0.915	-1.408	-1.625	-1.318	-1.786	-2.407	0.438	0.535	0.564	-0.075	0.384	0.732	0.858	-1.5655	-1.853	-1.16	-1.324	-0.963	0.237	-0.246	-0.0215	0.396
"YGR173W"	-0.482	-0.511	-1.375	-1.91	-2.218	-3.699	-1.747	-1.752	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	0.429	0.307	0.22	-0.501	-0.074	0.442	0.005	-1.2535	-1.113	-0.826	-1.177	-0.574	0.109	-0.973	-0.2105	0.432
"YGR185C"	-0.035	0.519	-2.13	-2.168	-5.306	-6.361	-2.6	-2.266	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.271	0.46	0.36	-0.175	0.181	0.846	0.816	-2.438	-2.21	-2.316	-2.459	-2.363	0.108	-0.508	-0.057	0.338
"YGR229C"	0.064	0.107	-1.164	-0.943	-2.847	-4.256	-1.987	-1.316	-0.983	-1.569	-1.658	-2.401	-2.58	-3.391	-0.011	0.233	0.184	0.025	0.076	0.546	0.693	-1.347	-1.255	-1.085	-1.061	-1.016	-0.478	-0.568	-0.457	-0.135
"YGR264C"	-0.431	-1.271	-2.945	-3.206	-5.206	-4.616	-2.811	-3.49	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	0.465	0.495	0.275	-0.863	-0.079	0.824	1.03	-2.468	-2.246	-2.287	-2.376	-2.353	-0.598	-1.007	0.092	0.12
"YHL003C"	0.368	0.395	-0.508	-0.868	-2.186	-3.084	-1.135	-1.164	-0.273	-0.886	-0.883	-1.585	-1.707	-1.741	-0.045	0.303	0.317	0.406	-0.067	-0.213	0.333	-0.878	-0.996	-0.937	-1.427	-1.005	0.548	0.929	0.777	0.289
"YHL011C"	0.474	-0.434	-0.736	-1.162	-2.023	-3.592	-1.597	-1.416	-0.989	-1.128	-1.272	-1.25	-1.552	-1.5	0.31	0.9	0.547	-0.422	-0.008	1.155	1.124	-1.063	-1.217	-1.308	-1.43	-1.041	0.328	-0.486	0.109	0.127
"YHL033C"	0.043	-1.567	-1.277	-2.205	-3.984	-6.65	-3.005	-2.318	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.418	0.537	0.527	-0.426	0.08	1.103	0.876	-1.956	-1.93	-1.111	-1.445	-1.336	-0.339	-0.591	0.371	0.489
"YHR019C"	-0.548	-0.767	-1.831	-2.048	-4.051	-5.077	-2.664	-2.76	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.338	0.417	0.408	-0.24	0.071	1.55	0.729	-1.834	-2.505	-2.098	-2.32	-2.222	0.161	-0.386	0.169	0.403
"YHR064C"	-0.146	-0.919	-1.77	-1.712	-3.329	-5.238	-2.559	-0.22	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	0.64	0.719	0.432	-0.309	-0.069	0.661	0.749	-2.056	-2.303	-1.252	-2.419	-2.332	-0.176	-0.516	-1.098	0.078
"YHR068W"	-0.31	-0.63	-3.015	-2.166	-4.28	-6.532	-2.526	-1.119	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.072	0.132	0.041	-0.359	0.241	0.517	0.633	-2.29	-2.522	-2.438	-2.761	-2.475	-0.232	-0.093	-0.499	0.354
"YHR098C"	0.0905	-0.193	-0.96	-0.638	-2.065	-3.065	-1.159	-1.2865	-1.1365	-1.2075	-1.218	-1.917	-1.925	-2.553	0.074	0.2335	0.348	0.0925	-0.289	-0.22	-0.127	-2.4395	-1.5435	-1.1335	-1.146	-1.652	-0.1245	-0.0785	0.009	0.007
"YHR123W"	-0.415	1.06	-1.555	-1.135	-3.763	-4.132	-1.439	-2.046	-1.72	-1.965	-2.024	-2.917	-2.775	-2.647	-0.379	-0.305	-0.273	0.327	0.254	-0.73	-0.574	-1.21	-1.226	-1.226	-1.605	-1.119	-0.798	0.273	0.659	1.253
"YHR193C"	-0.014	-0.728	-1.341	-1.99	-3.11	-4.166	-1.955	-1.2	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.461	0.284	0.461	0.149	-0.018	0.239	0.201	-1.764	-0.706	-0.734	-0.896	-0.887	0.358	-0.373	-0.548	0.348
"YIL078W"	-0.215	-1.615	-2.498	-1.911	-5.192	-6.059	-2.5	-2.462	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.291	0.528	0.423	-0.45	0.141	0.849	0.986	-2.348	-2.573	-2.57	-2.6	-2.341	-0.125	-0.443	-0.206	0.217
"YIL110W"	-0.666	-0.498	1.513	-0.964	-2.455	-3.072	-1.042	-1.689	-1.381	-1.354	-1.444	-1.775	-2.473	-2.492	0.31	0.237	0.134	-0.46	-0.125	0.822	0.849	-1.14	-1.012	-0.372	-1.918	-0.478	-0.53	-0.873	-0.662	0.295
"YJL002C"	-0.156	0.052	-1.243	-1.658	-2.469	-4.487	-1.766	-0.803	-0.838	-0.942	-1.17	-1.748	-2.556	-2.618	-0.201	0.173	0.206	0.176	-0.075	0.064	0.671	-1.272	-1.155	-1.488	-1.752	-1.32	0.475	0.376	0.592	0.046
"YJL097W"	0.314	0.175	-1.604	-2.089	-2.596	-4.683	-0.944	-1.483	-0.265	-1.025	-1.409	-1.461	-2.558	-2.276	0.337	0.169	-0.086	-0.146	-0.165	0.135	0.209	-1.401	-1.172	-1.561	-1.85	-1.278	0.365	-1.282	-0.65	-0.075
"YJL138C"	0.466	-0.84	-1.195	-1.358	-3.125	-5.625	-1.674	-1.959	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.442	0.654	0.758	-0.285	0.058	0.982	0.721	-1.828	-1.973	-1.925	-2.479	-1.961	0.472	0.098	0.271	0.244
"YJL145W"	0.151	-0.372	-1.431	-2.509	-2.136	-3.628	-1.336	-1.747	-1.17	-1.678	-1.482	-2.303	-2.334	-2.853	0.366	0.133	0.285	-0.329	-0.225	-0.098	-0.102	-1.334	-0.647	-0.5	-0.627	-0.389	0.29	-0.395	-0.286	0.213
"YJR064W"	-0.785	0.147	-1.854	-2.589	-1.931	-4.297	-1.978	-1.919	-1.246	-1.592	-1.762	-1.961	-2.702	-2.57	0.359	0.238	0.106	-0.197	0.016	1.116	0.515	-1.762	-1.091	-1.12	-0.872	-1.372	0.066	0.311	0.36	0.133
"YJR124C"	-0.719	-0.294	-2.069	-2.068	-2.359	-2.412	-1.279	-1.46	-1.581	-1.778	-1.7	-1.401	-1.723	-2.242	0.195	0.069	0.142	-0.376	0.009	0.306	0.466	-1.727	-1.718	-1.476	-1.405	-0.931	0.353	-0.622	0.461	0.239
"YJR143C"	0.14	-0.477	-1.487	-1.713	-4.675	-5.523	-2.573	-3.031	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	-0.208	0.303	0.224	-0.289	0.239	0.115	0.051	-1.896	-2.672	-2.162	-2.24	-2.832	-0.064	-0.316	-0.026	0.146
"YKL026C"	0.12	0.675	4.068	3.618	5.561	6.641	3.305	3.067	2.687	3.137	3.607	4.354	3.97	3.468	-1.105	-1.48	-0.305	1.303	0.101	-0.481	-0.856	1.288	2.371	2.834	2.644	2.609	0.369	1.061	0.876	-1.148
