	"59.alpha factor release sample013"	"409.heat shock 25 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1109.alpha factor release sample014"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"42045.L1CompR 05 hr 15 min Leucine Batch vs Chemostat Comparison"	"42046.L1CompR 07 hr 05 min Leucine Batch vs Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42390.CC LS 1B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YER176W"	0.47	-0.335	-0.737	-0.54	-0.811	-0.964	-0.477	-0.319	-0.731	-1.3	0.073	0.143	-0.187	-0.114	0.158	-0.081	-0.641	-1.039	-0.413	-0.793	-0.55	-0.839	-0.942	0.149	-0.067	-0.2825	-0.056	0.259	0.034	-0.453	-0.206	0.097	-0.649	-0.806	-0.582	-1.152	0.172	-0.619	0.502	0.724	0.9	0.573	0.266	0.173	0.078	-0.22	-0.043	0.657
"YGL077C"	-0.078	0.346	-2.268	-0.218	-0.644	-1.05	-1.539	-1.395	-3.716	-3.533	0.102	-1.109	-0.962	-0.99	-1.313	-1.711	-0.726	-0.842	-1.683	-1.693	-2.529	-2.903	-2.463	-0.013	-0.067	-1.243	-0.59	-0.422	-0.062	-0.615	-0.173	-0.862	-1.15	0.565	-0.133	-0.212	-0.279	-0.536	0.385	-0.223	-0.149	0.469	-0.573	-0.165	-0.218	-0.199	-0.382	-0.501
"YGL147C"	0.485	-4.102	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-1.185	-1.716	-3.0	-3.753	-3.466	-3.166	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	0.198	0.006	-2.532	-2.765	-2.428	-1.289	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	-3.135	0.4535	-1.569	-1.511	0.218	0.4015	0.328	-0.3305	-0.5	-0.5765	-0.1075	-0.492	-0.867
"YGL238W"	0.005	0.099	-1.068	-1.334	-0.793	-1.08	-0.967	-1.048	-1.585	-4.337	-0.216	-0.732	-1.52	-1.275	-1.39	-1.824	-1.481	-1.294	-1.238	-1.24	-1.654	-1.937	-2.674	-0.55	0.832	-0.873	-1.66	-0.37	-0.974	-0.737	-1.404	-0.035	-0.714	-0.923	-0.805	-0.827	0.141	0.286	-1.23	0.127	0.108	0.835	1.651	NaN	0.341	-1.239	0.73	NaN
"YGL245W"	0.21	-0.116	-1.773	-0.806	-1.565	-1.579	-1.475	-2.145	-4.799	-6.655	-0.266	-0.981	-1.774	-1.33	-1.699	-2.088	-1.847	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	-0.177	0.657	-1.658	-1.18	0.168	0.222	-0.889	-0.955	-1.095	-0.706	-0.834	-0.29	-1.196	-0.128	-0.299	-1.526	0.199	0.069	0.59	-0.076	0.006	-0.282	-0.343	-0.498	-0.595
"YGR148C"	0.284	-2.942	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-1.051	-1.141	-3.141	-3.011	-2.956	-2.722	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	-0.262	-0.054	-2.7095	-1.848	-1.355	-0.515	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	-2.334	0.011	-0.924	-1.647	0.313	0.561	0.01	-1.324	-0.728	-0.388	-0.248	-0.685	-0.306
"YGR264C"	0.31	-2.2555	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-4.616	-0.844	-1.795	-3.505	-3.321	-2.811	-3.49	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-0.385	0.535	-2.468	-2.246	-1.144	-0.763	-3.556	-2.673	-1.736	-3.33	-3.082	-1.962	-2.066	NaN	-2.729	-0.52	0.515	0.537	1.369	-0.166	0.065	-0.036	-0.06	-0.035	-0.156
"YIL078W"	0.382	-1.7065	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-0.565	-0.376	-2.282	-2.288	-2.5	-2.462	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.232	0.108	-2.348	-2.573	-0.622	0.018	-3.116	-1.937	-1.36	-1.996	-2.548	-1.189	-1.453	0.351	-0.374	-0.279	0.095	0.55	0.93	0.632	0.108	0.085	0.015	-0.067	-0.043
"YJL188C"	0.109	-2.06	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-1.02	-1.612	-2.24	-2.745	-2.519	-1.879	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.463	-0.031	-1.525	-0.569	-1.182	0.146	-2.879	-1.947	-2.436	-2.777	-2.447	-2.254	-2.01	-0.012	-1.563	-2.059	-0.122	0.479	-0.744	-0.071	-0.544	-0.296	-0.192	-0.561	-0.803
"YJL189W"	-0.228	-2.7325	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-0.329	-1.433	-2.446	-2.278	-1.716	-1.833	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	0.183	-0.326	-1.034	-0.667	-0.893	-0.188	-2.736	-2.597	-2.818	-2.888	-2.522	-2.288	-1.966	-0.028	-2.046	-2.376	-0.013	0.597	-0.167	0.199	-0.364	-0.156	-0.26	-0.344	-0.25
"YJR026W"	1.483	0.9035	-0.346	-0.081	-0.72	-0.723	0.112	-0.968	-0.979	-1.254	1.198	0.907	0.207	0.656	0.31	0.009	1.123	0.942	1.243	0.658	1.987	2.233	1.632	1.522	2.937	0.025	1.161	1.503	1.843	0.498	1.181	0.072	0.786	0.988	0.815	-0.258	1.269	0.491	1.147	2.913	1.806	3.458	2.467	2.654	2.408	2.547	2.71	2.745
"YJR027W"	1.521	0.589	-0.21	-0.334	-0.013	-0.488	-0.441	-1.17	-1.108	-1.853	1.192	0.89	0.394	0.8	0.426	0.269	1.116	0.719	0.942	0.398	1.523	1.477	0.676	1.068	1.789	0.198	0.877	1.445	1.49	0.7835	1.279	0.5565	0.425	0.671	0.88	0.2765	1.4455	0.823	1.331	2.6255	1.8705	3.2145	2.444	2.153	2.1105	2.151	2.298	2.405
"YJR028W"	1.479	0.934	-0.018	0.174	-0.357	-0.695	-0.113	-1.133	-1.004	-1.583	1.4	0.802	0.385	0.913	0.367	-0.403	1.155	0.974	1.307	0.695	1.972	2.011	1.475	1.468	2.893	0.057	1.006	1.463	1.6	1.196	1.82	0.747	1.279	1.884	0.829	0.031	1.429	0.678	1.052	2.918	1.876	3.233	3.039	2.456	2.274	2.375	2.764	2.997
"YJR029W"	1.322	0.832333333333333	0.021	0.194	0.125	-0.09	-0.2825	0.4755	-0.3225	-1.273	1.5395	0.8745	0.589	0.87	0.2395	0.369	1.0645	0.5765	0.664	0.19	0.9705	1.0775	1.5135	1.312	1.0755	0.1445	0.6955	1.0885	1.425	0.2075	1.2375	0.387	0.0935	0.63	0.184	0.4715	1.255	0.278	1.278	1.9645	1.75	2.1885	1.7135	1.6265	1.7715	1.752	1.975	2.021
"YJR123W"	0.296	-3.5655	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-9.147	-1.138	-1.536	-3.809	-3.529	-3.442	-3.646	-4.282	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	-0.106	0.329	-2.153	-2.268	-1.982	-0.975	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-3.587	0.482	-0.742	-1.55	0.329	0.303	0.699	-0.3	-0.259	-0.076	0.087	-0.472	-0.6
"YJR145C"	0.373	-2.8575	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-1.641	-1.781	-3.551	-3.547	-3.597	-3.707	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.003	0.38	-2.312	-2.272	-2.084	-1.007	-4.335	-3.373	-2.551	-4.108	-3.771	-2.74	-2.94	0.347	-2.832	-1.05	0.268	0.198	0.642	-0.643	-0.358	-0.178	-0.325	-0.444	-0.502
"YKL074C"	0.797	-0.5945	-1.488	-1.822	-0.67	-0.927	-0.867	-0.198	-2.628	-4.328	-0.265	-0.995	-0.987	1.057	-0.191	-0.647	-0.485	-0.232	0.023	-0.118	-0.529	-1.188	-0.507	0.258	0.024	-0.79	0.079	0.381	0.326	-0.839	-0.928	-0.17	-1.574	-1.121	-1.052	-1.111	0.142	-0.877	-0.395	-0.473	0.113	-0.31	-0.299	0.494	0.17	-0.14	-0.063	0.052
"YKL081W"	0.491	-1.8405	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-5.155	-1.425	-2.074	-3.28	-3.157	-3.837	-3.37	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	0.261	-0.02	-2.502	-3.391	-2.474	-2.007	-3.076	-3.449	-2.509	-3.386	-3.054	-2.989	-3.704	0.745	-2.447	-1.495	0.453	0.016	0.292	-0.123	-1.021	-1.18	-1.05	-1.414	-1.407
"YKR057W"	-0.219	-2.604	-3.036	-2.945	-2.525	-2.033	-1.835	-1.678	-2.2	-3.461	-1.075	-1.743	-2.779	-2.897	-2.624	-2.294	-4.013	-2.126	-2.625	-2.576	-1.161	-1.048	-2.496	0.016	0.016	-2.079	-1.955	-2.25	-0.818	-3.811	-2.631	-1.7	-3.29	-2.638	-2.13	-2.085	0.288	-2.34	-1.397	-0.055	0.433	-0.327	-0.61	-0.421	-0.166	-0.058	-0.247	-0.56
"YLL044W"	0.195	-3.582	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-1.254	-1.665	-3.313	-3.031	-3.269	-2.156	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.077	-0.032	-2.227	-1.93	-2.312	-0.952	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935	0.283	-2.921	-1.584	0.119	0.277	0.573	-0.374	-0.717	-0.834	-0.522	-0.894	-1.11
"YLR061W"	-0.03	-3.322	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-1.362	-1.703	-3.239	-3.818	-3.021	-3.058	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.182	-0.074	-2.482	-1.368	-1.87	-0.536	-2.468	-2.246	-1.804	-4.004	-2.793	-2.94	-3.717	0.152	-0.502	-0.761	0.172	0.371	-0.141	-1.154	-0.907	-0.378	-0.294	-0.601	-0.712
"YLR062C"	0.136	-3.557	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-1.355	-1.847	-3.6	-3.985	-3.965	-3.18	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.076	-0.077	-2.675	-2.666	-2.11	-1.167	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419	0.126	-0.94	-5.782	0.061	0.242	-0.538	-1.425	-1.212	-0.81	-0.772	-1.136	-1.171
"YLR185W"	0.091	-2.305	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-5.928	-1.23	-1.464	-2.94	-2.559	-2.616	-2.445	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	-0.162	-0.278	-2.023	-1.665	-2.22	-0.968	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35	0.243	-2.77	-2.407	0.157	0.351	-0.188	-0.919	-1.139	-0.805	-0.886	-1.14	-1.257
"YLR293C"	0.628	-0.72	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-0.632	-0.951	-2.107	-1.751	-2.233	-2.661	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.459	0.277	-2.235	-1.553	-0.706	-0.472	-3.113	-2.525	-1.847	-2.822	-2.422	-1.899	-2.582	0.543	-2.021	-1.466	0.846	0.153	0.17	-0.356	-0.522	-0.377	-0.143	-0.401	-0.46
"YLR413W"	-0.24	-4.155	-4.758	-4.864	-5.057	-4.832	-4.874	-5.063	-5.414	-5.846	-1.819	-2.534	-3.237	-3.865	-3.034	-3.629	-4.176	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	-0.894	0.181	-3.737	-3.83	-2.009	-2.103	-4.298	-4.176	-4.129	-4.449	-4.04	-4.16	-4.919	-0.841	-1.643	-3.172	1.212	-2.056	0.544	-0.669	-0.559	-1.802	-0.816	-0.715	-0.477
"YLR448W"	-0.043	-2.821	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-0.947	-1.842	-3.425	-3.454	-3.179	-2.573	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-0.231	0.007	-2.337	-2.386	-2.649	-1.519	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636	0.245	-1.558	-0.499	0.174	0.246	-0.175	-0.691	-1.201	-0.908	-0.669	-0.959	-1.142
"YML040W"	1.514	1.178	0.335	0.589	0.221	0.381	0.56	0.306	-0.167	-1.604	1.422	1.18	1.012	0.872	0.52	0.674	1.369	1.346	1.445	1.065	1.996	2.42	1.772	1.665	3.22	-0.032	1.024	1.136	1.957	0.017	0.987	-0.424	0.191	0.533	0.223	0.286	1.447	1.527	1.251	3.049	1.888	3.503	3.004	2.381	2.324	2.219	2.639	2.688
"YML045W"	1.697	1.193	0.353	0.519	0.303	0.376	0.418	0.326	-0.236	-1.218	1.511	1.074	1.007	0.946	0.608	0.571	1.314	1.318	1.331	1.115	1.938	2.312	1.659	1.541	3.281	-0.011	1.194	1.119	1.966	0.79	1.2875	0.604	0.184	0.779	0.6385	0.394	1.5065	1.4345	1.2375	3.0035	2.001	3.4595	2.795	2.186	2.2555	2.3865	2.5135	2.606
"YMR046C"	1.51	1.181	0.217	0.58	0.546	0.374	0.403	0.465	-0.19	-1.652	1.693	0.995	0.93	1.018	0.785	0.854	1.276	1.304	1.334	0.97	2.23	2.399	1.676	1.236	2.934	-0.076	1.536	1.29	1.999	-0.069	1.159	0.059	0.239	0.869	0.633	0.295	1.613	1.852	1.062	2.834	2.006	3.878	3.639	2.823	2.19	2.316	2.519	2.793
"YMR051C"	1.735	1.202	0.247	0.255	0.128	0.282	0.47	0.492	-0.012	-1.605	1.837	1.063	0.948	1.248	0.77	0.707	1.31	1.416	1.415	1.187	2.353	2.452	1.809	1.655	3.13	0.264	1.293	1.356	2.022	1.043	1.467	1.115	0.909	1.354	1.238	0.895	1.762	1.896	1.341	3.054	2.086	3.642	3.461	2.828	2.102	2.263	2.621	2.888
"YMR212C"	0.034	-0.759	-0.996	-0.921	-1.109	-1.256	-1.579	-0.844	-2.04	-6.75	-0.511	-0.715	-1.253	-0.975	-0.426	-1.664	-1.181	-1.075	-1.572	-1.78	-2.693	-2.627	-2.761	-0.293	0.255	-0.9475	-1.363	-0.385	-0.757	-0.766	-1.069	-1.059	-0.888	-1.085	-0.715	-1.159	-0.104	-3.102	-4.903	-0.151	0.276	0.152	1.042	-0.203	-3.152	-0.61	-0.47	-0.679
"YMR235C"	0.149	-0.883	-1.54	-1.45	-1.143	-1.493	-1.783	-1.785	-3.534	-5.187	-0.339	-0.945	-1.622	-1.883	-1.879	-2.052	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.281	0.22	-1.782	-1.955	-0.105	0.038	-1.798	-1.514	-1.305	-1.982	-1.573	-1.264	-1.301	0.271	-1.975	-0.905	-0.125	-0.204	0.299	0.052	-0.691	-0.487	-0.431	-0.506	-0.321
"YMR242C"	0.362	-3.309	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-1.253	-2.004	-3.832	-4.338	-3.636	-3.62	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.222	0.068	-2.4615	-2.447	-2.255	-0.992	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	0.214	-1.834	-1.592	0.193	0.263	0.061	-0.753	-0.514	-0.467	-0.236	-0.562	-0.604
"YNL090W"	0.139	-0.496	-1.74	-1.206	-1.29	-1.298	-1.485	-1.166	-2.438	-2.292	-0.129	-0.937	2.369	-1.2	-1.032	-1.162	-0.926	-1.181	-1.304	-1.549	-1.844	-1.862	-2.234	-0.144	-0.087	-1.4075	-0.558	0.429	0.135	-1.689	-0.592	-0.484	-1.311	-1.747	-0.914	-1.288	-0.274	-1.909	-1.37	-0.078	-0.375	0.175	-0.837	0.236	0.468	0.414	0.18	-0.181
"YNL096C"	0.113	-2.881	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-0.912	-2.087	-3.331	-3.045	-2.761	-3.165	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.522	-0.197	-2.8625	-2.296	-1.613	-0.898	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779	0.224	-2.657	-0.678	0.693	0.329	0.181	-0.736	-0.689	-0.425	-0.224	-0.384	-0.333
"YNL119W"	0.09	-2.438	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-1.052	-1.542	-3.359	-3.366	-2.99	-2.998	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.165	-0.116	-1.92	-1.803	-2.341	-1.364	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.406	0.205	-1.086	-1.797	0.1	0.305	-0.238	-1.238	-0.702	-0.413	-0.529	-0.597	-0.827
"YOL136C"	0.318	0.308	0.1555	-2.907	-0.8365	0.274	-1.545	-2.731	-0.5765	-3.94	0.5115	-0.0185	-1.565	-0.483	0.208	-0.74	-1.674	-2.017	-1.414	-1.573	-1.241	-1.333	-1.068	0.33	-0.3975	-2.229	1.237	-0.662	-0.062	-1.636	-2.331	-1.526	-2.154	-2.249	-2.344	-2.461	0.753	NaN	1.475	-0.217	0.098	0.363	1.37	0.461	0.726	0.521	0.254	0.256
"YOR167C"	0.405	-2.402	-1.901	-2.041	-1.52	-1.859	-1.466	-0.611	-0.6035	-3.313	-1.3855	-1.319	-2.747	-2.5365	-2.376	-2.736	-3.37	-2.06	-2.251	-2.421	-2.283	-2.319	-2.712	0.01	-0.1545	-1.84	-2.063	-1.996	-1.429	-2.829	-2.745	-1.906	-3.035	-2.772	-2.46	-2.134	0.473	-1.924	-0.296	0.136	0.554	-0.407	-0.641	0.078	0.139	0.241	-0.024	-0.31
"YOR265W"	0.112	-0.295	-0.7745	-1.364	-0.9035	-1.381	-1.2345	-0.893	-1.497	-2.129	-0.2455	-0.493	-1.041	-0.9785	-1.014	-1.342	-1.115	-0.703	-0.515	-0.447	-1.601	-1.189	-1.563	2.098	-0.277	-0.087	0.224	0.745	0.488	-0.944	-1.031	-0.774	-1.038	-1.129	-1.056	-0.642	0.011	-2.448	-1.508	-0.386	0.074	-0.498	-0.505	-0.821	-0.188	-0.474	-0.758	-0.338
"YOR309C"	-0.047	-5.523	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-0.975	-2.054	-3.709	-3.9105	-3.8235	-2.194	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.775	-0.6185	-3.451	-2.601	-2.504	-0.735	-2.543	-3.28	-1.503	-4.097	-3.518	-2.477	-3.672	0.038	-3.047	-1.641	-0.062	0.361	-1.214	-3.141	-1.41	-1.457	-1.044	-1.344	-1.13
