	"59.alpha factor release sample013"	"104.alpha factor release sample024"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"802.Heat Shock 060 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1105.alpha factor release sample023"	"1109.alpha factor release sample014"	"1250.mec1_plus_gamma_10_min"	"1252.mec1_plus_gamma_30_min"	"1253.mec1_plus_gamma_45_min"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"7549.33C no sorbitol 5 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"8235.dtt 480 min"	"11466.yO1 test hyb"	"14761.Ca 30min (1)"	"17473.Ca+FK 30min (5)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YDL201W"	0.049	0.13	-1.652	1.17	-0.782	0.957	0.388	-3.282	-2.32	-1.899	-1.819	-1.285	-1.952	-1.537	-4.94	-2.29	-2.112	-1.765	-2.178	-1.317	-1.176	-1.363	-1.295	-1.218	-1.732	0.615	-0.263	-0.651	0.406	0.075	0.553	0.108	0.18	-0.17	-0.382	-1.275	-1.373	-1.767	-1.478	-0.121	-0.902	-0.969	-0.723	-2.098	-1.705	-2.492	-1.838	-1.138
"YDR023W"	0.001	0.082	-1.856	0.322	-0.457	0.568	-0.403	-1.814	-2.122	-1.859	-1.347	-2.164	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-3.05	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.541	-0.212	-0.392	0.12	-0.098	0.324	-0.038	0.031	-0.019	0.1	-1.7	-1.754	-1.928	-1.507	-0.194	-2.091	-0.345	0.602	-2.302	-1.458	-1.05	-1.66	-0.861
"YDR025W"	0.038	0.003	-3.248	0.692	-0.38	1.014	-0.35	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-3.357	-3.356	-3.471	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.525	0.085	-0.728	-0.298	-0.397	0.662	-0.217	-0.215	-0.035	-0.185	-1.767	-1.45	-1.463	-2.304	0.084	-1.7675	-0.788	-0.412	-4.772	-3.127	-3.906	-3.552	-2.869
"YDR101C"	0.278	0.099	-3.659	1.358	-0.413	1.377	0.193	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.145	-4.667	-3.385	-2.743	-1.752	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.651	-0.843	-1.153	0.304	-0.178	-0.258	-0.278	-0.179	0.107	-1.228	-2.352	-2.477	-2.261	-1.291	0.391	-2.013	-1.784	-0.676	-2.088	-2.116	-3.048	-2.294	-1.739
"YDR341C"	-0.079	0.073	-1.494	0.688	-0.267	0.703	0.064	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-5.262	-2.587	-2.171	-2.134	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.493	-0.347	-0.503	0.303	-0.174	0.078	-0.471	-0.371	0.1	-0.262	-2.215	-1.833	-1.888	-0.985	0.002	-1.562	-1.005	0.073	-1.936	-2.272	-2.142	-1.941	-1.169
"YDR413C"	-0.115	0.236	-2.502	1.14	-0.225	1.079	0.083	-2.622	-2.121	-1.802	-1.452	-1.554	-1.58	-1.42	-2.057	-1.399	-1.215	-1.12	-2.337	-1.725	-1.311	-1.594	-1.706	-1.349	-1.81	0.327	-0.392	-0.888	0.32	-0.272	0.059	0.068	-0.212	0.208	-0.927	-1.14	-1.054	-1.243	-1.316	-0.3	-1.613	-0.801	-0.665	-1.835	-1.046	-2.336	-1.502	-1.256
"YDR447C"	0.115	-0.42	-3.562	1.205	0.034	1.022	0.061	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-3.574	-3.565	-2.813	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	0.135	-0.058	-0.693	-0.463	0.056	0.242	-0.352	-0.151	0.176	-0.32	-2.33	-2.456	-2.291	-2.288	0.014	-2.1165	-0.781	-0.936	-3.67	-2.356	-4.358	-3.418	-2.211
"YDR505C"	-0.3	0.029	1.441	-0.719	-0.47	-0.734	-0.33	2.043	1.733	1.823	1.411	1.418	1.076	3.127	3.008	0.909	0.79	0.607	1.999	1.471	2.053	2.304	3.358	3.221	3.034	-0.067	0.439	0.13	-0.193	-0.684	0.25	-0.005	0.097	-0.013	0.18	0.77	0.954	1.153	0.529	-0.071	1.197	0.503	0.933	0.517	1.068	1.322	0.9	1.066
"YEL012W"	0.073	0.181	0.893	-0.322	-0.543	-1.202	-0.807	3.329	3.222	3.376	2.713	2.665	3.0	3.657	2.655	1.923	2.342	2.194	3.408	2.354	2.721	2.891	2.976	2.45	2.286	0.112	0.382	0.877	0.233	0.096	0.224	0.589	0.378	0.04	1.16	2.012	0.984	1.434	0.522	-0.105	1.722	1.6455	0.501	3.207	3.655	3.596	3.65	3.773
"YEL042W"	-0.34	-0.116	-1.862	0.745	0.546	-0.631	1.041	-1.578	-0.84	-0.254	-0.736	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	-0.199	-0.593	-0.666	-0.37	-0.452	-0.387	-0.088	-0.364	-0.007	0.115	-0.563	-1.148	-0.88	-0.42	0.835	-1.2195	-1.8235	-1.62	-1.793	-1.936	-1.842	-1.963	-0.946
"YER025W"	0.547	0.485	-2.611	1.033	-0.35	0.959	0.238	-3.167	-1.687	-1.57	-1.903	-1.256	-1.55	-2.274	-4.542	-2.203	-1.76	-1.79	-2.463	-1.42	-1.739	-2.023	-1.728	-2.125	-2.385	0.742	-0.146	-0.505	0.462	0.049	0.032	0.032	-0.177	0.0	-0.143	-1.481	-1.371	-1.049	-1.189	-0.025	-1.106	-0.054	-0.497	-1.582	-1.171	-1.434	-1.145	-0.866
"YER043C"	0.319	0.477	-1.897	1.109	-0.231	0.891	0.442	-3.945	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	0.922	0.115	-1.277	-0.172	-0.049	-0.205	-0.699	-0.14	-0.103	-0.149	-0.873	-1.657	-1.941	-0.012	0.571	-1.415	-1.042	-0.702	-3.094	-2.542	-2.164	-2.202	-1.71
"YER086W"	0.262	0.171	-1.976	0.938	0.498	0.899	0.448	-3.714	-1.791	-1.128	-1.076	-1.236	-1.424	-3.61	-5.173	-2.869	-2.152	-2.311	-2.719	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	-0.024	-0.27	-0.654	-0.18	-0.119	-0.597	-0.556	-0.355	0.09	-0.453	-1.424	-1.305	-1.438	-0.061	0.374	-0.886	-0.367	0.328	-0.018	0.075	0.102	0.245	0.252
"YER102W"	0.682	0.436	-3.415	1.351	0.351	1.084	0.145	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-3.101	-3.625	-3.37	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	0.573	0.387	-0.393	-0.201	-0.115	0.561	-0.353	-0.092	0.299	-0.306	-1.83	-1.931	-1.792	-2.128	0.094	-2.388	-0.686	-0.284	-3.324	-2.758	-2.385	-2.329	-2.436
"YFL022C"	-0.381	0.059	-1.558	0.493	-0.72	0.828	0.472	-1.948	-1.3	-0.947	-0.707	-1.141	-1.042	-2.926	-4.867	-2.031	-1.805	-2.417	-0.894	-0.679	-1.011	-0.75	-0.494	-1.794	-1.707	0.443	-0.408	-0.165	0.141	-0.093	0.096	-0.004	-0.21	-0.267	-0.017	-0.355	-0.477	-0.32	-0.507	-0.012	-0.401	-0.4235	-0.089	-1.766	-2.026	-1.291	-1.494	-0.965
"YGL076C"	0.348	0.02	-3.119	1.317	0.077	1.147	-0.214	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-3.32	-2.996	-2.857	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	-0.02	-0.1	-0.518	-0.024	-0.076	0.313	-0.078	-0.013	-0.016	0.158	-1.847	-1.888	-1.94	-2.239	0.275	-1.8735	-0.8405	-0.5705	-4.003	-3.509	-3.347	-3.315	-2.544
"YGL099W"	0.048	0.056	-3.311	0.834	0.035	0.843	-0.158	-3.43	-2.011	-2.123	-1.774	-2.004	-2.335	-2.895	-5.764	-2.454	-1.59	-1.291	-2.755	-1.738	-1.805	-1.984	-2.516	-3.273	-3.42	0.058	-0.663	-0.807	0.244	-0.127	-0.073	-0.015	-0.388	0.157	-0.626	-1.31	-1.384	-1.23	-1.564	-0.048	-2.114	-1.219	-1.198	-2.608	-2.453	-3.506	-2.525	-1.211
"YGL111W"	0.039	-0.159	-2.867	0.939	-0.129	0.878	0.148	-3.668	-1.845	-1.719	-1.627	-1.26	-2.081	-2.589	-2.826	-2.085	-1.026	-0.515	-2.617	-1.672	-1.665	-1.401	-2.167	-1.95	-2.363	0.341	-0.695	-0.791	0.422	0.029	0.076	0.163	0.143	0.038	-0.532	-1.614	-1.429	-1.56	-1.04	-0.101	-1.525	-0.892	-0.432	-2.663	-2.385	-3.063	-1.924	-1.524
"YGL120C"	0.001	0.03	-3.877	1.075	0.073	1.116	0.105	-4.557	-3.087	-2.692	-1.947	-2.077	-2.282	-4.088	-5.111	-3.171	-3.229	-1.739	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	-0.082	-0.816	-0.472	0.625	0.181	0.032	0.044	-0.095	0.0	-0.37	-1.588	-1.027	-1.427	-1.354	-0.239	-2.122	-1.42	-0.075	-2.891	-3.416	-3.546	-0.554	-2.329
"YGL171W"	0.23	-0.07	-3.208	1.073	0.187	1.03	0.45	-5.822	-2.949	-2.078	-1.942	-1.611	-1.839	-2.903	-4.649	-2.759	-2.384	-1.713	-3.704	-1.8	-1.731	-1.978	-2.292	-3.082	-2.503	-0.039	-1.233	-0.638	0.284	-0.137	-0.272	0.054	0.044	0.01	-1.204	-3.247	-2.897	-2.938	-1.607	-0.056	-1.315	-1.931	-1.237	-2.646	-2.402	-3.848	-2.304	-1.754
"YGR085C"	0.117	0.271	-3.664	1.473	0.039	1.133	0.028	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.566	0.296	-0.454	-0.135	0.32	0.765	0.081	0.137	0.278	0.144	-2.111	-1.917	-2.035	-1.876	0.048	-2.156	-0.55	-0.76	-4.004	-2.792	-3.45	-3.003	-2.048
"YGR094W"	-0.003	-0.042	-2.156	0.652	0.103	0.757	0.291	-3.268	-2.215	-2.202	-1.925	-2.093	-1.689	-4.521	NaN	-2.31	-2.538	-2.033	-3.175	-1.691	-2.442	-2.85	-4.254	-4.392	-5.518	0.068	-0.464	-0.484	-0.081	-0.511	-0.436	-0.496	-0.302	0.124	-0.123	-1.707	-1.725	-1.524	-0.549	-0.005	-2.133	-1.035	-0.708	-1.562	-1.2865	-1.024	-1.242	-0.8735
"YGR103W"	0.217	-0.009	-3.624	1.487	0.254	1.243	-0.359	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-1.948	-5.518	-2.251	-2.402	-2.149	-4.861	-2.978	-2.918	-2.95	-2.768	-3.578	-3.882	0.059	-0.74	-1.272	0.424	0.422	-0.467	-0.183	-0.432	0.129	-0.602	-3.571	-2.866	-3.724	-2.287	0.06	-2.468	-2.61	-1.419	-3.1195	-2.6665	-4.287	-2.4	-2.155
"YGR123C"	0.246	0.079	-3.748	1.116	0.236	0.996	0.036	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.878	-2.97	-2.137	-2.118	-1.549	-1.989	-1.536	-1.42	-2.413	-2.243	0.056	-0.459	-0.575	0.346	0.352	-0.505	-0.136	-0.323	-0.141	-0.479	-1.73	-1.647	-1.535	-1.589	0.062	-1.7365	-1.392	-0.9865	-2.403	-3.664	-3.836	-3.389	-2.052
"YGR145W"	0.227	-0.036	-3.4415	1.035	0.205	0.967	0.219	-4.245	-2.091	-1.808	-1.15	-1.077	-0.983	-2.133	-4.024	-2.214	-2.466	-1.257	-3.496	-2.143	-1.897	-1.466	-2.519	-3.279	-3.084	0.013	-1.362	-0.71	0.561	0.261	-0.575	0.541	0.008	0.034	-0.373	-2.735	-2.264	-2.469	-1.533	0.0	-1.336	-2.3135	-1.065	-2.313	-2.4	-4.009	-2.204	-1.849
"YGR148C"	0.284	-0.073	-3.2425	1.076	0.132	0.859	-0.205	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-3.141	-3.011	-2.956	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.689	-0.262	-0.547	-0.309	-0.325	0.132	-0.148	0.086	0.022	0.067	-2.108	-1.901	-1.746	-2.548	-0.332	-2.7095	-0.412	-0.405	-3.53	-2.779	-3.103	-2.693	-1.897
"YGR185C"	0.036	0.39	-0.9665	0.667	-0.077	0.691	0.305	-3.192	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.221	0.047	0.199	0.501	0.085	0.366	0.117	0.056	0.181	0.142	-0.817	-0.772	-0.521	-0.708	0.116	-2.438	-0.52	-0.057	-3.17	-2.768	-2.136	-2.312	-2.205
"YGR264C"	0.31	0.04	-2.419	1.02	-0.046	0.85	-0.055	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	0.137	-0.385	-0.83	-0.043	-0.304	-0.322	-0.731	-0.467	-0.079	-0.581	-1.941	-1.599	-1.584	-1.659	-0.222	-2.468	-1.045	0.092	-3.556	-2.673	-3.33	-3.082	-1.962
"YGR285C"	0.366	0.098	-1.4285	1.014	0.243	0.764	0.052	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.302	-0.245	-0.565	0.038	-0.17	-0.235	-0.045	0.071	0.15	0.307	-1.952	-1.577	-1.929	-1.025	0.269	-2.068	-0.448	-0.641	-2.948	-2.607	-2.323	-2.554	-1.851
"YHR019C"	0.221	0.26	-2.3245	1.111	0.253	0.875	0.257	-2.949	-1.631	-1.096	-1.467	-1.831	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-2.07	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.101	-0.238	-0.471	0.0	-0.085	0.058	-0.687	-0.557	0.071	-0.398	-1.387	-1.449	-1.608	-1.344	0.079	-1.834	-0.874	0.169	-0.939	-1.261	-0.462	-1.349	-0.665
"YHR025W"	0.047	-0.009	-1.172	0.819	0.029	0.702	0.631	-3.632	-1.376	-1.47	-1.274	-1.993	-1.868	-2.666	-5.429	-2.472	-2.269	-2.199	-1.781	-1.065	-1.97	-1.896	-1.471	-2.319	-2.178	-0.041	0.287	-0.61	-0.774	-0.578	0.423	-0.295	-0.216	-0.196	-0.186	-0.884	-1.078	-1.073	-0.709	0.105	-1.627	-0.935	-1.165	-3.915	-2.334	-3.0	-1.597	-1.63
"YHR064C"	0.135	0.198	-1.5555	0.709	-0.035	0.778	0.502	-4.543	-2.196	-1.596	-1.668	-1.77	-1.712	-3.329	-5.238	-3.074	-2.229	-2.559	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.164	-0.347	-0.569	0.149	0.018	-0.164	-0.474	-0.169	-0.069	0.062	-1.73	-1.335	-1.209	-1.038	0.526	-2.056	-1.524	-1.098	-2.793	-2.097	-2.415	-2.781	-1.789
"YHR068W"	0.291	-0.12	-1.646	0.968	0.123	0.941	0.191	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-0.024	-0.034	-0.312	-0.081	-0.146	-0.163	-0.323	-0.473	0.241	-0.171	-0.673	-1.096	-0.878	-1.25	-0.051	-2.29	-1.233	-0.499	-2.437	-2.467	-2.406	-2.362	-1.8
"YHR089C"	0.093	-0.573	-4.6915	1.373	0.021	1.353	-0.407	-3.409	-3.231	-2.709	-2.468	-2.358	-2.702	-2.601	-4.276	-2.292	-1.864	-1.513	-4.426	-3.154	-3.217	-3.48	-3.254	-3.83	-3.913	-0.258	-0.818	-1.335	-0.276	-0.206	-0.533	-0.074	-0.339	-0.45	-0.638	-2.24	-1.588	-2.465	-1.661	0.137	-2.189	-1.117	-1.256	-2.523	-2.905	-3.956	-3.219	-2.005
"YIL078W"	0.382	0.025	-1.8365	0.897	0.174	0.771	-0.321	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.262	-0.232	-0.473	0.024	-0.114	-0.406	-0.439	-0.274	0.141	-0.163	-1.737	-1.447	-1.466	-1.285	-0.356	-2.348	-1.354	-0.206	-3.116	-1.937	-1.996	-2.548	-1.189
"YIL096C"	0.062	-0.381	-2.05	1.047	-0.206	0.919	0.241	-2.516	-1.562	-1.579	-1.041	-1.145	-1.095	-1.96	-3.119	-2.51	1.357	-0.843	-1.535	-1.122	-1.322	-0.882	-1.288	-1.637	-1.667	0.045	-0.714	-0.445	0.597	0.497	-0.159	0.726	0.383	0.224	-0.557	-1.959	-1.383	-1.453	-0.485	-0.062	-1.226	-1.473	-1.14	-1.746	-1.132	-2.167	-1.25	-1.163
"YIL127C"	0.018	-0.178	-2.6295	0.921	0.358	0.899	0.24	-3.825	-3.066	-2.308	-2.16	-1.369	-1.833	-1.8	-4.521	-3.072	-1.756	-1.412	-2.484	-1.39	-1.039	-1.481	-0.898	-1.52	-1.247	0.192	-1.075	-0.695	0.555	-0.011	-0.222	0.349	0.163	0.202	-0.947	-1.876	-2.052	-2.118	-1.608	-0.32	-1.671	-1.298	-0.78	-2.676	-1.774	-3.693	-1.968	-1.42
"YJR002W"	0.046	-0.0665	-3.20666666666667	1.18	0.078	1.003	-0.0425	-2.9885	-1.465	-0.8715	-0.6495	-0.7305	-0.868	-0.9755	-4.416	-2.066	-1.3185	-0.855	-2.212	-1.302	-1.257	-1.1615	-1.3795	-1.974	-2.293	-0.0675	-1.2265	-0.776	0.5365	0.3075	-0.2005	0.23	0.1105	-0.0345	-0.453	-2.0865	-1.7065	-1.7065	-1.223	-0.092	-0.924	-1.179	-1.062	-2.669	-1.374	-2.426	-1.264	-1.356
"YJR003C"	-0.515	-0.576	-1.5255	0.791	-0.057	0.758	0.246	-2.372	-2.025	-1.727	-1.346	-0.767	-1.43	-2.48	-3.457	-1.107	-1.02	-0.552	-2.02	-1.37	-0.824	-0.91	-2.176	-2.349	-2.42	-0.07	-1.223	-0.522	0.032	-0.175	-0.401	-0.355	-0.164	-0.218	-0.689	-0.903	-0.821	-1.233	-0.412	0.161	-0.882	-0.704	-0.46	-1.962	-1.307	-2.567	-1.637	-1.267
"YJR007W"	0.354	0.056	-1.9705	1.053	0.069	0.742	0.046	-2.169	-1.704	-1.629	-2.107	-1.68	-2.662	-3.21	-8.057	-1.588	-1.339	-1.824	-1.755	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	0.561	0.054	-0.971	-0.134	-0.034	-0.187	-0.282	0.133	-0.054	-0.332	-0.727	-0.579	-0.683	-0.67	0.088	-1.685	-0.565	-0.541	-2.064	-2.16	-1.742	-1.44	-1.636
"YJR143C"	-0.312	-0.032	-1.8185	0.597	0.525	0.657	0.551	-1.748	-1.012	-1.037	-1.648	-1.487	-1.713	-4.675	-5.523	-2.151	-2.716	-2.573	-1.799	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	-0.135	-0.745	-0.859	-0.859	-0.649	-0.571	-0.664	-0.82	0.239	-0.679	-1.07	-1.016	-0.848	-0.789	0.504	-1.896	-1.063	-0.026	-1.722	-1.351	-1.32	-1.52	-1.322
