	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"8227.dtt 000 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"21655..24 mM H2O2- 014 minutes"
"YGL238W"	0.242	-0.102	-0.079	-0.967	-1.585	-4.337	-1.39	-1.824	-1.238	-1.24	-1.654	-1.937	-2.674	0.04	-0.049	0.138	0.291	-1.796	-0.956
"YGL245W"	0.521	-0.156	0.55	-1.475	-4.799	-6.655	-1.699	-2.088	-1.589	-2.121	-3.552	-4.345	-4.779	-0.194	0.338	0.595	0.439	0.318	-0.235
"YGR083C"	0.806	-0.024	0.539	-0.971	-1.845	-4.599	-1.183	-0.979	-1.409	-1.27	-2.544	-2.794	-3.226	0.042	-0.005	0.495	0.05	-1.183	-0.112
"YGR084C"	0.445	-0.14	0.056	-0.47	-1.586	-3.069	-0.492	-0.743	-0.529	-0.59	-1.647	-1.704	-1.762	0.002	0.056	-0.115	0.221	-0.817	0.18
"YGR118W"	1.216	0.419	0.973	-2.097	-2.204	-5.471	-2.183	-2.326	-1.997	-2.117	-1.76	-2.214	-3.141	0.229	-0.144	1.028	0.531	1.6135	0.3525
"YGR195W"	0.636	-0.114	0.641	-0.67	-2.179	-3.999	-0.971	-1.268	-0.914	-0.934	-1.872	-1.878	-1.911	-0.012	-0.104	0.374	0.075	-1.426	0.247
"YGR200C"	0.888	-0.132	0.212	-1.152	-2.863	-3.668	-1.597	-1.625	-1.274	-1.456	-1.861	-2.863	-2.446	-0.037	-0.273	0.649	0.338	-2.169	-0.338
"YGR229C"	0.6	0.205	0.636	-1.164	-2.847	-4.256	-1.987	-1.316	-1.569	-1.658	-2.401	-2.58	-3.391	0.076	-0.125	0.696	-0.218	-1.251	-0.562
"YGR261C"	0.1	-0.161	0.168	-1.213	-2.682	-3.233	-1.189	-1.363	-1.125	-0.876	-1.657	-2.505	-2.45	0.142	0.013	-0.117	0.345	-1.2	0.181
"YHL003C"	0.474	-0.1	0.328	-0.508	-2.186	-3.084	-1.135	-1.164	-0.886	-0.883	-1.585	-1.707	-1.741	-0.067	0.076	0.673	-0.03	-1.179	-0.524
"YHR020W"	0.957	-0.216	0.868	-2.887	-2.69	-4.045	-2.178	-2.045	-1.649	-1.837	-1.718	-2.26	-2.19	-0.16	-0.214	0.671	0.236	-1.302	-0.64
"YHR024C"	-0.0925	-0.0965	-0.019	-1.795	-2.8215	-3.2155	-0.873	-0.714	-1.1645	-0.7885	-1.418	-1.672	-1.759	-0.0045	0.245	0.2025	-0.105	-1.273	0.5
"YHR047C"	0.063	-0.393	0.13	-1.732	-3.032	-4.423	-0.614	0.114	-1.632	-1.63	-1.978	-3.102	-3.056	-0.23	0.038	0.147	-0.652	-1.029	0.098
"YHR049W"	0.227	-0.002	0.23	-2.256	-3.623	-4.702	-1.668	-1.451	-1.17	-1.96	-1.968	-2.952	-2.443	0.522	0.057	0.912	-0.152	-0.448	-0.082
"YHR063C"	-0.213	0.159	0.224	-1.469	-3.309	-4.42	-0.927	-0.253	-1.385	-1.916	-2.162	-3.419	-3.036	-0.03	-0.461	0.121	-0.004	-0.704	-0.801
"YHR068W"	0.968	0.214	0.941	-3.015	-4.28	-6.532	-2.526	-1.119	-1.927	-2.429	-2.724	-3.669	-3.425	0.241	-0.023	0.495	-0.253	-1.585	-0.251
"YHR108W"	0.303	-0.087	0.405	-1.418	-2.982	-5.02	-1.712	-1.923	-0.773	-1.359	-1.661	-2.122	-1.381	-0.129	-0.204	0.132	0.11	0.606	-0.679
"YHR193C"	0.942	0.075	0.612	-1.341	-3.11	-4.166	-1.955	-1.2	-1.494	-1.913	-1.778	-2.357	-2.845	-0.018	-0.197	0.871	-0.184	-1.481	0.888
"YIL138C"	0.066	0.138	-0.037	-0.564	-2.433	-3.747	-0.803	-0.493	-1.136	-1.149	-1.524	-2.298	-1.906	0.284	0.308	0.424	0.127	-0.747	0.342
"YIR012W"	1.162	0.214	0.869	-2.544	-3.791	-4.69	-2.137	-2.092	-1.684	-1.486	-1.547	-2.217	-2.528	0.194	-0.027	0.807	0.542	-0.429	-0.37
"YJL073W"	-0.006	-0.2615	-0.0405	-0.414	-1.884	-3.2645	-1.004	-0.94	-0.8755	-0.5735	-1.2855	-1.7505	-1.523	0.1255	-0.1865	-0.7785	0.198	-1.963	0.7535
"YJL125C"	0.945	0.101	0.853	-1.655	-2.343	-4.009	-1.484	-1.53	-0.819	-0.974	-1.983	-1.697	-1.865	0.278	-0.45	0.664	0.654	-1.147	-0.446
"YJL138C"	1.168	0.497	1.287	-1.195	-3.125	-5.625	-1.674	-1.959	-1.763	-2.049	-2.542	-2.785	-3.522	0.058	0.097	0.975	0.521	-0.789	-1.087
"YJL183W"	0.489	0.099	0.42	-2.434	-2.097	-4.986	-1.21	-1.424	-1.436	-1.333	-1.66	-2.208	-2.121	0.247	-0.297	0.64	0.069	0.001	0.081
"YJL188C"	1.008	0.586	1.159	-1.323	-2.786	-4.633	-2.519	-1.879	-1.885	-1.929	-2.169	-2.54	-2.776	0.017	0.024	1.191	0.583	-2.517	0.919
"YJR001W"	0.118	-0.097	0.01	-1.18	-2.83	-3.551	-1.103	-1.332	-0.567	-0.442	-1.449	-1.449	-1.784	0.154	0.133	0.436	-0.004	-1.332	-0.153
"YJR003C"	0.791	0.012	0.758	-0.767	-2.48	-3.457	-0.552	-1.397	-0.824	-0.91	-2.176	-2.349	-2.42	-0.218	-0.429	0.59	0.01	-0.881	-0.646
"YJR064W"	0.739	0.112	0.68	-1.854	-1.931	-4.297	-1.978	-1.919	-1.592	-1.762	-1.961	-2.702	-2.57	0.016	-0.236	0.617	0.245	-1.036	-0.724
"YJR087W"	-0.067	-0.043	-0.3	-0.617	-2.136	-3.553	-0.568	-1.166	-0.447	-0.634	-1.125	-1.669	-1.145	-0.045	0.027	0.029	-0.263	-0.224	0.223
"YKL056C"	0.909	0.293	1.083	-1.541	-3.426	-5.119	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	0.072	-0.211	0.722	0.245	1.699	-0.178
"YKL080W"	0.55	0.132	0.72	-1.25	-4.229	-5.94	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.172	0.108	0.475	0.05	0.247	-1.145
"YKL127W"	0.494	-0.007	0.424	-2.564	-3.89	-5.619	-1.708	-1.963	-0.069	-1.171	-1.956	-2.206	-1.858	-0.364	0.081	0.188	0.119	-1.511	0.259
"YKL212W"	0.473	0.18	0.381	-1.247	-3.014	-4.806	-1.651	-1.64	-1.656	-1.598	-2.516	-2.929	-3.374	-0.068	-0.203	0.35	-0.114	-1.158	-0.509
"YKR026C"	0.833	-0.06	0.523	-1.705	-2.863	-3.755	-1.657	-1.681	-1.369	-1.003	-1.858	-2.363	-2.231	0.595	-0.332	0.181	0.237	0.915	0.413
"YKR059W"	1.161	0.206	1.252	-1.543	-2.817	-4.998	-2.531	-2.238	-1.844	-2.106	-2.623	-2.96	-3.568	0.062	0.257	1.021	0.105	-2.501	-1.195
"YKR082W"	-0.032	-0.318	0.217	-0.67	-2.473	-2.648	-0.832	-1.633	-0.885	-1.249	-1.45	-1.895	-2.598	-0.053	-0.363	0.12	-0.228	-0.805	-0.482
"YKR088C"	0.18	0.164	0.037	-0.569	-0.752	-2.175	-0.434	-1.031	-0.392	-0.453	-0.652	-1.04	-1.027	-0.03	-0.16	0.377	-0.001	-0.677	-0.387
"YLR065C"	0.201	0.034	0.502	-1.191	-1.93	-3.028	-1.411	-1.516	-1.07	-1.137	-1.477	-1.554	-1.642	0.002	0.572	0.415	0.102	-0.82	0.051
"YLR100W"	0.338	0.208	0.459	-1.172	-2.507	-4.853	-1.268	-1.167	-1.184	-1.09	-1.855	-2.159	-2.128	0.423	0.134	0.282	-0.113	-1.063	-0.235
"YLR243W"	0.737	-0.098	0.631	-1.307	-1.955	-3.657	-1.501	-1.433	-1.413	-1.404	-1.542	-2.373	-1.983	0.041	0.142	0.111	0.135	-1.168	0.446
"YLR291C"	0.708	0.002	0.624	-1.482	-3.037	-4.762	-1.104	-2.027	-1.186	-1.283	-1.783	-2.216	-2.363	-0.181	0.006	0.603	0.523	-0.623	0.636
"YLR292C"	0.535	0.423	0.6	-0.855	-1.605	-3.717	-0.893	-0.887	-1.241	-0.63	-1.388	-1.751	-1.71	0.296	-0.073	0.116	0.008	-0.061	0.587
"YLR293C"	0.886	0.148	0.877	-2.207	-3.488	-6.281	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	0.527	0.637	0.475	-0.278	-0.177
"YLR301W"	-0.031	-0.072	0.003	-1.953	-3.676	-5.415	-1.605	-2.439	-0.925	-1.325	-2.581	-2.218	-2.268	0.196	-0.086	0.088	0.215	-0.898	-0.692
"YML021C"	0.306	0.084	0.345	-0.993	-3.272	-2.945	-0.898	-0.61	-1.368	-0.906	-1.533	-1.979	-1.697	0.006	0.002	0.27	0.112	-1.481	0.251
"YML064C"	0.366	-0.197	0.306	-1.739	-2.421	-3.73	-1.106	-1.274	-0.612	-1.432	-1.338	-1.457	-1.948	0.209	-0.202	-0.284	-0.003	-0.589	-0.138
"YML115C"	0.107	-0.128	0.031	-0.275	-2.167	-3.577	-0.636	-1.339	-0.392	-0.336	-1.155	-2.093	-1.246	0.201	-0.165	-0.111	-0.054	-0.348	-0.111
"YML124C"	0.225	0.067	0.203	-2.318	-3.412	-4.107	-2.277	-1.951	-1.625	-0.926	-1.685	-2.001	-2.075	-0.13	0.133	0.26	0.163	0.23	0.017
"YMR033W"	0.485	0.058	0.431	-1.434	-3.063	-4.454	-1.514	-1.984	-1.244	-1.469	-1.745	-1.826	-1.988	-0.266	-0.174	0.439	0.071	-0.97	-0.186
"YMR091C"	0.077	-0.141	0.367	-1.39	-1.458	-4.005	-1.052	-1.247	-0.855	-1.288	-1.396	-2.09	-2.24	0.205	-0.286	0.275	-0.058	-2.061	-0.052
"YMR135C"	-0.911	-0.158	-0.814	1.278	2.425	4.053	2.04	1.747	0.733	1.325	2.843	3.141	3.078	-0.116	0.083	-0.531	-0.298	-1.527	0.99
"YMR146C"	1.101	0.038	0.894	-1.186	-1.725	-4.642	-1.791	-1.738	-1.339	-1.621	-1.793	-1.962	-3.093	0.138	-0.034	0.515	0.493	-1.139	-0.591
"YMR208W"	0.15	0.061	0.058	-0.82	-2.542	-3.618	-0.674	-1.088	-0.931	-1.136	-1.98	-2.454	-2.354	-0.022	-0.305	0.354	-0.031	-1.307	-0.036
"YMR220W"	0.15	0.06	0.215	-0.681	-1.869	-3.12	-0.905	-1.473	-0.492	-0.881	-1.468	-2.008	-1.728	0.131	0.313	0.226	0.169	-1.303	0.209
"YMR235C"	0.788	0.258	0.731	-1.783	-3.534	-5.187	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.196	0.325	0.428	0.422	-2.643	0.225
"YMR237W"	-0.122	-0.06	-0.171	-0.894	-2.955	-4.233	-0.509	-0.68	-0.651	-0.65	-1.452	-1.947	-2.335	-0.281	0.413	-0.107	0.045	-1.0705	-0.628
"YMR300C"	0.36	-0.102	0.418	-1.155	-3.133	-4.702	-1.355	-1.235	-0.742	-0.949	-1.803	-2.016	-1.571	0.135	-0.07	0.619	-1.051	-0.8315	-0.515
"YNL010W"	1.014	0.294	0.664	-1.703	-1.296	-4.52	-1.922	-2.057	-1.834	-1.936	-2.483	-2.738	-3.396	-0.259	0.163	0.325	0.374	-1.417	-0.202
"YNL041C"	0.212	-0.154	0.126	-0.323	-2.304	-3.473	-0.508	-0.522	-0.469	-0.451	-2.075	-2.743	-2.875	-0.034	0.222	-0.137	-0.084	-1.46	0.027
"YNL084C"	0.234	0.08	0.007	-0.498	-1.945	-3.396	-0.477	-0.802	-0.53	-0.673	-1.386	-1.735	-1.919	-0.007	-0.054	0.07	0.291	-0.749	0.523
"YNL162W"	1.123	0.291	1.003	-2.175	-2.858	-6.425	-2.421	-2.763	-2.0	-2.0	-1.742	-2.487	-3.468	-0.03	-0.294	1.117	0.423	-1.5455	0.642
"YNL163C"	0.5	-0.1995	0.547	-0.8065	-3.636	-4.2975	-0.7545	-0.8875	-0.9985	-0.648	-2.331	-2.9335	-0.995	0.0715	-0.2865	0.316	0.343	-1.39533333333333	-0.0695
"YNL189W"	0.523	0.011	0.315	-1.084	-2.367	-4.06	-1.183	-1.19	-1.33	-1.294	-2.058	-2.641	-3.084	-0.273	0.114	0.59	0.083	-0.9155	-0.31
"YOR168W"	0.785	0.168	0.772	-1.261	-1.984	-4.808	-1.8785	-1.355	-1.54	-1.525	-2.348	-2.353	-2.604	-0.074	-0.038	0.8465	0.222	-1.492	0.223
"YOR169C"	0.707	-0.451	0.41	-1.534	-1.656	-3.934	-2.0175	-2.0645	-1.416	-1.758	-2.363	-2.16	-3.14	-0.262	-0.299	0.3435	0.328	-1.148	0.688
"YOR277C"	0.737	0.237	0.518	-1.713	-3.25	-4.571	-2.148	-1.8895	-1.464	-2.047	-1.978	-2.103	-2.211	-0.271	-0.199	0.444	0.241	-0.905	0.676
"YOR280C"	0.385	0.108	0.305	-0.3285	-1.883	-4.249	-0.4395	-0.7295	-0.193	-0.29	-1.197	-1.828	-1.95	0.096	0.116	0.3005	0.082	-1.032	0.166
"YOR305W"	0.237	-0.133	0.3	-0.8795	-1.6535	-2.672	-1.1315	-0.948	-0.719	-1.206	-1.227	-1.264	-1.883	-0.192	-0.282	-0.194	0.089	-0.535	-0.136
"YOR320C"	0.304	0.026	0.236	-0.398	-1.2535	-3.6785	-1.051	-0.8435	-0.682	-0.427	-1.291	-1.454	-1.828	-0.01	-0.212	0.5655	-0.09	-0.908	-0.015
"YOR321W"	0.1	-0.299	-0.289	0.039	-2.096	-3.7905	-0.701	-0.877	-0.275	-0.345	-1.374	-1.619	-2.487	0.062	-0.22	-0.663	-0.231	-0.86	-0.178
"YOR360C"	0.2035	0.1775	0.12	-1.65666666666667	-1.71566666666667	-3.43133333333333	-1.27766666666667	-1.13033333333333	-0.9695	-0.7785	-0.9355	-1.622	-1.719	0.065	0.51	0.728666666666667	0.048	-0.646	-0.581
"YPL028W"	0.515	0.026	0.365	-1.3315	-3.482	-5.5385	-1.9625	-2.1645	-1.336	-1.006	-1.692	-2.17	-2.948	-0.256	0.009	0.344	-0.093	0.211	-0.867
"YPL037C"	0.835	0.266	0.69	-1.975	-3.9955	-5.417	-2.148	-1.96	-1.561	-1.872	-2.115	-3.222	-3.654	-0.106	-0.218	0.9945	0.473	-1.79	1.153
"YPL063W"	0.0	-0.263	0.265	-1.224	-1.226	-3.318	-1.336	-1.4555	-1.111	-1.226	-0.715	-1.272	-2.447	-0.185	-0.044	-0.049	0.157	-0.758	0.217
"YPL086C"	0.774	0.206	0.691	-1.1455	-2.5065	-5.552	-1.808	-1.6415	-1.604	-1.418	-1.907	-1.958	-2.56	0.072	0.16	0.6145	0.565	-1.68	0.094
"YPL091W"	-0.205	-0.1	-0.297	-1.442	-1.9175	-3.471	-0.895	-1.3815	-0.913	-0.573	-1.614	-1.738	-2.295	0.132	0.144	-0.0125	-0.035	-1.082	0.834
"YPL094C"	0.436	0.156	0.41	-1.14	-3.0415	-5.3055	-1.6665	-1.6385	-1.142	-1.061	-2.024	-2.284	-2.741	-0.303	0.067	0.4345	0.399	-2.355	0.286
"YPL118W"	0.093	0.179	-0.104	-0.358	-2.0295	-3.472	-0.685	-0.5685	-0.317	-0.282	-1.32	-1.696	-1.807	-0.226	-0.212	0.502	-0.126	NaN	0.014
"YPL145C"	0.288	-0.021	0.2	-0.775	-1.659	-4.3865	-1.177	-0.903	-0.903	-0.913	-2.014	-2.71	-3.192	0.122	-0.228	0.432	0.115	0.757	-0.503
"YPL183C"	1.098	-0.1705	0.813	-1.8275	-4.1755	-3.957	-1.7965	-2.531	-1.735	-1.38	-2.512	-2.745	-3.056	-0.103	-0.254	-0.3145	0.293	-2.52	-0.401
"YPL207W"	0.819	-0.408	0.586	-0.138	-1.827	-3.832	-0.913	-1.123	-1.047	-0.784	-2.101	-2.319	-2.628	0.091	0.096	0.6635	0.316	-1.181	0.061
"YPL235W"	0.475	0.0163333333333333	0.402666666666667	-0.984666666666667	-0.762333333333333	-3.62066666666667	-1.12333333333333	-1.50333333333333	-1.0275	-1.3	-1.5825	-1.8145	-2.0025	-0.3475	-0.1475	0.409333333333333	0.111	-1.073	0.0025
"YPL237W"	0.905	0.291	0.8365	-2.029	-2.875	-5.7585	-1.8945	-2.2035	-1.817	-1.927	-2.006	-2.44	-3.024	0.071	-0.002	0.673	0.546	-2.511	0.235
"YPL243W"	0.625	-0.0295	0.515	-1.456	-4.1455	-5.276	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	-0.062	-0.137	0.2855	0.321	-0.501	-0.544
"YPR114W"	0.337	-0.297	0.2455	-2.1515	-2.9825	-3.903	-1.798	-1.748	-1.338	-1.177	-1.633	-1.738	-2.533	0.473	-0.261	0.754	-0.039	-0.274	0.324
"YPR128C"	0.287	0.093	0.2155	-0.0695	-2.617	-3.863	-0.6715	-1.352	0.292	0.035	-1.326	-1.847	-1.979	-0.1	0.101	0.391	0.028	-0.874	-0.35
"YPR163C"	1.032	0.2055	1.048	-1.8375	-2.9485	-5.4905	-2.6395	-2.0525	-2.05	-2.325	-2.642	-2.895	-2.82	-0.06	0.005	0.7575	0.333	NaN	0.816
"YPR187W"	1.237	0.4005	1.0935	-1.511	-3.609	-5.408	-2.16	-1.962	-1.816	-2.016	-2.28	-2.584	-3.22	-0.039	-0.545	1.2765	0.191	-2.686	0.964
