	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"815.1M sorbitol - 15 min"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"2560.29C to 33C - 15 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"7761.Na 60min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12744.heat shock 17 to 37, 20 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"42061.U3Comp 09 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"
"YCL059C"	-1.314	-3.484	-4.56	-4.242	-2.249	-3.611	-4.218	-3.675	-1.901	-2.662	-1.813	-2.7855	-2.181	-1.302	-2.098	-2.397	-4.786	-2.115	-1.94	-1.722	-1.081	-1.769	-2.558	-5.277	-2.27	-1.67	-1.283	-1.197	-3.4015	-1.887	-1.4885	-1.846	-2.0685	-3.0265	-2.4555	0.518	-1.897	-0.182	-1.776	-1.272	-1.38	-1.317	-2.535	-0.73	-1.1925	-4.664	-2.026	-2.908	-2.614	-4.103	-0.361	-0.095	-2.479	-0.012	0.11	-4.436	-1.456	-0.746	-0.129	-0.246	-0.34	-0.276	-0.12	0.041	-0.753	-1.937	-1.207
"YDL003W"	-0.668	-1.651	2.354	-1.407	-0.599	-0.903	-1.364	-1.0	-0.776	-1.168	-1.317	-1.1505	-1.4205	-0.9355	-0.893	-0.584	-2.494	-2.13	-0.748	-1.183	-2.381	-1.805	-2.029	-2.692	-1.32	-2.206	-1.632	-1.852	-2.781	-0.7225	-1.7355	-1.89	-1.7805	-2.4395	-2.159	0.482	-0.81	-0.401	-0.952	-0.048	-1.288	0.26	-1.034	-2.232	-0.1585	-1.146	-1.437	-1.029	-0.969	-0.601	-0.174	0.079	-1.572	-0.134	0.387	-2.422	-1.344	-0.116	0.439	0.513	0.525	-0.518	0.152	0.519	-0.611	0.21	-0.075
"YDL189W"	-0.494	-0.444	-0.265	-0.725	-0.418	-0.254	-0.842	-0.818	0.15	-0.135	-0.279	-0.411	-0.612	-0.085	-0.156	-0.301	-0.561	-0.649	-0.86	-1.198	-1.028	-1.405	-0.221	-2.131	-0.41	-0.81	-0.915	-0.527	-1.042	-1.085	-0.917	-1.117	-0.924	-1.378	-1.523	0.283	-0.392	-0.0935	-0.346	-0.088	-0.341	-0.154	-0.258	-0.974	-0.501	-1.048	-1.297	-0.618	0.234	-0.733	-1.187	-0.337	-1.508	-0.565	-0.474	-0.994	-1.022	-0.628	-0.661	-0.383	-0.018	-0.135	-0.133	-0.046	-0.158	-0.248	-0.571
"YDR087C"	-2.034	-3.126	-4.331	-4.143	-1.477	-2.758	-3.643	-3.468	-1.886	-1.366	-1.501	-2.122	-1.097	-0.983	-0.613	-1.028	-4.139	-2.976	-2.337	-1.909	-2.277	-3.312	-3.817	-4.944	-2.528	-2.208	-1.204	-1.594	-1.886	-1.819	-1.373	-2.022	-1.73	-3.407	-2.893	0.125	-1.345	-0.0425	-1.154	-0.618	-1.236	-0.61	-1.547	-1.782	-0.366	-4.13	-2.803	-3.928	-2.942	-2.55	-0.628	0.364	-2.16	0.303	0.057	-3.396	-2.155	-0.759	-0.253	-0.446	-0.73	-0.278	-0.137	-0.216	-0.856	-1.408	-1.379
"YDR097C"	-1.427	-1.67	-1.703	-2.079	-0.787	-1.555	-2.085	-1.692	-1.246	-1.672	-1.389	-1.191	-1.468	-0.626	-1.264	-1.049	-1.696	-1.229	-0.161	-0.318	-0.078	-0.548	-1.649	-2.765	-0.98	-0.16	-0.119	-0.443	-2.379	-0.761	-0.711	-0.954	-1.371	-1.795	-1.685	0.468	-0.676	-0.401	-0.852	-0.044	-1.103	-0.292	-0.831	0.141	-1.156	-1.966	-1.075	-1.385	-0.707	-0.53	-0.418	-0.2435	-0.4845	-0.0085	-0.3535	-1.3965	-0.0955	-0.127	0.1095	-0.0115	-0.2385	-0.4335	-0.004	0.11	-0.5115	-0.089	-0.187
"YDR101C"	-3.098	-3.513	-3.593	-3.404	-1.887	-3.0	-3.74	-3.659	-2.724	-1.61	-1.384	-2.357	-1.309	-1.455	-1.318	-1.77	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.145	-4.667	-3.385	-2.743	-1.752	-2.552	-2.52	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.398	-1.45	-0.4345	-1.361	-1.27	-1.252	-1.121	-1.867	-2.013	-1.935	-3.253	-2.688	-3.244	-2.428	-3.315	-0.118	0.435	-2.116	0.525	0.254	-3.048	-1.524	-0.435	-0.333	-0.516	-0.548	-0.22	-0.361	-0.282	-0.541	-1.994	-0.807
"YDR165W"	-2.444	-3.154	-3.024	-2.85	-1.603	-2.419	-2.874	-2.762	-1.9	-0.962	-1.001	-1.702	-1.335	-0.982	-1.84	-1.294	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-3.015	-2.243	-1.636	-1.883	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	0.398	-0.999	-0.126	-0.929	-1.269	-0.784	-0.713	-1.683	-1.0245	-1.555	-2.787	-2.796	-3.068	-1.809	-3.533	-0.544	-0.149	-2.722	-0.175	0.132	-3.205	-2.255	-0.333	-0.03	-0.501	-0.349	-0.152	-0.187	-0.234	-0.569	-1.431	-0.591
"YDR361C"	-2.014	-2.862	-3.79	-3.438	-1.872	-3.115	-3.356	-3.263	-2.556	-1.897	-1.708	-2.99	-2.171	-0.989	-1.054	-1.868	-3.61	-2.016	-1.951	-1.707	-1.536	-2.095	-1.945	-3.634	-2.072	-1.799	-1.299	-1.313	-2.343	-1.435	-1.087	-1.208	-1.477	-2.005	-1.44	0.316	-1.544	-0.138	-1.224	-1.294	-1.222	-1.059	-1.519	-1.517	-0.292	-3.92	NaN	-2.614	-2.362	-3.229	-0.9	0.171	-2.048	-0.143	-0.163	-3.998	-1.244	-0.586	-0.366	-0.55	-0.357	-0.257	-0.297	-0.298	-0.816	-1.09	0.829
"YDR370C"	-0.641	-0.85	-0.736	-1.189	-1.104	-0.432	-0.87	-1.062	-0.227	0.153	-0.235	-0.633	-0.444	0.149	0.296	-0.268	-0.57	-0.818	-0.571	-0.868	-0.485	-0.817	-1.731	-2.636	-1.035	-0.481	-0.151	-1.919	-0.695	-0.826	-0.491	-0.649	-0.774	-0.989	-0.786	-0.072	-0.237	-0.12	-0.022	-0.158	-0.24	0.01	-0.064	-0.528	0.651	-1.626	-0.703	-1.162	-1.184	-0.698	0.117	0.397	-0.25	0.593	0.05	-0.685	-0.472	-0.216	-0.043	0.018	-0.206	-0.197	-0.212	0.14	-0.038	0.035	-0.512
"YDR398W"	-4.395	-5.035	-4.725	-4.358	NaN	-3.115	-4.082	-3.388	-3.183	-1.274	-0.799	-1.917	-0.73	-0.754	-1.252	-1.42	-4.143	-2.42	-2.114	-1.993	-1.694	-1.937	-2.774	NaN	-3.069	-2.517	-1.62	-1.907	-2.112	-1.881	-1.798	-1.896	-1.285	-1.949	-2.194	-0.135	-0.982	-0.401	-0.528	-0.499	-0.805	-0.694	-1.57	-1.998	-1.512	-4.269	-3.627	-4.76	-2.67	-1.871	-0.863	0.201	-2.397	0.335	0.021	-3.061	-0.955	NaN	-0.467	-0.755	-0.887	-0.106	-0.487	-0.485	-0.56	-2.566	0.914
"YEL046C"	-1.34	-1.601	-1.865	-1.851	-0.88	-1.0	-1.714	-2.186	-0.439	-0.542	-0.534	-1.414	-0.347	-0.43	-0.356	-0.964	-2.11	0.157	-0.584	-0.893	-0.877	-0.889	-2.038	-4.746	-1.962	-1.751	-1.196	-1.817	-0.093	-0.505	-0.935	-0.402	-0.148	-0.5	-1.163	0.814	-0.284	0.031	-0.146	0.096	-0.645	-0.786	-0.113	-1.281	-0.984	-2.512	-0.297	-0.987	-0.865	-0.668	1.319	0.494	-1.283	0.624	1.099	-1.85	0.218	-0.149	0.065	0.091	0.133	0.267	0.004	0.107	0.095	-0.14	0.663
"YER156C"	-1.672	-2.471	-2.725	-2.771	-1.219	-1.843	-2.542	-2.112	-1.4	-0.853	-0.708	-1.013	-0.465	-0.416	-1.205	-0.764	-3.105	-2.154	-1.121	-2.374	-1.3	-1.659	-1.153	-3.573	-2.475	-2.482	-1.622	-1.731	-1.496	-1.192	-1.186	-1.949	-1.47	-1.652	-1.522	-0.033	-1.008	0.268	-1.069	-0.37	-0.976	-0.322	-1.921	-1.711	-1.039	-2.306	-2.73	-2.803	-2.157	-1.602	-0.205	0.138	-1.289	0.475	0.18	-2.471	-2.595	-0.587	-0.067	-0.377	-0.347	-0.188	0.057	0.026	-0.519	-0.57	-0.381
"YFR009W"	-0.24	-0.152	-0.329	-0.487	-0.359	-0.069	-0.123	-0.443	-0.01	-0.38	-0.25	-0.2	-0.473	-0.218	0.019	-0.607	-0.973	-1.89	-1.318	-1.513	-2.017	-1.914	-3.004	-4.932	-0.398	-1.105	-1.586	-1.585	-1.488	-1.862	-2.089	-2.511	-3.291	-3.978	-4.281	0.052	-0.037	-0.229	-0.015	-0.246	-0.571	0.128	-0.861	-0.923	-1.049	-0.269	0.014	-0.085	-0.397	0.036	0.697	0.383	-0.675	0.29	0.65	0.254	0.059	-0.194	-0.1	0.323	0.204	0.049	0.348	0.2	0.178	0.053	-0.829
"YGL120C"	-2.058	-3.316	-3.34	-3.231	-1.542	-3.301	-3.954	-3.877	-1.855	-1.357	-1.353	-1.614	-0.802	-1.384	-1.124	-1.325	-4.557	-3.087	-2.692	-1.947	-2.077	-2.282	-4.088	-5.111	-3.171	-3.229	-1.739	-2.813	-3.459	-2.023	-2.178	-1.783	-2.866	-3.888	-4.137	0.356	-1.218	-0.086	-0.839	-0.894	-1.401	-0.962	-1.59	-2.122	-2.335	-3.8	-2.799	-3.466	-2.416	-2.286	-0.015	0.166	-3.416	0.424	0.325	-3.546	-3.124	-0.233	-0.225	-0.162	-0.427	-0.15	-0.216	0.001	-0.321	-0.604	-1.227
"YGL149W"	-0.826	-0.268	-0.397	-0.658	-0.302	-0.544	-0.84	-0.867	-0.34	-0.684	-0.215	-0.38	-0.332	0.071	0.801	-0.365	-1.0	-0.805	-0.952	-1.205	-0.178	-0.97	-0.437	-1.166	-0.323	-0.147	-0.134	0.245	-0.645	-0.953	-0.357	-0.975	-0.282	-0.263	-0.745	0.504	0.079	-0.089	0.019	0.032	0.036	-0.105	-0.412	-0.294	-0.263	-0.854	-0.739	-1.37	-0.753	-0.253	0.071	0.214	-0.212	0.243	-0.072	0.05	-0.081	-0.457	-0.546	-0.225	-0.257	-0.544	-0.13	-0.012	-0.258	0.051	0.54
"YGL171W"	-3.422	-4.302	3.479	-4.243	-1.503	-2.091	-3.818	-3.208	-3.574	-1.952	-1.398	-2.42	-1.431	-1.289	0.989	-2.576	-5.822	-2.949	-2.078	-1.942	-1.611	-1.839	-2.903	-4.649	-2.759	-2.384	-1.713	-1.783	-3.704	-1.8	-1.731	-1.978	-2.292	-3.082	-2.503	-0.032	-1.805	-0.204	-1.511	-1.916	-1.31	-0.749	-2.573	-1.315	-2.193	-3.658	-3.124	-3.355	-2.839	-2.722	-0.695	-1.038	-2.402	-0.037	-0.284	-3.848	-1.497	-0.683	-0.234	-0.364	-0.307	0.117	0.057	-0.127	-0.755	-2.271	-1.256
"YGR109C"	1.732	-0.824	0.06	-2.262	1.615	-2.637	-1.951	-1.807	-0.934	0.152	-0.764	-0.726	-0.401	-0.123	-0.674	-0.247	-1.73	-1.414	-0.34	-0.715	-1.959	-1.505	-2.748	-1.869	-0.702	-1.699	-0.249	-0.825	-1.572	-0.637	-1.225	-1.066	-0.84	-1.868	-0.4	0.311	-0.347	-0.071	-0.825	0.208	-0.516	-0.7	-0.983	-1.3055	-0.041	-2.317	-0.975	-1.394	-1.094	-1.362	0.412	0.458	-0.908	0.168	-0.048	-2.471	-1.612	-0.249	1.401	0.957	0.78	-0.489	0.671	0.565	-0.229	0.517	0.102
"YGR123C"	-1.982	-3.5875	-2.638	-3.2965	-1.9375	-3.0495	-4.1895	-3.748	-2.491	-1.145	-1.124	-2.061	-1.298	-1.415	-0.929	-1.265	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.878	-2.97	-2.137	-0.249	-2.118	-1.549	-1.989	-1.536	-1.42	-2.413	-2.243	0.333	-0.946	-0.115	-0.745	-0.96	-1.365	-0.913	-1.141	-1.7365	-1.383	-4.594	-2.047	-2.795	-1.547	-2.966	-0.273	-0.361	-3.664	0.257	-0.277	-3.836	-2.048	-0.732	0.033	-0.18	-0.453	0.026	0.044	-0.342	-0.42	-1.288	-1.55
"YGR124W"	0.02	-0.1705	-0.6965	-0.956	-0.336	-0.616	-1.3195	-1.702	-0.183	-0.049	-0.489	-0.997	-1.215	-0.402	-1.17	0.281	-2.537	-1.595	-1.876	-1.917	-2.741	-2.43	-2.597	-4.207	-1.704	-1.377	-1.518	-0.014	-2.554	-1.658	-2.324	-2.426	-2.945	-3.169	-3.758	0.354	0.03	-0.104	-0.095	-0.13	-0.953	-0.054	-0.458	-2.916	-2.261	-1.727	-0.169	-0.869	-0.082	-0.779	-0.009	0.254	-2.935	0.105	1.118	-2.228	-1.881	-0.24	-0.035	0.184	0.244	-0.063	0.0	0.057	0.537	-0.767	-0.375
"YGR128C"	-2.88	-2.985	-2.926	-3.042	-1.3415	-2.4315	-3.197	-2.749	-2.704	-1.414	-0.901	-1.641	-1.342	-1.016	-2.307	-1.509	-3.032	-2.601	-2.603	-2.213	-1.732	-2.665	-2.66	-4.271	-2.816	-2.202	-1.622	-1.376	-3.207	-1.88	-2.107	-2.236	-2.017	-3.037	-2.679	-0.175	-0.8	0.059	-0.605	-1.073	-0.961	-0.522	-1.522	-1.9935	-1.579	-2.534	-2.591	-2.714	-1.919	-1.414	0.925	0.384	-0.84	0.847	1.397	-0.921	-0.84	-0.35	-0.225	-0.378	-0.457	0.396	-0.091	-0.41	0.131	-1.955	-0.743
"YGR152C"	-0.735	-1.5455	-1.637	-1.8195	-0.9275	-0.7605	-1.4345	-1.4805	-0.662	-0.619	-0.733	-1.212	-1.286	-0.006	-0.452	-0.37	-2.174	-2.161	-1.421	-1.959	-2.308	-1.561	-1.626	-2.02	-0.945	-1.223	-0.697	-1.133	-3.482	-2.377	-2.272	-3.641	-3.164	-2.767	-3.136	-0.415	-0.395	-0.253	-0.434	-0.246	-0.748	0.239	-0.887	-1.825	-0.549	-1.5225	-0.269	-1.096	-0.424	0.49	0.494	0.535	-0.87	0.531	1.507	-0.58	0.114	-0.253	-0.096	0.272	-0.187	-0.192	0.438	-0.01	-0.229	0.642	0.656
"YGR173W"	-1.7015	-2.503	-1.765	-1.71	-0.761	-1.958	-2.8095	-2.487	-1.968	-0.511	-0.708	-1.243	-0.655	-0.955	-0.39	-0.65	-3.271	-1.888	-1.436	-1.194	-1.375	-1.91	-2.218	-3.699	-2.709	-2.065	-1.747	-1.752	-1.546	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	-0.304	-0.501	-0.176	-0.306	-0.586	-0.8395	-0.04	-0.135	-1.2535	-1.53	-2.734	-1.48	-1.911	-1.015	-0.995	-0.055	0.045	-1.798	0.088	0.63	-2.139	-1.525	-0.32	-0.157	-0.021	0.062	-0.074	0.196	-0.139	-0.403	-0.71	-1.312
