	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"681.YP galactose vs reference pool"	"684.YP fructose vs reference pool"	"854.YPD_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13065.Na/Na+FK 30min (1)"	"13066.Na/Na+FK 30min (2)"	"13067.Na/Na+FK 45min (1)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13133.Ca/Ca+FK 30min (2)"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YDL046W"	-0.151	0.31	0.229	1.197	1.719	1.356	1.328	0.823	1.195	1.089	0.537	0.351	0.095	2.167	0.069	2.102	0.152	0.659	0.47	1.277	0.789	0.466	0.962	0.138	1.182	0.551	0.7	0.809	0.149	0.574	0.4	0.257	0.393	0.061	-0.001	0.527	0.728	0.475	0.48	0.882	0.919	0.848	0.59	-0.156	0.255	0.202	0.969	1.178	1.243	1.736	1.942	0.691	1.732	1.799	2.119	1.915
"YDL124W"	-0.536	-0.139	-0.352	2.899	3.398	3.443	3.375	2.524	3.037	2.927	-0.1375	1.233	0.118	4.364	0.568	2.383	0.465	0.852	0.719	3.605	1.992	2.392	3.057	3.951	4.145	2.593	3.343	3.676	-0.01	0.901	2.293	-0.393	-0.729	-0.537	-0.362	0.354	0.401	0.54	0.488	0.332	0.234	-0.125	3.051	3.987	3.246	4.353	2.101	3.566	3.41	3.172	3.684	3.117	3.568	2.977	3.876	2.455
"YDL152W"	0.519	-0.086	0.338	-1.59	-3.304	-2.545	-2.782	-2.848	-3.132	-2.053	0.158	0.034	0.315	-1.821	-0.209	-2.301	-0.025	-0.764	-0.52	-1.512	-0.697	-1.388	-1.397	-2.319	-1.539	-0.699	-1.558	-1.733	0.162	-0.109	-3.422	0.272	0.724	0.1	0.04	-0.534	-0.488	0.063	-0.114	-0.049	-0.065	0.263	-1.042	-1.552	-1.63	-1.34	-1.716	-1.954	-1.277	-1.037	-2.041	-2.504	-4.602	-3.56	-3.722	-2.566
"YDL201W"	0.096	0.322	-0.239	-2.767	-2.68	2.807	-2.05	-1.932	-2.515	-1.652	0.003	-0.541	0.093	-3.282	0.199	-2.178	0.108	-0.601	-0.23	-1.066	-0.6	-1.413	-1.022	-1.275	-1.213	-0.965	-1.373	-1.767	0.33	-0.553	-2.398	0.107	0.336	0.223	0.121	-0.006	-0.253	0.138	0.008	0.042	0.291	0.183	-1.061	-1.643	-1.243	-1.649	-0.926	-1.551	-1.876	-1.005	-1.183	-3.323	-2.621	-2.04	-2.492	-1.838
"YDL222C"	-0.764	-0.264	-1.985	4.852	5.532	5.359	5.486	4.452	4.933	5.493	-0.798	0.75	-1.273	2.058	-0.762	1.591	-0.313	-0.229	-0.669	2.326	2.774	-1.112	3.739	3.922	3.845	1.796	2.785	2.677	-0.007	0.9125	5.7	-0.983	-1.401	-0.177	-0.205	0.071	0.364	-0.073	0.559	0.371	0.688	-0.145	4.063	5.24	4.374	4.923	NaN	7.619	4.601	4.364	4.427	4.903	5.632	4.011	6.788	5.657
"YDR021W"	-0.096	-0.201	-0.251	-0.564	-1.722	-1.6	-1.626	-1.7	-2.199	-1.75	-0.083	-0.222	0.0	-0.944	-0.165	-1.371	-0.1	-0.446	-0.466	-0.66	-1.169	-1.128	-0.835	-1.103	-1.052	-0.694	-0.63	-1.088	-0.01	-0.253	-1.924	0.519	0.578	0.518	0.583	0.064	-0.226	-0.182	-0.184	0.029	0.152	0.443	-2.099	-2.378	-2.629	-2.617	-4.195	-1.675	-2.3	-0.938	-1.784	-1.968	-0.262	-1.854	-1.46	-1.011
"YDR101C"	0.352	0.108	0.094	-3.098	-3.513	-3.593	-3.404	-3.0	-3.74	-3.659	-0.055	-0.086	0.278	-4.306	0.188	-2.52	0.113	-1.211	-0.841	-2.426	-1.736	-1.885	-2.295	-2.352	-1.867	-2.185	-2.477	-2.261	0.191	-0.394	-3.253	-0.222	-0.253	0.204	0.01	0.167	0.204	-0.503	-0.308	0.166	0.016	0.391	-2.313	-2.638	-2.302	-2.703	-2.51	-2.283	-2.391	-2.526	-2.423	-2.688	-3.244	-3.315	-3.048	-2.294
"YDR171W"	-0.826	-0.168	-0.5	6.617	6.083	5.884	5.56	5.126	6.153	6.24	-0.389	0.711	-1.044	5.287	0.664	2.893	0.068	1.295	1.174	4.979	3.883	3.59	4.183	4.385	4.392	4.176	4.034	4.162	0.042	-0.007	5.398	0.312	0.3765	0.587	0.58	0.703	0.427	0.6615	0.7975	0.665	0.2335	-0.4475	3.812	4.059	3.831	4.1315	3.636	3.7045	4.2405	4.457	3.991	5.862	5.035	4.403	4.639	4.566
"YDR204W"	-0.088	0.172	0.032	2.053	2.454	2.245	2.273	1.933	2.734	2.548	0.033	0.118	-0.174	3.146	0.448	0.96	-0.17	0.096	-0.088	1.481	0.905	-0.051	1.384	1.811	2.125	0.871	1.507	1.569	-0.044	0.131	2.994	0.1055	-1.05	-0.0215	-0.039	-0.017	0.064	-0.2705	0.099	-0.1275	0.216	-0.192	1.209	2.228	1.147	1.69	0.9655	1.988	2.3245	1.9725	2.326	2.135	2.346	2.774	2.826	1.883
"YDR368W"	-0.7385	-0.335	-0.447	1.171	1.207	1.088	0.689	1.063	1.274	1.273	-0.1275	0.718	0.333	0.974	0.271	1.019	-0.1745	0.212	-0.162	1.857	0.578	0.703	1.316	2.166	2.344	1.22	1.786	2.125	0.173	0.482	1.011	-0.025	-0.343	0.09	0.036	0.408	-0.438	0.298	-0.057	0.168	0.241	-0.023	1.586	1.983	1.887	2.085	1.376	1.374	2.065	1.899	2.223	1.025	1.393	2.008	1.122	0.274
"YDR496C"	-0.095	-0.3165	-0.3395	-2.7945	-5.251	-1.709	-3.9025	-3.671	-4.953	-4.7405	0.1005	-0.136	0.0635	-3.1645	-0.0525	-3.995	-0.008	-0.775	-0.358	-3.063	-1.8765	-2.09	-2.733	-3.5775	-2.461	-2.197	-3.151	-2.808	0.18	0.2125	-5.1875	0.572	0.6995	-0.0205	-0.2325	-0.174	0.8555	-0.897	-0.4975	0.168	-0.065	0.4605	-2.967	-2.715	-2.776	-2.592	-2.801	-2.8195	-2.728	-3.004	-3.117	-3.598	-3.216	-1.02	-1.917	-1.733
"YER038C"	-0.224	-0.531	0.056	2.486	1.963	2.457	2.516	1.298	1.281	2.0	-0.437	0.236	0.022	1.902	0.183	1.201	0.024	-0.628	-0.028	2.168	0.432	1.092	2.334	2.33	1.943	2.409	2.056	1.888	-0.221	0.056	1.344	0.032	0.165	0.237	0.221	-0.001	-0.479	0.106	-0.037	0.18	0.174	0.018	1.874	1.988	1.282	2.046	1.917	1.878	1.965	2.255	2.546	2.0	2.597	2.877	1.424	0.842
"YER061C"	-0.147	-0.409	0.148	0.753	0.737	0.707	0.451	0.522	1.173	0.729	0.014	-0.376	-0.359	0.847	0.001	1.303	-0.213	0.794	0.42	0.984	-0.186	0.471	0.791	0.901	0.593	0.863	0.735	0.495	0.129	0.0125	1.36	-0.07	-0.039	0.498	0.261	0.667	0.365	0.621	0.224	0.176	0.317	0.249	3.721	3.707	3.813	4.102	3.319	3.627	3.087	3.321	2.771	0.509	0.255	1.323	1.589	1.251
"YER082C"	-0.049	0.231	0.003	-3.133	-2.842	-2.415	-2.255	-1.948	-2.651	-2.474	0.302	-0.7	0.173	-2.646	-0.016	-1.244	-0.181	-0.761	-0.579	-0.956	-0.7	-1.05	-1.315	-1.843	-1.491	-0.785	-1.161	-1.57	0.279	0.867	-2.385	0.42	0.329	0.128	0.124	-0.176	-0.648	0.281	-0.178	0.225	0.122	0.201	-1.077	-1.301	-1.41	-1.081	-0.786	-1.343	-0.986	-1.272	-0.952	1.247	0.672	1.094	1.598	1.509
"YER126C"	0.495	0.224	0.256	-2.129	-3.132	-5.661	-2.634	-3.488	-4.626	-4.459	0.026	-0.329	0.033	-4.455	0.014	-2.303	0.197	-0.476	-0.297	-2.191	-0.966	-1.302	-1.979	-3.035	-2.036	-1.422	-2.942	-2.828	0.105	-0.218	-5.253	0.9195	0.9175	-0.041	0.09	0.227	0.348	0.106	-0.384	0.0785	-0.1075	0.3925	-2.1125	-2.2045	-2.0885	-2.315	-1.789	-2.484	-1.4275	-3.7255	-2.172	-3.26	-5.806	-3.166	-3.761	-2.961
"YER127W"	0.189	-0.223	0.029	-2.534	-2.809	-2.346	-2.38	-1.952	-3.051	-2.807	-0.125	-0.041	0.444	-3.292	-0.123	-1.589	0.063	-0.858	-0.27	-1.746	-1.047	-1.716	-1.62	-1.641	-0.933	-1.291	-2.207	-1.783	0.339	-0.031	-3.328	0.4265	0.6035	-0.118	-0.0035	0.191	-0.041	-0.1875	-0.076	0.099	-0.098	0.564	-1.443	-1.1305	-1.7105	-1.191	-1.492	-1.5735	-1.208	-1.702	-1.294	-5.069	-4.459	-1.991	-3.601	-3.002
"YGL037C"	-0.341	0.157	-0.439	4.841	4.922	5.031	4.738	4.635	4.777	4.892	-0.691	0.628	-0.493	4.226	0.977	2.654	-0.044	1.77	1.382	4.131	2.471	2.6	3.473	4.034	4.0	3.629	4.14	4.201	-0.328	-0.21	4.782	0.242	0.06	0.475	0.476	0.822	0.464	0.925	0.712	0.714	0.643	0.324	4.188	4.405	4.221	4.55	4.307	5.007	4.814	4.857	4.762	5.215	5.736	4.25	4.634	3.141
"YGL055W"	-0.205	-0.369	0.153	-1.948	-2.504	-2.789	-2.779	-2.446	-2.905	-1.633	-0.401	-0.156	-0.474	-2.39	0.419	0.734	0.698	0.411	0.294	-2.244	-1.096	-0.642	-2.002	-2.205	-2.67	-1.605	-1.774	-2.273	0.404	-0.143	-2.516	-0.213	-0.299	0.158	0.171	0.016	-0.282	-0.459	-0.223	-1.076	-1.245	-0.522	-0.909	-1.76	-0.94	-1.572	-1.477	-3.074	-2.039	-2.481	-1.945	-2.384	-2.832	-2.378	-1.5	2.117
"YGL104C"	0.189	0.092	0.26	1.66	2.468	1.887	2.115	1.766	2.107	1.882	0.006	0.226	-0.029	2.984	0.221	2.284	-0.112	0.3	0.463	1.763	0.619	1.024	1.606	1.832	1.746	1.432	1.504	1.585	-0.139	0.119	2.33	-0.204	-0.584	-0.054	-0.092	-0.139	0.076	0.445	0.236	0.029	0.178	-0.158	0.987	2.286	1.419	2.176	0.99	2.04	2.058	1.303	2.128	0.82	1.211	0.773	1.442	0.712
"YGL111W"	0.104	0.084	0.109	-1.886	-2.705	-2.012	-2.506	-2.165	-2.854	-2.867	0.204	-0.615	0.173	-3.668	0.262	-2.617	0.18	0.111	-0.04	-1.234	-0.608	-0.926	-1.235	-1.614	-1.309	-0.941	-1.429	-1.56	0.356	-0.49	-2.724	0.48	0.536	0.162	0.249	0.498	0.276	0.131	0.041	-0.547	-0.113	0.095	-1.083	-1.595	-1.149	-1.182	-0.87	-1.733	-0.936	-1.862	-1.54	-2.854	-3.188	-2.456	-3.063	-1.924
"YGL171W"	0.335	-0.362	0.099	-3.422	-4.302	3.479	-4.243	-2.091	-3.818	-3.208	-0.564	0.168	-0.133	-5.822	0.029	-3.704	0.044	-0.644	-0.708	-2.1	-1.418	-1.278	-2.007	-3.247	-2.573	-1.828	-2.897	-2.938	0.218	-0.192	-3.658	0.315	0.405	-0.316	-0.049	-0.13	0.074	-0.754	-0.39	-0.129	0.003	0.156	-2.045	-3.155	-2.692	-2.678	-1.532	-2.445	-2.812	-2.994	-3.129	-3.124	-3.355	-2.722	-3.848	-2.304
"YGL248W"	-0.184	0.097	0.179	0.858	1.954	-0.036	1.741	1.496	2.515	2.277	0.07	0.448	-0.167	1.948	0.422	1.473	0.13	0.187	0.287	1.394	0.799	1.492	1.304	1.683	1.613	1.067	1.539	1.561	-0.598	-0.172	2.789	-0.366	-0.524	-0.372	-0.378	0.104	-0.394	0.066	-0.002	0.413	0.095	0.051	1.216	1.905	1.192	1.681	0.803	1.675	1.769	1.201	1.429	0.756	2.037	1.994	1.395	1.43
"YGR043C"	-0.689	-0.189	-1.205	3.734	5.04	4.645	5.049	2.61	5.232	4.833	-0.499	-0.425	-1.778	5.679	-0.323	5.014	-0.215	0.379	-0.071	4.853	2.076	3.433	4.445	5.025	5.539	3.618	4.531	4.874	-0.128	0.033	5.961	-1.069	-1.179	-0.627	-0.656	-0.088	0.21	-0.321	0.377	0.169	0.467	0.044	3.806	4.694	4.377	4.705	3.152	4.843	4.573	3.904	3.572	2.557	4.675	3.31	6.098	5.083
"YGR088W"	-0.688	-0.639	-1.743	5.667	6.373	2.723	5.936	4.829	5.213	6.038	-1.08	1.229	-1.339	6.03	-0.031	4.878	0.175	1.393	0.982	5.535	3.303	4.425	4.761	5.015	4.802	4.026	4.788	5.016	-0.755	0.068	6.94	-0.659	-1.121	-0.324	-0.316	0.767	0.687	1.082	0.9	1.561	1.2	1.777	4.807	4.652	4.961	4.689	5.339	5.379	4.971	4.358	4.853	3.158	4.824	2.492	6.174	5.244
"YGR149W"	-0.575	-0.472	-0.109	1.2625	2.1315	1.8355	1.925	1.879	1.9705	1.8465	-0.233	0.141	0.144	2.361	0.256	1.898	-0.011	0.706	0.794	1.188	0.544	0.968	1.514	1.729	1.679	0.892	1.386	1.286	0.332	0.127	2.1715	-0.685	-0.985	-0.5985	-0.4835	-0.3995	-0.17	-0.194	0.076	-0.1225	-0.235	-0.422	1.566	1.509	1.4645	1.614	1.0005	1.849	1.6275	1.488	1.7435	0.999	1.856	1.524	1.906	1.3
"YGR158C"	-0.345	-0.029	0.053	-1.284	-1.5985	-1.0395	-1.3315	-0.914	-1.451	-1.544	-0.313	0.0	0.348	-2.111	0.139	-1.205	0.059	-0.407	-0.162	-1.114	-0.632	-1.119	-1.401	-1.232	-0.844	-1.103	-1.314	-1.189	0.252	-0.359	-1.6075	0.3945	0.4695	0.172	0.214	0.0635	-0.089	-0.183	0.1695	0.331	-0.096	0.2215	-0.9725	-0.658	-1.171	-1.1015	-0.7985	-1.0445	-0.924	-1.4055	-1.0895	-1.329	-1.299	-1.474	-2.299	-0.631
"YGR160W"	0.216	0.043	-0.201	-5.206	-6.235	-5.8935	-5.9475	-5.567	-6.207	-4.6575	0.1	-0.53	0.675	-4.796	0.109	-4.626	0.323	-1.342	-1.341	-3.109	-1.846	-2.876	-3.117	-3.857	-2.834	-2.737	-3.507	-3.412	0.338	-0.534	-6.3385	0.889	0.88	0.14	0.1945	0.609	0.456	-0.6145	-0.504	0.7535	0.251	0.7565	-2.346	-3.0265	-2.661	-3.017	-1.7855	-2.625	-2.6695	-4.147	-3.2215	-3.421	-4.64	-4.966	-4.708	-4.059
"YGR248W"	-1.505	-0.838	-1.256	5.5605	6.0655	6.403	5.962	5.4885	6.052	5.5355	-1.632	0.794	-1.17	5.321	0.186	4.094	0.028	1.972	0.993	4.781	3.37	4.744	3.363	4.308	4.92	3.473	4.322	5.049	-0.268	0.308	7.005	-0.762	-0.615	-0.451	-0.509	0.941	0.984	1.336	1.309	1.535	1.46	1.569	3.643	4.063	3.786	4.364	4.078	5.148	4.241	3.191	3.907	5.373	4.665	3.854	6.811	5.604
"YGR272C"	0.08	-0.243	0.072	-1.24	-2.097	-1.5415	-2.409	-2.261	-2.5195	-2.589	-0.474	-0.285	0.0	-3.298	-0.19	-2.698	0.11	-0.23	-0.348	-2.036	-1.313	-1.503	-2.311	-2.745	-2.178	-1.573	-2.493	-2.514	0.289	0.422	-1.6415	0.367	0.841	-0.325	0.04	-0.343	-0.207	-0.875	-0.479	-0.065	-0.126	0.788	-0.872	-2.313	-3.11	-2.967	-2.561	-2.095	-1.879	-2.635	-2.408	-1.904	-1.175	-1.502	-1.888	-1.468
"YHL021C"	-0.672	-0.34	-0.116	5.6195	5.88	5.7395	5.508	4.666	5.5395	5.718	-0.83	1.573	-0.536	5.13	0.393	3.904	-0.061	1.297	1.284	4.431	3.006	3.413	3.59	3.443	3.832	2.99	3.239	3.337	-0.436	0.347	5.9365	-0.844	-1.108	-0.357	-0.364	0.346	-0.345	0.547	-0.169	0.112	-0.079	-0.929	4.618	4.633	4.214	4.775	3.933	5.105	4.883	4.794	4.599	6.378	6.107	5.07	6.624	4.847
"YHR052W"	0.152	0.115	0.049	-3.848	-4.2445	-2.638	-3.5175	-3.5215	-4.3935	-3.9395	0.043	-0.036	0.384	-4.199	-0.107	-3.435	-0.033	-0.446	-0.675	-2.447	-1.119	-1.839	-2.417	-2.621	-1.95	-1.349	-2.318	-2.298	0.14	-2.413	-4.9395	0.413	0.343	0.158	0.128	0.161	0.277	0.093	0.041	0.446	-0.281	0.657	-2.069	-1.76	-1.675	-2.126	-1.334	-1.849	-1.695	-2.641	-2.604	-2.268	-2.827	-2.212	-3.47	-2.114
"YHR066W"	-0.087	-0.02	-0.052	-2.6315	-3.7505	-3.058	-3.0515	-2.9815	-3.762	-3.552	0.133	-0.413	0.103	-4.885	-0.274	-2.742	0.045	-0.637	-0.452	-2.029	-1.419	-2.058	-1.659	-2.447	-1.738	-1.335	-2.494	-2.346	0.01	0.08	-4.347	0.501	0.41	-0.231	-0.207	-0.184	0.118	-0.526	-0.644	-0.156	-0.354	0.363	-2.269	-2.765	-2.571	-2.504	-1.612	-1.998	-2.15	-3.667	-3.295	-2.551	-3.068	-2.219	-2.382	-1.908
"YHR087W"	-0.606	-0.21	-0.656	6.0195	5.7105	5.698	5.252	6.08	5.929	6.501	-1.076	0.42	-1.415	3.602	-0.365	2.42	-0.14	1.187	0.326	5.013	2.916	2.052	5.067	5.497	5.933	4.806	5.093	4.962	0.3	0.744	6.1195	-0.253	0.074	0.079	0.095	0.78	0.569	1.013	1.004	0.649	0.728	0.556	5.549	5.607	5.113	5.372	5.338	6.151	4.848	7.094	5.78	6.124	6.178	5.117	5.778	4.259
"YHR088W"	0.229	-0.223	-0.081	-2.3875	-5.1145	-5.3925	-4.6805	-3.058	-3.613	-2.3075	-0.421	-0.335	0.061	-5.002	-0.029	-1.713	-0.041	-0.668	-0.612	-1.129	-1.417	-0.596	-1.231	-3.561	-1.727	-0.823	-1.811	-2.252	-0.059	-0.144	-3.3645	0.72	0.671	0.251	0.282	0.006	-0.134	-0.523	-0.324	-0.293	-0.299	0.433	-1.503	-2.284	-1.629	-2.489	-1.298	-2.425	-3.581	-1.946	-2.323	-2.592	-2.779	-1.48	-2.768	-2.043
