	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"1015.YPD 3 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28839.P2Comp 07 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YDR411C"	0.648	0.855	0.508	0.448	0.477	0.489	0.358	1.456	0.199	-0.171	-0.153	0.029	-0.039	0.04	-0.089	-0.116	0.878	0.752	0.78	0.494	0.599	0.652	-0.018	0.377	0.002	-0.64	-0.285	-0.204	-0.073	-0.016	-0.448	-0.021	-0.651	-0.408	0.227	-0.141	-0.758	-0.786	0.234	-0.149	-0.276	0.483	0.563	0.129	0.922	0.624	-0.039	-0.078	-0.307	-0.373	-1.084	-0.635	-0.01	-0.747
"YER141W"	1.19	1.943	1.397	1.809	1.671	2.227	2.026	3.443	1.894	0.521	0.702	0.795	0.602	0.619	0.953	0.859	1.78	0.6785	-0.035	0.67	0.394	0.115	0.8005	0.9335	1.6625	0.728	0.923	-0.2475	0.065	0.176	-0.9165	-1.3515	-2.25	-1.357	-0.0675	-0.3855	0.138	-0.7995	2.159	-0.751	-0.5	2.233	1.521	0.844	2.726	1.877	2.2	-1.153	-1.184	-1.972	-0.855	-0.861	-0.639	-1.384
"YER150W"	2.798	5.585	4.539	4.101	4.447	4.749	4.983	6.012	5.159	4.737	4.325	4.609	4.764	3.727	4.306	4.749	6.349	4.693	4.102	4.9625	5.0445	4.002	5.0675	4.5475	5.6945	5.531	4.982	0.0575	2.851	3.246	3.7	-0.721	-1.658	-0.045	2.061	2.9215	1.7855	2.6455	4.957	0.12	3.343	7.981	7.796	6.325	6.994	6.618	4.621	-1.526	1.072	0.919	3.229	3.384	3.213	2.737
"YGL037C"	4.841	4.922	5.031	4.738	4.635	4.777	4.892	4.226	3.59	4.131	3.473	4.034	4.0	3.629	4.14	4.201	4.782	4.405	3.507	4.221	4.55	3.592	4.307	5.007	4.814	4.857	4.762	0.416	1.0905	1.159	0.659	-1.544	-1.9425	-1.3255	1.926	1.4855	0.4845	0.3445	5.736	0.266	4.523	3.734	3.731	3.099	4.634	3.141	3.313	0.13	2.445	2.507	2.325	2.341	2.181	1.626
"YGR043C"	3.734	5.04	4.645	5.049	2.61	5.232	4.833	5.679	5.593	4.853	4.445	5.025	5.539	3.618	4.531	4.874	5.961	4.694	4.617	4.377	4.705	4.833	3.152	4.843	4.573	3.904	3.572	0.2725	1.9815	2.669	1.9875	-0.1535	0.2005	0.3995	1.7035	1.9765	2.4195	1.967	4.675	0.29	NaN	5.792	5.627	4.968	6.098	5.083	5.837	0.452	2.446	1.201	2.639	3.577	3.205	2.841
"YGR052W"	3.652	4.091	3.925	2.885	2.401	2.785	1.368	4.665	5.377	5.176	4.565	4.71	4.525	4.047	4.594	4.921	4.102	3.521	0.862	4.884	3.918	1.208	5.68	4.789	4.837	5.029	4.051	-0.022	0.5245	1.866	1.41	1.618	-0.2695	1.4845	1.157	1.236	1.9445	2.4	2.098	0.979	0.555	3.566	2.384	3.017	4.507	3.246	3.166	0.005	-0.132	0.191	1.653	1.848	1.824	2.0
"YGR088W"	5.667	6.373	2.723	5.936	4.829	5.213	6.038	6.03	6.265	5.535	4.761	5.015	4.802	4.026	4.788	5.016	6.94	4.652	1.854	4.961	4.689	1.683	5.339	5.379	4.971	4.358	4.853	0.368	2.682	2.339	1.424	-0.639	0.286	0.775	2.874	1.811	1.398	2.349	4.824	-1.744	1.207	4.087	3.753	4.258	6.174	5.244	5.949	-0.705	1.002	0.312	1.888	2.789	2.023	1.757
"YGR127W"	1.8105	2.0945	1.8015	2.0255	1.6685	2.161	2.077	2.335	1.765	1.626	1.425	1.618	1.428	0.921	1.312	1.133	2.175	1.412	1.14	1.5405	1.6245	1.25	1.642	2.625	2.1605	2.337	1.7895	0.0675	0.6925	0.9645	0.8265	0.214	-0.5215	0.3225	1.101	1.1935	1.1065	0.7095	3.264	0.292	1.416	2.508	1.709	1.516	2.788	2.319	2.445	-0.012	-0.465	1.177	1.162	1.571	1.019	0.869
"YGR194C"	2.86	3.229	NaN	2.5445	2.0745	2.773	2.7325	4.003	0.904	1.918	1.529	2.079	1.592	0.924	1.511	2.027	3.219	1.793	1.188	1.835	1.848	1.07	1.394	2.398	2.295	1.954	2.186	-0.327	0.287	0.015	-0.819	-1.579	-0.595	0.355	0.804	0.53	1.651	0.369	2.234	0.281	1.238	3.239	2.701	1.932	4.12	2.96	2.21	-0.159	1.033	1.09	0.646	1.033	0.099	-0.065
"YGR248W"	5.5605	6.0655	6.403	5.962	5.4885	6.052	5.5355	5.321	4.952	4.781	3.363	4.308	4.92	3.473	4.322	5.049	7.005	4.063	3.021	3.786	4.364	3.153	4.078	5.148	4.241	3.191	3.907	-0.114	0.815	1.217	0.761	-0.737	-1.347	-0.7	1.853	2.03	1.558	0.687	4.665	-0.464	3.426	6.168	6.124	5.273	6.811	5.604	4.819	-0.7	3.163	2.575	3.214	3.484	3.38	2.444
"YHR009C"	1.479	0.612	0.9695	0.23	0.3235	0.43	0.295	2.68	1.101	0.559	0.5385	0.3665	0.3595	0.263	0.367	0.2175	0.848333333333333	0.281	0.2365	0.0985	0.2145	0.6165	0.0535	0.0435	0.606	-0.1675	0.368	-0.2645	0.3835	0.038	-0.573	-0.7995	-0.5085	-0.19	0.714	0.6585	0.432	-0.2835	-0.021	-0.84	-1.197	0.832	0.523	1.279	1.464	1.046	0.991	0.187	-0.142	NaN	-0.869	0.042	-1.199	-0.604
"YHR028C"	0.619	1.45	0.077	1.153	1.128	1.5605	1.482	0.807	1.098	0.314	0.23	0.444	0.296	0.324	0.703	0.884	1.8075	0.682	0.681	0.272	0.602	1.4	0.063	0.811	1.778	0.609	1.436	-0.211	0.097	0.165	-1.222	-1.373	-1.075	-0.713	0.164	-0.207	0.828	0.366	0.96	-0.669	-0.243	1.215	0.695	0.729	1.945	1.687	1.493	-0.378	0.837	0.43	0.698	0.439	0.616	0.11
"YHR087W"	6.0195	5.7105	5.698	5.252	6.08	5.929	6.501	3.602	2.304	5.013	5.067	5.497	5.933	4.806	5.093	4.962	6.1195	5.607	5.374	5.113	5.372	4.281	5.338	6.151	4.848	7.094	5.78	1.032	1.189	1.639	1.671	-1.34	-1.804	-0.531	2.554	2.16	1.283	2.274	6.178	0.147	2.962	6.108	4.15	3.908	5.778	4.259	4.227	-0.744	3.436	3.84	4.482	4.34	3.879	3.949
"YHR104W"	4.5615	4.906	4.8105	4.6215	4.247	4.658	4.7775	3.691	3.122	3.233	2.72	3.95	4.176	2.268	3.382	3.895	5.319	4.395	4.104	3.853	4.573	3.932	3.872	4.605	4.627	4.033	4.789	0.951	1.791	1.625	1.11	-1.079	-1.516	-0.548	2.107	1.434	1.363	1.366	5.002	0.521	2.367	2.457	1.421	1.698	3.963	2.022	1.952	0.345	2.402	2.793	2.492	3.063	2.318	1.773
"YIL125W"	1.04366666666667	3.107	1.951	0.739666666666667	0.789	0.943	0.458666666666667	1.2205	1.2755	-0.0185	0.046	0.252	0.108	-0.1275	0.3115	0.6755	0.799666666666667	0.159	0.1985	0.384	0.3845	-0.09	0.3105	0.35	1.162	0.2535	1.13	-0.616	0.2685	-0.0365	-1.094	-2.4165	-1.8905	-1.3055	0.203	0.1425	0.7195	0.0175	1.26	-1.832	-1.476	2.637	3.371	3.05	3.17	4.035	3.462	-1.115	-1.088	-1.511	-0.803	-1.007	-0.438	-1.507
"YIL136W"	4.318	2.297	4.81	4.5115	3.5705	4.093	3.794	5.349	3.387	2.974	3.068	3.701	3.756	2.993	3.409	3.592	3.8555	3.77	2.523	3.084	3.589	2.666	3.637	5.21	3.99	3.268	4.282	-0.545	1.859	2.133	0.987	-1.251	-1.178	-0.392	1.287	1.633	1.879	2.844	3.125	-1.141	1.282	5.402	5.624	5.235	5.469	5.356	4.327	-0.646	1.339	1.521	2.368	2.64	3.235	2.091
"YJR121W"	1.11033333333333	1.23233333333333	1.154	0.634333333333333	0.606666666666667	0.817333333333333	0.94	2.582	1.2845	0.035	0.132	0.1005	0.0295	-0.5345	-0.1935	-0.041	0.630666666666667	-0.059	-0.257	-0.229	-0.305	-0.268	0.418	-1.051	0.679	-0.939	0.368	-0.54	-0.725	-0.909	-1.576	-2.278	-2.716	-1.816	0.139	-0.668	-1.45	-0.391	0.512	-1.213	-1.335	1.577	2.57	1.718	1.773	2.07	1.533	-0.984	-1.668	-3.637	-1.727	-1.588	-1.658	-3.091
"YKL150W"	2.809	2.913	3.192	3.05	2.55	3.068	2.915	3.989	3.627	2.513	1.799	2.546	2.647	1.522	2.175	2.342	2.857	1.898	1.318	1.63	2.161	1.746	2.579	3.03	3.16	2.889	3.827	-0.123	0.679	0.561	0.031	-1.664	-1.563	-2.811	0.868	0.937	0.078	1.866	2.259	-0.781	0.738	2.7	3.344	2.601	4.12	3.616	2.794	-0.878	-0.369	-0.864	0.306	0.351	-0.989	-0.136
"YKL151C"	3.971	4.653	4.894	4.533	3.849	4.45	4.63	3.642	1.108	2.972	1.652	2.498	2.582	1.567	2.276	2.615	4.996	1.701	1.352	0.866	1.407	1.295	1.414	2.686	2.035	1.691	2.673	1.121	1.517	1.278	0.581	-0.387	-1.183	-0.111	1.764	2.355	0.951	1.649	2.694	-0.482	1.438	3.213	2.768	3.047	3.988	2.909	3.103	-0.448	1.434	0.227	1.548	1.927	0.672	1.035
"YLL041C"	2.552	2.665	2.419	2.605	1.933	2.775	2.977	4.794	3.746	0.756	0.461	1.377	1.116	0.278	0.928	1.163	2.274	1.595	0.429	1.055	1.382	0.113	1.888	2.45	-1.41	1.295	2.078	-0.879	0.522	0.534	-0.246	-1.94	-2.023	-2.73	-0.751	-0.24	-0.956	-0.373	1.509	-1.251	-2.313	3.903	4.684	4.285	3.781	4.867	4.704	-1.331	-3.711	-5.464	-1.16	-0.862	-0.563	-0.982
"YLR304C"	1.242	2.287	2.567	2.264	2.66	2.982	3.369	2.405	2.423	0.084	-0.209	0.537	0.38	-0.599	0.475	0.71	3.063	-0.453	-0.398	-0.164	-0.452	-0.539	0.826	1.1	0.022	NaN	-0.086	-0.274	0.253	-0.16	-1.296	-2.932	-3.202	-2.974	-0.273	-0.091	-1.372	-0.357	2.674	-1.421	-2.604	1.506	2.293	2.677	2.047	2.672	2.218	-0.828	-3.766	-4.534	-2.065	-2.352	-1.073	-1.974
"YLR324W"	1.268	1.854	1.201	1.216	1.451	1.353	1.128	1.154	0.746	-0.174	-0.101	0.177	0.355	-0.217	0.081	0.309	1.173	0.702	0.262	1.082	0.525	1.061	0.27	0.712	0.661	0.487	1.576	-0.37	0.208	-0.386	-0.707	-0.618	-1.049	-0.823	0.012	0.231	0.078	0.154	0.723	-0.676	0.084	0.96	0.87	0.928	1.129	0.812	0.315	0.208	-0.482	-0.513	0.192	0.75	1.195	0.393
"YMR110C"	2.134	2.615	2.502	2.414	2.26	2.565	2.824	3.925	3.422	1.765	1.252	1.966	1.767	1.239	1.879	2.022	2.675	2.258	1.778	1.662	1.888	1.947	1.944	2.717	1.948	NaN	1.709	-0.2	1.029	1.079	0.089	-1.448	-1.561	-2.058	0.993	1.158	1.206	0.99	2.545	-1.642	-0.377	3.97	4.096	2.779	3.64	3.462	2.522	-0.882	-0.627	-0.011	0.681	0.199	1.331	0.545
"YMR170C"	4.153	5.429	NaN	5.057	4.008	5.21	5.684	6.85	5.147	4.06	3.578	4.235	4.323	2.97	3.461	4.144	6.459	5.241	4.373	4.639	5.187	4.359	4.111	5.551	5.091	3.697	4.67	0.298	1.982	2.644	1.056	-0.894	-0.964	-0.597	2.861	2.435	1.652	0.944	4.409	-0.452	2.669	4.934	4.039	3.912	6.253	4.167	3.706	0.128	1.831	1.126	2.425	2.806	2.871	1.083
"YNL037C"	1.037	1.795	2.825	1.961	2.141	2.458	2.475	2.47	0.986	0.495	0.362	0.567	0.699	-0.003	0.192	0.368	2.173	1.36	0.959	0.704	1.033	1.42	1.163	1.784	1.446	0.012	1.311	-0.649	0.24	-0.201	-0.695	-0.13	-0.929	-0.473	0.706	1.321	-0.216	-0.237	2.268	-0.697	-0.363	0.812	0.937	1.678	0.826	1.981	1.275	-0.894	-1.761	-0.469	-1.195	-1.206	-1.257	-1.845
"YOR014W"	-0.427	0.538	0.25	0.233	0.517	0.716	0.658	0.336	0.657	0.12	0.119	0.386	0.331	-0.289	0.168	0.436	0.707	-0.082	-0.073	-0.221	0.08	0.712	-0.071	-0.202	0.079	0.64	0.645	-0.112	0.277	0.073	-0.015	-0.206	-1.134	-1.333	0.044	0.817	0.066	0.217	0.153	-0.709	0.034	0.931	0.55	1.025	0.913	0.404	0.269	-0.483	-0.373	-0.378	0.259	0.071	-0.97	0.032
"YOR065W"	2.641	2.411	2.161	1.661	2.018	1.979	1.913	3.411	2.056	1.049	0.801	1.109	1.051	0.184	0.974	0.883	1.576	0.381	-0.491	0.704	0.172	-0.582	0.464	0.729	0.39	0.564	0.894	-0.096	-0.275	-0.407	-0.798	-1.012	-0.744	-2.514	0.318	-0.115	-0.711	-0.48	1.887	-0.225	-2.987	2.838	3.265	2.924	2.483	3.006	2.427	-0.211	-2.633	-2.67	-1.408	-1.829	-1.942	-2.037
"YOR135C"	1.82	2.426	1.306	2.034	2.393	2.713	3.178	-3.392	0.322	0.344	-0.111	0.662	0.681	-0.79	0.052	0.518	3.316	0.436	0.586	0.603	0.342	0.429	0.886	1.622	1.22	-0.254	1.617	-0.604	0.184	-0.305	-1.082	-1.772	-2.131	-2.655	0.154	0.498	-0.199	-0.403	2.787	-1.509	-1.524	0.642	1.13	1.878	1.424	1.821	0.986	-1.167	-2.133	-1.252	-1.41	-1.095	-0.793	-1.297
"YOR136W"	2.323	2.745	NaN	2.773	2.896	3.5	3.645	1.7085	1.302	0.57	0.086	0.948	1.022	-0.527	0.4	0.772	3.546	0.699	0.926	0.806	0.149	1.239	1.276	1.595	1.828	0.4	1.89	-0.037	0.488	-0.037	-0.635	-1.73	-1.344	-1.319	-0.503	0.387	-0.744	0.259	2.905	-0.476	0.216	0.504	0.59	1.263	1.164	1.434	1.044	-0.393	-0.997	-1.523	-0.739	-0.624	-0.751	-0.932
"YPL095C"	0.698	0.674	0.997	-0.039	0.212	0.798	0.788	2.919	0.742	0.479	-0.711	-0.249	-0.4	0.347	0.759	0.768	0.99	-0.383	-0.335	-0.6	-0.24	-0.413	-0.391	-0.688	-0.099	0.792	1.723	-1.793	1.054	0.921	-0.714	-2.984	-4.244	-3.391	-3.047	-1.914	-0.032	0.476	0.491	-3.982	-1.734	2.419	2.664	1.185	3.351	2.146	1.579	-3.418	-1.569	-2.254	-1.454	-1.545	-2.333	-2.569
"YPL262W"	0.6985	1.2185	1.027	0.812	0.6725	1.1985	1.4115	1.95666666666667	0.8605	0.1155	0.069	0.108	0.1435	-0.122	-0.016	0.015	1.531	0.242	0.497	-0.159	-0.157	0.487	0.432	0.501	0.832	0.175	1.066	-0.769	0.026	-0.234	-1.405	-1.796	-1.15	-1.499	0.01	0.083	-1.266	-0.313	0.545	-0.938	-0.4155	1.0175	1.975	1.692	1.18	2.823	1.431	-1.101	-1.6045	-1.669	-1.6315	-0.8615	-1.2465	-1.403
"YPR191W"	1.806	2.108	2.295	2.142	1.702	1.905	2.167	2.933	2.126	0.638	0.412	0.584	0.627	0.381	0.662	0.727	1.957	1.162	0.099	0.563	1.208	0.339	1.08	1.202	1.451	0.82	1.851	-0.142	0.068	-0.359	-1.266	-0.673	-1.534	-1.939	-0.926	-0.699	0.321	0.279	1.211	-1.041	-2.885	2.105	2.418	2.1	2.041	2.182	2.076	-0.512	-1.352	-5.751	-1.2	-1.492	-0.768	-1.186
