	"39.alpha factor release sample027"	"53.Elutriation2:Sample2:Time2.0hrs"	"597.25 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"991.constant 0.32 mM H2O2 (120 min) redo"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1674.Elutriation2:Sample2:Time5.5hrs"	"2144.heat shock 37 to 37, 30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YDR071C"	0.315	0.131	0.495	0.462	0.231	0.37	-0.7	-0.825	-1.203	-1.492	-2.459	-4.374	-0.239	-0.204	-0.581	-0.861	-0.162	0.09	-0.965	-0.648	-0.696	-0.953	-1.937	-3.125	-2.557	0.182	-0.339	0.152	-0.089	-0.22	0.118	0.282	-0.108	-0.35	-0.318	0.267	-1.47	0.061	-0.465	-0.302	0.385	-0.713	-0.676	-0.654
"YEL042W"	0.293	0.301	-0.003	-0.631	-0.844	-1.578	-0.84	-0.736	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.924	0.2	0.094	-1.851	-1.109	-1.705	-1.658	-1.896	-2.665	-3.071	0.134	-0.002	0.246	0.778	0.67	-0.22	-0.001	-0.563	-0.996	-1.148	0.069	-1.2195	-0.362	-1.793	-1.936	-1.842	-1.963	-0.946	-1.891
"YGL245W"	0.462	0.226	-0.272	0.55	-0.259	-1.773	-0.806	-1.579	-1.475	-2.145	-4.799	-6.655	-1.774	-1.33	-1.699	-2.088	-0.611	0.36	-1.847	-1.416	-1.589	-2.121	-3.552	-4.345	-4.779	0.065	0.102	0.071	0.255	0.296	0.167	0.202	-0.327	-0.297	-0.537	0.439	-1.658	0.199	-0.889	-0.955	-0.706	-0.834	-0.29	-1.196
"YGR185C"	0.292	0.909	-0.072	0.691	-0.603	-3.192	-1.697	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-0.276	0.491	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.005	0.047	-0.136	0.46	0.36	0.193	0.0675	-0.817	-0.696	-0.772	0.643	-2.438	-0.002	-3.17	-2.768	-2.136	-2.312	-2.205	-2.277
"YGR261C"	-0.125	0.22	0.064	0.168	0.091	-0.763	-0.985	-0.824	-1.213	-1.464	-2.682	-3.233	-0.875	-0.822	-1.189	-1.363	-0.015	0.169	-0.811	-1.146	-1.125	-0.876	-1.657	-2.505	-2.45	0.132	0.274	-0.056	0.127	0.333	0.264	-0.015	-0.158	-0.127	0.118	0.345	-1.102	-0.245	-0.535	-0.84	-0.231	-0.702	-0.029	-0.303
"YHL003C"	0.116	-0.235	0.25	0.328	-0.023	0.834	0.085	0.178	-0.508	-0.868	-2.186	-3.084	-0.746	-0.691	-1.135	-1.164	-0.024	0.058	0.05	-0.273	-0.886	-0.883	-1.585	-1.707	-1.741	0.084	0.241	0.181	0.303	0.317	0.18	-0.1445	-0.213	0.507	0.086	-0.03	-0.878	0.237	-0.715	-0.425	0.006	0.275	-0.288	0.413
"YHR042W"	0.109	0.13	-0.203	0.597	-0.807	-1.462	-0.886	-0.737	-1.128	-1.322	-2.228	-4.647	-1.619	-1.459	-1.35	-1.381	-0.335	-0.047	-1.434	-1.232	-1.325	-1.914	-1.986	-1.732	-1.698	0.133	0.16	-0.368	0.567	0.504	-0.234	-0.105	-0.589	-0.244	-0.623	-0.363	-1.098	-0.032	-1.231	-1.658	-1.113	-1.442	-0.915	-1.803
"YHR068W"	0.163	0.56	0.014	0.941	-0.587	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-0.262	0.349	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.09	-0.14	0.276	0.132	0.041	0.194	-0.0565	-0.673	-0.368	-1.096	-0.253	-2.29	0.084	-2.437	-2.467	-2.406	-2.362	-1.8	-1.861
"YIL039W"	0.055	-0.098	0.065	0.424	-0.181	-0.945	-0.456	-0.673	-1.325	-1.46	-3.668	-4.517	-1.287	-0.751	-1.3	-0.337	0.056	0.342	-0.324	-0.319	-1.043	-1.386	-1.646	-2.122	-1.552	0.113	0.218	0.197	-0.033	0.081	0.21	-0.1685	-0.228	-0.352	-0.593	0.092	-1.385	-0.19	-1.35	-0.821	-0.929	-1.176	-0.939	-2.291
"YIL047C"	-0.058	0.464	-0.2	0.52	-0.245	-0.908	0.345	0.58	1.056	1.044	1.963	2.254	-1.229	-0.581	0.063	0.69	0.3355	0.067	-0.308	NaN	0.998	1.751	2.807	3.997	3.773	-0.113	-0.102	0.152	0.075	0.118	-0.441	-0.401	-0.672	0.103	-0.205	0.22	0.406	-0.315	-1.526	-0.349	-2.269	-0.779	-0.647	0.672
"YJL111W"	0.091	0.521	0.43	0.527	-0.465	-1.744	-1.717	-1.285	-1.375	-1.323	-3.38	-6.57	-1.929	-1.669	-1.796	-1.988	-0.122	0.151	-1.812	-1.403	-1.213	-1.305	-1.573	-1.994	-2.239	0.203	0.034	0.046	0.468	0.364	0.041	0.1385	-0.819	-0.83	-0.65	0.556	-1.728	0.077	-2.75	-2.343	-1.829	-2.027	-2.019	-0.964
"YJR007W"	0.331	0.477	0.256	0.742	-0.795	-2.169	-1.704	-2.107	-1.68	-2.662	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	-0.344	0.416	-1.755	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	0.148	-0.342	0.286	0.14	0.09	-0.507	0.099	-0.727	-0.678	-0.579	0.055	-1.685	0.089	-2.064	-2.16	-1.742	-1.44	-1.636	-1.386
"YJR076C"	0.332	-0.206	-0.002	0.242	-0.694	-0.317	-1.057	-0.896	-1.242	-1.448	-2.55	-4.614	-0.883	-0.388	-1.375	0.846	-0.151	0.175	-0.818	-0.547	-0.839	-0.776	-1.815	-2.814	-3.117	0.024	0.232	0.047	-0.015	0.012	-0.786	0.028	0.165	0.038	-0.046	0.166	-1.327	0.274	-0.773	-0.406	-0.346	-0.541	-1.144	-1.817
"YJR143C"	0.63	-0.047	-0.205	0.657	-0.375	-1.748	-1.012	-1.648	-1.487	-1.713	-4.675	-5.523	-2.151	-2.716	-2.573	-3.031	-0.335	0.354	-1.799	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	0.242	0.045	NaN	0.303	0.224	0.059	0.2165	-1.07	-0.701	-1.016	0.108	-1.896	0.682	-1.722	-1.351	-1.32	-1.52	-1.322	-2.698
"YKL057C"	-0.233	0.011	-0.143	0.106	-0.208	-0.863	-0.583	-0.509	-0.361	-0.944	-2.185	-3.042	0.11	-1.104	-0.658	-1.514	-0.097	0.153	-0.726	-0.758	-0.87	-1.246	-2.406	-2.666	-2.892	-0.425	-0.173	0.089	0.046	0.118	-0.004	-0.0605	-0.311	0.202	0.037	0.004	-0.117	-0.12	-1.525	-1.192	-0.977	-1.348	-0.88	-1.686
"YKL064W"	0.063	-0.266	0.061	-0.272	0.628	1.385	0.893	0.571	1.432	1.627	2.15	1.25	1.69	1.532	1.199	0.919	-0.135	0.403	1.399	0.981	1.674	1.789	1.821	1.291	1.302	-0.077	0.409	-0.083	-0.221	-0.307	0.269	0.13	0.678	0.555	0.966	0.026	1.024	-0.443	1.802	1.467	2.437	2.031	1.342	1.485
"YKL073W"	0.003	-0.26	0.004	-0.087	-0.462	-1.767	-1.697	-0.85	-0.732	-0.623	-2.672	-3.282	-1.348	-1.282	-1.264	-1.963	-0.082	0.281	-1.805	-0.99	-0.985	-1.089	-2.148	-2.623	-3.195	-0.071	-0.012	-0.296	0.365	0.339	0.231	0.183	-0.714	-0.61	-0.281	0.428	-0.838	-0.593	-2.546	-1.74	-1.835	-1.673	-1.506	-1.478
"YKR084C"	0.146	0.201	-0.042	0.086	0.187	-0.7	-0.719	-0.631	-0.785	-1.131	-2.455	-3.0	-0.691	-0.595	-0.683	-1.442	-0.038	0.273	-0.679	-0.587	-0.362	-0.256	-1.177	-2.183	-1.971	0.159	0.159	-0.074	-0.339	-0.356	0.121	0.148	0.254	-0.191	0.173	0.151	-0.614	0.082	-0.409	-0.71	-0.11	-0.088	-0.368	-0.577
"YLR060W"	0.105	0.602	-0.081	0.614	-0.984	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-0.373	0.369	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	0.292	-0.334	0.199	0.224	0.185	0.076	-1.345	-0.7	-1.106	0.285	-2.464	-0.058	-2.734	-2.666	-2.64	-2.996	-2.646	-3.346
"YLR084C"	-0.176	-0.567	0.025	0.376	NaN	-1.276	-0.878	-1.246	-2.131	-1.153	-3.113	-3.637	-0.801	-0.488	-1.141	-1.22	-0.17	-0.077	-0.678	NaN	-1.138	-1.616	NaN	0.71	3.907	-0.208	0.306	0.285	0.367	0.382	-0.19	-0.012	-1.243	-0.914	-0.866	-0.061	-0.243	0.058	-2.293	-2.127	-2.067	-2.201	-1.204	-2.582
"YLR208W"	-0.242	-0.344	0.298	0.588	-0.686	-0.669	-1.031	-0.814	-1.266	NaN	-1.968	-4.432	-1.163	-0.959	-1.568	-2.018	0.106	0.127	-1.032	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	-0.254	0.138	0.02	-0.029	-0.033	0.132	0.063	-0.453	-0.401	-0.452	-0.011	-1.044	0.101	-0.742	-0.841	-0.748	-1.02	-0.821	-1.229
"YLR293C"	0.603	0.836	-0.044	0.877	-0.364	-3.594	-2.185	-2.565	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.661	0.122	0.559	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	0.203	0.584	0.315	0.32	-0.569	0.168	-0.606	-0.473	-0.62	0.475	-2.235	0.406	-3.113	-2.525	-2.822	-2.422	-1.899	-2.582
"YML074C"	0.255	0.123	0.16	-0.024	-0.138	-2.476	-2.119	-1.538	-0.951	-2.161	-2.837	-5.319	-1.258	-1.23	-1.664	-0.962	-0.311	0.323	-1.88	-0.727	-1.207	-1.673	-2.826	-3.214	-3.466	0.234	-0.136	-0.252	0.335	0.143	-0.021	0.124	-0.293	0.638	0.224	-0.25	-1.767	-0.205	-1.353	-1.494	-1.384	-1.274	-1.659	-1.561
"YMR003W"	-0.061	0.074	0.093	0.334	-0.067	-0.413	-0.358	-0.219	-1.873	-0.72	-2.125	-5.75	-0.551	-0.666	-0.278	-1.564	0.3	0.041	-0.49	-0.418	-1.273	-1.383	-1.054	-1.071	-0.791	-0.206	0.013	-0.244	-0.068	0.067	0.175	0.012	-0.386	0.094	-0.425	0.05	0.372	0.013	-1.199	-0.969	-1.566	-0.927	-0.664	-1.186
"YMR114C"	-0.395	-0.582	0.14	-0.848	0.184	2.727	2.543	3.029	2.847	2.327	4.1	4.572	2.095	2.582	2.58	2.319	0.289	-0.269	1.821	1.024	2.032	2.343	3.614	3.555	3.502	0.0	-0.175	-0.238	-0.413	-0.057	-0.13	-0.008	1.179	0.811	1.037	0.106	1.879	0.125	2.623	2.896	2.454	2.753	2.047	2.229
"YMR235C"	0.114	0.61	0.266	0.731	-0.233	-1.54	-1.45	-1.493	-1.783	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	0.136	0.175	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.037	0.157	0.183	0.165	0.111	0.076	-0.11	-0.515	-0.313	-0.422	0.422	-1.782	0.123	-1.798	-1.514	-1.982	-1.573	-1.264	-1.301
"YMR247C"	-0.276	-0.006	-0.1465	-0.554	0.1485	-1.184	-0.471	-0.257	-0.548	-0.227	-1.4055	-2.271	-0.701	-0.339	-0.286	-1.2405	-0.066	-0.23	-1.0935	-0.8245	-1.069	-1.032	-2.104	-2.2935	-2.7345	-0.352	0.083	0.119	0.062	0.1845	-0.032	0.0395	0.1925	0.022	0.257	-0.022	-0.0393333333333333	-0.127	-1.134	-0.541	-0.761	-0.704	-0.51	-0.845
"YMR296C"	-0.037	0.165	-0.08	0.479	-0.26	-1.814	-1.483	-1.33	-0.41	-0.998	-2.027	-4.409	-1.248	-1.495	-0.376	-0.655	0.03	-0.102	-1.213	-0.824	-1.069	-1.321	-0.743	-1.716	-0.468	0.358	0.158	0.284	-0.154	-0.095	-0.065	-0.685	0.403	-0.27	-0.168	0.286	-1.6285	-0.057	-3.537	-2.751	-2.304	-2.26	-2.151	-2.535
"YNL189W"	0.095	0.065	0.045	0.315	-0.285	-0.717	-0.61	-0.902	-1.084	-1.349	-2.367	-4.06	-0.86	-0.875	-1.183	-1.19	0.05	0.111	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.042	0.015	0.103	0.097	0.057	0.093	-0.06	-0.465	-0.727	-0.522	0.083	-1.6445	-0.039	-0.591	-0.016	-0.494	-0.868	-0.664	-1.254
"YNL235C"	-0.248	0.383	-0.19	-0.434	-0.145	-0.819	-0.639	-0.503	0.209	-0.381	-1.155	-3.321	-0.783	-0.38	-0.415	-0.844	-0.159	0.087	-1.092	-0.744	-0.714	-0.669	-2.224	-2.601	-2.532	-0.2	0.087	0.038	-0.046	-0.015	-0.009	0.012	-0.035	-0.709	0.063	-0.039	-0.5945	-0.213	-0.363	-0.636	-0.304	-1.867	-0.88	-1.802
"YNR043W"	0.334	0.241	-0.271	0.308	-0.385	-3.5005	-1.8155	-1.574	-1.86	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	0.098	0.1	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.223	0.26	0.046	0.55	0.51	-0.385	0.057	-0.219	-0.026	-0.519	-0.11	-1.878	0.258	-1.759	-1.955	-2.193	-1.673	-1.696	-2.285
"YOR164C"	-0.036	0.067	-0.18	0.294	0.121	-0.523	-0.4595	-0.568	-0.779	-0.894	-2.555	-4.0095	-0.8525	-0.972	-1.1575	0.5865	-0.107	0.201	-0.15	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	-0.263	0.084	0.183	0.102	-0.045	0.312	0.001	-0.118	0.062	-0.285	0.076	-0.949	0.328	0.01	-0.228	-0.256	-0.217	-0.109	-1.35
"YOR198C"	0.033	0.392	0.386	0.516	-0.433	-1.0295	-1.107	-1.3675	-1.6725	-1.933	-4.452	-5.562	-0.8245	-1.185	-1.262	-0.9675	0.004	0.474	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.067	0.248	-0.206	0.329	0.312	0.126	0.182	0.201	-0.42	-0.123	-0.068	-2.297	-0.149	-2.009	-2.131	-1.499	-1.557	-2.015	-2.312
"YOR281C"	0.134	-0.122	0.222	0.483	-0.343	-0.6105	-1.026	-1.146	-0.8725	-1.02	-2.3545	-2.4825	-0.622	-0.737	-1.0995	-1.0595	0.176	0.149	-1.732	-1.155	-1.256	-1.893	-2.557	-2.663	-2.572	-0.132	-0.106	-0.026	0.025	0.064	-0.138	0.094	-0.269	-0.157	-0.296	-0.248	-1.456	0.091	-1.571	-1.438	-1.118	-1.488	-1.169	-1.568
"YOR323C"	0.053	0.061	-0.566	0.361	0.267	-2.5575	-1.7105	-1.757	-1.941	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-2.053	-0.492	0.434	-1.211	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.024	0.39	-0.146	0.269	-0.003	0.071	0.227	-0.803	-0.707	-1.114	0.238	-1.603	0.142	-2.366	-2.03	-1.927	-1.64	-1.589	-1.584
"YOR326W"	0.333	-0.353	-0.228	-0.016	-0.187	-2.4275	-1.798	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.9335	0.382	-0.045	-2.219	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.544	0.235	-0.07	0.422	0.556	0.198	0.205	-0.733	0.297	0.027	-0.003	-1.467	0.02	-1.109	-1.568	-1.296	-1.215	-0.751	-1.621
"YPL037C"	0.492	0.809	0.303	0.69	-0.982	-2.6595	-2.081	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.96	-0.112	0.305	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.064	0.105	0.387	0.319	0.234	0.146	0.237	-1.391	-0.522	-1.135	0.473	-1.648	0.499	-2.236	-1.607	-1.437	-1.831	-1.289	-0.859
"YPL145C"	0.457	0.29	0.127	0.2	-0.336	-1.06	-0.7755	-1.104	-0.775	-0.5885	-1.659	-4.3865	-0.9245	-0.739	-1.177	-0.903	-0.078	0.167	-1.291	-0.778	-0.903	-0.913	-2.014	-2.71	-3.192	0.064	-0.159	0.2	-0.049	-0.082	-0.762	0.167	-0.405	-0.259	-0.209	0.115	-0.878	-0.408	-2.149	-1.98	-1.44	-1.949	-1.357	-1.013
"YPL243W"	0.206	0.091	0.461	0.515	-0.417	-1.27	-1.434	-1.109	-1.456	-1.5805	-4.1455	-5.276	-1.0	-1.0065	-1.315	-1.5105	-0.39	0.006	-1.931	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.108	-0.321	-0.0735	0.074	-0.001	-0.092	0.174	-0.621	-0.304	-0.322	0.321	-1.188	0.019	-1.274	-1.14	-1.424	-1.503	-1.355	-1.773
"YPL256C"	0.061	0.462	0.007	0.7005	-0.737	-2.5575	-0.462	-0.42	-1.071	-0.7235	-2.0795	-3.624	-1.276	-1.8365	-1.9295	-1.575	0.326	0.255	-1.29	-0.863	-1.548	-2.197	-1.257	-2.045	-2.444	0.889	-0.406	-0.1715	0.087	-0.026	0.198	-0.517	-0.233	-1.016	-0.832	-0.011	-0.937	0.273	-1.776	-1.1975	-2.28	-1.733	-1.0385	-2.209
"YPR033C"	0.049	0.453	-0.059	0.6725	-0.901	-2.7945	-1.8465	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	-0.099	0.345	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.095	0.2	-0.375	0.458	0.431	0.312	0.242	-1.74	-0.843	-1.18	0.024	-2.107	0.003	-2.1325	-2.033	-2.0305	-1.9695	-1.4105	-2.053
"YPR073C"	-0.057	0.055	0.0935	-0.0235	0.032	0.185	0.112	-0.168	-0.621	-0.072	-2.26	-3.8865	0.15	0.1475	-0.4335	-0.4515	0.319	0.094	-0.852	-0.564	-0.766	-0.945	-2.444	-2.384	-2.0	-0.078	0.228	-0.1135	-0.085	-0.001	-0.015	-0.196	-0.054	0.229	-0.012	-0.041	-0.54	-0.091	-0.943	-0.545	-0.579	-0.241	-0.298	-1.171
"YPR080W"	0.586	0.824	0.0165	0.8085	-0.638	-2.0535	-1.906	-1.6075	-1.771	-2.584	-2.848	-5.6305	-2.094	-2.144	-2.5835	-2.8585	-0.153	0.596	-2.241	-0.95	-1.197	-1.321	-1.689	-2.389	-3.139	0.099	0.536	0.5915	0.22	0.334	-0.599	0.408	-1.067	-0.6	-0.995	0.472	-1.681	0.583	-1.584	-1.319	-2.31	-1.719	-1.872	-2.163
"YPR105C"	-0.007	-0.251	-0.0995	-0.2815	0.361	-0.8605	-0.7425	-0.542	-0.682	-0.339	-1.602	-2.389	-0.16	-0.2095	-0.4855	-2.165	-0.142	0.12	-1.268	-0.795	-0.865	-0.96	-1.491	-1.308	2.503	-0.104	-0.048	-0.115	0.087	0.161	-0.079	0.123	0.166	0.222	0.545	-0.004	-0.695	0.103	-0.541	-0.751	-0.573	-1.218	-0.917	-1.3
"YPR108W"	-0.013	-0.327	0.2	-0.2	0.138	-0.3455	-0.8255	-0.878	-1.293	-0.8	-2.0125	-4.645	-0.2	-1.1295	-1.428	-1.6305	-0.129	0.146	-0.919	-0.783	-0.763	-1.136	-2.383	-3.07	-2.669	-0.168	-0.009	-0.3365	0.028	0.113	0.198	0.494	-0.12	-0.513	-0.182	0.362	-1.062	-0.196	-0.632	-0.553	-0.294	-1.063	-0.587	-0.618
