	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1250.mec1_plus_gamma_10_min"	"1251.mec1_plus_gamma_20_min"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"4783.29C to 33C -30 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"7763.Na+FK 30min"	"11466.yO1 test hyb"	"11827.Pomona College Bio164: WT/dna2-1"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YDR454C"	-0.541	-1.398	-1.267	-0.469	-0.938	-1.715	-1.528	-2.876	-4.275	-2.043	-2.035	-2.414	-2.283	-1.427	-1.608	-1.534	-1.835	-2.466	-2.28	0.058	0.036	0.094	0.079	-0.054	-0.047	-0.159	-0.524	-1.702	0.384	-1.232	-1.295	-1.888	-1.473	-0.606	-0.847	-0.95	-0.349	-0.721	-0.46	-0.631	-0.811	-0.781	-1.51	-1.067	-0.933	-1.127	-0.706	-0.578	-0.734	-1.125	-1.123	-1.226	-1.388	-0.6	-0.749	-0.804	-1.101
"YEL040W"	-2.322	-3.201	-3.812	-3.508	-3.911	-4.238	-3.616	-3.786	-4.551	-2.739	-2.682	-3.347	-3.816	-3.017	-4.461	-3.561	-3.111	-3.855	-3.066	-0.464	-0.463	-0.029	0.121	0.119	0.426	0.266	-1.415	-3.1215	-0.0985	-3.956	-2.468	-3.182	-4.01	-0.9545	-0.535	-1.101	-1.179	-1.7445	-1.231	-0.6295	-2.08	-1.5345	-2.646	-2.15	-2.439	-2.048	-2.685	-2.371	-1.841	-3.262	-2.262	1.214	-2.141	-2.551	-2.611	-2.093	-2.218
"YEL042W"	-0.433	-1.578	-0.84	-0.254	-0.736	-1.264	-1.261	-3.201	-4.334	-1.707	-1.439	-1.329	-1.924	-1.851	-1.705	-1.658	-1.896	-2.665	-3.071	-0.666	-0.782	-0.452	0.115	0.582	0.19	-0.035	-0.996	-1.2195	-0.3045	-1.754	-1.366	-1.753	-1.736	-0.0925	-0.0455	-0.058	-0.058	-0.9255	0.368	-0.0525	-0.705	-0.94	-1.793	-1.936	-1.842	-1.963	-0.946	-1.119	-1.005	-1.425	-0.796	-1.375	-1.497	-1.121	-1.178	-1.519	-1.3
"YER043C"	-1.172	-3.945	-1.445	-1.979	-2.553	-2.767	-3.397	-4.78	-6.476	-2.364	-1.977	-3.096	-3.18	-3.583	-3.174	-3.716	-3.31	-4.857	-4.918	-1.277	-0.743	-0.049	0.205	-0.313	-0.009	-0.399	-1.475	-1.415	-0.044	-2.015	-2.503	-2.487	-2.96	-0.123	-0.817	-0.967	-0.383	-0.36	-0.634	-0.843	-0.918	-1.444	-3.094	-2.542	-2.164	-2.202	-1.71	-1.99	-2.086	-3.464	-2.554	-0.788	-2.16	-1.329	-0.83	-1.182	-2.914
"YFL022C"	-0.627	-1.948	-1.3	-0.947	-0.707	-1.141	-1.042	-2.926	-4.867	-2.031	-1.805	-2.417	-2.244	-0.894	-1.011	-0.75	-0.494	-1.794	-1.707	-0.165	0.181	-0.093	-0.175	0.299	-0.264	-0.032	-0.419	-0.401	0.765	-0.534	-0.285	-0.534	-0.767	-0.244	0.0515	-0.664	-0.2685	-0.1785	-0.2495	-0.371	-0.404	-0.5925	-1.766	-2.026	-1.291	-1.494	-0.965	-1.422	-1.641	-1.799	-1.71	-0.473	-1.241	-0.89	-0.738	-0.555	-0.811
"YGL195W"	-0.985	-1.338	-1.0485	-1.248	-0.5865	-0.955	-1.078	-1.5115	-3.33	-1.199	-0.5565	-0.649	-1.521	-2.169	-2.0895	-2.3115	-2.4845	-2.527	-2.439	-0.054	-0.279	-0.044	0.237	0.344	-0.143	-0.1245	-0.1335	-0.5745	0.687	-1.9695	-2.7165	-2.333	-2.937	-0.460666666666667	0.048	-0.158	-0.0536666666666667	-0.285	-0.833333333333333	-0.442666666666667	0.0273333333333333	-0.303	-1.0155	-1.17	-1.1255	-1.6385	-0.6795	-0.37	-0.8815	-0.3165	-0.9105	-0.618	-1.783	-0.6495	-0.5715	-0.6345	-0.812
"YGR185C"	-0.665	-3.192	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-2.754	-2.531	-2.944	-4.576	-4.871	-5.006	0.199	0.111	0.085	0.087	0.175	0.162	0.115	-0.696	-2.438	0.818	-2.21	-2.316	-2.459	-2.363	-0.813	-0.448	-0.933	-0.618	-0.712	-0.776	-0.799	-1.209	-1.367	-3.17	-2.768	-2.136	-2.312	-2.205	-1.353	-0.914	-1.219	-0.749	-0.461	-1.402	-1.479	-1.363	-1.606	-1.71
"YGR285C"	-1.082	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-1.393	-3.556	-2.557	-2.811	-3.452	-4.07	-4.065	-0.565	-0.445	-0.17	0.248	-0.044	-0.248	0.22	-0.326	-2.068	-0.84	-2.035	-2.466	-2.483	-3.514	-0.213	-0.13	-0.242	-0.803	-0.837	-0.289	-0.69	-1.031	-1.344	-2.948	-2.607	-2.323	-2.554	-1.851	-1.008	-1.679	-2.156	-1.5	-0.763	-0.964	-0.88	-1.667	-1.135	-1.688
"YHR064C"	-1.126	-4.543	-2.196	-1.596	-1.668	-1.77	-1.712	-3.329	-5.238	-3.074	-2.229	-2.559	-0.22	-2.977	-1.754	-2.25	-2.957	-3.678	-3.675	-0.569	-0.313	0.018	0.241	-0.137	-0.042	-0.116	-0.286	-2.056	-0.312	-2.303	-1.252	-2.419	-2.332	0.255	-0.226	0.164	-0.183	-0.902	0.568	-0.383	-0.589	-1.323	-2.793	-2.097	-2.415	-2.781	-1.789	-0.992	-1.371	-1.636	-1.26	-0.808	-1.3	-0.74	-0.915	-0.972	-0.345
"YHR068W"	-1.125	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.312	-0.361	-0.146	0.036	-0.189	0.011	-0.389	-0.368	-2.29	0.208	-2.522	-2.438	-2.761	-2.475	-0.269	0.432	-0.021	-0.497	-0.574	-0.248	-0.904	-0.973	-1.013	-2.437	-2.467	-2.406	-2.362	-1.8	-2.232	-2.469	-2.43	-1.87	-0.522	-0.929	-1.514	-1.571	-1.255	-1.08
"YHR216W"	-1.585	-2.62	-2.056	-2.143	-1.201	-1.128	-2.045	-3.15	-4.943	-1.762	-2.914	-3.038	-2.589	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	-0.285	-0.192	-0.103	0.226	0.11	-0.081	-0.342	-0.846	-1.783	0.23	-3.09	-3.113	-3.341	-3.378	-0.649	0.001	-0.298	-0.485	-0.597	-0.495	-0.639	-0.846	-1.516	-2.109	-3.074	-3.001	-2.823	-2.765	-3.045	-3.04	-4.037	-3.688	-2.039	-2.437	-2.108	-2.493	-2.056	-2.291
"YJR105W"	-1.158	-2.77	-1.093	-1.685	-1.401	-1.891	-2.819	-1.424	-4.641	-2.087	-1.587	-2.56	-2.033	-1.343	-1.307	-1.709	-1.362	-1.023	-1.04	-1.153	-0.928	-0.829	-0.473	-0.119	0.0	-0.236	-0.499	-0.87	0.518	-1.158	-1.355	-1.42	-1.646	-0.048	-0.009	-0.285	-0.238	0.055	-0.085	-0.319	-0.476	-0.759	-2.371	-1.138	-2.447	-1.661	-1.64	-0.528	-0.778	-1.44	-1.884	-0.998	-2.414	-1.917	-1.263	-0.503	-1.642
"YKL081W"	-0.807	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-5.155	-3.28	-3.157	-3.837	-3.37	-3.635	-3.222	-3.654	-2.997	-2.811	-3.497	-1.008	-0.775	-0.386	-0.395	-0.448	-0.212	-0.763	-0.61	-2.502	-0.75	-3.391	-3.581	-3.709	-3.833	-0.684	0.145	-0.289	-0.667	-0.603	-0.823	-0.833	-1.001	-1.24	-3.076	-3.449	-3.386	-3.054	-2.989	-1.568	-1.84	-2.812	-2.654	-3.086	-3.996	-2.135	-2.065	-2.093	-2.305
"YLR060W"	-1.157	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-5.967	-2.093	-1.988	-2.672	-2.566	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	0.007	0.255	0.159	0.235	0.126	0.144	0.137	-0.7	-2.464	-0.349	-1.72	-1.77	-1.452	-2.018	-1.071	0.051	-0.518	-0.692	-1.031	-1.027	-1.01	-1.192	-2.101	-2.734	-2.666	-2.64	-2.996	-2.646	-1.952	-1.591	-2.55	-2.175	-2.239	-3.341	-2.049	-1.932	-1.31	-1.459
"YLR083C"	-0.926	-3.703	-2.067	-1.922	-1.598	-2.021	-2.216	-3.767	-5.137	-2.718	-2.103	-0.41	-0.858	-3.208	-2.031	-2.545	-2.29	-3.88	-3.36	-1.045	-0.921	-0.451	-0.043	-0.128	0.128	-0.428	-1.282	-2.297	-0.202	-2.339	-2.644	-3.016	-2.773	-0.578	0.164	-0.239	-0.747	-0.94	-0.697	-0.892	-1.724	-1.539	-3.186	-2.942	-3.492	-2.869	-2.182	-2.271	-1.27	-2.06	-1.209	-2.31	-3.331	-2.508	-2.533	-3.627	-1.874
"YLR249W"	-1.649	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-4.146	-6.742	-3.879	-4.141	-3.557	-3.199	-4.679	-3.131	-3.778	-3.883	-4.549	-4.992	-1.261	-0.946	-0.531	-0.111	-0.462	-0.113	-0.647	-1.838	-3.421	0.57	-2.296	-2.606	-2.316	-2.714	-0.336	-0.707	-0.866	-1.579	-1.777	-1.388	-0.988	-1.851	-2.048	-5.053	-5.102	-5.085	-4.9	-3.269	-4.088	-3.484	-4.673	-2.956	-3.591	-6.019	-3.66	-3.013	-2.463	-3.986
"YLR339C"	-1.371	-3.243	-2.951	-2.69	-2.664	-3.285	-3.76	-4.988	-6.865	-2.453	-3.194	-3.201	-2.938	-3.117	-2.647	-2.474	-2.461	-3.161	-3.973	-1.25	-1.104	-0.89	-0.492	-0.414	-0.057	-0.672	-0.972	-2.977	-0.076	-1.944	-1.986	-1.859	-2.101	-2.967	-2.522	-2.944	-2.515	-2.999	-3.142	-3.042	-3.09	-2.936	-4.034	-3.474	-3.409	-3.723	-3.161	-1.795	-2.449	-4.14	-2.773	-3.385	-5.099	-2.257	-1.828	-2.471	-2.661
"YLR340W"	-1.031	-2.59	-2.224	-2.566	-1.969	-2.963	-2.876	-4.11	-6.819	-2.128	-2.646	-3.015	-2.689	-3.499	-2.703	-2.701	-2.702	-3.206	-4.105	-0.906	-0.891	-0.515	-0.299	-0.223	-0.455	-0.591	-0.672	-2.949	-0.019	-2.564	-2.074	-2.033	-1.997	-2.792	-2.712	-2.563	-3.069	-2.855	-3.157	-2.974	-3.0	-2.494	-4.14	-3.346	-3.405	-3.289	-2.708	-1.809	-2.351	-3.888	-2.955	-4.008	-3.143	-2.214	-1.442	-2.094	-1.934
"YLR342W"	-0.556	-1.693	-0.732	-0.704	-0.653	-1.337	-0.497	-0.873	-2.686	-1.462	-1.154	-1.198	-2.412	-1.594	-1.693	-1.367	-1.208	-0.933	-1.564	-0.648	-0.716	-0.279	0.295	0.711	-0.037	0.235	-0.251	-0.569	0.441	-1.92	-2.001	-2.139	-2.319	-0.422	0.203	-0.425	-0.102	-0.456	-0.846	-0.673	-0.387	0.045	-2.101	-1.7595	-1.2085	-1.453	-1.114	-0.3815	-1.2115	-2.069	-1.573	-0.789	-2.566	-1.538	-1.597	-1.226	-1.758
"YLR432W"	-1.179	-2.58	-2.16	-2.424	-1.536	-1.818	-2.129	-3.532	-5.65	-2.412	-2.49	-3.15	-3.001	-2.585	-1.997	-2.641	-1.934	-2.482	-3.034	-0.422	-0.392	-0.188	-0.057	-0.196	-0.117	-0.445	-0.98	-1.904	0.539	-3.131	-2.829	-3.119	-3.352	-0.517	-0.045	-0.285	-0.437	-0.538	-0.715	-0.677	-0.778	-1.015	-3.491	-3.179	-3.412	-2.927	-2.885	-3.235	-3.212	-4.39	-3.848	-2.698	-3.534	-1.678	-2.053	-1.487	-1.733
"YML106W"	-0.407	-1.425	-0.881	-0.346	-0.774	-0.903	-0.968	-2.297	-3.649	-1.636	-1.809	-2.071	-1.349	-1.366	-1.501	-1.583	-1.423	-1.467	-1.771	-0.278	-0.212	0.307	0.361	-0.14	0.457	-0.217	-0.831	-0.025	1.082	-1.514	-1.191	-1.624	-1.551	-0.462	0.521	0.071	-0.451	-0.851	-0.873	-0.731	-0.227	-1.058	-0.595	-1.195	-1.776	-1.609	-1.515	-0.824	-1.024	-1.996	-1.765	-2.5	-1.916	-1.878	-2.245	-2.508	-2.265
"YMR116C"	-1.829	-3.012	-3.687	-4.292	-3.142	-3.089	-3.798	-4.551	-6.865	-2.937	-3.905	-3.535	-3.312	-3.586	-2.851	-2.888	-2.906	-3.561	-4.003	-1.408	-1.199	-0.663	-0.217	-0.275	NaN	-0.664	-1.023	-2.539	0.757	-4.062	-2.741	-3.086	-3.078	-2.861	-3.172	-3.127	-3.479	-2.634	-2.909	-3.321	-3.212	-2.85	-3.221	-3.026	-3.169	-3.586	-2.54	-1.73	-2.213	-3.894	-3.433	-4.977	-4.695	-2.696	-2.663	-2.268	-2.396
"YMR235C"	-1.348	-1.54	-1.45	-1.143	-1.493	-1.783	-1.785	-3.534	-5.187	-1.622	-1.883	-1.879	-2.052	-1.679	-2.046	-2.046	-2.838	-3.21	-3.756	0.04	0.141	0.274	0.298	-0.02	-0.084	-0.068	-0.313	-1.782	-0.277	-1.955	-1.504	-1.586	-1.878	-0.57	-0.1	-0.406	-0.414	-0.18	-0.408	-0.475	-0.676	-0.677	-1.798	-1.514	-1.982	-1.573	-1.264	-0.752	-0.687	-0.866	-0.608	-1.258	-1.852	-1.126	-1.068	-0.878	-1.297
"YMR307W"	-0.587	-2.669	-1.341	-0.597	-1.909	-3.74	-1.803	-5.132	-5.877	-2.484	-2.482	-3.284	-3.878	-3.55	-2.493	-3.39	-4.432	-5.016	-4.56	-1.251	-0.992	-0.436	-0.233	-0.161	-0.13	-0.406	-1.85	-3.1665	-0.1505	-3.414	-3.754	-3.788	-4.475	-2.119	-1.712	-1.807	-1.713	-2.358	-2.448	-2.436	-1.697	-1.862	-4.574	-3.18	-2.866	-2.995	-1.549	-0.995	-1.776	-2.72	-2.29	-2.455	-4.115	-4.513	-4.259	-2.398	-3.634
"YNL087W"	-0.561	-1.855	-1.557	-0.896	-1.321	-1.548	-1.447	-1.605	-3.407	-1.34	-1.25	-1.432	-1.023	-1.992	-2.327	-1.937	-1.983	-2.611	-2.819	-0.121	-0.066	0.368	0.601	-0.143	0.405	-0.442	-0.022	-1.579	-0.5765	-1.381	-0.519	-1.171	-1.319	-0.936	0.469	-0.161	-0.188	-0.263	-0.899	-0.519	-0.69	-0.474	-0.355	-1.584	-0.93	-0.968	-1.301	-0.464	-0.552	-1.078	-1.052	-1.088	-1.292	-1.443	-1.606	-2.084	-1.986
"YNL247W"	-0.432	-2.799	-1.535	-1.024	-1.064	-1.822	-1.928	-3.191	-4.64	-2.34	-2.065	-2.13	-2.019	-2.936	-1.899	-2.277	-2.658	-3.388	-2.515	0.004	0.218	0.128	-0.014	0.195	0.118	0.44	-0.223	-1.655	-0.11	-1.822	-2.534	-2.379	-3.057	-0.626	0.416	-0.38	-0.069	-0.796	-0.722	-0.63	-0.232	-0.405	-3.771	-2.246	-2.994	-2.147	-1.583	-1.366	-2.085	-2.507	-1.745	-1.202	-2.759	-2.157	-2.15	-1.506	-2.549
"YOR323C"	-0.775	-2.5575	-1.7105	-1.401	-1.757	-1.941	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-2.053	-1.211	-1.557	-1.382	-2.742	-3.497	-3.428	-0.06	-0.038	0.121	0.251	0.142	0.018	0.327	-0.707	-1.603	0.085	-1.289	-1.133	-0.748	-0.939	0.324	-0.147	0.586	-0.286	-1.136	-0.558	-0.032	-1.346	-1.381	-2.366	-2.03	-1.927	-1.64	-1.589	-0.558	-0.555	-0.626	-0.144	0.031	-1.966	-1.845	-1.331	-0.795	-1.383
"YOR326W"	-0.926	-2.4275	-1.798	-0.945	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.9335	-2.219	-1.82	-2.099	-3.585	-3.591	-2.795	0.457	0.39	0.307	0.134	0.898	0.215	0.438	0.297	-1.467	0.157	-1.606	-1.497	-1.522	-1.655	-0.009	0.107	-0.096	-1.647	0.106	0.034	-0.479	-0.463	-0.873	-1.109	-1.568	-1.296	-1.215	-0.751	-0.439	-0.961	-0.629	-0.727	-1.301	-0.845	-0.82	-0.704	-1.506	-0.917
