	"49.Elutriation2:Sample2:Time0.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"8210.steady state 33 dec C"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"18434.2mM MD 100min"
"YGL135W"	-0.125	1.101	0.43	-1.047	-1.72	-0.02	-1.323	-1.448	-1.169	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-3.23	-3.119	-2.071	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-0.142	-0.293	-0.198	-0.692	-0.211	0.718	0.551	0.488	-2.371
"YGL192W"	0.432	-0.087	-0.006	0.512	-0.094	0.125	-0.036	0.0	-0.105	2.077	1.847	2.102	1.774	1.845	2.403	3.302	2.778	0.543	1.135	-0.882	1.691	1.824	2.073	3.832	4.675	3.934	-0.126	-0.051	-0.092	-0.175	0.155	0.025	0.078	0.171	1.6785
"YGR027C"	-0.327	1.017	0.858	-0.583	-1.469	0.049	-0.659	-0.848	-0.668	-3.433	-2.572	-1.843	-1.632	-1.57	-1.697	-2.797	-5.39	-2.616	-2.612	-2.307	-1.612	-1.779	-1.889	-1.187	-1.867	-2.368	0.035	-0.152	0.102	-0.187	0.128	0.796	0.235	0.274	-1.587
"YGR185C"	-0.591	0.691	0.336	-0.215	-0.5725	-0.308	-0.921	-0.502	-0.797	-3.192	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-1.736	-2.6	-2.266	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.052	-0.175	0.289	-0.072	0.193	0.072	-0.002	-0.011	-0.521
"YGR201C"	1.012	-0.375	-0.93	0.631	1.276	0.66	1.272	1.488	1.144	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.68	2.97	2.896	3.228	2.842	3.597	2.109	2.914	5.103	3.769	-0.151	0.523	0.165	0.837	0.102	-0.588	-0.859	-0.622	1.8985
"YHR128W"	-0.792	0.833	0.683	-1.047	-0.9425	-0.214	-1.043	-0.605	-0.538	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-6.006	-3.988	-3.361	-3.012	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	-0.287	-0.449	-0.305	-0.661	-0.115	0.916	0.27	0.315	-1.736
"YHR141C"	-0.315	1.451	0.967	-0.903	-0.9915	-0.085	-0.968	-1.051	-0.767	-2.32	-2.364	-2.143	-1.635	-1.491	-1.631	-2.472	-3.64	-2.677	-2.575	-1.44	-1.591	-1.753	-1.569	-1.819	-1.838	-2.014	-0.685	-0.058	0.207	-0.13	0.18	0.868	0.449	0.391	-1.209
"YHR203C"	-0.72	1.011	0.884	-0.834	-1.815	-0.001	-1.393	-1.236	-1.061	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-3.774	-3.412	-3.049	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.172	-0.362	0.017	-0.39	-0.14	0.651	0.073	0.156	-1.5545
"YIL018W"	-0.608	1.177	1.056	-1.381	-1.7325	-0.465	-1.216	-1.193	-0.959	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-3.505	-3.056	-3.151	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.036	-0.418	-0.079	-0.619	0.179	0.579	0.22	0.186	-1.2065
"YIL024C"	-0.033	-0.367	0.23	0.18	0.019	-0.011	0.053	0.163	0.18	1.752	1.466	2.328	1.159	2.847	3.318	3.515	-0.016	1.716	2.096	2.065	1.286	1.751	2.664	-0.517	2.102	1.195	-0.115	-0.117	0.013	-0.414	-0.272	0.111	0.478	0.378	0.2605
"YIL078W"	-0.482	0.771	0.648	-0.437	-1.347	-0.192	-1.162	-0.997	-0.935	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.288	-2.5	-2.462	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.181	-0.45	0.127	-0.212	0.108	0.344	0.305	0.336	-0.0135
"YIL120W"	-0.068	-0.226	-0.528	0.349	-0.008	0.046	0.33	0.669	0.496	1.649	1.536	1.395	1.32	1.525	1.822	4.578	0.924	0.799	1.319	1.289	1.293	0.996	2.065	0.518	3.061	2.677	-0.221	0.258	0.175	0.119	0.233	-0.041	0.125	-0.043	0.24
"YIL146C"	0.261	0.007	-0.123	0.317	0.0065	-0.053	-0.074	-0.163	-0.211	2.334	2.196	2.111	2.234	2.539	2.94	3.637	2.194	0.997	1.658	1.857	1.867	2.177	2.693	3.595	3.491	2.947	-0.293	0.049	-0.392	-0.215	-0.271	-0.265	-0.583	-0.309	0.822
"YJL014W"	-0.19	0.557	0.495	-0.386	-0.1915	0.084	0.153	0.321	0.179	-1.884	-1.661	-1.298	-1.283	-1.494	-1.383	-2.624	-3.962	-1.866	-1.425	-1.317	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	-0.171	-0.262	-0.153	-0.075	-0.014	0.084	-0.03	-0.093	0.383
