	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YPL063W"	-1.226	-3.318	-0.715	-1.272	0.273	1.882
"YPL066W"	-1.628	-2.461	-0.851	-1.407	0.15	0.663
"YPL079W"	-3.892	-6.4765	-3.015	-3.498	-0.088	1.717
"YPL094C"	-3.0415	-5.3055	-2.024	-2.284	0.532	0.646
"YPL106C"	-2.219	-4.546	-3.281	-3.825	0.904	0.03
"YPL142C"	-3.5865	-5.604	-2.148	-2.632	0.55	0.478
"YPL145C"	-1.659	-4.3865	-2.014	-2.71	0.734	1.524
"YPL178W"	-2.0395	-3.2495	-1.535	-1.511	-0.006	-0.412
"YPL227C"	-4.7425	-5.218	-2.071	-2.143	0.47	0.023
"YPL237W"	-2.875	-5.7585	-2.006	-2.44	-0.062	1.209
"YPL238C"	-2.431	-4.788	-1.843	-2.517	0.547	-0.653
"YPL243W"	-4.1455	-5.276	-2.602	-3.541	-0.041	NaN
"YPL244C"	-2.5495	-3.0545	-1.204	-1.807	-0.419	0.465
"YPR028W"	-1.693	-3.43	-0.68	-0.812	-0.032	2.041
"YPR128C"	-2.617	-3.863	-1.326	-1.847	0.096	NaN
"YPR132W"	-3.1925	-5.805	-1.968	-2.388	0.167	0.284
"YPR144C"	-3.129	-4.2065	-1.687	-2.51	-0.08	0.43
"YPR169W"	-1.3815	-3.2805	-1.098	-1.492	0.049	1.506
