	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30463.Pomona/Brown pol2-12 red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YCR055C"	-0.9775	-6.518	-3.193	-3.059	-2.704	-1.766	-1.97	-3.878	-2.1	-3.796	-3.655	-2.132	-2.311	-2.6155	-1.6915	-1.403	-1.6	-2.2405	-3.105	-2.4225	0.0415	-0.2185	-0.0775	-0.132	-0.1935	-1.703	0.337	0.616	-0.098	0.213	-0.201	-0.297	-0.375	-0.463	0.262	-0.296	-0.602	-0.41	0.306	NaN	NaN	NaN	NaN
"YDL051W"	-0.722	-3.639	-2.402	-2.024	-1.821	-1.668	-2.07	-2.856	-1.571	-2.198	-1.985	-2.131	-2.317	-2.973	-2.013	-1.892	-1.804	-1.557	-2.325	-2.819	0.163	-0.102	-0.085	-0.159	-0.231	-1.28	0.908	0.892	0.407	0.666	0.319	-0.297	-0.033	-0.376	-0.577	-0.406	-0.829	-0.492	0.484	-0.568	-0.64	-3.192	-1.733
"YDL149W"	0.431	1.908	1.85	1.873	1.827	2.204	2.038	2.522	1.04	0.957	1.468	1.141	0.883	1.332	1.22	1.795	1.823	2.075	2.275	1.854	-0.122	0.188	0.211	0.24	0.21	1.866	-0.239	-0.092	-0.501	-0.613	-0.016	-0.001	0.076	0.136	-0.307	0.099	0.059	-0.009	-0.062	0.594	0.288	0.9515	0.8265
"YDL167C"	-0.957	-4.321	-2.565	-2.731	-2.613	-1.813	-2.3	-3.033	-2.513	-3.298	-2.094	-1.281	-1.577	-3.084	-1.901	-1.572	-2.172	-2.176	-2.332	-2.095	0.105	0.041	0.122	-0.017	-0.111	-1.335	0.444	0.464	-0.18	-0.04	-0.743	-1.137	-0.514	-0.905	-0.783	-0.86	-0.854	-0.778	0.368	-0.263	-0.829	-3.364	-2.649
"YDL181W"	1.258	3.242	4.01	3.18	3.522	2.531	2.078	0.515	1.803	1.454	1.885	1.926	1.82	1.105	0.95	1.15	1.275	2.199	2.115	1.918	0.09	-0.929	-0.815	-0.653	-0.8	2.502	-0.191	0.069	-0.324	-0.439	0.225	0.411	0.2	0.27	0.234	0.325	0.105	0.418	0.343	0.855	-0.102	2.282	2.777
"YDL194W"	1.332	2.756	3.079	2.902	2.773	2.758	3.229	2.675	2.403	2.191	1.976	1.473	1.695	1.971	1.674	2.005	1.921	1.923	2.037	1.752	0.437	-0.047	0.189	0.083	0.062	1.647	-0.271	0.04	-0.088	0.057	-0.886	0.236	0.262	0.376	0.622	0.593	0.555	0.667	-0.327	-0.688	-0.574	0.057	0.41
"YDL199C"	0.737	3.613	3.263	2.856	2.72	3.28	4.082	3.316	2.531	1.984	1.955	1.594	1.354	3.993	2.022	2.729	3.114	3.13	3.12	2.061	-0.037	-0.115	-0.006	0.079	0.071	1.971	-0.087	-0.27	0.017	0.006	-0.422	0.239	0.299	0.216	0.301	-0.16	-0.464	-0.582	-0.27	0.404	0.513	3.576	2.669
"YDR083W"	-0.576	-3.47	-2.724	-1.65	-1.598	-1.881	-1.928	-2.092	-1.703	-2.697	-1.847	-0.836	-1.015	-2.436	-1.715	-1.355	-1.838	-1.676	-2.45	-2.097	0.177	0.429	0.319	0.308	0.329	-1.597	0.513	0.819	0.11	0.093	-0.521	-0.648	-0.203	-0.357	-0.374	-0.362	-0.684	-0.083	-0.553	-0.59	-1.498	-2.713	-1.403
"YDR096W"	0.25	3.784	2.911	3.051	3.058	2.906	3.751	3.511	2.071	2.127	2.135	1.735	1.58	1.85	2.169	2.377	2.916	3.613	3.341	3.088	-0.062	-0.386	-0.354	-0.405	-0.373	2.342	-0.967	-1.096	-0.168	-0.102	-0.069	0.544	0.109	0.665	0.343	0.724	0.465	-0.232	0.266	0.5095	0.7355	1.286	0.9155
"YDR161W"	-0.893	-4.61	-2.37	-2.197	-2.192	-1.24	-2.356	-2.842	-1.399	-1.842	-2.024	-0.877	-1.278	-1.951	-1.46	-1.406	-1.537	-2.298	-2.511	-2.286	0.168	0.373	0.324	0.44	0.246	-1.526	0.26	-0.138	0.173	0.341	0.024	-0.341	0.048	-0.035	-0.26	-0.032	-0.243	-0.422	-0.448	-1.099	-1.488	-2.335	-1.162
"YDR184C"	-0.245	-3.504	-1.845	-2.067	-1.607	-1.31	-1.491	-1.802	-2.09	-1.444	-1.709	-1.029	-0.741	-3.243	-1.65	-1.259	-1.431	-1.148	-2.113	-1.087	0.004	0.281	0.187	0.323	0.05	-1.3165	0.431	0.6065	0.0665	0.1775	-0.1525	-0.608	-0.507	-0.4315	-0.7575	-0.55	-0.5385	-0.3905	0.1695	0.641	0.297	-3.208	-1.663
"YDR186C"	0.605	1.26	1.194	0.964	1.784	2.355	2.025	2.123	0.308	0.61	1.061	0.276	1.062	0.498	1.094	1.442	1.343	1.726	1.874	1.701	0.127	0.252	0.453	0.488	0.755	0.684	0.004	-0.4285	0.2005	0.038	-0.0505	0.1865	0.125	-0.0565	0.0815	0.2905	-0.005	-0.1135	0.0365	-0.64	-0.601	0.372	-0.107
"YDR300C"	-0.07	-2.126	-1.055	-0.777	-0.844	-1.426	-1.012	-3.24	-1.776	-2.152	-1.395	-0.751	-1.331	-1.907	-0.879	-1.502	-1.321	-2.003	-3.096	-3.345	-0.19	0.292	0.347	0.486	0.27	-1.091	0.541	0.045	0.23	0.058	-0.278	0.622	0.609	0.062	0.986	0.439	-0.168	-0.24	-0.105	0.151	0.318	-2.895	-1.907
"YDR330W"	0.782	2.295	1.69	1.847	2.105	1.968	2.016	2.462	1.365	1.497	1.245	1.016	1.037	0.645	1.156	1.505	1.56	1.389	1.401	0.954	-0.042	0.945	0.871	0.768	0.807	1.113	-0.329	-0.801	-0.189	-0.172	-0.029	0.506	0.648	0.625	0.687	1.047	0.156	-0.232	0.045	0.333	0.971	1.569	1.451
"YDR342C"	0.861	3.886	3.122	2.595	1.476	0.858	2.454	1.591	3.571	3.734	3.392	3.129	2.881	2.692	1.766	1.989	1.374	2.124	1.868	1.29	-0.296	0.335	0.383	0.63	1.032	1.504	0.426	-0.252	0.332	0.154	-0.168	0.155	-0.048	-0.168	0.736	0.534	0.535	-0.17	0.549	0.187	1.556	6.395	5.258
"YDR398W"	-1.07	-4.143	-2.42	-2.114	-1.993	-1.694	-1.937	-2.774	-2.064	-3.069	-2.517	-1.62	-1.907	-2.112	-1.881	-1.798	-1.896	-1.285	-1.949	-2.194	0.385	0.138	0.191	0.27	-0.022	-1.998	0.467	0.467	-0.119	-0.091	-0.269	-0.512	-0.868	-0.35	0.487	-0.517	-0.686	-1.163	0.248	-0.695	-1.108	-3.061	-1.999
"YDR454C"	-0.541	-1.398	-1.267	-0.469	-0.938	-1.715	-1.528	-2.876	-1.528	-2.043	-2.035	-2.414	-2.283	-1.427	-0.963	-1.608	-1.534	-1.835	-2.466	-2.28	0.129	0.172	-0.362	-0.042	-0.168	-1.702	0.538	0.556	0.439	0.469	0.226	-0.606	-0.349	-0.721	-0.46	-0.631	-0.811	-0.781	0.475	0.365	-0.188	-0.933	-1.127
"YDR465C"	-0.183	-4.438	-3.006	-2.225	-1.892	-2.015	-1.621	-2.676	-1.28	-1.835	-1.963	-0.623	-0.896	-1.809	-1.561	-1.19	-1.551	-1.198	-2.747	-2.7	0.025	0.083	0.104	0.177	0.13	-0.852	0.658	0.719	0.444	0.311	-0.195	-1.08	-0.893	-0.731	-0.64	-0.685	-0.69	-0.748	-0.265	-0.604	-0.358	-3.552	-2.632
"YEL005C"	1.149	2.275	1.531	1.526	1.399	2.132	1.552	1.686	0.841	1.369	1.354	0.878	1.311	1.329	0.872	1.185	0.936	1.299	1.62	1.249	-0.235	0.283	0.136	0.262	0.431	0.801	0.217	0.2765	0.246	0.4065	0.604	0.264	0.6075	0.5815	0.3775	0.2155	0.483	0.4125	-0.1145	-0.11	-0.011	1.715	1.509
"YEL030W"	0.547	1.355	1.341	0.713	1.892	2.84	2.491	2.269	-0.003	0.355	0.355	0.335	0.517	0.294	0.522	1.403	1.5	1.583	1.564	0.914	0.133	-0.076	-0.196	0.005	0.21	2.227	-0.2885	-0.114	-0.5275	-0.45	0.245	-0.0605	0.4105	-0.009	-0.3815	0.2365	0.167	-0.056	0.1975	0.02	0.431	0.795	0.988
"YEL070W"	0.515	3.271	1.128	1.082	0.732	1.034	0.8	0.191	1.893	1.417	1.286	1.451	0.733	0.964	0.405	1.079	0.088	1.661	1.796	1.507	-0.109	-0.626	-0.701	-0.43	-1.421	0.387	0.0945	0.186	0.143	0.378	0.309	0.3245	0.0175	0.304	0.349	0.3415	0.4395	0.1875	0.345	NaN	0.782	3.263	1.934
"YER024W"	1.492	4.222	5.101	5.089	4.708	4.47	4.755	4.492	1.452	2.797	4.06	5.22	4.747	3.348	3.848	2.82	2.599	2.31	3.434	2.595	-0.009	-0.029	-0.199	0.137	0.064	0.933	0.268	-0.334	0.064	0.245	-0.034	-0.433	-0.351	0.022	-0.237	-0.088	-0.236	-0.428	0.023	0.88	1.04	-0.331	1.357
"YER025W"	-0.987	-3.167	-1.687	-1.57	-1.903	-1.256	-1.55	-2.274	-1.261	-2.203	-1.76	-1.79	-1.489	-2.463	-1.42	-1.739	-2.023	-1.728	-2.125	-2.385	0.0	0.312	0.224	0.087	0.153	-1.106	0.291	0.101	0.16	0.01	0.002	-0.119	-0.141	0.015	0.331	-0.123	-0.153	-0.418	0.12	-0.227	-0.373	-1.434	-1.145
"YER098W"	0.485	2.201	1.887	1.642	1.157	1.62	2.14	1.672	2.237	1.366	1.39	1.531	1.302	1.585	0.866	1.636	2.403	1.47	1.115	0.776	0.23	0.236	0.309	0.236	0.433	1.482	-0.09	0.156	-0.76	-0.909	-0.351	-0.108	-0.523	0.028	-0.252	0.221	-0.013	-0.2	0.212	0.543	0.527	1.544	1.321
"YER127W"	-0.434	-3.292	-2.064	-1.821	-1.672	-1.949	-2.155	-2.611	-2.422	-2.835	-2.486	-1.435	1.661	-1.589	1.466	-1.363	-1.279	-1.098	-2.485	-1.946	0.2	0.59	0.684	0.822	0.623	-1.479	0.4265	0.6035	-0.118	-0.0035	-0.2845	-0.551	-0.798	-0.6655	-0.999	-0.871	-1.094	-0.6915	-0.3205	-0.795	-1.458	-3.601	-3.002
"YER162C"	0.524	2.529	1.585	2.052	2.02	2.241	1.633	3.374	2.183	1.514	1.531	1.656	1.782	1.282	1.124	1.724	1.546	2.103	2.72	2.163	-0.319	0.125	0.086	0.144	-0.019	1.636	-0.235	-0.363	-0.202	-0.1155	0.2	0.2385	0.014	0.317	-0.1195	0.415	0.4715	0.381	-0.308	0.577	0.191	1.959	1.466
"YFL052W"	0.783	3.66	3.574	2.321	2.507	1.737	2.869	1.791	2.785	2.883	3.095	2.521	2.079	2.623	1.78	1.86	1.094	1.679	2.56	1.95	0.321	-0.547	-0.393	0.048	-0.041	0.3545	-0.497	0.2675	0.147	0.1215	-0.194	-0.0605	-0.196	-0.1705	0.459	0.1915	0.0015	0.0355	-0.2665	NaN	1.705	3.724	2.936
"YGL156W"	2.447	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.749	3.372	3.335	3.32	3.359	2.737	4.166	4.322	3.981	4.487	4.716	3.456	0.22	0.231	0.443	0.35	0.345	3.83	-0.846	-0.907	-0.968	-1.808	-0.024	1.565	1.091	1.173	1.7085	1.6145	1.2625	0.4685	0.292	0.1805	0.258	2.233	1.841
"YGL157W"	-2.29	-3.669	-4.154	-3.753	-4.456	-3.853	-3.767	-3.578	1.472	-1.481	-1.996	-1.999	-2.143	-1.941	-2.445	-2.738	-2.628	-2.488	-2.817	-3.666	0.279	0.279	0.343	-0.079	-0.057	-2.632	-0.033	-0.689	-0.325	-0.113	-0.233	0.505	0.7245	0.5725	0.695	0.5675	0.096	-0.1995	0.755	-0.721	-1.784	-1.056	-1.785
"YGL171W"	-0.841	-5.822	-2.949	-2.078	-1.942	-1.611	-1.839	-2.903	-1.506	-2.759	-2.384	-1.713	-1.783	-3.704	-1.8	-1.731	-1.978	-2.292	-3.082	-2.503	0.01	0.058	0.362	0.29	0.276	-1.315	0.315	0.405	-0.316	-0.049	-0.224	-0.6925	-0.509	-0.175	-0.3435	-0.2225	-0.1855	-0.0215	-0.333	-0.556	-0.38	-3.848	-2.304
"YGL177W"	0.69	0.638	1.224	1.453	1.268	3.4	4.553	5.784	0.396	0.22	2.413	1.444	1.195	0.787	0.641	2.066	3.231	3.768	3.904	1.955	-0.177	-0.212	-0.228	-0.213	-0.2	1.045	-0.208	0.274	-0.501	-0.251	-0.08	-0.121	-0.28	0.4125	0.0225	0.453	0.592	1.487	-0.174	1.362	0.298	-0.009	-0.164
"YGL180W"	1.117	2.411	1.867	2.401	2.398	2.906	2.944	4.3	1.304	1.455	1.787	1.466	1.363	2.159	2.399	2.973	3.256	2.738	2.877	2.817	0.084	0.367	0.089	0.353	-0.071	2.144	-0.519	-0.169	-0.04	0.032	-0.225	0.473	-0.2035	0.6205	0.4845	0.45	0.285	0.1185	-0.297	0.678	1.252	1.776	1.334
"YGR028W"	0.234	2.435	1.883	0.973	1.124	1.491	0.874	1.731	1.654	1.46	1.591	1.001	1.246	1.603	1.235	1.13	1.162	1.048	1.761	1.779	0.132	0.831	0.24	0.677	0.631	0.714	-0.215	-0.269	-0.3	-0.154	-0.513	-0.7495	-0.128	0.0305	-0.9	-0.41	0.028	-0.549	-0.531	0.65	0.656	1.917	1.359
"YGR046W"	0.396	1.736	1.476	1.541	1.423	2.266	1.783	2.451	1.017	1.191	1.392	1.12	0.811	2.016	1.666	1.74	1.89	2.246	2.534	1.748	0.047	-0.014	-0.069	-0.014	-0.053	1.351	-0.249	-0.584	0.278	0.43	-0.661	-0.0745	0.2505	0.2975	0.224	0.237	0.232	-0.2125	-0.257	0.268	0.45	1.407	1.753
"YGR110W"	1.155	3.059	3.408	3.575	2.845	3.106	3.427	4.541	2.006	1.881	2.242	2.425	2.361	3.976	2.805	2.625	2.566	2.578	4.305	3.146	-0.112	-0.513	-0.497	-0.585	-0.593	2.049	-0.3395	-0.574	-0.3975	-0.537	-0.1565	-0.4225	0.026	-0.03	-0.4225	-0.2515	0.045	-0.4355	-0.3015	0.515	1.313	3.213	3.774
"YGR173W"	-0.507	-3.271	-1.888	-1.436	-1.194	-1.375	-1.91	-2.218	-1.732	-2.709	-2.065	-1.747	-1.752	-1.546	-1.279	-1.36	-0.91	-1.919	-1.996	-2.168	-0.074	0.473	0.574	0.638	-0.305	-1.2535	0.7955	0.7175	0.6255	0.686	0.08	-0.252	-0.1175	-0.3275	-0.5655	-0.49	-0.5545	-0.638	-0.1895	-0.677	-0.799	-2.139	-1.259
"YGR201C"	1.412	5.046	4.249	4.063	4.377	5.158	4.49	4.974	2.246	3.062	2.97	2.896	3.228	2.855	2.842	3.597	2.109	2.914	5.103	3.769	0.31	0.078	0.064	0.653	0.556	3.357	-0.588	-0.514	-0.859	-0.622	-0.089	1.617	1.637	1.413	1.837	1.619	1.767	1.484	-0.066	0.539	1.482	2.238	1.833
"YGR290W"	-0.078	4.054	2.3	2.169	1.229	1.599	2.897	3.437	2.332	1.65	1.231	1.667	1.444	1.852	1.153	1.348	1.015	1.738	2.418	1.868	0.074	-0.655	-0.44	-0.347	-0.1	0.282	-0.099	0.353	-0.157	-0.281	0.124	-0.037	-0.466	0.017	-0.451	0.438	0.674	0.513	0.0	0.895	0.489	3.293	2.545
"YHR052W"	-0.288	-4.199	-3.017	-2.239	-2.075	-2.236	-2.282	-2.598	-2.571	-2.565	-2.428	-1.756	-1.903	-3.435	-2.249	-2.245	-2.297	-2.182	-2.764	-1.203	0.119	0.517	0.643	0.735	0.345	-1.882	0.413	0.343	0.158	0.128	0.414	-0.191	0.622	-0.425	0.413	0.72	-0.22	-0.57	-0.121	NaN	-0.613	-3.47	-2.114
"YHR066W"	-0.286	-4.885	-2.062	-1.572	-1.589	-1.438	-1.792	-3.164	-2.064	-2.974	-2.008	-1.599	-1.064	-2.742	-1.611	-1.41	-1.569	-1.879	-2.539	-1.923	0.466	0.698	0.741	0.716	0.628	-1.372	0.501	0.41	-0.231	-0.207	0.449	0.133	-0.312	-0.167	0.426	-0.11	-0.206	0.043	-0.206	-0.59	-1.489	-2.382	-1.908
"YHR128W"	-1.606	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-2.386	-3.351	-3.988	-3.361	-3.012	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	0.062	-0.376	-0.632	-0.792	-0.789	-1.769	0.916	0.596	0.27	0.315	-0.322	-0.614	0.077	0.01	-0.432	-0.85	-0.285	-0.683	-0.145	0.08	-0.213	-2.552	-2.571
"YIL045W"	1.113	4.837	3.725	3.789	4.285	5.025	4.058	4.605	2.699	2.691	2.176	2.2	2.313	4.236	3.986	4.311	4.378	4.139	3.804	2.963	-0.009	0.348	0.494	0.571	0.574	2.832	0.573	-0.268	0.154	0.261	-0.194	1.352	0.914	1.201	1.431	1.681	1.541	1.717	0.043	0.305	1.059	3.875	2.985
"YIL101C"	1.778	4.085	3.455	3.613	3.609	3.977	2.863	4.152	3.241	2.324	2.418	1.78	1.936	1.742	2.114	3.227	2.8	4.566	4.346	4.03	0.046	-0.403	-0.242	0.074	0.116	3.301	-0.624	-0.805	-0.431	-0.449	0.068	0.04	0.2	0.375	0.331	-0.065	0.381	-0.247	0.289	1.187	1.2635	2.0685	1.6855
"YIR012W"	-0.85	-4.7	-3.151	-2.338	-2.719	-2.544	-2.595	-3.791	-1.978	-2.614	-2.412	-2.137	-2.092	-1.585	-1.366	-1.684	-1.486	-1.547	-2.217	-2.528	0.194	-0.04	0.29	0.032	0.0	-1.751	0.396	0.202	-0.138	0.062	0.076	-0.869	-0.528	-0.967	-0.572	-0.672	-0.098	-0.9	-0.153	-1.118	-0.782	-3.439	-2.222
"YJL066C"	1.51	3.176	3.323	3.479	2.755	2.79	3.462	4.019	1.801	1.811	1.934	1.663	1.583	2.344	1.306	2.029	2.063	3.576	3.436	2.791	-0.228	-0.151	0.014	-0.301	0.011	2.401	-0.246	-0.4	-0.372	-0.249	0.615	0.77	0.903	0.782	0.932	1.128	0.6	0.339	0.177	1.547	1.879	4.144	3.6
"YJL069C"	-0.617	-4.742	-2.843	-2.261	-2.587	-2.233	-2.386	-3.072	-2.299	-1.49	-2.566	-2.033	-1.513	-2.694	-1.774	-1.863	-1.855	-1.613	-1.653	-2.017	-0.09	-0.075	0.328	0.193	0.027	-0.549	0.299	0.174	-0.103	0.114	0.127	-0.145	-0.052	-0.509	-0.332	-0.143	0.072	-0.142	-0.101	-1.483	-1.21	-2.354	-1.803
"YJL089W"	1.415	2.649	4.029	4.143	3.668	4.121	3.826	2.369	1.02	1.116	2.622	4.32	3.217	4.08	4.024	3.242	4.847	3.42	3.102	2.61	0.134	-0.04	0.044	0.213	0.102	2.382	-0.006	0.369	0.138	0.109	0.224	0.393	0.644	0.75	0.372	1.048	1.051	1.426	-0.536	1.247	1.602	0.1675	2.7575
"YJL103C"	0.688	3.518	3.541	3.739	3.366	3.386	3.31	4.161	2.515	1.735	2.684	2.107	1.985	3.108	2.803	2.436	3.198	3.063	3.151	2.006	-0.094	-0.126	-0.219	-0.175	0.252	0.352	-0.638	0.552	-0.318	-0.064	0.611	-0.082	0.193	0.283	-0.515	0.192	0.462	-0.122	-0.495	-0.3985	0.1	2.897	3.1435
