	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"7537.25C -- 45 min"	"7539.25C -- 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"21632..24 mM H2O2- 250 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"42050.L1CompR 15 hr 00 min Leucine Batch vs Chemostat Comparison"
"YGR086C"	1.771	1.9	2.452	1.682	0.48	-0.087	-0.286	1.347	1.766	1.876	0.954	0.483	0.856	0.89	1.422	1.128	0.746	0.517	0.021	-0.197	0.332	2.105	0.328	0.498	0.123	0.114	-0.067	1.971	1.81	1.132	0.384	1.45	1.153	2.095	0.186	0.199
"YGR111W"	1.5195	1.7315	1.826	1.748	1.1335	0.8955	0.851	1.239	1.854	1.9695	0.809	0.86	1.217	1.107	2.76	1.046	1.33	-0.035	0.061	-0.907	-0.541	1.747	0.224	0.3695	0.1845	0.133	0.2085	0.961	1.723	1.253	0.788	1.256	1.454	2.046	0.28	0.501
"YGR127W"	1.8105	2.0945	1.8015	2.0255	0.702	0.734	0.4585	1.6685	2.161	2.077	0.939	0.453	1.326	1.017	2.335	1.819	1.786	0.014	-0.1	-0.305	-0.224	2.175	0.183	-0.0105	0.1725	0.2035	-0.069	1.948	3.264	1.572	0.708	2.493	1.631	2.788	-0.012	0.694
"YHR066W"	-2.6315	-3.7505	-3.058	-3.0515	-1.2655	-0.0495	-0.0095	-2.9815	-3.762	-3.552	-2.046	-1.254	-2.473	-2.073	-4.885	-2.064	-2.974	0.045	0.466	0.698	0.291	-4.347	-1.197	-1.076	-0.531	-0.545	-1.227	-2.551	-3.068	-1.906	-1.292	-2.219	-0.845	-2.382	0.878	1.117
"YHR070W"	-2.69	-2.474	-1.293	-2.0355	-1.0875	-0.536	-0.6055	-0.7915	-2.001	-1.843	-1.262	-0.152	-1.602	-1.157	-1.932	-0.604	-1.818	0.007	0.212	0.652	0.057	-2.7915	0.089	-0.381	-0.384	-0.313	0.201	-1.039	-1.695	-1.291	0.387	-0.278	-0.247	-1.42	0.366	0.43
"YHR104W"	4.5615	4.906	4.8105	4.6215	3.5845	2.534	2.2975	4.247	4.658	4.7775	1.524	0.58	2.864	2.908	3.691	1.183	1.606	-0.152	-0.098	-2.623	-1.802	5.319	0.179	-0.017	0.122	0.102	0.099	4.201	5.002	2.775	1.678	3.432	2.93	3.963	0.345	-0.24
"YIL019W"	-2.3275	-4.4845	-3.9755	-3.631	-1.9705	-0.443	0.1555	-3.3725	-2.9215	-2.461	-1.542	-0.281	-2.869	-2.382	-2.459	-1.533	-1.613	-0.06	0.446	0.558	0.093	-3.595	-0.64	-1.476	-0.076	-0.238	0.518	-2.769	-4.534	-3.09	-1.904	-3.039	-2.073	-4.006	0.495	-1.53
"YIL079C"	-3.893	-3.9025	-2.861	-2.136	-1.2875	-0.523	-0.237	-1.946	-2.453	-2.085	-1.472	-0.184	-1.541	-1.063	-3.035	-1.836	-1.772	0.454	0.259	-0.464	-0.194	-2.469	-1.157	-1.808	-0.461	-0.133	-0.272	-2.144	-2.469	-1.411	-1.026	-1.5	-1.264	-3.364	-0.148	NaN
"YIL124W"	2.0505	2.2175	2.2635	2.189	1.106	0.917	0.8485	1.694	2.2555	2.264	1.11	1.198	1.792	1.661	3.361	0.85	1.347	-0.129	0.023	-1.734	-0.242	2.3215	0.415	0.373	0.352	0.279	0.252	1.602	1.882	1.495	1.075	2.246	1.493	2.64	-0.495	0.498
"YIR039C"	2.385	3.633	3.4175	3.2675	2.509	1.529	1.164	2.848	3.293	3.373	1.139	1.491	1.82	1.637	4.648	2.236	1.581	-0.039	0.12	-0.379	-0.617	3.736	-0.03	-0.008	0.105	-0.09	0.81	1.152	2.835	2.607	1.407	2.541	1.974	4.051	0.093	0.643
"YJR002W"	-3.138	-3.52066666666667	-0.709666666666667	-2.819	-1.96566666666667	-0.841333333333333	-0.485666666666667	-2.21066666666667	-2.34	-3.20666666666667	-2.205	-1.103	-1.834	-1.98	-2.9885	-0.875	-2.066	-0.0945	-0.0345	1.0275	0.4815	-3.31866666666667	-0.319	-0.446	-0.3915	-0.5025	-1.0885	-2.667	-3.252	-2.36	-1.269	-2.97	-1.457	-2.426	0.046	1.409
"YJR070C"	-3.0685	-4.6905	-4.6305	-4.824	-1.8185	-0.525	-0.7825	-3.895	-4.828	-4.332	-3.794	-1.881	-2.536	-2.577	-5.317	-1.83	-3.471	0.112	-0.067	0.489	0.478	-4.7655	-0.369	-0.551	-0.254	-0.39	-1.183	-2.778	-3.81	-2.429	-1.002	-4.096	-1.614	-3.754	0.158	-0.057
"YKL009W"	-3.0175	-1.833	-3.1635	-3.58	-2.2705	-1.053	-0.6675	-3.253	-4.1895	-4.13	-2.745	-1.429	-2.089	-1.69	-5.997	-2.187	-3.144	0.31	0.251	1.385	0.889	-4.4285	-0.938	-0.81	-0.498	-0.471	-0.635	-3.974	-4.247	-2.782	-1.967	-3.549	-2.199	-4.823	0.355	-0.307
"YKL035W"	4.094	2.459	4.556	4.283	1.986	1.042	0.996	2.527	1.539	2.1225	1.944	0.816	3.083	2.966	3.076	1.778	0.904	0.087	0.304	-1.674	-0.156	4.293	0.52	0.644	0.729	0.337	0.823	3.778	3.568	2.265	1.148	3.371	1.539	3.697	-0.357	-0.474
"YKL065C"	1.437	1.8295	0.993	1.748	0.9805	0.2335	0.1275	1.8165	2.421	2.16	0.934	0.469	1.55	1.602	2.829	1.684	1.777	0.1	0.296	-0.412	0.261	2.257	-0.337	-0.209	-0.491	-0.413	0.421	1.424	2.334	1.825	0.748	1.738	1.118	1.89	0.053	-0.962
"YKL067W"	1.508	1.766	2.5435	1.662	0.9475	0.8515	0.545	1.4685	2.207	1.954	0.713	0.17	1.289	1.148	2.333	1.379	1.617	0.481	0.615	-1.003	0.283	2.22	0.235	0.227	-0.14	-0.162	-0.102	1.017	1.618	0.898	1.047	2.252	1.222	3.108	-0.622	-0.294
"YKL091C"	3.351	4.009	3.776	3.851	2.35	1.209	1.116	2.683	3.567	3.623	1.543	0.925	2.351	2.383	5.27	3.109	3.432	-0.192	-0.031	-1.493	-0.901	3.699	0.241	0.284	0.363	0.208	0.288	2.005	3.205	2.553	0.921	2.597	1.576	4.146	0.191	-0.256
"YKL099C"	-2.757	-4.464	-4.014	-3.88	-1.863	-0.851	-0.266	-2.796	-3.564	-3.037	-3.158	-2.145	-2.672	-2.33	-4.145	-2.094	-2.585	0.088	0.19	0.707	0.457	-3.926	-0.966	-0.772	-0.571	-0.534	-1.339	-3.154	NaN	-2.909	-1.64	-2.722	-1.825	-3.486	-0.417	-0.161
"YKL150W"	2.809	2.913	3.192	3.05	1.553	0.969	1.177	2.55	3.068	2.915	1.401	0.461	2.049	1.842	3.989	1.844	1.457	-0.008	0.074	-0.857	0.225	2.857	0.521	0.377	0.795	0.732	0.714	1.699	2.259	1.645	0.99	2.22	1.108	4.12	-0.878	-0.258
"YKL181W"	-1.261	-2.313	-2.329	NaN	NaN	NaN	0.585	-2.149	-2.822	-2.81	-1.73	-0.864	-1.655	-1.54	-3.28	-1.838	-2.604	0.2	-0.212	0.965	1.037	-2.802	-0.356	-0.364	-0.274	-0.227	-0.669	-1.865	-2.543	-1.721	-0.975	-3.042	-1.631	-2.308	0.244	-1.198
"YKL191W"	-2.053	-2.458	-2.453	-2.92	-0.729	-0.441	-0.471	-2.358	-2.347	-1.981	-2.122	-1.102	-2.463	-2.032	-2.611	-0.68	-2.195	-0.097	0.032	0.158	0.462	-2.641	-0.46	-0.648	-0.665	-0.498	-0.207	-2.763	-2.759	-2.339	-1.095	-1.793	-0.893	-2.326	0.068	-0.464
"YKR011C"	2.771	2.754	3.134	3.114	1.518	1.423	1.36	2.849	3.092	2.411	1.388	0.586	2.145	2.022	2.562	2.381	2.063	-0.309	-0.304	-0.92	-0.74	2.868	-0.008	0.088	0.253	0.25	1.08	2.879	2.828	2.342	1.769	2.451	1.896	2.508	-0.749	-0.379
"YKR056W"	-3.646	-4.01	-3.863	-3.872	-1.682	-1.103	-0.838	-2.945	-3.217	-3.127	-2.566	-1.123	-2.718	-2.101	-4.495	-2.076	-2.379	0.009	-0.129	1.027	0.529	-3.682	-0.134	-0.828	-0.608	-0.257	1.573	-1.97	-2.586	-2.146	-1.597	-2.061	-1.311	-3.056	0.21	-1.088
"YKR060W"	-2.456	-2.755	-2.342	-2.43	-1.475	-0.599	-0.124	-1.512	-2.593	-2.337	-1.645	-0.828	-1.758	-1.31	-3.243	-1.793	-2.014	0.175	-0.05	0.495	0.084	-2.833	-0.549	-0.204	-0.277	-0.285	1.468	-1.167	-0.972	0.401	-0.513	-1.669	-1.073	-2.055	-0.121	-0.76
"YKR079C"	-3.178	-2.885	-2.267	-1.975	-0.647	-0.488	-0.357	-0.634	-2.343	-2.07	-1.959	0.29	-1.323	-1.096	-2.353	-1.774	-1.828	-0.078	0.031	0.877	0.153	-2.674	-0.249	-0.42	-0.435	-0.467	NaN	-1.181	-1.462	-0.736	-0.127	-1.006	-0.616	-1.361	0.321	1.002
"YLR051C"	0.016	-1.956	NaN	-1.549	-1.172	-0.302	0.148	-1.676	-2.137	-2.331	-1.196	-0.943	-1.66	-1.398	-2.92	-1.608	-1.169	0.055	0.15	0.159	-0.252	-2.127	-0.411	-0.588	-0.258	-0.265	0.278	-1.927	-2.014	-1.231	-0.711	-1.499	-1.499	-2.885	-0.102	-1.091
"YLR129W"	-4.191	-4.096	-2.921	-3.022	-1.526	-0.593	-0.27	-2.347	-3.676	-3.658	-3.455	-1.525	-2.548	-1.12	-4.83	-1.898	-3.12	-0.04	0.139	0.917	0.456	-4.108	0.192	-0.57	-0.534	-0.228	-0.465	-4.157	-4.374	-2.07	-0.673	-3.858	-1.404	-4.119	-0.021	0.071
"YLR197W"	-3.755	-4.98	-4.31	-4.044	-2.606	-1.26	-0.818	-3.638	-4.76	-5.179	-3.466	-2.02	-2.263	-2.63	-5.817	-1.811	-3.899	0.069	0.131	1.415	0.956	-5.072	-0.871	-1.0	-0.479	-0.371	-0.742	-2.322	-4.496	-2.603	-0.567	-4.151	-1.612	-4.545	0.486	0.094
"YLR221C"	-1.904	-3.146	-2.525	-2.286	NaN	-0.729	-0.194	-2.172	-2.998	-2.528	-1.949	-1.359	-2.179	-1.971	-2.998	-1.374	-1.591	0.127	0.144	0.792	0.421	-3.231	-0.721	-0.435	-0.298	-0.139	-0.962	-2.169	-3.034	-2.382	-1.054	-2.79	-1.899	-3.361	0.149	-0.407
"YLR249W"	-2.069	-2.818	-3.81	-3.122	-1.868	-0.962	-0.88	-3.317	-4.232	-4.758	-1.851	-2.299	-2.133	-2.746	-6.529	-1.486	-3.879	0.174	0.257	1.274	1.409	-4.59	-0.204	-0.386	0.139	-0.092	-2.065	-1.759	-3.998	-2.239	-0.871	-4.627	-1.47	-5.085	-0.608	0.837
"YLR400W"	-2.423	-2.37	-2.815	-2.461	-1.118	-0.422	-0.69	-2.663	-2.832	-2.585	-2.186	-0.745	-1.459	-1.046	-1.932	-0.683	-1.336	-0.187	-0.008	-0.097	0.051	-2.708	-0.993	-0.493	-0.286	0.173	0.457	-1.73	-1.734	-1.862	-1.123	-0.656	-0.76	-1.727	0.168	0.323
"YLR401C"	-4.37	-3.667	-3.155	-2.889	-0.878	0.268	-0.759	-2.202	-3.179	-2.451	-2.502	-1.138	-2.074	-1.786	-3.761	-0.451	-2.484	0.06	0.252	0.846	0.257	-3.769	-0.608	-0.702	-0.54	-0.394	-0.959	-4.107	-4.366	-2.033	-1.034	-2.208	-0.772	-2.921	1.008	-0.38
"YLR409C"	-4.088	NaN	-3.474	-3.176	-1.59	-0.818	-0.668	-2.574	-3.696	-3.852	-3.427	-1.406	-2.715	-2.325	-4.402	-1.551	-2.308	0.054	0.013	0.851	0.263	-4.473	0.029	-0.402	-0.181	-0.062	0.289	-3.152	-2.812	-1.603	-1.405	-2.584	-1.453	-3.231	0.222	1.151
"YLR413W"	-3.86	NaN	-4.323	-4.035	-2.22	-1.2	-0.838	-3.749	-4.155	-3.973	-2.81	-2.508	-3.16	-2.894	-4.758	-2.534	-3.237	0.041	0.009	1.267	-0.638	-3.69	-0.545	-0.324	0.449	0.409	-0.693	-3.149	-3.773	-3.526	-2.001	-3.616	-3.966	-4.449	-0.324	0.749
"YLR449W"	-1.748	-3.266	-3.157	-2.903	-1.724	-0.561	-0.672	-3.009	-3.738	-3.97	-1.984	-1.719	-2.105	-2.712	-6.206	-0.65	-2.597	0.054	0.26	1.262	0.888	-4.241	-0.415	-0.458	-0.544	-0.416	-0.431	-3.053	-5.408	-2.249	-1.224	-2.699	-1.152	-4.694	0.989	-0.899
"YML056C"	-2.994	-3.762	-3.147	-3.158	-1.618	-1.19	-1.127	-3.16	-2.963	-3.376	-2.066	-0.905	-1.642	-2.244	-3.967	-2.232	-3.243	NaN	-0.123	0.574	1.102	-3.776	-0.283	-0.553	-0.292	-0.44	-1.293	-3.063	-4.017	-2.736	-1.258	-2.625	-2.294	-4.322	0.964	1.852
"YML093W"	-3.602	-4.507	2.565	-2.615	-1.452	-0.446	-0.029	-2.741	-3.357	-3.472	-2.92	-0.908	-2.686	-2.477	-4.947	-1.661	-2.797	-0.227	0.305	1.375	0.635	-3.703	-0.757	-0.553	-0.522	-0.517	-0.905	-3.959	-7.708	-2.717	-1.858	-3.619	-1.984	-4.548	-0.034	0.726
"YMR131C"	-3.068	-4.819	-4.67	-4.183	-2.431	-1.0	-0.71	-3.849	-4.525	-4.347	-3.041	-2.233	-2.255	-2.188	-5.631	-2.016	-3.547	-0.125	-0.015	0.569	0.374	-4.674	-0.998	-0.906	-0.458	-0.416	-0.687	-2.123	-3.866	-3.136	-1.519	-3.736	-2.16	-4.181	0.545	1.074
"YMR217W"	-1.41	-2.517	-3.361	-3.444	NaN	-0.95	-0.748	-2.705	-2.964	-3.238	-1.424	-2.574	-2.637	-3.402	-5.293	-1.026	-3.48	0.087	0.291	1.18	1.078	-3.402	-0.272	-0.144	-0.356	-0.463	-1.656	-1.727	-4.738	-3.101	-0.862	-3.741	-2.564	-4.222	0.139	1.666
"YMR229C"	-2.019	-1.7005	-5.189	-2.7485	-0.8405	-0.497	0.505	-4.6555	-3.288	-4.5955	-3.6885	-2.871	-2.6545	-3.944	-6.1495	-1.395	-2.914	-0.0255	0.0125	2.198	1.145	-4.3425	-0.0105	-0.02	-0.299	-0.2225	-0.4255	-3.328	-4.271	-3.0895	-1.5985	-3.375	-2.468	-3.9575	0.613	1.01
"YMR246W"	-1.824	-2.764	-3.006	-3.075	-1.364	-0.114	-0.135	-2.728	-3.131	-2.12	-1.565	-2.585	-2.255	-2.159	-4.244	-1.214	-1.299	0.118	0.233	0.524	-1.07	-2.601	-0.14	-0.118	-0.361	-0.102	-1.69	-2.005	-2.96	-2.994	-0.899	-2.791	-2.451	-3.802	-0.091	-0.084
"YMR290C"	-2.333	-3.64	-3.112	-3.689	-2.627	-0.988	-1.127	-2.957	-3.89	-3.624	-2.19	-2.197	-2.545	-2.5	-5.132	-3.017	-3.243	0.132	-0.092	1.629	1.055	-4.129	-0.295	-0.501	-0.263	-0.428	-0.618	-3.16	-4.343	-3.775	-1.826	-3.98	-3.156	-4.544	0.885	1.432
"YMR310C"	-3.178	-3.117	-3.003	-2.423	-1.416	-1.055	-0.863	-2.264	-2.522	-1.974	-2.195	-0.083	-1.727	-1.738	-2.999	-1.944	-2.25	-0.014	0.2	0.7	0.332	-2.882	-0.207	-0.325	-0.033	-0.176	-0.578	-2.869	-2.857	-1.577	-0.888	-2.977	-1.757	-3.588	0.137	0.007
"YNL002C"	-3.547	-4.666	-4.12	-4.07	-1.784	-0.971	-0.611	-3.305	-4.559	-4.222	-3.653	-2.167	-2.627	-2.564	-5.196	-1.894	-3.072	-0.152	-0.059	0.982	0.499	-4.603	-0.991	-0.894	-0.229	-0.401	-1.852	-3.249	-3.481	-2.594	-1.228	-3.245	-1.514	-4.466	0.577	0.69
