	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"809.DBY7286 37degree heat - 20 min"	"815.1M sorbitol - 15 min"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8217.steady state 17 dec C"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13133.Ca/Ca+FK 30min (2)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"40949.H2O2_II_35_min"
"YER190W"	-0.562	-1.251	-0.307	-0.355	-0.552	0.776	0.708	0.116	0.466	0.679	1.247	0.363	0.425	-0.297	-0.384	0.009	0.482	0.758	0.482	0.844	0.431	1.708	0.949	1.486	-0.498	0.035	-0.027	0.089	0.133	-0.338	-0.477	-0.333	-0.513	-0.758	0.4375	-0.17	0.25	0.325	0.492	0.084	-0.365	-0.2885	-0.344	-0.118	-0.3145	-0.4425	-0.127	-0.093	-0.172	-0.0355	0.7845	0.4875	0.4075	0.0215	-0.5005
"YFL064C"	-0.309	-0.466	-0.176	0.113	-0.656	1.001	1.25	0.892	1.192	1.393	0.843	0.184	0.558	-0.015	0.482	0.569	0.76	0.801	0.565	0.909	1.137	1.896	1.353	1.325	-0.397	0.578	-0.021	-0.084	0.586	0.099	0.108	-0.05	-0.156	-0.966	0.4945	0.525	0.489	0.657	0.886	0.703	-0.1655	-0.224	-0.421	-0.139	-0.6795	-0.5245	-0.1245	-0.37	-0.047	-0.13	0.616	-0.418	-0.122	0.465	-1.3235
"YFL066C"	-0.801	-0.932	-0.557	-0.539	-1.073	1.251	1.235	0.733	1.305	0.879	0.837	-0.053	1.512	0.431	0.484	0.744	1.168	0.753	0.795	1.066	1.069	1.893	1.442	1.185	-0.414	0.648	0.124	0.188	0.663	0.323	0.085	-0.028	-0.077	-1.077	0.6875	0.345	0.203	0.378	0.461	-0.658	-0.22	-0.122	-0.3175	-0.3235	-0.5285	-0.218	-0.224	0.474	0.637	0.841	0.352	-0.253	0.461	-0.605	-1.333
"YFL067W"	-0.58	-1.034	-0.363	0.065	-2.172	0.923	0.68	0.557	0.789	0.793	0.45	NaN	0.428	-0.456	-0.06	-0.105	0.266	0.954	0.549	1.159	0.755	1.892	1.546	1.678	-0.19	0.003	-0.017	0.199	0.344	0.129	-0.158	-0.246	-0.317	-0.901	0.511	0.336	0.551	0.464	0.458	0.07	-0.1795	-0.136	-0.1625	-0.319	-0.5475	-0.206	-0.258	0.707	0.957	0.641	1.38	0.344	0.238	-0.149	-0.253
"YFL068W"	-0.496	-0.661	-0.368	-0.327	-0.392	1.192	1.067	1.39	1.195	1.311	1.066	-0.304	0.304	-0.165	0.131	-0.017	0.462	1.002	0.942	1.209	1.15	2.195	2.062	1.864	-0.33	0.467	0.169	0.069	0.311	0.189	0.013	-0.078	-0.242	-1.03	0.6645	0.598	0.722	0.743	0.821	0.123	-0.1845	0.0355	-0.3105	-0.051	-0.02	-0.046	-0.0585	0.125	0.414	1.005	1.398	0.631	0.455	-0.172	-0.6015
"YGL059W"	0.698	1.261	0.531	1.197	0.023	2.865	1.764	2.105	1.669	2.225	1.894	0.553	1.385	1.076	1.389	1.435	0.448	2.345	1.784	2.634	2.629	1.513	1.076	0.557	0.373	1.625	1.265	0.442	1.06	1.304	1.309	1.204	1.468	-0.453	1.419	1.166	1.516	2.198	1.956	2.262	0.354	0.286	-0.003	-0.049	-0.012	0.04	-0.355	2.835	2.271	2.163	2.351	-0.701	1.521	1.77	-0.307
"YGR043C"	2.106	2.415	3.406	3.939	3.614	5.679	4.9	5.707	5.692	6.003	5.571	5.458	4.673	4.765	4.955	3.827	4.843	5.014	5.207	5.063	5.593	5.207	6.53	5.288	1.413	3.122	4.853	3.686	4.445	5.025	5.539	4.531	4.874	-0.058	4.615	1.446	3.238	3.293	2.744	3.369	0.503	0.585	0.778	0.58	0.169	0.467	0.044	5.627	5.083	4.91	5.837	3.37	3.555	3.447	1.1
"YGR067C"	0.105	-1.49	0.585	1.814	-0.572	4.15	6.079	6.2	5.588	5.145	4.335	1.033	3.379	3.436	3.775	2.765	3.343	5.642	5.478	4.532	4.533	3.374	3.903	2.982	0.249	2.834	1.303	0.155	1.67	0.589	0.008	0.405	0.257	-0.133	1.835	0.864	1.217	1.944	1.691	2.294	0.636	0.638	0.323	0.248	0.323	0.205	0.142	3.355	3.301	4.091	3.963	3.096	3.873	3.929	0.25
"YGR088W"	3.101	2.69	4.755	4.484	1.65	6.03	3.589	5.131	5.593	6.165	5.734	4.754	3.901	3.493	3.678	3.823	4.067	4.878	5.242	6.064	6.265	5.206	6.919	6.036	1.676	3.389	5.535	4.393	4.761	5.015	4.802	4.788	5.016	-0.239	4.381	4.123	4.536	4.467	3.584	3.827	0.732	-0.804	1.418	1.218	1.561	1.2	1.777	3.753	5.244	3.587	5.949	3.814	3.89	3.224	1.444
"YHL049C"	-0.2895	-0.4065	-0.384	0.328	-0.542	1.153	1.349	0.793	1.296	1.269	1.511	0.197	0.359	0.243	0.553	0.45	0.449	0.788	0.836	0.914	1.225	1.862	1.609	1.617	-0.343	0.367	0.089	-0.218	0.206	-0.094	-0.271	-0.002	-0.165	-0.95	0.714	0.662	0.455	1.04	1.039	0.672	-0.46	-0.274	-0.591	-0.416	-0.665	-0.56	-0.426	-0.044	-0.633	-0.431	-0.084	-0.316	-0.833	-0.239	-1.608
"YHL050C"	-0.8155	-0.946	-0.451	-0.518	-0.487	1.091	0.909	0.597	0.38	0.848	1.267	0.475	0.695	-0.348	0.201	0.047	0.444	0.839	0.546	1.124	0.865	1.957	1.423	1.666	-0.631	0.064	-0.017	-0.0075	0.139	-0.077	-0.33	-0.285	-0.378	-0.819	0.858	0.255	0.39	0.493	0.769	-0.108	-0.211	-0.168	-0.225	-0.32	-0.312	-0.219	-0.168	0.0	0.453	0.413	1.324	0.609	0.352	-0.327	-0.95
"YHR160C"	-0.3485	-0.301	0.299	0.819	0.153	2.803	2.285	3.129	2.892	3.668	3.757	5.293	1.754	1.87	2.171	1.972	0.87	2.914	1.936	1.829	2.887	3.407	3.939	3.173	-0.094	1.186	1.789	0.2105	1.511	2.219	2.121	2.013	2.425	0.122	1.422	1.995	2.57	2.466	2.55	3.31	0.496	-0.177	0.673	0.58	0.634	0.486	-0.01	1.37	1.638	0.763	1.186	0.641	1.699	2.004	0.709
"YHR218W"	-0.6575	-0.58	-0.2985	0.088	-0.661	0.853	1.258	0.993	1.383	1.31	1.639	0.744	0.47	0.321	0.353	0.171	0.592	0.903	1.023	1.046	1.055	1.616	1.498	1.59	-0.286	0.312	0.048	-0.1095	0.612	0.016	-0.305	-0.137	-0.312	-0.735	0.708	0.787	0.325	0.366	0.549	0.316	-0.344	-0.601	-0.742	-0.633	-1.122	-0.839	-0.617	-0.568	-0.129	-0.509	-0.076	-0.709	-0.54	-0.143	-1.769
"YHR219W"	-0.678	-0.4045	-0.227	-0.235	-0.602	0.428	0.603	1.009	0.64	0.84	0.912	-0.105	0.137	-0.43	-0.005	-0.268	0.274	1.002	0.773	1.123	1.013	2.176	1.417	1.691	-0.387	0.053	0.066	-0.032	0.19	-0.043	-0.347	-0.283	-0.421	-0.764	0.949	0.198	0.389	0.72	0.613	0.437	-0.167	-0.152	-0.456	-0.255	-0.771	-0.244	-0.271	-0.309	0.131	-0.121	1.01	0.193	0.317	-0.218	-0.797
"YIL045W"	-0.08	0.612	-0.2535	2.771	0.172	4.837	3.725	3.789	4.285	5.025	4.058	4.605	2.699	2.691	2.176	2.2	2.313	4.236	3.986	4.311	4.378	4.139	3.804	2.963	1.01	0.594	3.234	-0.304	2.141	2.037	1.75	1.915	1.491	-0.104	2.832	3.822	3.84	3.974	3.622	3.653	-0.042	-0.31	0.067	0.005	-0.51	-0.057	-0.017	2.929	2.985	2.251	3.3	2.0	2.916	2.223	1.158
"YIL107C"	0.5685	0.8255	1.7145	0.05	0.201	3.104	2.688	2.798	2.727	3.167	3.632	4.232	2.055	2.196	1.378	1.436	1.555	2.425	2.194	2.663	2.959	2.551	1.671	1.3	0.839	2.179	2.359	1.2385	1.686	1.831	1.754	1.687	1.951	-0.016	2.551	1.695	1.931	2.323	2.341	2.295	0.162	0.092	-0.084	-0.026	-0.169	0.29	-0.146	2.139	2.0635	1.178	1.966	0.4935	0.924	0.869	0.136
"YIL177C"	-0.692	-1.2595	-0.255	-0.379	-0.743	0.798	0.724	0.402	0.572	0.528	0.555	0.482	0.462	-0.459	-0.249	0.211	0.319	0.727	0.36	0.923	0.407	1.533	1.328	1.678	-0.314	-0.098	-0.125	0.17	-0.048	-0.262	-0.529	-0.425	-0.671	-0.953	0.683	0.187	0.259	0.24	0.534	-0.081	-0.373	-0.476	-0.582	-0.43	-0.357	-0.735	0.166	0.182	0.2925	-0.068	0.051	0.4265	0.18	-0.2075	-1.057
"YJL089W"	-0.106	-0.604	1.083	1.516	-0.279	2.649	4.029	4.143	3.668	4.121	3.826	2.369	1.02	1.116	2.622	4.32	3.217	4.08	4.024	3.242	4.847	3.42	3.102	2.61	-0.861	3.563	1.071	0.8145	0.33	0.892	0.904	0.889	1.206	0.431	2.382	1.271	1.774	2.091	2.989	2.871	0.479	0.599	0.24	0.027	0.111	0.044	0.068	2.146	2.7575	3.13	3.3015	3.0425	4.92	4.8945	0.6
"YJL103C"	0.083	0.33	0.2065	1.137	0.183	3.518	3.541	3.739	3.366	3.386	3.31	4.161	2.515	1.735	2.684	2.107	1.985	3.108	2.803	2.436	3.198	3.063	3.151	2.006	0.574	2.668	0.772	0.0835	0.448	1.066	0.805	0.758	0.867	-0.322	0.352	1.466	1.552	1.399	1.989	2.047	-0.202	0.057	-0.121	-0.167	0.052	-0.776	-0.079	3.146	3.1435	2.411	2.663	1.0455	1.528	1.6935	0.756
"YJR008W"	1.2245	1.971	-0.0895	2.423	0.769	2.34	2.316	3.929	3.529	4.368	3.419	3.964	3.745	3.536	2.826	1.935	3.793	3.467	3.586	3.187	3.699	4.553	5.21	4.377	1.339	1.781	1.838	1.377	1.667	1.513	1.765	1.425	1.54	0.036	2.805	2.324	2.3	2.326	2.183	2.084	0.161	-0.003	-0.387	-0.09	0.585	0.61	-0.147	3.265	3.435	2.523	3.297	2.472	2.944	2.817	-0.521
"YJR095W"	-0.4695	-0.324	-0.162	0.754	-0.026	3.063	6.02	6.299	5.126	5.594	3.469	1.805	2.042	2.617	4.941	5.572	4.944	4.935	5.227	3.101	4.211	2.301	2.27	1.776	-0.309	4.24	0.778	0.2	0.69	0.251	0.228	0.407	0.376	-1.17	3.258	-0.323	0.427	0.836	1.892	1.962	0.131	0.034	0.268	0.118	-0.221	0.147	0.152	4.975	4.678	4.624	2.657	3.484	4.744	4.576	0.86
"YKL093W"	0.332	0.475	0.917	2.013	0.412	5.448	4.655	4.714	4.393	4.525	4.208	4.369	2.966	3.199	3.212	2.953	3.082	4.872	3.902	2.916	2.536	2.725	3.515	2.14	0.177	2.314	2.515	0.814	1.45	1.642	1.688	1.819	1.784	0.152	2.745	1.924	2.544	1.743	1.753	2.33	0.319	0.365	0.165	0.153	0.974	0.862	0.28	4.865	4.664	3.337	3.528	2.899	3.144	3.011	0.411
"YKR097W"	0.152	0.237	0.063	0.256	0.292	5.028	6.83	7.19	6.862	7.33	5.367	5.07	1.13	0.807	0.58	5.974	6.148	6.922	6.534	5.735	5.448	6.528	6.693	5.565	-0.202	4.283	0.102	-0.102	0.108	0.163	0.06	0.482	0.141	0.511	5.059	1.384	2.05	3.289	3.323	4.123	0.399	0.343	0.246	0.275	0.194	0.435	0.443	5.975	5.295	5.763	4.982	3.367	5.505	4.865	-0.394
"YLL066C"	-0.592	-1.219	-0.219	-0.211	-0.558	1.131	0.701	0.564	0.332	-0.036	1.392	0.585	0.455	-0.488	0.219	0.136	0.334	0.852	0.531	1.081	0.843	1.929	1.103	1.65	-0.462	-0.115	-0.154	-0.008	-0.133	-0.205	-0.456	-0.349	-0.373	-0.797	0.579	0.172	0.443	0.45	0.696	0.081	-0.512	-0.726	-0.709	-0.506	-0.668	-0.788	-0.177	-0.17	0.258	0.372	-0.023	-0.087	0.026	-0.671	-1.302
"YLL067C"	-0.685	-0.932	-0.4	-0.205	-0.504	0.793	0.818	0.64	0.907	0.76	1.389	0.456	0.263	-0.411	0.337	-0.102	0.355	0.8	0.719	0.907	0.863	2.104	1.571	1.575	-0.415	-0.532	-0.018	-0.031	0.298	0.033	-0.204	-0.208	-0.244	-0.727	0.653	0.397	0.361	0.513	0.276	-0.257	-0.55	-0.403	-0.845	-0.49	-1.004	-0.11	-0.369	0.162	0.143	0.242	0.198	-0.171	-0.066	-0.569	-1.179
"YLR149C"	1.758	2.136	2.08	3.028	0.873	4.105	3.465	3.717	3.85	3.986	3.387	4.874	3.839	3.078	3.191	2.983	3.163	4.749	3.585	4.206	4.313	5.295	5.72	4.926	1.466	3.392	2.949	1.487	2.647	2.93	2.4	2.382	2.61	0.17	3.396	2.337	2.42	2.99	2.668	2.999	-0.029	-0.304	0.986	0.045	-0.081	-0.259	-0.462	3.572	4.271	2.991	3.931	2.879	3.795	3.4	-1.862
"YLR174W"	0.006	0.64	0.762	0.391	-0.076	4.526	5.843	6.653	5.651	5.451	5.447	4.487	2.507	3.793	4.275	5.023	5.765	5.205	4.807	3.605	4.155	3.221	3.353	1.759	0.093	3.768	1.599	0.195	0.8	0.817	0.663	1.013	1.147	-0.127	2.778	0.855	2.207	2.065	2.598	3.548	0.21	0.352	0.134	0.285	0.091	0.502	0.268	5.021	4.301	4.563	2.849	2.961	4.685	4.478	-0.259
"YLR311C"	0.39	-0.294	0.07	0.703	-0.683	3.535	3.882	4.224	3.277	3.765	2.811	3.182	1.644	1.481	2.026	2.73	2.447	2.587	1.807	2.447	3.128	3.92	3.702	3.13	-0.219	2.503	2.014	0.254	1.325	1.916	1.573	1.675	1.912	0.37	-0.359	2.186	2.432	2.609	2.017	2.606	0.091	-0.012	-0.026	-0.184	0.47	0.289	0.007	4.272	4.89	3.742	4.728	0.207	1.105	1.16	0.089
"YLR312C"	1.566	-0.063	0.083	2.15	-0.549	4.821	5.627	6.446	5.561	5.97	4.818	6.051	3.422	3.545	2.674	4.286	4.34	4.955	5.214	4.896	5.569	6.764	7.043	6.406	0.084	2.783	3.408	0.213	2.156	2.71	2.679	2.596	2.62	0.392	3.462	4.649	4.618	4.916	4.296	5.025	0.176	0.124	-0.119	0.132	0.212	0.583	0.061	4.818	4.667	4.284	4.571	1.443	2.931	2.954	-1.326
"YLR462W"	-0.504	-0.19	-0.055	0.27	-0.543	1.528	1.368	1.055	1.123	1.317	1.509	1.031	0.498	0.62	0.438	0.717	0.952	0.773	0.839	0.937	0.974	1.87	1.45	1.705	-0.236	0.417	0.184	-0.1	0.403	0.136	-0.033	0.041	-0.033	-1.033	0.607	0.819	0.791	0.57	0.882	0.679	-0.105	-0.116	0.064	-0.151	-0.483	-0.456	-0.37	-0.144	-0.045	-0.152	-0.166	0.383	0.671	0.674	-0.119
"YLR463C"	-0.481	-0.854	-0.284	-0.099	-0.573	0.045	1.018	0.937	0.624	1.313	0.944	0.415	0.402	-0.203	0.688	0.572	0.476	0.78	0.594	0.912	1.016	1.304	1.4	1.494	-0.35	0.888	-0.146	-0.2	0.448	-0.084	-0.209	-0.418	-0.163	-1.167	0.934	0.076	0.609	0.619	0.855	0.627	-0.441	-0.212	-0.72	-0.573	-1.096	-0.758	-0.279	0.648	0.04	0.184	-0.042	0.152	-0.014	0.162	0.104
"YLR464W"	-0.867	-0.585	-0.241	-0.2325	-0.573	1.093	0.7365	0.873	0.832	0.773	0.616	-0.164	0.39	-0.525	0.3655	0.139	0.5135	0.8545	0.6645	0.875	0.8805	1.8535	1.2335	1.534	-0.3285	-0.146	-0.1405	-0.1445	0.1335	0.4045	0.3435	0.545	0.005	-1.0525	0.5215	0.39	0.5415	0.325	0.655	0.079	-0.307	-0.3985	-0.4265	-0.438	-0.819	-0.9105	-0.4995	-0.411	-1.26	-0.416	-0.55	0.226	0.511	0.562	-0.605
"YLR466W"	-0.332	-0.225	-0.268	-0.164	-0.601	1.182	0.794	0.439	0.618	0.89	1.048	0.007	0.337	-0.22	0.469	0.122	0.209	0.988	0.672	0.82	0.988	2.363	1.428	1.713	-0.053	-0.61	0.133	-0.032	0.177	-0.042	-0.109	-0.253	-0.431	-0.571	0.623	0.518	0.415	0.398	0.59	-0.189	-0.38	-0.4	-0.625	-0.461	-0.871	-0.589	-0.467	-0.282	-0.052	-0.081	-0.1	0.326	0.288	0.12	NaN
"YLR467W"	-0.621	-0.456	-0.431	-0.352	-0.455	0.737	0.524	1.182	0.949	0.461	1.213	0.936	-0.458	-0.395	0.597	0.484	1.69	0.688	0.469	0.927	0.681	2.116	1.188	1.622	-0.283	-0.287	-0.201	0.025	-0.087	-0.195	-0.343	-0.54	-0.492	-0.784	NaN	0.339	0.678	0.355	0.429	-0.024	-0.498	-0.539	-0.66	-0.583	-0.826	-0.836	-0.451	-0.042	-0.0285	-0.034	-0.156	0.407	0.551	-0.041	-0.127
"YML042W"	0.471	0.568	1.166	0.963	0.35	5.257	5.951	5.954	6.053	5.694	5.292	4.94	2.873	3.592	2.989	2.529	1.465	4.969	5.064	3.866	4.298	3.56	3.618	2.209	0.402	2.581	1.155	1.568	0.759	1.053	1.152	0.408	0.98	0.311	2.684	1.605	2.403	1.957	0.91	1.878	0.179	0.104	0.187	0.3	-0.047	0.184	0.242	3.574	3.933	3.265	3.97	3.367	5.058	4.894	NaN
"YML054C"	-0.107	0.937	1.006	0.707	0.426	5.268	4.128	4.968	3.708	3.294	3.21	5.243	4.231	3.189	2.688	2.632	2.284	5.255	3.649	3.305	3.486	5.295	3.394	2.05	0.74	3.39	1.739	0.965	1.646	1.728	1.473	1.0	1.117	-0.722	1.562	1.874	2.107	2.735	2.041	2.527	0.245	0.044	0.313	0.227	0.326	0.637	0.14	5.343	4.811	2.678	3.017	3.115	2.675	1.681	-0.085
"YMR081C"	-0.026	0.373	-0.093	1.057	1.87	5.134	4.866	4.127	4.854	4.825	5.524	6.678	6.135	5.55	5.535	4.182	4.914	5.537	4.601	3.765	5.056	4.13	4.987	4.226	-0.123	2.79	1.049	0.057	0.599	0.557	0.25	0.255	0.177	0.019	4.371	2.369	3.016	3.007	3.482	3.108	0.048	0.125	-0.19	-0.123	0.286	0.359	-0.127	5.714	4.766	3.029	3.912	2.769	2.807	2.795	NaN
"YMR096W"	0.082	-0.169	-0.126	0.085	0.424	0.543	0.766	0.657	1.152	3.85	2.778	3.394	-0.301	0.354	1.322	2.889	3.257	0.949	0.768	1.639	1.079	3.72	5.919	5.254	-0.157	0.274	-0.078	-0.054	0.407	1.064	0.793	0.185	0.071	0.589	2.299	0.44	1.69	0.604	0.639	2.108	-1.754	-1.752	-2.52	-2.124	-1.682	-1.504	-2.456	0.504	1.647	0.809	1.428	-0.081	2.285	1.967	0.089
