	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"12733.Nitrogen Depletion 8 h"
"YMR217W"	-2.634	-3.785	-4.735	-5.29	-3.341	-3.713	-4.205	-4.469	-2.318	-2.638
"YMR235C"	-1.493	-1.785	-3.534	-5.187	-2.046	-2.838	-3.21	-3.756	-0.992	-1.233
"YMR237W"	-0.134	-1.08	-2.955	-4.233	-0.651	-1.452	-1.947	-2.335	0.027	0.585
"YNL079C"	-0.574	-1.362	-2.802	-4.703	-0.764	-1.383	-2.486	-3.23	-0.371	1.006
"YNL084C"	-0.75	-1.408	-1.945	-3.396	-0.53	-1.386	-1.735	-1.919	0.533	0.648
"YNL096C"	-3.235	-3.616	-4.038	-6.106	-2.776	-3.644	-4.096	-4.68	-2.19	-3.171
"YNL168C"	-0.058	-0.808	-1.69	-3.351	-0.3	-0.728	-1.174	-1.844	0.239	0.875
"YNL189W"	-0.902	-1.349	-2.367	-4.06	-1.33	-2.058	-2.641	-3.084	-0.788	-0.42
"YNL315C"	0.068	0.031	-1.37	-3.311	0.092	-0.01	-0.699	-1.189	0.481	0.593
"YOR164C"	-0.568	-0.894	-2.555	-4.0095	-0.909	-1.603	-1.956	-2.107	-0.486	0.11
"YOR197W"	-1.0065	-1.492	-1.971	-3.178	-0.675	-1.165	-1.398	-1.64	0.02	-0.408
"YOR198C"	-1.3675	-1.933	-4.452	-5.562	-2.3	-4.384	-4.657	-4.415	-0.599	-1.284
"YOR239W"	-1.1765	-2.145	-3.232	-5.0985	-2.053	-3.149	-3.934	-3.704	-0.467	-1.752
"YOR249C"	-0.481	-0.731	-1.372	-2.421	-0.248	-0.994	-1.224	-1.642	0.175	0.275
"YOR310C"	-3.0705	-3.319	-4.7765	-7.1385	-3.838	-4.745	-5.099	-4.866	-2.782	-3.238
"YOR323C"	-1.757	-2.0305	-4.2845	-6.434	-1.557	-2.742	-3.497	-3.428	0.123	-0.883
"YOR326W"	-1.475	-1.6295	-3.4635	-4.9875	-1.82	-3.585	-3.591	-2.795	-1.1	-1.037
"YPL037C"	-1.9235	-2.12	-3.9955	-5.417	-1.561	-2.115	-3.222	-3.654	-1.057	-0.951
"YPL091W"	-0.6945	-0.9905	-1.9175	-3.471	-0.913	-1.614	-1.738	-2.295	0.631	-0.376
"YPL178W"	-0.3995	-0.909	-2.0395	-3.2495	-1.104	-1.535	-1.511	-1.922	-0.058	0.436
"YPL243W"	-1.109	-1.5805	-4.1455	-5.276	-1.377	-2.602	-3.541	-3.544	-1.096	-0.279
"YPL273W"	-2.59566666666667	-2.96466666666667	-3.722	-5.69966666666667	-2.4545	-2.794	-3.21	-3.3575	-1.306	-1.99
"YPR033C"	-1.908	-2.142	-4.8805	-7.94	-2.096	-3.951	-4.382	-4.54	-1.379	-1.213
"YPR072W"	-0.5605	-1.344	-2.898	-2.576	-1.049	-2.507	-2.585	-2.634	0.099	-0.033
"YPR118W"	-2.4945	-3.095	-3.9965	-5.524	-2.594	-2.882	-3.334	-3.538	-0.955	-0.822
