	"42.alpha factor release sample022"	"104.alpha factor release sample024"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"977.wt_plus_gamma_10_min"	"1107.alpha factor release sample025"	"1249.mec1_plus_gamma_5_min"	"1250.mec1_plus_gamma_10_min"	"1673.alpha factor release sample021"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"8520.DES460 + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"13066.Na/Na+FK 30min (2)"	"30319.usv1("	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34360.batch 02X25 4"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YJL142C"	0.628	-0.022	2.621	2.359	2.77	1.7625	0.372	2.327	2.1005	2.278	1.055	1.2155	1.312	1.242	0.79	1.039	0.935	0.554	0.393	3.291	2.454	2.277	2.085	2.282	1.779	0.364	0.07	0.494	0.313	-0.01	0.402	0.202	0.29	0.369	1.455	1.338	0.404	1.032	0.276	0.1665	-0.1	2.292	0.267	-0.082	2.174	2.014	1.454	0.862	2.435	0.919	1.349	3.113	1.55	1.455	2.367	2.463	1.712
"YLR129W"	-0.072	-0.039	-4.191	-4.096	-2.921	-3.022	-1.034	-2.347	-3.676	-3.658	-1.526	-1.9	-3.455	-1.722	-0.933	-2.548	-1.12	-1.768	-0.629	-4.83	-2.28	-3.089	-3.214	-3.12	-2.647	-0.62	-0.04	-1.251	-0.579	0.051	-0.849	-0.597	-0.804	-0.945	-2.343	-1.65	-1.081	-1.327	-0.859	-0.461	0.065	-4.108	0.157	1.071	-4.157	-4.374	-2.07	-0.673	-3.858	-1.404	-2.781	-4.119	-2.843	-1.753	-2.048	-2.361	-2.087
"YLR401C"	-0.006	0.031	-4.37	-3.667	-3.155	-2.889	-1.048	-2.202	-3.179	-2.451	-1.77	-1.299	-2.502	-1.983	-1.637	-2.074	-1.786	-1.19	-0.668	-3.761	-2.23	-2.153	-2.307	-2.484	-2.153	-0.953	0.06	-1.772	-0.734	0.152	-0.757	-0.584	-0.823	-0.819	-1.783	-1.679	-1.766	-2.112	-0.681	-0.38	-0.186	-3.769	-0.057	0.585	-4.107	-4.366	-2.033	-1.034	-2.208	-0.772	-1.137	-2.921	-1.22	-2.313	-1.905	-3.161	-1.531
"YMR014W"	0.152	-0.365	-3.368	-3.36	-2.459	-1.984	-0.957	-1.961	-2.533	-2.14	-1.375	-1.636	-2.425	NaN	-1.283	-2.131	-2.164	-1.418	-1.192	-3.923	-1.56	-1.6	2.39	-2.229	-1.468	-0.349	-0.129	-0.903	0.112	0.126	-0.86	-0.904	-1.201	-0.969	-1.437	-1.653	-1.362	-1.295	-0.834	-0.129	0.223	-2.796	-0.045	-0.055	-3.779	-3.477	-2.718	-1.473	-2.736	-1.508	-2.888	-3.974	-2.269	-1.107	-1.939	-1.604	-1.902
"YMR310C"	-0.363	-0.341	-3.178	-3.117	-3.003	-2.423	-1.044	-2.264	-2.522	-1.974	-1.372	-1.61	-2.195	-1.592	-1.198	-1.727	-1.738	-1.194	-0.826	-2.999	-1.275	-1.838	-1.935	-2.25	-1.986	-0.972	-0.014	-1.2	-0.279	-0.065	-0.637	-0.914	-0.821	-0.664	-1.65	-1.241	-1.31	-0.954	-0.792	-0.609	-0.033	-2.882	-0.087	0.469	-2.869	-2.857	-1.577	-0.888	-2.977	-1.757	-2.152	-3.588	-1.433	-1.042	-1.63	-1.986	-1.901
"YNL062C"	-0.132	-0.083	-2.043	-3.459	-1.549	-2.934	-0.927	-2.143	-3.093	-2.844	-1.5	-1.304	-1.873	-1.093	-1.303	-1.917	-1.508	-0.829	-0.336	-4.157	-2.785	-2.295	-2.538	-2.304	-2.254	-0.815	0.077	-1.367	-0.623	0.303	-0.729	-0.344	-0.472	-0.413	-1.772	-1.751	-0.681	-1.0	-0.44	-0.067	-0.271	-2.71	-0.271	0.489	-3.32	-4.112	-2.584	-1.365	-2.778	-1.922	-2.338	-2.838	-2.509	-1.431	-1.693	-1.255	-1.669
"YNL075W"	-0.342	-0.261	-2.664	-3.86	-2.098	-3.164	-1.324	-2.558	-3.304	-2.768	-0.526	-1.215	-2.359	-1.938	-1.244	-2.078	-1.5	-1.319	-1.01	-4.782	-2.75	-2.189	-2.433	-3.095	-2.494	-0.733	-0.096	-1.271	-0.231	0.044	-0.676	-0.638	-0.624	-0.597	-1.85	-1.521	-1.028	-1.121	-0.556	-0.071	0.337	-3.301	0.228	0.98	-3.326	-2.935	-2.361	-1.615	-2.748	-1.298	-1.475	-3.779	-2.192	-1.93	-2.202	-2.141	-1.961
"YNL313C"	-0.265	0.202	-3.06	-3.472	-3.287	-3.026	-1.175	-2.399	-2.935	-3.02	-1.771	-1.945	-1.887	-1.152	-1.493	-2.31	-1.97	-1.468	-1.03	-4.999	-2.695	-2.073	-2.852	-3.129	-2.948	-0.443	0.191	-0.781	-0.263	-0.329	-0.631	-0.508	-0.452	-0.348	-1.939	-1.225	-0.971	-0.962	-0.547	0.06	-0.083	-3.009	-0.085	0.525	-3.183	-2.824	-2.352	-1.047	-1.81	-0.474	-1.835	-3.85	-2.129	-1.573	-2.192	-3.049	-1.686
"YNR054C"	0.222	-0.009	-2.316	-3.072	-1.505	-1.849	-1.199	-2.561	-3.745	-2.256	-1.288	-1.399	-0.952	-1.698	-1.437	-1.723	-1.964	-1.258	-0.964	-1.6465	-0.4305	-0.7115	-1.43	-1.1455	-1.259	-0.561	-0.14	-0.855	-0.258	-0.005	-0.151	-0.734	-0.542	-0.603	-1.675	-1.531	-0.9685	-0.96	-0.456	0.14	-0.11	-3.271	-0.223	0.138	-2.435	-3.275	-1.802	-0.633	-2.06	-1.229	-2.01	-2.609	-1.366	-0.653	-1.304	-1.736	-1.631
"YOR091W"	0.163	-0.058	-2.076	-3.01	-1.939	-2.688	-0.957	-1.642	-2.72	-2.309	-1.302	-1.433	-1.12	-2.036	-1.362	-2.094	-1.799	-1.318	-0.783	-3.211	-2.424	-2.536	-1.963	-1.597	0.6055	-0.369	-0.207	-1.384	0.687	0.095	-0.314	-0.158	-0.545	-0.684	-1.265	-1.459	-1.102	-0.4405	-0.201	-0.182	0.0	-2.366	0.249	0.402	-3.107	-3.395	-1.759	-0.779	-1.529	-0.574	-1.87	-3.639	-2.474	-1.489	-2.251	-2.649	-2.128
"YOR145C"	-0.116	-0.276	-3.045	-3.98	-3.649	-3.795	-1.583	-2.871	-3.492	-3.402	-0.688	-1.45	-2.2695	-1.606	-1.668	-2.441	-1.805	-1.614	-0.843	-4.1305	-2.03	-1.7885	-1.3615	-2.7235	-1.903	-0.577	-0.002	-1.21	-0.316	0.256	-1.055	-0.883	-0.988	-0.682	-2.938	-3.287	-1.2825	-1.1325	-0.675	-0.383	-0.449	-3.948	0.302	0.787	-3.355	-3.644	-2.806	-1.565	-3.265	-1.728	-2.352	-4.493	-1.998	-1.536	-2.139	-1.717	-1.933
"YPL266W"	-0.211	-0.086	-2.487	-3.981	-2.802	-3.222	-1.233	-2.968	-3.585	-3.063	-1.615	-1.757	-2.4965	-2.294	-0.843	-1.9705	-1.846	-1.773	-1.1315	-4.1135	-2.3835	-2.305	-2.162	-3.267	-2.3995	-1.199	0.045	-1.189	-0.417	0.215	-0.976	-0.837	-0.716	-0.416	-2.134	-2.001	-1.257	-1.52	-0.538	-0.308	0.323	-3.636	0.413	1.059	-3.195	-4.813	-2.51	-0.711	-2.945	-1.846	-2.154	-4.271	-2.451	-2.583	-4.193	-1.711	-2.03
