	"861.YPD_5_d_30C"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YKL153W"	-5.051	-2.039	-2.818	0.073
"YKL212W"	-4.806	-2.929	-3.374	1.013
"YKR094C"	-4.383	-2.197	-2.387	1.23
"YLL045C"	-6.618	-3.021	-3.731	2.059
"YLR029C"	-6.877	-2.378	-2.987	2.331
"YLR060W"	-5.967	-3.713	-4.371	1.836
"YLR101C"	-3.161	-2.069	-2.518	0.267
"YLR167W"	-4.496	-1.976	-2.263	1.495
"YLR187W"	-2.0	-1.232	-1.667	0.45
"YLR249W"	-6.742	-4.549	-4.992	1.6
"YLR264W"	-5.152	-2.334	-2.391	1.55
"YLR268W"	-3.316	-1.415	-1.039	0.106
"YLR276C"	-5.399	-3.17	-3.081	0.462
"YLR314C"	-5.585	-3.447	-3.937	0.975
"YLR320W"	-2.337	-0.078	-0.517	0.022
"YLR351C"	-3.461	-0.847	-0.964	0.344
"YLR355C"	-6.009	-1.989	-3.088	1.148
"YLR359W"	-5.36	-1.681	-1.828	-0.299
"YLR409C"	-4.211	-3.315	-3.47	1.862
"YLR418C"	-2.673	-1.238	-1.829	0.452
"YLR455W"	-2.868	-1.565	-1.563	0.321
"YML094W"	-3.049	-2.071	-2.286	-0.243
"YMR021C"	-1.784	-0.727	-1.151	-0.153
"YMR047C"	-3.61	-1.0335	-1.4915	0.5005
"YMR091C"	-4.005	-2.09	-2.24	0.51
"YMR143W"	-4.466	-3.111	-3.545	1.601
"YMR185W"	-3.092	-0.521	-1.581	-0.41
"YMR202W"	-5.431	-2.876	-2.931	1.041
"YMR215W"	-4.406	-2.956	-3.467	1.098
"YMR235C"	-5.187	-3.21	-3.756	0.854
"YMR242C"	-6.226	-3.133	-3.475	2.029
"YMR246W"	-3.101	-1.278	-1.408	1.654
"YMR300C"	-4.702	-2.016	-1.571	0.11
"YNL010W"	-4.52	-2.738	-3.396	0.035
"YNL022C"	-3.745	-2.3	-2.325	0.4
"YNL060C"	-3.243	-1.617	-1.851	1.055
"YNL096C"	-6.106	-4.096	-4.68	2.416
"YNL119W"	-6.231	-2.843	-3.318	2.478
"YNL121C"	-4.5485	-1.3065	-2.038	0.826
"YNL168C"	-3.351	-1.174	-1.844	-0.359
"YNL178W"	-6.62	-3.483	-3.871	2.094
"YNL291C"	-4.479	-1.572	-1.833	0.139
"YNL301C"	-6.272	-2.985	-3.448	2.767
"YNL316C"	-3.472	-1.298	-1.41	0.301
"YOL022C"	-4.073	-2.027	-1.748	0.401
"YOL039W"	-7.971	-3.262	-3.256	2.614
"YOL061W"	-3.804	-1.965	-2.156	-0.121
"YOL093W"	-4.67	-1.299	-1.847	0.837
"YOL097C"	-6.314	-4.044	-4.151	1.343
"YOL139C"	-5.5	-1.966	-2.188	0.902
"YOR067C"	-5.101	-1.749	-2.027	-0.084
"YOR165W"	-3.5345	-1.996	-2.281	-0.293
"YOR168W"	-4.808	-2.353	-2.604	1.642
"YOR206W"	-6.4785	-3.692	-3.694	1.152
"YOR260W"	-4.639	-2.577	-3.081	1.106
"YOR271C"	-2.9995	-0.914	-1.184	1.463
"YOR312C"	-4.8175	-1.569	-3.224	1.892
"YOR323C"	-6.434	-3.497	-3.428	1.739
"YOR331C"	-4.099	-1.671	-2.079	0.859
"YPL028W"	-5.5385	-2.17	-2.948	0.748
"YPL037C"	-5.417	-3.222	-3.654	1.099
"YPL142C"	-5.604	-2.632	-2.979	1.267
"YPL183C"	-3.957	-2.745	-3.056	1.286
"YPL217C"	-1.625	-1.058	-1.144	0.939
"YPL220W"	-6.1465	-2.571	-3.926	2.259
"YPL226W"	-5.67966666666667	-2.9025	-3.983	0.8915
"YPL273W"	-5.69966666666667	-3.21	-3.3575	1.535
"YPR019W"	-3.1305	-2.229	-1.945	0.418
"YPR033C"	-7.94	-4.382	-4.54	1.295
"YPR044C"	-4.76433333333333	-1.702	-1.9615	1.8575
"YPR089W"	-3.974	-1.266	-1.84	0.175
"YPR102C"	-6.451	-3.749	-4.692	2.333
"YPR103W"	-3.618	-1.286	NaN	0.796
"YPR118W"	-5.524	-3.334	-3.538	1.03
"YPR141C"	-3.8215	-1.202	-1.21	0.154
"YPR144C"	-4.2065	-2.51	-2.411	0.74
"YPR148C"	-3.536	-1.426	-2.035	-1.031
