	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18425.2mM MD 040min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18433.2mM MD 085min"	"18434.2mM MD 100min"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21650..24 mM H2O2- 040 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21663..24 mM H2O2- 063 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YDR158W"	0.115	0.171	0.352	-0.038	-0.136	-0.125	-0.129	-1.349	-1.008	-0.799	-1.356	-0.19	-3.546	-5.115	-1.263	-1.689	-1.965	-1.881	0.383	0.616	0.337	-1.393	-0.996	-1.763	-3.109	-3.802	-4.509	-0.233	0.244	0.253	-2.13	-1.682	-1.935	-1.614	0.092	-0.792	-0.022	0.341	0.352	0.044	0.422	-0.139	-1.622	-0.16	-0.85	0.729	-0.241	0.389	0.888	-0.545	0.651	0.055	1.05	0.288	-1.297	-3.16	-2.786	-2.476	-2.774	-2.884	-3.011	-2.154	-1.805	-1.747	-1.752	-1.359	-1.966	-0.993	-1.505	-2.849	-2.745	-3.156	-2.35	-2.832	-2.004	0.718	0.488	0.689	1.532	1.383	-0.647	-0.386	-0.957	-0.748	-0.302	-1.366	-0.155	0.122
"YDR353W"	0.254	3.125	2.122	1.999	1.743	1.771	1.401	-1.147	-1.68	-1.701	-2.15	-1.201	-2.014	-4.007	-0.531	-1.733	-1.426	-1.478	NaN	NaN	NaN	-1.62	-1.27	-2.176	-1.381	-1.858	-1.37	3.251	3.91	-2.418	-1.609	-1.38	-1.111	-1.857	3.79	3.72	4.063	4.022	3.384	1.71	3.149	3.711	2.277	4.451	2.362	2.606	3.011	2.306	3.031	1.897	2.924	2.932	3.007	3.768	-0.397	-0.738	-0.846	-1.28	-0.586	-0.929	-0.765	-1.048	-0.872	-0.132	-1.076	-1.403	-0.802	-1.242	0.087	-0.442	-0.832	-0.959	-1.083	-1.196	-0.474	3.828	3.388	3.857	3.374	2.141	3.239	3.158	3.469	1.904	1.881	0.929	1.323	1.469
"YDR453C"	3.233	3.592	1.649	2.971	3.387	3.634	3.572	3.764	2.191	2.627	1.833	1.455	0.36	-0.916	2.667	2.3	1.944	1.588	4.461	5.027	3.935	2.725	1.225	1.671	-0.075	0.286	-0.388	2.621	4.396	1.84	1.322	1.124	0.741	0.811	4.491	4.5035	5.181	4.293	5.406	2.625	4.4525	6.2635	5.1845	4.443	4.8915	6.264	6.963	5.594	5.033	5.168	6.257	6.236	3.571	7.294	1.91	2.512	2.756	3.01	2.384	2.427	2.212	4.144	3.877	5.043	3.557	2.443	2.049	3.821	1.315	0.514	1.596	1.775	1.929	1.966	2.957	5.643	4.869	6.137	4.57	5.751	4.165	4.978	4.141	4.376	5.408	4.097	4.541	4.959
"YHR068W"	-1.646	-0.659	-0.087	-0.414	-0.793	-0.498	-0.411	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-0.587	-0.06	0.017	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	0.021	-0.404	-2.29	-2.522	-2.438	-2.761	-2.475	-0.152	-1.0405	-0.461	-1.0355	-0.9425	-0.5065	-0.789	-1.607	-0.245	-0.5575	0.2445	-0.105	-0.903	-0.633	-0.068	-0.042	-0.798	-0.737	-0.114	0.286	-0.805	-1.743	-2.321	-2.248	-2.194	-1.888	-2.769	-2.437	-2.467	-2.406	-2.362	-1.8	-1.861	-2.43	-0.522	-0.929	-1.514	-1.571	-1.255	-1.08	-1.082	-1.065	-0.399	-1.165	0.399	0.544	-0.891	-0.032	0.357	0.23	0.711	-0.328	-0.556	0.721
"YHR208W"	-1.8505	-0.448	-0.418	-0.981	-1.093	-0.424	-0.363	-3.191	-1.767	-1.413	-1.397	-1.898	-3.12	-4.064	-2.446	-2.137	-1.934	-1.898	0.131	-0.3645	0.34	-2.228	-1.232	-1.339	-2.263	-2.683	-2.939	-0.399	-0.221	-1.267	-1.888	-1.355	-1.943	-1.719	-0.213	0.673	-0.865	0.107	-0.1145	-1.5445	-0.0655	-0.2205	-1.259	-0.656	-0.865	-0.339	-0.634	0.023	0.14	-1.542	-0.352	-2.418	-0.763	-0.674	-3.661	-3.002	-2.376	-2.423	-2.871	-3.037	-2.838	-4.041	-3.355	-3.596	-3.088	-2.843	-3.189	-3.633	-3.294	-5.619	-3.068	-4.177	-4.253	-3.369	-3.037	-1.115	-1.137	-1.197	-1.207	-0.891	-1.687	-1.708	-1.546	-1.06	-0.729	-1.003	-0.332	-0.384
"YIL078W"	-1.8365	-0.67	-0.35	-0.747	-1.162	-0.997	-0.935	-2.907	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-0.243	-0.433	-0.028	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.001	-0.341	-2.348	-2.573	-2.57	-2.6	-2.341	-0.155	0.091	-0.5225	-0.251	0.139	1.1625	-0.2045	-0.2475	0.07	-0.899	-0.0135	-0.92	-1.826	-1.582	0.238	-1.701	-1.431	-0.99	-1.102	-1.12	-2.298	-1.711	-2.545	-2.032	-1.748	-2.175	-2.266	-3.116	-1.937	-1.996	-2.548	-1.189	-1.453	-1.874	-2.253	-2.019	-1.449	-1.625	-1.291	-2.866	-1.579	-1.608	-1.901	-2.028	-1.684	0.047	-2.429	-1.753	-1.36	-2.063	-1.035	-2.818	-2.344	-2.433
"YIL094C"	-1.595	0.108	0.005	-0.448	-0.89	-0.58	-0.377	-2.203	-0.837	-0.06	-0.475	-0.193	-1.869	-5.071	-1.442	-1.41	-1.403	-0.919	-0.9125	-0.234	-0.7825	-1.743	-0.604	-0.807	-1.45	-1.468	-1.766	-0.093	0.353	-0.75	-0.347	0.091	-0.297	0.29	0.622	-0.178	-0.1755	-0.9025	-1.2375	-1.0825	-0.0805	-1.1975	-1.006	-0.338	-1.1265	0.436	-0.913	-0.403	0.441	-1.783	-0.629	-0.243	-0.253	-0.077	-2.533	-3.145	-2.155	-2.237	-2.486	-2.022	-1.748	-1.174	-1.082	-1.69	-1.157	-0.366	-0.283	-2.756	-2.733	-2.919	-2.783	-2.353	-3.397	-2.364	-2.775	-0.497	0.128	-0.015	0.484	0.727	-2.25	-0.516	-0.411	0.773	0.922	-0.455	0.075	0.472
"YJL158C"	-1.04166666666667	-0.464333333333333	0.2685	0.095	0.523	0.7935	0.9685	-1.837	-0.961	-0.968	-3.1025	-1.2025	-3.8195	-4.974	-1.52	-1.7025	-3.333	-3.0365	NaN	-0.213	-0.805	-1.6075	-0.8645	-1.9735	-1.8885	-2.2685	-1.03	0.267	0.246	-2.763	-2.2205	-2.379	-2.176	-3.08	0.194	0.0126666666666667	0.608333333333333	0.248	0.707	0.0876666666666666	-0.0933333333333333	-0.260666666666667	-1.07166666666667	-1.09766666666667	-0.518666666666667	0.372	-0.8665	-0.292	0.0545	-1.948	-0.3665	-0.2765	-0.443	0.4075	-0.496	-2.054	-2.265	-3.156	-3.301	-3.482	-3.58	-2.703	-1.893	-2.027	-2.168	-0.862	-2.308	-2.315	-1.414	-2.002	-2.634	-2.852	-2.153	-3.769	-0.951	0.4535	0.298	0.164	0.8675	0.3515	0.83	-0.389	0.636	-0.049	-0.294	-0.8465	-0.335	0.305
"YJR040W"	0.235	-0.204	-0.373	-0.42	-0.19	0.018	-0.13	-1.012	-1.257	-1.09	-0.913	-0.795	-2.558	-3.366	-0.847	-0.824	-0.929	-1.165	0.169	-0.381	-0.633	-0.921	-0.672	-1.041	-0.619	-1.178	-1.121	0.006	0.234	-0.499	-0.91	-0.283	-0.14	-0.241	0.272	0.319	0.1615	0.575	0.864	0.3345	0.16	0.294	-0.131	-0.2425	0.053	-0.377	-0.391	-0.074	0.259	-0.386	-0.029	0.411	-0.262	0.72	-0.887	-1.41	-2.275	-1.756	-2.04	-2.043	-2.108	-1.116	-0.851	-0.314	-1.264	-0.864	-0.767	-0.547	0.411	-1.213	-1.072	-1.104	-0.794	-1.184	-1.842	0.012	-0.213	0.271	-0.323	-0.633	-0.509	-1.284	-1.553	-1.545	-0.512	-1.597	-0.642	-1.417
"YJR143C"	-1.8185	-0.8	-0.615	-0.98	-0.955	-0.727	-0.552	-1.748	-1.012	-1.648	-1.487	-1.713	-4.675	-5.523	-2.151	-2.716	-2.573	-3.031	-0.251	-0.435	-0.536	-1.799	-1.986	-2.118	-3.335	-3.698	-3.382	-0.031	-0.546	-1.896	-2.672	-2.162	-2.24	-2.832	-0.284	-0.131	-0.6485	-0.387	-0.3015	-0.441	-0.4025	-1.3885	-1.2645	-0.319	-0.8755	-0.606	-1.917	-1.59	-1.357	-0.628	-1.298	-3.554	-1.843	-1.282	-3.195	-2.687	-4.657	-3.541	-1.68	-3.293	-3.862	-1.722	-1.351	-1.32	-1.52	-1.322	-2.698	-1.596	-1.802	-2.099	-2.036	-2.548	-2.735	-3.131	-1.379	-1.404	-2.102	-0.508	-1.07	-0.846	-1.616	-2.109	-2.091	-3.226	-1.904	-4.237	-1.969	-1.591
"YKL071W"	-1.083	3.552	1.72	1.775	1.704	2.265	2.083	0.419	0.35	0.766	0.856	1.455	0.828	-0.393	0.161	0.249	0.553	0.526	5.334	5.076	2.643	0.804	0.752	0.965	1.015	0.921	0.235	2.115	4.791	0.544	0.528	0.673	0.289	1.024	4.113	5.596	5.553	5.743	4.581	1.734	5.513	5.807	4.158	5.436	4.393	2.937	5.138	4.848	1.259	4.852	5.261	6.213	3.419	6.955	-0.176	-0.562	-0.329	0.15	0.14	0.329	1.519	-0.017	-0.464	-0.662	-0.267	-0.07	0.22	1.263	0.309	0.055	-0.143	0.162	0.178	1.581	-0.153	5.826	6.236	5.885	5.961	4.755	3.719	4.331	4.155	3.696	4.962	4.082	4.632	4.809
"YKL081W"	-2.054	-1.0715	-0.41	-1.123	-1.522	-1.483	-1.263	-3.858	-3.184	-2.096	-2.542	-3.137	-4.49	-5.155	-3.28	-3.157	-3.837	-3.37	-0.53	-1.226	-0.546	-3.635	-3.222	-3.654	-2.997	-2.811	-3.497	0.318	-0.471	-2.502	-3.391	-3.581	-3.709	-3.833	-1.556	-1.055	-1.099	-0.431	-1.302	-0.223	-1.525	-2.013	-1.726	-1.568	-2.749	-0.764	-2.223	-1.876	-0.969	-1.881	-1.708	-1.16	-1.094	-0.52	-1.875	-1.899	-2.447	-2.081	-2.459	-2.252	-1.484	-3.076	-3.449	-3.386	-3.054	-2.989	-3.704	-2.812	-3.086	-3.996	-2.135	-2.065	-2.093	-2.305	-2.01	0.674	0.251	0.086	0.952	0.347	-0.008	0.152	-0.624	-1.257	-0.214	-1.45	-1.445	-0.449
"YKL212W"	-0.172	-0.836	-0.239	-0.208	-0.276	-0.042	-0.194	-1.431	-1.053	-0.845	-1.247	-1.079	-3.014	-4.806	-1.409	-1.065	-1.651	-1.64	-0.083	-0.054	0.138	-1.923	-1.656	-1.598	-2.516	-2.929	-3.374	-0.115	0.025	-1.089	-1.816	-1.943	-2.101	-2.073	-0.305	-0.257	0.098	0.26	-0.27	-1.134	-0.788	-0.289	-0.111	0.419	0.7	0.164	-1.008	-0.074	-0.746	0.437	-0.564	-1.249	-0.123	-0.702	-1.416	-2.456	-1.815	-2.39	-2.691	-2.996	-2.506	-1.052	-1.607	-1.036	-1.481	-1.072	-1.839	-1.336	-0.653	-0.475	-1.547	-1.262	-1.911	-1.421	-1.687	0.081	0.72	0.012	1.006	-0.481	0.039	-1.01	-0.101	0.225	1.769	-0.32	-0.363	0.146
