	"103.alpha factor release sample026"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"685.YP sucrose vs reference pool"	"686.YP ethanol vs reference pool"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8204.steady state 29 dec C"	"8227.dtt 000 min"	"8234.dtt 240 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13066.Na/Na+FK 30min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YDR037W"	0.296	-2.165	-1.968	-2.701	0.369	-1.231	1.015	0.375	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-1.483	-3.226	-2.505	-2.756	-2.42	0.253	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.157	0.135	-0.13	-0.292	0.385	0.418	0.787	-1.088	-0.025	0.658	-2.523	0.525	0.296	0.064	0.055	-0.11	-0.32	-0.097	0.13	0.625	0.185	-4.284	-3.366	-2.4	-4.204	-3.541	-2.204	-3.047
"YDR064W"	0.156	-1.917	-1.077	-2.822	0.75	-0.644	1.206	0.48	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-1.745	-3.208	-3.138	-2.511	-2.495	0.217	-3.65	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	0.351	0.005	-0.36	0.157	0.137	0.151	1.003	-1.723	0.505	0.415	-1.996	0.6125	0.826	0.142	0.0105	0.439	0.264	0.3675	0.364	0.9075	-0.4825	-2.292	-2.803	-2.319	-2.891	-2.804	-2.287	-2.842
"YDR282C"	0.551	0.57	0.396	0.904	-0.135	0.182	-0.315	0.177	2.239	1.8	1.57	1.444	1.446	1.391	1.182	-0.45	1.386	1.508	1.294	1.153	1.647	-0.001	1.567	1.164	1.136	0.927	1.25	1.508	1.039	0.424	-0.654	0.019	0.235	-0.063	0.054	-0.047	0.48	0.425	-0.149	0.837	-0.405	-0.54	-0.441	-0.435	-0.091	-0.081	0.005	-0.364	-0.14	0.059	0.958	0.953	0.655	1.486	0.877	0.624	1.231
"YDR343C"	-0.095	3.7425	3.826	4.3375	0.218	0.3005	-0.759	-0.3575	3.2935	1.843	1.604	0.758	0.8745	1.546	1.75	0.4235	3.36	3.4155	2.817	2.7575	2.585	0.651	2.2775	1.391	1.675	0.8105	1.7035	1.4255	1.067	0.321	0.21	-0.0955	0.109	0.6185	-0.1455	0.627	0.5395	-0.2275	0.256	1.5115	0.3545	-0.136	0.4475	0.309	0.124	0.185	0.4565	0.8605	-1.2345	0.14	6.835	5.151	4.147	6.429	5.549	4.177	4.265
"YDR447C"	-0.017	-2.299	-2.149	-3.242	0.608	-0.646	1.974	0.269	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-2.128	-3.574	-3.565	-2.813	-3.129	0.24	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-0.061	0.103	0.176	-0.004	0.458	0.585	0.941	-2.288	0.375	0.09	-2.1165	0.765	0.881	0.5775	0.304	0.339	0.351	0.0755	0.4815	0.6605	-0.285	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-3.223
"YDR504C"	-0.04	0.895	0.607	0.678	0.0	0.3	-0.575	-0.251	1.564	1.125	1.55	0.948	1.397	1.38	2.329	2.09	0.416	0.467	0.602	0.978	0.472	-0.127	0.963	0.624	0.936	1.201	2.356	2.489	2.005	-0.096	0.047	-0.155	-0.219	-0.22	0.02	-0.126	0.427	-0.238	-0.464	0.169	-0.092	0.216	0.134	0.169	0.067	NaN	-0.205	0.201	-0.43	0.035	1.117	0.303	1.402	1.549	0.509	1.361	2.073
"YDR529C"	-0.373	1.146	1.227	1.631	-1.102	0.994	-1.136	-0.664	2.473	2.394	2.948	1.753	1.667	2.074	2.127	1.661	2.109	1.792	1.637	1.664	1.516	0.337	2.996	2.486	2.052	2.002	2.544	2.181	1.592	0.046	0.21	0.118	-0.05	0.155	0.142	0.195	0.672	-0.315	0.326	NaN	0.156	0.304	-0.056	-0.002	0.673	0.562	0.662	0.128	-0.082	0.024	3.301	3.917	3.456	2.364	3.342	3.698	3.514
"YEL024W"	0.212	2.182	1.869	2.004	-0.788	1.353	-0.918	-0.383	3.871	4.61	4.009	3.979	3.509	3.632	3.238	2.044	2.147	2.151	2.122	1.702	1.991	0.4	3.986	3.281	2.635	2.156	2.171	2.77	1.823	-0.003	0.175	-0.042	0.246	0.363	0.15	0.115	1.256	0.109	0.058	2.36	-0.1295	-0.508	-0.143	-0.1005	0.525	0.6035	0.7245	-0.1645	-0.553	0.097	2.957	3.587	2.637	2.609	3.024	3.3	3.32
"YFL016C"	0.069	2.768	2.256	2.798	0.03	0.826	-0.351	-0.224	1.102	0.974	0.768	1.243	0.732	1.17	1.617	0.627	2.438	1.438	2.159	1.543	1.06	-0.401	1.289	0.429	0.972	1.59	0.795	0.472	0.358	0.005	0.046	-0.596	-0.291	0.275	-0.017	-0.25	0.879	-0.329	0.116	0.7455	-0.081	-0.0135	0.1885	0.2035	0.06	0.229	0.139	0.049	-0.2945	-0.0445	1.847	1.196	1.3	1.733	2.15	1.05	2.016
"YFR049W"	-0.045	0.884	0.525	1.215	-0.629	1.198	-0.422	0.19	3.095	2.899	2.852	2.627	2.273	2.513	1.742	-0.639	1.613	2.145	1.941	1.253	1.622	0.177	2.298	2.043	1.546	1.536	1.338	0.747	0.395	-0.028	-0.068	-0.318	0.121	0.182	0.326	0.062	0.544	-0.141	-0.124	1.761	-0.139	0.232	-0.361	-0.125	0.376	0.339	0.329	-0.391	-0.68	0.082	1.618	1.781	1.725	1.479	1.717	1.251	1.31
