	"686.YP ethanol vs reference pool"	"813.MHY1 (dun1) + heat 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YMR146C"	-0.774	-1.034	1.394	1.313	-1.725	-4.642	-1.791	-1.464	-1.339	-1.621	-1.793	-1.962	-3.093	1.558	-1.082	-1.576	-1.873	-0.791	-1.036	-2.417	0.566	0.517	0.455	0.478	0.454
"YMR215W"	-1.0	-0.941	1.562	1.042	-3.705	-4.406	-2.601	-1.783	-2.081	-3.365	-2.939	-2.956	-3.467	1.098	-1.069	-2.702	-2.516	-2.595	-2.789	-3.226	1.624	2.236	2.244	3.019	2.243
"YMR217W"	-1.12	-2.309	0.844	2.016	-4.735	-5.29	-2.622	-4.287	-3.341	-4.118	-3.713	-4.205	-4.469	1.286	-2.116	-2.4545	-3.621	-2.927	-3.421	-3.323	2.945	2.322	1.951	1.93	1.95
"YNL069C"	-0.839	-1.946	1.983	0.977	-4.006	-4.824	-3.199	-4.269	-2.199	-2.466	-2.107	-2.509	-3.665	2.414	-1.726	-2.137	-3.601	-3.131	-3.469	-3.775	1.277	1.526	1.352	1.423	1.351
"YNL301C"	-1.054	-1.273	2.223	1.224	-5.123	-6.272	-3.098	-3.466	-2.799	-2.781	-2.652	-2.985	-3.448	2.767	-1.9	-2.232	-4.167	-3.163	-3.032	-3.161	1.236	1.65	1.677	1.822	1.676
"YOR206W"	-0.623	-1.361	0.633	1.59	-3.681	-6.4785	-2.2495	-3.888	-2.451	-2.637	-3.151	-3.692	-3.694	1.152	-1.499	-1.792	-3.193	-2.539	-2.585	-2.379	0.663	0.717	0.928	0.696	0.927
"YOR241W"	-0.322	-0.382	0.607	1.011	-2.668	-6.523	-1.0865	-1.509	-1.077	-1.0	-1.779	-2.794	-2.058	0.625	-0.163	-0.758	-1.423	-1.913	-1.31	-1.192	0.217	0.069	0.218	0.062	0.217
"YOR260W"	-0.503	-0.287	0.925	1.47	-2.507	-4.639	-1.6575	-1.898	-1.513	-1.624	-2.257	-2.577	-3.081	1.106	-0.214	-1.54	-2.096	-1.909	-1.944	-2.111	1.004	0.783	0.505	0.99	0.504
"YOR293W"	-1.549	-1.6	1.855	0.646	-2.7875	-4.496	-3.0195	-4.233	-2.533	-2.507	-1.856	-2.041	-3.118	1.931	-1.418	-1.85	-3.53	-3.262	-3.23	-3.271	1.856	1.827	2.009	2.03	2.008
"YOR310C"	-1.081	-1.986	0.78	1.075	-4.7765	-7.1385	-3.5415	-5.777	-3.838	-4.105	-4.745	-5.099	-4.866	1.233	-1.628	-2.849	-4.564	-4.629	-4.292	-2.073	2.19	1.38	1.19	1.111	1.189
"YOR312C"	-0.553	-1.633	1.659	0.765	-3.3005	-4.8175	-3.0	-4.638	-2.511	-2.402	-2.039	-1.569	-3.224	1.892	-1.871	-1.883	-4.379	-3.433	-3.454	-2.886	1.277	1.283	1.546	1.576	1.545
"YPL037C"	-0.462	-0.961	1.278	0.852	-3.9955	-5.417	-2.148	-2.203	-1.561	-1.872	-2.115	-3.222	-3.654	1.099	-1.009	-1.648	-2.236	-1.607	-1.831	-0.859	1.5	1.414	1.132	1.466	1.131
"YPL081W"	-0.796	-0.98	2.658	0.609	-3.4025	-6.801	-2.428	-4.022	-2.849	-2.929	-2.789	-2.909	-3.725	2.276	-0.736	-1.844	-3.083	-2.359	-2.717	-3.157	1.234	1.524	1.891	2.0	1.89
"YPL090C"	-1.0	-2.737	1.925	1.044	-4.364	-6.197	-3.3795	-5.307	-2.833	-2.954	-3.292	-3.309	-4.719	2.457	-1.907	-2.061	-4.244	-3.265	-3.571	-2.658	1.584	1.763	1.668	1.728	1.667
"YPL142C"	-0.787	-1.527	1.8475	0.8765	-3.5865	-5.604	-2.8235	-4.155	-2.303	-2.376	-2.148	-2.632	-2.979	1.267	-1.793	-2.011	-3.763	-3.021	-3.278	-3.35	1.456	1.64	1.575	1.794	1.574
"YPL160W"	-1.226	-1.6245	1.35366666666667	1.85933333333333	-3.08233333333333	-5.284	-2.11133333333333	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	1.761	-1.148	-1.8045	-3.477	-2.958	-2.719	-2.589	-0.358	-0.4015	-0.3535	-0.284	-0.3545
"YPL220W"	-1.189	-2.333	1.9695	1.0405	-3.187	-6.1465	-3.3935	-3.51	-2.548	-2.639	-2.247	-2.571	-3.926	2.259	-2.166	-1.925	-3.366	-2.375	-2.774	-3.007	1.889	1.98	1.942	2.002	1.941
"YPL226W"	-1.114	-1.031	0.233333333333333	1.81766666666667	-3.95033333333333	-5.67966666666667	-2.786	-4.0095	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.8915	-0.7595	-1.7375	-2.657	-3.519	-3.004	-2.36	1.639	1.701	0.971	1.106	0.97
"YPL237W"	-0.439	-1.437	0.843	0.548	-2.875	-5.7585	-1.8945	-2.288	-1.817	-1.927	-2.006	-2.44	-3.024	0.811	-1.302	-1.537	-1.885	-1.966	-1.455	-1.695	0.387	0.404	0.387	0.397	0.386
"YPR041W"	-1.193	-0.8655	1.39933333333333	1.718	-2.36366666666667	-4.07266666666667	-2.41033333333333	-1.646	-1.658	-1.0965	-1.805	-1.8775	-2.441	1.351	-0.6805	-1.977	-3.035	-2.533	-2.708	-1.616	1.759	1.784	1.634	1.668	1.633
"YPR044C"	-0.976	-1.7	1.55766666666667	0.439333333333333	-2.87	-4.76433333333333	-2.80733333333333	-3.0915	-2.14	-2.1115	-1.2955	-1.702	-1.9615	1.8575	-1.492	-2.074	-2.586	-2.282	-2.352	-2.877	1.284	1.034	1.142	1.333	1.141
"YPR074C"	-1.655	-0.795	1.867	2.3475	-5.337	-5.42	-3.7185	-3.649	-2.351	-3.162	-3.369	-3.61	-3.663	1.886	-0.795	-3.132	-4.473	-3.729	-3.123	-3.18	0.404	0.487	0.016	0.284	0.015
"YPR102C"	-1.197	-1.866	2.3265	0.827	-4.045	-6.451	-3.673	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	2.333	-1.815	-2.384	-3.927	-2.614	-3.517	-3.247	1.042	1.255	1.129	1.211	1.128
"YPR118W"	-0.94	-0.791	0.503	0.799	-3.9965	-5.524	-2.305	-1.735	-2.594	-2.077	-2.882	-3.334	-3.538	1.03	-1.435	-1.794	-1.726	-1.789	-2.086	-2.261	0.984	1.084	0.75	1.025	0.749
"YPR132W"	-1.087	-1.741	2.133	0.55	-3.1925	-5.805	-2.967	-3.788	-2.214	-2.292	-1.968	-2.388	-3.151	2.058	-1.376	-2.217	-2.884	-2.466	-2.829	-2.893	1.205	1.353	1.459	1.659	1.463
"YPR163C"	-1.144	-1.817	0.877	0.88	-2.9485	-5.4905	-2.6395	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	1.474	-1.528	-2.145	-3.506	-3.14	-2.873	-2.32	1.015	0.477	0.386	0.61	0.385
