	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"59.alpha factor release sample013"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1109.alpha factor release sample014"	"1673.alpha factor release sample021"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"40946.H2O2_II_7_min"	"40947.H2O2_II_14_min"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40958.H2O2_II_140_min"	"40959.H2O2_II_160_min"	"40960.H2O2_II_180_min"	"40961.MD_II_0_min"	"40962.MD_II_7_min"	"40964.MD_II_21_min"	"40966.MD_II_35_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"	"41003.H2O2_II_0_min"
"YDR381W"	-0.283	-0.594	-0.135	0.321	-0.054	-0.148	-0.469	0.09	0.29	-0.639	-0.562	-0.798	-2.721	0.088	-0.097	0.555	0.479	0.281	-0.349	0.256	-0.804	-0.582	-0.454	-0.749	-0.547	-0.412	-0.504	-2.316	-1.639	-2.104	-1.856	-1.711	-2.094	-2.341	-1.066	-1.681	-1.319	-0.785	-0.894	-0.705	-2.387	-1.704	-2.978	-2.393	-1.74	-0.966	-2.883	-2.114	-2.688	-2.501	-3.4	-3.097	-1.65	-2.237	-1.845
"YDR429C"	-0.135	0.079	0.128	-0.152	-0.225	-0.317	0.008	0.022	0.089	-0.54	-0.518	-2.02	-3.313	0.266	-0.132	0.494	0.356	-0.12	-0.393	0.715	-0.423	-0.506	-0.085	-0.348	-0.392	-1.516	-1.112	-1.184	-1.024	-1.192	-1.505	-1.86	-2.192	-1.402	-0.708	-1.636	-1.435	-0.402	-0.894	-1.302	-2.539	-1.341	-0.257	-1.693	-2.483	-1.334	-2.263	-2.018	-2.161	-1.919	-2.958	-2.88	-3.064	-2.112	-1.448
"YER002W"	-0.04	-0.476	0.216	0.038	-0.119	-0.139	0.128	0.178	0.364	0.01	-0.339	0.1655	-0.0605	0.272	-0.055	0.577	0.496	0.227	-0.432	0.376	-1.3565	-0.5255	-0.3845	-0.869	-0.2865	-0.6775	-1.5745	-1.1275	-1.6385	-0.994	-2.158	-2.0455	-1.9295	-1.4875	-1.3715	-0.947	-1.4285	-0.7655	-0.444	-0.846	-0.9015	-0.7155	-0.625	-0.974	-1.25	-1.5025	-1.243	-1.978	-1.9	-1.604	-1.7005	-1.514	-1.586	-2.029	-0.612
"YGL070C"	-0.017	-0.268	0.165	0.108	0.524	-0.069	-0.178	0.183	-0.017	-0.096	0.212	-0.803	-2.68	0.332	-0.084	-0.068	-0.004	0.144	0.07	0.093	-0.388	-0.517	-0.053	-0.53	-0.092	-0.829	-0.983	-0.89	-0.887	-0.4	-1.723	-1.604	-1.579	-1.925	-1.546	-1.926	-1.692	-0.71	-0.756	-0.923	-1.765	-1.503	-0.065	-1.678	-1.236	-0.905	-1.154	-1.119	-1.803	-1.689	-1.222	-0.504	-1.923	-2.766	-1.212
"YGL169W"	0.018	-0.066	0.157	0.137	0.571	0.049	0.498	0.475	0.062	0.179	0.48	-0.953	-4.274	0.426	0.189	0.064	0.05	0.148	-0.224	0.29	-0.381	-0.582	-1.131	-1.229	-0.366	-1.029	-2.117	-0.363	-0.914	-1.838	-2.33	-2.366	-2.171	-1.934	-1.337	-1.822	-1.296	-1.312	-0.61	-0.92	-1.465	-1.28	-1.677	-1.598	-2.672	-3.02	-2.266	-2.733	-2.601	-2.215	-2.79	-1.897	-2.509	-2.958	-1.886
"YGL246C"	-0.234	-0.352	-0.143	-0.4	0.322	-0.224	0.227	-0.259	0.035	-0.291	0.089	-0.951	-2.44	0.335	-0.091	-0.219	-0.221	0.089	-0.494	0.044	-0.728	-0.989	-0.427	-0.163	0.101	-0.518	-0.737	-0.999	-1.576	-1.426	-2.491	-1.633	-2.317	-1.669	-1.424	-1.112	-2.089	-2.447	-2.206	-1.276	0.456	-0.246	-0.646	-2.313	-0.627	-1.35	-1.13	-0.247	-1.624	-1.813	-1.769	-0.288	-1.722	-1.865	-1.432
"YGR030C"	-0.571	-0.335	-0.293	-0.477	0.438	-0.541	0.097	-0.012	-0.51	-0.103	0.0	-0.892	-2.548	-0.142	-0.256	-0.323	-0.435	-0.031	-0.486	-0.169	-0.943	-0.428	-0.359	-0.556	0.094	-1.906	-0.588	-1.383	-0.42	-2.04	-2.521	-2.206	-2.025	-1.403	-0.847	-1.264	-1.467	-0.875	-0.486	-0.659	-1.204	-1.159	-1.572	-0.962	-1.714	-1.014	-3.177	-2.109	-2.13	-1.727	-3.015	-2.61	-0.923	-1.108	-1.258
"YGR074W"	-0.334	-0.255	-0.233	-0.094	0.44	-0.162	-0.123	0.005	-0.132	0.136	0.232	-0.809	-3.891	0.216	-0.061	-0.08	-0.148	0.01	-0.43	0.104	-0.725	-0.598	-0.725	-0.635	-0.271	-1.065	-0.844	-0.695	-1.331	-1.336	-1.488	-1.742	-1.739	-1.663	-0.933	-1.202	-1.836	-0.986	-1.393	-0.529	-1.219	-2.201	-0.906	-0.792	-0.79	-2.779	-1.203	-2.358	-1.209	-0.913	-1.483	-1.266	-1.893	-1.718	-2.156
"YGR158C"	0.001	0.148	0.326	0.033	-0.22	-0.185	0.177	0.063	0.025	-0.012	-0.204	-1.405	-2.421	0.472	-0.195	0.535	NaN	0.059	-0.432	0.271	-0.5085	-0.6685	-0.1485	-0.456	0.167	-1.3505	-1.1445	-0.8815	-0.5745	-0.9055	-2.7335	-1.874	-1.3705	-1.5995	-1.547	-0.8945	-0.779	-0.456	-0.7225	-1.4345	-1.4635	-2.3225	-0.151	-0.4325	-1.0375	-1.848	-1.223	-1.64	-1.698	-2.056	-3.052	-2.433	-1.622	-1.8995	-2.4545
"YHL013C"	-0.173	-0.184	-0.453	-0.169	0.1	-0.147	-0.037	-0.026	0.093	0.076	0.084	-1.218	-2.833	-0.346	-0.243	-0.157	-0.051	0.261	-1.113	0.019	-0.518	-0.301	-1.013	-1.092	-0.038	-1.106	-1.367	-0.739	-0.843	-1.573	-1.68	-2.253	-1.833	-1.526	-2.158	-1.591	-0.569	-0.3	-0.457	-1.097	-1.199	-0.63	-0.627	-0.415	-1.318	-2.933	-3.325	-2.312	-1.963	-2.096	-1.887	-2.003	-2.976	-2.505	-2.198
"YHL014C"	-0.627	0.071	-0.531	-0.141	-0.014	-0.103	0.056	-0.009	-0.203	-0.077	0.302	-1.471	-4.738	-0.063	0.191	-0.166	-0.177	-0.283	-0.472	0.004	-0.387	-0.443	-0.645	-0.642	-0.078	-1.97	-0.32	-0.796	-1.829	-1.814	-5.675	-1.111	-1.052	-1.815	-1.037	-1.79	-0.802	-0.789	-0.734	-0.841	-1.256	NaN	-0.859	-1.044	-1.564	-0.902	-1.625	-1.783	-1.509	-1.001	-0.991	-2.976	-0.631	-1.554	-1.227
"YHR169W"	-0.416	-1.261	-0.031	-0.37	-0.226	-0.259	-0.159	-0.017	-0.089	-0.237	0.043	-1.952	-3.088	0.044	-0.029	0.163	-0.272	0.061	-0.744	0.085	-0.984	-1.349	-1.199	-1.908	-0.105	-2.043	-2.218	-1.652	-1.172	-2.309	NaN	-3.404	-3.113	-3.352	-2.985	-2.46	-0.932	-1.979	-1.611	-1.584	-1.968	-3.378	-2.054	-1.925	-4.874	-4.577	-5.35	-4.569	-4.214	-2.461	-3.238	-3.492	-2.71	-2.794	-1.466
"YHR201C"	-0.309	-0.368	-0.337	-0.113	0.136	-0.115	0.255	-0.312	-0.222	-0.172	0.095	-1.721	-4.155	-0.089	-0.136	-0.214	-0.291	-0.078	-0.245	-0.119	-0.376	-0.139	-0.186	-0.19	-0.2	-0.354	-0.477	-1.328	-0.751	-1.763	-2.031	-1.714	-1.585	-1.718	-1.022	-1.688	-1.302	-0.882	-1.626	-0.352	-0.863	-2.198	-1.557	-1.678	-1.714	-0.583	-2.003	-2.032	-2.503	-0.602	-1.963	-1.803	-1.503	-2.003	-0.856
"YIL080W"	4.546	5.161	4.354	3.929	3.588	4.071	6.268	3.536	3.874	3.478	4.305	0.483	-1.466	3.751	3.405	3.372	4.019	3.609	4.873	4.261	2.895	2.597	2.24	3.483	2.714	1.684	4.091	2.38	3.71	2.779	2.846	1.473	2.039	3.017	2.914	2.836	2.454	2.266	1.823	0.225	3.292	3.394	3.481	3.684	2.411	2.186	2.414	2.672	2.353	2.779	1.776	2.331	1.716	1.597	2.629
"YIL082W"	5.289	5.631	4.931	4.239	3.231	4.112	6.574	3.966	4.309	4.848	4.738	0.549	-0.521	4.543	4.022	3.927	4.608	3.818	5.522	4.778	1.992	2.24	1.296	2.47	2.06	1.985	2.752	1.211	1.367	1.447	1.183	1.513	2.137	1.544	1.467	2.786	2.509	1.727	1.216	0.959	2.035	3.064	2.886	2.271	2.089	2.131	2.629	2.459	1.927	3.066	2.147	2.021	1.48	1.376	1.49
"YIR012W"	-0.493	-0.832	-0.093	0.048	-0.377	-0.186	0.094	0.077	-0.08	-0.328	-0.093	-2.595	-4.69	0.075	-0.531	0.165	0.066	0.111	-0.585	0.205	0.004	-1.47	-0.143	-0.657	0.092	-1.548	-0.82	-2.015	-0.356	-1.875	-3.007	-1.988	-1.517	-1.046	-0.878	-1.723	-1.144	-0.733	-0.836	-0.849	-1.388	-0.151	-1.567	-1.478	-2.394	-2.635	-2.14	-2.658	-1.857	-1.846	-3.403	-2.956	-1.67	-2.629	-2.502
"YJL169W"	-0.023	-0.112	0.229	0.045	-0.05	-0.246	-0.205	0.221	0.035	-0.327	-0.175	-1.138	-3.972	0.347	-0.021	0.345	0.184	0.087	-0.063	0.116	-0.566	-0.363	-0.363	-1.008	-0.051	-1.409	-0.523	-0.973	-2.955	-2.304	-3.371	NaN	-1.696	-1.64	-1.334	-1.991	-0.456	-0.931	-0.458	-0.327	-1.501	-1.569	-1.696	-1.154	-2.107	-2.201	-2.041	-2.006	-3.85	-2.961	-1.983	-2.235	-3.928	-0.879	-1.724
"YJL179W"	-0.123	-0.22	-0.107	0.358	0.351	-0.178	0.022	-0.45	-0.163	-0.046	-0.009	-1.235	-4.843	0.237	-0.091	-0.191	0.015	0.09	-0.016	0.228	-0.306	0.027	0.086	-0.653	-0.07	0.749	-0.908	0.097	-1.367	-1.51	-1.605	-1.569	-1.478	-1.744	-0.258	-1.885	-1.358	-0.54	-0.962	-0.678	-1.256	-0.842	-2.258	-1.345	-0.918	-1.29	-0.023	-0.852	-2.522	-2.823	-1.568	-1.403	-2.047	-2.268	-0.638
"YJL193W"	-0.149	-0.365	-0.299	0.137	-0.529	-0.254	-0.518	0.068	-0.298	0.011	-0.111	-0.919	-3.265	-0.393	-0.446	0.118	0.116	-0.014	-0.518	-0.096	-0.808	-1.097	-0.769	-1.389	-0.728	-1.488	-1.69	-0.939	-0.931	-2.341	-2.919	-2.37	-1.226	-1.046	-2.714	-1.448	-1.667	-1.28	-1.66	-0.932	-0.955	-1.353	-2.042	-0.557	-0.95	-0.494	-2.143	-1.545	-1.661	-1.317	-1.082	-1.805	-1.321	-2.04	-1.938
"YJR024C"	-0.067	0.192	0.115	0.049	0.252	-0.179	0.082	1.597	-0.065	0.144	0.197	-1.151	-4.204	0.044	-0.404	-0.124	0.076	-0.106	-0.12	0.023	-0.438	-0.963	-0.703	-0.908	-0.327	-0.577	-0.291	-1.711	-2.121	-0.207	-2.364	-1.67	-1.463	-2.216	-1.524	-1.071	-1.354	-1.054	-2.581	-1.992	-1.399	-2.232	-0.944	-1.394	-2.285	-1.186	-2.858	-2.144	-1.891	-2.614	-2.614	-1.52	-2.399	-2.501	-1.885
"YNL022C"	-0.509	-0.65	-0.3	-0.085	0.163	-0.105	0.209	-0.039	-0.157	-0.251	-0.013	-2.43	-3.745	-0.1	-0.048	-0.12	-0.079	0.099	-1.108	-0.001	-0.632	-1.08	-0.721	-1.586	-0.191	-2.217	-1.858	-1.151	-0.611	-1.582	-3.386	-1.925	-2.144	-2.038	-1.429	-2.54	-1.354	-1.48	-0.962	-0.816	-1.526	-1.242	-0.845	-2.04	-2.411	-2.07	-4.189	-3.057	-2.011	-1.81	-2.629	-3.712	-1.921	-3.295	-1.869
"YNL038W"	0.162	0.008	0.261	-0.05	0.19	-0.224	0.141	-0.263	-0.408	0.048	0.44	-0.382	-1.641	0.077	-0.119	-0.099	-0.142	0.022	0.21	0.287	-0.127	-0.308	-0.174	-0.451	0.256	-0.091	-0.594	-1.046	-1.802	-1.027	-2.043	-0.189	-1.503	-1.369	-0.624	-1.191	-0.314	-0.56	-1.202	-0.554	-2.199	-0.871	-0.605	-0.909	-0.672	-0.543	-2.31	-1.187	-1.078	-0.936	-1.057	-1.916	-1.203	-0.99	-1.863
"YNL066W"	-2.363	-2.177	-1.27	-0.28	-0.63	-1.669	-1.759	-0.518	-0.523	-1.324	-1.131	-3.125	-5.451	-1.383	-1.325	-0.646	-0.802	-0.19	-2.422	-1.258	-2.015	-3.653	-2.932	-3.409	-1.942	-4.56	-3.884	-2.369	-3.155	-4.311	-4.49	-7.15	-4.464	-5.15	-3.973	-3.204	-2.109	-2.61	-2.558	-2.108	-2.917	-1.974	-1.566	-2.785	-4.187	-3.441	-4.276	-3.495	-2.337	-3.508	-2.934	-1.902	-3.366	-3.148	-0.887
"YNL232W"	0.182	-0.162	-0.138	-0.198	-0.099	-0.243	0.113	-0.057	0.072	-0.068	-0.051	-0.324	-0.747	-0.025	-0.02	-0.028	-0.197	0.236	-0.412	-0.028	-0.846	-0.571	-0.987	-1.013	-0.195	-1.673	-1.143	-2.1	-0.344	-1.287	-3.329	-3.291	-3.135	-2.55	-1.377	-2.019	-1.163	-0.89	-0.223	-0.702	-2.445	-0.898	-2.152	-1.347	-1.676	-1.513	-1.829	-2.576	-2.265	-1.876	-5.481	-3.057	-2.819	-2.317	-0.424
"YOL145C"	-0.27	-0.64	-0.19	0.127	-0.008	-0.136	-0.153	-0.232	-0.07	-0.22	-0.113	-0.284	-3.49	-0.181	-0.079	0.096	0.017	-0.065	0.171	0.052	-1.112	-0.67	-0.657	-0.805	0.034	-1.688	-1.246	-2.337	NaN	-2.536	-2.466	-1.226	-1.483	-1.892	-0.737	-1.249	-1.265	-1.474	-0.711	-1.346	-1.264	-2.347	-1.666	-0.882	-1.273	-0.539	-1.447	-0.924	-1.276	-1.559	-2.951	-1.999	-2.642	-1.628	-1.569
"YOL149W"	-0.01	-0.39	-0.045	-0.158	-0.115	-0.475	-0.21	-0.347	-0.049	-0.086	-0.046	-1.418	0.0305	-0.305	-0.371	-0.243	-0.263	0.108	2.242	-0.224	-0.446	-0.51	0.092	-0.659	0.167	-1.222	-1.076	-1.376	-1.148	-1.471	-2.709	-1.348	-1.7	-1.799	-0.794	-2.264	-0.903	-0.803	-0.818	-0.728	-2.238	-1.278	-0.535	-0.923	-2.179	-1.944	-2.361	-3.74	-1.542	-2.106	-3.207	-2.046	-2.667	-2.674	-1.254
"YOR246C"	-0.569	-0.92	-0.013	0.064	-0.029	-0.479	-0.547	-0.269	-0.291	-0.164	0.226	-0.326	-2.885	-0.021	-0.205	0.071	-0.482	0.095	-0.742	-0.05	-0.33	-0.867	-0.368	-0.681	-0.348	-0.445	-0.611	-1.523	-1.404	-1.789	-1.748	-1.765	-1.573	-1.745	-1.938	-1.503	-0.783	-1.784	-1.995	-1.123	-1.39	-1.344	-1.172	-1.363	-1.395	-1.969	-1.74	-1.904	-1.007	-1.784	-1.356	-1.341	-2.166	-1.087	-2.066
"YOR253W"	0.034	0.019	0.252	0.093	-0.122	-0.372	0.009	-0.596	-0.431	-0.009	0.026	-1.759	-5.157	-0.243	-0.136	-0.426	-0.112	-0.119	-0.544	-0.148	-0.184	-0.725	-0.691	-0.924	0.183	-0.138	-0.892	-1.757	-1.811	-0.716	-1.985	-2.222	-2.68	-1.707	-2.427	-1.483	-1.899	-1.349	-1.343	-1.717	-0.872	-0.918	-1.481	-0.684	-2.141	-1.654	-3.36	-1.213	-2.189	-3.049	-1.977	-2.101	-2.115	-2.063	-1.451
"YOR277C"	-0.238	-0.175	0.31	0.237	0.331	-0.211	-0.181	-0.292	-0.377	-0.026	-0.099	-2.0645	-4.571	-0.06	0.037	-0.371	0.186	-0.045	-0.569	-0.023	-0.516	-1.267	-1.202	-1.312	0.034	-0.906	-1.245	-1.499	-1.886	-1.363	-2.316	-1.736	-2.314	-2.336	-1.262	-1.548	-1.755	-1.377	-0.324	-1.569	-0.527	-2.081	-2.427	-0.912	-1.27	-1.034	-1.621	-1.709	-1.722	-2.944	-1.776	-1.02	-2.899	-3.256	-1.492
