	"115.heat shock 20 min repeat"	"406.heat shock 37 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"634.Elutriation2:Sample2:Time6.5hrs"	"686.YP ethanol vs reference pool"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"809.DBY7286 37degree heat - 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"8195.steady state 21 dec C"	"8229.dtt 030 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13072.Ca/Ca+FK 30min (1)"	"17676.Na+FK 45min (4)"	"21659..24 mM H2O2- 077 minutes"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33777.delYPL230w_stationary_phase_0hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"40952.H2O2_II_56_min"	"40975.MD_II_130_min"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"
"YGL129C"	0.877	0.128	0.429	0.24	0.55	-0.513	-0.151	-0.099	0.381	-1.019	-0.347	0.274	-0.024	1.687	1.126	0.29	-0.318	-0.098	0.338	-0.578	-1.317	0.266	0.388	0.446	NaN	1.568	-0.249	-1.16	0.012	-0.248	-0.111	0.177	0.466	-0.128	0.044	-0.149	-0.141	0.624	-0.137	0.419	0.7	-0.5845	-0.669	-0.257	-0.388	0.03	-0.472	0.804	0.683	-0.136	0.549	-0.822	0.013	0.07	0.275	-0.233	-0.762
"YGL147C"	-3.006	0.598	-2.704	-4.102	-4.319	-1.499	-1.225	-0.081	-1.473	1.241	-0.033	-1.799	-1.071	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	0.315	-3.0	-3.753	-3.166	-4.384	-2.874	-3.483	0.343	0.326	0.219	0.674	1.059	-0.118	-0.216	-0.008	-2.532	-3.829	0.955	-1.574	-2.569	-3.366	-3.9735	-2.3925	-1.8665	-0.3515	0.282	-3.1585	-3.3875	-2.2585	-3.253	-2.63	0.218	-0.242	0.328	-0.403	-0.492
"YGR034W"	-2.191	0.288	-2.26	-3.059	-2.884	-0.732	-0.47	-0.146	-0.845	1.165	0.151	-1.369	-0.748	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	0.171	-3.268	-2.935	-2.579	-3.635	-2.022	-2.48	0.29	0.049	0.09	0.322	0.229	-0.189	-0.031	0.033	-1.469	-2.708	0.541	-2.024	-2.72	-2.022	-2.97	-2.451	-0.862	-0.506	0.226	-4.347	-3.643	-0.548	-2.289	-1.589	0.239	-0.06	0.031	0.452	-0.071
"YGR085C"	-1.952	0.786	-2.023	-2.966	-3.664	-0.974	-1.138	0.156	-0.601	1.122	0.028	-1.501	-0.44	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	0.421	-3.071	-3.255	-2.215	-4.359	-2.625	-4.179	0.272	0.278	0.084	0.353	0.772	0.366	0.319	0.258	-2.156	-2.908	0.232	-1.94	-2.39	-1.729	-1.734	-2.338	-0.973	0.27	0.587	-3.45	-3.003	-1.463	-1.698	-1.672	0.22	0.393	0.038	0.566	-0.304
"YGR103W"	-5.229	0.28	-4.485	-5.118	-3.624	-2.492	-2.381	-0.468	-1.088	1.223	-0.359	-2.21	-1.599	-4.825	-3.051	-3.013	-2.66	-2.148	-2.349	-1.948	-5.518	-0.045	-2.251	-2.402	-1.634	-4.861	-2.918	-3.882	0.136	0.129	-0.29	0.364	0.214	0.068	0.298	0.176	-2.468	-5.075	0.586	-3.487	-1.708	-0.774	-0.895	-4.921	-3.6885	-1.8095	-0.0985	-4.287	-2.4	-1.263	-4.308	-3.975	-0.262	-0.093	-0.4535	0.24	-0.881
"YGR118W"	-1.6645	-0.3575	-1.6245	-2.6185	-3.085	-1.646	-2.006	-0.382	-0.939	0.996	0.013	-1.469	-0.445	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	0.438	-2.458	-2.209	-2.326	-3.851	-1.997	-3.141	0.138	0.229	0.213	0.988	1.123	0.685	0.401	0.482	-2.095	-2.633	0.6025	-1.3075	-2.2505	-1.7625	-1.9165	-1.32	-0.915	0.145	0.477	-2.13	-2.249	-0.625	-2.0035	-2.0795	-0.163	0.244	0.02	0.383	-0.175
"YGR128C"	-3.042	-0.772	-2.4315	-3.197	-2.749	-1.392	-1.474	-0.64	-0.425	0.782	0.066	-0.901	-0.394	-3.032	-2.601	-2.603	-2.213	-1.732	-2.665	-2.66	-4.271	0.467	-2.816	-2.202	-1.376	-3.207	-2.107	-2.679	0.001	0.096	-0.15	0.719	0.189	0.155	0.293	0.147	-1.9935	-2.534	0.46	-3.083	-1.771	-1.214	-1.68	-2.714	-1.919	-0.878	0.847	-0.921	-0.334	-1.318	-2.081	-1.8025	0.412	-0.349	0.643	0.252	-0.559
"YGR148C"	-2.184	-0.094	-1.777	-2.942	-3.2425	-1.41	-1.472	-0.416	-0.934	0.933	-0.205	-1.796	-1.095	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	0.237	-3.141	-3.011	-2.722	-5.063	-2.508	-4.092	0.127	0.022	-0.208	0.708	0.778	0.459	0.223	0.356	-2.7095	-2.591	0.7245	-1.5045	-2.135	-2.029	-2.344	-1.752	-1.041	0.166	0.68	-3.103	-2.693	-0.796	-1.505	-1.6245	0.313	0.767	0.01	0.779	-0.685
"YGR160W"	-5.9475	0.3545	-5.567	-6.207	-4.6575	-3.504	-3.092	-0.558	-1.557	1.481	-0.641	-1.066	-1.161	-4.796	-4.983	-4.886	-3.976	-2.766	-2.931	-2.479	NaN	0.131	-2.892	-2.69	-1.377	-4.626	-2.991	-4.24	0.323	-0.184	-0.447	0.612	0.49	-0.833	-0.418	-0.665	-3.3665	-6.3385	1.131	-4.147	-2.809	-1.5105	-1.52	-4.64	-4.207	-2.649	-0.254	-4.708	-4.059	-3.008	-5.2565	-4.482	0.06	-0.237	-0.037	0.225	-0.779
"YGR233C"	-0.049	0.0025	0.2125	-0.3085	-0.708	-0.624	-0.147	0.302	-0.206	0.199	0.619	0.1225	0.082	-0.159	0.925	1.421	1.842	1.748	1.344	-0.912	-2.014	0.371	-0.113	0.869	1.152	-0.962	0.449	-2.318	-0.056	0.05	0.183	0.144	0.036	0.068	0.291	0.053	1.035	-1.169	-1.112	1.668	-0.522	0.275	0.512	-0.151	-0.457	0.119	0.7	0.02	-0.062	0.005	-1.273	-0.894	-0.322	-0.017	-0.253	0.189	0.075
